symbol	in_matrix	depmap_col	n_nonNA_lung
PSME1	True	PSME1 (5720)	214
PSME2	True	PSME2 (5721)	214
PSME3	True	PSME3 (10197)	214
PTAFR	True	PTAFR (5724)	214
PTGER2	True	PTGER2 (5732)	214
PTGER4	True	PTGER4 (5734)	214
PTGIR	True	PTGIR (5739)	214
PTGS2	True	PTGS2 (5743)	214
PTHLH	True	PTHLH (5744)	214
PTPN1	True	PTPN1 (5770)	214
PTPN2	True	PTPN2 (5771)	214
PTPN6	True	PTPN6 (5777)	214
PTPRE	True	PTPRE (5791)	214
PTX3	True	PTX3 (5806)	214
PVR	True	PVR (5817)	214
QSOX1	True	QSOX1 (5768)	214
RAF1	True	RAF1 (5894)	214
RAPGEF6	True	RAPGEF6 (51735)	214
RASGRP1	True	RASGRP1 (10125)	214
RBCK1	True	RBCK1 (10616)	214
RCAN1	True	RCAN1 (1827)	214
REL	True	REL (5966)	214
RELA	True	RELA (5970)	214
RELB	True	RELB (5971)	214
RFX5	True	RFX5 (5993)	214
RGS1	True	RGS1 (5996)	214
RGS16	True	RGS16 (6004)	214
RGS4	True	RGS4 (5999)	214
RHOB	True	RHOB (388)	214
RHOG	True	RHOG (391)	214
RIGI	False		0
RIPK1	True	RIPK1 (8737)	214
RIPK2	True	RIPK2 (8767)	214
RNF144B	True	RNF144B (255488)	214
RNF19B	True	RNF19B (127544)	214
RNF213	True	RNF213 (57674)	214
RNF31	True	RNF31 (55072)	214
ROS1	True	ROS1 (6098)	214
RSAD2	True	RSAD2 (91543)	214
RTP4	True	RTP4 (64108)	214
SAMD9	True	SAMD9 (54809)	214
SAMD9L	True	SAMD9L (219285)	214
SAMHD1	True	SAMHD1 (25939)	214
SAT1	True	SAT1 (6303)	214
SCARF1	True	SCARF1 (8578)	214
SCG2	True	SCG2 (7857)	214
SCN1B	True	SCN1B (6324)	214
SDC1	True	SDC1 (6382)	214
SDC4	True	SDC4 (6385)	214
SECTM1	True	SECTM1 (6398)	214
SELE	True	SELE (6401)	214
SELENOS	True	SELENOS (55829)	214
SELL	True	SELL (6402)	214
SELP	True	SELP (6403)	214
SEMA4D	True	SEMA4D (10507)	214
SERPINB2	True	SERPINB2 (5055)	214
SERPINB8	True	SERPINB8 (5271)	214
SERPINE1	True	SERPINE1 (5054)	214
SERPINE2	True	SERPINE2 (5270)	214
SERPING1	True	SERPING1 (710)	214
SERPINH1	True	SERPINH1 (871)	214
SFRP1	True	SFRP1 (6422)	214
SFRP4	True	SFRP4 (6424)	214
SGCB	True	SGCB (6443)	214
SGCD	True	SGCD (6444)	214
SGCG	True	SGCG (6445)	214
SGK1	True	SGK1 (6446)	214
SGMS2	True	SGMS2 (166929)	214
SIK1	True	SIK1 (150094)	214
SLAMF1	True	SLAMF1 (6504)	214
SLAMF7	True	SLAMF7 (57823)	214
SLC11A2	True	SLC11A2 (4891)	214
SLC16A6	True	SLC16A6 (9120)	214
SLC1A2	True	SLC1A2 (6506)	214
SLC25A28	True	SLC25A28 (81894)	214
SLC28A2	True	SLC28A2 (9153)	214
SLC2A3	True	SLC2A3 (6515)	214
SLC2A6	True	SLC2A6 (11182)	214
SLC31A1	True	SLC31A1 (1317)	214
SLC31A2	True	SLC31A2 (1318)	214
SLC4A4	True	SLC4A4 (8671)	214
SLC6A8	True	SLC6A8 (6535)	214
SLC7A1	True	SLC7A1 (6541)	214
SLC7A2	True	SLC7A2 (6542)	214
SLIT2	True	SLIT2 (9353)	214
SLIT3	True	SLIT3 (6586)	214
SMAD3	True	SMAD3 (4088)	214
SNAI1	True	SNAI1 (6615)	214
SNAI2	True	SNAI2 (6591)	214
SNN	True	SNN (8303)	214
SNTB1	True	SNTB1 (6641)	214
SOCS1	True	SOCS1 (8651)	214
SOCS3	True	SOCS3 (9021)	214
SOD2	True	SOD2 (6648)	214
SP110	True	SP110 (3431)	214
SPARC	True	SPARC (6678)	214
SPHK1	True	SPHK1 (8877)	214
SPOCK1	True	SPOCK1 (6695)	214
SPP1	True	SPP1 (6696)	214
SPPL2A	True	SPPL2A (84888)	214
SPSB1	True	SPSB1 (80176)	214
SQSTM1	True	SQSTM1 (8878)	214
SRI	True	SRI (6717)	214
SSPN	True	SSPN (8082)	214
ST3GAL5	True	ST3GAL5 (8869)	214
ST8SIA4	True	ST8SIA4 (7903)	214
STAB1	True	STAB1 (23166)	214
STAT1	True	STAT1 (6772)	214
STAT2	True	STAT2 (6773)	214
STAT3	True	STAT3 (6774)	214
STAT4	True	STAT4 (6775)	214
STAT5A	True	STAT5A (6776)	214
TACR1	True	TACR1 (6869)	214
TACR3	True	TACR3 (6870)	214
TACSTD2	True	TACSTD2 (4070)	214
TAGLN	True	TAGLN (6876)	214
TANK	True	TANK (10010)	214
TAP1	True	TAP1 (6890)	214
TAP2	True	TAP2 (6891)	214
TAPBP	True	TAPBP (6892)	214
TAPBPL	True	TAPBPL (55080)	214
TDRD7	True	TDRD7 (23424)	214
TENT5A	True	TENT5A (55603)	214
TFPI2	True	TFPI2 (7980)	214
TGFB1	True	TGFB1 (7040)	214
TGFBI	True	TGFBI (7045)	214
TGFBR3	True	TGFBR3 (7049)	214
TGIF1	True	TGIF1 (7050)	214
TGM2	True	TGM2 (7052)	214
THBS1	True	THBS1 (7057)	214
THBS2	True	THBS2 (7058)	214
THY1	True	THY1 (7070)	214
TIMP1	True	TIMP1 (7076)	214
TIMP3	True	TIMP3 (7078)	214
TIPARP	True	TIPARP (25976)	214
TLR1	True	TLR1 (7096)	214
TLR2	True	TLR2 (7097)	214
TLR3	True	TLR3 (7098)	214
TMEM140	True	TMEM140 (55281)	214
TMT1B	False		0
TNC	True	TNC (3371)	214
TNF	True	TNF (7124)	214
TNFAIP2	True	TNFAIP2 (7127)	214
TNFAIP3	True	TNFAIP3 (7128)	214
TNFAIP6	True	TNFAIP6 (7130)	214
TNFAIP8	True	TNFAIP8 (25816)	214
TNFRSF11B	True	TNFRSF11B (4982)	214
TNFRSF12A	True	TNFRSF12A (51330)	214
TNFRSF1B	True	TNFRSF1B (7133)	214
TNFRSF9	True	TNFRSF9 (3604)	214
TNFSF10	True	TNFSF10 (8743)	214
TNFSF15	True	TNFSF15 (9966)	214
TNFSF9	True	TNFSF9 (8744)	214
TNIP1	True	TNIP1 (10318)	214
TNIP2	True	TNIP2 (79155)	214
TOR1B	True	TOR1B (27348)	214
TPBG	True	TPBG (7162)	214
TPM1	True	TPM1 (7168)	214
TPM2	True	TPM2 (7169)	214
TPM4	True	TPM4 (7171)	214
TRAF1	True	TRAF1 (7185)	214
TRAFD1	True	TRAFD1 (10906)	214
TRIB1	True	TRIB1 (10221)	214
TRIM14	True	TRIM14 (9830)	214
TRIM21	True	TRIM21 (6737)	214
TRIM25	True	TRIM25 (7706)	214
TRIM26	True	TRIM26 (7726)	214
TRIM5	True	TRIM5 (85363)	214
TRIP10	True	TRIP10 (9322)	214
TSC22D1	True	TSC22D1 (8848)	214
TUBB2A	True	TUBB2A (7280)	214
TWIST1	True	TWIST1 (7291)	214
TXNIP	True	TXNIP (10628)	214
UBA7	True	UBA7 (7318)	214
UBE2L6	True	UBE2L6 (9246)	214
UPP1	True	UPP1 (7378)	214
USP18	True	USP18 (11274)	214
VAMP5	True	VAMP5 (10791)	214
VAMP8	True	VAMP8 (8673)	214
VCAM1	True	VCAM1 (7412)	214
VCAN	True	VCAN (1462)	214
