sample	TACSTD2	CLDN4	CD8A	ImmuneScore	purity_covariate	tacstd2_quartile	cohort
GSM773661	19645.84	568.3676	449.66153	5590.688794322403	10812.103389680151	mid	GSE31210_LUAD
GSM773662	16949.011	920.4389	962.69225	6380.47317076849	11834.347947398459	mid	GSE31210_LUAD
GSM773663	28663.585	1173.1417	167.30203	4634.6183970099955	8816.594614591864	Q4	GSE31210_LUAD
GSM773664	20693.272	973.4649	204.46765	4860.505398622183	7927.456458260749	mid	GSE31210_LUAD
GSM773665	17095.888	456.871	1434.67374	7167.818582906883	12178.684278361865	mid	GSE31210_LUAD
GSM773666	23863.37	1717.9576	849.38045	5280.712042271375	10000.233030014697	Q4	GSE31210_LUAD
GSM773667	16435.967	470.9014	663.73907	6267.678999514664	10240.095765448612	mid	GSE31210_LUAD
GSM773668	26331.479	1106.5727	127.11763	3534.3791603771006	6089.238206848667	Q4	GSE31210_LUAD
GSM773669	18873.209	991.697	635.0436	6084.90818052034	10682.598030194895	mid	GSE31210_LUAD
GSM773670	20550.986	788.7045	458.30518	4941.538878804116	10812.357164449066	mid	GSE31210_LUAD
GSM773671	11529.195	501.2405	439.15601	5757.93238381954	11321.275561581966	Q1	GSE31210_LUAD
GSM773672	22780.89	948.174	823.7472	5585.914698961709	9808.812440377913	Q4	GSE31210_LUAD
GSM773673	16459.576	1936.512	260.59252	4272.257125594972	7539.579482327211	mid	GSE31210_LUAD
GSM773674	19810.337	224.1255	2127.36622	7224.557492167264	12461.487427061773	mid	GSE31210_LUAD
GSM773675	24307.882	1410.6224	114.07122	5267.013927254797	10061.966497780613	Q4	GSE31210_LUAD
GSM773676	17461.996	1677.4752	719.42149	6252.221049389351	11272.056315942027	mid	GSE31210_LUAD
GSM773677	15808.642	699.8452	1299.2701	6897.465117349828	11917.827671588735	mid	GSE31210_LUAD
GSM773678	19195.791	504.759	285.81223	4763.752995929408	10205.073720302546	mid	GSE31210_LUAD
GSM773679	13805.438	824.9185	1662.17102	6908.731572403029	13080.227014512333	Q1	GSE31210_LUAD
GSM773680	17913.871	782.052	313.51851	5409.585233964	9820.84834596515	mid	GSE31210_LUAD
GSM773681	13014.515	283.1473	393.8817	5248.768377618851	10788.692553498864	Q1	GSE31210_LUAD
GSM773682	17196.348	540.4879	588.33933	4415.1153353377895	9169.878802670424	mid	GSE31210_LUAD
GSM773683	15315.84	1859.9175	95.22791	3407.191742752633	7805.929409081379	mid	GSE31210_LUAD
GSM773684	16493.346	2075.7866	335.198	4666.8496300144725	8496.541241354227	mid	GSE31210_LUAD
GSM773685	25782.607	2035.6449	225.3593	4764.76453003384	8624.73303981952	Q4	GSE31210_LUAD
GSM773686	17639.019	606.0366	322.56646	4911.965108068478	10086.377731414157	mid	GSE31210_LUAD
GSM773687	22222.383	1495.374	272.92391	4833.550918130532	10337.512299699287	Q4	GSE31210_LUAD
GSM773688	14316.467	554.3104	432.8993	5631.321775996788	10751.985322974757	Q1	GSE31210_LUAD
GSM773689	14203.165	344.6197	398.177	4674.447072870367	9293.303194112039	Q1	GSE31210_LUAD
GSM773690	16635.568	2280.923	292.3589	4959.402107372722	8833.854031479204	mid	GSE31210_LUAD
GSM773691	22487.926	1190.1878	282.4386	4141.939394115027	7824.934899053341	Q4	GSE31210_LUAD
GSM773692	15112.637	1540.655	313.8255	5260.665673600688	10586.151326472002	mid	GSE31210_LUAD
GSM773693	15190.139	1224.0403	345.8292	4986.013380139308	9368.072360019945	mid	GSE31210_LUAD
GSM773694	9767.367	351.8621	1266.0368	6685.117607546609	10901.594808343216	Q1	GSE31210_LUAD
GSM773695	9032.847	142.9745	495.36	5406.183722794753	11676.816123937198	Q1	GSE31210_LUAD
GSM773696	18863.234	1329.286	368.44362	4323.736707673858	7874.998008547407	mid	GSE31210_LUAD
GSM773697	24037.929	1632.0903	68.22875	3092.9377820482414	6648.293383525271	Q4	GSE31210_LUAD
GSM773698	26503.652	1912.934	294.3429	4212.358422556041	7421.944264623702	Q4	GSE31210_LUAD
GSM773699	21896.407	1863.0048	497.3736	4561.620548998097	8102.117836168652	Q4	GSE31210_LUAD
GSM773700	18394.902	717.3617	1596.2167	6201.75919264384	11196.866387205042	mid	GSE31210_LUAD
GSM773701	14686.367	196.7106	593.205	5464.275607723963	10991.56409893062	Q1	GSE31210_LUAD
GSM773702	29534.541	1091.9214	153.63659	4489.060327805662	7297.492122313613	Q4	GSE31210_LUAD
GSM773703	6186.637	697.2158	949.5058	5219.539699682056	8488.737876581272	Q1	GSE31210_LUAD
GSM773704	18874.776	445.4207	699.4637	5897.378038372135	9954.923028414181	mid	GSE31210_LUAD
GSM773705	12940.137	418.5051	536.1885	5823.1999662911985	10959.131111494255	Q1	GSE31210_LUAD
GSM773706	18862.143	889.8538	237.3199	4487.26543514446	8506.335387103147	mid	GSE31210_LUAD
GSM773707	19282.127	3343.6319	317.25738	5383.32499286155	10089.921115604144	mid	GSE31210_LUAD
GSM773708	11291.404	1001.968	64.43509	2829.064976638285	5063.0515084363215	Q1	GSE31210_LUAD
GSM773709	19060.041	401.507	1242.74221	6153.150013031113	11386.279567808415	mid	GSE31210_LUAD
GSM773710	22643.051	1150.0933	383.80273	4947.402249754649	8682.079667625818	Q4	GSE31210_LUAD
GSM773711	12936.339	781.2104	665.6468	5968.295037588225	11290.914447072046	Q1	GSE31210_LUAD
GSM773712	20470.916	528.6866	277.22716	3958.5727805479196	7718.499848344527	mid	GSE31210_LUAD
GSM773713	17844.858	1107.4881	618.12988	5076.124124538108	9762.16624242981	mid	GSE31210_LUAD
GSM773714	19322.504	1628.3892	166.38735	4050.3242216061494	6359.678818432314	mid	GSE31210_LUAD
GSM773715	22388.302	1222.5837	222.4296	4335.463739579207	6311.836917004707	Q4	GSE31210_LUAD
GSM773716	17706.4	1024.5276	459.8185	5664.554837624783	10671.056398093653	mid	GSE31210_LUAD
GSM773717	20630.582	1097.626	882.7688	5681.34617816581	9354.8729308973	mid	GSE31210_LUAD
GSM773718	15101.072	862.1725	969.7305	5913.452602624766	11224.33781712175	mid	GSE31210_LUAD
GSM773719	17735.722	869.7284	538.8016	4728.511430708442	10082.60530552096	mid	GSE31210_LUAD
GSM773720	20179.928	1252.3597	394.3164	5087.290817096049	9514.138580363917	mid	GSE31210_LUAD
GSM773721	16733.666	669.7438	542.97027	5632.5726750175445	10467.947843739646	mid	GSE31210_LUAD
GSM773722	22654.303	1082.8874	222.3527	4617.387615098167	9004.509751343032	Q4	GSE31210_LUAD
GSM773723	18213.185	401.6163	1170.2976	6838.598363321016	13179.923221445071	mid	GSE31210_LUAD
GSM773724	21457.913	833.7074	804.9611	5793.973090587446	10864.287353808433	Q4	GSE31210_LUAD
GSM773725	17496.996	688.8143	729.08399	5886.171214358729	10014.982656733333	mid	GSE31210_LUAD
GSM773726	22386.991	827.0176	444.23748	5095.796982395737	9526.930058349251	Q4	GSE31210_LUAD
GSM773727	17322.785	1426.716	146.84886	5193.751531569462	9340.323472482469	mid	GSE31210_LUAD
GSM773728	14173.322	675.7319	306.60999	4955.1165531138695	10297.181898295246	Q1	GSE31210_LUAD
GSM773729	19057.209	1659.3887	317.97156	4479.546018727243	8469.35345822079	mid	GSE31210_LUAD
GSM773730	20885.164	903.6609	417.65433	5100.028593122275	9659.055163686324	Q4	GSE31210_LUAD
GSM773731	17996.368	233.0522	388.398	5136.257103437654	9323.52320859034	mid	GSE31210_LUAD
GSM773732	23432.743	1519.0858	260.5667	4436.500098946234	7568.958034169108	Q4	GSE31210_LUAD
GSM773733	17543.846	715.0196	537.22599	4820.3334372075005	8000.138148585009	mid	GSE31210_LUAD
GSM773734	13038.27	269.3119	602.6366	5845.688068979283	10826.871661935176	Q1	GSE31210_LUAD
GSM773735	15234.541	631.5185	231.5965	4561.096161864106	8402.954626856439	mid	GSE31210_LUAD
GSM773736	23921.252	1340.8789	265.31139	4984.0910250129255	9309.769928795818	Q4	GSE31210_LUAD
GSM773737	18235.151	397.923	342.0261	5540.491873957062	9414.59175899806	mid	GSE31210_LUAD
GSM773738	18613.096	649.8072	151.6279	3657.9400719862397	5451.792222412995	mid	GSE31210_LUAD
GSM773739	14309.39	506.9669	187.4572	4010.410760530737	7943.153738090926	Q1	GSE31210_LUAD
GSM773740	20321.865	2810.6644	395.8994	4434.333999557031	8372.31968201415	mid	GSE31210_LUAD
GSM773741	16769.087	1062.3542	255.5263	3740.7339336410464	7745.638893300298	mid	GSE31210_LUAD
GSM773742	18836.173	1410.9055	137.6355	3886.5012923977392	6275.995057439618	mid	GSE31210_LUAD
GSM773743	19475.473	720.8341	321.5232	4608.391551706001	9077.143647966788	mid	GSE31210_LUAD
GSM773744	22478.142	1877.8127	320.91199	3980.7586164310724	7553.0785785809885	Q4	GSE31210_LUAD
GSM773745	20059.281	2498.9519	733.92432	5761.0903014919495	10992.712421467855	mid	GSE31210_LUAD
GSM773746	13032.385	654.3895	849.2953	6082.158273338016	10479.262663374435	Q1	GSE31210_LUAD
GSM773747	8691.721	520.0909	255.60349	2990.3776797390033	5705.43757686889	Q1	GSE31210_LUAD
GSM773748	23756.757	935.0607	291.57766	5365.053584792755	9389.237455876428	Q4	GSE31210_LUAD
GSM773749	20096.914	867.6537	425.01306	5567.772105369223	10752.451598074542	mid	GSE31210_LUAD
GSM773750	16495.418	702.6158	545.68833	5573.4194420803415	10618.758143306313	mid	GSE31210_LUAD
GSM773751	16625.92	1234.3975	273.30508	4754.131389342887	7841.654655238573	mid	GSE31210_LUAD
GSM773752	23585.921	858.6077	185.88327	3228.2765635739793	6067.976443762661	Q4	GSE31210_LUAD
GSM773753	18520.649	680.265	894.65994	5297.334043540748	9257.017323656914	mid	GSE31210_LUAD
GSM773754	14992.621	761.4204	694.24405	5805.917268643945	9914.074127069449	mid	GSE31210_LUAD
GSM773755	21638.033	1061.4041	369.2384	3761.07005854181	6651.88076293994	Q4	GSE31210_LUAD
GSM773756	8632.807	496.6126	582.04771	6658.090218438027	11801.593427036325	Q1	GSE31210_LUAD
GSM773757	21345.832	1555.7999	329.72317	4602.250963693932	8705.001191458996	Q4	GSE31210_LUAD
GSM773758	20490.243	942.8556	797.98059	5073.28176146316	9473.684669906866	mid	GSE31210_LUAD
GSM773759	18800.192	1177.6084	193.41324	3237.9964141363903	6633.953526120358	mid	GSE31210_LUAD
GSM773760	20743.788	669.134	373.54587	5222.104981282302	9716.477121155935	mid	GSE31210_LUAD
GSM773761	16926.921	558.0945	564.27559	5621.042810462984	10848.168158154353	mid	GSE31210_LUAD
GSM773762	17947.078	1297.145	437.36805	3744.921881630612	7337.859640460575	mid	GSE31210_LUAD
GSM773763	16981.385	1325.9591	370.89867	5371.87866341725	9768.793965602848	mid	GSE31210_LUAD
GSM773764	20836.241	1406.783	742.45306	5415.42412833861	9385.460636548592	mid	GSE31210_LUAD
GSM773765	20157.522	1008.3821	923.99105	5407.208008052887	10242.355683475274	mid	GSE31210_LUAD
