term	es	nes	nom_p	n_set_in_rank	mean_t	lead_genes	n_lead	cohort	primary	fdr_bh_primary	fdr_bh_all
HALLMARK_TGF_BETA_SIGNALING	0.2541752433522787	1.0236881347942322	0.14785214785214784	52	0.16991047684649777	CDH1,SMURF1,IFNGR2,ACVR1,BMP2,XIAP,BCAR3,NOG,UBE2D3,CTNNB1,PMEPA1,HDAC1,ARID4B,TGIF1,SMURF2,TJP1,SMAD3,LTBP2,PPM1A,PPP1CA,TRIM33,CDK9	22	GSE31210_LUAD	False		0.17446553446553445
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.43813870869833216	-1.7973250926437125	0.000999000999000999	87	-0.8929243076300962	IL9R,IL6,REG1A,IL6ST,CXCL10,CXCL9,INHBE,LTB,CXCL11,IL7,CD38,EBI3,LEPR,A2M,CBL,MAP3K8,CSF3R,IL15RA,TNFRSF1A,IL17RA,CD14,PLA2G2A,IL1R1,PTPN11,IL2RA	39	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_DNA_REPAIR	0.31598881668481454	1.5336870424048286	0.003996003996003996	144	0.3864815555297494	CETN2,BCAP31,APRT,DDB1,SF3A3,TSG101,POLR3C,GUK1,VPS28,GTF2H5,DCTN4,NME3,POLR2F,POLR2J,POLR2C,TAF12,RPA3,RRM2B,RPA2,ITPA,POLD4,HPRT1,STX3,DGUOK,AGO4	62	GSE31210_LUAD	False		0.007367632367632368
HALLMARK_G2M_CHECKPOINT	-0.394153634820561	-1.8103770062629396	0.000999000999000999	187	-0.764324314712427	CDC45,MCM5,TOP2A,BRCA2,NOLC1,HMMR,DMD,PRC1,MAD2L1,LBR,KNL1,CCNF,KIF23,CCNB2,PURA,WRN,CENPF,DBF4,MKI67,EXO1,NEK2,E2F3,PBK,PRIM2,AURKA	109	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_APOPTOSIS	0.2951449789570616	1.4432869948963731	0.001998001998001998	160	0.1773120945755391	LGALS3,ERBB2,BTG3,HSPB1,PAK1,SOD1,KRT18,ERBB3,BCAP31,CASP6,EBP,TNFRSF12A,PPT1,WEE1,CTH,RHOT2,SC5D,BIK,ANXA1,BCL10,TGFB2,JUN,PTK2,APP,DAP	49	GSE31210_LUAD	False		0.0040649006166247545
HALLMARK_NOTCH_SIGNALING	-0.28545501260749845	-0.949324714770155	0.32967032967032966	31	0.06871351631806867	HEYL,NOTCH3,DTX1,DLL1,WNT2,NOTCH1	6	GSE31210_LUAD	False		0.34123770965876227
HALLMARK_ADIPOGENESIS	0.2565235838483018	1.2923486583451116	0.008991008991008992	191	0.19643293689770505	APLP2,SCP2,CMPK1,SOD1,ATL2,POR,COQ9,HADH,PGM1,DGAT1,BCKDHA,ACOX1,TALDO1,IDH1,TKT,RTN3,NDUFAB1,ALDH2,CPT2,CD151,SLC19A1,AK2,DLAT,UBC,ARAF	57	GSE31210_LUAD	False		0.015602045013809721
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.3317867360091332	1.6634168685350785	0.000999000999000999	194	0.2539167451999851	MUC1,KRT19,MYOF,SFN,FRK,OVOL2,TFAP2C,KRT18,NADSYN1,ZNF185,LAD1,KCNK5,SLC37A1,DEPTOR,DHRS3,TTC39A,ADCY9,FLNB,KRT8,PEX11A,RBBP8,SLC22A5,CLDN7,CELSR1,RPS6KA2	58	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_ESTROGEN_RESPONSE_LATE	0.28788289056298855	1.4686433257377345	0.000999000999000999	198	0.17286522987328198	CDH1,KRT19,PERP,MYOF,LLGL2,SFN,FRK,OVOL2,BTG3,PKP3,CD9,TFAP2C,ST14,ASS1,TSPAN13,KCNK5,FLNB,RBBP8,EMP2,SLC22A5,RPS6KA2,DLG5,TMPRSS3,LSR,SULT2B1	50	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_ANDROGEN_RESPONSE	0.22305044809529523	1.0033584332694634	0.14785214785214784	94	-0.18433824171106025	KRT19,GPD1L,STEAP4,TMEM50A,RPS6KA3,TMPRSS2,KRT8,STK39,MAP7,DHCR24,HPGD,GNAI3,XRCC6,SAT1,CCND1,NDRG1,KLK2,ABHD2,AZGP1,CCND3,PMEPA1	21	GSE31210_LUAD	False		0.17446553446553445
HALLMARK_MYOGENESIS	-0.357401510105261	-1.6437578848006644	0.000999000999000999	197	-0.723356498417127	SGCD,SLN,TPD52L1,NCAM1,SPTAN1,FST,MYL2,PVALB,MYLK,MYOM2,COL6A3,MYH3,MYH11,PRNP,ENO3,CASQ2,PPP1R3C,LARGE1,MYL6B,SPHK1,ACTA1,LPIN1,REEP1,PFKM,MEF2D	75	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_PROTEIN_SECRETION	0.4283243800586288	1.91131431578106	0.000999000999000999	95	0.6692917615132962	ATP1A1,TOM1L1,EGFR,RPS6KA3,SOD1,KRT18,LAMP2,AP1G1,SCRN1,PPT1,COG2,TSG101,RER1,RAB9A,ARFGEF1,ATP7A,CLTC,VAMP3,CAV2,ICA1,YIPF6,ARFIP1,SGMS1,PAM,VAMP7	35	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.23652133598887473	-0.9746375635141059	0.32867132867132864	93	-0.17537354605681332	IFITM1,CXCL10,LAMP3,LAP3,IFITM2,TRIM25,CXCL11,IL7,IFITM3,GBP4,EPSTI1,IRF2,SELL,STAT2,C1S,ISG20,TMEM140,CCRL2,LPAR6,SLC25A28	20	GSE31210_LUAD	False		0.34123770965876227
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.35719600500522497	-1.6358847543004842	0.000999000999000999	196	-0.5449462864396841	CD86,XCL1,LAP3,HIF1A,MTHFD2,IFITM2,RIPK1,TRIM25,LYSMD2,CXCL11,TNFAIP3,VCAM1,IL7,IFITM3,CD38,GBP4,IL15RA,EPSTI1,PTPN6,EIF4E3,CD69,IRF2,SSPN,GZMA,LATS2	56	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_APICAL_JUNCTION	-0.25066540293495704	-1.1592511522365874	0.0989010989010989	193	-0.1240531498089014	ACTA1,VCAM1,PFN1,SYK,COL16A1,VCAN,FBN1,CDK8,SYMPK,ACTN1,CERCAM,NLGN2,NF2,RAC2,MYH10,ACTC1,CDH6,MMP2,ADAMTS5,FLNC,TSC1,GAMT,NEGR1,TRO,EVL	46	GSE31210_LUAD	True	0.0989010989010989	0.12967032967032965
HALLMARK_APICAL_SURFACE	-0.3455156765842817	-1.2384174260468432	0.1038961038961039	43	-0.28853151984271985	IL2RG,CD160,SRPX,AKAP7,THY1,SULF2,GAS1,IL2RB,MAL	9	GSE31210_LUAD	False		0.13325804630152457
HALLMARK_HEDGEHOG_SIGNALING	-0.30411643873405264	-1.0672737936027488	0.21078921078921078	36	-0.5445145870202349	SCG2,HEY1,OPHN1,NRP2,LDB1,GLI1,ETS2,TLE3,CRMP1,NRP1,VLDLR,RTN1,SLIT1,CDK6,HEY2,UNC5C,THY1	17	GSE31210_LUAD	False		0.23916468147237377
HALLMARK_COMPLEMENT	-0.34023042696914324	-1.5617011343566052	0.002997002997002997	197	-0.5647003141820601	AKAP10,CTSL,IL6,XPNPEP1,RAF1,CTSB,TIMP2,FCER1G,GNGT2,MMP12,C3,CTSS,LAP3,PHEX,GZMB,DOCK4,TNFAIP3,PFN1,SIRT6,PRDM4,KLK1,F7,LTF,F10,CR2	64	GSE31210_LUAD	False		0.0058941058941058945
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.27062725412845456	-1.1364404934812027	0.13886113886113885	105	-0.34512189180104935	DCTN1,EXOSC9,FKBP14,XPOT,MTHFD2,EEF2,ERN1,HSP90B1,DNAJB9,CXXC1,HERPUD1,SSR1,KHSRP,PREB,TATDN2,XBP1,DCP1A,ATF4,NFYB,SPCS3,SLC1A4,EIF2AK3,WIPI1	23	GSE31210_LUAD	False		0.17068348318348317
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.2425435714586351	-1.0346143376918797	0.25874125874125875	104	-0.2771792199911983	HRAS,GRB2,PRKAR2A,MAPK8,SMAD2,GRK2,ECSIT,RPTOR,E2F1,UBE2N,IRAK4,TIAM1,AKT1S1,RAF1,CDK4,CDK2,FGF6,ADCY2,PRKAA2,RIPK1,ITPR2,PFN1,HSP90B1,CAB39L,MAP2K6	41	GSE31210_LUAD	False		0.28269878269878274
HALLMARK_MTORC1_SIGNALING	0.3080038578908986	1.567199200888645	0.000999000999000999	191	0.1999478408265667	ENO1,SRD5A1,CD9,PRDX1,TES,SYTL2,PGM1,EBP,CTH,IDH1,SC5D,PPA1,PGK1,TM7SF2,DHCR24,ERO1A,CYB5B,ACACA,HSPE1,NFYC,UCHL5,TUBA4A,PPIA,CACYBP,HSPA5	50	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_E2F_TARGETS	-0.3009643979369697	-1.398097498874823	0.008991008991008992	191	-0.5366787446919977	MCM5,TOP2A,BRCA2,MCM4,NOLC1,SPC24,HMMR,MAD2L1,LBR,CCNB2,ING3,MKI67,CHEK2,CDKN2A,SPC25,PRIM2,AURKA,DEPDC1,POLE4,TACC3,EZH2,KIF4A,POLA2,BUB1B,DLGAP5	83	GSE31210_LUAD	False		0.015602045013809721
HALLMARK_MYC_TARGETS_V1	0.32751267558983105	1.6611129002868337	0.000999000999000999	186	0.3657215481595395	DHX15,FAM120A,PSMB2,SF3B3,GSPT1,HSP90AB1,RNPS1,U2AF1,NDUFAB1,PGK1,GOT2,EIF4G2,HSPE1,APEX1,TUFM,PABPC1,PPIA,NHP2,PSMA1,XRCC6,SSBP1,AIMP2,SNRPD3,HSPD1,PSMA2	64	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_MYC_TARGETS_V2	0.22407153517244793	0.9107198743102562	0.24175824175824176	56	0.02846816609387908	TFB2M,HSPE1,NIP7,SLC19A1,AIMP2,HSPD1,MAP3K6,SLC29A2,LAS1L,NOP16,CBX3,DCTPP1,HK2	13	GSE31210_LUAD	False		0.26912709931577855
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.4667803116754862	-2.1516986527659823	0.000999000999000999	196	-0.98401355613909	LUM,CDH11,SGCB,RGS4,TNFAIP3,DPYSL3,ITGA5,VCAM1,LOX,FSTL1,COL16A1,VCAN,CDH2,FBN1,SPARC,TIMP3,LGALS1,POSTN,ADAM12,FOXC2,BASP1,VEGFC,IGFBP4,TGM2,DCN	72	GSE31210_LUAD	True	0.0018315018315018313	0.0023576423576423576
HALLMARK_INFLAMMATORY_RESPONSE	-0.3786907596780564	-1.7444164346668032	0.000999000999000999	199	-0.632741073534871	TNFRSF9,IL6,ABI1,RAF1,FPR1,GPR132,IFITM1,TLR1,CXCL10,CXCL9,GPR183,MEP1A,SLC7A1,ACVR2A,LAMP3,NLRP3,MYC,SCARF1,LIF,RGS1,PDPN,HIF1A,KCNMB2,BTG2,PTGER2	80	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_XENOBIOTIC_METABOLISM	0.2520391093718498	1.2661043429499672	0.013986013986013986	194	0.11413792467252407	ABCC3,SPINT2,PGRMC1,CYP2J2,POR,CASP6,ACOX1,EPHA2,IDH1,DHRS1,CYB5A,ALDH2,TMBIM6,NQO1,XDH,JUP,ASL,TGFB2,FBP1,CROT,BPHL,ETFDH,PC,PTGR1,NFS1	48	GSE31210_LUAD	False		0.022302022302022304
HALLMARK_FATTY_ACID_METABOLISM	0.32855866019571	1.5784842674507369	0.000999000999000999	155	0.4137091672831101	BLVRA,CRYZ,ACOT8,HMGCL,S100A10,HADH,ACOX1,METAP1,NSDHL,SDHA,HSPH1,IDH1,SLC22A5,CPT2,DHCR24,NTHL1,HPGD,APEX1,PCBD1,HSP90AA1,GLUL,BPHL,ETFDH,CPOX,ALDOA	56	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.34497807435837663	1.7165626979051192	0.000999000999000999	181	0.5129432308847928	ATP1B1,POR,BCKDHA,RHOT2,SDHA,MTX2,IDH1,MFN2,NDUFV1,NDUFAB1,CYB5A,PDP1,MPC1,NDUFB2,GOT2,NDUFA2,NDUFS6,DLAT,ETFDH,ABCB7,IDH3G,MRPS15,POLR2F,ATP6V1D,NDUFA6	77	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_GLYCOLYSIS	0.49313639958401634	2.4866088432736393	0.000999000999000999	196	0.9855681739770739	MET,SDC1,CLDN3,ENO1,BPNT1,P4HA2,GUSB,EGFR,ADORA2B,GPR87,SOD1,SLC35A3,PHKA2,AGRN,SRD5A3,B3GNT3,CASP6,NT5E,TALDO1,COG2,AKR1A1,CTH,NSDHL,IDH1,NOL3	71	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.33997654878275624	1.3435032212746694	0.028971028971028972	48	0.233626976808899	SOD1,MGST1,PRDX1,NQO1,LAMTOR5,ABCC1,TXN,NDUFA6,PRDX6,OXSR1,SCAF4,NDUFS2,HMOX2	13	GSE31210_LUAD	False		0.04273226773226773
HALLMARK_UV_RESPONSE_UP	0.19411865503212944	0.943886067243213	0.16883116883116883	154	-0.11307163492342669	EPCAM,MARK2,BTG3,GLS,CHKA,CYB5R1,DGAT1,PRPF3,PPT1,TMBIM6,ICAM1,CYB5B,ONECUT1,TUBA4A,SPR,TST,ALDOA,BMP2,STIP1,AQP3,BID,EPHX1,MAOA,NAT1,PSMC3	32	GSE31210_LUAD	False		0.19531448943213647
HALLMARK_UV_RESPONSE_DN	-0.27359374677377307	-1.2131678667740093	0.07992007992007992	137	-0.2611819417340667	SLC7A1,ACVR2A,COL1A2,PIK3CD,MYC,INSIG1,NRP1,AMPH,NEK7,VLDLR,MMP16,PLCB4,RGS4,APBB2,CELF2,ZMIZ1,PHF3,SPOP,DAB2,ADD3,MRPS31,ATP2C1,ADGRL2,KCNMA1,ATP2B4	40	GSE31210_LUAD	False		0.10716556171101627
HALLMARK_ANGIOGENESIS	-0.4284877940697857	-1.4843708042407187	0.022977022977022976	35	-0.7875264858494117	NRP1,LUM,FSTL1,VCAN,THBD,POSTN,SLCO2A1,JAG2,PGLYRP1,LPL,MSX1,KCNJ8,FGFR1,CCND2	14	GSE31210_LUAD	False		0.034760111683188606
HALLMARK_COAGULATION	-0.26627382022128365	-1.1609136444842296	0.13186813186813187	136	-0.3451716013842537	THBD,FBN1,SPARC,A2M,TIMP3,F10,FGG,PROS1,MMP2,RAPGEF3,CTSK,SH2B2,GP1BA,ISCU,F2RL2,PDGFB,C1QA,P2RY1,C1S,C1R,CFD,PLEK,C2,LRP1,HTRA1	29	GSE31210_LUAD	False		0.16553659106850596
HALLMARK_IL2_STAT5_SIGNALING	-0.37985397391382547	-1.7487332170385064	0.000999000999000999	196	-0.6981548823967706	BATF3,SMPDL3A,APLP1,TIAM1,IL13,TNFRSF9,CD83,SLC1A5,DENND5A,RORA,PRAF2,CXCL10,PHTF2,POU2F1,EEF1AKMT1,GSTO1,PRNP,MYC,CD86,ENO3,CDKN1C,LIF,CTSZ,TNFRSF18,NRP1	80	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_BILE_ACID_METABOLISM	0.3002390144771071	1.3631506339208224	0.011988011988011988	109	0.20849273470033705	PRDX5,SCP2,SOD1,ABCD3,PEX6,PEX11A,IDH1,DHCR24,HSD17B6,SLC22A18,SULT2B1,CROT,ABCA4,PEX7,AMACR,NUDT12,NPC1,ABCA2,PEX13,FDXR,BCAR3,RETSAT,DIO1,PEX1,PEX16	34	GSE31210_LUAD	False		0.019647019647019648
HALLMARK_ALLOGRAFT_REJECTION	-0.5044060259120876	-2.3200065440213686	0.000999000999000999	193	-1.2467276171268555	TLR1,CXCL9,IFNG,ACVR2A,NLRP3,ZAP70,CD3E,CD86,CTSS,LIF,HIF1A,LTB,GZMB,HLA-E,CCL19,IL7,IGSF6,CCL11,EIF3A,CD247,HLA-DMB,CFP,IL10,WAS,F2R	88	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_SPERMATOGENESIS	-0.2938623415941432	-1.26891088358376	0.03996003996003996	132	-0.4618107130723468	DMC1,SCG3,RAD17,CCNB2,ODF1,ACRV1,IL13RA2,DBF4,TOPBP1,ADCYAP1,NEK2,PRKAR2A,HOXB1,AURKA,TSN,EZH2,ART3,TLE4,TTK,MTNR1A,HSPA4L,HSPA2,PACRG,HTR5A,MEP1B	57	GSE31210_LUAD	False		0.05613434184862757
HALLMARK_KRAS_SIGNALING_UP	-0.40954784747789047	-1.9078910515401466	0.000999000999000999	196	-0.7313335680613237	CXCL10,SNAP91,FCER1G,SNAP25,MYCN,PTBP2,CTSS,KLF4,LIF,NRP1,ALDH1A3,LAPTM5,GLRX,PDCD1LG2,TNFAIP3,LAT2,BTBD3,ADAMDEC1,GPRC5B,CAB39L,LY96,CPE,GADD45G,PEG3,CBL	74	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_KRAS_SIGNALING_DN	-0.15972630940376392	-0.7299190643288394	0.6883116883116883	192	-0.19506420797688082	KRT5,NR4A2,KLK8,CHRNG,GP2,MAGIX,SGK1,KCNN1,CPEB3,PCDHB1,PTGFR,CCR8,MYOT,COL2A1,PDCD1,IL12B,CD40LG,NTF3,SHOX2,ABCG4,CALCB,DLK2,CYP39A1,CCDC106,ARPP21	58	GSE31210_LUAD	False		0.6883116883116883
HALLMARK_PANCREAS_BETA_CELLS	-0.27107441079513184	-0.9571703002718283	0.31368631368631367	40	-0.5174231908528508	PKLR,CHGA,DCX,NEUROD1,SRPRB,NKX2-2,SYT13,INSM1,SCGN,PCSK1,PCSK2,PAK3,ABCC8,MAFB,AKT3,FOXO1,LMO2	17	GSE31210_LUAD	False		0.33649986377259106
KEGG_TIGHT_JUNCTION	0.4037308916066666	1.9953797882313595	0.000999000999000999	160	0.6404944199934133	CLDN4,CGN,F11R,OCLN,EZR,CLDN3,CTTN,CLDN1,ERBB2,LLGL2,MARVELD2,AMOT,CRB3,MARVELD3,MYH14,PATJ,CDC42,RAC1,CLDN23,EPB41L4B,MICALL2,PARD6B,AFDN,CLDN7,DLG3	54	GSE31210_LUAD	True	0.0018315018315018313	0.0023576423576423576
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.4498615413136356	1.7537375383271112	0.000999000999000999	42	0.8728399161397843	CLDN4,OCLN,CLDN3,CLDN1,MARVELD2,MARVELD3,GRHL2,CLDN23,MICALL2,CLDN7,STRN,POF1B,PARD3,PDCD6IP,CLDN16,CLDN9,CLDN6,SLC39A9	18	GSE31210_LUAD	True	0.0018315018315018313	0.0023576423576423576
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.45974944145520513	1.8310404979764376	0.000999000999000999	52	0.781114787376467	EVPL,OVOL2,ST14,SCEL,IVL,POU2F3,EPHA2,ADAM9,BCR,ANXA1,WNT5A,OVOL1,KRT10,OPN3,CTNNB1,KRT16,HDAC1,SPRR1B,CFLAR,PPP3CA,SPRR1A,SPRR3,ASAH1	23	GSE31210_LUAD	True	0.0018315018315018313	0.0023576423576423576
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.43092299106715287	-1.544018758435314	0.011988011988011988	46	-0.944779676672854	OLFM1,LIMS1,FAM83D,HIF1A,TRIM28,LOXL3,TBX3,LEF1,HEYL,TGFB1,HEY2,NOTCH4,SNAI2,TGFBR3,HGF,EOMES,IGF1,FGFR1,SNAI1,NOTCH1	20	GSE31210_LUAD	True	0.013186813186813187	0.019647019647019648
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.634253683345367	1.9406578439097302	0.001998001998001998	18	2.0990826704537886	CLDN4,MET,KDF1,CLDN1,SFN,LSR,FA2H,TMEM79,ALOX12B,KRT16	10	GSE31210_LUAD	True	0.002442002442002442	0.0040649006166247545
GOBP_KERATINOCYTE_DIFFERENTIATION	0.4816517981222665	1.7872839829588623	0.001998001998001998	40	0.9562728579606453	EVPL,ST14,EXPH5,SCEL,IVL,POU2F3,EPHA2,ADAM9,BCR,ANXA1,WNT5A,KRT10,OPN3,KRT16,SPRR1B,CFLAR,PPP3CA,SPRR1A,SPRR3,ASAH1	20	GSE31210_LUAD	True	0.002442002442002442	0.0040649006166247545
GOBP_KERATINIZATION	0.47258003945871047	1.9059675437763257	0.000999000999000999	56	0.9196495719342417	PPL,EVPL,KRT7,SFN,KRT80,IVL,CDH3,SHARPIN,KRT73,ABCA12,TMEM79,KRT16,CASP14,KRT4,KLK5,SPRR1B,SPRR1A,SPRR3,KRT6B,KRT81,CNFN,KRT17,KRT6A,KRT75,KRT71	28	GSE31210_LUAD	True	0.0018315018315018313	0.0023576423576423576
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.4068882414684791	1.7875017193694658	0.001998001998001998	76	0.6105324384881295	CLDN4,F11R,OCLN,ILDR1,CLDN3,CLDN1,MARVELD2,MARVELD3,GRHL2,PATJ,CLDN23,EPHA2,MICALL2,AFDN,FZD5,CLDN7,LSR,MPP7,STRN,EPHB2,POF1B,PARD3,CLDN12,PDCD6IP,CLDN16	31	GSE31210_LUAD	True	0.002442002442002442	0.0040649006166247545
KRT_EPITHELIAL	0.6937798396512788	2.1225986136114052	0.000999000999000999	17	1.7151822500874874	KRT19,KRT7,KRT18,KRT8,KRT10,KRT16,KRT4,KRT15,KRT6B,KRT17,KRT13,KRT6A,KRT6C	13	GSE31210_LUAD	True	0.0018315018315018313	0.0023576423576423576
HALLMARK_P53_PATHWAY	0.34415581506961584	1.7243712366726724	0.000999000999000999	192	0.44108947648120117	EPS8L2,PHLDA3,SDC1,PERP,SFN,FUCA1,VAMP8,PLXNB2,TM4SF1,ST14,PTPRE,WRAP73,S100A10,EPHA2,RAB40C,TRAF4,MAPKAPK3,CCNK,ZFP36L1,TGFA,JUN,MKNK2,APP,HEXIM1,GLS2	66	GSE31210_LUAD	False		0.0023576423576423576
HALLMARK_HEME_METABOLISM	0.23077902426412997	1.1585377601230045	0.03596403596403597	190	-0.05356560624192714	FBXO34,MBOAT2,IGSF3,BLVRA,P4HA2,MKRN1,ICAM4,PDZK1IP1,LAMP2,SLC10A3,ARHGEF12,TSPAN5,RHD,PIGQ,GDE1,ENDOD1,RNF19A,GAPVD1,KDM7A,SLC25A37,CPOX,HAGH,HTATIP2,SLC2A1,PC	47	GSE31210_LUAD	False		0.051753124923856635
HALLMARK_PEROXISOME	0.4239491116341247	1.9220563080788189	0.000999000999000999	101	0.6018554878687989	PRDX5,SCP2,PEX11B,ACOT8,MVP,SOD1,HMGCL,PRDX1,ABCD3,PEX6,DHRS3,ACOX1,PEX11A,IDH1,CTBP1,DHCR24,BCL10,SULT2B1,PABPC1,TSPO,STS,FIS1,PEX13,ECH1,RETSAT	36	GSE31210_LUAD	False		0.0023576423576423576
