gene,log2FC_KO_minus_WT,mean_log2_KO,mean_log2_WT,mean_norm_KO,mean_norm_WT,welch_t,welch_p,mwu_U,mwu_p,cohens_d,welch_fdr,mwu_fdr
Dock1,0.033392503666714646,9.764041704995341,9.730649201328626,906.2104539856688,880.7506862568774,0.11119528367312344,0.9142155098144696,13.0,1.0,0.0703260722951208,0.9879571257417247,1.0
Sema4a,-0.022982394406934503,8.230202614747038,8.253185009153972,301.6486677302414,314.4150644359118,-0.11239478440978334,0.9142432118605569,14.0,0.8412698412698413,-0.07108470317169982,0.9879571257417247,0.9961866853217314
Ssr1,-0.019956432377645328,11.461637144968659,11.481593577346304,2863.794787713824,2898.3400345530877,-0.11109020957528938,0.9142847440437417,11.0,0.8412698412698413,-0.07025961760067222,0.9879571257417247,0.9961866853217314
Tmx3,-0.032393327848728504,11.07377421811897,11.106167545967699,2234.107959068686,2306.00748874212,-0.11099325935868005,0.9143946049126718,10.0,0.6904761904761905,-0.07019830089984576,0.9880050093081506,0.980364319804787
Gm14295,-0.04430896416707064,4.976385899282846,5.020694863449917,30.807520762568863,35.7831638192997,-0.11284202238698864,0.9149136020186843,11.0,0.8412698412698413,-0.07136756130451885,0.9884482920232265,0.9961866853217314
Cse1l,0.024547163910787262,11.132560220926885,11.108013057016098,2287.3311174760797,2268.129334823168,0.11030141418956202,0.9149990489982044,14.0,0.8412698412698413,0.06976073959532629,0.9884482920232265,0.9961866853217314
Gm10778,-0.04063605645872759,3.536383155019196,3.5770192114779236,11.563132725076752,11.437964038722848,-0.11055014554576505,0.9150015934850447,13.0,1.0,-0.06991805111754715,0.9884482920232265,1.0
Ccl8,-0.0535737470142692,9.906339768712396,9.959913515726665,1054.9628283884163,1155.6813386781992,-0.11013312082971478,0.9150899677755012,12.0,1.0,-0.06965430152888638,0.988472917033118,1.0
Anxa3,0.01756693375050311,11.739692841205878,11.722125907455375,3466.3846099570255,3414.9959405955146,0.10985810295203297,0.9152582258871101,12.0,1.0,0.06948036495073835,0.9885604325118786,1.0
Gbf1,-0.0409473567005918,9.876575142750669,9.91752249945126,981.469371859111,1042.3681758318714,-0.11000294264013818,0.9153021559169229,12.0,1.0,-0.06957196961273852,0.9885604325118786,1.0
Trappc12,0.02962513323076088,8.366002166046277,8.336377032815516,334.7903740675822,340.4066317494204,0.11024430706725921,0.9155804725474358,13.0,1.0,0.06972462187990736,0.9886166184809937,1.0
Exosc3,-0.0292770648596683,7.068071845914318,7.097348910773986,138.52896911515427,139.9238442004292,-0.10939151502399279,0.915645705088061,15.0,0.6904761904761905,-0.06918526883446921,0.9886166184809937,0.980364319804787
Pfkfb1,0.030296113239455913,6.331884879169825,6.301588765930369,82.54313724962667,80.9358973187124,0.10928131326464427,0.9156835425567257,12.0,1.0,0.06911557112212939,0.9886166184809937,1.0
Dcaf11,-0.016706421131866378,8.33237962416905,8.349086045300917,321.85140452230695,332.10180882799636,-0.11152477635211681,0.9158393342536721,17.0,0.42063492063492064,-0.07053446176271475,0.9886166184809937,0.9481426886092655
Itga3,-0.04738786367397552,12.821488564763055,12.86887642843703,7373.581293317757,8859.095478411773,-0.11112209420569463,0.9158427947640441,14.0,0.8412698412698413,-0.07027978321155884,0.9886166184809937,0.9961866853217314
Nono,0.010372234977751305,12.085579907198838,12.075207672221087,4368.207896765007,4329.161237391058,0.10916364157752602,0.9158646517146248,13.0,1.0,0.06904114901264771,0.9886166184809937,1.0
Rad18,0.02397668051194657,8.872931379532345,8.848954699020398,483.3178842720748,464.99767945514196,0.10987422717848848,0.9159496761371486,14.0,0.8412698412698413,0.06949056280695991,0.9886166184809937,0.9961866853217314
Hapstr1,-0.008875039698825304,10.344663269304688,10.353538309003513,1301.1231203041239,1313.68530804857,-0.10985289125251424,0.9160487069490155,13.0,1.0,-0.06947706878254643,0.9886166184809937,1.0
Ttc21b,0.02404415332469867,9.001706752672678,8.97766259934798,521.7722380972848,516.6923327256546,0.10884265056214323,0.9160975379305988,12.0,1.0,0.06883813646923577,0.9886166184809937,1.0
Usb1,-0.018775730562129667,8.683049012326515,8.701824742888645,410.6699998762382,426.0172672723,-0.11139264331904632,0.9161090520462126,13.0,1.0,-0.07045089349498493,0.9886166184809937,1.0
Il17rb,-0.036713832316833006,5.136933170537909,5.173647002854742,37.34962827066995,35.10456133125382,-0.11208674386563834,0.9161224951898179,18.0,0.30952380952380953,-0.07088988122546466,0.9886166184809937,0.9178540981610035
Gm8276,0.05918000059635009,4.550158882969635,4.490978882373285,27.06216278527188,24.043623943029118,0.10890696013220526,0.9161412410895322,11.0,0.8412698412698413,0.06887880941258422,0.9886166184809937,0.9961866853217314
Cdk2ap1,-0.03107282277592649,7.507905068487441,7.538977891263367,184.02551809771498,196.1152430297562,-0.10968943092888435,0.9162349036493511,12.0,1.0,-0.06937368739659869,0.9886257222070016,1.0
L2hgdh,0.020332427478651383,7.453117862280024,7.432785434801373,177.32395486303818,174.6856868674438,0.10849700602210069,0.9162808557839722,13.0,1.0,0.06861953166776862,0.9886257222070016,1.0
Arid2,-0.029632894608299765,10.416460041192957,10.446092935801257,1394.1216320160243,1457.36382536455,-0.10887884020719617,0.916379427751194,10.0,0.6904761904761905,-0.06886102481045184,0.9886338344411878,0.980364319804787
Rpl28,-0.04543566493328832,12.327189931760246,12.372625596693535,5532.547605875736,5815.013731683948,-0.10841193100545557,0.9164195538255341,12.0,1.0,-0.06856572550285356,0.9886338344411878,1.0
Trim43a,0.04343297629843512,4.323686991971959,4.280254015673524,21.37958344345116,19.28745107107308,0.10870545455298355,0.9166234323940525,12.0,1.0,0.06875136609426978,0.9886810753722939,1.0
Mcrip2,-0.05911806091270755,5.079765584837999,5.138883645750706,36.3542202325605,41.287441853610225,-0.10818100940050931,0.9166370536087124,13.0,1.0,-0.0684196778563392,0.9886810753722939,1.0
Ddx11,0.015995592393936775,7.677064824595869,7.661069232201932,205.07254858589818,204.0757767849168,0.10838267806210174,0.9166601226250785,12.0,1.0,0.06854722431700115,0.9886810753722939,1.0
Osbpl7,-0.03267830918257353,7.19922259750458,7.231900906687153,151.9714416086714,157.3057861553794,-0.10791412992776724,0.916766790313346,13.0,1.0,-0.06825088845741725,0.9887253742410607,1.0
