contrast	symbol	status	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	simple_log2FC_pseudocount	mean_norm_depleted	mean_norm_control
GSE135274_XRCC4_within_mirin	DCLRE1C	tested	56.56377234894174	-0.04173002001886259	0.3340462565559755	-0.12492287879259613	0.9005846055947104	0.9623927563646733	-0.03907262340308115	55.862649600036534	57.42370894592966
GSE135274_XRCC4_within_mirin	PAXX	tested	580.811388595384	0.0604633206474987	0.13871297625613627	0.435887991732309	0.6629179980107468	0.8614518827040626	0.06719557769372031	595.5103911207964	568.3641639287766
GSE135274_XRCC4_within_mirin	APLF	tested	9.19290446634022	0.05972357826675423	0.8115363145795036	0.0735932295250397	0.941334058587879		0.06182621773364971	9.429810018103296	8.992285900887545
GSE135274_double_block_vs_WT	XRCC6	tested	2825.489726059517	0.36669576755824607	0.09041221409228087	4.055821121513199	4.9958483259907126e-05	0.0006144238554483897	0.34920736804744834	3170.8682401565975	2488.965019301992
GSE135274_double_block_vs_WT	XRCC5	tested	2286.7069322695443	0.2274687722478977	0.08596504770208409	2.6460611414560185	0.008143509590959625	0.04259856570181388	0.21032891070140458	2456.6983576333914	2123.287375762815
GSE135274_double_block_vs_WT	PRKDC	tested	5534.636009791529	0.2862271860030604	0.07728406736500422	3.703573010090691	0.00021258396162215045	0.0020994664179751475	0.2689460228737488	6056.999754059503	5026.689298314913
GSE135274_double_block_vs_WT	XRCC4	tested	59.01524341292402	-0.24028932319379007	0.3408891664319097	-0.7048898787512106	0.4808787692729676	0.7175215988186333	-0.2511167455493739	53.937492883335565	64.38264851749419
GSE135274_double_block_vs_WT	LIG4	tested	63.14823059739718	-0.010369430503041009	0.3292323762388251	-0.0314957800368911	0.9748741575197416	0.9901006772614092	-0.02589691856763654	62.727915364932464	63.882184199541214
GSE135274_double_block_vs_WT	NHEJ1	tested	115.99101415781259	0.32324950038642314	0.24792674269782977	1.3038105404401488	0.1922981878871578	0.4182504774663403	0.3046400161385918	128.50206223280784	103.85059554658089
GSE135274_double_block_vs_WT	DCLRE1C	tested	51.5846154386667	0.14034354720381886	0.36311167507148745	0.38650243668477136	0.6991245983364758	0.8581057780336333	0.11904402997200503	53.792379538655624	49.45269128836226
GSE135274_double_block_vs_WT	PAXX	tested	529.269446717323	0.25305578247186117	0.14836882005694726	1.7055860009854682	0.08808518761811003	0.24990030953562029	0.2370697055464177	573.4589001770689	486.4093656667547
GSE135274_double_block_vs_WT	APLF	below_count_filter							2.0872991899291247	9.080649170956786	1.3721865244066906
