accession	bioproject	title	organism	access	release_date	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why	page_ok	description	data_type	accessibility_page	organization	n_files	file_names	related_accessions	publications	desc_lung	desc_ici	desc_neoadjuvant	desc_mpr_keyword	desc_gene_keyword	priority
OMIX006019	PRJCA024188	Twist1 SUMOylation Drives Chemotherapy Resistance in Human Lung Cancer	Homo sapiens	Open	2025-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX006019	True	False	False	False	False	lung	True	High-through sequencings including Twist1-ChIP-Seq were performed on the stable cell lines H1299-SENP-KO+TWIST1, H1299+TWIST1-WT, H1299+TWIST1-K38R, H1299+TWIST1-K73R.	Genome Binding/Occupancy Profiling	Open-access	Shanghai Jiao Tong University School of Medicine	0		OMIX006019;PRJCA024188	OMIX006019-01 | OMIX006019-02 | OMIX006019-03 | OMIX006019-04	True	False	False	False	False	0
OMIX006024	PRJCA023536	Lipidome in lung tissues from PR8-infected mice	Mus musculus	Open	2024-03-19	https://ngdc.cncb.ac.cn/omix/release/OMIX006024	True	False	False	False	False	lung	True	WT and Pla2g2e-/- mice were infected with 1500 PFU of PR8 virus, lungs and splenocytes were harvested on day 7 p.i. for subsequent mass spectrometry-based lipidomic analysis.	Lipidome Data by Mass Spectrometry (MS)	Open-access	Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences	1	OMIX006024-01.rar	OMIX006024;OMIX006025;PRJCA023536	OMIX006024-01 | Secreted phospholipase PLA2G2E contributes to regulation of T cell immune response against influenza virus infection	True	False	False	False	False	0
OMIX006131	PRJCA024874	metabolome of mouse lung cancer tissue	Mus musculus	Open	2026-01-30	https://ngdc.cncb.ac.cn/omix/release/OMIX006131	True	False	False	False	False	lung	True	6 GF and 6 SPF LLC cell derived CDX tumor sample, detected by GCMS and LCMS.	Metabolome Data by Mass Spectrometry (MS)	Open-access	Tianjin Medical University General Hospital	2	OMIX006131-02.xlsx;OMIX006131-01.xlsx	OMIX006131;PRJCA024874	OMIX006131-01 | OMIX006131-02	True	False	False	False	False	0
OMIX006132	PRJCA024580	WGBS of lung adenocarcinoma	Homo sapiens	Open	2025-02-26	https://ngdc.cncb.ac.cn/omix/release/OMIX006132	True	False	False	False	False	lung	True	Lung adenocarcinoma, a prevalent sub type of lung cancer, serves as the focal point of our project. We meticulously collected specimens across various stages of lung adenocarcinoma development alongside control samples from conditions such as pneumonia and pulmonary fibrosis . Utilizing advanced genomic techniques, including Whole Genome Bisulfite Sequencing , Assay for Transposase-Accessible Chromatin sequencing , and RNA sequencing, we conducted comprehensive analyses on these specimens. Our approach enabled the creation of detailed epigenetic landscapes of lung adenocarcinoma at differing stages of its evolution. By integrating this with stage-specific expression profiles, we delved into the epigenetic underpinnings that drive the progression of lung adenocarcinoma, aiming to uncover novel insights into its pathogenesis.	Methylation Profiling	Open-access	The Second Affiliated Hospital, Zhejiang University School of Medicine	13	OMIX006132-12.zip;OMIX006132-05.zip;OMIX006132-04.zip;OMIX006132-06.zip;OMIX006132-10.zip;OMIX006132-07.zip;OMIX006132-08.zip;OMIX006132-09.zip;OMIX006132-11.zip;OMIX006132-02.zip;OMIX006132-13.zip;OMIX006132-01.zip;OMIX006132-03.zip	OMIX006132;OMIX006133;OMIX006134;PRJCA024580	OMIX006132-01 | OMIX006132-02 | OMIX006132-03 | OMIX006132-04 | OMIX006132-05 | OMIX006132-06 | OMIX006132-07 | OMIX006132-08	True	False	False	False	False	0
OMIX006133	PRJCA024580	ATAC_seq of lung adenocarcinoma	Homo sapiens	Open	2025-02-26	https://ngdc.cncb.ac.cn/omix/release/OMIX006133	True	False	False	False	False	lung	True	Lung adenocarcinoma, a prevalent sub type of lung cancer, serves as the focal point of our project. We meticulously collected specimens across various stages of lung adenocarcinoma development alongside control samples from conditions such as pneumonia and pulmonary fibrosis . Utilizing advanced genomic techniques, including Whole Genome Bisulfite Sequencing , Assay for Transposase-Accessible Chromatin sequencing , and RNA sequencing, we conducted comprehensive analyses on these specimens. Our approach enabled the creation of detailed epigenetic landscapes of lung adenocarcinoma at differing stages of its evolution. By integrating this with stage-specific expression profiles, we delved into the epigenetic underpinnings that drive the progression of lung adenocarcinoma, aiming to uncover novel insights into its pathogenesis.	Chromatin Accessibility Profiling	Open-access	The Second Affiliated Hospital, Zhejiang University School of Medicine	2	OMIX006133-02.zip;OMIX006133-01.zip	OMIX006132;OMIX006133;OMIX006134;PRJCA024580	OMIX006133-01 | OMIX006133-02 | Epigenetic-mediated positive feedback loop facilitates the progression of lung adenocarcinoma	True	False	False	False	False	0
OMIX006134	PRJCA024580	RNA_seq of lung adenocarcinoma	Homo sapiens	Open	2025-02-26	https://ngdc.cncb.ac.cn/omix/release/OMIX006134	True	False	False	False	False	lung	True	Lung adenocarcinoma, a prevalent sub type of lung cancer, serves as the focal point of our project. We meticulously collected specimens across various stages of lung adenocarcinoma development alongside control samples from conditions such as pneumonia and pulmonary fibrosis . Utilizing advanced genomic techniques, including Whole Genome Bisulfite Sequencing , Assay for Transposase-Accessible Chromatin sequencing , and RNA sequencing, we conducted comprehensive analyses on these specimens. Our approach enabled the creation of detailed epigenetic landscapes of lung adenocarcinoma at differing stages of its evolution. By integrating this with stage-specific expression profiles, we delved into the epigenetic underpinnings that drive the progression of lung adenocarcinoma, aiming to uncover novel insights into its pathogenesis.	Expression Profiling	Open-access	The Second Affiliated Hospital, Zhejiang University School of Medicine	1	OMIX006134-01.zip	OMIX006132;OMIX006133;OMIX006134;PRJCA024580	OMIX006134-01 | Epigenetic-mediated positive feedback loop facilitates the progression of lung adenocarcinoma	True	False	False	False	False	0
OMIX006542	PRJCA021194	Gene Profile in EGFRm Locally Advanced or Metastatic NSCLC patients post Osimertinib 1L treatment failure: A real-world, multi-center Study (GPS)-Demographic data	Homo sapiens	Open	2025-12-23	https://ngdc.cncb.ac.cn/omix/release/OMIX006542	True	False	False	False	False	lung	True	Demographic data of 183 patients enrolled	Demographic Data	Open-access	National Cancer Center/Cancer Hospital, Chinese Academy of Medical Sciences	1	OMIX006542-01.xlsx	OMIX006542;PRJCA021194	OMIX006542-01	True	False	False	False	False	0
OMIX006546	PRJCA021194	Gene Profile in EGFRm Locally Advanced or Metastatic NSCLC patients post Osimertinib 1L treatment failure: A real-world, multi-center Study (GPS)-Other informatio	Homo sapiens	Open	2025-12-23	https://ngdc.cncb.ac.cn/omix/release/OMIX006546	True	False	False	False	False	lung	True	Other information of 183 patients enrolled	Other Type of Clinical information	Open-access	National Cancer Center/Cancer Hospital, Chinese Academy of Medical Sciences	1	OMIX006546-01.xlsx	OMIX006546;PRJCA021194	OMIX006546-01	True	False	False	False	False	0
OMIX006547	PRJCA021194	Gene Profile in EGFRm Locally Advanced or Metastatic NSCLC patients post Osimertinib 1L treatment failure: A real-world, multi-center Study (GPS)-Genomics Data	Homo sapiens	Open	2025-12-23	https://ngdc.cncb.ac.cn/omix/release/OMIX006547	True	False	False	False	False	lung	True	Genomics Data of 183 patients enrolled	Other Type of Genomic Data	Open-access	National Cancer Center/Cancer Hospital, Chinese Academy of Medical Sciences	1	OMIX006547-01.zip	OMIX006547;PRJCA021194	OMIX006547-01 | A prospective, multicenter, comprehensive genomic profile signature study in patients with EGFR-mutant advanced non-small cell lung cancer at the first-line treatment failure of osimertinib	True	False	False	False	False	0
OMIX006685	PRJCA027052	Metagenomic Next Generation Sequencing for Identifying Pulmonary Infection Pathogens in Liver Transplant Patients	Bacteria	Open	2024-06-18	https://ngdc.cncb.ac.cn/omix/release/OMIX006685	True	False	False	False	False	lung	True	To assess the pathogen distribution among patients with pulmonary infection following liver transplantation and investigate the association between patient prognosis and infections within the initial four-week period post-transplantation.	Other Type of Genomic Data	Open-access	Jiangsu Simcere Diagnostics Co., Ltd.	1	OMIX006685-01.zip	OMIX006685;PRJCA027052	OMIX006685-01 | Predictive performance of Metagenomic Next Generation Sequencing in early detection of post-liver transplantation infections	True	False	False	False	False	0
OMIX006712	PRJCA027246	Estrogen oppositely regulates pulmonary hypertension via METTL3/PFKFB3 under normoxia and hypoxia	Rattus norvegicus	Open	2024-10-14	https://ngdc.cncb.ac.cn/omix/release/OMIX006712	True	False	False	False	False	lung	True	PASMCs cultured under normoxia and hypoxia for 48 h were collected for the TMT-labeled quantitative proteomics analysis. The analysis was performed using aQ-Exactive mass spectrometer (Thermofisher, USA) by Shanghai Lu-Ming Biotech Co.,Ltd. (Shanghai, China). Briefly, PASMCs were lysed with 300 µL lysis buffer, followed by protein concentration measurement and quality control of the protein samples. Then the lyophilized samples were labeled with TMT. The mass spectrometry analysis using Proteome Discover 2.4 (Thermofisher, USA). Based on the criteria of Score Sequest HT more than 0 and unique peptide more than 0, the credible proteins were screened and the blank value was removed. The differentially expressed proteins were screened according to the criteria of fold change more than 1.5 or less than 0.67 and p-value less than 0.05, followed by GO enrichment analysis.	Proteomic Data by Mass Spectrometry (MS)	Open-access	Guangzhou Medical University	1	OMIX006712-01.zip	OMIX006712;PRJCA027246	OMIX006712-01 | Estrogen Oppositely Regulates Pulmonary Hypertension via METTL3/PFKFB3 Under Normoxia and Hypoxia	True	False	False	False	False	0
OMIX006787	PRJCA018003	Plasma metabolism of third-generation EGFR-TKI treatment in patients with NSCLC	Homo sapiens	Open	2024-07-10	https://ngdc.cncb.ac.cn/omix/release/OMIX006787	True	False	False	False	False	lung	True	Advanced EGFR T790M-mutated non-small cell lung cancer (NSCLC) inevitably develops resistance to third-generation EGFR tyrosine kinase inhibitors (EGFR-TKIs) therapy. Metabolic reprogramming support EGFR-TKI resistance, while thorough metabolomics clinical studies are limited. Here, we enrolled 186 NSCLC patients from Phase I and IIa clinical studies and characterized responsive metabolic features of third-generation EGFR-TKI. Our study included locally advanced or metastatic NSCLC patients from the open-label, single-arm, phase I/IIa study of BPI-7711(NCT03386955). Tumor diagnosis was confirmed by histology or cytology, with EGFR-sensitive mutations (including Exon19Deletion, L858R, G719X, L861QandS768I).	Other Type of Metabolome Data	Open-access	National Cancer Center/Cancer Hospital, Chinese Academy of Medical Sciences	1	OMIX006787-01.rar	OMIX004443;OMIX006787;OMIX008027;PRJCA018003	OMIX006787-01 | Plasma metabolomics profiling of EGFR-mutant NSCLC patients treated with third-generation EGFR-TKI | Spop deficiency impairs adipogenesis and promotes thermogenic capacity in mice	True	False	False	False	False	0
OMIX006889	PRJCA028123	Inactivation of Malic Enzyme 1 in Endothelial  Cells Alleviates Pulmonary Hypertension	Homo sapiens	Open	2024-07-17	https://ngdc.cncb.ac.cn/omix/release/OMIX006889	True	False	False	False	False	lung	True	We found that Malic Enzyme 1 protein level and enzymatic activity were highly elevated in lung tissues of patients and mice with Pulmonary Hypertension, primarily in vascular endothelial cells. Global knockout of Malic Enzyme 1 protected mice from developing hypoxia or induced Pulmonary Hypertension. Endothelial-specific Malic Enzyme deletion similarly attenuated pulmonary vascular remodeling and Pulmonary Hypertension envelopment in mice, suggesting a critical role of endothelial Malic Enzyme in Pulmonary Hypertension.	Metabolome Data by Mass Spectrometry (MS)	Open-access	Institute of Basic Medical Sciences Chinese Academy of Medical Sciences, School of Basic Medicine Peking Union Medical College	1	OMIX006889-01.xlsx	OMIX006889;PRJCA028123	OMIX006889-01	True	False	False	False	False	0
OMIX006909	PRJCA028263	Transcriptional data of lung plasmacytoid dendritic cells in allergic asthma mice	Mus musculus	Open	2024-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX006909	True	False	False	False	False	lung	True	Lung plasmacytoid dendritic cells from naive C57BL/6J mice and house dust mite-induced allergic asthmatic C57BL/6J mice were isolated through FACS, RNA-seq was performed using Smart seq2.	Expression Profiling	Open-access	Fudan University	1	OMIX006909-01.xlsx	OMIX006909;PRJCA028263	OMIX006909-01	True	False	False	False	False	0
OMIX007132	PRJCA029104	metabolome of ABX treated mouse lung cancer tissue	Mus musculus	Open	2024-12-30	https://ngdc.cncb.ac.cn/omix/release/OMIX007132	True	False	False	False	False	lung	True	4 ABX mouse with LLC cell derived CDX tumor sample, detected by GCMS and LCMS.	Metabolome Data by Mass Spectrometry (MS)	Open-access	Tianjin Medical University General Hospital	2	OMIX007132-01.xlsx;OMIX007132-02.xlsx	OMIX007132;PRJCA029104	OMIX007132-01 | OMIX007132-02	True	False	False	False	False	0
OMIX007331	PRJCA019766	The genetic test result data  of a research about non-small cell lung cancer with abnormal c-Met.for the articles	Homo sapiens	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007331	True	False	False	False	False	lung	True	Data of a research about non-small cell lung cancer with abnormal c-Met.	Other Type of Genomic Data	Open-access	ClinChoice Enterprise Management (Shanghai) Limited	0		OMIX007331;PRJCA019766	OMIX007331-01	True	False	False	False	False	0
OMIX007474	PRJCA030444	Envafolimab plus lenvatinib and TACE in uHCC	Homo sapiens	Open	2024-10-01	https://ngdc.cncb.ac.cn/omix/release/OMIX007474	False	True	False	False	False	ici	True	The IMC raw date of the project: Envafolimab plus lenvatinib and transcatheter arterial chemoembolization for unresectable hepatocellular carcinoma: a prospective, single-arm, phase II study	Other Type of Image Data	Open-access	First Affiliated Hospital, Zhejiang University	3	OMIX007474-02.csv;OMIX007474-01.rar;OMIX007474-03.rar	OMIX007474;PRJCA030444	OMIX007474-01 | OMIX007474-02 | OMIX007474-03 | Envafolimab plus lenvatinib and transcatheter arterial chemoembolization for unresectable hepatocellular carcinoma: a prospective, single-arm, phase II study	False	True	True	False	False	0
OMIX007478	PRJCA030465	Artificial Synthesis of Functional Immunomolecules and Their Application in Tumor Immunotherapy	mixed sample	Open	2026-01-30	https://ngdc.cncb.ac.cn/omix/release/OMIX007478	False	True	False	False	False	ici	True	This project focuses on the preclinical research of protein drugs derived from selected artificial immune molecules with anti-tumor functions. Additionally, it involves engineering oncolytic viruses to express these molecules and conducting corresponding preclinical studies. The project aims to establish a technical system for the preclinical safety evaluation of products related to artificial immune molecules, design clinical trial protocols, and apply for clinical trial approval.	Condition-specific Biomarkers	Open-access	Beijing Syngentech Co., Ltd.	9	OMIX007478-06.xlsx;OMIX007478-09.xlsx;OMIX007478-10.xlsx;OMIX007478-08.xlsx;OMIX007478-07.xlsx;OMIX007478-03.xlsx;OMIX007478-04.xlsx;OMIX007478-05.xlsx;OMIX007478-02.xlsx	OMIX007478;PRJCA030465	OMIX007478-02 | OMIX007478-03 | OMIX007478-04 | OMIX007478-05 | OMIX007478-06 | OMIX007478-07 | OMIX007478-08 | OMIX007478-09	False	True	False	False	False	0
OMIX007479	PRJCA030468	Epigenetic study of lung cancer	Homo sapiens	Open	2025-02-26	https://ngdc.cncb.ac.cn/omix/release/OMIX007479	True	False	False	False	False	lung	True	Lung cancer is characterized by high mortality and encompasses various subtypes. Treatment options and outcomes vary considerably across these subtypes. In the present study, subtype-specific CpG sites in lung cancer were identified, and a novel methylation vector-based algorithm was proposed to assess the methylation status across continuous CpG regions. By employing this approach, subtype-specific methylation vector clusters (SMVCs) were detected across various tissues, which were further validated using data from diverse sources. The aberrant methylation signals observed in each lung cancer subtype appear to be influenced by the cell of origin and the immune environment within the blood. Evidence is provided that small cell lung cancer (SCLC) exhibits abnormal methylation intervals within neural cells and pancreatic islet cells, with NeuroD1 binding specifically to these regions. Furthermore, neurological disease drugs that interact with NeuroD1 are proposed as potential therapeutic candidates for SCLC.	Methylation Profiling	Open-access	The Second Affiliated Hospital, Zhejiang University School of Medicine	3	OMIX007479-03.zip;OMIX007479-02.zip;OMIX007479-01.zip	OMIX007479;PRJCA030468	OMIX007479-01 | OMIX007479-02 | OMIX007479-03	True	False	False	False	False	0
OMIX007501	PRJCA030487	WES data of small cell lung cancer	Homo sapiens	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007501	True	False	False	False	False	lung	True	Proteogenomic characterization of small cell lung cancer identifies biological insights and subtypespecific therapeutic strategies	Other Type of Genomic Data	Open-access	Center for Excellence in Molecular Cell Science, Chinese Academy of Sciences	0		OMIX007501;PRJCA030487	OMIX007501-01	True	False	False	False	False	0
OMIX007502	PRJCA030487	Transcriptomic of small cell lung cancer	Homo sapiens	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007502	True	False	False	False	False	lung	True	Proteogenomic characterization of small cell lung cancer identifies biological insights and subtypespecific therapeutic strategies	Expression Profiling	Open-access	Center for Excellence in Molecular Cell Science, Chinese Academy of Sciences	0		OMIX007502;PRJCA030487	OMIX007502-01	True	False	False	False	False	0
OMIX007503	PRJCA030487	Proteomic data of small cell lung cancer	Homo sapiens	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007503	True	False	False	False	False	lung	True	Proteogenomic characterization of small cell lung cancer identifies biological insights and subtypespecific therapeutic strategies	Proteomic Data by Mass Spectrometry (MS)	Open-access	Center for Excellence in Molecular Cell Science, Chinese Academy of Sciences	1	OMIX007503-01.zip	OMIX007503;PRJCA030487	OMIX007503-01	True	False	False	False	False	0
OMIX007590	PRJCA030919	Plasma metabolomics in EGC patients during PD-L1 based immunotherapy	Homo sapiens	Open	2024-10-08	https://ngdc.cncb.ac.cn/omix/release/OMIX007590	False	True	False	False	False	ici	True	The PUCH Center's cohort of EGC (gastroesophagus cancer) patients undergoing immunotherapy aims to explore the corresponding plasma metabolomic changes associated with alterations in body composition during immunotherapy.	Metabolome Data by Mass Spectrometry (MS)	Open-access	Peking University Cancer Hospital	1	OMIX007590-02.csv	OMIX007590;PRJCA030919	OMIX007590-02	False	True	False	False	False	0
OMIX007643	PRJCA031228	RNA-Seq Analysis of Gene Expression in STX12 Knockout Mice Lung Tissue	Mus musculoides	Open	2024-10-16	https://ngdc.cncb.ac.cn/omix/release/OMIX007643	True	False	False	False	False	lung	True	This dataset includes RNA-sequencing data from lung tissue samples of STX12 knockout and the littermate control mice, collected to investigate the differential gene expression with STX12 deficiency. The experiment was designed to understand the molecular mechanisms underlying the phenotype following STX12 knockout.	Expression Profiling	Open-access	The First Affiliated Hospital of Zhengzhou University	1	OMIX007643-01.zip	OMIX007643;PRJCA031228	OMIX007643-01 | Pulmonary mitochondrial DNA release and activation of the cGAS-STING pathway in Lethal Stx12 knockout mice	True	False	False	False	False	0
OMIX007696	PRJCA031510	Identification of Serum Metabolites to improve diagnostic efficacy in pulmonary embolism	Homo sapiens	Open	2024-10-25	https://ngdc.cncb.ac.cn/omix/release/OMIX007696	True	False	False	False	False	lung	True	Pulmonary embolism (PE) is a life-threatening disease. Our aim was to search for potential biomarkers using modern high-throughput metabolomics methods to improve diagnostic efficacy. The discovery cohort included 60 participants, including 30 PE patients and 30 healthy individuals. The validation cohort had 40 participants, including 20 PE patients and 20 healthy individuals. Gas chromatography-mass spectrometry (GC-MS) was combined with multivariate data analysis to determine serum metabolic profiles in patients with PE and healthy controls.	Metabolome Data by Mass Spectrometry (MS)	Open-access	Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine	27	OMIX007696-07.raw;OMIX007696-01.raw;OMIX007696-06.raw;OMIX007696-19.raw;OMIX007696-10.raw;OMIX007696-28.raw;OMIX007696-22.raw;OMIX007696-23.raw;OMIX007696-05.raw;OMIX007696-14.raw;OMIX007696-16.raw;OMIX007696-27.raw;OMIX007696-13.raw;OMIX007696-24.raw;OMIX007696-04.raw;OMIX007696-12.raw;OMIX007696-15.raw;OMIX007696-03.raw;OMIX007696-08.raw;OMIX007696-11.raw;OMIX007696-02.raw;OMIX007696-09.raw;OMIX007696-25.raw;OMIX007696-26.raw;OMIX007696-21.raw;OMIX007696-17.raw;OMIX007696-18.raw	OMIX007696;PRJCA031510	OMIX007696-01 | OMIX007696-02 | OMIX007696-03 | OMIX007696-04 | OMIX007696-05 | OMIX007696-06 | OMIX007696-07 | OMIX007696-08	True	False	False	False	False	0
OMIX007747	PRJCA031787	Effect of cyclosporin A on lung tissue damage and lung and gut microbiota in mice by immunosuppression	Mus	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX007747	True	False	False	False	False	lung	True	Difference analysis of lung and intestinal microflora	Expression Profiling	Open-access	Hunan University of Traditional Chinese Medicine	2	OMIX007747-02.tar.bz2;OMIX007747-01.tar.bz2	OMIX007747;PRJCA031787	OMIX007747-01 | OMIX007747-02	True	False	False	False	False	0
OMIX007816	PRJCA032109	Tryptophan metabolism of lower respiratory tract flora in patients with lung cancer	Homo	Open	2024-11-11	https://ngdc.cncb.ac.cn/omix/release/OMIX007816	True	False	False	False	False	lung	True	This study included 28 patients with non-small cell lung cancer receiving chemotherapy combined with lCl. Targeted metabolomics sequencing was used to detect lower respiratory tract microbiota-related tryptophan metabolism in these patients	Metabolome Data by Mass Spectrometry (MS)	Open-access	Air Force Medical University	1	OMIX007816-01.zip	OMIX007816;PRJCA032109	OMIX007816-01 | Microbial dysbiosis with tryptophan metabolites alteration in lower respiratory tract is associated with clinical responses to anti-PD-1 immunotherapy in advanced non-small cell lung cancer	True	False	False	False	False	0
OMIX007874	PRJCA030083	Intermittent Hypoxia Induces Changes in the Pulmonary Microbiome and Metabolites in a Mouse Model of Obstructive Sleep Apnea Syndrome	Mus musculus	Open	2024-11-13	https://ngdc.cncb.ac.cn/omix/release/OMIX007874	True	False	False	False	False	lung	True	This study subjected C57BL/6J mice to intermittent hypoxia (IH) treatment for 4 weeks. We used LC-MS metabolomics to analyze the metabolites in the bronchoalveolar lavage fluid. The results revealed that after intermittent hypoxia treatment, the pulmonary metabolic levels were significantly disrupted. The altered metabolites mainly included Prostaglandin E2, Stachydrine, Cohumulone, Nootkatone, and Embelin, which are related to various metabolic pathways. The involved metabolic pathways mainly include nicotinic acid and nicotinamide metabolism, regulation of inflammatory mediators by TRP channels, neuroactive ligand-receptor interaction, histidine metabolism, and nucleotide metabolism.	Metabolome Data by Mass Spectrometry (MS)	Open-access	Xuzhou Medical University	1	OMIX007874-01.zip	OMIX007874;PRJCA030083	OMIX007874-01 | Intermittent hypoxia drives lung microbiome-metabolome remodeling to create a pro-inflammatory landscape in murine OSAHS	True	False	False	False	False	0
OMIX007918	PRJCA032353	Cholesterol biosynthesis induced by targeted therapy promote quiescence cell survival and drug resistance in lung cancer 2	Homo sapiens	Open	2026-01-14	https://ngdc.cncb.ac.cn/omix/release/OMIX007918	True	False	False	False	False	lung	True	ATAC-seq bw for pc9	Chromatin Accessibility Profiling	Open-access	Shanghai Institute of Biochemistry and Cell Biology, Chinese Academy of Sciences	1	OMIX007918-01.zip	OMIX007899;OMIX007918;OMIX007949;PRJCA032353	OMIX007918-01 | Therapy-induced cholesterol biosynthesis drives lung cancer dormancy and drug resistance	True	False	False	False	False	0
OMIX007953	PRJCA032026	Sputum Proteome Reveals Cilium-Associated Endotypes and Prognostic Immunoglobulin Markers Among Acute Exacerbation of Chronic Obstructive Pulmonary Disease	Homo sapiens	Open	2026-08-15	https://ngdc.cncb.ac.cn/omix/release/OMIX007953	True	False	False	False	False	lung	True	This study integrates sputum proteomics and chest CT radiomics to characterize airway host responses in AECOPD. We identified distinct molecular endotypes: a ciliary-enriched profile reflecting preserved epithelial integrity, and a keratinization-dominant profile correlating with severe radiographic inflammatory burden. Additionally, a novel mucosal immunoglobulin-based prognostic risk score significantly outperforms traditional clinical history in predicting future severe exacerbations, providing a new framework for endotype-driven precision management in COPD.	Proteomic Data by Mass Spectrometry (MS)	Open-access	Shenzhen People's Hospital	2	OMIX007953-02.zip;OMIX007953-01.zip	OMIX007953;PRJCA032026	OMIX007953-01 | OMIX007953-02 | Ciliary-Enriched and Keratinization-Dominant Endotypes Drive Molecular Heterogeneity in AECOPD	True	False	False	False	False	0
OMIX008029	PRJCA032926	Proteomics of pulmonary hypertension lungs	Mus musculus	Open	2025-08-30	https://ngdc.cncb.ac.cn/omix/release/OMIX008029	True	False	False	False	False	lung	True	Proteomics analysis of lung tissues in mouse models of pulmonary hypertension, including mice exposed to Sugen5416 combined with hypoxia and control animals.	Proteomic Data by Mass Spectrometry (MS)	Open-access	Capital Medical University	1	OMIX008029-01.zip	OMIX008029;PRJCA032926	OMIX008029-01 | Neutrophil–Endothelium Interaction Mediated by S100A9 Promotes Pulmonary Vascular Remodeling During Pulmonary Hypertension	True	False	False	False	False	0
OMIX008248	PRJCA033575	COVID-19-associated white lung correlates with the dysfunctional neutrophil response revealed by single-cell immune profiling	Homo sapiens	Open	2024-12-13	https://ngdc.cncb.ac.cn/omix/release/OMIX008248	True	False	False	False	False	lung	True	COVID-19-associated white lung correlates with the dysfunctional neutrophil response revealed by single-cell immune profiling	Expression Profiling	Open-access	Capital Institute of Pediatrics	0		OMIX008248;PRJCA033575	OMIX008248-01	True	False	False	False	False	0
OMIX008361	PRJCA033765	Antibody Engineered Platelets Attracted by Bacteria-Induced Tumor-Specific Blood Coagulation for Checkpoint Inhibitor Immunotherapy	Mus musculus	Open	2024-12-21	https://ngdc.cncb.ac.cn/omix/release/OMIX008361	False	True	False	False	False	ici	True	We demonstrate that such bacteriainduced blood coagulation immensely gives prominence to the feature of tumor, and accurately provides specific tumor location for artificial immune checkpoint inhibitor carriers. In order to gain an insight into the process of bacteria-induced blood coagulation, we performed metabonomics analysis on the tumors treated differently.	Metabolome Data by Mass Spectrometry (MS)	Open-access	Wuhan University	1	OMIX008361-01.zip	OMIX008361;PRJCA033765	OMIX008361-01	False	True	False	False	False	0
OMIX008430	PRJCA034211	Epigenome-wide Association Study Identifies RNLS Gene Hypomethylation as a Novel Target for Lung Cancer Metastasis	Homo sapiens	Open	2025-01-05	https://ngdc.cncb.ac.cn/omix/release/OMIX008430	True	False	False	False	False	lung	True	The beta matrix for tumor tissues, adjacent non-tumor tissues, and normal lung tissues from 38 lung cancer patients, along with the corresponding grouping information, and the beta matrix for peripheral blood samples from 42 lung cancer patients along with the corresponding grouping information.	Methylation Profiling	Open-access	Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology	0		OMIX008430;PRJCA034211	OMIX008430-01 | OMIX008430-02 | OMIX008430-03 | OMIX008430-04	True	False	False	False	False	0
OMIX008536	PRJCA034467	lncRNA IL6-AS1 promotes inflammatory effects in lung macrophages via exosomes through the S100A9/TLR4 pathway in COPD progression	Musculus	Open	2025-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX008536	True	False	False	False	False	lung	True	This study investigates the role of IL6-AS1, a highly expressed long non-coding RNA (lncRNA), in chronic obstructive pulmonary disease (COPD). An adeno-associated virus (AAV) was used to induce the expression of IL6-AS1 in mice, and they were exposed to cigarette smoke to establish a COPD model. Our findings indicate that the upregulation of IL6-AS1 in fibroblasts enhances the interaction between the S100A9 protein and the AGER and TLR4 receptors on lung macrophages, thereby exacerbating inflammatory responses. These findings suggest that IL6-AS1 may play a role in facilitating the crosstalk between fibroblasts and macrophages, leading to increased pulmonary inflammation. Mendelian randomization analysis further suggests a potential shared causal variant between IL6-AS1 and COPD. Taken together, this investigation provides valuable insights into the function of IL6-AS1 and its potential implications for the pathogenesis and therapeutic strategies in COPD.	Expression Profiling by Array	Open-access	Guangzhou Laboratory	1	OMIX008536-01.xls	OMIX008536;OMIX008537;OMIX008538;PRJCA034467	OMIX008536-01 | Long Noncoding RNA Interleukin 6 Antisense RNA 1 Promotes Inflammatory Effects in Lung Macrophages via Exosomes Through the S100A9/TLR4 Pathway in Chronic Obstructive Pulmonary Disease Progression	True	False	False	False	False	0
