accession	bioproject	title	organism	access	release_date	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why
OMIX007953	PRJCA032026	Sputum Proteome Reveals Cilium-Associated Endotypes and Prognostic Immunoglobulin Markers Among Acute Exacerbation of Chronic Obstructive Pulmonary Disease	Homo sapiens	Open	2026-08-15	https://ngdc.cncb.ac.cn/omix/release/OMIX007953	True	False	False	False	False	lung
OMIX008029	PRJCA032926	Proteomics of pulmonary hypertension lungs	Mus musculus	Open	2025-08-30	https://ngdc.cncb.ac.cn/omix/release/OMIX008029	True	False	False	False	False	lung
OMIX008248	PRJCA033575	COVID-19-associated white lung correlates with the dysfunctional neutrophil response revealed by single-cell immune profiling	Homo sapiens	Open	2024-12-13	https://ngdc.cncb.ac.cn/omix/release/OMIX008248	True	False	False	False	False	lung
OMIX008361	PRJCA033765	Antibody Engineered Platelets Attracted by Bacteria-Induced Tumor-Specific Blood Coagulation for Checkpoint Inhibitor Immunotherapy	Mus musculus	Open	2024-12-21	https://ngdc.cncb.ac.cn/omix/release/OMIX008361	False	True	False	False	False	ici
OMIX008430	PRJCA034211	Epigenome-wide Association Study Identifies RNLS Gene Hypomethylation as a Novel Target for Lung Cancer Metastasis	Homo sapiens	Open	2025-01-05	https://ngdc.cncb.ac.cn/omix/release/OMIX008430	True	False	False	False	False	lung
OMIX008536	PRJCA034467	lncRNA IL6-AS1 promotes inflammatory effects in lung macrophages via exosomes through the S100A9/TLR4 pathway in COPD progression	Musculus	Open	2025-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX008536	True	False	False	False	False	lung
OMIX008537	PRJCA034467	lncRNA IL6-AS1 promotes inflammatory effects in lung macrophages via exosomes through the S100A9/TLR4 pathway in COPD progression	Homo sapiens	Open	2025-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX008537	True	False	False	False	False	lung
OMIX008538	PRJCA034467	lncRNA IL6-AS1 promotes inflammatory effects in lung macrophages via exosomes through the S100A9/TLR4 pathway in COPD progression	Homo sapiens	Open	2025-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX008538	True	False	False	False	False	lung
OMIX008566	PRJCA034600	EWGS Identifies RNLS Gene Hypomethylation as a Novel Target for Lung Cancer Metastasis	Homo sapiens environmental sample	Open	2025-01-07	https://ngdc.cncb.ac.cn/omix/release/OMIX008566	True	False	False	False	False	lung
OMIX008571	PRJCA013277	Transcriptome Profiling of Tumor-Infiltrating Lymphocyte-Mediated Cytotoxicity against Patient-Derived Lung Cancer Organoids	Homo sapiens	Open	2025-11-04	https://ngdc.cncb.ac.cn/omix/release/OMIX008571	True	False	False	False	False	lung
OMIX008845	PRJCA035557	Single cell RNA sequencing gene expression matrix of mice with irAEs after PD1 antibody treatment	Mus musculus	Open	2026-04-30	https://ngdc.cncb.ac.cn/omix/release/OMIX008845	False	True	False	False	False	ici
OMIX008846	PRJCA035006	Genomic variant data from a lung cancer patient	Homo sapiens	Open	2025-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX008846	True	False	False	False	False	lung
OMIX009009	PRJCA036104	Untargeted plasma metabolomics for lung cancer in two prospective cohort studies	Homo sapiens	Open	2026-05-13	https://ngdc.cncb.ac.cn/omix/release/OMIX009009	True	False	False	False	False	lung
OMIX009351	PRJCA036480	Single cell sequencing of lung tissue from mice with neutrophil asthma	Mus musculus	Open	2026-04-07	https://ngdc.cncb.ac.cn/omix/release/OMIX009351	True	False	False	False	False	lung
OMIX009421	PRJCA016774	Molecular recognition and activation of the  prostacyclin receptor by anti- pulmonary arterial  hypertension drugs	Homo sapiens	Open	2025-03-13	https://ngdc.cncb.ac.cn/omix/release/OMIX009421	True	False	False	False	False	lung
OMIX009642	PRJCA009917	Anti-PD1 therapy achieved better outcomes in non-liver cancer patients with HBV infection	Homo sapiens	Open	2026-03-05	https://ngdc.cncb.ac.cn/omix/release/OMIX009642	False	True	False	False	False	ici
OMIX009733	PRJCA038318	ATAC-seq data from lung ILC2	Mus musculus	Open	2025-08-08	https://ngdc.cncb.ac.cn/omix/release/OMIX009733	True	False	False	False	False	lung
