Table S1, Yamamoto and Webb et al.
Gene	Cytoband	Mean Log2 Expression in CLDN4 High 	Mean Log2 Expression in CLDN4 Low 	Mean Log2 Standard Deviation in CLDN4 High 	Mean Log2 Standard Deviation in CLDN4 Low 	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low) 	p-Value	q-Value	Higher expression in
C10ORF120	10q26.13	0.23	0.18	0.48	0.44	0.05	0.36099999999999999	0.61199999999999999	 CLDN4 High 
CETN1	18p11.32	0.03	0.01	0.27	0.08	0.02	0.36099999999999999	0.61199999999999999	 CLDN4 High 
C20ORF197	20q13.33	2.35	2.23	1.2	1.0900000000000001	0.12	0.36099999999999999	0.61199999999999999	 CLDN4 High 
SCARNA9	11q21	3.07	2.96	1.1100000000000001	1.1499999999999999	0.12	0.36099999999999999	0.61199999999999999	 CLDN4 High 
SNORA58	3q22.1	0.05	0.03	0.21	0.12	0.02	0.36099999999999999	0.61199999999999999	 CLDN4 High 
RBM8A	1q21.1	10.93	10.89	0.49	0.43	0.05	0.36099999999999999	0.61199999999999999	 CLDN4 High 
ZFYVE28	4p16.3	7.17	7.07	1.1000000000000001	0.89	0.1	0.36099999999999999	0.61199999999999999	 CLDN4 High 
IGFL3	19q13.32	0.43	0.5	0.66	0.68	-7.0000000000000007E-2	0.36099999999999999	0.61199999999999999	 CLDN4 Low
TMPRSS11F	4q13.2	0.17	0.14000000000000001	0.35	0.3	0.03	0.36099999999999999	0.61199999999999999	 CLDN4 High 
TPM3	1q21.3	13.08	13.04	0.43	0.38	0.04	0.36099999999999999	0.61199999999999999	 CLDN4 High 
USP32P1	17p11.2	5.39	5.19	1.96	1.83	0.2	0.36099999999999999	0.61299999999999999	 CLDN4 High 
RCAN2	6p12.3	7.2	7.31	1.02	1.05	-0.11	0.36099999999999999	0.61299999999999999	 CLDN4 Low
STPG2	4q22.3-q23	0.84	0.76	0.8	0.7	0.08	0.36099999999999999	0.61299999999999999	 CLDN4 High 
AKAP3	12p13.32	5.93	5.77	1.48	1.53	0.16	0.36099999999999999	0.61299999999999999	 CLDN4 High 
ZNF778	16q24.3	5.99	6.07	0.67	0.7	-7.0000000000000007E-2	0.36099999999999999	0.61299999999999999	 CLDN4 Low
RNF130	5q35.3	10.84	10.79	0.55000000000000004	0.49	0.05	0.36099999999999999	0.61299999999999999	 CLDN4 High 
XIAP	Xq25	9.98	10.02	0.46	0.49	-0.05	0.36199999999999999	0.61299999999999999	 CLDN4 Low
MORF4L1	15q25.1	10.6	10.65	0.51	0.54	-0.05	0.36199999999999999	0.61299999999999999	 CLDN4 Low
SLC25A33	1p36.22	8.1	8.0299999999999994	0.71	0.73	0.08	0.36199999999999999	0.61299999999999999	 CLDN4 High 
EPHB2	1p36.12	10.210000000000001	10.31	1.1000000000000001	0.84	-0.1	0.36199999999999999	0.61299999999999999	 CLDN4 Low
ZNF43	19p12	8.8699999999999992	8.9600000000000009	0.71	0.87	-0.08	0.36199999999999999	0.61299999999999999	 CLDN4 Low
C7ORF61	7q22.1	4.07	3.95	1.1399999999999999	1.2	0.12	0.36199999999999999	0.61299999999999999	 CLDN4 High 
AGBL5	2p23.3	10.77	10.7	0.62	0.71	7.0000000000000007E-2	0.36199999999999999	0.61299999999999999	 CLDN4 High 
FERD3L	7p21.1	0.03	0.01	0.19	0.09	0.02	0.36199999999999999	0.61299999999999999	 CLDN4 High 
OR13F1	9q31.1	0.08	0.05	0.23	0.23	0.02	0.36199999999999999	0.61299999999999999	 CLDN4 High 
KRT38	17q21.2	1.05	1.2	1.39	1.5	-0.15	0.36199999999999999	0.61299999999999999	 CLDN4 Low
H2AC4	6p22.2	1.38	1.28	1.08	0.92	0.1	0.36199999999999999	0.61299999999999999	 CLDN4 High 
HOXA13	7p15.2	0.72	0.86	1.28	1.4	-0.14000000000000001	0.36199999999999999	0.61299999999999999	 CLDN4 Low
SOX18	20q13.33	9.32	9.19	1.24	1.18	0.13	0.36199999999999999	0.61299999999999999	 CLDN4 High 
DNTTIP2	1p22.1	10.06	10.1	0.38	0.43	-0.04	0.36199999999999999	0.61299999999999999	 CLDN4 Low
IWS1	2q14.3	9.7899999999999991	9.74	0.49	0.48	0.05	0.36199999999999999	0.61299999999999999	 CLDN4 High 
KLHL33	14q11.2	0.41	0.47	0.51	0.62	-0.06	0.36199999999999999	0.61299999999999999	 CLDN4 Low
AKR7A3	1p36.13	3.51	3.64	1.34	1.1599999999999999	-0.13	0.36199999999999999	0.61299999999999999	 CLDN4 Low
HTR5A	7q36.2	0.16	0.11	0.65	0.28000000000000003	0.05	0.36199999999999999	0.61299999999999999	 CLDN4 High 
NKAPD1	11q23.1	9.73	9.7899999999999991	0.49	0.56000000000000005	-0.05	0.36199999999999999	0.61299999999999999	 CLDN4 Low
NME7	1q24.2	8.4600000000000009	8.39	0.62	0.61	0.06	0.36199999999999999	0.61299999999999999	 CLDN4 High 
ARHGAP12	10p11.22	9.0399999999999991	8.99	0.54	0.55000000000000004	0.06	0.36299999999999999	0.61299999999999999	 CLDN4 High 
RGS1	1q31.2	9.49	9.33	1.5	1.68	0.17	0.36299999999999999	0.61299999999999999	 CLDN4 High 
RPL23	17q12	13.28	13.19	0.85	0.71	0.08	0.36299999999999999	0.61299999999999999	 CLDN4 High 
ANXA5	4q27	12.19	12.13	0.66	0.65	7.0000000000000007E-2	0.36299999999999999	0.61299999999999999	 CLDN4 High 
TLK2	17q23.2	8.5399999999999991	8.6	0.5	0.59	-0.06	0.36299999999999999	0.61299999999999999	 CLDN4 Low
FDXACB1	11q23.1	6.84	6.91	0.63	0.71	-7.0000000000000007E-2	0.36299999999999999	0.61299999999999999	 CLDN4 Low
VAX2	2p13.3	5.75	5.92	1.73	1.52	-0.17	0.36299999999999999	0.61299999999999999	 CLDN4 Low
NOMO1	16p13.11	11.57	11.64	0.63	0.66	-7.0000000000000007E-2	0.36299999999999999	0.61299999999999999	 CLDN4 Low
UNC13B	9p13.3	8.83	8.9	0.68	0.75	-7.0000000000000007E-2	0.36299999999999999	0.61299999999999999	 CLDN4 Low
DYRK2	12q15	10.33	10.4	0.64	0.7	-7.0000000000000007E-2	0.36299999999999999	0.61399999999999999	 CLDN4 Low
PLIN4	19p13.3	6.73	6.89	1.48	1.57	-0.16	0.36299999999999999	0.61399999999999999	 CLDN4 Low
ANKRD9	14q32.31	8.18	8.1	0.77	0.74	0.08	0.36299999999999999	0.61399999999999999	 CLDN4 High 
STEEP1	Xq24	7.26	7.31	0.5	0.52	-0.05	0.36299999999999999	0.61399999999999999	 CLDN4 Low
NOP58	2q33.1	10.49	10.54	0.5	0.5	-0.05	0.36299999999999999	0.61399999999999999	 CLDN4 Low
CDC73	1q31.2	10.02	10.07	0.44	0.43	-0.05	0.36299999999999999	0.61399999999999999	 CLDN4 Low
GSTTP2	22q11.23 alternate reference locus	0.12	0.15	0.28000000000000003	0.34	-0.03	0.36299999999999999	0.61399999999999999	 CLDN4 Low
NFAM1	22q13.2	7.06	7.19	1.24	1.24	-0.13	0.36299999999999999	0.61399999999999999	 CLDN4 Low
ARHGEF28	5q13.2	8.3000000000000007	8.4	0.91	0.98	-0.1	0.36299999999999999	0.61399999999999999	 CLDN4 Low
ADSL	22q13.1	9.91	9.9700000000000006	0.56000000000000005	0.55000000000000004	-0.06	0.36299999999999999	0.61399999999999999	 CLDN4 Low
H2AC15	6p22.1	2.5299999999999998	2.41	1.1200000000000001	1.04	0.11	0.36399999999999999	0.61399999999999999	 CLDN4 High 
PRSS42P	3p21.31	0.64	0.71	0.74	0.74	-0.08	0.36399999999999999	0.61399999999999999	 CLDN4 Low
KMO	1q43	4.58	4.7	1.1499999999999999	1.27	-0.13	0.36399999999999999	0.61399999999999999	 CLDN4 Low
OR4X2	11p11.2	0	0.01	0.03	0.15	-0.01	0.36399999999999999	0.61399999999999999	 CLDN4 Low
SCART1	10q26.3	4.5199999999999996	4.68	1.44	1.54	-0.15	0.36399999999999999	0.61399999999999999	 CLDN4 Low
LINC00313	21q22.3	0.56999999999999995	0.5	0.71	0.65	7.0000000000000007E-2	0.36399999999999999	0.61399999999999999	 CLDN4 High 
FOXD2	1p33	3.73	3.91	1.6	1.77	-0.17	0.36399999999999999	0.61399999999999999	 CLDN4 Low
KLHL9	9p21.3	9.9499999999999993	10.01	0.63	0.64	-7.0000000000000007E-2	0.36399999999999999	0.61399999999999999	 CLDN4 Low
FKBP9P1	7p11.2	5.37	5.47	0.91	0.97	-0.1	0.36399999999999999	0.61399999999999999	 CLDN4 Low
STIMATE	3p21.1	7.74	7.69	0.49	0.51	0.05	0.36399999999999999	0.61399999999999999	 CLDN4 High 
SMARCA4	19p13.2	12.08	12.16	0.76	0.81	-0.08	0.36399999999999999	0.61399999999999999	 CLDN4 Low
LINGO1	15q24.3	9.4	9.5500000000000007	1.54	1.39	-0.15	0.36399999999999999	0.61399999999999999	 CLDN4 Low
YARS1	1p35.1	10.9	10.96	0.6	0.53	-0.06	0.36399999999999999	0.61499999999999999	 CLDN4 Low
SERPINB6	6p25.2	10.58	10.51	0.7	0.74	7.0000000000000007E-2	0.36399999999999999	0.61499999999999999	 CLDN4 High 
XKR7	20q11.21	1.84	2.0099999999999998	1.64	1.61	-0.17	0.36399999999999999	0.61499999999999999	 CLDN4 Low
CCDC157	22q12.2	6.29	6.19	0.99	0.87	0.1	0.36399999999999999	0.61499999999999999	 CLDN4 High 
SEC62	3q26.2	11.89	11.84	0.53	0.46	0.05	0.36399999999999999	0.61499999999999999	 CLDN4 High 
USO1	4q21.1	10.64	10.69	0.59	0.54	-0.06	0.36399999999999999	0.61499999999999999	 CLDN4 Low
COL6A3	2q37.3	12.23	12.39	1.47	1.68	-0.16	0.36499999999999999	0.61499999999999999	 CLDN4 Low
SPANXN5	Xp11.22	0	0.01	0.06	0.12	-0.01	0.36499999999999999	0.61499999999999999	 CLDN4 Low
CT47A1	Xq24	7.0000000000000007E-2	0.02	0.66	0.2	0.05	0.36499999999999999	0.61499999999999999	 CLDN4 High 
MYO1F	19p13.2	7.82	7.94	1.18	1.27	-0.13	0.36499999999999999	0.61499999999999999	 CLDN4 Low
MRPS27	5q13.2	9.98	10.050000000000001	0.68	0.61	-7.0000000000000007E-2	0.36499999999999999	0.61499999999999999	 CLDN4 Low
TMEM156	4p14	2.87	3.02	1.36	1.52	-0.15	0.36499999999999999	0.61499999999999999	 CLDN4 Low
JPH1	8q21.11	5.95	6.1	1.5	1.48	-0.15	0.36499999999999999	0.61499999999999999	 CLDN4 Low
SPRR4	1q21.3	0.08	0.12	0.38	0.46	-0.04	0.36499999999999999	0.61499999999999999	 CLDN4 Low
IGF2	11p15.5	13.19	12.82	3.65	3.52	0.37	0.36499999999999999	0.61499999999999999	 CLDN4 High 
MAEL	1q24.1	2.12	2.31	1.84	1.67	-0.18	0.36499999999999999	0.61499999999999999	 CLDN4 Low
FOXO3	6q21	10.73	10.8	0.7	0.69	-7.0000000000000007E-2	0.36499999999999999	0.61499999999999999	 CLDN4 Low
PGAM5	12q24.33	9.48	9.5399999999999991	0.56000000000000005	0.57999999999999996	-0.06	0.36499999999999999	0.61499999999999999	 CLDN4 Low
OOSP2	11q12.1	0	0.01	0.06	0.11	-0.01	0.36499999999999999	0.61499999999999999	 CLDN4 Low
SLC24A5	15q21.1	3.58	3.44	1.34	1.27	0.13	0.36499999999999999	0.61599999999999999	 CLDN4 High 
FAM27C	9q13	3.58	3.42	1.6	1.41	0.16	0.36499999999999999	0.61599999999999999	 CLDN4 High 
CECR7	22q11.1	3.97	4.1900000000000004	1.99	2.25	-0.22	0.36599999999999999	0.61599999999999999	 CLDN4 Low
KL	13q13.1	3.61	3.71	1.05	0.9	-0.1	0.36599999999999999	0.61599999999999999	 CLDN4 Low
RPL22	1p36.31	12.57	12.64	0.63	0.67	-7.0000000000000007E-2	0.36599999999999999	0.61599999999999999	 CLDN4 Low
KCNIP4-IT1	4p15.2	0.66	0.76	0.94	1.06	-0.1	0.36599999999999999	0.61599999999999999	 CLDN4 Low
TCTN1	12q24.11	9.27	9.34	0.8	0.68	-0.08	0.36599999999999999	0.61599999999999999	 CLDN4 Low
ARFIP1	4q31.3	9.56	9.51	0.5	0.43	0.05	0.36599999999999999	0.61599999999999999	 CLDN4 High 
CELF6	15q23	6.08	6.22	1.46	1.38	-0.15	0.36599999999999999	0.61599999999999999	 CLDN4 Low
RPP38-DT	10p13	4.08	4.17	0.87	0.86	-0.09	0.36599999999999999	0.61599999999999999	 CLDN4 Low
TMEM71	8q24.22	4.62	4.4800000000000004	1.39	1.33	0.14000000000000001	0.36599999999999999	0.61599999999999999	 CLDN4 High 
TSGA13	7q32.2	0.3	0.36	0.45	0.62	-0.06	0.36599999999999999	0.61599999999999999	 CLDN4 Low
GLIS1	1p32.3	4.28	4.12	1.68	1.58	0.17	0.36599999999999999	0.61599999999999999	 CLDN4 High 
CFTR	7q31.2	5.38	5.71	3.15	3.19	-0.33	0.36599999999999999	0.61599999999999999	 CLDN4 Low
CFAP206	6q15	6.29	6.14	1.44	1.44	0.15	0.36699999999999999	0.61699999999999999	 CLDN4 High 
FBXO7	22q12.3	11.13	11.08	0.53	0.47	0.05	0.36699999999999999	0.61699999999999999	 CLDN4 High 
RTN4IP1	6q21	6.61	6.53	0.72	0.72	7.0000000000000007E-2	0.36699999999999999	0.61699999999999999	 CLDN4 High 
RPS26P11	Xq13.1	2.27	2.17	0.95	0.85	0.09	0.36699999999999999	0.61699999999999999	 CLDN4 High 
SCN1A	2q24.3	0.87	1	1.1599999999999999	1.42	-0.13	0.36699999999999999	0.61699999999999999	 CLDN4 Low
CKS2	9q22.2	9.9600000000000009	9.86	0.99	0.92	0.1	0.36699999999999999	0.61799999999999999	 CLDN4 High 
LHFPL4	3p25.3	1.45	1.61	1.54	1.52	-0.16	0.36699999999999999	0.61799999999999999	 CLDN4 Low
H2AC16	6p22.1	1.99	1.88	1.1399999999999999	1	0.11	0.36699999999999999	0.61799999999999999	 CLDN4 High 
STRN4	19q13.32	11.21	11.27	0.55000000000000004	0.47	-0.05	0.36699999999999999	0.61799999999999999	 CLDN4 Low
ST14	11q24.3	12.56	12.47	0.75	1.06	0.09	0.36699999999999999	0.61799999999999999	 CLDN4 High 
ESCO1	18q11.2	8.68	8.74	0.56000000000000005	0.6	-0.06	0.36799999999999999	0.61799999999999999	 CLDN4 Low
STRC	15q15.3	4.01	4.18	1.66	1.62	-0.17	0.36799999999999999	0.61799999999999999	 CLDN4 Low
PJA1	Xq13.1	9.5	9.5500000000000007	0.52	0.51	-0.05	0.36799999999999999	0.61799999999999999	 CLDN4 Low
ZNF282	7q36.1	10.4	10.35	0.45	0.56999999999999995	0.05	0.36799999999999999	0.61799999999999999	 CLDN4 High 
ZFP36L2	2p21	13.14	13.06	0.78	0.7	0.08	0.36799999999999999	0.61799999999999999	 CLDN4 High 
CLCC1	1p13.3	9.59	9.64	0.4	0.47	-0.04	0.36799999999999999	0.61799999999999999	 CLDN4 Low
MOAP1	14q32.12	9.9	9.9600000000000009	0.54	0.56000000000000005	-0.06	0.36799999999999999	0.61799999999999999	 CLDN4 Low
HSF1	8q24.3	12.21	12.15	0.64	0.64	7.0000000000000007E-2	0.36799999999999999	0.61799999999999999	 CLDN4 High 
OXA1L	14q11.2	11.48	11.42	0.54	0.59	0.06	0.36799999999999999	0.61799999999999999	 CLDN4 High 
CLCN4	Xp22.2	7.39	7.52	1.3	1.23	-0.13	0.36799999999999999	0.61799999999999999	 CLDN4 Low
PIM1	6p21.2	9.7899999999999991	9.89	0.92	0.91	-0.09	0.36799999999999999	0.61799999999999999	 CLDN4 Low
GCGR	17q25.3	1.06	0.91	1.66	1.1599999999999999	0.15	0.36799999999999999	0.61799999999999999	 CLDN4 High 
SNTG1	8q11.21	0.14000000000000001	0.21	0.6	0.76	-7.0000000000000007E-2	0.36799999999999999	0.61799999999999999	 CLDN4 Low
H2AX	11q23.3	11.4	11.32	0.81	0.74	0.08	0.36799999999999999	0.61799999999999999	 CLDN4 High 
KLRC2	12p13.2	0.64	0.73	0.86	0.84	-0.09	0.36799999999999999	0.61799999999999999	 CLDN4 Low
RAMP2	17q21.2	8.09	7.99	0.89	0.99	0.1	0.36799999999999999	0.61799999999999999	 CLDN4 High 
LTB4R2	14q12	5.72	5.81	0.94	0.93	-0.1	0.36899999999999999	0.61899999999999999	 CLDN4 Low
RAB6C	2q21.1	4.29	4.3499999999999996	0.63	0.57999999999999996	-0.06	0.36899999999999999	0.61899999999999999	 CLDN4 Low
MAST1	19p13.13	7.35	7.21	1.39	1.36	0.14000000000000001	0.36899999999999999	0.61899999999999999	 CLDN4 High 
CCDC63	12q24.11	7.0000000000000007E-2	0.1	0.21	0.28999999999999998	-0.03	0.36899999999999999	0.61899999999999999	 CLDN4 Low
CYB5B	16q22.1	10.4	10.35	0.52	0.51	0.05	0.36899999999999999	0.61899999999999999	 CLDN4 High 
PAQR3	4q21.21	8.06	8.1199999999999992	0.65	0.64	-7.0000000000000007E-2	0.36899999999999999	0.61899999999999999	 CLDN4 Low
ASAP2	2p25.1	10.51	10.43	0.74	0.78	0.08	0.36899999999999999	0.61899999999999999	 CLDN4 High 
REC8	14q12	10.32	10.49	1.54	1.75	-0.17	0.36899999999999999	0.61899999999999999	 CLDN4 Low
CFI	4q25	10.69	10.81	1.1299999999999999	1.0900000000000001	-0.11	0.36899999999999999	0.61899999999999999	 CLDN4 Low
HAR1B	20q13.33	0.94	1.04	0.88	1.1200000000000001	-0.1	0.36899999999999999	0.61899999999999999	 CLDN4 Low
PMS2P9	7q11.23	2.0499999999999998	1.94	1.04	1.05	0.11	0.36899999999999999	0.61899999999999999	 CLDN4 High 
USP17L6P	4p16.1	0.2	0.16	0.4	0.31	0.04	0.36899999999999999	0.61899999999999999	 CLDN4 High 
RPN1	3q21.3	13.5	13.45	0.45	0.51	0.05	0.36899999999999999	0.62	 CLDN4 High 
MBD5	2q23.2	8.57	8.6300000000000008	0.59	0.57999999999999996	-0.06	0.36899999999999999	0.62	 CLDN4 Low
PLAG1	8q12.1	7.89	7.72	1.61	1.66	0.17	0.36899999999999999	0.62	 CLDN4 High 
LMOD3	3p14.1	1.1200000000000001	1.21	0.72	0.9	-0.08	0.37	0.62	 CLDN4 Low
BPIFB2	20q11.21	0.88	1.01	1.23	1.36	-0.13	0.37	0.62	 CLDN4 Low
KCTD8	4p13	0.95	1.05	0.88	1.05	-0.1	0.37	0.62	 CLDN4 Low
DIO3OS	14q32.31	0.85	0.95	0.94	1.02	-0.1	0.37	0.62	 CLDN4 Low
MAMLD1	Xq28	8.56	8.68	1.1299999999999999	1.19	-0.12	0.37	0.62	 CLDN4 Low
CISD1	10q21.1	8.8000000000000007	8.73	0.63	0.62	0.06	0.37	0.62	 CLDN4 High 
IL24	1q32.1	1.57	1.44	1.32	1.27	0.13	0.37	0.62	 CLDN4 High 
PRAP1	10q26.3	3.42	3.66	2.3199999999999998	2.2799999999999998	-0.24	0.37	0.62	 CLDN4 Low
OR52N1	11p15.4	7.0000000000000007E-2	0.05	0.22	0.19	0.02	0.37	0.62	 CLDN4 High 
CYP4V2	4q35.1-q35.2	8.52	8.61	0.95	0.81	-0.09	0.37	0.62	 CLDN4 Low
DISP2	15q15.1	4.8899999999999997	4.75	1.35	1.44	0.14000000000000001	0.37	0.62	 CLDN4 High 
BAMBI	10p12.1	6.02	6.2	1.71	1.75	-0.18	0.37	0.62	 CLDN4 Low
DNAJB14	4q23	7.3	7.25	0.5	0.51	0.05	0.37	0.62	 CLDN4 High 
PIGQ	16p13.3	10.31	10.25	0.62	0.57999999999999996	0.06	0.37	0.62	 CLDN4 High 
SATB1	3p24.3	8.01	8.15	1.28	1.42	-0.14000000000000001	0.37	0.62	 CLDN4 Low
HDGFL1	6p22.3	0.06	0.09	0.2	0.28999999999999998	-0.03	0.371	0.621	 CLDN4 Low
SPAAR	9p13.3	4.9000000000000004	5.05	1.47	1.45	-0.15	0.371	0.621	 CLDN4 Low
PLEKHA7	11p15	9.3000000000000007	9.2100000000000009	0.78	0.89	0.09	0.371	0.621	 CLDN4 High 
CSN1S1	4q13.3	0.03	0.01	0.21	0.1	0.02	0.371	0.621	 CLDN4 High 
SBK2	19q13.42	2.17	2.39	2.0099999999999998	2.2000000000000002	-0.22	0.371	0.621	 CLDN4 Low
THTPA	14q11.2	9.0399999999999991	8.9700000000000006	0.68	0.65	7.0000000000000007E-2	0.371	0.621	 CLDN4 High 
PTGES3	12q13.3	12.43	12.48	0.45	0.49	-0.05	0.371	0.621	 CLDN4 Low
HINFP	11q23.3	8.9	8.9499999999999993	0.51	0.56999999999999995	-0.06	0.371	0.621	 CLDN4 Low
SIRT4	12q24.31	4.28	4.2	0.86	0.79	0.08	0.371	0.621	 CLDN4 High 
ZBED6CL	7q36.1	7.71	7.8	0.9	0.9	-0.09	0.371	0.621	 CLDN4 Low
UNC13A	19p13.11	4.9400000000000004	5.1100000000000003	1.61	1.64	-0.17	0.371	0.621	 CLDN4 Low
BAIAP2-DT	17q25.3	8.8699999999999992	8.93	0.69	0.61	-7.0000000000000007E-2	0.371	0.621	 CLDN4 Low
DLG1	3q29	10.43	10.49	0.62	0.57999999999999996	-0.06	0.371	0.621	 CLDN4 Low
AWAT1	Xq13.1	0.47	0.56999999999999995	0.82	1.06	-0.1	0.371	0.621	 CLDN4 Low
CELA2A	1p36.21	0.04	0.08	0.15	0.53	-0.04	0.371	0.621	 CLDN4 Low
ENO2	12p13.31	9.75	9.85	0.99	1.03	-0.1	0.371	0.621	 CLDN4 Low
SP100	2q37.1	10.56	10.48	0.75	0.75	0.08	0.371	0.621	 CLDN4 High 
ETS1	11q24.3	9.31	9.39	0.75	0.9	-0.08	0.372	0.621	 CLDN4 Low
MDGA2	14q21.3	1.78	1.93	1.44	1.51	-0.15	0.372	0.621	 CLDN4 Low
FABP9	8q21.13	0.01	0.03	0.06	0.28999999999999998	-0.02	0.372	0.621	 CLDN4 Low
CCNB1	5q13.2	10.26	10.35	0.88	0.84	-0.09	0.372	0.621	 CLDN4 Low
NUDCD3	7p13	11.11	11.06	0.43	0.47	0.05	0.372	0.621	 CLDN4 High 
CYP4F30P	2q21.1	0.35	0.28000000000000003	0.67	0.69	7.0000000000000007E-2	0.372	0.622	 CLDN4 High 
NLGN4X	Xp22.32-p22.31	6.81	6.63	1.59	1.87	0.18	0.372	0.622	 CLDN4 High 
SPATS1	6p21.1	0.93	0.78	1.5	1.38	0.15	0.372	0.622	 CLDN4 High 
ETFB	19q13.41	9.44	9.36	0.69	0.7	7.0000000000000007E-2	0.372	0.622	 CLDN4 High 
LRRC41	1p34.1-p33	11.54	11.61	0.59	0.75	-7.0000000000000007E-2	0.372	0.622	 CLDN4 Low
NUCKS1	1q32.1	12.88	12.93	0.53	0.53	-0.05	0.372	0.622	 CLDN4 Low
LRRC23	12p13.31	7.99	7.89	0.98	0.92	0.1	0.372	0.622	 CLDN4 High 
TWIST1	7p21.1	6.49	6.66	1.58	1.74	-0.17	0.372	0.622	 CLDN4 Low
TTC31	2p13.1	9.36	9.42	0.48	0.54	-0.05	0.372	0.622	 CLDN4 Low
COPZ1	12q13.13	12.11	12.06	0.44	0.5	0.05	0.372	0.622	 CLDN4 High 
OR2L1P	1q44	0.53	0.6	0.7	0.73	-7.0000000000000007E-2	0.373	0.622	 CLDN4 Low
ADGRB1	8q24.3	5.03	5.29	2.61	2.41	-0.26	0.373	0.622	 CLDN4 Low
ZNF330	4q31.21	8.91	8.86	0.52	0.49	0.05	0.373	0.622	 CLDN4 High 
C2ORF88	2q32.2	9.6199999999999992	9.82	1.9	2.0299999999999998	-0.2	0.373	0.623	 CLDN4 Low
LYRM1	16p12.3	9.5399999999999991	9.6199999999999992	0.75	0.84	-0.08	0.373	0.623	 CLDN4 Low
SEMA4G	10q24.31	7.6	7.71	1.1299999999999999	1.01	-0.11	0.373	0.623	 CLDN4 Low
TRAM1L1	4q26	7.09	6.98	1.1499999999999999	1.1299999999999999	0.12	0.373	0.623	 CLDN4 High 
C18ORF21	18q12.2	8.1	8.0299999999999994	0.69	0.65	7.0000000000000007E-2	0.373	0.623	 CLDN4 High 
KCTD9	8p21.2	8.19	8.26	0.77	0.64	-7.0000000000000007E-2	0.373	0.623	 CLDN4 Low
LYPLA1	8q11.23	10.87	10.81	0.63	0.59	0.06	0.374	0.623	 CLDN4 High 
PRPF6	20q13.33	11.71	11.65	0.55000000000000004	0.52	0.05	0.374	0.623	 CLDN4 High 
EEF2	19p13.3	15.34	15.41	0.63	0.62	-0.06	0.374	0.623	 CLDN4 Low
STAR	8p11.23	4.87	4.5999999999999996	2.67	2.56	0.27	0.374	0.623	 CLDN4 High 
SARS1	1p13.3	11.39	11.35	0.45	0.43	0.04	0.374	0.624	 CLDN4 High 
PALM	19p13.3	9.8699999999999992	9.73	1.35	1.28	0.13	0.374	0.624	 CLDN4 High 
UGT2B28	4q13.2	0.01	0.03	0.1	0.17	-0.01	0.374	0.624	 CLDN4 Low
TSHZ3	19q12	7.24	7.37	1.24	1.28	-0.13	0.374	0.624	 CLDN4 Low
MBL2	10q21.1	0.15	0.19	0.36	0.33	-0.04	0.374	0.624	 CLDN4 Low
GIMAP5	7q36.1	7.03	7.14	1.06	1.1299999999999999	-0.11	0.374	0.624	 CLDN4 Low
GSG1	12p13.1	0.28999999999999998	0.35	0.5	0.63	-0.06	0.374	0.624	 CLDN4 Low
TMEM186	16p13.2	7.85	7.79	0.62	0.62	0.06	0.374	0.624	 CLDN4 High 
H1-9P	17q21.33	0.55000000000000004	0.64	0.81	0.87	-0.09	0.374	0.624	 CLDN4 Low
GLRX5	14q32.13	10.44	10.51	0.57999999999999996	0.68	-0.06	0.374	0.624	 CLDN4 Low
ANO10	3p22.1-p21.33	8.99	8.94	0.49	0.46	0.05	0.374	0.624	 CLDN4 High 
TMEM8B	9p13.3	4.96	5.08	1.24	1.21	-0.12	0.374	0.624	 CLDN4 Low
DCUN1D4	4q12	9	9.06	0.59	0.52	-0.06	0.374	0.624	 CLDN4 Low
SLC16A3	17q25.3	10.31	10.199999999999999	1.03	1.06	0.11	0.374	0.624	 CLDN4 High 
KLHL32	6q16.1	5.15	5.3	1.43	1.46	-0.15	0.375	0.624	 CLDN4 Low
TBC1D21	15q24.1	0.01	0.02	7.0000000000000007E-2	0.21	-0.02	0.375	0.624	 CLDN4 Low
TSLP	5q22.1	2.04	1.91	1.33	1.22	0.13	0.375	0.624	 CLDN4 High 
CDT1	16q24.3	9.1999999999999993	9.2799999999999994	0.76	0.94	-0.09	0.375	0.624	 CLDN4 Low
GPR119	Xq26.1	0.03	0.04	0.11	0.16	-0.01	0.375	0.625	 CLDN4 Low
TRIM46	1q22	7.11	7.22	1.0900000000000001	1.1000000000000001	-0.11	0.375	0.625	 CLDN4 Low
ATP6V1D	14q23.3	9.59	9.64	0.44	0.49	-0.05	0.375	0.625	 CLDN4 Low
CSAD	12q13.13	8.43	8.5299999999999994	0.97	0.91	-0.1	0.375	0.625	 CLDN4 Low
ZDHHC8	22q11.21	10.039999999999999	10.1	0.63	0.6	-0.06	0.375	0.625	 CLDN4 Low
CEACAM4	19q13.2	1.31	1.42	1.1200000000000001	1.04	-0.11	0.375	0.625	 CLDN4 Low
DOCK9	13q32.3	10.029999999999999	9.9499999999999993	0.76	0.82	0.08	0.375	0.625	 CLDN4 High 
KRBOX4	Xp11.3	7.94	8	0.65	0.6	-0.06	0.375	0.625	 CLDN4 Low
CTTNBP2NL	1p13.2	10.3	10.25	0.55000000000000004	0.53	0.05	0.375	0.625	 CLDN4 High 
LYPD6	2q23.2	8.2100000000000009	8.31	0.99	0.91	-0.1	0.375	0.625	 CLDN4 Low
RASGEF1A	10q11.21	7.77	7.61	1.55	1.74	0.17	0.376	0.625	 CLDN4 High 
