project	organism	n_runs_total	n_runs_lung_selected	n_runs_lung_rnaseq	selection_basis	lung_run_frac	study_level_lung	n_tissue	n_cell_line	n_culture_organoid	n_sorted_or_fluid	single_cell_frac	median_spots	study_title	selected_runs
ERP115010	human	360	301	301	run_level	0.836	True	301	0	0	0	0.0	20001836	Blood RNAseq of TB contacts samples	ERR3299165,ERR3299166,ERR3299167,ERR3299168,ERR3299169,ERR3299170,ERR3299171,ERR3299172,ERR3299173,ERR3299174,ERR3299175,ERR3299176,ERR3299177,ERR3299178,ERR3299179,ERR3299180,ERR3299181,ERR3299182,ERR3299183,ERR3299184,ERR3299185,ERR3299186,ERR3299187,ERR3299188,ERR3299189,ERR3299190,ERR3299191,ERR3299192,ERR3299193,ERR3299194,ERR3299195,ERR3299196,ERR3299197,ERR3299198,ERR3299199,ERR3299200,ERR3299201,ERR3299202,ERR3299203,ERR3299204,ERR3299205,ERR3299206,ERR3299207,ERR3299208,ERR3299209,ERR3299210,ERR3299211,ERR3299212,ERR3299213,ERR3299214,ERR3299215,ERR3299216,ERR3299217,ERR3299218,ERR3299219,ERR3299220,ERR3299221,ERR3299222,ERR3299223,ERR3299224,ERR3299225,ERR3299226,ERR3299227,ERR3299228,ERR3299229,ERR3299230,ERR3299231,ERR3299232,ERR3299233,ERR3299234,ERR3299235,ERR3299236,ERR3299237,ERR3299238,ERR3299239,ERR3299240,ERR3299241,ERR3299242,ERR3299243,ERR3299244,ERR3299245,ERR3299246,ERR3299247,ERR3299248,ERR3299249,ERR3299250,ERR3299251,ERR3299252,ERR3299253,ERR3299254,ERR3299255,ERR3299256,ERR3299257,ERR3299258,ERR3299259,ERR3299260,ERR3299261,ERR3299262,ERR3299263,ERR3299264,ERR3299265,ERR3299266,ERR3299267,ERR3299268,ERR3299269,ERR3299270,ERR3299271,ERR3299272,ERR3299273,ERR3299274,ERR3299275,ERR3299276,ERR3299277,ERR3299278,ERR3299279,ERR3299280,ERR3299281,ERR3299282,ERR3299283,ERR3299284,ERR3299285,ERR3299286,ERR3299287,ERR3299288,ERR3299289,ERR3299290,ERR3299291,ERR3299292,ERR3299293,ERR3299294,ERR3299295,ERR3299296,ERR3299297,ERR3299298,ERR3299299,ERR3299300,ERR3299301,ERR3299302,ERR3299303,ERR3299304,ERR3299305,ERR3299306,ERR3299307,ERR3299308,ERR3299309,ERR3299310,ERR3299311,ERR3299312,ERR3299313,ERR3299314,ERR3299315,ERR3299316,ERR3299317,ERR3299318,ERR3299319,ERR3299320,ERR3299321,ERR3299322,ERR3299323,ERR3299324,ERR3299325,ERR3299326,ERR3299327,ERR3299328,ERR3299329,ERR3299330,ERR3299331,ERR3299332,ERR3299333,ERR3299334,ERR3299335,ERR3299336,ERR3299337,ERR3299338,ERR3299339,ERR3299340,ERR3299341,ERR3299342,ERR3299343,ERR3299344,ERR3299345,ERR3299346,ERR3299347,ERR3299348,ERR3299349,ERR3299350,ERR3299351,ERR3299352,ERR3299353,ERR3299354,ERR3299355,ERR3299356,ERR3299357,ERR3299358,ERR3299359,ERR3299360,ERR3299361,ERR3299362,ERR3299363,ERR3299364,ERR3299365,ERR3299366,ERR3299367,ERR3299368,ERR3299369,ERR3299370,ERR3299371,ERR3299372,ERR3299373,ERR3299374,ERR3299375,ERR3299376,ERR3299377,ERR3299378,ERR3299379,ERR3299380,ERR3299381,ERR3299382,ERR3299383,ERR3299384,ERR3299385,ERR3299386,ERR3299387,ERR3299388,ERR3299389,ERR3299390,ERR3299391,ERR3299392,ERR3299393,ERR3299394,ERR3299395,ERR3299396,ERR3299397,ERR3299398,ERR3299399,ERR3299400,ERR3299401,ERR3299402,ERR3299403,ERR3299404,ERR3299405,ERR3299406,ERR3299407,ERR3299408,ERR3299409,ERR3299410,ERR3299411,ERR3299412,ERR3299413,ERR3299414,ERR3299415,ERR3299416,ERR3299417,ERR3299418,ERR3299419,ERR3299420,ERR3299421,ERR3299422,ERR3299423,ERR3299424,ERR3299425,ERR3299426,ERR3299427,ERR3299428,ERR3299429,ERR3299430,ERR3299431,ERR3299432,ERR3299433,ERR3299434,ERR3299435,ERR3299436,ERR3299437,ERR3299438,ERR3299439,ERR3299440,ERR3299441,ERR3299442,ERR3299443,ERR3299444,ERR3299445,ERR3299446,ERR3299447,ERR3299448,ERR3299449,ERR3299450,ERR3299451,ERR3299452,ERR3299453,ERR3299454,ERR3299455,ERR3299456,ERR3299457,ERR3299458,ERR3299459,ERR3299460,ERR3299461,ERR3299462,ERR3299463,ERR3299464,ERR3299465
ERP115772	human	9	9	9	run_level	1.0	True	0	9	0	0	0.0	13578842	Transcriptome analysis of human brain microvascular endothelial cells response to Streptococcus pneumoniae and its antigen Adhesion lipoprotein using RNA-seq	ERR3372834,ERR3372835,ERR3372836,ERR3372837,ERR3372838,ERR3372839,ERR3372840,ERR3372841,ERR3372842
SRP000941	human	345	21	21	run_level	0.061	False	0	5	16	0	0.0	18337701	UCSD Human Reference Epigenome Mapping Project	SRR020286,SRR020292,SRR020293,SRR020294,SRR020295,SRR1045530,SRR1045531,SRR1045532,SRR1045533,SRR1220389,SRR1220390,SRR1220391,SRR1220392,SRR1220393,SRR1220394,SRR1220395,SRR1220396,SRR577579,SRR577580,SRR577581,SRR577582
SRP001371	human	167	12	12	run_level	0.072	False	12	0	0	0	0.0	68149400	University of Washington Human Reference Epigenome Mapping Project	SRR786751,SRR786752,SRR786753,SRR786754,SRR786756,SRR786760,SRR786761,SRR786762,SRR786769,SRR786779,SRR786780,SRR786781
SRP002347	human	15	2	2	run_level	0.133	True	2	0	0	0	0.0	4455248	Multi tissue small RNA	SRR040446,SRR040691
SRP003754	human	156	2	2	run_level	0.013	False	2	0	0	0	1.0	32544195	GSE24565: ENCODE_Cold_Spring_Harbor_Labs_Short_RNA-seq	SRR446309,SRR446310
SRP006676	human	8	8	8	run_level	1.0	True	8	0	0	0	0.0	27780649	mRNA-seq of Human Airway Epithelial Cells	SRR192333,SRR192334,SRR192335,SRR192336,SRR192337,SRR192338,SRR192339,SRR192340
SRP007338	human	16	1	1	run_level	0.062	False	1	0	0	0	0.0	426484	Widespread regulated alternative splicing of single codons accelerates proteome evolution	SRR298703
SRP007461	human	203	6	6	run_level	0.03	False	4	2	0	0	0.0	45268186	GSE30567: Long RNA-seq from ENCODE/Cold Spring Harbor Lab	SRR315303,SRR315304,SRR315313,SRR315314,SRR317062,SRR317063
SRP007494	human	9	4	4	run_level	0.444	False	4	0	0	0	0.0	44370631	Integrative Annotation of Human Large Intergenic Non-Coding RNAs Reveals Global Properties and Specific Subclasses	SRR309267,SRR309268,SRR309269,SRR309270
SRP009790	human	8	8	8	run_level	1.0	False	0	8	0	0	0.0	25963670	Modulation of NF-kB-Dependent Gene Transcription Using Programmable DNA Minor Groove Binders	SRR389020,SRR389021,SRR389022,SRR389023,SRR389024,SRR389025,SRR389026,SRR389027
SRP010041	human	6	6	6	run_level	1.0	True	6	0	0	0	0.0	26632997	Detecting splicing variants from non-differentially expressed genes of human idiopathic pulmonary fibrosis	SRR393010,SRR393011,SRR393012,SRR393013,SRR393014,SRR393015
SRP010166	human	16	16	16	run_level	1.0	True	16	0	0	0	1.0	19841228	Deep Sequence Analysis of non-small cell lung cancer: Integrated analysis of gene expression, alternative splicing, and single nucleotide variations in lung adenocarcinomas with and without oncogenic KRAS mutations	SRR396799,SRR396800,SRR396801,SRR396802,SRR396803,SRR396804,SRR396805,SRR396806,SRR396807,SRR396808,SRR396809,SRR396810,SRR396811,SRR396812,SRR396813,SRR396814
SRP012607	human	12	12	12	run_level	1.0	True	12	0	0	0	0.0	15117833	Differential analysis of HOXA1 in adult cells at isoform resolution by RNA-Seq [Illumina]	SRR493366,SRR493367,SRR493368,SRR493369,SRR493370,SRR493371,SRR493372,SRR493373,SRR493374,SRR493375,SRR493376,SRR493377
SRP012656	human	24	24	24	run_level	1.0	True	24	0	0	0	0.0	33985603	A high dimensional deep sequencing study of non-small cell lung adenocarcinoma in never-smoker Korean females [Seq]	SRR493937,SRR493938,SRR493939,SRR493940,SRR493941,SRR493942,SRR493943,SRR493944,SRR493945,SRR493946,SRR493947,SRR493948,SRR493949,SRR493950,SRR493951,SRR493952,SRR493953,SRR493954,SRR493955,SRR493956,SRR493957,SRR493958,SRR493959,SRR493960
