symbol	dropped_ensg	kept_ensg
HLA-DRB1	ENSG00000206240	ENSG00000196126
HLA-DRB1	ENSG00000206306	ENSG00000196126
HLA-DRB1	ENSG00000228080	ENSG00000196126
HLA-DRB1	ENSG00000229074	ENSG00000196126
HLA-DRB1	ENSG00000236884	ENSG00000196126
HLA-DRB3	ENSG00000230463	ENSG00000196101
HLA-DRB3	ENSG00000231679	ENSG00000196101
HLA-DRB4	ENSG00000227357	ENSG00000231021
HLA-DRB4	ENSG00000227826	ENSG00000231021
HLA-DRB9	ENSG00000226035	ENSG00000196301
HLA-DRB9	ENSG00000227384	ENSG00000196301
HLA-DRB9	ENSG00000227526	ENSG00000196301
HLA-DRB9	ENSG00000228260	ENSG00000196301
HLA-DRB9	ENSG00000232705	ENSG00000196301
HLA-DRB9	ENSG00000234164	ENSG00000196301
HLA-DRB9	ENSG00000237591	ENSG00000196301
HLA-E	ENSG00000206493	ENSG00000204592
HLA-E	ENSG00000225201	ENSG00000204592
HLA-E	ENSG00000229252	ENSG00000204592
HLA-E	ENSG00000230254	ENSG00000204592
HLA-E	ENSG00000233904	ENSG00000204592
HLA-E	ENSG00000236632	ENSG00000204592
HLA-F	ENSG00000137403	ENSG00000204642
HLA-F	ENSG00000206509	ENSG00000204642
HLA-F	ENSG00000229698	ENSG00000204642
HLA-F	ENSG00000234487	ENSG00000204642
HLA-F	ENSG00000235220	ENSG00000204642
HLA-F	ENSG00000237508	ENSG00000204642
HLA-G	ENSG00000206506	ENSG00000204632
HLA-G	ENSG00000230413	ENSG00000204632
HLA-G	ENSG00000233095	ENSG00000204632
HLA-G	ENSG00000235346	ENSG00000204632
HLA-G	ENSG00000235680	ENSG00000204632
HLA-G	ENSG00000237216	ENSG00000204632
HLA-G	ENSG00000276051	ENSG00000204632
HLA-H	ENSG00000206341	ENSG00000227669
HLA-H	ENSG00000223463	ENSG00000227669
HLA-H	ENSG00000226893	ENSG00000227669
HLA-H	ENSG00000227296	ENSG00000227669
HLA-H	ENSG00000231904	ENSG00000227669
HLA-H	ENSG00000237218	ENSG00000227669
HLA-H	ENSG00000247700	ENSG00000227669
HLA-J	ENSG00000204622	ENSG00000243336
HLA-J	ENSG00000223439	ENSG00000243336
HLA-J	ENSG00000226586	ENSG00000243336
HLA-J	ENSG00000228220	ENSG00000243336
HLA-J	ENSG00000228524	ENSG00000243336
HLA-J	ENSG00000234074	ENSG00000243336
HLA-J	ENSG00000235309	ENSG00000243336
HLA-K	ENSG00000224526	ENSG00000232708
HLA-K	ENSG00000229959	ENSG00000232708
HLA-K	ENSG00000230795	ENSG00000232708
HLA-K	ENSG00000232331	ENSG00000232708
HLA-K	ENSG00000232816	ENSG00000232708
HLA-K	ENSG00000233964	ENSG00000232708
HLA-L	ENSG00000239618	ENSG00000243753
HLA-L	ENSG00000241166	ENSG00000243753
HLA-L	ENSG00000242227	ENSG00000243753
HLA-L	ENSG00000243492	ENSG00000243753
HLA-L	ENSG00000244721	ENSG00000243753
HLA-N	ENSG00000227334	ENSG00000224372
HLA-N	ENSG00000230509	ENSG00000224372
HLA-N	ENSG00000232232	ENSG00000224372
HLA-N	ENSG00000234095	ENSG00000224372
HLA-N	ENSG00000234799	ENSG00000224372
HLA-N	ENSG00000236688	ENSG00000224372
HLA-P	ENSG00000260055	ENSG00000259930
HLA-P	ENSG00000260221	ENSG00000259930
HLA-P	ENSG00000260538	ENSG00000259930
HLA-P	ENSG00000260638	ENSG00000259930
HLA-P	ENSG00000261134	ENSG00000259930
HLA-P	ENSG00000261548	ENSG00000259930
HLA-P	ENSG00000261814	ENSG00000259930
HLA-S	ENSG00000225851	ENSG00000225145
HLA-S	ENSG00000226027	ENSG00000225145
HLA-S	ENSG00000228179	ENSG00000225145
HLA-S	ENSG00000237559	ENSG00000225145
HLA-T	ENSG00000224693	ENSG00000227027
HLA-T	ENSG00000226727	ENSG00000227027
HLA-T	ENSG00000229293	ENSG00000227027
HLA-T	ENSG00000229552	ENSG00000227027
HLA-T	ENSG00000231130	ENSG00000227027
HLA-T	ENSG00000232988	ENSG00000227027
HLA-T	ENSG00000237098	ENSG00000227027
HLA-U	ENSG00000226354	ENSG00000223352
HLA-U	ENSG00000227366	ENSG00000223352
HLA-U	ENSG00000228078	ENSG00000223352
HLA-U	ENSG00000229428	ENSG00000223352
HLA-U	ENSG00000233239	ENSG00000223352
HLA-U	ENSG00000236706	ENSG00000223352
HLA-V	ENSG00000181126	ENSG00000206444
HLA-V	ENSG00000206507	ENSG00000206444
HLA-V	ENSG00000223606	ENSG00000206444
HLA-V	ENSG00000224736	ENSG00000206444
HLA-V	ENSG00000229194	ENSG00000206444
HLA-V	ENSG00000229529	ENSG00000206444
HLA-V	ENSG00000230238	ENSG00000206444
HLA-W	ENSG00000230915	ENSG00000228029
HLA-W	ENSG00000232011	ENSG00000228029
HLA-W	ENSG00000234786	ENSG00000228029
HLA-W	ENSG00000234849	ENSG00000228029
HLA-W	ENSG00000235144	ENSG00000228029
HLA-W	ENSG00000235290	ENSG00000228029
HLA-W	ENSG00000236746	ENSG00000228029
HLA-Z	ENSG00000226691	ENSG00000225459
HLA-Z	ENSG00000228498	ENSG00000225459
HLA-Z	ENSG00000228785	ENSG00000225459
HLA-Z	ENSG00000233053	ENSG00000225459
HLA-Z	ENSG00000235301	ENSG00000225459
HLA-Z	ENSG00000237334	ENSG00000225459
HLA-Z	ENSG00000237871	ENSG00000225459
HMGB1P24	ENSG00000282695	ENSG00000275029
HMGB3P22	ENSG00000225051	ENSG00000284207
HMGN1P12	ENSG00000274138	ENSG00000247911
HMGN1P36	ENSG00000291601	ENSG00000235734
HMGN1P6	ENSG00000283357	ENSG00000224070
HMGN4	ENSG00000292175	ENSG00000182952
HMOX2	ENSG00000103415	ENSG00000277424
HMX1	ENSG00000288204	ENSG00000215612
HNF1B	ENSG00000276194	ENSG00000275410
HNRNPA1P2	ENSG00000225237	ENSG00000230209
HNRNPA1P2	ENSG00000231275	ENSG00000230209
HNRNPA1P2	ENSG00000233160	ENSG00000230209
HNRNPA1P2	ENSG00000234216	ENSG00000230209
HNRNPA1P2	ENSG00000235171	ENSG00000230209
HNRNPA1P2	ENSG00000237285	ENSG00000230209
HNRNPA1P2	ENSG00000237295	ENSG00000230209
HNRNPA1P38	ENSG00000282315	ENSG00000253605
HNRNPA1P38	ENSG00000291469	ENSG00000253605
HNRNPA1P51	ENSG00000283305	ENSG00000234491
HNRNPCL1	ENSG00000179172	ENSG00000282175
HNRNPCL2	ENSG00000275774	ENSG00000274109
HNRNPCL2	ENSG00000282530	ENSG00000274109
HNRNPCL2	ENSG00000283370	ENSG00000274109
HNRNPCL3	ENSG00000282559	ENSG00000277058
HNRNPCL3	ENSG00000283292	ENSG00000277058
HNRNPCL4	ENSG00000179412	ENSG00000282095
HNRNPCL4	ENSG00000273865	ENSG00000282095
HNRNPCL4	ENSG00000283231	ENSG00000282095
HNRNPH1	ENSG00000284254	ENSG00000169045
HNRNPL	ENSG00000104824	ENSG00000282947
HNRNPR	ENSG00000125944	ENSG00000282958
HOMER2P1	ENSG00000281971	ENSG00000228966
HOMER2P2	ENSG00000282601	ENSG00000238275
HPS5	ENSG00000110756	ENSG00000288445
HRAS	ENSG00000276536	ENSG00000174775
HS3ST6	ENSG00000276333	ENSG00000162040
HSD17B8	ENSG00000112474	ENSG00000204228
HSD17B8	ENSG00000225312	ENSG00000204228
HSD17B8	ENSG00000228357	ENSG00000204228
HSD17B8	ENSG00000228712	ENSG00000204228
HSD17B8	ENSG00000232357	ENSG00000204228
HSF1	ENSG00000284774	ENSG00000185122
HSP90AA4P	ENSG00000281610	ENSG00000205100
HSPA1A	ENSG00000204389	ENSG00000215328
HSPA1A	ENSG00000234475	ENSG00000215328
HSPA1A	ENSG00000235941	ENSG00000215328
HSPA1A	ENSG00000237724	ENSG00000215328
HSPA1B	ENSG00000204388	ENSG00000212866
HSPA1B	ENSG00000224501	ENSG00000212866
HSPA1B	ENSG00000231555	ENSG00000212866
HSPA1B	ENSG00000232804	ENSG00000212866
HSPA1L	ENSG00000206383	ENSG00000204390
HSPA1L	ENSG00000226704	ENSG00000204390
HSPA1L	ENSG00000234258	ENSG00000204390
HSPA1L	ENSG00000236251	ENSG00000204390
HSPD1P2	ENSG00000285066	ENSG00000254543
HSPD1P3	ENSG00000282496	ENSG00000255128
HSPD1P3	ENSG00000285504	ENSG00000255128
HTATSF1P1	ENSG00000223457	ENSG00000235684
HTATSF1P1	ENSG00000224052	ENSG00000235684
HTATSF1P1	ENSG00000227750	ENSG00000235684
HTATSF1P1	ENSG00000230012	ENSG00000235684
HTATSF1P1	ENSG00000234251	ENSG00000235684
HTATSF1P1	ENSG00000237536	ENSG00000235684
HTN1	ENSG00000283046	ENSG00000126550
HTN3	ENSG00000205649	ENSG00000282967
HYOU1	ENSG00000149428	ENSG00000280682
IARS1	ENSG00000291356	ENSG00000196305
IBTK	ENSG00000283068	ENSG00000005700
ICE2P1	ENSG00000281800	ENSG00000248880
ID3	ENSG00000283060	ENSG00000117318
IER3	ENSG00000137331	ENSG00000227231
IER3	ENSG00000206478	ENSG00000227231
IER3	ENSG00000230128	ENSG00000227231
IER3	ENSG00000235030	ENSG00000227231
IER3	ENSG00000237155	ENSG00000227231
IFI27	ENSG00000275214	ENSG00000165949
IFI27L1	ENSG00000276880	ENSG00000165948
IFI27L2	ENSG00000276879	ENSG00000119632
IFITM10	ENSG00000281618	ENSG00000244242
IFITM4P	ENSG00000228102	ENSG00000233298
IFITM4P	ENSG00000228912	ENSG00000233298
IFITM4P	ENSG00000229942	ENSG00000233298
IFITM4P	ENSG00000230722	ENSG00000233298
IFITM4P	ENSG00000233023	ENSG00000233298
IFITM4P	ENSG00000235821	ENSG00000233298
IFNGR2	ENSG00000159128	ENSG00000262795
IFNL1	ENSG00000291872	ENSG00000182393
IFNL2	ENSG00000291875	ENSG00000183709
IFNL3	ENSG00000291876	ENSG00000197110
IFNL3P1	ENSG00000291869	ENSG00000268510
IFNL4	ENSG00000292250	ENSG00000272395
IFNL4P1	ENSG00000291871	ENSG00000272311
IGHA1	ENSG00000282633	ENSG00000211895
IGHA2	ENSG00000276173	ENSG00000211890
IGHD	ENSG00000278801	ENSG00000211898
IGHD1-1	ENSG00000282714	ENSG00000236170
IGHD1-14	ENSG00000282736	ENSG00000227108
IGHD1-20	ENSG00000282592	ENSG00000237020
IGHD1-26	ENSG00000282323	ENSG00000211907
IGHD1-7	ENSG00000282495	ENSG00000237197
IGHD2-15	ENSG00000282818	ENSG00000211918
IGHD2-2	ENSG00000282578	ENSG00000211931
IGHD2-21	ENSG00000281984	ENSG00000211912
IGHD2-8	ENSG00000282132	ENSG00000211925
IGHD3-10	ENSG00000282373	ENSG00000211923
IGHD3-16	ENSG00000282232	ENSG00000211917
IGHD3-22	ENSG00000282396	ENSG00000211911
IGHD3-3	ENSG00000282754	ENSG00000211930
IGHD3-9	ENSG00000281939	ENSG00000211924
IGHD4-11	ENSG00000281940	ENSG00000232543
IGHD4-17	ENSG00000282274	ENSG00000227800
IGHD4-23	ENSG00000282640	ENSG00000227196
IGHD4-4	ENSG00000282227	ENSG00000233655
IGHD5-12	ENSG00000282102	ENSG00000211921
IGHD5-18	ENSG00000282346	ENSG00000211915
IGHD5-24	ENSG00000282674	ENSG00000211909
IGHD5-5	ENSG00000282769	ENSG00000211928
IGHD6-13	ENSG00000282042	ENSG00000211920
IGHD6-19	ENSG00000282487	ENSG00000211914
IGHD6-25	ENSG00000282724	ENSG00000225825
IGHD6-6	ENSG00000282010	ENSG00000228131
IGHD7-27	ENSG00000282455	ENSG00000236597
IGHE	ENSG00000211891	ENSG00000276192
IGHEP1	ENSG00000281947	ENSG00000253692
IGHG1	ENSG00000277633	ENSG00000211896
IGHG2	ENSG00000274497	ENSG00000211893
IGHG3	ENSG00000282184	ENSG00000211897
IGHG4	ENSG00000277016	ENSG00000211892
IGHGP	ENSG00000282094	ENSG00000253755
IGHJ1	ENSG00000282409	ENSG00000211905
IGHJ1P	ENSG00000282672	ENSG00000227335
IGHJ2	ENSG00000282342	ENSG00000211904
IGHJ2P	ENSG00000282778	ENSG00000237547
IGHJ3	ENSG00000282471	ENSG00000242887
IGHJ3P	ENSG00000282541	ENSG00000237111
IGHJ4	ENSG00000282065	ENSG00000240041
IGHJ5	ENSG00000282615	ENSG00000242472
IGHJ6	ENSG00000282797	ENSG00000211900
IGHM	ENSG00000282657	ENSG00000211899
IGHV1-12	ENSG00000282366	ENSG00000254174
IGHV1-14	ENSG00000282796	ENSG00000253709
IGHV1-17	ENSG00000282561	ENSG00000254046
IGHV1-18	ENSG00000282716	ENSG00000211945
IGHV1-2	ENSG00000282550	ENSG00000211934
IGHV1-24	ENSG00000282284	ENSG00000211950
IGHV1-3	ENSG00000282213	ENSG00000211935
IGHV1-45	ENSG00000282776	ENSG00000211961
IGHV1-46	ENSG00000282131	ENSG00000211962
IGHV1-58	ENSG00000282337	ENSG00000211968
IGHV1-67	ENSG00000282439	ENSG00000253274
IGHV1-68	ENSG00000282055	ENSG00000253703
IGHV1-69	ENSG00000282350	ENSG00000211973
IGHV1-69-2	ENSG00000281990	ENSG00000275148
IGHV1-69D	ENSG00000282399	ENSG00000280411
IGHV2-26	ENSG00000282344	ENSG00000211951
IGHV2-5	ENSG00000277318	ENSG00000211937
IGHV2-70	ENSG00000282453	ENSG00000274576
IGHV2-70D	ENSG00000282482	ENSG00000211974
IGHV3-11	ENSG00000282322	ENSG00000211941
IGHV3-13	ENSG00000282286	ENSG00000211942
IGHV3-15	ENSG00000282290	ENSG00000211943
IGHV3-16	ENSG00000282653	ENSG00000211944
IGHV3-19	ENSG00000281996	ENSG00000253883
IGHV3-20	ENSG00000282476	ENSG00000211946
IGHV3-21	ENSG00000282281	ENSG00000211947
IGHV3-22	ENSG00000282609	ENSG00000253957
IGHV3-23	ENSG00000281962	ENSG00000211949
IGHV3-25	ENSG00000282710	ENSG00000253441
IGHV3-29	ENSG00000281983	ENSG00000270474
IGHV3-30	ENSG00000282777	ENSG00000270550
IGHV3-30-2	ENSG00000282356	ENSG00000253587
IGHV3-33	ENSG00000282642	ENSG00000211955
IGHV3-33-2	ENSG00000282526	ENSG00000253440
IGHV3-35	ENSG00000282104	ENSG00000211957
IGHV3-36	ENSG00000281986	ENSG00000253240
IGHV3-37	ENSG00000281973	ENSG00000253359
IGHV3-38	ENSG00000282425	ENSG00000211958
IGHV3-41	ENSG00000282783	ENSG00000278473
IGHV3-42	ENSG00000282180	ENSG00000254228
IGHV3-43	ENSG00000282151	ENSG00000232216
IGHV3-47	ENSG00000282398	ENSG00000229092
IGHV3-48	ENSG00000282627	ENSG00000211964
IGHV3-49	ENSG00000275316	ENSG00000211965
IGHV3-50	ENSG00000282138	ENSG00000253241
IGHV3-52	ENSG00000282188	ENSG00000253545
IGHV3-53	ENSG00000282593	ENSG00000211967
IGHV3-54	ENSG00000282383	ENSG00000275475
IGHV3-57	ENSG00000282794	ENSG00000253759
IGHV3-6	ENSG00000281944	ENSG00000253763
IGHV3-60	ENSG00000282586	ENSG00000253742
IGHV3-62	ENSG00000282414	ENSG00000253132
IGHV3-63	ENSG00000282560	ENSG00000253936
IGHV3-64	ENSG00000274236	ENSG00000223648
IGHV3-65	ENSG00000282821	ENSG00000253209
IGHV3-66	ENSG00000282045	ENSG00000211972
IGHV3-69-1	ENSG00000282600	ENSG00000282421
IGHV3-7	ENSG00000282211	ENSG00000211938
IGHV3-71	ENSG00000282679	ENSG00000254056
IGHV3-72	ENSG00000278042	ENSG00000225698
IGHV3-73	ENSG00000273539	ENSG00000211976
IGHV3-74	ENSG00000282305	ENSG00000224650
IGHV3-75	ENSG00000276060	ENSG00000254176
IGHV3-76	ENSG00000281966	ENSG00000253247
IGHV4-28	ENSG00000282726	ENSG00000211952
IGHV4-31	ENSG00000282404	ENSG00000231475
IGHV4-34	ENSG00000276491	ENSG00000211956
IGHV4-39	ENSG00000282579	ENSG00000211959
IGHV4-4	ENSG00000282223	ENSG00000276775
IGHV4-55	ENSG00000282616	ENSG00000254395
IGHV4-59	ENSG00000282691	ENSG00000224373
IGHV4-61	ENSG00000282451	ENSG00000211970
IGHV5-51	ENSG00000277574	ENSG00000211966
IGHV5-78	ENSG00000276708	ENSG00000211978
IGHV6-1	ENSG00000282745	ENSG00000211933
IGHV7-27	ENSG00000282267	ENSG00000254326
IGHV7-34-1	ENSG00000282123	ENSG00000253325
IGHV7-40	ENSG00000282194	ENSG00000253467
IGHV7-56	ENSG00000282504	ENSG00000253131
IGHV8-51-1	ENSG00000282294	ENSG00000254167
IGHVII-1-1	ENSG00000282197	ENSG00000254279
IGHVII-15-1	ENSG00000282631	ENSG00000253458
IGHVII-22-1	ENSG00000282127	ENSG00000253345
IGHVII-26-2	ENSG00000282452	ENSG00000253482
IGHVII-30-1	ENSG00000282136	ENSG00000253491
IGHVII-33-1	ENSG00000282552	ENSG00000254203
IGHVII-40-1	ENSG00000282292	ENSG00000253294
IGHVII-44-2	ENSG00000281956	ENSG00000253895
IGHVII-46-1	ENSG00000282196	ENSG00000253808
IGHVII-49-1	ENSG00000282465	ENSG00000253386
IGHVII-51-2	ENSG00000282312	ENSG00000253941
IGHVII-53-1	ENSG00000281923	ENSG00000253714
IGHVII-60-1	ENSG00000282082	ENSG00000254329
IGHVII-62-1	ENSG00000282099	ENSG00000253747
IGHVII-65-1	ENSG00000282018	ENSG00000253169
IGHVII-67-1	ENSG00000282652	ENSG00000253820
IGHVII-74-1	ENSG00000282186	ENSG00000254134
IGHVIII-11-1	ENSG00000281964	ENSG00000254215
IGHVIII-13-1	ENSG00000282569	ENSG00000253412
IGHVIII-2-1	ENSG00000282108	ENSG00000253780
IGHVIII-22-2	ENSG00000282687	ENSG00000254045
IGHVIII-25-1	ENSG00000281926	ENSG00000253367
IGHVIII-26-1	ENSG00000282239	ENSG00000253462
IGHVIII-38-1	ENSG00000282576	ENSG00000253989
IGHVIII-44	ENSG00000283562	ENSG00000282802
IGHVIII-47-1	ENSG00000282708	ENSG00000253862
IGHVIII-5-1	ENSG00000282066	ENSG00000253387
IGHVIII-5-2	ENSG00000282139	ENSG00000254053
IGHVIII-67-2	ENSG00000282016	ENSG00000254036
IGHVIII-67-3	ENSG00000282161	ENSG00000253635
IGHVIII-67-4	ENSG00000282808	ENSG00000254052
IGHVIII-76-1	ENSG00000282473	ENSG00000253310
IGHVIV-44-1	ENSG00000282553	ENSG00000253465
IGKV1-12	ENSG00000282694	ENSG00000243290
IGKV1-13	ENSG00000282603	ENSG00000253497
IGKV1-16	ENSG00000282282	ENSG00000240864
IGKV1-17	ENSG00000281978	ENSG00000240382
IGKV1-22	ENSG00000282762	ENSG00000253578
IGKV1-27	ENSG00000282666	ENSG00000244575
IGKV1-32	ENSG00000282571	ENSG00000253870
IGKV1-33	ENSG00000282811	ENSG00000242076
IGKV1-35	ENSG00000282157	ENSG00000253461
IGKV1-37	ENSG00000282394	ENSG00000239862
IGKV1-39	ENSG00000282120	ENSG00000242371
IGKV1-5	ENSG00000282801	ENSG00000243466
IGKV1-6	ENSG00000282163	ENSG00000239855
IGKV1-8	ENSG00000283113	ENSG00000240671
IGKV1-9	ENSG00000282758	ENSG00000241755
IGKV1D-8	ENSG00000281078	ENSG00000239819
IGKV1OR10-1	ENSG00000282178	ENSG00000237592
IGKV1OR2-11	ENSG00000291592	ENSG00000270187
IGKV1OR2-118	ENSG00000280572	ENSG00000270999
IGKV1OR2-118	ENSG00000281668	ENSG00000270999
IGKV1OR2-3	ENSG00000291576	ENSG00000204670
IGKV1OR2-6	ENSG00000291589	ENSG00000271569
IGKV1OR2-9	ENSG00000291585	ENSG00000271351
IGKV2-10	ENSG00000282248	ENSG00000253278
IGKV2-14	ENSG00000282251	ENSG00000253265
IGKV2-18	ENSG00000282200	ENSG00000254157
IGKV2-19	ENSG00000282244	ENSG00000253732
IGKV2-23	ENSG00000282093	ENSG00000253625
IGKV2-24	ENSG00000282671	ENSG00000241294
IGKV2-26	ENSG00000282622	ENSG00000254098
IGKV2-28	ENSG00000282025	ENSG00000244116
IGKV2-29	ENSG00000282635	ENSG00000253998
IGKV2-30	ENSG00000281933	ENSG00000243238
IGKV2-36	ENSG00000282646	ENSG00000253487
IGKV2-38	ENSG00000282387	ENSG00000253592
IGKV2-4	ENSG00000282448	ENSG00000253435
IGKV2-40	ENSG00000282182	ENSG00000273962
IGKV2OR2-1	ENSG00000291573	ENSG00000270748
IGKV2OR2-10	ENSG00000291586	ENSG00000276050
IGKV2OR2-2	ENSG00000291575	ENSG00000271402
IGKV2OR2-7	ENSG00000291590	ENSG00000270450
IGKV2OR2-7D	ENSG00000291587	ENSG00000271015
IGKV2OR2-8	ENSG00000291591	ENSG00000278537
IGKV3-11	ENSG00000282823	ENSG00000241351
IGKV3-15	ENSG00000282447	ENSG00000244437
IGKV3-20	ENSG00000282402	ENSG00000239951
IGKV3-25	ENSG00000282062	ENSG00000253202
IGKV3-31	ENSG00000282743	ENSG00000253158
IGKV3-34	ENSG00000282149	ENSG00000253860
IGKV3-7	ENSG00000282310	ENSG00000243063
IGKV3D-7	ENSG00000275777	ENSG00000228325
IGKV3OR2-5	ENSG00000291588	ENSG00000270252
IGKV5-2	ENSG00000282172	ENSG00000211599
IGKV6-21	ENSG00000282210	ENSG00000211611
IGKV7-3	ENSG00000282050	ENSG00000197794
IGLV1-36	ENSG00000273737	ENSG00000211655
IGLV1-40	ENSG00000274575	ENSG00000211653
IGLV1-41	ENSG00000281565	ENSG00000253818
IGLV1-44	ENSG00000274854	ENSG00000211651
IGLV2-33	ENSG00000281345	ENSG00000211656
IGLV2-34	ENSG00000281055	ENSG00000253120
IGLV3-30	ENSG00000281031	ENSG00000253329
IGLV3-31	ENSG00000281493	ENSG00000253920
IGLV3-32	ENSG00000280866	ENSG00000211657
IGLV5-37	ENSG00000281471	ENSG00000211654
IGLV5-45	ENSG00000281145	ENSG00000211650
IGLV7-35	ENSG00000280825	ENSG00000253631
IGLV7-43	ENSG00000278293	ENSG00000211652
IGLVI-38	ENSG00000280941	ENSG00000253889
IGLVI-42	ENSG00000281361	ENSG00000254175
IGLVVII-41-1	ENSG00000281074	ENSG00000254073
IGSF3P1	ENSG00000281084	ENSG00000279124
IGSF6	ENSG00000283934	ENSG00000140749
IL27RA	ENSG00000288185	ENSG00000104998
IL3RA	ENSG00000292332	ENSG00000185291
IL9R	ENSG00000292373	ENSG00000124334
IMPDH1P5	ENSG00000282534	ENSG00000213513
INAVAP1	ENSG00000285255	ENSG00000244144
INO80D	ENSG00000283510	ENSG00000114933
INPP5D	ENSG00000281614	ENSG00000168918
INTS3	ENSG00000262826	ENSG00000143624
IPO4	ENSG00000285248	ENSG00000196497
IQGAP3	ENSG00000291754	ENSG00000183856
IQSEC3	ENSG00000262607	ENSG00000120645
IRF7	ENSG00000276561	ENSG00000185507
IRF9	ENSG00000285048	ENSG00000213928
ISLR	ENSG00000288508	ENSG00000129009
ITGA9	ENSG00000291488	ENSG00000144668
ITPK1	ENSG00000274958	ENSG00000100605
KANSL1	ENSG00000275867	ENSG00000120071
KANSL1	ENSG00000278458	ENSG00000120071
KAT6B	ENSG00000156650	ENSG00000281813
KBTBD11	ENSG00000273645	ENSG00000176595
KBTBD4	ENSG00000284900	ENSG00000123444
KCND1	ENSG00000292214	ENSG00000102057
KCNIP4	ENSG00000281758	ENSG00000185774
KCNQ1	ENSG00000282076	ENSG00000053918
KCNQ2	ENSG00000281151	ENSG00000075043
KCNT2	ENSG00000291999	ENSG00000162687
KCTD11	ENSG00000288399	ENSG00000213859
KEL	ENSG00000276615	ENSG00000197993
KGD4	ENSG00000278461	ENSG00000134056
KIAA1143	ENSG00000281665	ENSG00000163807
KIF15	ENSG00000280610	ENSG00000163808
KIF26B	ENSG00000281216	ENSG00000162849
KIF5C	ENSG00000276734	ENSG00000168280
KIFC1	ENSG00000204197	ENSG00000237649
KIFC1	ENSG00000233450	ENSG00000237649
KIR2DL1	ENSG00000125498	ENSG00000275196
KIR2DL1	ENSG00000273510	ENSG00000275196
KIR2DL1	ENSG00000273794	ENSG00000275196
KIR2DL1	ENSG00000274692	ENSG00000275196
KIR2DL1	ENSG00000274782	ENSG00000275196
KIR2DL1	ENSG00000274926	ENSG00000275196
KIR2DL1	ENSG00000275080	ENSG00000275196
KIR2DL1	ENSG00000275276	ENSG00000275196
KIR2DL1	ENSG00000275522	ENSG00000275196
KIR2DL1	ENSG00000275750	ENSG00000275196
KIR2DL1	ENSG00000276310	ENSG00000275196
KIR2DL1	ENSG00000276625	ENSG00000275196
KIR2DL1	ENSG00000276820	ENSG00000275196
KIR2DL1	ENSG00000277356	ENSG00000275196
KIR2DL1	ENSG00000277616	ENSG00000275196
KIR2DL1	ENSG00000277833	ENSG00000275196
KIR2DL1	ENSG00000278207	ENSG00000275196
KIR2DL1	ENSG00000278248	ENSG00000275196
KIR2DL1	ENSG00000278495	ENSG00000275196
KIR2DL1	ENSG00000278503	ENSG00000275196
KIR2DL1	ENSG00000278738	ENSG00000275196
KIR2DL1	ENSG00000278755	ENSG00000275196
KIR2DL1	ENSG00000278805	ENSG00000275196
KIR2DL1	ENSG00000278821	ENSG00000275196
KIR2DL1	ENSG00000283723	ENSG00000275196
KIR2DL1	ENSG00000284100	ENSG00000275196
KIR2DL1	ENSG00000284145	ENSG00000275196
KIR2DL1	ENSG00000284347	ENSG00000275196
KIR2DL1	ENSG00000284401	ENSG00000275196
KIR2DL1	ENSG00000284514	ENSG00000275196
KIR2DL1	ENSG00000284530	ENSG00000275196
KIR2DL1	ENSG00000284551	ENSG00000275196
KIR2DL2	ENSG00000273661	ENSG00000273578
KIR2DL2	ENSG00000278692	ENSG00000273578
KIR2DL3	ENSG00000273887	ENSG00000243772
KIR2DL3	ENSG00000273947	ENSG00000243772
KIR2DL3	ENSG00000274108	ENSG00000243772
KIR2DL3	ENSG00000274402	ENSG00000243772
KIR2DL3	ENSG00000274410	ENSG00000243772
KIR2DL3	ENSG00000274830	ENSG00000243772
KIR2DL3	ENSG00000274952	ENSG00000243772
KIR2DL3	ENSG00000275008	ENSG00000243772
KIR2DL3	ENSG00000275623	ENSG00000243772
KIR2DL3	ENSG00000275658	ENSG00000243772
KIR2DL3	ENSG00000276218	ENSG00000243772
KIR2DL3	ENSG00000276459	ENSG00000243772
KIR2DL3	ENSG00000276590	ENSG00000243772
KIR2DL3	ENSG00000277317	ENSG00000243772
KIR2DL3	ENSG00000277484	ENSG00000243772
KIR2DL3	ENSG00000277554	ENSG00000243772
KIR2DL3	ENSG00000277924	ENSG00000243772
KIR2DL3	ENSG00000278327	ENSG00000243772
KIR2DL3	ENSG00000278369	ENSG00000243772
KIR2DL3	ENSG00000283702	ENSG00000243772
KIR2DL3	ENSG00000283708	ENSG00000243772
KIR2DL3	ENSG00000283790	ENSG00000243772
KIR2DL3	ENSG00000283996	ENSG00000243772
KIR2DL3	ENSG00000284044	ENSG00000243772
KIR2DL3	ENSG00000284132	ENSG00000243772
KIR2DL3	ENSG00000284236	ENSG00000243772
KIR2DL3	ENSG00000284241	ENSG00000243772
KIR2DL3	ENSG00000284333	ENSG00000243772
KIR2DL3	ENSG00000284504	ENSG00000243772
KIR2DL3	ENSG00000284510	ENSG00000243772
KIR2DL4	ENSG00000273498	ENSG00000189013
KIR2DL4	ENSG00000273575	ENSG00000189013
KIR2DL4	ENSG00000274189	ENSG00000189013
KIR2DL4	ENSG00000274193	ENSG00000189013
KIR2DL4	ENSG00000274232	ENSG00000189013
KIR2DL4	ENSG00000274609	ENSG00000189013
KIR2DL4	ENSG00000274945	ENSG00000189013
KIR2DL4	ENSG00000274955	ENSG00000189013
KIR2DL4	ENSG00000275237	ENSG00000189013
