predictor	expression	filter	adjustment	n	rho	abs_rho	p	ci95_lo	ci95_hi	eligible	q_grid
tmb	rsem	purity_ge_0.8	purity_ploidy	99	-0.100591	0.100591	0.326912	-0.292204	0.098786	True	0.3732
tmb	star	purity_ge_0.7	purity_krt18_krt19	202	-0.0996458	0.0996458	0.161421	-0.234474	0.0389434	True	0.208233
mut_all	rsem	purity_ge_0.7	none	143	-0.0967556	0.0967556	0.25032	-0.256828	0.0684837	True	0.303204
mut_all	rsem	purity_ge_0.8	none	99	-0.094938	0.094938	0.349924	-0.286975	0.104435	True	0.392523
tmb	star	purity_ge_0.8	purity_krt18_krt19	144	-0.0942518	0.0942518	0.26627	-0.253916	0.0704127	True	0.319524
mut_nonsyn	star	purity_ge_0.8	purity_krt18_krt19	144	-0.0935329	0.0935329	0.269951	-0.253237	0.0711343	True	0.321038
tmb	star	purity_ge_0.8	krt18_krt19	144	-0.0917428	0.0917428	0.277536	-0.251547	0.0729306	True	0.326961
mut_nonsyn	star	purity_ge_0.8	krt18_krt19	144	-0.0909384	0.0909384	0.281789	-0.250787	0.0737374	True	0.330461
mut_nonsyn	rsem	purity_ge_0.7	none	143	-0.0849007	0.0849007	0.31337	-0.245629	0.0803709	True	0.362554
tmb	rsem	purity_ge_0.7	none	143	-0.0836099	0.0836099	0.32081	-0.244407	0.0816624	True	0.369505
mut_all	star	purity_ge_0.8	purity_krt18_krt19	144	-0.0823782	0.0823782	0.331483	-0.242687	0.0823099	True	0.376752
tmb	rsem	purity_ge_0.8	none	99	-0.080909	0.080909	0.425964	-0.273949	0.118398	True	0.465673
mut_nonsyn	rsem	purity_ge_0.8	none	99	-0.0805732	0.0805732	0.427893	-0.273636	0.118731	True	0.465808
mut_all	star	purity_ge_0.8	krt18_krt19	144	-0.0803196	0.0803196	0.342013	-0.240736	0.0843678	True	0.385325
mut_nonsyn	rsem	purity_ge_0.7	purity_krt18_krt19	143	-0.0622325	0.0622325	0.465114	-0.224095	0.102971	True	0.502753
tmb	rsem	purity_ge_0.7	purity_krt18_krt19	143	-0.062147	0.062147	0.465729	-0.224013	0.103056	True	0.502753
mut_all	rsem	purity_ge_0.7	purity_krt18_krt19	143	-0.058983	0.058983	0.488785	-0.220995	0.106197	True	0.525444
tmb	rsem	purity_ge_0.7	krt18_krt19	143	-0.0387651	0.0387651	0.648114	-0.201634	0.126189	True	0.692738
mut_nonsyn	rsem	purity_ge_0.7	krt18_krt19	143	-0.0385688	0.0385688	0.649777	-0.201445	0.126383	True	0.692738
mut_all	protein	purity_ge_0.8	purity_ploidy	42	-0.037954	0.037954	0.816139	-0.337992	0.269087	True	0.862966
mut_all	rsem	purity_ge_0.7	krt18_krt19	143	-0.036615	0.036615	0.66643	-0.199567	0.128308	True	0.707567
mut_all	protein	purity_ge_0.8	purity	42	-0.0346831	0.0346831	0.829552	-0.335087	0.272122	True	0.873569
mut_all	protein	purity_ge_0.8	none	42	-0.0319287	0.0319287	0.840911	-0.332637	0.274673	True	0.878361
tmb	rsem	purity_ge_0.8	purity_krt18_krt19	99	-0.0211847	0.0211847	0.837673	-0.21769	0.176971	True	0.878361
mut_nonsyn	rsem	purity_ge_0.8	purity_krt18_krt19	99	-0.0183673	0.0183673	0.859022	-0.215003	0.1797	True	0.89366
mut_nonsyn	protein	purity_ge_0.8	purity_ploidy	42	-0.0179361	0.0179361	0.912529	-0.320128	0.287568	True	0.945512
mut_nonsyn	protein	purity_ge_0.8	purity	42	-0.0156517	0.0156517	0.922626	-0.318075	0.289663	True	0.95215
mut_nonsyn	protein	purity_ge_0.8	none	42	-0.0129696	0.0129696	0.935029	-0.315662	0.292118	True	0.960793
tmb	protein	purity_ge_0.8	purity_ploidy	42	-0.0112548	0.0112548	0.945048	-0.314117	0.293686	True	0.960793
tmb	protein	purity_ge_0.8	purity	42	-0.00866053	0.00866053	0.957142	-0.311776	0.296055	True	0.968402
mut_all	rsem	purity_ge_0.8	purity_krt18_krt19	99	-0.00709178	0.00709178	0.945327	-0.204221	0.19059	True	0.960793
tmb	rsem	purity_ge_0.8	krt18_krt19	99	-0.00698057	0.00698057	0.945897	-0.204115	0.190698	True	0.960793
tmb	protein	purity_ge_0.8	none	42	-0.00583468	0.00583468	0.970746	-0.309223	0.298631	True	0.970986
mut_all	rsem	purity_ge_0.8	krt18_krt19	99	0.00457253	0.00457253	0.964545	-0.193017	0.201806	True	0.970986
mut_nonsyn	rsem	purity_ge_0.8	krt18_krt19	99	-0.00374143	0.00374143	0.970986	-0.201008	0.193817	True	0.970986
mut_all	protein	brca_nonsyn_present	purity_krt18_krt19	5	-1	1				False	
mut_nonsyn	protein	brca_nonsyn_present	purity_krt18_krt19	5	-1	1				False	
tmb	protein	brca_nonsyn_present	purity_krt18_krt19	5	-1	1				False	
mut_all	protein	brca_nonsyn_present	krt18_krt19	5	-0.686406	0.686406	0.518374	-0.977006	0.496613	False	
tmb	protein	brca_nonsyn_present	krt18_krt19	5	-0.613526	0.613526	0.579501	-0.97048	0.585882	False	
mut_nonsyn	protein	brca_nonsyn_present	krt18_krt19	5	-0.484832	0.484832	0.677762	-0.957521	0.694526	False	
mut_all	rsem	brca_nonsyn_present	purity	16	-0.398594	0.398594	0.141121	-0.746757	0.121034	False	
mut_all	rsem	brca_nonsyn_present	purity_ploidy	16	-0.39626	0.39626	0.160721	-0.745528	0.123764	False	
mut_nonsyn	star	brca_nonsyn_present	purity_krt18_krt19	22	-0.395005	0.395005	0.0941766	-0.700036	0.0319273	False	
mut_nonsyn	star	brca_nonsyn_present	krt18_krt19	22	-0.393351	0.393351	0.0861972	-0.699036	0.0338841	False	
mut_nonsyn	rsem	brca_nonsyn_present	purity	16	-0.385362	0.385362	0.156041	-0.73976	0.136408	False	
mut_nonsyn	rsem	brca_nonsyn_present	purity_ploidy	16	-0.382665	0.382665	0.176891	-0.738324	0.139513	False	
mut_all	star	brca_nonsyn_present	purity_krt18_krt19	22	-0.380991	0.380991	0.107543	-0.691525	0.048399	False	
mut_all	star	brca_nonsyn_present	krt18_krt19	22	-0.380121	0.380121	0.098284	-0.690994	0.0494136	False	
mut_silent	rsem	brca_nonsyn_present	purity_ploidy	16	-0.378876	0.378876	0.181577	-0.736302	0.143854	False	
mut_silent	rsem	brca_nonsyn_present	purity	16	-0.378757	0.378757	0.163868	-0.736238	0.143991	False	
mut_silent	protein	brca_nonsyn_present	purity_ploidy	8	0.377428	0.377428	0.460741	-0.445828	0.854769	False	
tmb	star	brca_nonsyn_present	purity_krt18_krt19	22	-0.374937	0.374937	0.113719	-0.687822	0.0554431	False	
tmb	rsem	brca_nonsyn_present	purity	16	-0.374557	0.374557	0.168977	-0.733988	0.148781	False	
tmb	star	brca_nonsyn_present	krt18_krt19	22	-0.373122	0.373122	0.105156	-0.686709	0.0575457	False	
tmb	rsem	brca_nonsyn_present	purity_ploidy	16	-0.371673	0.371673	0.190706	-0.732439	0.152055	False	
mut_nonsyn	star	brca_nonsyn_present	none	22	-0.353008	0.353008	0.107076	-0.674269	0.0806042	False	
mut_nonsyn	star	brca_nonsyn_present	purity_ploidy	22	-0.351343	0.351343	0.128765	-0.673232	0.0824913	False	
mut_all	star	brca_nonsyn_present	purity_ploidy	22	-0.351187	0.351187	0.128947	-0.673134	0.0826689	False	
mut_nonsyn	star	brca_nonsyn_present	purity	22	-0.349569	0.349569	0.120349	-0.672124	0.0845004	False	
mut_all	star	brca_nonsyn_present	none	22	-0.34952	0.34952	0.110833	-0.672094	0.0845556	False	
mut_all	rsem	brca_nonsyn_present	none	16	-0.347059	0.347059	0.187834	-0.719063	0.179543	False	
mut_all	star	brca_nonsyn_present	purity	22	-0.346564	0.346564	0.12379	-0.670245	0.0878945	False	
tmb	star	brca_nonsyn_present	none	22	-0.336628	0.336628	0.125555	-0.664003	0.0990443	False	
mut_nonsyn	protein	brca_nonsyn_present	purity_ploidy	8	0.336382	0.336382	0.514459	-0.482725	0.841574	False	
tmb	star	brca_nonsyn_present	purity_ploidy	22	-0.33631	0.33631	0.147112	-0.663802	0.0993999	False	
tmb	star	brca_nonsyn_present	purity	22	-0.333012	0.333012	0.140187	-0.66172	0.103075	False	
mut_silent	protein	brca_nonsyn_present	purity	8	0.332994	0.332994	0.465506	-0.485646	0.840458	False	
mut_silent	protein	brca_nonsyn_present	none	8	0.323359	0.323359	0.434639	-0.493854	0.837258	False	
mut_nonsyn	rsem	brca_nonsyn_present	none	16	-0.317647	0.317647	0.230573	-0.70271	0.211344	False	
mut_nonsyn	protein	brca_nonsyn_present	none	8	0.309524	0.309524	0.455645	-0.505391	0.832602	False	
tmb	rsem	brca_nonsyn_present	none	16	-0.306108	0.306108	0.248888	-0.696181	0.223523	False	
mut_silent	star	brca_nonsyn_present	purity_krt18_krt19	22	-0.30359	0.30359	0.206388	-0.642913	0.13535	False	
mut_silent	star	brca_nonsyn_present	krt18_krt19	22	-0.298286	0.298286	0.201461	-0.639479	0.141071	False	
mut_silent	star	brca_nonsyn_present	purity_ploidy	22	-0.292914	0.292914	0.210091	-0.635987	0.146835	False	
mut_silent	star	brca_nonsyn_present	none	22	-0.286603	0.286603	0.19596	-0.631866	0.153569	False	
mut_silent	rsem	brca_nonsyn_present	none	16	-0.285926	0.285926	0.283027	-0.684605	0.244432	False	
mut_nonsyn	protein	brca_nonsyn_present	purity	8	0.284559	0.284559	0.536236	-0.525496	0.824007	False	
mut_silent	star	brca_nonsyn_present	purity	22	-0.281648	0.281648	0.216136	-0.628617	0.158828	False	
tmb	protein	brca_nonsyn_present	purity_ploidy	8	0.266968	0.266968	0.609062	-0.53914	0.817799	False	
tmb	protein	brca_nonsyn_present	none	8	0.251502	0.251502	0.547943	-0.550796	0.812232	False	
mut_silent	rsem	brca_nonsyn_present	purity_krt18_krt19	16	-0.248803	0.248803	0.412392	-0.662773	0.281647	False	
mut_all	rsem	brca_nonsyn_present	purity_krt18_krt19	16	-0.239799	0.239799	0.430049	-0.65737	0.290438	False	
mut_all	protein	purity_ge_0.7	purity_krt18_krt19	37	-0.226697	0.226697	0.197301	-0.513036	0.105043	False	
tmb	protein	brca_nonsyn_present	purity	8	0.225726	0.225726	0.626484	-0.569551	0.802722	False	
mut_nonsyn	protein	purity_ge_0.7	purity_krt18_krt19	37	-0.223151	0.223151	0.204591	-0.510279	0.108736	False	
tmb	protein	purity_ge_0.7	purity_krt18_krt19	37	-0.216584	0.216584	0.218578	-0.505157	0.11555	False	
mut_nonsyn	rsem	brca_nonsyn_present	purity_krt18_krt19	16	-0.216435	0.216435	0.477565	-0.643145	0.312843	False	
mut_all	rsem	brca_nonsyn_present	krt18_krt19	16	-0.216144	0.216144	0.457979	-0.642966	0.313118	False	
mut_silent	star	msi_lt_3.5	purity_ploidy	271	-0.213742	0.213742	0.000415263	-0.324631	-0.0970567	False	
mut_silent	star	all_paired	purity_ploidy	274	-0.207186	0.207186	0.000584637	-0.317883	-0.0909157	False	
tmb	rsem	brca_nonsyn_present	purity_krt18_krt19	16	-0.206383	0.206383	0.498731	-0.636934	0.322303	False	
mut_silent	star	msi_lt_3.5	none	281	-0.205375	0.205375	0.000531474	-0.314824	-0.0905364	False	
mut_silent	star	count_le_500	purity_ploidy	273	-0.205144	0.205144	0.000679575	-0.316163	-0.0885818	False	
mut_silent	star	msi_lt_3.5	purity	271	-0.201244	0.201244	0.000882521	-0.312898	-0.0841037	False	
mut_all	protein	brca_nonsyn_present	purity_ploidy	8	0.198246	0.198246	0.706526	-0.588673	0.79225	False	
mut_silent	star	all_paired	none	284	-0.196579	0.196579	0.000866083	-0.305972	-0.0820632	False	
mut_silent	star	brca_nonsyn_absent	purity_ploidy	252	-0.195526	0.195526	0.00189581	-0.311573	-0.0737329	False	
mut_all	protein	purity_ge_0.7	krt18_krt19	37	-0.195343	0.195343	0.260772	-0.48845	0.137377	False	
mut_silent	star	count_le_500	none	283	-0.1945	0.1945	0.00100551	-0.304201	-0.0797081	False	
mut_silent	star	all_paired	purity	274	-0.19233	0.19233	0.00140753	-0.303906	-0.0755503	False	
mut_silent	rsem	msi_lt_3.5	purity_ploidy	194	-0.191274	0.191274	0.0078689	-0.323436	-0.051792	False	
mut_all	protein	brca_nonsyn_present	none	8	0.190476	0.190476	0.651401	-0.593924	0.789224	False	
mut_silent	star	count_le_500	purity	273	-0.189373	0.189373	0.00170529	-0.301318	-0.0722785	False	
mut_nonsyn	protein	purity_ge_0.7	krt18_krt19	37	-0.188834	0.188834	0.277303	-0.483288	0.144001	False	
mut_silent	star	msi_lt_3.5	krt18_krt19	281	-0.187665	0.187665	0.00164069	-0.298133	-0.072237	False	
mut_nonsyn	rsem	brca_nonsyn_present	krt18_krt19	16	-0.185579	0.185579	0.525306	-0.623897	0.341555	False	
mut_silent	rsem	msi_lt_3.5	purity	194	-0.184861	0.184861	0.0100615	-0.31747	-0.0451595	False	
mut_silent	protein	brca_nonsyn_absent	none	74	-0.182834	0.182834	0.11895	-0.394841	0.04766	False	
mut_silent	star	brca_nonsyn_absent	none	262	-0.182656	0.182656	0.00300319	-0.297266	-0.0628575	False	
mut_silent	star	msi_lt_3.5	purity_krt18_krt19	271	-0.182554	0.182554	0.00270138	-0.295288	-0.0648067	False	
tmb	protein	purity_ge_0.7	krt18_krt19	37	-0.181343	0.181343	0.297157	-0.47732	0.151589	False	
mut_silent	star	brca_nonsyn_absent	purity	252	-0.179841	0.179841	0.00425878	-0.296819	-0.0575443	False	
mut_silent	star	all_paired	krt18_krt19	284	-0.17682	0.17682	0.00288592	-0.287301	-0.0616958	False	
mut_silent	rsem	all_paired	purity_ploidy	196	-0.176478	0.176478	0.0138352	-0.30899	-0.0372436	False	
mut_all	protein	purity_ge_0.8	purity_krt18_krt19	24	-0.176102	0.176102	0.445115	-0.541068	0.244683	False	
mut_all	protein	purity_ge_0.8	krt18_krt19	24	-0.175933	0.175933	0.433528	-0.540945	0.244847	False	
mut_silent	protein	brca_nonsyn_present	purity_krt18_krt19	5	-0.175017	0.175017		-0.915868	0.836407	False	
mut_silent	star	count_le_500	krt18_krt19	283	-0.174741	0.174741	0.00329505	-0.285523	-0.0593508	False	
mut_silent	rsem	count_le_500	purity_ploidy	195	-0.172014	0.172014	0.0167555	-0.305153	-0.0322793	False	
mut_silent	star	all_paired	purity_krt18_krt19	274	-0.171847	0.171847	0.0045538	-0.284554	-0.0544535	False	
tmb	rsem	brca_nonsyn_present	krt18_krt19	16	-0.170253	0.170253	0.560625	-0.614135	0.355459	False	
mut_silent	star	count_le_500	purity_krt18_krt19	273	-0.168279	0.168279	0.00557009	-0.281377	-0.0505699	False	
mut_silent	rsem	all_paired	purity	196	-0.167006	0.167006	0.0196205	-0.300136	-0.027494	False	
mut_all	protein	brca_nonsyn_present	purity	8	0.166272	0.166272	0.721613	-0.609866	0.779607	False	
mut_silent	star	brca_nonsyn_absent	krt18_krt19	262	-0.163301	0.163301	0.00833494	-0.27897	-0.0429612	False	
mut_nonsyn	protein	purity_ge_0.8	krt18_krt19	24	-0.162466	0.162466	0.470065	-0.531064	0.257836	False	
mut_nonsyn	protein	purity_ge_0.8	purity_krt18_krt19	24	-0.161878	0.161878	0.483279	-0.53063	0.258399	False	
mut_silent	rsem	count_le_500	purity	195	-0.161618	0.161618	0.0243629	-0.295424	-0.0215939	False	
mut_silent	rsem	brca_nonsyn_absent	purity_ploidy	180	-0.161429	0.161429	0.0313421	-0.300598	-0.0155301	False	
mut_silent	rsem	brca_nonsyn_present	krt18_krt19	16	-0.15894	0.15894	0.587321	-0.606841	0.365576	False	
mut_silent	star	brca_nonsyn_absent	purity_krt18_krt19	252	-0.156017	0.156017	0.0137154	-0.274304	-0.0330798	False	
mut_silent	rsem	msi_lt_3.5	purity_krt18_krt19	194	-0.155119	0.155119	0.0321376	-0.289666	-0.0145593	False	
mut_silent	rsem	msi_lt_3.5	none	203	-0.153529	0.153529	0.0287476	-0.285212	-0.0161587	False	
mut_silent	star	purity_ge_0.7	purity_ploidy	202	-0.152461	0.152461	0.0311441	-0.284526	-0.0147174	False	
mut_silent	star	purity_ge_0.7	none	202	-0.150092	0.150092	0.0330015	-0.282296	-0.0122934	False	
mut_silent	rsem	brca_nonsyn_absent	purity	180	-0.14958	0.14958	0.0456646	-0.289512	-0.00338806	False	
mut_silent	star	purity_ge_0.7	purity	202	-0.147326	0.147326	0.0368813	-0.27969	-0.00946453	False	
tmb	protein	purity_ge_0.8	krt18_krt19	24	-0.144618	0.144618	0.520799	-0.517813	0.274818	False	
tmb	protein	purity_ge_0.8	purity_krt18_krt19	24	-0.144566	0.144566	0.531828	-0.517774	0.274867	False	
mut_silent	rsem	all_paired	none	205	-0.136979	0.136979	0.0501721	-0.268968	5.93381e-05	False	
mut_silent	rsem	all_paired	purity_krt18_krt19	196	-0.134631	0.134631	0.061941	-0.269698	0.00562999	False	
mut_silent	rsem	msi_lt_3.5	krt18_krt19	203	-0.132768	0.132768	0.0602576	-0.265624	0.00503601	False	
mut_silent	protein	all_paired	none	82	-0.132646	0.132646	0.234843	-0.339873	0.0868657	False	
mut_silent	protein	msi_lt_3.5	none	82	-0.132646	0.132646	0.234843	-0.339873	0.0868657	False	
mut_silent	protein	count_le_500	none	82	-0.132646	0.132646	0.234843	-0.339873	0.0868657	False	
mut_silent	rsem	count_le_500	none	204	-0.132582	0.132582	0.058708	-0.265127	0.00488009	False	
mut_silent	rsem	count_le_500	purity_krt18_krt19	195	-0.128943	0.128943	0.0746737	-0.264662	0.0117858	False	
mut_silent	rsem	brca_nonsyn_absent	none	189	-0.128289	0.128289	0.0785344	-0.266148	0.0147136	False	
mut_silent	protein	all_paired	krt18_krt19	50	-0.123503	0.123503	0.402981	-0.3885	0.160362	False	
mut_silent	protein	msi_lt_3.5	krt18_krt19	50	-0.123503	0.123503	0.402981	-0.3885	0.160362	False	
mut_silent	protein	count_le_500	krt18_krt19	50	-0.123503	0.123503	0.402981	-0.3885	0.160362	False	
mut_silent	rsem	brca_nonsyn_absent	purity_krt18_krt19	180	-0.113806	0.113806	0.131486	-0.255814	0.0330095	False	
mut_silent	rsem	all_paired	krt18_krt19	205	-0.113173	0.113173	0.107906	-0.246389	0.0242405	False	
mut_silent	rsem	purity_ge_0.7	purity_ploidy	143	-0.112513	0.112513	0.184065	-0.271647	0.0526106	False	
mut_silent	protein	all_paired	purity_krt18_krt19	48	-0.112249	0.112249	0.462875	-0.384136	0.177554	False	
mut_silent	protein	msi_lt_3.5	purity_krt18_krt19	48	-0.112249	0.112249	0.462875	-0.384136	0.177554	False	
mut_silent	protein	count_le_500	purity_krt18_krt19	48	-0.112249	0.112249	0.462875	-0.384136	0.177554	False	
mut_silent	star	purity_ge_0.8	purity_ploidy	144	-0.111209	0.111209	0.187642	-0.269878	0.0533401	False	
mut_silent	protein	brca_nonsyn_absent	purity	72	-0.110725	0.110725	0.357961	-0.333834	0.124132	False	
mut_silent	rsem	count_le_500	krt18_krt19	204	-0.109144	0.109144	0.122052	-0.242876	0.0286597	False	
mut_silent	star	purity_ge_0.8	purity	144	-0.10872	0.10872	0.196177	-0.26754	0.0558526	False	
mut_silent	star	purity_ge_0.7	krt18_krt19	202	-0.107919	0.107919	0.128238	-0.242362	0.0305901	False	
mut_silent	protein	brca_nonsyn_absent	krt18_krt19	45	-0.10749	0.10749	0.492664	-0.388762	0.192111	False	
mut_silent	star	purity_ge_0.7	purity_krt18_krt19	202	-0.106957	0.106957	0.132678	-0.241445	0.0315625	False	
mut_silent	protein	brca_nonsyn_absent	purity_ploidy	72	-0.106476	0.106476	0.380322	-0.330009	0.128363	False	
mut_silent	star	purity_ge_0.8	none	144	-0.106061	0.106061	0.205797	-0.265041	0.0585336	False	
mut_silent	rsem	purity_ge_0.7	purity	143	-0.104216	0.104216	0.217105	-0.263854	0.0609789	False	
mut_silent	rsem	brca_nonsyn_absent	krt18_krt19	189	-0.10086	0.10086	0.169599	-0.240136	0.0424847	False	
mut_silent	protein	purity_ge_0.7	purity_krt18_krt19	37	-0.0911961	0.0911961	0.607993	-0.403303	0.239918	False	
mut_silent	rsem	purity_ge_0.7	none	143	-0.0800793	0.0800793	0.34174	-0.241062	0.0851921	False	
mut_silent	protein	purity_ge_0.7	krt18_krt19	37	-0.0761261	0.0761261	0.663821	-0.390518	0.254168	False	
mut_silent	protein	all_paired	purity	80	-0.0743393	0.0743393	0.514974	-0.289334	0.147796	False	
mut_silent	protein	msi_lt_3.5	purity	80	-0.0743393	0.0743393	0.514974	-0.289334	0.147796	False	
mut_silent	protein	count_le_500	purity	80	-0.0743393	0.0743393	0.514974	-0.289334	0.147796	False	
mut_silent	protein	purity_ge_0.8	krt18_krt19	24	-0.0702719	0.0702719	0.755991	-0.460618	0.342851	False	
mut_silent	star	purity_ge_0.8	purity_krt18_krt19	144	-0.0676308	0.0676308	0.425547	-0.22868	0.0970215	False	
mut_silent	rsem	purity_ge_0.8	purity_ploidy	99	-0.0669823	0.0669823	0.514479	-0.260947	0.132181	False	
mut_silent	protein	all_paired	purity_ploidy	80	-0.0663514	0.0663514	0.563821	-0.281962	0.155638	False	
mut_silent	protein	msi_lt_3.5	purity_ploidy	80	-0.0663514	0.0663514	0.563821	-0.281962	0.155638	False	
mut_silent	protein	count_le_500	purity_ploidy	80	-0.0663514	0.0663514	0.563821	-0.281962	0.155638	False	
mut_silent	protein	brca_nonsyn_absent	purity_krt18_krt19	43	-0.0663038	0.0663038	0.684381	-0.359494	0.238801	False	
mut_silent	star	purity_ge_0.8	krt18_krt19	144	-0.0658962	0.0658962	0.435891	-0.227028	0.0987471	False	
mut_silent	protein	purity_ge_0.7	none	64	-0.0626404	0.0626404	0.622911	-0.303776	0.186038	False	
mut_silent	rsem	purity_ge_0.8	purity	99	-0.0594757	0.0594757	0.560741	-0.25391	0.139578	False	
mut_silent	protein	purity_ge_0.8	purity_krt18_krt19	24	-0.0548999	0.0548999	0.813157	-0.448373	0.356396	False	
mut_silent	rsem	purity_ge_0.8	krt18_krt19	99	0.0482945	0.0482945	0.638531	-0.150556	0.243389	False	
mut_silent	rsem	purity_ge_0.8	none	99	-0.0465224	0.0465224	0.647483	-0.241718	0.152292	False	
mut_silent	rsem	purity_ge_0.8	purity_krt18_krt19	99	0.0403133	0.0403133	0.696557	-0.158362	0.235852	False	
mut_silent	rsem	purity_ge_0.7	purity_krt18_krt19	143	-0.0397249	0.0397249	0.641215	-0.202556	0.125243	False	
mut_silent	protein	purity_ge_0.7	purity	64	-0.0268323	0.0268323	0.834645	-0.270859	0.220435	False	
mut_silent	rsem	purity_ge_0.7	krt18_krt19	143	-0.0229225	0.0229225	0.787313	-0.186373	0.141762	False	
mut_silent	protein	purity_ge_0.7	purity_ploidy	64	-0.0198638	0.0198638	0.878209	-0.264386	0.227059	False	
mut_silent	protein	purity_ge_0.8	none	42	0.0190693	0.0190693	0.904591	-0.286528	0.321145	False	
mut_silent	protein	purity_ge_0.8	purity	42	0.0168974	0.0168974	0.916489	-0.288521	0.319195	False	
mut_silent	protein	purity_ge_0.8	purity_ploidy	42	0.00164978	0.00164978	0.991939	-0.302438	0.305433	False	
mut_silent	protein	brca_nonsyn_present	krt18_krt19	5	-5.27649e-16	5.27649e-16	1	-0.882272	0.882272	False	
