predictor	outcome	adjustment	n_cohorts	n_negative	stouffer_z	stouffer_p	median_delta	thesis	q
CLDN7	cytotoxic_8	squamous_ESTIMATE_spearman	8	2	4.179493769220753	2.921587237815508e-05	0.1150206998924066	False	5.453629510588949e-05
CLDN7	T_CD3	squamous_ESTIMATE_spearman	8	1	4.043610644492915	5.2634299803242444e-05	0.12241908203592311	False	9.508131577359925e-05
CLDN7	cytotoxic_4	squamous_ESTIMATE_spearman	8	2	3.9667057094591893	7.287288107286849e-05	0.11646305804109558	False	0.0001302408938323607
CLDN7	CD8_effector	squamous_ESTIMATE_spearman	8	2	3.7127742758047173	0.00020499970900112645	0.11099677045106315	False	0.0003625258011809394
CLDN7	CYT_Rooney	squamous_ESTIMATE_spearman	8	1	3.537391258766133	0.00040410054916302046	0.10355413082782317	False	0.000685746386458459
CLDN7	CD8A	squamous_ESTIMATE_spearman	8	1	2.8193142896702437	0.0048126370419371975	0.09324746892220948	False	0.006851890025808892
CLDN7	CD8_AB	squamous_ESTIMATE_spearman	8	1	2.4978212868933922	0.012495917253035121	0.07230387339242439	False	0.016794512788079204
CLDN7	cytotoxic_4	simple_ESTIMATE_spearman	8	2	2.4413479564856786	0.014632548475303287	0.06720138553010202	False	0.019205219873835565
CLDN4	T_CD3	squamous_ESTIMATE_spearman	8	2	2.426215275991485	0.01525721696956944	0.02555142555637213	False	0.019869863960369504
CLDN7	T_CD3	simple_ESTIMATE_spearman	8	1	2.414358007150539	0.015762965592686497	0.07186867216417903	False	0.020370601689010243
CLDN7	cytotoxic_8	simple_ESTIMATE_spearman	8	2	2.4051624318400497	0.01616527888874182	0.0671500440742625	False	0.020731044681745237
CLDN7	CD8_effector	simple_ESTIMATE_spearman	8	2	2.2797823772672685	0.022620598703220703	0.09483538978328587	False	0.028360153598067747
CLDN7	CYT_Rooney	simple_ESTIMATE_spearman	8	2	2.2643209529203276	0.023554381789370468	0.06203600759068373	False	0.02931211956010547
CLDN7	CD8A	simple_ESTIMATE_spearman	8	3	1.4247065356377921	0.1542420491059818	0.01996233018130822	False	0.17047805427503251
CLDN4	CD8A	squamous_ESTIMATE_spearman	8	4	1.359506192966507	0.17398624140032393	0.018768025009356537	False	0.18980317243671702
CLDN4	CD8_AB	squamous_ESTIMATE_spearman	8	3	1.2951126453009378	0.19528137330165707	0.024475790261789365	False	0.21165981106244122
CLDN7	CD8_AB	simple_ESTIMATE_spearman	8	2	1.1057618176196151	0.26882962552440526	0.02875488573785412	False	0.28766482221719797
CLDN4	CD8_effector	squamous_ESTIMATE_spearman	8	5	1.0560010282127248	0.29096774510467316	-0.03580342812506265	False	0.3074376174690886
CLDN4	cytotoxic_8	squamous_ESTIMATE_spearman	8	4	0.9234679257228386	0.355763407783246	-0.010832585757614588	False	0.37123138203469147
CLDN4	cytotoxic_4	squamous_ESTIMATE_spearman	8	5	0.8336163902380512	0.4044971865448239	-0.048192148319022576	False	0.41947856382426185
CLDN4	CYT_Rooney	squamous_ESTIMATE_spearman	8	5	0.543583882239529	0.5867278535644371	-0.03256487780297307	False	0.6010382890172282
CLDN4	T_CD3	simple_ESTIMATE_spearman	8	5	0.5286785122038599	0.5970284857839894	-0.01161096246777582	False	0.60788354916188
