predictor	endpoint	family	n	rho	p	ci95_lo	ci95_hi	purity	n_partial	partial_rho	partial_p	partial_ci95_lo	partial_ci95_hi
TJ-7 protein	ESTIMATE ImmuneScore	extra	108	-0.34046890927624873	0.0003116435476826937	-0.4992833260255847	-0.15384331882244287	WES_purity	107.0	-0.18520151256881995	0.056159723465724634	-0.3867191768724493	0.023814242676277953
TJ-7 protein	ESTIMATE ESTIMATEScore	extra	108	-0.41986529099621783	6.083582511590161e-06	-0.56360449803783	-0.25288122118741974	WES_purity	107.0	-0.3422578812280805	0.00030812211882060345	-0.5120086146017033	-0.15017853239784976
TJ-7 protein	GEP18 RNA	extra	108	-0.34438442558137317	0.0002626458707268062	-0.5070004273700489	-0.14887058807785838	WES_purity	107.0	-0.21465937812261213	0.02639679881269947	-0.41299821254554436	0.004701496604327393
TJ-7 protein	CD8A RNA	extra	108	-0.23882857864446666	0.01280194095881529	-0.41606815589214613	-0.05247282238043307	WES_purity	107.0	-0.1341719077568134	0.168258195088295	-0.3406508299564312	0.08550958786125695
TJ-7 protein	ESTIMATE StromalScore	extra	108	-0.4341554964893728	2.674765920413056e-06	-0.5733343015324197	-0.26894481290811745	WES_purity	107.0	-0.3733027684711691	7.486426613213486e-05	-0.5188005845374076	-0.2040030590970878
TJ-7 protein	CD8 RNA (CD8A/B)	extra	108	-0.23828441319652843	0.013013818598569987	-0.4219183469852758	-0.044562564975523355	WES_purity	107.0	-0.140402437351829	0.14918078687044664	-0.34259613305258985	0.07447160134558342
TJ-7 protein	CYT RNA (GZMA/PRF1)	extra	108	-0.2494212466775272	0.00923637554281029	-0.40717861298915536	-0.06480207887147829	WES_purity	107.0	-0.10847587139246459	0.26605678254969173	-0.2988572570343677	0.09059900116824877
TJ-7 protein	CIBERSORT CD8	extra	108	-0.14068740815583872	0.14642173705447978	-0.3316917976215422	0.053991965009886414	WES_purity	107.0	-0.1182037265620408	0.22528133248790688	-0.32167554599215825	0.08945813504039478
TJ-7 protein	xCell CD8	extra	108	-0.2739235646810346	0.00412221505931326	-0.44520959696572493	-0.08834889573657323	WES_purity	107.0	-0.20005388063231347	0.03882831545256689	-0.3930336954419805	0.017029699039107386
TJ-7 protein	xCell immune score	extra	108	-0.36058951861061095	0.00012630555653442857	-0.5147604701530917	-0.17556865061961455	WES_purity	107.0	-0.183212837242109	0.05890113251031151	-0.37752071184831393	0.020984247274598845
TACSTD2 protein	ESTIMATE ImmuneScore	extra	108	-0.07111758933760134	0.46453335458088507	-0.2874435676553043	0.1301713033015709	WES_purity	107.0	-0.03216168028370462	0.7422610789239378	-0.2297575056154797	0.15550416549103863
TACSTD2 protein	ESTIMATE ESTIMATEScore	extra	108	-0.1763220821782084	0.06794063027900427	-0.38243222031857227	0.023444169516055463	WES_purity	107.0	-0.21164207762691276	0.028641775936961256	-0.38797180825271405	-0.026022431840300224
TACSTD2 protein	GEP18 RNA	extra	108	-0.04231806186706298	0.663664260701135	-0.24801641195728316	0.1534849899101374	WES_purity	107.0	-0.04080213170320736	0.6764757666049085	-0.24196324984375533	0.15033765038275135
TACSTD2 protein	CD8A RNA	extra	108	-0.08881881362249643	0.36066435908247846	-0.28263476984344854	0.09879158231729883	WES_purity	107.0	-0.08170222770822311	0.40281308158478357	-0.2739421039648273	0.10366323549841797
TACSTD2 protein	ESTIMATE StromalScore	extra	108	-0.25072641877923535	0.008864092451895463	-0.4436312221996838	-0.04313808745473643	WES_purity	107.0	-0.3162189698074022	0.0009061595762439277	-0.47485248094743737	-0.13548969328367821
TACSTD2 protein	CD8 RNA (CD8A/B)	extra	108	-0.14254003639239	0.14112674387093885	-0.33450823850032085	0.04698649419862757	WES_purity	107.0	-0.12910715335331807	0.18505076018155286	-0.31413193661868316	0.06081778801575824
TACSTD2 protein	CYT RNA (GZMA/PRF1)	extra	108	0.02107328970057256	0.8286169196025477	-0.19205888503635207	0.22438227695451235	WES_purity	107.0	0.06367679617547366	0.5146572206037952	-0.14754105347969723	0.2527356963949066
TACSTD2 protein	CIBERSORT CD8	extra	108	-0.05462205889023202	0.5744817799829671	-0.2489216825378244	0.12979966223606026	WES_purity	107.0	-0.04946217598307177	0.6128980004862299	-0.24647128067052404	0.1372599149461186
TACSTD2 protein	xCell CD8	extra	108	-0.07950341046898066	0.4134112267807988	-0.27260887201086453	0.11066385831603902	WES_purity	107.0	-0.07594719698359582	0.436863576802707	-0.2675428670858609	0.11802883357467615
TACSTD2 protein	xCell immune score	extra	108	-0.1334324120914192	0.16860521848316948	-0.3429135325619862	0.06305425859318368	WES_purity	107.0	-0.13217343599992165	0.17474427551916602	-0.326592471682248	0.058745625566470124
CLDN4 protein	TACSTD2 protein	coexpression	78	0.08053971345110585	0.4833259127385792	-0.14137775801302602	0.305379556307019	WES_purity	77.0	0.08236500341763499	0.4763782423951091	-0.14142017095234327	0.3062950263202315
CLDN4 protein	WES purity	purity_context	77	0.30498693713435604	0.006995532819559084	0.07935436448774241	0.4981343097544758	none					
TJ-15 protein	WES purity	purity_context	107	0.03809160400813066	0.6968796525251817	-0.15700695167591908	0.2324208125168035	none					
TACSTD2 protein	WES purity	purity_context	107	0.06638094244546083	0.4969258829558377	-0.1348819424419911	0.25748518839566154	none					
ESTIMATE ImmuneScore	WES purity	purity_context	107	-0.7245001517362195	1.1425200239053475e-18	-0.8173126204383113	-0.6108120001658928	none					
GEP18 RNA	WES purity	purity_context	107	-0.5288567332086128	4.751855079441533e-09	-0.6637709060042605	-0.35705117045577883	none					
CD8A RNA	WES purity	purity_context	107	-0.4313753150812549	3.5044086245382833e-06	-0.5785044506506895	-0.25725813997734887	none					
