Term	n_genes
WIKI__Signal Transduction of S1P Receptor WP57	22
WIKI__Signaling of Hepatocyte Growth Factor Receptor WP193	34
WIKI__Small Ligand GPCRs WP353	18
WIKI__Spinal Cord Injury WP2432	99
WIKI__Splicing factor NOVA regulated synaptic proteins WP1983	42
WIKI__Statin Pathway WP1	19
WIKI__Steroid Biosynthesis WP55	14
WIKI__Striated Muscle Contraction WP216	45
WIKI__Synthesis and Degradation of Ketone Bodies WP543	5
WIKI__TCA Cycle WP434	31
WIKI__TGF Beta Signaling Pathway WP113	52
WIKI__TNF-alpha NF-kB Signaling Pathway WP246	187
WIKI__TYROBP Causal Network WP3625	58
WIKI__Toll Like Receptor signaling WP88	33
WIKI__Translation Factors WP307	50
WIKI__Triacylglyceride Synthesis WP386	23
WIKI__Tryptophan metabolism WP79	44
WIKI__Type II interferon signaling (IFNG) WP1253	34
WIKI__White fat cell differentiation WP2872	32
WIKI__Wnt Signaling Pathway NetPath WP539	108
WIKI__Wnt Signaling Pathway WP403	60
WIKI__Wnt Signaling Pathway and Pluripotency WP723	97
WIKI__Wnt Signaling in Kidney Disease WP3857	37
WIKI__mRNA processing WP310	457
WIKI__miR-127 in mesendoderm differentiation WP3991	9
WIKI__mir-193a and MVP in colon cancer metastasis WP3979	6
WIKI__p38 MAPK Signaling Pathway WP350	36
WIKI__p53 signaling WP2902	67
