contrast	arm	species	gene	log2FC	p	present
GSE50927_VILIwtkolo	CLDN4	mouse	Tapbp	-0.003	0.98866	1
GSE50927_VILIwtkolo	CLDN4	mouse	Usp18	-0.074	0.80073	1
GSE50927_VILIwtkolo	CLDN4	mouse	Xaf1	-0.18	0.33401	1
GSE274940_EpH4	CLDN4	mouse	B2m	0.187	0.59286	1
GSE274940_EpH4	CLDN4	mouse	Bst2	0.128	0.08072	1
GSE274940_EpH4	CLDN4	mouse	Calr	-0.576	0.03388	1
GSE274940_EpH4	CLDN4	mouse	Canx	0.08	0.44159	1
GSE274940_EpH4	CLDN4	mouse	Cldn4	0.321	0.36117	1
GSE274940_EpH4	CLDN4	mouse	Cmpk2	-0.288	0.54674	1
GSE274940_EpH4	CLDN4	mouse	Ddx58			0
GSE274940_EpH4	CLDN4	mouse	Dtx3l	0.041	0.92964	1
GSE274940_EpH4	CLDN4	mouse	Epsti1	-0.104	0.42265	1
GSE274940_EpH4	CLDN4	mouse	Erap1	-0.192	0.37259	1
GSE274940_EpH4	CLDN4	mouse	H2-D1	0.016	0.93576	1
GSE274940_EpH4	CLDN4	mouse	H2-K1	0.117	0.43301	1
GSE274940_EpH4	CLDN4	mouse	H2-L			0
GSE274940_EpH4	CLDN4	mouse	H2-Q6	0.647	0.38819	1
GSE274940_EpH4	CLDN4	mouse	H2-Q7	0.312	0.536	1
GSE274940_EpH4	CLDN4	mouse	H2-T23	0.193	0.62896	1
GSE274940_EpH4	CLDN4	mouse	Herc5			0
GSE274940_EpH4	CLDN4	mouse	Herc6	-0.791	0.19176	1
GSE274940_EpH4	CLDN4	mouse	Ifi27	0.047	0.81415	1
GSE274940_EpH4	CLDN4	mouse	Ifi27l2a	0.203	0.23991	1
GSE274940_EpH4	CLDN4	mouse	Ifi27l2b			0
GSE274940_EpH4	CLDN4	mouse	Ifi44			0
GSE274940_EpH4	CLDN4	mouse	Ifi44l			0
GSE274940_EpH4	CLDN4	mouse	Ifi6			0
GSE274940_EpH4	CLDN4	mouse	Ifih1	-0.446	0.39429	1
GSE274940_EpH4	CLDN4	mouse	Ifit1	-0.156	0.84098	1
GSE274940_EpH4	CLDN4	mouse	Ifit2	0.029	0.90026	1
GSE274940_EpH4	CLDN4	mouse	Ifit3	-0.637	0.50969	1
GSE274940_EpH4	CLDN4	mouse	Ifit5			0
GSE274940_EpH4	CLDN4	mouse	Ifitm1	-0.055	0.42265	1
GSE274940_EpH4	CLDN4	mouse	Ifitm2	0.332	0.02337	1
GSE274940_EpH4	CLDN4	mouse	Ifitm3	0.906	0.00102	1
GSE274940_EpH4	CLDN4	mouse	Irf1	-0.214	0.54757	1
GSE274940_EpH4	CLDN4	mouse	Irf7	-0.237	0.39423	1
GSE274940_EpH4	CLDN4	mouse	Irf9	-0.67	0.10464	1
GSE274940_EpH4	CLDN4	mouse	Isg15	-0.085	0.66168	1
GSE274940_EpH4	CLDN4	mouse	Lnpep	-0.065	0.70096	1
GSE274940_EpH4	CLDN4	mouse	Ly6e	0.077	0.73374	1
GSE274940_EpH4	CLDN4	mouse	Mx1	0.285	0.184	1
GSE274940_EpH4	CLDN4	mouse	Mx2	-0.579	0.19266	1
GSE274940_EpH4	CLDN4	mouse	Nlrc5	-0.198	0.42265	1
GSE274940_EpH4	CLDN4	mouse	Oas1			0
GSE274940_EpH4	CLDN4	mouse	Oas2			0
GSE274940_EpH4	CLDN4	mouse	Oas3	-0.871	0.04103	1
GSE274940_EpH4	CLDN4	mouse	Oasl			0
GSE274940_EpH4	CLDN4	mouse	Parp9	0.122	0.76075	1
GSE274940_EpH4	CLDN4	mouse	Pdia3	0.183	0.29339	1
GSE274940_EpH4	CLDN4	mouse	Plscr1	-0.302	0.014	1
GSE274940_EpH4	CLDN4	mouse	Psmb10	-0.197	0.54728	1
GSE274940_EpH4	CLDN4	mouse	Psmb8	-3.895	0.00093	1
GSE274940_EpH4	CLDN4	mouse	Psmb9	-0.328	0.5608	1
GSE274940_EpH4	CLDN4	mouse	Psme1	0.215	0.10567	1
GSE274940_EpH4	CLDN4	mouse	Psme2	0.014	0.88822	1
GSE274940_EpH4	CLDN4	mouse	Rigi	0.187	0.47289	1
GSE274940_EpH4	CLDN4	mouse	Rsad2	-0.178	0.78368	1
GSE274940_EpH4	CLDN4	mouse	Samd9			0
GSE274940_EpH4	CLDN4	mouse	Samd9l	-0.972	0.09909	1
GSE274940_EpH4	CLDN4	mouse	Sp100	-1.25	0.04145	1
GSE274940_EpH4	CLDN4	mouse	Sp110	0.035	0.89789	1
GSE274940_EpH4	CLDN4	mouse	Stat1	-0.067	0.85022	1
GSE274940_EpH4	CLDN4	mouse	Stat2	0.174	0.78104	1
GSE274940_EpH4	CLDN4	mouse	Tap1	-0.04	0.92953	1
GSE274940_EpH4	CLDN4	mouse	Tap2	-0.236	0.40946	1
GSE274940_EpH4	CLDN4	mouse	Tapbp	-0.023	0.9339	1
GSE274940_EpH4	CLDN4	mouse	Usp18	0.014	0.97931	1
GSE274940_EpH4	CLDN4	mouse	Xaf1	-0.579	0.45238	1
GSE334497_4T1	TACSTD2	mouse	B2m	0.41	0.04016	1
GSE334497_4T1	TACSTD2	mouse	Bst2	0.094	0.74517	1
GSE334497_4T1	TACSTD2	mouse	Calr	-0.082	0.73843	1
GSE334497_4T1	TACSTD2	mouse	Canx	-0.163	0.31371	1
GSE334497_4T1	TACSTD2	mouse	Cmpk2	-0.255	0.44821	1
GSE334497_4T1	TACSTD2	mouse	Ddx58			0
GSE334497_4T1	TACSTD2	mouse	Dtx3l	0.129	0.59433	1
GSE334497_4T1	TACSTD2	mouse	Epsti1	0.118	0.33559	1
GSE334497_4T1	TACSTD2	mouse	Erap1	0.242	0.25773	1
GSE334497_4T1	TACSTD2	mouse	H2-D1	0.064	0.77525	1
GSE334497_4T1	TACSTD2	mouse	H2-K1	0.133	0.46142	1
GSE334497_4T1	TACSTD2	mouse	H2-L			0
GSE334497_4T1	TACSTD2	mouse	H2-Q6	0.057	0.77602	1
GSE334497_4T1	TACSTD2	mouse	H2-Q7	-0.05	0.83288	1
GSE334497_4T1	TACSTD2	mouse	H2-T23	0.14	0.60785	1
GSE334497_4T1	TACSTD2	mouse	Herc5			0
GSE334497_4T1	TACSTD2	mouse	Herc6	0.673	0.07152	1
GSE334497_4T1	TACSTD2	mouse	Ifi27	0.222	0.41572	1
GSE334497_4T1	TACSTD2	mouse	Ifi27l2a	0.214	0.69045	1
GSE334497_4T1	TACSTD2	mouse	Ifi27l2b			0
GSE334497_4T1	TACSTD2	mouse	Ifi44	0.061	0.85982	1
GSE334497_4T1	TACSTD2	mouse	Ifi44l	0.216	0.43114	1
GSE334497_4T1	TACSTD2	mouse	Ifi6			0
GSE334497_4T1	TACSTD2	mouse	Ifih1	-0.111	0.63144	1
GSE334497_4T1	TACSTD2	mouse	Ifit1	-0.021	0.94279	1
GSE334497_4T1	TACSTD2	mouse	Ifit2	-0.019	0.93695	1
GSE334497_4T1	TACSTD2	mouse	Ifit3	0.149	0.67801	1
GSE334497_4T1	TACSTD2	mouse	Ifit5			0
GSE334497_4T1	TACSTD2	mouse	Ifitm1	0.891	0.13513	1
GSE334497_4T1	TACSTD2	mouse	Ifitm2	-0.203	0.64254	1
GSE334497_4T1	TACSTD2	mouse	Ifitm3	-0.017	0.94572	1
GSE334497_4T1	TACSTD2	mouse	Irf1	0.269	0.17896	1
GSE334497_4T1	TACSTD2	mouse	Irf7	-0.183	0.61652	1
GSE334497_4T1	TACSTD2	mouse	Irf9	0.122	0.3629	1
GSE334497_4T1	TACSTD2	mouse	Isg15	-0.091	0.83876	1
GSE334497_4T1	TACSTD2	mouse	Lnpep	-0.105	0.66918	1
GSE334497_4T1	TACSTD2	mouse	Ly6e	-0.03	0.94127	1
GSE334497_4T1	TACSTD2	mouse	Mx1	0.16	0.66645	1
GSE334497_4T1	TACSTD2	mouse	Mx2	0.228	0.56466	1
GSE334497_4T1	TACSTD2	mouse	Nlrc5	0.507	0.30949	1
GSE334497_4T1	TACSTD2	mouse	Oas1			0
GSE334497_4T1	TACSTD2	mouse	Oas2	-0.104	0.80511	1
GSE334497_4T1	TACSTD2	mouse	Oas3	-0.458	0.4202	1
GSE334497_4T1	TACSTD2	mouse	Oasl			0
GSE334497_4T1	TACSTD2	mouse	Parp9	0.254	0.11674	1
GSE334497_4T1	TACSTD2	mouse	Pdia3	-0.086	0.63279	1
GSE334497_4T1	TACSTD2	mouse	Plscr1	0.367	0.20591	1
GSE334497_4T1	TACSTD2	mouse	Psmb10	0.115	0.63042	1
GSE334497_4T1	TACSTD2	mouse	Psmb8	0.159	0.62697	1
GSE334497_4T1	TACSTD2	mouse	Psmb9	0.242	0.37831	1
GSE334497_4T1	TACSTD2	mouse	Psme1	0.396	0.05854	1
GSE334497_4T1	TACSTD2	mouse	Psme2	0.386	0.2093	1
GSE334497_4T1	TACSTD2	mouse	Rigi	-0.092	0.78909	1
GSE334497_4T1	TACSTD2	mouse	Rsad2	0.227	0.4494	1
GSE334497_4T1	TACSTD2	mouse	Samd9			0
GSE334497_4T1	TACSTD2	mouse	Samd9l	0.182	0.37062	1
GSE334497_4T1	TACSTD2	mouse	Sp100	-0.084	0.73794	1
GSE334497_4T1	TACSTD2	mouse	Sp110	0.108	0.71146	1
GSE334497_4T1	TACSTD2	mouse	Stat1	0.46	0.2872	1
GSE334497_4T1	TACSTD2	mouse	Stat2	0.232	0.56059	1
GSE334497_4T1	TACSTD2	mouse	Tacstd2	-3.821	0.00108	1
GSE334497_4T1	TACSTD2	mouse	Tap1	0.28	0.36679	1
GSE334497_4T1	TACSTD2	mouse	Tap2	0.199	0.57523	1
GSE334497_4T1	TACSTD2	mouse	Tapbp	-0.006	0.98693	1
GSE334497_4T1	TACSTD2	mouse	Usp18	0.305	0.39565	1
GSE334497_4T1	TACSTD2	mouse	Xaf1	-0.028	0.92643	1
GSE289287_T47Dxeno	TACSTD2	human	B2M	0.539	0.04862	1
GSE289287_T47Dxeno	TACSTD2	human	BST2	0.711	0.01393	1
GSE289287_T47Dxeno	TACSTD2	human	CALR	0.002	0.98516	1
GSE289287_T47Dxeno	TACSTD2	human	CANX	-0.382	0.00906	1
GSE289287_T47Dxeno	TACSTD2	human	CMPK2	0.841	0.0135	1
GSE289287_T47Dxeno	TACSTD2	human	DDX58	0.888	0.00481	1
GSE289287_T47Dxeno	TACSTD2	human	DTX3L	-0.059	0.86212	1
GSE289287_T47Dxeno	TACSTD2	human	EPSTI1	0.375	0.21615	1
GSE289287_T47Dxeno	TACSTD2	human	ERAP1	-0.64	0.01952	1
GSE289287_T47Dxeno	TACSTD2	human	ERAP2	-0.728	0.04734	1
GSE289287_T47Dxeno	TACSTD2	human	HERC5	0.273	0.42254	1
GSE289287_T47Dxeno	TACSTD2	human	HERC6	0.728	0.0476	1
GSE289287_T47Dxeno	TACSTD2	human	HLA-A	0.628	0.07056	1
GSE289287_T47Dxeno	TACSTD2	human	HLA-B	0.562	0.05352	1
GSE289287_T47Dxeno	TACSTD2	human	HLA-C	0.699	0.02278	1
GSE289287_T47Dxeno	TACSTD2	human	HLA-E	0.207	0.44818	1
GSE289287_T47Dxeno	TACSTD2	human	HLA-F	0.893	0.00427	1
GSE289287_T47Dxeno	TACSTD2	human	IFI27	0.661	0.04982	1
GSE289287_T47Dxeno	TACSTD2	human	IFI44	1.372	0.00011	1
GSE289287_T47Dxeno	TACSTD2	human	IFI44L	1.648	0.0	1
GSE289287_T47Dxeno	TACSTD2	human	IFI6	0.887	0.01474	1
GSE289287_T47Dxeno	TACSTD2	human	IFIH1	0.431	0.16239	1
GSE289287_T47Dxeno	TACSTD2	human	IFIT1	0.908	0.0149	1
GSE289287_T47Dxeno	TACSTD2	human	IFIT2	0.604	0.07114	1
GSE289287_T47Dxeno	TACSTD2	human	IFIT3	0.962	0.00486	1
GSE289287_T47Dxeno	TACSTD2	human	IFIT5	0.577	0.04547	1
GSE289287_T47Dxeno	TACSTD2	human	IFITM1	0.0	1.0	1
GSE289287_T47Dxeno	TACSTD2	human	IFITM2	0.282	0.2522	1
GSE289287_T47Dxeno	TACSTD2	human	IFITM3	1.052	0.00083	1
GSE289287_T47Dxeno	TACSTD2	human	IRF1	-0.272	0.41957	1
GSE289287_T47Dxeno	TACSTD2	human	IRF7	0.34	0.31209	1
GSE289287_T47Dxeno	TACSTD2	human	IRF9	0.461	0.16583	1
GSE289287_T47Dxeno	TACSTD2	human	ISG15	1.44	1e-05	1
GSE289287_T47Dxeno	TACSTD2	human	LY6E	0.496	0.0729	1
GSE289287_T47Dxeno	TACSTD2	human	MX1	0.934	0.00777	1
GSE289287_T47Dxeno	TACSTD2	human	MX2	0.929	0.01016	1
GSE289287_T47Dxeno	TACSTD2	human	NLRC5	0.443	0.13858	1
GSE289287_T47Dxeno	TACSTD2	human	OAS1	0.857	0.00509	1
GSE289287_T47Dxeno	TACSTD2	human	OAS2	0.814	0.00702	1
GSE289287_T47Dxeno	TACSTD2	human	OAS3	0.832	0.00605	1
GSE289287_T47Dxeno	TACSTD2	human	OASL	0.678	0.04085	1
GSE289287_T47Dxeno	TACSTD2	human	PARP9	0.15	0.56573	1
GSE289287_T47Dxeno	TACSTD2	human	PDIA3	0.05	0.81055	1
GSE289287_T47Dxeno	TACSTD2	human	PLSCR1	0.59	0.04972	1
GSE289287_T47Dxeno	TACSTD2	human	PSMB10	0.0	1.0	1
GSE289287_T47Dxeno	TACSTD2	human	PSMB8	0.202	0.46334	1
GSE289287_T47Dxeno	TACSTD2	human	PSMB9	0.162	0.54866	1
GSE289287_T47Dxeno	TACSTD2	human	PSME1	-0.304	0.09751	1
GSE289287_T47Dxeno	TACSTD2	human	PSME2	0.148	0.48081	1
GSE289287_T47Dxeno	TACSTD2	human	RSAD2	0.69	0.05302	1
GSE289287_T47Dxeno	TACSTD2	human	SAMD9	0.338	0.336	1
GSE289287_T47Dxeno	TACSTD2	human	SAMD9L	-0.148	0.73007	1
GSE289287_T47Dxeno	TACSTD2	human	SP100	0.574	0.04569	1
GSE289287_T47Dxeno	TACSTD2	human	SP110	0.502	0.06192	1
GSE289287_T47Dxeno	TACSTD2	human	STAT1	0.744	0.01364	1
GSE289287_T47Dxeno	TACSTD2	human	STAT2	0.711	0.00105	1
GSE289287_T47Dxeno	TACSTD2	human	TACSTD2	-3.263	0.0	1
GSE289287_T47Dxeno	TACSTD2	human	TAP1	0.26	0.34367	1
GSE289287_T47Dxeno	TACSTD2	human	TAP2	-0.242	0.37564	1
GSE289287_T47Dxeno	TACSTD2	human	TAPBP	0.077	0.72195	1
GSE289287_T47Dxeno	TACSTD2	human	USP18	0.373	0.19912	1
GSE289287_T47Dxeno	TACSTD2	human	XAF1	0.711	0.04075	1
GSE245459_SKOV3	TACSTD2	human	B2M	-0.511	0.00268	1
GSE245459_SKOV3	TACSTD2	human	BST2	-0.495	0.00062	1
GSE245459_SKOV3	TACSTD2	human	CALR	0.408	0.00682	1
GSE245459_SKOV3	TACSTD2	human	CANX	-0.089	0.22793	1
GSE245459_SKOV3	TACSTD2	human	CMPK2	-0.653	0.00283	1
GSE245459_SKOV3	TACSTD2	human	DDX58	-1.569	5e-05	1
GSE245459_SKOV3	TACSTD2	human	DTX3L	-0.519	0.00127	1
GSE245459_SKOV3	TACSTD2	human	EPSTI1			0
GSE245459_SKOV3	TACSTD2	human	ERAP1	-0.309	0.07015	1
GSE245459_SKOV3	TACSTD2	human	ERAP2	-0.994	0.01569	1
GSE245459_SKOV3	TACSTD2	human	HERC5	-0.898	0.00072	1
GSE245459_SKOV3	TACSTD2	human	HERC6	-0.522	0.01753	1
GSE245459_SKOV3	TACSTD2	human	HLA-A	-4.166	0.0	1
GSE245459_SKOV3	TACSTD2	human	HLA-B	-0.35	0.00974	1
GSE245459_SKOV3	TACSTD2	human	HLA-C	-0.402	0.00387	1
GSE245459_SKOV3	TACSTD2	human	HLA-E	-0.786	7e-05	1
GSE245459_SKOV3	TACSTD2	human	HLA-F	-0.653	0.00013	1
GSE245459_SKOV3	TACSTD2	human	IFI27	-0.415	0.02151	1
GSE245459_SKOV3	TACSTD2	human	IFI44	-0.648	0.02458	1
GSE245459_SKOV3	TACSTD2	human	IFI44L	-0.183	0.04288	1
GSE245459_SKOV3	TACSTD2	human	IFI6	-1.605	0.00142	1
GSE245459_SKOV3	TACSTD2	human	IFIH1	-0.792	0.02418	1
GSE245459_SKOV3	TACSTD2	human	IFIT1	-1.89	0.00294	1
GSE245459_SKOV3	TACSTD2	human	IFIT2	-1.622	0.00091	1
GSE245459_SKOV3	TACSTD2	human	IFIT3	-1.384	0.00047	1
GSE245459_SKOV3	TACSTD2	human	IFIT5	-0.162	0.357	1
GSE245459_SKOV3	TACSTD2	human	IFITM1	-1.911	0.00014	1
GSE245459_SKOV3	TACSTD2	human	IFITM2	-0.11	0.2073	1
GSE245459_SKOV3	TACSTD2	human	IFITM3	-0.398	0.00235	1
GSE245459_SKOV3	TACSTD2	human	IRF1	-0.288	0.01721	1
GSE245459_SKOV3	TACSTD2	human	IRF7	-0.74	0.0221	1
GSE245459_SKOV3	TACSTD2	human	IRF9	-0.542	0.00433	1
GSE245459_SKOV3	TACSTD2	human	ISG15	-0.621	0.01425	1
GSE245459_SKOV3	TACSTD2	human	LY6E	0.598	0.00205	1
GSE245459_SKOV3	TACSTD2	human	MX1	-0.247	0.03174	1
GSE245459_SKOV3	TACSTD2	human	MX2			0
GSE245459_SKOV3	TACSTD2	human	NLRC5	0.038	0.40737	1
GSE245459_SKOV3	TACSTD2	human	OAS1	-1.456	0.00335	1
GSE245459_SKOV3	TACSTD2	human	OAS2	-0.521	0.01715	1
GSE245459_SKOV3	TACSTD2	human	OAS3	-0.092	0.34307	1
GSE245459_SKOV3	TACSTD2	human	OASL	-2.093	0.00571	1
GSE245459_SKOV3	TACSTD2	human	PARP9	-0.74	0.00196	1
GSE245459_SKOV3	TACSTD2	human	PDIA3	-0.079	0.07309	1
GSE245459_SKOV3	TACSTD2	human	PLSCR1	-0.376	0.01045	1
GSE245459_SKOV3	TACSTD2	human	PSMB10	-0.494	0.07433	1
GSE245459_SKOV3	TACSTD2	human	PSMB8	-1.544	0.00044	1
GSE245459_SKOV3	TACSTD2	human	PSMB9	-0.625	0.0016	1
GSE245459_SKOV3	TACSTD2	human	PSME1	-0.672	3e-05	1
GSE245459_SKOV3	TACSTD2	human	PSME2	0.215	0.02346	1
GSE245459_SKOV3	TACSTD2	human	RSAD2	-0.722	0.00909	1
GSE245459_SKOV3	TACSTD2	human	SAMD9	-1.229	0.00101	1
GSE245459_SKOV3	TACSTD2	human	SAMD9L	-0.51	0.01554	1
GSE245459_SKOV3	TACSTD2	human	SP100	-1.008	0.00571	1
GSE245459_SKOV3	TACSTD2	human	SP110	-0.581	0.00618	1
GSE245459_SKOV3	TACSTD2	human	STAT1	-0.49	0.00602	1
GSE245459_SKOV3	TACSTD2	human	STAT2	-1.107	0.0002	1
GSE245459_SKOV3	TACSTD2	human	TACSTD2	-2.628	5e-05	1
GSE245459_SKOV3	TACSTD2	human	TAP1	-0.397	0.00682	1
GSE245459_SKOV3	TACSTD2	human	TAP2	0.702	0.00702	1
GSE245459_SKOV3	TACSTD2	human	TAPBP	-1.284	0.00013	1
GSE245459_SKOV3	TACSTD2	human	USP18	-0.174	0.00319	1
GSE245459_SKOV3	TACSTD2	human	XAF1	-0.45	0.01301	1
GSE245459_SKOV3_DDP	TACSTD2	human	B2M	0.443	0.00026	1
GSE245459_SKOV3_DDP	TACSTD2	human	BST2	0.607	0.01094	1
GSE245459_SKOV3_DDP	TACSTD2	human	CALR	0.143	0.01136	1
GSE245459_SKOV3_DDP	TACSTD2	human	CANX	0.397	0.01771	1
GSE245459_SKOV3_DDP	TACSTD2	human	CMPK2	0.505	0.00687	1
GSE245459_SKOV3_DDP	TACSTD2	human	DDX58	0.965	0.00313	1
GSE245459_SKOV3_DDP	TACSTD2	human	DTX3L	0.348	0.00214	1
GSE245459_SKOV3_DDP	TACSTD2	human	EPSTI1			0
GSE245459_SKOV3_DDP	TACSTD2	human	ERAP1	0.902	0.00131	1
GSE245459_SKOV3_DDP	TACSTD2	human	ERAP2	1.603	0.00738	1
GSE245459_SKOV3_DDP	TACSTD2	human	HERC5	-0.118	0.17351	1
GSE245459_SKOV3_DDP	TACSTD2	human	HERC6	0.699	0.00033	1
GSE245459_SKOV3_DDP	TACSTD2	human	HLA-A	-2.106	0.00181	1
GSE245459_SKOV3_DDP	TACSTD2	human	HLA-B	0.965	0.00269	1
GSE245459_SKOV3_DDP	TACSTD2	human	HLA-C	0.948	0.00352	1
GSE245459_SKOV3_DDP	TACSTD2	human	HLA-E	-0.131	0.07169	1
GSE245459_SKOV3_DDP	TACSTD2	human	HLA-F	0.216	0.10384	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFI27	0.32	0.0245	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFI44	-0.012	0.80055	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFI44L			0
GSE245459_SKOV3_DDP	TACSTD2	human	IFI6	1.572	0.00364	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFIH1	0.535	0.02746	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFIT1	2.294	0.01158	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFIT2	1.366	0.0054	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFIT3	0.504	0.03612	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFIT5	0.049	0.56508	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFITM1	1.413	0.0013	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFITM2	0.799	0.0513	1
GSE245459_SKOV3_DDP	TACSTD2	human	IFITM3	0.616	0.0184	1
GSE245459_SKOV3_DDP	TACSTD2	human	IRF1	-0.029	0.49239	1
GSE245459_SKOV3_DDP	TACSTD2	human	IRF7	-0.434	0.00532	1
GSE245459_SKOV3_DDP	TACSTD2	human	IRF9	0.348	0.00121	1
GSE245459_SKOV3_DDP	TACSTD2	human	ISG15	0.499	0.00973	1
GSE245459_SKOV3_DDP	TACSTD2	human	LY6E	-0.614	0.0001	1
GSE245459_SKOV3_DDP	TACSTD2	human	MX1	0.237	0.02288	1
GSE245459_SKOV3_DDP	TACSTD2	human	MX2			0
GSE245459_SKOV3_DDP	TACSTD2	human	NLRC5	0.947	0.0198	1
GSE245459_SKOV3_DDP	TACSTD2	human	OAS1	0.432	0.00434	1
GSE245459_SKOV3_DDP	TACSTD2	human	OAS2	0.009	0.84185	1
GSE245459_SKOV3_DDP	TACSTD2	human	OAS3	0.389	0.03982	1
GSE245459_SKOV3_DDP	TACSTD2	human	OASL	1.202	6e-05	1
GSE245459_SKOV3_DDP	TACSTD2	human	PARP9	0.53	0.00026	1
GSE245459_SKOV3_DDP	TACSTD2	human	PDIA3	0.397	0.00083	1
GSE245459_SKOV3_DDP	TACSTD2	human	PLSCR1	-0.328	0.00095	1
GSE245459_SKOV3_DDP	TACSTD2	human	PSMB10	0.102	0.46955	1
GSE245459_SKOV3_DDP	TACSTD2	human	PSMB8	-0.49	0.00632	1
GSE245459_SKOV3_DDP	TACSTD2	human	PSMB9	0.918	0.02045	1
GSE245459_SKOV3_DDP	TACSTD2	human	PSME1	1.079	0.00046	1
GSE245459_SKOV3_DDP	TACSTD2	human	PSME2	0.223	0.00843	1
GSE245459_SKOV3_DDP	TACSTD2	human	RSAD2	0.235	0.0295	1
GSE245459_SKOV3_DDP	TACSTD2	human	SAMD9	0.406	0.00999	1
GSE245459_SKOV3_DDP	TACSTD2	human	SAMD9L	0.206	0.00287	1
GSE245459_SKOV3_DDP	TACSTD2	human	SP100	0.39	0.0023	1
GSE245459_SKOV3_DDP	TACSTD2	human	SP110	0.544	0.00194	1
GSE245459_SKOV3_DDP	TACSTD2	human	STAT1	0.088	0.18165	1
GSE245459_SKOV3_DDP	TACSTD2	human	STAT2	0.938	0.00651	1
GSE245459_SKOV3_DDP	TACSTD2	human	TACSTD2	-4.033	4e-05	1
GSE245459_SKOV3_DDP	TACSTD2	human	TAP1	0.113	0.27641	1
GSE245459_SKOV3_DDP	TACSTD2	human	TAP2	-0.94	0.00017	1
GSE245459_SKOV3_DDP	TACSTD2	human	TAPBP	0.765	0.00837	1
GSE245459_SKOV3_DDP	TACSTD2	human	USP18	0.17	0.15898	1
GSE245459_SKOV3_DDP	TACSTD2	human	XAF1	0.149	0.01643	1
