cut	n_low	n_high	cut_low	cut_high	mwu_p	cliffs_delta	median_low	median_high	U	cohort	n_cohort	endpoint	leftover	note
quartile	18	18	6.360037616352999	7.912106926125124	0.43825357196871007	-0.15432098765432098	0.21020654003906125	-0.02613117970171209	137.0	GI	71	Hallmark_IFNg_noMHC	True	leftover: Hallmark IFN-γ minus MHC-I/APM
median	36	35	7.335877796676139	7.335877796676139	0.1729204968703134	-0.18888888888888888	0.1468640650772084	-0.007764569843791833	511.0	GI	71	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
tertile	24	24	6.817222408172686	7.7914285957094345	0.19041652022672817	-0.2222222222222222	0.15181251982377514	-0.025606448782185598	224.0	GI	71	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
quartile	18	18	6.360037616352999	7.912106926125124	0.41979076804604143	-0.16049382716049382	0.21361401975946154	-0.025606448782185598	136.0	GI	71	Hallmark_IFNg_noMHC_noCD274	True	leftover: IFN-γ minus MHC-I and CD274
median	36	35	7.335877796676139	7.335877796676139	0.12468661770537769	-0.2126984126984127	-0.008835704462190869	-0.36502217794629965	496.0	GI	71	Ayers6	True	leftover: Ayers 6-gene IFN-γ
tertile	24	24	6.817222408172686	7.7914285957094345	0.10552415804955881	-0.2743055555555556	0.09951423650705413	-0.41882441941391024	209.0	GI	71	Ayers6	True	leftover: Ayers 6-gene IFN-γ
quartile	18	18	6.360037616352999	7.912106926125124	0.22319125752825608	-0.24074074074074073	0.22518828369236424	-0.36549201111988716	123.0	GI	71	Ayers6	True	leftover: Ayers 6-gene IFN-γ
median	36	35	7.335877796676139	7.335877796676139	0.23390371367256635	-0.16507936507936508	-0.07839092513322574	-0.23771549959426405	526.0	GI	71	ISG_noMHC	True	leftover: compact ISG, no MHC-I
tertile	24	24	6.817222408172686	7.7914285957094345	0.197492567454973	-0.21875	-0.008293021019805356	-0.3324548722607118	225.0	GI	71	ISG_noMHC	True	leftover: compact ISG, no MHC-I
quartile	18	18	6.360037616352999	7.912106926125124	0.5583365375081784	-0.11728395061728394	-0.008293021019805356	-0.2256000258645475	143.0	GI	71	ISG_noMHC	True	leftover: compact ISG, no MHC-I
median	36	35	7.335877796676139	7.335877796676139	0.1765379782014287	-0.1873015873015873	1.6503222548478174	1.167501419770338	512.0	GI	71	IFNG_gene	True	leftover: IFNG transcript
tertile	24	24	6.817222408172686	7.7914285957094345	0.13489170928841152	-0.2534722222222222	1.6503222548478174	1.1582187076763182	215.0	GI	71	IFNG_gene	True	leftover: IFNG transcript
quartile	18	18	6.360037616352999	7.912106926125124	0.2612423872964712	-0.2222222222222222	1.6503222548478174	1.1582187076763182	126.0	GI	71	IFNG_gene	True	leftover: IFNG transcript
median	36	35	7.335877796676139	7.335877796676139	0.18788049111036842	0.18253968253968253	0.2939529416128799	0.3649462446569979	745.0	GI	71	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
tertile	24	24	6.817222408172686	7.7914285957094345	0.04661336118033611	0.3368055555555556	0.0818569053261182	0.3450001862567077	385.0	GI	71	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
quartile	18	18	6.360037616352999	7.912106926125124	0.11732270519879959	0.30864197530864196	0.22003136486313993	0.4266990162194432	212.0	GI	71	MHC_I_APM	False	already known (partial): 21-gene MHC-I/APM
median	36	35	7.335877796676139	7.335877796676139	0.13338334465514512	0.20793650793650795	0.19775411541142607	0.4067168483466128	761.0	GI	71	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
tertile	24	24	6.817222408172686	7.7914285957094345	0.07448869557973885	0.3020833333333333	0.16384774750091552	0.4472327619780741	375.0	GI	71	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
quartile	18	18	6.360037616352999	7.912106926125124	0.0905192333421713	0.3333333333333333	0.1928156160470918	0.5310293751903548	216.0	GI	71	MHC_I_core	False	already known (partial): HLA-A/B/C + B2M + TAP1/2 + TAPBP
median	36	35	7.335877796676139	7.335877796676139	0.22062557404953675	-0.16984126984126985	0.13718874341183881	0.021181995541644297	523.0	GI	71	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
tertile	24	24	6.817222408172686	7.7914285957094345	0.2611101618127958	-0.1909722222222222	0.13718874341183881	0.0012568098556989815	233.0	GI	71	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
quartile	18	18	6.360037616352999	7.912106926125124	0.4765462117850495	-0.1419753086419753	0.20092975152939274	0.002503833873805719	139.0	GI	71	Hallmark_IFNg	False	reference: full Hallmark IFN-γ (includes MHC-I + CD274)
median	36	35	7.335877796676139	7.335877796676139	0.21207919853583468	0.173015873015873	5.88205868391345	6.412483774282622	739.0	GI	71	TACSTD2	False	companion only
tertile	24	24	6.817222408172686	7.7914285957094345	0.2790163132113638	0.1840277777777778	5.775962549899912	5.332918612516158	341.0	GI	71	TACSTD2	False	companion only
quartile	18	18	6.360037616352999	7.912106926125124	0.21140013326822704	0.24691358024691357	6.327155753581713	5.669633737185588	202.0	GI	71	TACSTD2	False	companion only
median	36	35	7.335877796676139	7.335877796676139	0.0006225953589488762	0.473015873015873	0.12883088834633705	0.5674895539851186	928.0	GI	71	epithelial	False	companion: epithelial mean-z
tertile	24	24	6.817222408172686	7.7914285957094345	0.00013080100099724853	0.6458333333333334	-0.09167461998831411	0.6614099042808292	474.0	GI	71	epithelial	False	companion: epithelial mean-z
quartile	18	18	6.360037616352999	7.912106926125124	4.1817996755024015e-05	0.8024691358024691	-0.03411787087466806	0.6750262310811643	292.0	GI	71	epithelial	False	companion: epithelial mean-z
