direction	ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
malignant_CLDN4high_to_TNK	NECTIN2	TIGIT	other	36	3	0.07896611094474792	0.10491731626963294	0.5259171877358411	0.42099987146620815	1.0	0.8918918918918919	8	0	11	18	1.4551915228366852e-10	4.94765117764473e-09
malignant_CLDN4high_to_TNK	F11R	ITGAL+ITGB2	other	46	4	0.08183318376541138	0.122098586008865	0.5599546088856093	0.43785602287674436	1.0	0.9591836734693877	8	17	9	15	7.105427357601002e-15	9.663381206337363e-13
malignant_CLDN4high_to_TNK	ICAM1	ITGAL	other	40	4	0.08574161119759083	0.09267681012196201	0.46383206728136256	0.37115525715940056	0.9523809523809523	0.9047619047619048	6	17	7	12	2.1156661205168348e-06	1.598503291057164e-05
malignant_CLDN4high_to_TNK	ICAM1	ITGAL+ITGB2	other	40	4	0.08574161119759083	0.09267681012196201	0.4604337772886668	0.3677569671667048	0.9523809523809523	0.9047619047619048	6	17	7	12	2.1156661205168348e-06	1.598503291057164e-05
malignant_CLDN4high_to_TNK	CDH1	ITGAE+ITGB7	other	46	4	0.10578739643096924	0.12365818377204087	0.47384368118887044	0.3501854974168296	1.0	0.9387755102040817	6	24	2	17	3.552713678800501e-14	2.4158453015843406e-12
malignant_CLDN4high_to_TNK	CD55	ADGRE5	other	62	4	0.10845951363444328	0.11717277071015401	0.7178523594118429	0.6006795887016889	1.0	0.9848484848484849	8	28	11	19	9.5600227050737e-10	2.6003261757800463e-08
malignant_CLDN4high_to_TNK	CDH1	KLRG1	other	35	4	0.1104554533958435	0.12463157135691191	0.4629061367060687	0.3382745653491568	1.0	0.918918918918919	2	15	4	16	7.275957614183426e-11	3.2984341184298196e-09
malignant_CLDN4high_to_TNK	CXCL2	DPP4	other	7	4	0.1235993504524231	0.21845241529600962	0.5031959797654834	0.2847435644694737	1.0	0.8571428571428571	1	1	2	3	0.015625	0.035416666666666666
malignant_CLDN4high_to_TNK	TNFSF10	TNFRSF10A	other	7	1	0.12915734946727753	0.16886753269604274	0.3618645231638636	0.19299699046782084	1.0	0.7142857142857143	0	0	0	7	0.015625	0.035416666666666666
malignant_CLDN4high_to_TNK	CEACAM6	CEACAM6	other	6	3	0.2513399124145508	0.20269507293899855	1.1424944462875526	0.939799373348554	1.0	1.0	0	2	2	2	0.0625	0.10625
malignant_CLDN4high_to_TNK	CEACAM5	CEACAM6	other	5	3	0.259178102016449	0.2221217691898346	0.7363741561770439	0.5142523869872093	1.0	1.0	0	2	2	1	0.0625	0.10625
