score	accession	organism	n_samples	gdstype	pubdate	tags	title	url
4	GSE273122	Mus musculus	4	Expression profiling by high throughput sequencing	2025/07/25	lung;scRNA	Aberrant Transitional Alveolar Epithelial Cells Promote Pathogenic Activation of Lung Fibroblasts in Preclinical Fibrosis Modeling (scRNAseq)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273122
4	GSE274324	Homo sapiens; Mus musculus	8	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2025/06/30	lung;immune/TME	Thymic epithelia amplify noise in chromatin accessibility via p53 repression to impose immune tolerance	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274324
4	GSE212244	Homo sapiens	11	Expression profiling by high throughput sequencing	2025/04/30	lung;scRNA	Single cell RNA-seq of fetal thymus, bronchial, esophageal, and lung cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212244
4	GSE129401	Mus musculus	93	Expression profiling by high throughput sequencing	2025/03/31	lung;scRNA	Single cell RNA-seq analysis of Tbx4+ and Tbx4- mouse lung mesenchymal cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129401
4	GSE262858	Mus musculus	3	Expression profiling by high throughput sequencing	2025/03/26	lung;scRNA	E-cadherin has a cell-type specific role in maintaining the integrity of pulmonary airways [scRNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE262858
4	GSE278419	Mus musculus	2	Genome binding/occupancy profiling by high throughput sequencing	2024/11/25	lung;scRNA	RUNX2 promotes pulmonary fibrosis through the conversion of alveolar fibroblasts into pathological fibroblasts	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278419
4	GSE276546	Mus musculus	2	Expression profiling by high throughput sequencing	2024/11/25	lung;scRNA	Single cell RNA-sequencing of Lepr+ lung mesenchymal cells in normal and fibrotic mouse lungs	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276546
4	GSE261793	Mus musculus	4	Expression profiling by high throughput sequencing	2024/08/12	lung;scRNA	Interleukin-11 causes alveolar type 2 cell dysfunction and prevents alveolar regeneration [scRNA-Seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261793
4	GSE274355	Mus musculus	8	Genome binding/occupancy profiling by high throughput sequencing	2024/08/09	lung;scRNA	PRDM3/16 Regulate Chromatin Accessibility Required for NKX2-1 Mediated Alveolar Epithelial Differentiations and Function [Cut&Run H3K4me3]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274355
4	GSE255681	Mus musculus	4	Expression profiling by high throughput sequencing	2024/08/08	lung;scRNA	Impact of Nfat5 on normoxia- and hypoxia-exposed mouse lung endothelial cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255681
4	GSE307112	Homo sapiens; Mus musculus	886	Expression profiling by high throughput sequencing	2026/06/29	lung;immune/TME	Mapping the Dialogue: Decoding Alveolar Stem-Niche Interactions [I]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307112
4	GSE301724	Mus musculus	6	Expression profiling by high throughput sequencing	2025/07/08	lung;immune/TME	Thymic epithelia amplify noise in chromatin accessibility via p53 repression to impose immune tolerance [P53-WT-cKO_BulkRNA]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301724
4	GSE290716	Mus musculus	4	Genome binding/occupancy profiling by high throughput sequencing	2025/06/30	lung;immune/TME	Thymic epithelia amplify noise in chromatin accessibility via p53 repression to impose immune tolerance [CUT&Run]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290716
4	GSE274320	Mus musculus	20	Expression profiling by high throughput sequencing	2025/06/30	lung;immune/TME	Thymic epithelia amplify noise in chromatin accessibility via p53 repression to impose immune tolerance [RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274320
4	GSE205815	Mus musculus	2	Expression profiling by high throughput sequencing	2024/05/31	lung;scRNA	Impact of Pclaf/Paf knock-out on murine lung regeneration (scRNA-seq)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205815
4	GSE266561	Mus musculus	6	Expression profiling by high throughput sequencing	2024/05/08	lung;immune/TME	Overexpressed Malat1 drives metastasis through inflammatory reprogramming of lung adenocarcinoma microenvironment	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266561
4	GSE240040	Mus musculus	27	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2024/05/02	lung;immune/TME	Bidirection activation of stem-like programs in metastatic cancer and alveolar type II cells within the niche	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240040
4	GSE240037	Mus musculus	15	Expression profiling by high throughput sequencing	2024/05/02	lung;immune/TME	Bidirection activation of stem-like programs in metastatic cancer and alveolar type II cells within the niche [RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240037
4	GSE208289	Mus musculus	9	Expression profiling by high throughput sequencing	2022/09/01	lung;immune/TME	Chemotherapy-induced complement signaling modulates immunosuppression and metastatic relapse in breast cancer [RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208289
4	GSE205158	Mus musculus	38	Expression profiling by high throughput sequencing	2022/06/29	scRNA;immune/TME	Tongue immune compartment analysis reveals spatial macrophage heterogeneity [bulk RNA-Seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205158
4	GSE197975	Homo sapiens	1	Non-coding RNA profiling by high throughput sequencing	2022/05/26	lung;immune/TME	Tumour-derived exosomes regulate apoptosis of CD45+EpCAM+ cells in lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197975
4	GSE190889	Homo sapiens	6	Expression profiling by high throughput sequencing	2022/05/01	lung;scRNA	Single cell RNA Sequencing Identifies G-protein Coupled Receptor 87 as a Basal Cell Marker Expressed in Distal Honeycomb Cysts in Idiopathic Pulmonary Fibrosis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190889
4	GSE180942	Homo sapiens	27	Other	2023/02/28	immune-cold/resistant	Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [CRISPR screen]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180942
4	GSE180941	Homo sapiens	22	Expression profiling by high throughput sequencing	2023/02/28	immune-cold/resistant	Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180941
4	GSE124199	Homo sapiens	14	Expression profiling by high throughput sequencing	2018/12/21	lung;immune/TME	Wnt1 silences CC/CXC motif chemokine genes in dendritic cells and induces adaptive immune resistance in lung adenocarcinoma	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124199
3	GSE223503	Homo sapiens	136	Expression profiling by high throughput sequencing; Other	2025/01/17	lung	Non-small Cell Lung Cancer Brain Metastasis Atlas	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223503
3	GSE223499	Homo sapiens	42	Expression profiling by high throughput sequencing	2025/01/17	lung	Non-small Cell Lung Cancer Brain Metastasis Atlas [single nuclei RNAseq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223499
3	GSE240111	Homo sapiens	12	Expression profiling by high throughput sequencing	2023/09/11	KRAS;lung	Genome-Wide CRISPR Screen Identifies Multiple Synthetic Lethal Targets That Enhance KRAS (G12C) Inhibitor Efficacy [RNA-seq-human]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240111
3	GSE303166	Mus musculus	10	Expression profiling by high throughput sequencing; Other	2026/06/29	lung	A novel CAF population coordinates hyper-suppressive regulatory T cell recruitment and localization in lung cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303166
3	GSE294184	Mus musculus	1	Expression profiling by high throughput sequencing	2026/01/22	lung;immune/TME	Virus-specific effector T cells impair airway secretory cell-mediated alveolar regeneration	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294184
3	GSE280059	Mus musculus	6	Expression profiling by high throughput sequencing	2025/03/19	lung;immune/TME	Mice with Lymphatic Dysfunction Develop Pathogenic Lung Tertiary Lymphoid Organs that Model an Autoimmune Emphysema Phenotype of COPD	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280059
3	GSE284648	Homo sapiens	9	Expression profiling by high throughput sequencing	2026/03/11	lung	Upregulation of E-cadherin Promotes Spheroid Formation in Crizotinib-Resistant ALK-rearranged Lung Cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284648
3	GSE226773	Homo sapiens	4	Expression profiling by high throughput sequencing	2024/08/05	lung	Transcriptomic analysis of patient-derived resected lung NSCLC cells (part 2)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226773
3	GSE226772	Homo sapiens	2	Expression profiling by high throughput sequencing	2024/08/05	lung	Transcriptomic analysis of patient-derived resected lung NSCLC cells (part 1)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226772
3	GSE249262	Homo sapiens	76	Expression profiling by array	2024/01/18	lung	Circulating tumor cell analysis from stage III lung cancer patients	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249262
3	GSE183873	Homo sapiens; Mus musculus	49	Genome binding/occupancy profiling by high throughput sequencing	2021/12/22	KRAS;lung	Epigenetic basis of oncogenic-Kras mediated epithelial-cellular proliferation and plasticity [ATAC-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183873
3	GSE171940	Mus musculus	504	Expression profiling by high throughput sequencing	2021/11/18	lung	Trajectories of partial and full EMT of mammary tumor cells in the MMTV-PyMT mouse model	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171940
3	GSE158502	Mus musculus	23	Expression profiling by high throughput sequencing	2020/12/04	lung	Fat1 deletion promotes hybrid EMT state with enhanced tumor progression, stemness, and metastasis (mouse RNA-Seq)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158502
3	GSE158500	Mus musculus	3	Genome binding/occupancy profiling by high throughput sequencing	2020/12/04	lung	Fat1 deletion promotes hybrid EMT state with enhanced tumor progression, stemness, and metastasis (ATAC-Seq)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158500
3	GSE223502	Homo sapiens	38	Other	2025/01/17	lung	Non-small Cell Lung Cancer Brain Metastasis Atlas [lpWGS]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223502
3	GSE223500	Homo sapiens	42	Other	2025/01/17	lung	Non-small Cell Lung Cancer Brain Metastasis Atlas [TCR-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223500
2	GSE308926	Mus musculus	24	Expression profiling by high throughput sequencing	2026/07/01	lung	Beneficial Effects of Tanimilast and Formoterol on Mouse Lung Epithelial Progenitors In Vitro	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308926
2	GSE236359	Homo sapiens	1	Expression profiling by high throughput sequencing	2026/04/18	scRNA	Single-cell RNA sequencing of iALI epithelial cell derived from UHOMi003-A cell line	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236359
2	GSE242697	Homo sapiens	3	Expression profiling by high throughput sequencing	2026/04/07	scRNA	Single-cell RNA sequencing of iALI epithelial and mesenchymal cell derived from UHOMi003-A cell line	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242697
2	GSE273123	Mus musculus	16	Expression profiling by high throughput sequencing	2025/07/25	lung	Aberrant Transitional Alveolar Epithelial Cells Promote Pathogenic Activation of Lung Fibroblasts in Preclinical Fibrosis Modeling (Bulk RNA-Seq)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273123
2	GSE296513	Mus musculus; Homo sapiens	45	Expression profiling by high throughput sequencing	2025/06/24	lung	Impaired AMPK Control of Alveolar Epithelial Cell Metabolism Promotes Pulmonary Fibrosis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296513
2	GSE260707	Mus musculus	22	Expression profiling by high throughput sequencing	2025/02/28	lung	Unveiling the Temporal Dynamics of Mesenchymal Condensations in Tracheal Development through Non-Canonical Wnt Signaling and Notum	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE260707
2	GSE281994	Homo sapiens	8	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2024/12/17	lung	JUNB O-GlcNAcylation-mediated Promoter Accessibility of Metabolic Genes Modulates Distinct Epithelial Lineage in Pulmonary Fibrosis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281994
2	GSE230334	Mus musculus	12	Expression profiling by high throughput sequencing	2024/08/23	lung	Context-Dependent Roles of Mitochondrial LONP1 in Orchestrating the Balance between Airway Progenitor versus Progeny Cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230334
2	GSE282322	Homo sapiens	24	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2024/12/17	lung	JUNB O-GlcNAcylation-mediated Promoter Accessibility of Metabolic Genes Modulates Distinct Epithelial Lineage in Pulmonary Fibrosis [ipf_saec_bulk]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282322
2	GSE218197	Mus musculus	63	Expression profiling by high throughput sequencing	2023/08/27	immune/TME	The tumor microenvironment shows a hierarchy of cell-cell interactions dominated by fibroblasts 	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218197
2	GSE217737	Mus musculus	37	Expression profiling by high throughput sequencing	2023/08/27	immune/TME	A cell circuit approach to dissect fibroblast-macrophage interactions in the tumor microenvironment [organs]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217737
2	GSE202159	Mus musculus	120	Expression profiling by high throughput sequencing; Other	2023/05/03	immune/TME	Conserved transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202159
2	GSE179419	Mus musculus	9	Expression profiling by array	2022/02/17	lung	Expression data from mouse lung epithelial cells during E. coli pneumonia in the presence or absence of LIF neutralization (6 h)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179419
2	GSE179418	Mus musculus	9	Expression profiling by array	2022/02/17	lung	Expression data from mouse lung epithelial cells during E. coli pneumonia in the presence or absence of LIF neutralization (24 h)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179418
2	GSE191208	Mus musculus	9	Expression profiling by high throughput sequencing	2022/01/01	lung	Comparative transcriptional analysis of lung fibroblasts from young and aged mice identifies PIM1/NFATc1 axis as a driver of persistent fibrosis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191208
2	GSE149383	Homo sapiens	33	Expression profiling by high throughput sequencing	2020/12/19	scRNA	Drug resistant changes at the level of single cells	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149383
1	GSE243380	Homo sapiens	8	Expression profiling by high throughput sequencing	2024/06/21	immune/TME	Profiling of Sarcomas from Archival Tissues [snRNA-Seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243380
1	GSE240120	Mus musculus; Homo sapiens	65	Other; Expression profiling by high throughput sequencing	2023/09/11	KRAS	Genome-Wide CRISPR Screen Identifies Multiple Synthetic Lethal Targets That Enhance KRAS (G12C) Inhibitor Efficacy	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240120
1	GSE283937	Mus musculus	49	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2026/01/08		A high MAPK, low WNT cell state drives metastatic dissemination in colorectal cancer	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283937
1	GSE184398	Homo sapiens	1072	Expression profiling by high throughput sequencing	2021/12/29		RNA-sequencing of tumor infiltrating cells across 12 different solid tumors type	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184398
1	GSE183876	Mus musculus; Homo sapiens	68	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2021/12/22	KRAS	Epigenetic basis of oncogenic-Kras mediated epithelial-cellular proliferation and plasticity	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183876
1	GSE158506	Homo sapiens; Mus musculus	62	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	2020/12/04		Fat1 deletion promotes hybrid EMT state with enhanced tumor progression, stemness, and metastasis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158506
1	GSE243379	Homo sapiens	5	Other	2024/06/21	immune/TME	Profiling of Sarcomas from Archival Tissues [TCR-Seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243379
0	GSE243381	Homo sapiens	21	Other; Expression profiling by high throughput sequencing	2024/06/21		Profiling of Sarcomas from Archival Tissues	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243381
0	GSE215957	Mus musculus	478	Expression profiling by high throughput sequencing	2026/02/16		Global and region-specific rules of airway epithelial development	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215957
