score,radius_um,cutoff,n_sections,sections_high_lt_low,section_median_delta,section_p,patients_high_lt_low,patient_median_delta,patient_p,n_fovs,fovs_high_lt_low,fov_median_delta,fov_p,section_mean_high,section_mean_low
sum_broad,100,median,8,3/8,152.30381162285983,0.109375,1/5,176.3425347707357,0.125,212,64/212,47.82085274497035,2.459464256648215e-10,2611.237521224476,2513.4356280829775
mean_broad,100,median,8,2/8,0.9820208678572007,0.0390625,1/5,1.002305813680998,0.125,212,45/212,0.4035200734633415,1.50044571290696e-20,15.47635151252039,14.73800851607966
sum_IFNG,100,median,8,1/8,0.9136887088474683,0.015625,0/5,1.2165433373890018,0.0625,212,68/212,0.5464332442704531,2.2333106644262006e-07,25.900185953364847,24.636910515651696
mean_IFNG,100,median,8,0/8,0.005412373675569279,0.0078125,0/5,0.005412373675569293,0.0625,212,68/212,0.0036625248131065616,5.6299069167908755e-09,0.1645253325823826,0.15327503656188912
npos_IFNG,100,median,8,2/8,0.39726686477661133,0.0390625,0/5,0.5004997253417969,0.0625,212,57/212,0.21526312828063965,7.203657540759156e-11,7.756160080432892,7.222182869911194
sum_CXCL9,100,median,8,0/8,1.196603237721778,0.0078125,0/5,1.77896311844912,0.0625,212,80/212,0.43124822694765896,0.0001467026892586394,57.14516650048244,54.59280300450027
mean_CXCL9,100,median,8,0/8,0.009092880731550082,0.0078125,0/5,0.00931151850292583,0.0625,212,66/212,0.004871595603082035,1.1753360131964191e-08,0.33230283807648403,0.3145654760449401
npos_CXCL9,100,median,8,0/8,0.6471214294433594,0.0078125,0/5,0.7707843780517578,0.0625,212,68/212,0.3193809986114502,9.53339630732684e-10,16.0394606590271,15.127364039421082
sum_CXCL10,100,median,8,0/8,2.6882720534700475,0.0078125,0/5,3.3326894593611343,0.0625,212,82/212,1.186279456126357,3.6224407742323455e-06,78.40121467689183,75.3210962014429
mean_CXCL10,100,median,8,0/8,0.012504387073703119,0.0078125,0/5,0.014076775667132169,0.0625,212,68/212,0.009390793896308536,3.4777675105560944e-10,0.4484043934865312,0.4273064558495425
npos_CXCL10,100,median,8,2/8,1.1276366710662842,0.0390625,0/5,1.4754486083984375,0.0625,212,70/212,0.4244503974914551,3.144436172865141e-10,20.854061007499695,19.73553091287613
sum_CCL5,100,median,8,0/8,1.6930592243690583,0.0078125,0/5,2.041492521584054,0.0625,212,81/212,0.7217441732425129,0.0004401230141238382,61.61508038918716,59.87279206512406
mean_CCL5,100,median,8,0/8,0.010821345822770084,0.0078125,0/5,0.01102939816594084,0.0625,212,74/212,0.005707797918757945,2.2384744526667333e-09,0.362482396378584,0.34745608979184295
npos_CCL5,100,median,8,0/8,0.762913703918457,0.0078125,0/5,0.8203210830688477,0.0625,212,63/212,0.2847423553466797,2.567266572632419e-09,17.02214527130127,16.280519604682922
sum_CD274,100,median,8,1/8,1.4470912686529598,0.0234375,0/5,1.8768900492815739,0.0625,212,87/212,0.3277781112856797,0.014728588796596812,49.19203700939996,47.73720878059201
mean_CD274,100,median,8,0/8,0.008891846671997883,0.0078125,0/5,0.010592409588407181,0.0625,212,76/212,0.0035548860345168964,3.129380539079112e-06,0.2994508882649267,0.28656567399877253
npos_CD274,100,median,8,1/8,0.6363418102264404,0.0234375,0/5,0.8158645629882812,0.0625,212,73/212,0.20858454704284668,2.610777275400616e-08,14.387044191360474,13.689373672008514
sum_IDO1,100,median,8,1/8,2.203374164801046,0.0234375,0/5,2.313501127200574,0.0625,212,55/212,1.568635927781278,4.256294556802238e-14,78.30134824881105,72.63350249394333
mean_IDO1,100,median,8,0/8,0.016373893045326562,0.0078125,0/5,0.021594482109777435,0.0625,212,42/212,0.013670278298914346,4.5395564947649384e-21,0.45471564307242124,0.41905818230710146
npos_IDO1,100,median,8,2/8,1.1941533088684082,0.0390625,1/5,1.6110649108886719,0.125,212,48/212,0.5982551574707031,8.307945409898239e-17,21.98730057477951,20.198063671588898
sum_STAT1,100,median,8,2/8,8.736410645405563,0.0390625,1/5,14.580352808825268,0.125,212,58/212,3.5534504845817025,1.614810181693347e-13,163.94748701949743,155.33208465707327
mean_STAT1,100,median,8,1/8,0.06551350569614073,0.015625,0/5,0.0739008285598019,0.0625,212,47/212,0.022236105037660603,2.7448380623958787e-18,0.9431509516005282,0.8876036274653775
npos_STAT1,100,median,8,2/8,3.11025333404541,0.0390625,1/5,4.5986175537109375,0.125,212,57/212,1.241525650024414,6.761027066497025e-15,45.60089135169983,42.81695771217346
sum_MX1,100,median,8,1/8,7.767621784418207,0.015625,0/5,10.095104923232697,0.0625,212,59/212,3.8942972192243523,2.093666025801102e-13,153.72996737938837,144.35081838846708
mean_MX1,100,median,8,0/8,0.05930039374246843,0.0078125,0/5,0.08602996589969802,0.0625,212,41/212,0.030812422854544802,1.2868925562182975e-19,0.8995087344049248,0.8364593960850484
npos_MX1,100,median,8,2/8,3.1527099609375,0.0390625,0/5,3.4259376525878906,0.0625,212,55/212,1.2350378036499023,1.8283901077226503e-16,42.01137638092041,39.11604142189026
sum_CXCL8,100,median,8,3/8,5.4692215971324405,0.25,2/5,0.883062706624262,0.625,212,82/212,1.0466331687893202,0.00017242515619795732,76.32892573594995,69.5315498840531
mean_CXCL8,100,median,8,3/8,0.056868641189420276,0.25,2/5,0.0034641074738090277,0.625,212,83/212,0.005649629622051219,0.00037472587744934887,0.4878146638698938,0.43603866834483973
npos_CXCL8,100,median,8,2/8,1.9607295989990234,0.109375,1/5,0.43978118896484375,0.1875,212,71/212,0.40003442764282227,1.7844680738835684e-08,19.790689051151276,18.029597222805023
sum_TNF,100,median,8,0/8,1.6744132327148868,0.0078125,0/5,1.5202564661165496,0.0625,212,71/212,0.8048490189316588,1.3424213813968112e-09,36.091462452427955,34.13968514694004
mean_TNF,100,median,8,0/8,0.011219304042944384,0.0078125,0/5,0.009214529179765285,0.0625,212,54/212,0.006722442541225809,2.4900847125321622e-15,0.2204735936842484,0.206137847501973
npos_TNF,100,median,8,0/8,0.5748977661132812,0.0078125,0/5,0.5717248916625977,0.0625,212,55/212,0.30965328216552734,4.0424025321833004e-14,10.607276976108551,9.869736135005951
n_immune,150,median,8,5/8,-1.8639640808105469,1.0,4/5,-3.610595703125,0.4375,212,127/212,-1.8599705696105957,0.004649196952013318,82.71465754508972,82.73111653327942
n_cyto,150,median,8,4/8,-0.13551437854766846,0.546875,3/5,-0.436187744140625,0.4375,212,126/212,-0.12880533933639526,0.005323589566027167,5.960169225931168,6.197918206453323
frac_immune,150,median,8,5/8,-0.00899144634604454,1.0,4/5,-0.01588079333305359,0.4375,212,130/212,-0.006218375638127327,0.00029985748222305115,0.2207567780278623,0.22102524945512414
sum_chemokine,150,median,8,0/8,14.784215049579558,0.0078125,0/5,16.415720189862895,0.0625,212,69/212,5.810722704172633,9.970918140160023e-09,496.3462523962469,476.6184640506143
mean_chemokine,150,median,8,0/8,0.04029431120778465,0.0078125,0/5,0.03992822948847263,0.0625,212,48/212,0.01879050313502162,1.276186974023384e-15,1.3077170818609816,1.249360975052212
n_chemokine_pos,150,median,8,1/8,5.015750885009766,0.015625,0/5,5.630603790283203,0.0625,212,67/212,1.8113517761230469,4.739902862436028e-11,108.98312091827393,104.38513565063477
sum_chemokine_immune,150,median,8,3/8,9.577262943873071,0.3828125,2/5,1.6988102831390357,0.8125,212,125/212,-1.8157935638419778,0.06261035163672858,167.27557640114895,161.76464020872322
n_chemokine_pos_immune,150,median,8,3/8,1.1311018466949463,0.640625,2/5,0.3225216865539551,1.0,212,128/212,-0.4064040184020996,0.08244008473979034,29.148961782455444,28.25247871875763
sum_isg,150,median,8,2/8,116.243023702507,0.078125,1/5,157.2239611287332,0.125,212,65/212,34.2039838279523,2.1871593871614668e-11,2026.6942369955239,1944.0093439855732
mean_isg,150,median,8,2/8,0.3287754172774138,0.0390625,0/5,0.385228923327519,0.0625,212,49/212,0.09168814139286363,6.02878300750649e-19,5.383866717141181,5.142560314959396
sum_broad,150,median,8,3/8,316.09760743589413,0.109375,1/5,351.01852992696877,0.125,212,65/212,81.73782374939265,1.8334677179527272e-09,5631.571334038876,5442.127404094264
mean_broad,150,median,8,2/8,0.8241198507390726,0.078125,1/5,0.8732097211786538,0.125,212,52/212,0.24602047508981606,1.3251467775465642e-17,15.114930547415872,14.520694077979112
sum_IFNG,150,median,8,1/8,1.5123332650789614,0.015625,0/5,1.8507602669395453,0.0625,212,62/212,1.179845516771067,9.600528651646251e-10,56.42422997729347,53.77045444066271
mean_IFNG,150,median,8,0/8,0.0037421908884520683,0.0078125,0/5,0.0042004901531970396,0.0625,212,61/212,0.0032864269650437344,5.415288629544491e-12,0.16122634161009547,0.15165226185167976
npos_IFNG,150,median,8,1/8,0.752861499786377,0.0234375,0/5,0.9101629257202148,0.0625,212,60/212,0.4114565849304199,4.3839014369836093e-13,16.706530213356018,15.65162193775177
sum_CXCL9,150,median,8,0/8,2.3994493016614413,0.0078125,0/5,4.0073141279616635,0.0625,212,71/212,1.1284735271873316,9.394746611818936e-06,127.4065541477623,121.49379726143599
mean_CXCL9,150,median,8,0/8,0.007909745614132935,0.0078125,0/5,0.00796851045246813,0.0625,212,68/212,0.003743710913916329,9.775561372600225e-09,0.3317898373596242,0.31593358145033806
npos_CXCL9,150,median,8,1/8,1.0544748306274414,0.015625,0/5,1.6653480529785156,0.0625,212,64/212,0.5168991088867188,1.8589402609525619e-09,35.27521252632141,33.35747408866882
sum_CXCL10,150,median,8,1/8,5.934499218836741,0.015625,0/5,7.367355831272661,0.0625,212,81/212,1.698567737607295,1.8063035716453765e-06,171.10875298808455,164.77350944404307
mean_CXCL10,150,median,8,0/8,0.013970525704727302,0.0078125,0/5,0.019651671201489695,0.0625,212,74/212,0.004719871834061959,5.667743007566159e-09,0.4410765986793239,0.42336238617668565
npos_CXCL10,150,median,8,2/8,2.3244752883911133,0.0546875,1/5,3.728788375854492,0.125,212,71/212,0.60919189453125,1.4591379626118091e-09,45.016175270080566,42.8968300819397
sum_CCL5,150,median,8,0/8,4.489589719256706,0.0078125,0/5,5.177173896481051,0.0625,212,81/212,1.6141713632128472,0.00014407910160457908,141.4067152831066,136.58070290447262
mean_CCL5,150,median,8,0/8,0.010740134449465727,0.0078125,0/5,0.009824386195660284,0.0625,212,73/212,0.004086145671422445,6.392643165468467e-09,0.37362430421193815,0.35841274557350866
npos_CCL5,150,median,8,0/8,1.5259056091308594,0.0078125,0/5,1.7575416564941406,0.0625,212,66/212,0.6301918029785156,1.6941773393612274e-08,38.37400436401367,36.669108390808105
sum_CD274,150,median,8,0/8,3.0703189890502642,0.0078125,0/5,3.940436572622758,0.0625,212,78/212,0.8010904218449966,0.0018290809615582604,108.17077624143278,104.63199108892218
mean_CD274,150,median,8,0/8,0.0075226324879744955,0.0078125,0/5,0.0111982468800218,0.0625,212,74/212,0.0033174777803392647,2.1286704446665414e-07,0.2966768444349094,0.2849126386528341
npos_CD274,150,median,8,1/8,1.3221540451049805,0.015625,0/5,1.675241470336914,0.0625,212,69/212,0.4030265808105469,9.189682794839967e-08,31.28119206428528,29.80275797843933
sum_IDO1,150,median,8,1/8,5.195933444363227,0.015625,0/5,5.871637389986859,0.0625,212,57/212,3.2020637091208926,4.007796547899952e-14,165.7548745137539,155.7075611256167
mean_IDO1,150,median,8,0/8,0.014680912899458914,0.0078125,0/5,0.019099461118435967,0.0625,212,46/212,0.009123477813967468,7.308076750201004e-20,0.43705814692281114,0.40942318546520495
npos_IDO1,150,median,8,2/8,2.4934825897216797,0.0546875,1/5,3.357707977294922,0.125,212,52/212,1.0563874244689941,1.025967277416859e-15,46.300801277160645,43.161555767059326
sum_STAT1,150,median,8,2/8,16.514088327397545,0.0546875,1/5,25.250534691202517,0.125,212,63/212,5.729892325157508,1.207766521616534e-12,351.4250123344042,334.6134515862548
mean_STAT1,150,median,8,2/8,0.05167056763991168,0.0390625,0/5,0.05939427701875044,0.0625,212,54/212,0.01527380168759962,6.437249947501154e-16,0.9142925863000058,0.8684830777566248
npos_STAT1,150,median,8,2/8,5.794445037841797,0.078125,1/5,7.911979675292969,0.125,212,59/212,1.8451642990112305,2.093666025801102e-13,97.1943769454956,91.92128324508667
sum_MX1,150,median,8,1/8,16.099331871895473,0.0234375,0/5,18.989944980335906,0.0625,212,63/212,6.213227421532025,2.10541323522894e-12,329.89693263790673,311.89343694427606
mean_MX1,150,median,8,0/8,0.05038501141889978,0.0078125,0/5,0.07020464955340561,0.0625,212,51/212,0.021451065910490258,7.76692584383092e-18,0.8714073713026007,0.8203768995523133
npos_MX1,150,median,8,2/8,5.841875076293945,0.0390625,1/5,6.188865661621094,0.125,212,53/212,1.8140087127685547,8.734573490902826e-15,89.50157356262207,84.11217832565308
sum_CXCL8,150,median,8,3/8,11.815924623964658,0.1953125,2/5,1.7702519571918103,0.4375,212,86/212,0.9658772997426439,0.00418415211380874,169.0837311717887,155.38636375921826
mean_CXCL8,150,median,8,3/8,0.04919957271593252,0.25,2/5,0.002545163358647101,0.625,212,94/212,0.0016969523753012916,0.01896761073590767,0.48724319756257506,0.44201705710144257
npos_CXCL8,150,median,8,2/8,3.7376394271850586,0.078125,1/5,0.8633403778076172,0.1875,212,74/212,0.5727777481079102,1.2731152159678877e-05,43.17661380767822,39.74872660636902
sum_TNF,150,median,8,0/8,3.6232310063476163,0.0078125,0/5,3.3692152606958885,0.0625,212,72/212,1.3183992491909997,5.3812019012705833e-08,77.80479968529333,74.21159149908985
mean_TNF,150,median,8,0/8,0.010088594680505256,0.0078125,0/5,0.007971517673022122,0.0625,212,65/212,0.004039043271329118,2.55088876618298e-12,0.21516964983439546,0.20396809935745144
npos_TNF,150,median,8,1/8,1.1447758674621582,0.015625,0/5,1.214059829711914,0.0625,212,64/212,0.43370866775512695,7.015540564247265e-12,22.646385431289673,21.32099735736847
n_immune,20,pos_vs_zero,8,8/8,-0.2484007328748703,0.0078125,5/5,-0.40548646450042725,0.0625,211,188/211,-0.2513709217309952,3.933740403036115e-30,0.4112949622794986,0.7374631119892001
n_cyto,20,pos_vs_zero,8,7/8,-0.030500393826514482,0.015625,4/5,-0.05531322956085205,0.125,211,156/211,-0.016582325100898743,5.939536930184524e-19,0.04084107268135995,0.07128681591711938
frac_immune,20,pos_vs_zero,8,8/8,-0.03384074755012989,0.0078125,5/5,-0.05101701617240906,0.0625,211,183/211,-0.04073777794837952,2.4391210153268913e-28,0.062338383635506034,0.11017999891191721
sum_chemokine,20,pos_vs_zero,8,1/8,0.38639163371610286,0.0234375,0/5,0.2921964816940168,0.0625,211,73/211,0.20688722729679654,2.405917894011219e-07,8.884484899251285,8.387495963228323
mean_chemokine,20,pos_vs_zero,8,0/8,0.11863029784324791,0.0078125,0/5,0.1501341527483473,0.0625,211,35/211,0.1059802743994166,5.477444421565057e-23,1.3093802928720502,1.1554319406564835
n_chemokine_pos,20,pos_vs_zero,8,0/8,0.1794341802597046,0.0078125,0/5,0.16463613510131836,0.0625,211,54/211,0.11618435382843018,2.1365735922816355e-15,2.1341890543699265,1.9350278824567795
sum_chemokine_immune,20,pos_vs_zero,8,7/8,-0.29625381413988394,0.015625,4/5,-0.6159752108221712,0.125,211,165/211,-0.250863958613896,9.039724934583819e-20,0.9846297793684778,1.4091613205601172
n_chemokine_pos_immune,20,pos_vs_zero,8,7/8,-0.053727325052022934,0.015625,4/5,-0.1147775836288929,0.125,211,171/211,-0.05343063920736313,5.217284194262337e-22,0.1628567986190319,0.2448778608813882
sum_isg,20,pos_vs_zero,8,1/8,2.935091780660443,0.015625,0/5,2.0050841971689337,0.0625,211,62/211,2.160701468182652,5.213427340601008e-15,43.300246772307716,39.01602159683117
mean_isg,20,pos_vs_zero,8,0/8,0.784422880802039,0.0078125,0/5,0.897121264041024,0.0625,211,16/211,0.6394957391219034,1.2864674905730479e-30,6.118018764888966,5.203685738351277
sum_broad,20,pos_vs_zero,8,1/8,8.619036047249402,0.015625,0/5,6.036633886630341,0.0625,211,56/211,6.114151318298269,3.150945358506003e-16,121.41803620642344,110.41257106258452
mean_broad,20,pos_vs_zero,8,0/8,2.6038289475584424,0.0078125,0/5,3.4424441701578523,0.0625,211,7/211,1.8495967967942892,6.882121251797016e-34,17.188406899009706,14.659030108562549
sum_IFNG,20,pos_vs_zero,8,2/8,0.07176538663474175,0.0390625,1/5,0.04771811614096633,0.125,211,86/211,0.03026592279780449,0.00250908796706511,1.1556047129967233,1.063352240765335
mean_IFNG,20,pos_vs_zero,8,1/8,0.013875892876720503,0.015625,1/5,0.013970954964446641,0.125,211,62/211,0.01094057844232521,4.0049592810465554e-09,0.18217418389890166,0.15322838702958447
npos_IFNG,20,pos_vs_zero,8,0/8,0.0374460443854332,0.0078125,0/5,0.03432008624076843,0.0625,211,70/211,0.02570493519306183,1.452142295054644e-09,0.359292920678854,0.30973424576222897
sum_CXCL9,20,pos_vs_zero,8,1/8,0.127871667341393,0.0390625,0/5,0.11702853497316656,0.0625,211,89/211,0.04928877760723971,0.0058534529597171975,2.23214101254752,2.114845419174252
mean_CXCL9,20,pos_vs_zero,8,0/8,0.026646109648808106,0.0078125,0/5,0.027062705929976866,0.0625,211,57/211,0.01796653445925528,5.023766892645364e-12,0.3287587693275552,0.2910154130241519
npos_CXCL9,20,pos_vs_zero,8,0/8,0.07204554975032806,0.0078125,0/5,0.0814826637506485,0.0625,211,61/211,0.041912198066711426,7.423098821136505e-11,0.670429103076458,0.5982371121644974
sum_CXCL10,20,pos_vs_zero,8,2/8,0.08916869301226238,0.1484375,1/5,0.03865041759740229,0.3125,211,81/211,0.10491310358072847,6.134402307171451e-07,3.277014643013324,3.039868025055066
mean_CXCL10,20,pos_vs_zero,8,0/8,0.0240150960838402,0.0078125,0/5,0.021800274396434477,0.0625,211,51/211,0.04761722494713222,5.024712364104666e-18,0.4716294445164244,0.41101745360173614
npos_CXCL10,20,pos_vs_zero,8,1/8,0.05379477143287659,0.015625,0/5,0.04860401153564453,0.0625,211,63/211,0.0575827956199646,2.8973561634597033e-13,0.9134257473051548,0.8035913556814194
sum_CCL5,20,pos_vs_zero,8,2/8,0.06195762289111073,0.078125,0/5,0.052861733102517405,0.0625,211,97/211,0.03208166246677524,0.20314669858499945,2.2197245306937186,2.1694302782336714
mean_CCL5,20,pos_vs_zero,8,0/8,0.015766489049242438,0.0078125,0/5,0.022768463663204397,0.0625,211,73/211,0.016751704775005205,1.3503868409101286e-07,0.3268178951291688,0.30017068700101107
npos_CCL5,20,pos_vs_zero,8,0/8,0.05992443859577179,0.0078125,0/5,0.07226383686065674,0.0625,211,69/211,0.021680891513824463,2.5094112493363455e-07,0.6622789762914181,0.6085647493600845
sum_CD274,20,pos_vs_zero,8,2/8,0.06640479136933708,0.1484375,0/5,0.054890699717577984,0.0625,211,109/211,-0.013053246500335902,0.9443320497240436,2.1356453095670562,2.0722553275945343
mean_CD274,20,pos_vs_zero,8,1/8,0.01891900521192369,0.015625,0/5,0.016671330887381375,0.0625,211,68/211,0.016159823441011162,4.4589930381058354e-10,0.319567479603339,0.28978505087567286
npos_CD274,20,pos_vs_zero,8,0/8,0.061463117599487305,0.0078125,0/5,0.07489877939224243,0.0625,211,75/211,0.026214957237243652,3.0948155596073105e-07,0.6508283615112305,0.5926736071705818
sum_IDO1,20,pos_vs_zero,8,1/8,0.11840849591916047,0.0390625,0/5,0.0758032079215245,0.0625,211,64/211,0.18651358222933012,2.0921353978436096e-14,3.6339240372585166,3.0528163610997376
mean_IDO1,20,pos_vs_zero,8,0/8,0.05652804207149591,0.0078125,0/5,0.08687068739826437,0.0625,211,39/211,0.05176385967187608,4.726314068890162e-22,0.5146875943657412,0.4101547279143867
npos_IDO1,20,pos_vs_zero,8,1/8,0.07597537338733673,0.015625,0/5,0.08953559398651123,0.0625,211,52/211,0.08638894557952881,1.5473804774332174e-19,1.0438825301826,0.8438099045306444
sum_STAT1,20,pos_vs_zero,8,0/8,0.5509315217985296,0.0078125,0/5,0.5399290970484261,0.0625,211,66/211,0.34472976762232066,4.424187263040912e-12,7.640538411175439,6.822766233171999
mean_STAT1,20,pos_vs_zero,8,0/8,0.15000459933752502,0.0078125,0/5,0.1538639572724213,0.0625,211,31/211,0.1055018175935859,1.1057884335215442e-24,1.0871722382834044,0.9164731953354406
npos_STAT1,20,pos_vs_zero,8,0/8,0.20945733785629272,0.0078125,0/5,0.19047307968139648,0.0625,211,55/211,0.15506285429000854,1.0095783952036348e-17,2.1697896867990494,1.8721108138561249
sum_MX1,20,pos_vs_zero,8,0/8,0.8919234072383793,0.0078125,0/5,0.9915019441933834,0.0625,211,48/211,0.4800923759200493,1.446004733835146e-16,7.233262193263835,6.408062323926602
mean_MX1,20,pos_vs_zero,8,0/8,0.16192357678365776,0.0078125,0/5,0.18603770277902798,0.0625,211,20/211,0.1165241456614644,6.920500787257764e-29,1.0414353048868776,0.8650543931600314
npos_MX1,20,pos_vs_zero,8,0/8,0.3023831844329834,0.0078125,0/5,0.3003288507461548,0.0625,211,37/211,0.1758037805557251,2.4663327466236535e-22,2.029445543885231,1.7364469170570374
sum_CXCL8,20,pos_vs_zero,8,3/8,0.18068151360168766,0.546875,2/5,0.04405009948441296,1.0,211,117/211,-0.0377013499089347,0.02990341288422277,2.9905627776745467,2.903127533789186
mean_CXCL8,20,pos_vs_zero,8,2/8,0.04213744986114864,0.3125,1/5,0.009243233567494,0.3125,211,102/211,0.005292880208912776,0.8156611015574861,0.44763537657256636,0.4134770542540994
npos_CXCL8,20,pos_vs_zero,8,2/8,0.08216363191604614,0.078125,1/5,0.0319209098815918,0.3125,211,90/211,0.01494985818862915,0.01171888963579633,0.8427725080400705,0.7601314019411802
sum_TNF,20,pos_vs_zero,8,2/8,0.07613376508257974,0.078125,1/5,0.06250700431562262,0.125,211,76/211,0.10120882989944913,5.992494285960444e-09,1.614563105201068,1.4665589343224896
mean_TNF,20,pos_vs_zero,8,1/8,0.028404107321874768,0.015625,1/5,0.02486272902663922,0.125,211,48/211,0.0254135042933806,8.413237170706632e-19,0.23632510726968434,0.20187407518704048
npos_TNF,20,pos_vs_zero,8,1/8,0.05666293203830719,0.015625,0/5,0.05207580327987671,0.0625,211,53/211,0.04675436019897461,4.572214878521143e-16,0.4922469016164541,0.42096185497939587
n_immune,40,pos_vs_zero,8,6/8,-0.5551427602767944,0.1484375,4/5,-1.078873634338379,0.1875,211,163/211,-0.7554980516433716,4.3609474546103443e-20,2.9311937987804413,3.9655700474977493
n_cyto,40,pos_vs_zero,8,6/8,-0.04668112471699715,0.078125,4/5,-0.08950740098953247,0.1875,211,155/211,-0.06582922488451004,6.682709559567103e-16,0.24007548298686743,0.32998450193554163
frac_immune,40,pos_vs_zero,8,6/8,-0.0199650339782238,0.1484375,4/5,-0.03661462664604187,0.1875,211,164/211,-0.02889256179332733,1.3271097317377857e-20,0.10774777201004326,0.14540601940825582
sum_chemokine,40,pos_vs_zero,8,1/8,2.078558652581993,0.015625,0/5,2.360952755594436,0.0625,211,57/211,1.3119761757104413,9.94433973945011e-13,36.62046405432609,33.86183638763351
mean_chemokine,40,pos_vs_zero,8,0/8,0.09925584379468994,0.0078125,0/5,0.163350712968507,0.0625,211,26/211,0.07400993852810367,3.2150233320371383e-22,1.3222868649310349,1.1837460296999824
n_chemokine_pos,40,pos_vs_zero,8,0/8,0.7175707817077637,0.0078125,0/5,0.8219614028930664,0.0625,211,45/211,0.4433417320251465,1.158992477288319e-19,8.519216001033783,7.669914126396179
sum_chemokine_immune,40,pos_vs_zero,8,3/8,0.1791276198615922,0.7421875,2/5,0.11972130248008361,0.8125,211,147/211,-0.6925034645733805,2.995862859025386e-10,6.746233853448739,7.6122625190307325
n_chemokine_pos_immune,40,pos_vs_zero,8,4/8,-0.0020648837089538574,0.546875,3/5,-0.028263092041015625,0.4375,211,149/211,-0.12835974991321564,1.5424099802073718e-11,1.1287564430385828,1.3156790155917406
sum_isg,40,pos_vs_zero,8,0/8,11.15541188181858,0.0078125,0/5,11.617597928397629,0.0625,211,54/211,8.440647439728252,1.5078634612500778e-18,168.3671758720763,150.7682993042536
mean_isg,40,pos_vs_zero,8,0/8,0.6028890396671203,0.0078125,0/5,0.7150599539163038,0.0625,211,15/211,0.485186757306205,4.3704400902714565e-32,5.915033637359906,5.1706084800320475
sum_broad,40,pos_vs_zero,8,1/8,29.560863535099458,0.015625,0/5,27.03823431571442,0.0625,211,55/211,25.659702973719533,9.30643229497538e-19,468.571168944742,423.6022498909804
mean_broad,40,pos_vs_zero,8,0/8,2.0486802935333177,0.0078125,0/5,2.7477990263673,0.0625,211,10/211,1.283578935997328,7.172087111349306e-34,16.60438630917999,14.573151534124994
sum_IFNG,40,pos_vs_zero,8,0/8,0.3565092536285186,0.0078125,0/5,0.5121764280294512,0.0625,211,53/211,0.24185773207684846,1.0517857101704292e-13,4.533795894339816,4.125814495950915
mean_IFNG,40,pos_vs_zero,8,0/8,0.012230918568617292,0.0078125,0/5,0.01565479063892783,0.0625,211,41/211,0.010118454484223799,7.16312176608306e-18,0.17627214752148396,0.1522935904437479
npos_IFNG,40,pos_vs_zero,8,0/8,0.15487879514694214,0.0078125,0/5,0.23334825038909912,0.0625,211,41/211,0.1067734956741333,3.6119738943521113e-20,1.3952295035123825,1.2013311013579369
sum_CXCL9,40,pos_vs_zero,8,1/8,0.5311250337120597,0.015625,0/5,0.6058144809943409,0.0625,211,68/211,0.24382459295195513,2.7831833314161576e-08,9.31303937407032,8.551821859921363
mean_CXCL9,40,pos_vs_zero,8,0/8,0.02317654343428359,0.0078125,0/5,0.02061660429004744,0.0625,211,49/211,0.015504107069061746,9.657808113078828e-16,0.3360967615836091,0.2992433409017117
npos_CXCL9,40,pos_vs_zero,8,0/8,0.24492132663726807,0.0078125,0/5,0.34621238708496094,0.0625,211,43/211,0.15971791744232178,2.136376452905563e-17,2.725146174430847,2.3918266594409943
sum_CXCL10,40,pos_vs_zero,8,1/8,0.45963209301017294,0.015625,0/5,0.5752666859057358,0.0625,211,70/211,0.3530301897840893,9.49534946923862e-10,13.320888586396624,12.211529750780603
mean_CXCL10,40,pos_vs_zero,8,0/8,0.028489034549416814,0.0078125,0/5,0.03868456505350182,0.0625,211,49/211,0.031257095570035975,7.735904247306672e-17,0.46700811160581923,0.41725927678747077
npos_CXCL10,40,pos_vs_zero,8,0/8,0.2834722399711609,0.0078125,0/5,0.3916797637939453,0.0625,211,61/211,0.1781935691833496,8.967583913222323e-16,3.6485923379659653,3.206581473350525
sum_CCL5,40,pos_vs_zero,8,1/8,0.4273919100860879,0.015625,0/5,0.32241303177425173,0.0625,211,75/211,0.2488508225872046,0.0001167625472997504,9.452740199519331,8.97267028098063
mean_CCL5,40,pos_vs_zero,8,0/8,0.02010437047506347,0.0078125,0/5,0.020338934937094988,0.0625,211,52/211,0.01588624537034905,5.778624573384539e-13,0.3429098442201226,0.31494982156705204
npos_CCL5,40,pos_vs_zero,8,0/8,0.2332959771156311,0.0078125,0/5,0.28655433654785156,0.0625,211,54/211,0.13438153266906738,6.348869134827286e-14,2.741454556584358,2.478694438934326
sum_CD274,40,pos_vs_zero,8,2/8,0.29698330772601356,0.0390625,0/5,0.25426360803350434,0.0625,211,93/211,0.11741647913157749,0.00544375513679057,8.44346615486889,8.033052365215859
mean_CD274,40,pos_vs_zero,8,0/8,0.013909041255204313,0.0078125,0/5,0.013916353682498883,0.0625,211,64/211,0.010330314524672368,2.6463531877314696e-11,0.3121633069648537,0.28768589828129953
npos_CD274,40,pos_vs_zero,8,0/8,0.23844003677368164,0.0078125,0/5,0.29679399728775024,0.0625,211,65/211,0.10917830467224121,2.3046972720689972e-11,2.5412857681512833,2.2950740307569504
sum_IDO1,40,pos_vs_zero,8,1/8,0.5465571591579441,0.015625,0/5,0.423671777170064,0.0625,211,48/211,0.803960644380936,6.025188436933572e-19,14.249121303101722,11.965052491288011
