score,sample,patient,n_high,n_low,mean_high,mean_low,delta
mean_TNF,LUSC-6,Lung6,16323,49873,0.04805320924860434,0.05253183678196762,-0.004478627533363283
mean_TNF,LUAD-9 R1,Lung9,27834,11030,0.2796766681958531,0.23442830406577603,0.045248364130077046
mean_TNF,LUAD-9 R2,Lung9,57922,36954,0.21538501895086976,0.1998974960937572,0.015487522857112551
mean_TNF,LUAD-12,Lung12,7260,11007,0.13738768659353356,0.15329448205127388,-0.01590679545774032
mean_TNF,LUAD-13,Lung13,19177,6853,0.09081485974657683,0.0859263418634568,0.0048885178831200304
sum_IFIT1,LUAD-5 R1,Lung5,12611,5226,0.2685906518872282,0.26075688411177117,0.007833767775457023
sum_IFIT1,LUAD-5 R2,Lung5,12377,5537,0.3610628656725243,0.43170166488111655,-0.07063879920859223
sum_IFIT1,LUAD-5 R3,Lung5,9985,5908,0.21922598354251274,0.24264810576934326,-0.023422122226830516
sum_IFIT1,LUSC-6,Lung6,16323,49873,0.092279353961627,0.11451767757040518,-0.022238323608778185
sum_IFIT1,LUAD-9 R1,Lung9,27834,11030,0.28661730800954227,0.3095562350272358,-0.02293892701769351
sum_IFIT1,LUAD-9 R2,Lung9,57922,36954,0.24844372382876861,0.2760911156956887,-0.027647391866920112
sum_IFIT1,LUAD-12,Lung12,7260,11007,0.21922776796237867,0.29502568712590305,-0.07579791916352438
sum_IFIT1,LUAD-13,Lung13,19177,6853,0.2095482406662835,0.2478277022137808,-0.03827946154749731
npos_IFIT1,LUAD-5 R1,Lung5,12611,5226,0.0865117758512497,0.08017604053020477,0.006335735321044922
npos_IFIT1,LUAD-5 R2,Lung5,12377,5537,0.11545608937740326,0.13184034824371338,-0.01638425886631012
npos_IFIT1,LUAD-5 R3,Lung5,9985,5908,0.06720080226659775,0.07092078775167465,-0.0037199854850769043
npos_IFIT1,LUSC-6,Lung6,16323,49873,0.027568461373448372,0.03318428993225098,-0.005615828558802605
npos_IFIT1,LUAD-9 R1,Lung9,27834,11030,0.0865488275885582,0.08576609194278717,0.0007827356457710266
npos_IFIT1,LUAD-9 R2,Lung9,57922,36954,0.06324022263288498,0.06486442685127258,-0.0016242042183876038
npos_IFIT1,LUAD-12,Lung12,7260,11007,0.06391184777021408,0.07622422277927399,-0.012312375009059906
npos_IFIT1,LUAD-13,Lung13,19177,6853,0.06346143782138824,0.07150153070688248,-0.008040092885494232
mean_IFIT1,LUAD-5 R1,Lung5,12611,5226,0.1438512678828766,0.12302593515768041,0.020825332725196197
mean_IFIT1,LUAD-5 R2,Lung5,12377,5537,0.1779663204666082,0.195354751838261,-0.0173884313716528
mean_IFIT1,LUAD-5 R3,Lung5,9985,5908,0.12215165150180134,0.11853329132759197,0.00361836017420937
mean_IFIT1,LUSC-6,Lung6,16323,49873,0.06863409405448598,0.07881684217957356,-0.010182748125087585
mean_IFIT1,LUAD-9 R1,Lung9,27834,11030,0.17565887964823912,0.16542463703234817,0.010234242615890954
mean_IFIT1,LUAD-9 R2,Lung9,57922,36954,0.15439776381973241,0.1578652033245226,-0.0034674395047901985
mean_IFIT1,LUAD-12,Lung12,7260,11007,0.15896939603816979,0.1878838270496278,-0.02891443101145802
mean_IFIT1,LUAD-13,Lung13,19177,6853,0.13998095522360304,0.1441848753073613,-0.00420392008375825
sum_OAS1,LUAD-5 R1,Lung5,12611,5226,0.9059845166235181,0.943715142631153,-0.03773062600763488
sum_OAS1,LUAD-5 R2,Lung5,12377,5537,0.8924904410935145,1.0332154713511927,-0.14072503025767824
sum_OAS1,LUAD-5 R3,Lung5,9985,5908,0.8343073932784877,0.8475757858377059,-0.01326839255921819
sum_OAS1,LUSC-6,Lung6,16323,49873,0.30917960922970805,0.3372057379741259,-0.028026128744417844
sum_OAS1,LUAD-9 R1,Lung9,27834,11030,0.2724129272222785,0.30115186200186217,-0.02873893477958367
sum_OAS1,LUAD-9 R2,Lung9,57922,36954,0.2951667478854855,0.31091378440903145,-0.01574703652354592
sum_OAS1,LUAD-12,Lung12,7260,11007,0.25255072635744463,0.29487241037744244,-0.04232168401999781
sum_OAS1,LUAD-13,Lung13,19177,6853,0.3313451742926033,0.38189785619078825,-0.05055268189818496
npos_OAS1,LUAD-5 R1,Lung5,12611,5226,0.2846721112728119,0.29142746329307556,-0.006755352020263672
npos_OAS1,LUAD-5 R2,Lung5,12377,5537,0.281166672706604,0.31605562567710876,-0.03488895297050476
npos_OAS1,LUAD-5 R3,Lung5,9985,5908,0.25358036160469055,0.24593770503997803,0.007642656564712524
npos_OAS1,LUSC-6,Lung6,16323,49873,0.08901549875736237,0.09552262723445892,-0.006507128477096558
npos_OAS1,LUAD-9 R1,Lung9,27834,11030,0.08187827467918396,0.08322755992412567,-0.0013492852449417114
npos_OAS1,LUAD-9 R2,Lung9,57922,36954,0.07615413516759872,0.07476863265037537,0.0013855025172233582
npos_OAS1,LUAD-12,Lung12,7260,11007,0.0750688686966896,0.07776869088411331,-0.002699822187423706
npos_OAS1,LUAD-13,Lung13,19177,6853,0.10095427185297012,0.1091492772102356,-0.008195005357265472
mean_OAS1,LUAD-5 R1,Lung5,12611,5226,0.476471892513042,0.4570114494491665,0.01946044306387551
mean_OAS1,LUAD-5 R2,Lung5,12377,5537,0.45828198752333166,0.4487953665360923,0.009486620987239347
mean_OAS1,LUAD-5 R3,Lung5,9985,5908,0.45068344990951714,0.4185806988193393,0.03210275109017785
mean_OAS1,LUSC-6,Lung6,16323,49873,0.22728070280404336,0.2343059439310738,-0.007025241127030429
mean_OAS1,LUAD-9 R1,Lung9,27834,11030,0.16849300393282896,0.16752360150287554,0.0009694024299534143
mean_OAS1,LUAD-9 R2,Lung9,57922,36954,0.18391435647777243,0.17707997700773997,0.006834379470032459
mean_OAS1,LUAD-12,Lung12,7260,11007,0.18435247360726498,0.18906693550449408,-0.0047144618972291
mean_OAS1,LUAD-13,Lung13,19177,6853,0.21811363885250395,0.23248505464194658,-0.014371415789442621
