cohort	x	y	n	rho	p	q_global
patient Normal V2 beads	tac_cpm_all	bulk_lcam_diff	23	-0.01482213438735178	0.9464831976960982	0.975605757625209
patient Normal V2 beads	tac_cpm_gate	bulk_lcam_diff	23	-0.2673585453500608	0.21746181351839494	0.7280887780718085
patient Normal V2 beads	frac_gate	cd8_trm_of_T	23	0.03656126482213439	0.868457309937357	0.9406336425834375
patient Normal V2 beads	epcam_cpm_all	lcam_diff	23	-0.19466403162055337	0.37342744743214745	0.8458068440440807
patient Normal V2 beads	epcam_cpm_all	cd8_trm_of_T	23	0.09189723320158102	0.6766561430399165	0.9217068585216323
sample Tumor (all preps)	tac_cpm_all	lcam_diff	49	0.09551020408163266	0.5138807155164451	0.9020961915179546
sample Tumor (all preps)	tac_cpm_gate	lcam_diff	49	0.31524659278331374	0.027359180180837616	0.44725301029394743
sample Tumor (all preps)	tac_cpm_epi	lcam_diff	47	0.1180095337710468	0.42951987184392115	0.8720554973800824
sample Tumor (all preps)	tac_cpm_immune	lcam_diff	49	-0.23091836734693874	0.11040865886053507	0.588062991067213
sample Tumor (all preps)	frac_gate	lcam_diff	49	0.26418367346938776	0.06661169846351955	0.588062991067213
sample Tumor (all preps)	tac_cpm_all	cd8_trm_of_T	49	-0.03551020408163265	0.8086013060250385	0.9406336425834375
sample Tumor (all preps)	tac_cpm_gate	cd8_trm_of_T	49	-0.09155946422491057	0.5315201129466033	0.9020961915179546
sample Tumor (all preps)	tac_cpm_epi	cd8_trm_of_T	47	0.08621542142761823	0.5644652320046234	0.9020961915179546
sample Tumor (all preps)	tac_cpm_all	cd8_broad_of_T	49	0.1860204081632653	0.20063961485791437	0.7280887780718085
sample Tumor (all preps)	tac_cpm_gate	cd8_broad_of_T	49	0.19650541261663285	0.1759710690054439	0.7257019662724945
sample Tumor (all preps)	tac_cpm_epi	cd8_broad_of_T	47	0.33349006888691096	0.02197848196860662	0.4016068068809027
sample Tumor (all preps)	tac_cpm_all	cd8a_cpm_immune	49	0.09153061224489796	0.5316500157683275	0.9020961915179546
sample Tumor (all preps)	tac_cpm_gate	cd8a_cpm_immune	49	-0.06774991605035237	0.6436951166045162	0.917607932180906
sample Tumor (all preps)	tac_cpm_epi	cd8a_cpm_immune	47	-0.03585540406612926	0.8108962266655665	0.9406336425834375
sample Tumor (all preps)	tac_cpm_all	bulk_lcam_diff	49	0.12520408163265306	0.3913434651547239	0.8458068440440807
sample Tumor (all preps)	tac_cpm_gate	bulk_lcam_diff	49	0.24800761124314505	0.08576119598107121	0.588062991067213
sample Tumor (all preps)	frac_gate	cd8_trm_of_T	49	-0.14561224489795918	0.31813089894813634	0.8094216542857646
sample Tumor (all preps)	epcam_cpm_all	lcam_diff	49	0.3641419425149822	0.010106372867420107	0.3385634910585736
sample Tumor (all preps)	epcam_cpm_all	cd8_trm_of_T	49	-0.21526059345253046	0.1374376400149546	0.6258819398406196
sample Tumor V2 beads	tac_cpm_all	lcam_diff	30	0.04827586206896552	0.8000133620903566	0.9406336425834375
sample Tumor V2 beads	tac_cpm_gate	lcam_diff	30	0.17730812013348163	0.3485802357185866	0.8367309904180732
sample Tumor V2 beads	tac_cpm_epi	lcam_diff	30	0.01358575452611764	0.9431960193519738	0.975605757625209
sample Tumor V2 beads	tac_cpm_immune	lcam_diff	30	-0.13637374860956616	0.4724006694910636	0.9020961915179546
sample Tumor V2 beads	frac_gate	lcam_diff	30	-0.054505005561735265	0.774829447329479	0.9406336425834375
sample Tumor V2 beads	tac_cpm_all	cd8_trm_of_T	30	-0.03314794215795328	0.8619506877791012	0.9406336425834375
sample Tumor V2 beads	tac_cpm_gate	cd8_trm_of_T	30	-0.020689655172413793	0.9135847422192583	0.9675802908908061
sample Tumor V2 beads	tac_cpm_epi	cd8_trm_of_T	30	0.0033407593097010595	0.986021310610554	0.986021310610554
sample Tumor V2 beads	tac_cpm_all	cd8_broad_of_T	30	0.13103448275862067	0.49007218485927995	0.9020961915179546
sample Tumor V2 beads	tac_cpm_gate	cd8_broad_of_T	30	0.11012235817575085	0.5623853600295883	0.9020961915179546
sample Tumor V2 beads	tac_cpm_epi	cd8_broad_of_T	30	0.18084643729848401	0.3388881579861712	0.8306892653075659
sample Tumor V2 beads	tac_cpm_all	cd8a_cpm_immune	30	0.19733036707452725	0.29592186023013933	0.8094216542857646
sample Tumor V2 beads	tac_cpm_gate	cd8a_cpm_immune	30	0.2040044493882091	0.2795541796207105	0.802719858625183
sample Tumor V2 beads	tac_cpm_epi	cd8a_cpm_immune	30	0.10244995216416582	0.5900809766415795	0.9020961915179546
sample Tumor V2 beads	tac_cpm_all	bulk_lcam_diff	30	0.07230255839822024	0.7041773195709669	0.9274633572987216
sample Tumor V2 beads	tac_cpm_gate	bulk_lcam_diff	30	0.1408231368186874	0.4579319987889402	0.9020961915179546
sample Tumor V2 beads	frac_gate	cd8_trm_of_T	30	0.04827586206896552	0.8000133620903566	0.9406336425834375
sample Tumor V2 beads	epcam_cpm_all	lcam_diff	30	0.1568409343715239	0.4078453205840991	0.8629148361831992
sample Tumor V2 beads	epcam_cpm_all	cd8_trm_of_T	30	-0.22269187986651834	0.2368765131786139	0.7557488753793873
sample Tumor with ADT (CITE-seq)	tac_cpm_all	lcam_diff	20	0.037593984962406006	0.8749652018566715	0.9406336425834375
sample Tumor with ADT (CITE-seq)	tac_cpm_gate	lcam_diff	20	0.17142857142857143	0.46988617281087536	0.9020961915179546
sample Tumor with ADT (CITE-seq)	tac_cpm_epi	lcam_diff	20	-0.05572295475915675	0.8155009094845299	0.9406336425834375
sample Tumor with ADT (CITE-seq)	tac_cpm_immune	lcam_diff	20	-0.5293233082706766	0.016394084731294382	0.4016068068809027
sample Tumor with ADT (CITE-seq)	frac_gate	lcam_diff	20	0.34736842105263155	0.13344922901624712	0.6237975588898993
sample Tumor with ADT (CITE-seq)	tac_cpm_all	cd8_trm_of_T	20	-0.11729323308270674	0.622378981763022	0.9020961915179546
sample Tumor with ADT (CITE-seq)	tac_cpm_gate	cd8_trm_of_T	20	-0.11428571428571428	0.6313917305184383	0.9064981273871864
sample Tumor with ADT (CITE-seq)	tac_cpm_epi	cd8_trm_of_T	20	0.0662651353892675	0.7813424933572557	0.9406336425834375
sample Tumor with ADT (CITE-seq)	tac_cpm_all	cd8_broad_of_T	20	0.08421052631578946	0.7241036435108114	0.9342446950160359
sample Tumor with ADT (CITE-seq)	tac_cpm_gate	cd8_broad_of_T	20	0.05413533834586466	0.8206745196973448	0.9406336425834375
sample Tumor with ADT (CITE-seq)	tac_cpm_epi	cd8_broad_of_T	20	-0.006024103217206135	0.9798906554461287	0.9847901087233594
sample Tumor with ADT (CITE-seq)	tac_cpm_all	cd8a_cpm_immune	20	0.39999999999999997	0.08055387210850923	0.588062991067213
sample Tumor with ADT (CITE-seq)	tac_cpm_gate	cd8a_cpm_immune	20	0.5097744360902255	0.02166896662153533	0.4016068068809027
sample Tumor with ADT (CITE-seq)	tac_cpm_epi	cd8a_cpm_immune	20	0.37500042527108196	0.10327896419688029	0.588062991067213
sample Tumor with ADT (CITE-seq)	tac_cpm_all	bulk_lcam_diff	20	0.14736842105263157	0.5352473458918693	0.9020961915179546
sample Tumor with ADT (CITE-seq)	tac_cpm_gate	bulk_lcam_diff	20	0.28421052631578947	0.2245845982112046	0.7280887780718085
sample Tumor with ADT (CITE-seq)	frac_gate	cd8_trm_of_T	20	-0.44360902255639095	0.05008922172295619	0.529891240332326
sample Tumor with ADT (CITE-seq)	epcam_cpm_all	lcam_diff	20	0.6330827067669172	0.0027337868790513393	0.18316372089643973
sample Tumor with ADT (CITE-seq)	epcam_cpm_all	cd8_trm_of_T	20	-0.6090225563909774	0.004370507553662533	0.21303938458148325
patient Tumor CITE-seq ADT	tac_cpm_all	adt_CD8_imm	8	-0.6666666666666669	0.07098765432098755	0.588062991067213
patient Tumor CITE-seq ADT	tac_cpm_gate	adt_CD8_imm	8	-0.14285714285714288	0.735764859879812	0.9360046635179887
patient Tumor CITE-seq ADT	tac_cpm_epi	adt_CD8_imm	8	0.28571428571428575	0.49272624501695717	0.9020961915179546
patient Tumor CITE-seq ADT	adt_EPCAM_mean	lcam_diff	2			
