n_kl	n_kp	n5vs5	mean_kl	mean_kp	sd_kl	sd_kp	delta	welch_t	welch_df	welch_p	abs_t	min_kl	max_kp	complete_separation	U	mw_p	cliffs_delta	endpoint	dropped	arm_dropped	short
5	4	False	7.348401041158039	3.996396835349887	0.26377731900213797	0.7705995316121145	3.352004205808152	8.318586060054182	3.5652820098465035	0.0018527360887308042	8.318586060054182	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	B6AL10-1-RNA	KP	KP B6AL10-1
5	4	False	7.348401041158039	3.963556376241984	0.26377731900213797	0.7416719142556619	3.384844664916055	8.698124296283364	3.610139077406484	0.0015076825709087222	8.698124296283364	7.069169147857404	4.4138290099685715	True	20.0	0.015873015873015872	1.0	TJ7	B6AL10-2-RNA	KP	KP B6AL10-2
5	4	False	7.348401041158039	4.386211923989345	0.26377731900213797	0.12127891949580179	2.962189117168694	22.332884473259863	5.8487372246167455	6.927227645971231e-07	22.332884473259863	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	B6AL10-3-RNA	KP	KP B6AL10-3
5	4	False	7.348401041158039	4.031234337923788	0.26377731900213797	0.7902607667330157	3.3171667032342507	8.044276790573702	3.537535587985928	0.0021431904774656813	8.044276790573702	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	B6AL10-4-RNA	KP	KP B6AL10-4
5	4	False	7.348401041158039	4.022016877863114	0.26377731900213797	0.7861086064227588	3.326384163294925	8.105724609119623	3.5432239014529605	0.0020752837421842392	8.105724609119623	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	B6AL10-5-RNA	KP	KP B6AL10-5
4	5	False	7.418209014483198	4.079883270273624	0.2455272104978055	0.6929773825111354	3.338325744209574	10.01482751321348	5.183648483111892	0.000138090556668282	10.01482751321348	7.242771916840016	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	KL155mix-control-2-RNA	KL	KL KL155
4	5	False	7.374808322237545	4.079883270273624	0.2968540641457696	0.6929773825111354	3.2949250519639213	9.588886806105435	5.649197224829302	0.00010496619684501349	9.588886806105435	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	KL47-1-untreated-1-RNA	KL	KL KL47
4	5	False	7.369485020958918	4.079883270273624	0.299679390902425	0.6929773825111354	3.2896017506852946	9.556359070707895	5.675220586628124	0.00010408205738744419	9.556359070707895	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	KLC-RNA	KL	KL KLC
4	5	False	7.242317093163162	4.079883270273624	0.1332138827052534	0.6929773825111354	3.162433822889539	9.976577951642042	4.365654217789327	0.00036210158657807174	9.976577951642042	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	KLD-RNA	KL	KL KLD
4	5	False	7.337185754947373	4.079883270273624	0.30320413540719804	0.6929773825111354	3.2573024846737493	9.441388360495985	5.707660948037141	0.00010750129954357885	9.441388360495985	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	KLE-RNA	KL	KL KLE
