Gene_Name	welch_t
ZNF518A	1.0489704476207267
C8orf74	1.048063460375589
IQGAP1	1.0477517983335254
SEPTIN12	1.0476104569197444
NSG1	1.0476005627275613
KYNU	1.0463741973952396
PKN2	1.046068462516969
FANCA	1.0460413786830391
PCDHGB1	1.0460090065721734
KRT3	1.0458546765329972
PRSS55	1.0444118265795064
PNPLA1	1.0443645381793802
PMIS2	1.0442450993190677
ITGA2B	1.04408017509667
LOXL1	1.0428947534776902
FADS2	1.0423356729156055
SEMA6B	1.0421208402301103
CC2D2A	1.0417698486171734
SAMD7	1.0417421058306209
CPQ	1.0417235081461726
PTPRJ	1.0416875932334286
P2RY4	1.041545921328722
TAC3	1.0415381219440956
CDC42BPA	1.0409836338330447
MYO15A	1.0409599059642107
PNLIPRP3	1.0409464656239065
MT3	1.0402017086069775
AL359736.1	1.039813980249555
GPLD1	1.039545963182339
OTOR	1.0392557769863506
AC097636.1	1.0384492586818848
AC025287.4	1.0381740740193588
EXOC1L	1.0379818787222572
CKAP2	1.0379694480980106
TEX47	1.0376442259618832
NCR3LG1	1.0372162346919853
LY96	1.0368881455940389
KLHL41	1.0368440971359936
TH	1.036441922830319
AL662899.2	1.0362884819562612
ANKRD31	1.0352403078069847
IHH	1.035071610052459
SYNDIG1	1.0344472071648432
INSYN1	1.0343747108847943
PRR9	1.0339863480422236
PLSCR5	1.0338006625833944
CCDC74B	1.0334623453292588
AQP4	1.0334596285209614
CABP2	1.033084944634255
OGA	1.0330782139904109
MRPS31	1.032681622592173
C11orf42	1.0317854681727785
LRRC74A	1.0313226669110287
ZNF528	1.0310648471243598
PDC	1.0293880042531798
FAM166B	1.029006167747336
AC009690.3	1.0281566322969533
OOSP2	1.0264779500355403
ASB18	1.0251189562937908
LGALS7B	1.0251124357761496
SLC15A5	1.024379431808904
CORO1A	1.0242445211728297
P2RX3	1.023645748408954
OR6J1	1.023449472285304
PROZ	1.0223527114281141
GCFC2	1.0221264966260428
SCARA3	1.0219553227353917
AL354761.1	1.0214527593193825
ADAM7	1.0206488846584092
GCSAML	1.0197092287776792
RHOXF1	1.0195685307564994
LYZL2	1.0176966832279035
CLDN20	1.017299699547615
TAZ	1.0172893208226736
SLC22A6	1.0170611734203283
NT5C3A	1.016427693513752
ESCO1	1.0141443118670963
NEURL4	1.0136948391391107
MOGAT1	1.0130172904242005
ARGFX	1.0124866883825632
MARCOL	1.0124648272185732
LRTM1	1.012448452230902
NIM1K	1.0123861889720902
ZRANB1	1.0116856387411266
LILRA2	1.0113195641489388
LSMEM1	1.0108283959448006
DIO2	1.0105290852856093
FAM107A	1.0103496833712196
NXPE2	1.00993816316787
CD109	1.00984968140114
TULP2	1.0072824638244737
ANXA10	1.0071913755532258
GRK7	1.0062446345518836
IL2RB	1.006239794739463
PREP	1.0059718199548975
PDZD3	1.005815305046323
CCDC82	1.0057352976194252
ILDR2	1.0052347997573414
RAI1	1.005169817905819
AMDHD1	1.0050917059918314
SIGLECL1	1.004653120495123
OR14A16	1.0045027247215987
SMTNL2	1.00324035731664
OGT	1.003208127603658
PCDHA4	1.0031545697332542
AL021546.1	1.0030934942871794
B4GALNT4	1.0030865885450408
FAM72C	1.0024872252291288
DNAAF6	1.0021350162843552
RASIP1	1.000366079608451
ELP3	1.0001590498069022
AC008403.1	1.0000000000000029
AC104304.2	1.0000000000000027
CXorf49B	1.0000000000000024
AC004080.3	1.0000000000000018
SSX2	1.0000000000000013
H2BE1	1.0000000000000013
AC009133.6	1.000000000000001
AL353572.3	1.000000000000001
AC022384.1	1.0000000000000002
CDY2B	1.0000000000000002
AL049844.1	1.0000000000000002
OPN1MW	1.0
DAZ4	1.0
SPINK14	1.0
LLCFC1	0.9999999999999998
AC010327.2	0.9999999999999998
H2AB3	0.9999999999999998
AC243547.3	0.9999999999999997
AMY1C	0.9999999999999997
AC135068.3	0.9999999999999997
AC026786.1	0.9999999999999993
GUCA1A	0.9999999999999991
AC008695.1	0.9999999999999991
AC092017.2	0.999999999999999
AC002094.3	0.9999999999999989
SMIM34A	0.9999999999999988
OCM2	0.9999999999999988
NMS	0.9999999999999987
SMIM11A	0.9999999999999986
KRTAP9-8	0.9999999999999986
PRR23D2	0.9999999999999986
AL357075.4	0.9999999999999983
AL355315.1	0.9999999999999981
GSTT4	0.9999999999999979
ADH7	0.999956344660276
TMTC3	0.9993837063505605
HHIPL1	0.9976531173278749
FGF21	0.9975264500198752
AQR	0.9973562386783873
SPATA3	0.996396298864432
UBA1	0.9962862864808607
LPO	0.9950077583622963
SCGB1A1	0.994983481580508
ATP1A4	0.9949519773406036
PPFIA4	0.9941490049606938
TMEM132D	0.9936443743640008
SLC44A5	0.993604611009266
HDAC4	0.9933783815017068
SLC10A1	0.9921202407500509
IQCG	0.9921154405308233
PSG3	0.9908094266977072
ZIC2	0.9893157368226827
HTRA3	0.9884460204913421
FIP1L1	0.9882544919230642
GPR12	0.987398805322694
NPY4R2	0.9869507082297447
ALG6	0.9867476035883869
NCL	0.9866963418492077
CCL1	0.9855814477737042
GJA8	0.9853158597174688
GLT6D1	0.9852923241975357
RBL1	0.9843548429891835
CHAD	0.9841272924405621
BTBD17	0.9839329950452045
JHY	0.9839206976726921
ALDH1A1	0.9838754852712742
BEST2	0.9837911325535159
HECW2	0.9828370274492242
RIPPLY2	0.9821799774071343
FSCN3	0.982094731713057
SLC22A2	0.982048905382713
MSL2	0.9816938678602765
PLCXD2	0.9815668012908657
SYT11	0.981441395873455
STK4	0.9810908413449898
EBF4	0.9810288603218936
ANKFN1	0.981024906804907
HAVCR1	0.9809007182116072
AC026464.4	0.9803441967164916
C1QTNF2	0.9802486805613115
USP25	0.9799683092071555
OR51L1	0.9796857588213134
FCRLA	0.9795970343514416
AP001931.2	0.9791602951158696
AC012213.5	0.978567900023749
IGFBP6	0.9783931361572216
KLHL5	0.9771698799719343
ZFP14	0.9767306657596002
SFI1	0.9766840494540384
IQCA1L	0.9760579478127478
KCNV2	0.9749895740470554
ZFYVE16	0.9749804299488286
CDHR2	0.9738121409953693
PRSS38	0.9734763824526058
LGR6	0.973446173321116
ASB14	0.973303786350318
AC000120.3	0.9732414987802208
KLK2	0.9732275824289549
HES5	0.973081643706171
PACRG	0.9723541093533549
CYP26B1	0.9723158804136264
COL4A4	0.9721314940010348
AC098582.1	0.9719390780812978
SLC36A3	0.9712519587487822
ZNF14	0.970916540016576
LY6G6D	0.9706679808833064
KIAA1614	0.9695615629544059
SMIM28	0.9691646560147661
PCDHGA7	0.9686538966252848
NPFFR2	0.9680839707692324
MYOD1	0.967216954359498
C16orf82	0.9667695947240436
PROP1	0.9664316613014865
XPO7	0.9662346762919363
PLPPR1	0.9660828525116381
BTG4	0.9658584044967871
MARCO	0.9658575443399611
TXNDC8	0.9650509445016139
