dataset,gene,sample,group,is_control,value_log2,value_type,is_icb_arm
GSE157880,Tacstd2,0-2_S14,IgG 0Gy,True,2.0712409535555585,log2(abundance+1),False
GSE157880,Tacstd2,0-3_S15,IgG 0Gy,True,2.3764570950111645,log2(abundance+1),False
GSE157880,Tacstd2,4_2_S26,IgG 4Gy,False,3.9431993296896377,log2(abundance+1),False
GSE157880,Tacstd2,4_3_S27,IgG 4Gy,False,4.330436497188438,log2(abundance+1),False
GSE157880,Tacstd2,8_1_S31,IgG 8Gy,False,1.6581794859921106,log2(abundance+1),False
GSE157880,Tacstd2,8_2_S32,IgG 8Gy,False,1.888939977694278,log2(abundance+1),False
GSE157880,Tacstd2,8_3_S33,IgG 8Gy,False,1.8385282722940797,log2(abundance+1),False
GSE157880,Tacstd2,0-4_S16,PD-1 0Gy,False,2.4084102491846466,log2(abundance+1),True
GSE157880,Tacstd2,0-5_S17,PD-1 0Gy,False,3.0027583191089473,log2(abundance+1),True
GSE157880,Tacstd2,4_4_S28,PD-1 4Gy,False,3.864978480535735,log2(abundance+1),True
GSE157880,Tacstd2,4_5_S29,PD-1 4Gy,False,3.5741620733605255,log2(abundance+1),True
GSE157880,Tacstd2,4_6_S30,PD-1 4Gy,False,3.890193736782496,log2(abundance+1),True
GSE157880,Tacstd2,8_4_S34,PD-1 8Gy,False,1.4732414152339603,log2(abundance+1),True
GSE157880,Tacstd2,8_5_S35,PD-1 8Gy,False,2.6796737595192175,log2(abundance+1),True
GSE157880,Tacstd2,8_6_S36,PD-1 8Gy,False,2.622126808356269,log2(abundance+1),True
GSE309199,Pdcd1,1_296701_S2,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Pdcd1,2_299538_S3,Ctrl,True,0.7072533810720737,log2(CPM+1),False
GSE309199,Pdcd1,3_300334_S4,Ctrl,True,0.1991498171813523,log2(CPM+1),False
GSE309199,Pdcd1,4_295947_S5,aPD1,False,0.8877318285922896,log2(CPM+1),True
GSE309199,Pdcd1,5_295948_S1,aPD1,False,0.15709398226407775,log2(CPM+1),True
GSE309199,Pdcd1,6_299534_S6,aPD1,False,0.5709271795808155,log2(CPM+1),True
GSE309199,Pdcd1,7_295936_S7,entinostat,False,0.840542457718879,log2(CPM+1),False
GSE309199,Pdcd1,8_295932_S8,entinostat,False,0.6325508832439111,log2(CPM+1),False
GSE309199,Pdcd1,9_295951_S9,entinostat,False,0.39245421548536835,log2(CPM+1),False
GSE309199,Pdcd1,10_295933_S10,aPD1+entinostat,False,0.21383237195295604,log2(CPM+1),True
GSE309199,Pdcd1,11_296689_S11,aPD1+entinostat,False,0.6353358951523035,log2(CPM+1),True
GSE309199,Pdcd1,12_298090_S12,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Prf1,1_296701_S2,Ctrl,True,0.05246562040371465,log2(CPM+1),False
GSE309199,Prf1,2_299538_S3,Ctrl,True,0.24328521886585672,log2(CPM+1),False
GSE309199,Prf1,3_300334_S4,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Prf1,4_295947_S5,aPD1,False,0.12162344296141793,log2(CPM+1),True
GSE309199,Prf1,5_295948_S1,aPD1,False,0.15709398226407775,log2(CPM+1),True
GSE309199,Prf1,6_299534_S6,aPD1,False,0.34449898649115457,log2(CPM+1),True
GSE309199,Prf1,7_295936_S7,entinostat,False,0.135981880450161,log2(CPM+1),False
GSE309199,Prf1,8_295932_S8,entinostat,False,0.4827879692602182,log2(CPM+1),False
GSE309199,Prf1,9_295951_S9,entinostat,False,0.5237368105145155,log2(CPM+1),False
GSE309199,Prf1,10_295933_S10,aPD1+entinostat,False,0.655492530908637,log2(CPM+1),True
GSE309199,Prf1,11_296689_S11,aPD1+entinostat,False,0.3832919385675377,log2(CPM+1),True
GSE309199,Prf1,12_298090_S12,aPD1+entinostat,False,0.43371466403478404,log2(CPM+1),True
GSE309199,Cd274,1_296701_S2,Ctrl,True,1.1519753810436908,log2(CPM+1),False
GSE309199,Cd274,2_299538_S3,Ctrl,True,2.2862290348228096,log2(CPM+1),False
GSE309199,Cd274,3_300334_S4,Ctrl,True,2.147035600187352,log2(CPM+1),False
GSE309199,Cd274,4_295947_S5,aPD1,False,2.2839724985068264,log2(CPM+1),True
GSE309199,Cd274,5_295948_S1,aPD1,False,1.9863200886591315,log2(CPM+1),True
GSE309199,Cd274,6_299534_S6,aPD1,False,2.4174692175490455,log2(CPM+1),True
GSE309199,Cd274,7_295936_S7,entinostat,False,2.658250881577959,log2(CPM+1),False
GSE309199,Cd274,8_295932_S8,entinostat,False,2.349564988841348,log2(CPM+1),False
GSE309199,Cd274,9_295951_S9,entinostat,False,2.2858588454322457,log2(CPM+1),False
GSE309199,Cd274,10_295933_S10,aPD1+entinostat,False,3.1264146946595637,log2(CPM+1),True
GSE309199,Cd274,11_296689_S11,aPD1+entinostat,False,2.9124453024656947,log2(CPM+1),True
GSE309199,Cd274,12_298090_S12,aPD1+entinostat,False,2.4519398724312027,log2(CPM+1),True
GSE309199,Cxcl9,1_296701_S2,Ctrl,True,0.24510462504936872,log2(CPM+1),False
GSE309199,Cxcl9,2_299538_S3,Ctrl,True,0.38531140415229415,log2(CPM+1),False
GSE309199,Cxcl9,3_300334_S4,Ctrl,True,0.10300851717312379,log2(CPM+1),False
GSE309199,Cxcl9,4_295947_S5,aPD1,False,1.3691883142550474,log2(CPM+1),True
GSE309199,Cxcl9,5_295948_S1,aPD1,False,0.0806841663588811,log2(CPM+1),True
GSE309199,Cxcl9,6_299534_S6,aPD1,False,0.28186791925362176,log2(CPM+1),True
GSE309199,Cxcl9,7_295936_S7,entinostat,False,0.10316903029492408,log2(CPM+1),False
GSE309199,Cxcl9,8_295932_S8,entinostat,False,0.08562161348209302,log2(CPM+1),False
GSE309199,Cxcl9,9_295951_S9,entinostat,False,0.0,log2(CPM+1),False
GSE309199,Cxcl9,10_295933_S10,aPD1+entinostat,False,0.08937063078017217,log2(CPM+1),True
GSE309199,Cxcl9,11_296689_S11,aPD1+entinostat,False,1.2360844231960726,log2(CPM+1),True
GSE309199,Cxcl9,12_298090_S12,aPD1+entinostat,False,0.12124983330449358,log2(CPM+1),True
GSE309199,Cxcl10,1_296701_S2,Ctrl,True,0.1993023068280655,log2(CPM+1),False
GSE309199,Cxcl10,2_299538_S3,Ctrl,True,0.9244918592311385,log2(CPM+1),False
GSE309199,Cxcl10,3_300334_S4,Ctrl,True,0.8787561015072413,log2(CPM+1),False
GSE309199,Cxcl10,4_295947_S5,aPD1,False,0.6657471076146058,log2(CPM+1),True
GSE309199,Cxcl10,5_295948_S1,aPD1,False,0.8974661302893349,log2(CPM+1),True
GSE309199,Cxcl10,6_299534_S6,aPD1,False,1.8651894328370369,log2(CPM+1),True
GSE309199,Cxcl10,7_295936_S7,entinostat,False,0.7795480374479754,log2(CPM+1),False
GSE309199,Cxcl10,8_295932_S8,entinostat,False,0.6325508832439111,log2(CPM+1),False
GSE309199,Cxcl10,9_295951_S9,entinostat,False,0.08749663830189697,log2(CPM+1),False
GSE309199,Cxcl10,10_295933_S10,aPD1+entinostat,False,0.5649094679857316,log2(CPM+1),True
GSE309199,Cxcl10,11_296689_S11,aPD1+entinostat,False,1.2529293194982685,log2(CPM+1),True
GSE309199,Cxcl10,12_298090_S12,aPD1+entinostat,False,0.8154647499743157,log2(CPM+1),True
GSE309199,Cldn4,1_296701_S2,Ctrl,True,0.02647129525725725,log2(CPM+1),False
GSE309199,Cldn4,2_299538_S3,Ctrl,True,0.9852478600262613,log2(CPM+1),False
GSE309199,Cldn4,3_300334_S4,Ctrl,True,0.37411386153406423,log2(CPM+1),False
GSE309199,Cldn4,4_295947_S5,aPD1,False,0.04169083385239389,log2(CPM+1),True
GSE309199,Cldn4,5_295948_S1,aPD1,False,1.2512441730233774,log2(CPM+1),True
GSE309199,Cldn4,6_299534_S6,aPD1,False,0.8552959992489124,log2(CPM+1),True
GSE309199,Cldn4,7_295936_S7,entinostat,False,1.7107588702348282,log2(CPM+1),False
GSE309199,Cldn4,8_295932_S8,entinostat,False,3.261659064351521,log2(CPM+1),False
GSE309199,Cldn4,9_295951_S9,entinostat,False,1.8077652612725577,log2(CPM+1),False
GSE309199,Cldn4,10_295933_S10,aPD1+entinostat,False,2.090583766164721,log2(CPM+1),True
GSE309199,Cldn4,11_296689_S11,aPD1+entinostat,False,1.2529293194982685,log2(CPM+1),True
GSE309199,Cldn4,12_298090_S12,aPD1+entinostat,False,2.44421319761628,log2(CPM+1),True
GSE309199,Tacstd2,1_296701_S2,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Tacstd2,2_299538_S3,Ctrl,True,1.3511295607388136,log2(CPM+1),False
GSE309199,Tacstd2,3_300334_S4,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Tacstd2,4_295947_S5,aPD1,False,0.08221065151704171,log2(CPM+1),True
GSE309199,Tacstd2,5_295948_S1,aPD1,False,1.3843504503496005,log2(CPM+1),True
GSE309199,Tacstd2,6_299534_S6,aPD1,False,1.3585750702411654,log2(CPM+1),True
GSE309199,Tacstd2,7_295936_S7,entinostat,False,1.7323776590872453,log2(CPM+1),False
GSE309199,Tacstd2,8_295932_S8,entinostat,False,1.5934877851492282,log2(CPM+1),False
GSE309199,Tacstd2,9_295951_S9,entinostat,False,1.1295948853918427,log2(CPM+1),False
GSE309199,Tacstd2,10_295933_S10,aPD1+entinostat,False,2.310970968321484,log2(CPM+1),True
GSE309199,Tacstd2,11_296689_S11,aPD1+entinostat,False,1.0169268575372716,log2(CPM+1),True
GSE309199,Tacstd2,12_298090_S12,aPD1+entinostat,False,1.1170453856837017,log2(CPM+1),True
GSE309199,Cd8a,1_296701_S2,Ctrl,True,0.17584405342221573,log2(CPM+1),False
GSE309199,Cd8a,2_299538_S3,Ctrl,True,0.24328521886585672,log2(CPM+1),False
GSE309199,Cd8a,3_300334_S4,Ctrl,True,0.37411386153406423,log2(CPM+1),False
GSE309199,Cd8a,4_295947_S5,aPD1,False,1.3360622020711594,log2(CPM+1),True
GSE309199,Cd8a,5_295948_S1,aPD1,False,0.3646812716635485,log2(CPM+1),True
GSE309199,Cd8a,6_299534_S6,aPD1,False,0.4045238300943049,log2(CPM+1),True
GSE309199,Cd8a,7_295936_S7,entinostat,False,0.3185783586086039,log2(CPM+1),False
GSE309199,Cd8a,8_295932_S8,entinostat,False,0.6325508832439111,log2(CPM+1),False
GSE309199,Cd8a,9_295951_S9,entinostat,False,0.6440630153269821,log2(CPM+1),False
GSE309199,Cd8a,10_295933_S10,aPD1+entinostat,False,0.7948678966915147,log2(CPM+1),True
GSE309199,Cd8a,11_296689_S11,aPD1+entinostat,False,0.6858318939922182,log2(CPM+1),True
GSE309199,Cd8a,12_298090_S12,aPD1+entinostat,False,0.6098120385581709,log2(CPM+1),True
GSE309199,Nkg7,1_296701_S2,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Nkg7,2_299538_S3,Ctrl,True,0.2679485712567176,log2(CPM+1),False
GSE309199,Nkg7,3_300334_S4,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Nkg7,4_295947_S5,aPD1,False,0.08221065151704171,log2(CPM+1),True
GSE309199,Nkg7,5_295948_S1,aPD1,False,0.0,log2(CPM+1),True
GSE309199,Nkg7,6_299534_S6,aPD1,False,0.14780681551560482,log2(CPM+1),True
GSE309199,Nkg7,7_295936_S7,entinostat,False,0.19945013291038086,log2(CPM+1),False
GSE309199,Nkg7,8_295932_S8,entinostat,False,0.0,log2(CPM+1),False
GSE309199,Nkg7,9_295951_S9,entinostat,False,0.08749663830189697,log2(CPM+1),False
GSE309199,Nkg7,10_295933_S10,aPD1+entinostat,False,0.2912155453078129,log2(CPM+1),True
GSE309199,Nkg7,11_296689_S11,aPD1+entinostat,False,0.6353358951523035,log2(CPM+1),True
GSE309199,Nkg7,12_298090_S12,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Cd3d,1_296701_S2,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Cd3d,2_299538_S3,Ctrl,True,0.9852478600262613,log2(CPM+1),False
GSE309199,Cd3d,3_300334_S4,Ctrl,True,0.4280177811586177,log2(CPM+1),False
GSE309199,Cd3d,4_295947_S5,aPD1,False,1.6907658965550396,log2(CPM+1),True
GSE309199,Cd3d,5_295948_S1,aPD1,False,0.0,log2(CPM+1),True
GSE309199,Cd3d,6_299534_S6,aPD1,False,0.46215071452715634,log2(CPM+1),True
GSE309199,Cd3d,7_295936_S7,entinostat,False,0.4286156610567515,log2(CPM+1),False
GSE309199,Cd3d,8_295932_S8,entinostat,False,0.27977674371028294,log2(CPM+1),False
GSE309199,Cd3d,9_295951_S9,entinostat,False,0.16998883965281966,log2(CPM+1),False
GSE309199,Cd3d,10_295933_S10,aPD1+entinostat,False,0.9698149487758683,log2(CPM+1),True
GSE309199,Cd3d,11_296689_S11,aPD1+entinostat,False,1.5676489774549447,log2(CPM+1),True
GSE309199,Cd3d,12_298090_S12,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Cd3e,1_296701_S2,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Cd3e,2_299538_S3,Ctrl,True,0.2679485712567176,log2(CPM+1),False
GSE309199,Cd3e,3_300334_S4,Ctrl,True,0.13577267212869062,log2(CPM+1),False
GSE309199,Cd3e,4_295947_S5,aPD1,False,0.4032832887917541,log2(CPM+1),True
GSE309199,Cd3e,5_295948_S1,aPD1,False,0.2987494580330531,log2(CPM+1),True
GSE309199,Cd3e,6_299534_S6,aPD1,False,0.0757954662026205,log2(CPM+1),True
GSE309199,Cd3e,7_295936_S7,entinostat,False,0.0,log2(CPM+1),False
GSE309199,Cd3e,8_295932_S8,entinostat,False,0.08562161348209302,log2(CPM+1),False
GSE309199,Cd3e,9_295951_S9,entinostat,False,0.0,log2(CPM+1),False
GSE309199,Cd3e,10_295933_S10,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Cd3e,11_296689_S11,aPD1+entinostat,False,0.5561149203111819,log2(CPM+1),True
GSE309199,Cd3e,12_298090_S12,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Ifng,1_296701_S2,Ctrl,True,0.10309001808403172,log2(CPM+1),False
GSE309199,Ifng,2_299538_S3,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Ifng,3_300334_S4,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Ifng,4_295947_S5,aPD1,False,0.0,log2(CPM+1),True
GSE309199,Ifng,5_295948_S1,aPD1,False,0.0,log2(CPM+1),True
GSE309199,Ifng,6_299534_S6,aPD1,False,0.0,log2(CPM+1),True
GSE309199,Ifng,7_295936_S7,entinostat,False,0.0,log2(CPM+1),False
GSE309199,Ifng,8_295932_S8,entinostat,False,0.0,log2(CPM+1),False
GSE309199,Ifng,9_295951_S9,entinostat,False,0.0,log2(CPM+1),False
GSE309199,Ifng,10_295933_S10,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Ifng,11_296689_S11,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Ifng,12_298090_S12,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Gzmb,1_296701_S2,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Gzmb,2_299538_S3,Ctrl,True,0.2679485712567176,log2(CPM+1),False
GSE309199,Gzmb,3_300334_S4,Ctrl,True,0.0,log2(CPM+1),False
GSE309199,Gzmb,4_295947_S5,aPD1,False,0.3709396009374067,log2(CPM+1),True
GSE309199,Gzmb,5_295948_S1,aPD1,False,0.0,log2(CPM+1),True
GSE309199,Gzmb,6_299534_S6,aPD1,False,0.14780681551560482,log2(CPM+1),True
GSE309199,Gzmb,7_295936_S7,entinostat,False,0.0695924768015484,log2(CPM+1),False
GSE309199,Gzmb,8_295932_S8,entinostat,False,0.16644515171963858,log2(CPM+1),False
GSE309199,Gzmb,9_295951_S9,entinostat,False,0.08749663830189697,log2(CPM+1),False
GSE309199,Gzmb,10_295933_S10,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE309199,Gzmb,11_296689_S11,aPD1+entinostat,False,0.22155517584520673,log2(CPM+1),True
GSE309199,Gzmb,12_298090_S12,aPD1+entinostat,False,0.0,log2(CPM+1),True
GSE169196,Pdcd1,GSM5182757,IgG,True,2.3739411831543538,log2(CPM+1),False
GSE169196,Cxcl9,GSM5182757,IgG,True,2.4704438704044356,log2(CPM+1),False
GSE169196,Cxcl10,GSM5182757,IgG,True,2.851112118424189,log2(CPM+1),False
GSE169196,Tacstd2,GSM5182757,IgG,True,5.045882360396553,log2(CPM+1),False
GSE169196,Cd8a,GSM5182757,IgG,True,2.87481542126334,log2(CPM+1),False
GSE169196,Prf1,GSM5182757,IgG,True,3.3425619320688393,log2(CPM+1),False
GSE169196,Ifng,GSM5182757,IgG,True,0.7800416393916959,log2(CPM+1),False
GSE169196,Gzmb,GSM5182757,IgG,True,4.296214461968745,log2(CPM+1),False
GSE169196,Cd3d,GSM5182757,IgG,True,3.132487136101792,log2(CPM+1),False
GSE169196,Cd3e,GSM5182757,IgG,True,3.71504796476367,log2(CPM+1),False
GSE169196,Cldn4,GSM5182757,IgG,True,4.783230124603632,log2(CPM+1),False
GSE169196,Cd274,GSM5182757,IgG,True,6.165144229039763,log2(CPM+1),False
GSE169196,Pdcd1,GSM5182761,IgG,True,4.789953573788135,log2(CPM+1),False
GSE169196,Cxcl9,GSM5182761,IgG,True,4.973671259264645,log2(CPM+1),False
GSE169196,Cxcl10,GSM5182761,IgG,True,3.768471468026778,log2(CPM+1),False
GSE169196,Tacstd2,GSM5182761,IgG,True,4.179132503041767,log2(CPM+1),False
GSE169196,Cd8a,GSM5182761,IgG,True,4.563548212741196,log2(CPM+1),False
GSE169196,Prf1,GSM5182761,IgG,True,5.76364002620219,log2(CPM+1),False
GSE169196,Ifng,GSM5182761,IgG,True,2.8288617629920325,log2(CPM+1),False
GSE169196,Gzmb,GSM5182761,IgG,True,5.95781471498415,log2(CPM+1),False
GSE169196,Cd3d,GSM5182761,IgG,True,4.373249905658942,log2(CPM+1),False
GSE169196,Cd3e,GSM5182761,IgG,True,5.972275960523105,log2(CPM+1),False
GSE169196,Cldn4,GSM5182761,IgG,True,3.3918879001828617,log2(CPM+1),False
GSE169196,Cd274,GSM5182761,IgG,True,7.104976776050777,log2(CPM+1),False
GSE169196,Pdcd1,GSM5182765,IgG,True,4.248761015898432,log2(CPM+1),False
GSE169196,Cxcl9,GSM5182765,IgG,True,5.751983152305864,log2(CPM+1),False
GSE169196,Cxcl10,GSM5182765,IgG,True,3.7405707994991904,log2(CPM+1),False
GSE169196,Tacstd2,GSM5182765,IgG,True,3.2572456411450466,log2(CPM+1),False
GSE169196,Cd8a,GSM5182765,IgG,True,4.638591843473838,log2(CPM+1),False
GSE169196,Prf1,GSM5182765,IgG,True,5.694840490836739,log2(CPM+1),False
GSE169196,Ifng,GSM5182765,IgG,True,2.704307204511405,log2(CPM+1),False
GSE169196,Gzmb,GSM5182765,IgG,True,5.750284401219663,log2(CPM+1),False
GSE169196,Cd3d,GSM5182765,IgG,True,4.06418428467129,log2(CPM+1),False
GSE169196,Cd3e,GSM5182765,IgG,True,6.171780010844038,log2(CPM+1),False
GSE169196,Cldn4,GSM5182765,IgG,True,3.9504235591626755,log2(CPM+1),False
GSE169196,Cd274,GSM5182765,IgG,True,7.164930735692045,log2(CPM+1),False
GSE169196,Pdcd1,GSM5182768,A2V,False,3.816965177760876,log2(CPM+1),False
GSE169196,Cxcl9,GSM5182768,A2V,False,3.2706946741574345,log2(CPM+1),False
GSE169196,Cxcl10,GSM5182768,A2V,False,3.4741043134861322,log2(CPM+1),False
GSE169196,Tacstd2,GSM5182768,A2V,False,5.280875677233569,log2(CPM+1),False
GSE169196,Cd8a,GSM5182768,A2V,False,3.569532312951022,log2(CPM+1),False
GSE169196,Prf1,GSM5182768,A2V,False,3.798901722971326,log2(CPM+1),False
GSE169196,Ifng,GSM5182768,A2V,False,0.8626284221231297,log2(CPM+1),False
GSE169196,Gzmb,GSM5182768,A2V,False,3.652346572963979,log2(CPM+1),False
GSE169196,Cd3d,GSM5182768,A2V,False,3.7370025768255757,log2(CPM+1),False
GSE169196,Cd3e,GSM5182768,A2V,False,4.604244603805621,log2(CPM+1),False
GSE169196,Cldn4,GSM5182768,A2V,False,4.330147745689758,log2(CPM+1),False
GSE169196,Cd274,GSM5182768,A2V,False,6.5401538142556905,log2(CPM+1),False
GSE169196,Pdcd1,GSM5182772,A2V,False,3.8039618957685746,log2(CPM+1),False
GSE169196,Cxcl9,GSM5182772,A2V,False,1.6843238130625815,log2(CPM+1),False
GSE169196,Cxcl10,GSM5182772,A2V,False,2.4899428977425884,log2(CPM+1),False
GSE169196,Tacstd2,GSM5182772,A2V,False,3.441968950847553,log2(CPM+1),False
GSE169196,Cd8a,GSM5182772,A2V,False,3.483354998402538,log2(CPM+1),False
GSE169196,Prf1,GSM5182772,A2V,False,3.7370994498811334,log2(CPM+1),False
GSE169196,Ifng,GSM5182772,A2V,False,1.33233613991501,log2(CPM+1),False
GSE169196,Gzmb,GSM5182772,A2V,False,4.082367106095136,log2(CPM+1),False
GSE169196,Cd3d,GSM5182772,A2V,False,3.4995826182205785,log2(CPM+1),False
GSE169196,Cd3e,GSM5182772,A2V,False,4.5163906418945645,log2(CPM+1),False
GSE169196,Cldn4,GSM5182772,A2V,False,2.5842607955126544,log2(CPM+1),False
GSE169196,Cd274,GSM5182772,A2V,False,6.581272947969145,log2(CPM+1),False
GSE169196,Pdcd1,GSM5182776,A2V,False,2.387418910338134,log2(CPM+1),False
GSE169196,Cxcl9,GSM5182776,A2V,False,1.6743147902548834,log2(CPM+1),False
GSE169196,Cxcl10,GSM5182776,A2V,False,3.0453044953247814,log2(CPM+1),False
GSE169196,Tacstd2,GSM5182776,A2V,False,3.5336270193045083,log2(CPM+1),False
GSE169196,Cd8a,GSM5182776,A2V,False,4.5465996212072435,log2(CPM+1),False
GSE169196,Prf1,GSM5182776,A2V,False,3.7353854718015187,log2(CPM+1),False
GSE169196,Ifng,GSM5182776,A2V,False,1.1435248591928018,log2(CPM+1),False
GSE169196,Gzmb,GSM5182776,A2V,False,3.4362631716597747,log2(CPM+1),False
GSE169196,Cd3d,GSM5182776,A2V,False,3.7915810805376458,log2(CPM+1),False
GSE169196,Cd3e,GSM5182776,A2V,False,5.046309164114878,log2(CPM+1),False
GSE169196,Cldn4,GSM5182776,A2V,False,2.8474270271866855,log2(CPM+1),False
GSE169196,Cd274,GSM5182776,A2V,False,6.863922607590785,log2(CPM+1),False
GSE169196,Pdcd1,GSM5182783,A2V+aPD1,False,4.508316233474727,log2(CPM+1),True
GSE169196,Cxcl9,GSM5182783,A2V+aPD1,False,5.858054549327532,log2(CPM+1),True
GSE169196,Cxcl10,GSM5182783,A2V+aPD1,False,4.43824668315292,log2(CPM+1),True
GSE169196,Tacstd2,GSM5182783,A2V+aPD1,False,4.674993732199761,log2(CPM+1),True
GSE169196,Cd8a,GSM5182783,A2V+aPD1,False,3.6133847097140155,log2(CPM+1),True
GSE169196,Prf1,GSM5182783,A2V+aPD1,False,6.087101488764729,log2(CPM+1),True
GSE169196,Ifng,GSM5182783,A2V+aPD1,False,2.527378522951252,log2(CPM+1),True
GSE169196,Gzmb,GSM5182783,A2V+aPD1,False,6.311095148689455,log2(CPM+1),True
GSE169196,Cd3d,GSM5182783,A2V+aPD1,False,4.491115303361138,log2(CPM+1),True
GSE169196,Cd3e,GSM5182783,A2V+aPD1,False,5.942736128386482,log2(CPM+1),True
GSE169196,Cldn4,GSM5182783,A2V+aPD1,False,3.2128373855659462,log2(CPM+1),True
GSE169196,Cd274,GSM5182783,A2V+aPD1,False,7.171294541198963,log2(CPM+1),True
GSE169196,Pdcd1,GSM5182787,A2V+aPD1,False,3.709164704260397,log2(CPM+1),True
GSE169196,Cxcl9,GSM5182787,A2V+aPD1,False,4.226545579546994,log2(CPM+1),True
GSE169196,Cxcl10,GSM5182787,A2V+aPD1,False,2.79305028316213,log2(CPM+1),True
GSE169196,Tacstd2,GSM5182787,A2V+aPD1,False,4.122554108297683,log2(CPM+1),True
GSE169196,Cd8a,GSM5182787,A2V+aPD1,False,3.6270900577212055,log2(CPM+1),True
GSE169196,Prf1,GSM5182787,A2V+aPD1,False,5.249149048046796,log2(CPM+1),True
GSE169196,Ifng,GSM5182787,A2V+aPD1,False,1.6644167507136296,log2(CPM+1),True
GSE169196,Gzmb,GSM5182787,A2V+aPD1,False,4.903587717898296,log2(CPM+1),True
GSE169196,Cd3d,GSM5182787,A2V+aPD1,False,3.0413918159138844,log2(CPM+1),True
GSE169196,Cd3e,GSM5182787,A2V+aPD1,False,4.882517171935426,log2(CPM+1),True
GSE169196,Cldn4,GSM5182787,A2V+aPD1,False,4.152200486711758,log2(CPM+1),True
GSE169196,Cd274,GSM5182787,A2V+aPD1,False,6.910996587099504,log2(CPM+1),True
GSE169196,Pdcd1,GSM5182791,A2V+aPD1,False,2.5733199594695786,log2(CPM+1),True
GSE169196,Cxcl9,GSM5182791,A2V+aPD1,False,2.6503660477124016,log2(CPM+1),True
GSE169196,Cxcl10,GSM5182791,A2V+aPD1,False,2.8809925830103875,log2(CPM+1),True
GSE169196,Tacstd2,GSM5182791,A2V+aPD1,False,4.064017663409214,log2(CPM+1),True
GSE169196,Cd8a,GSM5182791,A2V+aPD1,False,3.125476774359745,log2(CPM+1),True
GSE169196,Prf1,GSM5182791,A2V+aPD1,False,4.84010441218989,log2(CPM+1),True
GSE169196,Ifng,GSM5182791,A2V+aPD1,False,1.5383041354420488,log2(CPM+1),True
GSE169196,Gzmb,GSM5182791,A2V+aPD1,False,5.511606844787903,log2(CPM+1),True
GSE169196,Cd3d,GSM5182791,A2V+aPD1,False,3.318821937424318,log2(CPM+1),True
GSE169196,Cd3e,GSM5182791,A2V+aPD1,False,4.646823817608529,log2(CPM+1),True
GSE169196,Cldn4,GSM5182791,A2V+aPD1,False,3.5774211933591813,log2(CPM+1),True
GSE169196,Cd274,GSM5182791,A2V+aPD1,False,7.191060148727085,log2(CPM+1),True
GSE239485,Pdcd1,C_339_S25,Control vehicle,True,3.10079048022212,log2_normalised,False
GSE239485,Pdcd1,C_351_S29,Control vehicle,True,2.83504831025788,log2_normalised,False
GSE239485,Pdcd1,C_356_S27,Control vehicle,True,2.35827472229752,log2_normalised,False
GSE239485,Pdcd1,C_358_S26,Control vehicle,True,1.36266284424344,log2_normalised,False
GSE239485,Pdcd1,C_361_S32,Control vehicle,True,2.11451832147067,log2_normalised,False
GSE239485,Pdcd1,C_364_S28,Control vehicle,True,0.614606815049484,log2_normalised,False
GSE239485,Pdcd1,C_369_S30,Control vehicle,True,2.51468728313403,log2_normalised,False
GSE239485,Pdcd1,C_375_S31,Control vehicle,True,1.35968652517664,log2_normalised,False
GSE239485,Pdcd1,D_344_S33,PolyIC+anti-PD1,False,2.19633954465156,log2_normalised,True
GSE239485,Pdcd1,D_357_S37,PolyIC+anti-PD1,False,3.0936226207071,log2_normalised,True
GSE239485,Pdcd1,D_359_S39,PolyIC+anti-PD1,False,2.10337591380537,log2_normalised,True
GSE239485,Pdcd1,D_366_S34,PolyIC+anti-PD1,False,1.82518039945793,log2_normalised,True
GSE239485,Pdcd1,D_367_S35,PolyIC+anti-PD1,False,2.23804022682456,log2_normalised,True
GSE239485,Pdcd1,D_368_S36,PolyIC+anti-PD1,False,2.3511051787302,log2_normalised,True
GSE239485,Pdcd1,D_370_S38,PolyIC+anti-PD1,False,1.6935271299653,log2_normalised,True
GSE239485,Pdcd1,D_373_S40,PolyIC+anti-PD1,False,2.05738958114323,log2_normalised,True
