cohort	split	interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_class	sig_either	sig_diff
GSE291670	GSE291670	SEMA6A_PLXNA2	SEMA6	Cell-Cell Contact	SEMA6A	PLXNA2	SEMA6A	PLXNA2	outgoing	TNK	0.0005083787664477	0.0020041006572011	0.9702970297029704	0.0198019801980198	False	True	-0.0014957218907534	other	True	True
GSE291670	GSE291670	COL4A2_SDC4	COLLAGEN	ECM-Receptor	COL4A2	SDC4	COL4A2	SDC4	outgoing	TNK	0.0	0.0021123464471375	1.0	0.0099009900990099	False	True	-0.0021123464471375	other	True	True
GSE291670	GSE291670	COL4A4_SDC4	COLLAGEN	ECM-Receptor	COL4A4	SDC4	COL4A4	SDC4	outgoing	TNK	0.0014206167352918	0.0049462206575299	1.0	0.0099009900990099	False	True	-0.0035256039222381	other	True	True
GSE291670	GSE291670	TENM2_ADGRL2	ADGRL	Cell-Cell Contact	TENM2	ADGRL2	TENM2	ADGRL2	outgoing	TNK	0.0	0.0041634809562091	1.0	0.0099009900990099	False	True	-0.0041634809562091	other	True	True
GSE291670	GSE291670	COL4A3_SDC4	COLLAGEN	ECM-Receptor	COL4A3	SDC4	COL4A3	SDC4	outgoing	TNK	0.0036467865760497	0.0096245321719728	1.0	0.0099009900990099	False	True	-0.005977745595923	other	True	True
GSE291670	GSE291670	FN1_CD44	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	outgoing	TNK	0.0	0.0411918580351988	1.0	0.0099009900990099	False	True	-0.0411918580351988	other	True	True
GSE291670	GSE291670	COL4A1_CD44	COLLAGEN	ECM-Receptor	COL4A1	CD44	COL4A1	CD44	outgoing	TNK	0.0	0.061878355230192	1.0	0.0099009900990099	False	True	-0.061878355230192	other	True	True
GSE291670	GSE291670	NRG3_ERBB4	NRG	Secreted Signaling	NRG3	ERBB4	NRG3	ERBB4	outgoing	TNK	0.1967219632017502	0.2901432712774988	1.0	0.0099009900990099	False	True	-0.0934213080757485	other	True	True
GSE291670	GSE291670	CADM1_CADM1	CADM	Cell-Cell Contact	CADM1	CADM1	CADM1	CADM1	outgoing	TNK	0.6148313620119616	0.7087256555910956	1.0	0.0099009900990099	False	True	-0.0938942935791339	barrier	True	True
GSE291670	GSE291670	LAMA3_CD44	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	outgoing	TNK	0.3752983623737551	0.5105307471522159	1.0	0.0099009900990099	False	True	-0.1352323847784608	other	True	True
GSE291670	GSE291670	COL4A2_CD44	COLLAGEN	ECM-Receptor	COL4A2	CD44	COL4A2	CD44	outgoing	TNK	0.0	0.1894594564631742	1.0	0.0099009900990099	False	True	-0.1894594564631742	other	True	True
GSE291670	GSE291670	COL4A4_CD44	COLLAGEN	ECM-Receptor	COL4A4	CD44	COL4A4	CD44	outgoing	TNK	0.1357640279762507	0.354376180307906	1.0	0.0099009900990099	False	True	-0.2186121523316553	other	True	True
GSE291670	GSE291670	COL4A3_CD44	COLLAGEN	ECM-Receptor	COL4A3	CD44	COL4A3	CD44	outgoing	TNK	0.2878312666399912	0.5176292240216203	1.0	0.0099009900990099	False	True	-0.229797957381629	other	True	True
