ModelID,CellLineName,OncotreeSubtype,TACSTD2 (4070),CLDN4 (1364),release
ACH-000826,CAL-12T,"Non-Small Cell Lung Cancer (NSCLC), unspecified",8.864433796365624,8.474152084098648,20Q2
ACH-000837,NCI-H322,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.5023146876783535,7.736266619459169,20Q2
ACH-000840,HCC-366,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",4.301587646603187,1.7949356628035362,20Q2
ACH-000841,NCI-H2087,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.735048241290857,8.218684313362168,20Q2
ACH-000843,HARA,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",4.874305165982231,3.1060132376221192,20Q2
ACH-000845,NCI-H1373,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.080657663345225,7.865362111847682,20Q2
ACH-000851,MOR/CPR,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",6.181698911096105,7.561173365231147,20Q2
ACH-000852,NCI-H1435,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.284662185483166,9.016474033901016,20Q2
ACH-000853,NCI-H661,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.6599245584023783,2.0,20Q2
ACH-000858,KNS-62,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",6.757423346821803,7.1440463696167065,20Q2
ACH-000860,NCI-H358,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.100346961358104,7.8223477575970355,20Q2
ACH-000861,HOP-62,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",1.3950627995175775,4.498250867527825,20Q2
ACH-000867,ChaGo-K-1,"Non-Small Cell Lung Cancer (NSCLC), unspecified",6.6865005271832185,7.457791260256042,20Q2
ACH-000868,HCC-1195,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",6.519793486241101,8.6796208433757,20Q2
ACH-000869,NCI-H1568,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",6.128870759465125,8.202368742775262,20Q2
ACH-000872,HCC515,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",5.524815928357506,4.393004256898322,20Q2
ACH-000875,NCI-H2347,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.74001682120177,8.52061868055628,20Q2
ACH-000878,HCC-15,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",4.422905742612183,7.21393046372921,20Q2
ACH-000886,NCI-H2009,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.620952902271679,7.218974857123272,20Q2
ACH-000888,NCI-H1793,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",8.445097638043183,7.332618433653549,20Q2
ACH-000891,HCC-1438,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",6.284106911228743,1.5360529002402097,20Q2
ACH-000892,NCI-H1563,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",4.637494325206311,0.7990873060740036,20Q2
ACH-000893,NCI-H1651,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.1505596765753814,6.370513052460412,20Q2
ACH-000894,NCI-H1869,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",8.680465018379826,8.318090837568423,20Q2
ACH-000900,NCI-H23,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.3448284969974411,1.2265085298086795,20Q2
ACH-000901,HCC-1359,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.5160151470036647,2.82781902461732,20Q2
ACH-000904,NCI-H2106,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.7048719644563528,6.372081483534501,20Q2
ACH-000916,NCI-H1573,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.418695949602051,8.662312330342761,20Q2
ACH-000924,NCI-H2172,"Non-Small Cell Lung Cancer (NSCLC), unspecified",6.078310950007127,2.855989697308481,20Q2
ACH-000925,DV-90,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",6.662775171937776,9.244482766330412,20Q2
ACH-000929,NCI-H2110,"Non-Small Cell Lung Cancer (NSCLC), unspecified",8.36754580010534,8.795357859565659,20Q2
ACH-000945,NCI-H650,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",4.213347281733441,1.1243281350022014,20Q2
ACH-000951,NCI-H2342,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",7.493134922305505,8.868050853745158,20Q2
ACH-000975,,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",3.7246502717329673,1.15704371014558,20Q2
ACH-000980,NCI-H1155,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",0.2750070474998698,4.942045259916046,20Q2
ACH-001041,COLO-699,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",0.0,0.0565835283663675,20Q2
ACH-001075,NCI-H292,"Non-Small Cell Lung Cancer (NSCLC), Mucoepidermoid Carcinoma",9.21696406447202,8.138937308958628,20Q2
ACH-001078,HCC-1588,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",5.779785005301132,9.762896898427336,20Q2
ACH-001113,LC-1/sq-SF,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",2.702657543390911,6.221103725367875,20Q2
