gene,or_minus_non_or_log2,or_exact_p,or_bh_q,pfs_spearman_rho,pfs_exact_p,pfs_bh_q
ABL1,0.4367517458333321,0.8,1.0,0.4,0.5166666666666667,1.0
IL17RA,-0.4330898786666655,0.4,1.0,-0.9,0.08333333333333333,1.0
IRAK4,-0.43227040083333357,0.2,1.0,-0.6,0.35,1.0
ARG2,-0.4317722299999991,0.8,1.0,-0.4,0.5166666666666667,1.0
PLAU,-0.4314825750000004,0.5,1.0,-0.4,0.5166666666666667,1.0
IGF2R,-0.43040213866666654,0.4,1.0,0.0,1.0,1.0
BATF,-0.4300753696666666,0.7,1.0,-0.6,0.35,1.0
MERTK,-0.42946479216666766,0.6,1.0,0.2,0.7833333333333333,1.0
MME,-0.42944409650000015,0.7,1.0,-0.3,0.6833333333333333,1.0
BTK,0.4292035176666671,0.5,1.0,0.3,0.6833333333333333,1.0
ITGAX,0.4291400963333327,0.6,1.0,-0.2,0.7833333333333333,1.0
CCR6,-0.4277509753333337,0.8,1.0,-0.3,0.6833333333333333,1.0
CD47,0.42361591000000054,0.7,1.0,-0.1,0.95,1.0
LY9,0.42166404800000024,0.8,1.0,0.1,0.95,1.0
CDK1,-0.4206182156666678,0.7,1.0,-0.3,0.6833333333333333,1.0
TLR4,-0.4204324409999991,0.2,1.0,-0.5,0.45,1.0
RELB,0.41801360483333383,0.7,1.0,-0.4,0.5166666666666667,1.0
IRAK1,0.4179660708333337,0.7,1.0,0.0,1.0,1.0
IFNA1,-0.415412509666667,0.5,1.0,-0.4,0.5166666666666667,1.0
KLRK1,0.41004355783333324,0.8,1.0,-0.3,0.6833333333333333,1.0
LTF,-0.40672848516666527,1.0,1.0,0.2,0.7833333333333333,1.0
XCL2,-0.4063865353333327,0.7,1.0,-0.1,0.95,1.0
REPS1,-0.4030183161666656,0.4,1.0,-0.1,0.95,1.0
STAT2,0.40210826833333435,0.7,1.0,-0.1,0.95,1.0
S100B,-0.4017005573333323,0.8,1.0,0.0,1.0,1.0
CEBPB,0.400709449999999,0.7,1.0,0.1,0.95,1.0
PSMD7,-0.4000196183333333,0.6,1.0,0.0,1.0,1.0
PRG2,0.3991213705000005,0.8,1.0,-0.3,0.6833333333333333,1.0
HLA-A,-0.3987153716666665,0.7,1.0,-0.7,0.23333333333333334,1.0
NFKB1,0.39797340900000044,0.9,1.0,-0.1,0.95,1.0
CCR5,0.3971263995000003,0.6,1.0,-0.2,0.7833333333333333,1.0
MS4A2,-0.39593500733333364,0.6,1.0,-0.4,0.5166666666666667,1.0
CCR4,-0.39529674166666773,0.7,1.0,-0.6,0.35,1.0
SELPLG,-0.3941156476666663,0.5,1.0,-0.7,0.23333333333333334,1.0
EGR1,-0.39408916183333353,0.9,1.0,0.3,0.6833333333333333,1.0
IRF1,0.3929062065000011,0.8,1.0,-0.2,0.7833333333333333,1.0
TXNIP,-0.39114687666666903,0.8,1.0,0.0,1.0,1.0
IL2,-0.38523538499999965,0.7,1.0,-0.6,0.35,1.0
HCK,-0.3843531811666665,0.8,1.0,-0.7,0.23333333333333334,1.0
IRAK2,0.3839326596666677,0.8,1.0,-0.1,0.95,1.0
PECAM1,0.3838613346666673,0.7,1.0,0.6,0.35,1.0
INPP5D,0.3823054843333349,0.5,1.0,0.1,0.95,1.0
IRF3,-0.3822230683333343,0.4,1.0,-0.7,0.23333333333333334,1.0
TIRAP,-0.38061408883333314,0.3,1.0,-0.7,0.23333333333333334,1.0
CASP8,-0.3761197696666656,0.2,1.0,-0.5,0.45,1.0
CD79B,0.37523055900000024,0.7,1.0,0.1,0.95,1.0
IL18,-0.37484687433333264,1.0,1.0,0.4,0.5166666666666667,1.0
MAP2K1,-0.3738400900000016,0.3,1.0,-0.8,0.13333333333333333,1.0
C1QBP,-0.3678504933333322,0.4,1.0,0.0,1.0,1.0
ATM,-0.3672313536666669,0.4,1.0,-0.5,0.45,1.0
PNMA1,0.36654941200000124,0.8,1.0,0.4,0.5166666666666667,1.0
ATG7,0.36456247116666773,0.4,1.0,0.3,0.6833333333333333,1.0
FCGR2A,-0.36365293666666787,0.6,1.0,-0.7,0.23333333333333334,1.0
CLEC4C,-0.3629245034999995,0.9,1.0,-0.3,0.6833333333333333,1.0
VEGFC,0.3577574643333321,0.8,1.0,0.1,0.95,1.0
FCER2,0.3576994528333337,0.8,1.0,-0.1,0.95,1.0
ATG12,-0.3566558464999998,0.2,1.0,-0.9,0.08333333333333333,1.0
ITGA4,0.3546685209999998,0.4,1.0,0.7,0.23333333333333334,1.0
FLT3LG,0.3546125663333326,0.4,1.0,0.3,0.6833333333333333,1.0
ROPN1,-0.35286660733333264,0.9,1.0,-0.3,0.6833333333333333,1.0
SMAD3,-0.3511433790000016,0.6,1.0,0.1,0.95,1.0
PDGFC,0.35111570599999986,0.9,1.0,0.1,0.95,1.0
FAS,0.35054330133333256,0.7,1.0,-0.2,0.7833333333333333,1.0
TAP1,-0.3473089725000005,0.9,1.0,-0.5,0.45,1.0
IL18R1,0.3461011804999998,0.8,1.0,0.2,0.7833333333333333,1.0
PPBP,-0.3459322965,0.8,1.0,-0.4,0.5166666666666667,1.0
BCL10,-0.345063472333333,0.8,1.0,-0.3,0.6833333333333333,1.0
FYN,0.34161089300000036,0.7,1.0,0.4,0.5166666666666667,1.0
CD200,0.3409892354999995,0.4,1.0,0.7,0.23333333333333334,1.0
IFNA8,-0.3384453151666671,0.9,1.0,-0.3,0.6833333333333333,1.0
IL13RA2,-0.336641871166667,0.5,1.0,-0.6,0.35,1.0
LTBR,0.3328829949999985,0.7,1.0,-0.1,0.95,1.0
MRC1,-0.3320858855000015,0.7,1.0,0.1,0.95,1.0
IL15RA,0.3301203811666671,0.7,1.0,-0.1,0.95,1.0
FCGR3A,-0.32916666483333223,0.9,1.0,-0.3,0.6833333333333333,1.0
CD209,-0.3282238468333327,0.6,1.0,-0.3,0.6833333333333333,1.0
CXCR5,-0.3267634959999999,0.8,1.0,-0.4,0.5166666666666667,1.0
CD207,-0.32653814783333335,0.7,1.0,-0.4,0.5166666666666667,1.0
MICA,-0.32376784266666636,0.5,1.0,-0.5,0.45,1.0
IL25,0.32343943483333426,0.5,1.0,-0.1,0.95,1.0
TNFSF13,-0.3197225821666674,0.4,1.0,-0.7,0.23333333333333334,1.0
ADORA2A,-0.3192381691666659,0.8,1.0,-0.7,0.23333333333333334,1.0
PDCD1LG2,0.31902457866666634,0.8,1.0,-0.3,0.6833333333333333,1.0
ISG15,-0.3180830598333326,0.8,1.0,-0.3,0.6833333333333333,1.0
AMBP,0.3175054186666664,0.8,1.0,-0.2,0.7833333333333333,1.0
MUC1,-0.3159418238333327,0.8,1.0,-0.5,0.45,1.0
BLK,-0.3148241418333333,0.9,1.0,-0.3,0.6833333333333333,1.0
GZMK,0.3127442451666669,0.9,1.0,0.1,0.95,1.0
SAA1,0.3126934333333349,0.9,1.0,0.2,0.7833333333333333,1.0
CREB1,-0.31151093933333307,0.6,1.0,0.2,0.7833333333333333,1.0
PIK3CD,-0.30518999633333266,0.4,1.0,-0.7,0.23333333333333334,1.0
CD5,-0.30486013700000036,0.9,1.0,-0.3,0.6833333333333333,1.0
MARCO,-0.30433100616666575,0.8,1.0,-0.4,0.5166666666666667,1.0
CCR2,-0.30337738799999947,0.7,1.0,-0.6,0.35,1.0
HLA-C,-0.30109419499999923,0.8,1.0,-0.6,0.35,1.0
RELA,-0.30102970883333313,0.4,1.0,-0.6,0.35,1.0
TNFRSF12A,-0.3000733708333323,0.9,1.0,0.3,0.6833333333333333,1.0
IFNA7,-0.2982470123333334,1.0,1.0,0.0,1.0,1.0
CDH1,-0.2974378583333319,0.8,1.0,-0.4,0.5166666666666667,1.0
TPSAB1,0.2973191076666666,0.9,1.0,0.6,0.35,1.0
CD37,-0.2958472163333328,0.7,1.0,-0.3,0.6833333333333333,1.0
EOMES,-0.2954750431666664,0.9,1.0,-0.3,0.6833333333333333,1.0
PMCH,0.2946268696666676,0.8,1.0,-0.5,0.45,1.0
TNFRSF13C,0.29255538099999967,1.0,1.0,0.1,0.95,1.0
PTGS2,-0.29021541000000006,1.0,1.0,-0.3,0.6833333333333333,1.0
PLAUR,-0.28979518633333434,1.0,1.0,-0.2,0.7833333333333333,1.0
BST2,0.28822019199999893,0.8,1.0,-0.2,0.7833333333333333,1.0
OSM,-0.2882156008333343,0.9,1.0,-0.4,0.5166666666666667,1.0
ICAM4,-0.2853335596666655,0.9,1.0,-0.3,0.6833333333333333,1.0
IL3RA,0.2844909116666665,1.0,1.0,-0.6,0.35,1.0
AIRE,-0.28316670866666627,1.0,1.0,-0.1,0.95,1.0
FUT5,-0.2829794401666659,0.9,1.0,-0.3,0.6833333333333333,1.0
CREBBP,-0.28039037333333283,1.0,1.0,0.0,1.0,1.0
GNLY,0.27820018650000033,0.8,1.0,-0.3,0.6833333333333333,1.0
TBX21,-0.27486564400000013,0.9,1.0,-0.5,0.45,1.0
SIGLEC1,0.2731191368333352,1.0,1.0,-0.1,0.95,1.0
IL7,0.27258262600000016,0.7,1.0,-0.2,0.7833333333333333,1.0
FLT3,-0.2713558006666661,0.9,1.0,-0.3,0.6833333333333333,1.0
MAGEA4,-0.27061317766666715,0.9,1.0,0.1,0.95,1.0
PSMB8,-0.26983391333333095,0.7,1.0,-0.6,0.35,1.0
IL7R,-0.26960209416666636,0.6,1.0,-0.5,0.45,1.0
LAIR2,-0.26925125166666586,0.4,1.0,-0.8,0.13333333333333333,1.0
TNFSF11,0.2674360388333339,0.9,1.0,-0.2,0.7833333333333333,1.0
HLA-G,0.2662719063333334,0.8,1.0,-0.2,0.7833333333333333,1.0
CCR9,0.26587252983333354,0.8,1.0,-0.2,0.7833333333333333,1.0
TNFRSF1A,-0.26578145500000083,0.7,1.0,-0.7,0.23333333333333334,1.0
TLR6,-0.2635056664999995,0.7,1.0,0.1,0.95,1.0
ITK,0.25875278766666643,0.7,1.0,0.2,0.7833333333333333,1.0
CXCR3,0.25730155900000007,0.7,1.0,-0.1,0.95,1.0
SH2D1A,0.2564481943333332,0.7,1.0,-0.1,0.95,1.0
GZMM,-0.25526702999999973,0.9,1.0,-0.3,0.6833333333333333,1.0
CD276,-0.2537947186666667,0.8,1.0,0.0,1.0,1.0
ELK1,0.2536436233333328,1.0,1.0,0.2,0.7833333333333333,1.0
TNFRSF11B,0.25227039066666634,0.9,1.0,-0.1,0.95,1.0
CXCR6,-0.2514258093333339,0.7,1.0,-0.6,0.35,1.0
ENTPD1,-0.2514119396666672,1.0,1.0,0.3,0.6833333333333333,1.0
CD38,0.25099754883333425,0.7,1.0,0.6,0.35,1.0
LILRA1,-0.24801550549999973,1.0,1.0,0.0,1.0,1.0
GAGE1,-0.24778019549999986,1.0,1.0,0.0,1.0,1.0
HLA-DRB3,-0.24758879500000042,0.5,1.0,-0.7,0.23333333333333334,1.0
IL2RB,-0.243046752833334,0.8,1.0,-0.7,0.23333333333333334,1.0
TNFRSF4,-0.24288420333333338,0.6,1.0,-0.7,0.23333333333333334,1.0
TNFRSF1B,-0.24232329033333322,0.8,1.0,-0.7,0.23333333333333334,1.0
LCK,-0.24148074133333353,0.7,1.0,-0.6,0.35,1.0
APP,0.23951968999999984,0.9,1.0,0.3,0.6833333333333333,1.0
PRKCE,-0.2381253275000006,0.6,1.0,0.2,0.7833333333333333,1.0
CCRL2,-0.23800241483333284,0.9,1.0,-0.3,0.6833333333333333,1.0
NOD1,0.23672769399999893,0.3,1.0,0.3,0.6833333333333333,1.0
TBK1,0.23522812383333402,0.6,1.0,0.4,0.5166666666666667,1.0
IRF2,-0.23517565083333203,0.4,1.0,-0.9,0.08333333333333333,1.0
EP300,0.2346154949999999,0.4,1.0,0.7,0.23333333333333334,1.0
SELE,-0.2340781828333336,0.9,1.0,0.0,1.0,1.0
C1QB,0.23188765833333314,0.7,1.0,0.3,0.6833333333333333,1.0
CD4,0.22979027216666736,0.7,1.0,0.3,0.6833333333333333,1.0
TNFSF8,0.22762255866666692,0.4,1.0,0.5,0.45,1.0
C9,-0.22711462966666662,1.0,1.0,-0.2,0.7833333333333333,1.0
TAB1,0.2260415998333336,0.9,1.0,0.3,0.6833333333333333,1.0
LAMP1,-0.2259150916666659,0.7,1.0,-0.3,0.6833333333333333,1.0
IL15,-0.21991993849999947,0.9,1.0,-0.5,0.45,1.0
BMI1,0.21779771016666594,0.6,1.0,0.0,1.0,1.0
CD2,0.21752750799999987,0.7,1.0,-0.2,0.7833333333333333,1.0
MAP3K7,0.21732501900000045,0.8,1.0,0.3,0.6833333333333333,1.0
CD86,0.21686851116666706,0.8,1.0,-0.4,0.5166666666666667,1.0
IL17A,-0.21663832999999943,1.0,1.0,0.0,1.0,1.0
C8G,-0.21503985766666567,0.9,1.0,-0.3,0.6833333333333333,1.0
CD160,-0.21487298716666636,0.8,1.0,-0.3,0.6833333333333333,1.0
OAS3,-0.21348471599999996,0.9,1.0,-0.4,0.5166666666666667,1.0
TLR7,-0.210859215666666,0.9,1.0,-0.1,0.95,1.0
CXCL1,0.20996478483333192,1.0,1.0,-0.3,0.6833333333333333,1.0
THY1,0.20898816999999958,1.0,1.0,0.0,1.0,1.0
TYK2,0.20755338083333363,0.2,1.0,0.7,0.23333333333333334,1.0
EWSR1,0.2074228499999986,0.7,1.0,0.3,0.6833333333333333,1.0
IFNB1,-0.2064700721666668,0.9,1.0,-0.5,0.45,1.0
CASP1,-0.2064292590000001,0.9,1.0,-0.5,0.45,1.0
PRF1,0.20629755283333306,1.0,1.0,-0.7,0.23333333333333334,1.0
NLRP3,0.2056940384999999,1.0,1.0,0.0,1.0,1.0
GZMA,-0.20559722516666668,0.9,1.0,-0.5,0.45,1.0
SH2B2,-0.20488195683333377,1.0,1.0,-0.1,0.95,1.0
TOLLIP,-0.2048249128333346,0.5,1.0,-0.6,0.35,1.0
CD274,0.20213059133333378,0.9,1.0,-0.3,0.6833333333333333,1.0
STAT4,0.20057521333333295,0.8,1.0,-0.3,0.6833333333333333,1.0
LYN,-0.19783308433333247,1.0,1.0,-0.2,0.7833333333333333,1.0
BAX,0.1975860403333325,0.5,1.0,0.4,0.5166666666666667,1.0
PSEN1,-0.19732653166666658,0.5,1.0,-0.7,0.23333333333333334,1.0
CHUK,0.19628946133333436,0.4,1.0,0.5,0.45,1.0
ICAM3,-0.19618657066666678,0.9,1.0,-0.3,0.6833333333333333,1.0
PSEN2,0.19594282183333256,0.3,1.0,0.3,0.6833333333333333,1.0
IL12RB1,-0.19484674516666622,0.9,1.0,-0.3,0.6833333333333333,1.0
TAPBP,0.1935625450000007,0.9,1.0,-0.5,0.45,1.0
CD34,-0.1930318856666675,0.8,1.0,0.1,0.95,1.0
IFNG,0.19181002233333366,1.0,1.0,-0.2,0.7833333333333333,1.0
CYFIP2,0.1880756579999998,0.8,1.0,-0.3,0.6833333333333333,1.0
SBNO2,-0.1873022543333338,0.8,1.0,-0.7,0.23333333333333334,1.0
CLU,0.18660185416666675,0.9,1.0,0.0,1.0,1.0
TLR3,0.18618878966666674,0.9,1.0,-0.5,0.45,1.0
CLEC7A,0.18543606816666802,0.8,1.0,-0.4,0.5166666666666667,1.0
NFATC3,-0.1806103503333336,0.2,1.0,-0.5,0.45,1.0
BST1,0.18004896200000076,0.7,1.0,-0.4,0.5166666666666667,1.0
PLA2G6,0.1785082391666677,0.5,1.0,0.6,0.35,1.0
HLA-DPB1,0.17833188,0.6,1.0,0.0,1.0,1.0
TCF7,-0.17461503616666718,0.9,1.0,0.1,0.95,1.0
CD97,0.173987829333333,0.8,1.0,-0.1,0.95,1.0
IFNAR1,-0.173928263333333,1.0,1.0,-0.7,0.23333333333333334,1.0
IL1B,0.17233451633333274,0.9,1.0,-0.3,0.6833333333333333,1.0
CCR7,-0.17179702983333378,0.9,1.0,0.1,0.95,1.0
ATF2,-0.17142693383333274,0.7,1.0,0.2,0.7833333333333333,1.0
BTLA,-0.17129054633333407,0.9,1.0,-0.3,0.6833333333333333,1.0
MICB,0.16863163333333375,1.0,1.0,-0.4,0.5166666666666667,1.0
IL11RA,0.16716084050000024,0.8,1.0,0.1,0.95,1.0
ZAP70,0.16668776350000059,0.9,1.0,-0.3,0.6833333333333333,1.0
ANP32B,-0.16618075333333415,0.8,1.0,0.2,0.7833333333333333,1.0
RORA,0.1660703889999997,0.7,1.0,0.1,0.95,1.0
CD1D,-0.16525203166666635,0.9,1.0,0.0,1.0,1.0
LY86,0.1645239598333328,0.7,1.0,0.0,1.0,1.0
CAMP,0.16414172916666647,0.8,1.0,-0.1,0.95,1.0
SMAD2,0.1630239783333316,0.7,1.0,0.7,0.23333333333333334,1.0
HLA-DOB,0.16301147083333234,0.9,1.0,0.0,1.0,1.0
IFNGR1,-0.16122257499999826,0.9,1.0,-0.3,0.6833333333333333,1.0
SYK,-0.16018026416666586,0.9,1.0,0.3,0.6833333333333333,1.0
GTF3C1,-0.1593359351666681,0.5,1.0,0.0,1.0,1.0
CEACAM1,0.15585403033333378,0.9,1.0,-0.1,0.95,1.0
LILRB2,-0.1550230826666663,0.9,1.0,-0.5,0.45,1.0
CD53,0.15392065466666516,0.7,1.0,-0.2,0.7833333333333333,1.0
CD96,0.15008074599999954,0.8,1.0,-0.1,0.95,1.0
FCER1G,0.15006563433333397,0.8,1.0,-0.3,0.6833333333333333,1.0
TLR5,0.14943695583333305,0.7,1.0,0.1,0.95,1.0
BLNK,0.14859498966666607,0.9,1.0,-0.3,0.6833333333333333,1.0
CD163,0.1480196735000021,0.9,1.0,0.1,0.95,1.0
CD33,-0.14796170366666672,0.8,1.0,-0.7,0.23333333333333334,1.0
DUSP6,0.14729450549999967,1.0,1.0,0.3,0.6833333333333333,1.0
IKBKG,0.14589123366666712,0.7,1.0,0.4,0.5166666666666667,1.0
PRKCD,0.14534890350000218,0.7,1.0,-0.1,0.95,1.0
CARD9,-0.14330167833333363,1.0,1.0,-0.1,0.95,1.0
CD40LG,-0.13859510899999972,1.0,1.0,-0.1,0.95,1.0
SMPD3,-0.1384099428333334,0.9,1.0,-0.3,0.6833333333333333,1.0
CD180,-0.1382171491666675,0.9,1.0,0.3,0.6833333333333333,1.0
CCL27,0.1368189151666659,0.9,1.0,-0.1,0.95,1.0
CDH5,-0.13446624349999858,1.0,1.0,0.3,0.6833333333333333,1.0
KLRC2,-0.1330441208333335,0.8,1.0,-0.6,0.35,1.0
IL17F,-0.13298930116666696,1.0,1.0,-0.1,0.95,1.0
CCL24,0.1322423064999998,1.0,1.0,0.3,0.6833333333333333,1.0
ITGA1,-0.12979789150000087,1.0,1.0,0.1,0.95,1.0
NCF4,-0.12922443316666765,0.9,1.0,-0.3,0.6833333333333333,1.0
STAT6,0.12692621499999923,0.3,1.0,0.9,0.08333333333333333,1.0
TARP,-0.12663382083333286,1.0,1.0,-0.3,0.6833333333333333,1.0
TNFRSF10B,0.1256504981666673,0.5,1.0,0.2,0.7833333333333333,1.0
IL13RA1,-0.12516221499999958,0.9,1.0,-0.5,0.45,1.0
IL12A,-0.12133710083333327,1.0,1.0,-0.1,0.95,1.0
CD3G,-0.12063128950000035,1.0,1.0,-0.1,0.95,1.0
SYCP1,-0.1187267391666671,1.0,1.0,-0.1,0.95,1.0
LTA,0.11868793133333444,1.0,1.0,-0.5,0.45,1.0
ATF1,-0.11846185633333306,1.0,1.0,0.1,0.95,1.0
NFKBIA,0.11787047333333334,0.9,1.0,-0.1,0.95,1.0
NT5E,0.11775065683333352,0.8,1.0,0.1,0.95,1.0
ATG5,-0.11767247600000097,0.2,1.0,-0.7,0.23333333333333334,1.0
IRF5,-0.1161984071666664,0.7,1.0,-0.6,0.35,1.0
IL6R,0.11608529516666621,0.8,1.0,0.2,0.7833333333333333,1.0
LAMP2,0.11597835166666748,0.7,1.0,-0.2,0.7833333333333333,1.0
CLEC6A,0.115946960833333,0.9,1.0,-0.5,0.45,1.0
TRAF6,-0.11505378450000059,0.8,1.0,0.2,0.7833333333333333,1.0
TREM2,-0.1148097916666666,0.9,1.0,0.1,0.95,1.0
CD3D,-0.1126069041666673,0.8,1.0,-0.7,0.23333333333333334,1.0
RPS6,-0.11122865833333329,0.7,1.0,0.4,0.5166666666666667,1.0
CCR1,0.11029061566666698,1.0,1.0,-0.5,0.45,1.0
JAK1,-0.11016895233333557,0.9,1.0,-0.1,0.95,1.0
CD68,-0.10993208483333206,0.8,1.0,-0.4,0.5166666666666667,1.0
MAPK1,-0.10824571716666576,0.8,1.0,0.1,0.95,1.0
IL21R,-0.10813739616666673,0.8,1.0,-0.5,0.45,1.0
CTAG1B,-0.1079855709999995,1.0,1.0,-0.1,0.95,1.0
CD3E,-0.10753008699999977,0.9,1.0,-0.3,0.6833333333333333,1.0
TICAM2,0.10545000616666655,0.9,1.0,-0.3,0.6833333333333333,1.0
DDX58,0.10503837849999975,0.8,1.0,-0.3,0.6833333333333333,1.0
HMGB1,0.1043483950000006,1.0,1.0,0.0,1.0,1.0
KLRF1,0.10242927333333363,1.0,1.0,-0.1,0.95,1.0
PTPRC,0.10183587899999935,0.9,1.0,-0.2,0.7833333333333333,1.0
PSMB10,-0.10096364016666648,1.0,1.0,-0.7,0.23333333333333334,1.0
PDCD1,0.10027764699999953,1.0,1.0,-0.5,0.45,1.0
IL1RL1,-0.10016416516666649,1.0,1.0,0.0,1.0,1.0
BCL2L1,0.09936068500000061,0.7,1.0,-0.2,0.7833333333333333,1.0
HSD11B1,0.09934487266666636,1.0,1.0,-0.4,0.5166666666666667,1.0
SSX4,0.0977053901666669,0.9,1.0,-0.3,0.6833333333333333,1.0
STAT5B,-0.0956237231666659,1.0,1.0,0.3,0.6833333333333333,1.0
CYLD,-0.09498327316666533,0.7,1.0,-0.2,0.7833333333333333,1.0
CD247,0.09471177799999975,1.0,1.0,-0.6,0.35,1.0
CD14,-0.09406939033333472,0.7,1.0,-0.5,0.45,1.0
CCL13,0.09120604616666661,1.0,1.0,-0.1,0.95,1.0
TTK,0.0911809631666669,0.9,1.0,-0.4,0.5166666666666667,1.0
CXCL16,-0.0861474081666671,0.9,1.0,-0.5,0.45,1.0
SOCS1,-0.08592076350000077,0.8,1.0,-0.7,0.23333333333333334,1.0
MAPKAPK2,-0.0822421533333344,0.9,1.0,0.3,0.6833333333333333,1.0
DEFB1,0.08155515883333297,0.9,1.0,0.0,1.0,1.0
ILF3,-0.08116061499999994,0.8,1.0,0.2,0.7833333333333333,1.0
RUNX3,0.08053729316666569,0.8,1.0,-0.2,0.7833333333333333,1.0
ITGA2B,-0.07967105500000038,0.9,1.0,-0.5,0.45,1.0
IL1R1,0.07916163649999852,0.9,1.0,0.3,0.6833333333333333,1.0
TXK,0.07635722449999971,1.0,1.0,-0.3,0.6833333333333333,1.0
CLEC4A,0.07442910900000044,0.9,1.0,-0.5,0.45,1.0
TLR8,-0.07390586549999956,1.0,1.0,-0.5,0.45,1.0
TNFRSF13B,-0.07340570349999975,0.9,1.0,-0.4,0.5166666666666667,1.0
CD46,0.07017574166666662,0.6,1.0,0.5,0.45,1.0
KLRG1,-0.06982961483333305,0.9,1.0,0.0,1.0,1.0
ATG16L1,0.0686757586666662,0.7,1.0,0.4,0.5166666666666667,1.0
IL32,0.06847975999999889,1.0,1.0,-0.1,0.95,1.0
CD22,0.06773379583333394,1.0,1.0,0.0,1.0,1.0
NOTCH1,0.0664155630000014,0.8,1.0,-0.1,0.95,1.0
HLA-DMA,-0.06613820766666656,0.7,1.0,-0.7,0.23333333333333334,1.0
CD9,-0.0649127683333326,1.0,1.0,0.6,0.35,1.0
CKLF,-0.06446378666666597,0.7,1.0,-0.3,0.6833333333333333,1.0
IRF7,-0.06289275666666683,0.9,1.0,-0.5,0.45,1.0
LRRN3,0.06244760183333398,0.9,1.0,-0.3,0.6833333333333333,1.0
YTHDF2,-0.0622991051666677,1.0,1.0,-0.1,0.95,1.0
TLR9,0.06225524266666671,1.0,1.0,-0.1,0.95,1.0
GZMB,-0.062190699000000293,0.9,1.0,-0.5,0.45,1.0
STAT1,-0.06096472166666622,0.9,1.0,-0.4,0.5166666666666667,1.0
SLAMF1,0.059886386666667235,1.0,1.0,-0.7,0.23333333333333334,1.0
IL5RA,-0.058716233666666895,1.0,1.0,-0.1,0.95,1.0
ITGB1,0.0572488516666656,1.0,1.0,0.0,1.0,1.0
PSMB9,-0.056729743166668456,1.0,1.0,-0.5,0.45,1.0
ITCH,0.05575155833333412,0.9,1.0,0.1,0.95,1.0
GATA3,-0.055402194000000016,1.0,1.0,-0.1,0.95,1.0
CD6,0.05500373716666651,0.8,1.0,-0.2,0.7833333333333333,1.0
TMEFF2,-0.05491487183333277,1.0,1.0,-0.1,0.95,1.0
CCL25,0.0528326210000003,1.0,1.0,0.0,1.0,1.0
SLAMF6,-0.04977221266666643,1.0,1.0,-0.3,0.6833333333333333,1.0
IFI35,-0.04789848733333457,1.0,1.0,-0.4,0.5166666666666667,1.0
PVR,-0.04671124916666436,0.8,1.0,0.0,1.0,1.0
RRAD,0.04463092200000052,1.0,1.0,-0.5,0.45,1.0
IKBKE,-0.04374532516666463,0.9,1.0,-0.4,0.5166666666666667,1.0
IRF4,0.04332326566666733,1.0,1.0,-0.3,0.6833333333333333,1.0
TNFSF14,0.0428701105,1.0,1.0,-0.3,0.6833333333333333,1.0
CD59,-0.04189834333333309,1.0,1.0,0.1,0.95,1.0
LCP1,0.0414532836666659,1.0,1.0,-0.5,0.45,1.0
POU2F2,-0.04133974883333291,1.0,1.0,-0.3,0.6833333333333333,1.0
CD74,0.04133644000000203,0.9,1.0,-0.2,0.7833333333333333,1.0
ISG20,0.03695988916666515,1.0,1.0,-0.1,0.95,1.0
LY96,0.03511108733333401,0.9,1.0,-0.5,0.45,1.0
HLA-DRA,0.035047786666666525,0.9,1.0,-0.5,0.45,1.0
MAP3K1,-0.03428877483333359,0.9,1.0,-0.6,0.35,1.0
CR2,0.03419237083333382,1.0,1.0,-0.3,0.6833333333333333,1.0
HLA-DMB,-0.032132349833332796,1.0,1.0,-0.5,0.45,1.0
SPA17,0.031712998333333076,0.9,1.0,0.3,0.6833333333333333,1.0
C4BPA,0.030527914333333683,1.0,1.0,-0.5,0.45,1.0
HAVCR2,-0.029579491833333194,1.0,1.0,-0.3,0.6833333333333333,1.0
HLA-DPA1,-0.02942868999999959,1.0,1.0,-0.2,0.7833333333333333,1.0
SPN,-0.028202721999999625,0.9,1.0,-0.5,0.45,1.0
CD55,0.02510056616666656,1.0,1.0,-0.4,0.5166666666666667,1.0
IRGM,0.022555071000001092,1.0,1.0,-0.3,0.6833333333333333,1.0
MAPK8,0.022243330000002004,0.8,1.0,0.2,0.7833333333333333,1.0
TLR10,-0.022221219333332876,1.0,1.0,-0.3,0.6833333333333333,1.0
CD58,-0.021505418833333678,1.0,1.0,-0.1,0.95,1.0
CT45A1,0.020646224000000934,1.0,1.0,-0.2,0.7833333333333333,1.0
CD79A,0.02010807149999927,1.0,1.0,0.0,1.0,1.0
TLR2,0.018903874333332737,1.0,1.0,-0.5,0.45,1.0
IL16,0.018304678833334975,1.0,1.0,0.3,0.6833333333333333,1.0
IKBKB,0.018297809333335024,1.0,1.0,-0.3,0.6833333333333333,1.0
MX1,0.01487134999999995,1.0,1.0,-0.4,0.5166666666666667,1.0
PIK3CG,-0.01112324666666531,0.9,1.0,0.0,1.0,1.0
TRAF3,0.011005908666666286,1.0,1.0,-0.1,0.95,1.0
KLRD1,-0.009430717333333227,0.9,1.0,-0.7,0.23333333333333334,1.0
IL17B,-0.00897293083333306,1.0,1.0,-0.5,0.45,1.0
CD27,-0.00809743533333318,0.9,1.0,0.1,0.95,1.0
IL5,0.007016827333333087,1.0,1.0,-0.3,0.6833333333333333,1.0
PRAME,0.0051609975000008745,1.0,1.0,-0.1,0.95,1.0
