term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	rank	fdr_within_rank	fdr_sweep	axis	short	below_usual_min8
Interferon Alpha/Beta Signaling R-HSA-909733	0.3520588917135902	1.2629709761990102	0.0989010989010989	57	0.4782623539938605	STAT2,ISG20,MX2,HLA-F,ISG15,IRF6,HLA-C,IRF9,IFITM3,HLA-A,IFIT1,IRF3,HLA-B,TYK2,OAS1,OAS3,IFI6,IFIT3,MX1,IFI35,BST2,STAT1,IFIT5,OASL,OAS2	30	welch_median_ratio	0.1879120879120879	0.19990647650222118	IFN	IFN-α/β Reactome	False
Interferon Gamma Signaling R-HSA-877300	0.31046936291468563	1.1912156974667363	0.12887112887112886	77	0.21849758530787589	TRIM45,TRIM22,TRIM5,HLA-F,TRIM46,PML,TRIM26,IRF6,HLA-C,IRF9,HLA-A,GBP5,MT2A,IRF3,TRIM21,HLA-B,IFNGR1,B2M,TRIM3,OAS1,OAS3,CAMK2A,TRIM17,STAT1,SP100	29	welch_median_ratio	0.2117113655575194	0.22935397935397936	IFN	IFN-γ Reactome	False
Response To Type I Interferon (GO:0034340)	0.36645569320654514	0.8243096814631158	0.36363636363636365	8	0.2068692742133913	ISG15,SMPD1,IFIT1,MX1,SP100	5	welch_median_ratio	0.38383838383838387	0.39707419017763845	IFN	IFN-I response GO	False
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	0.34897714236030963	1.0126120818651043	0.26173826173826176	21	0.4578341475927019	STAT2,MYD88,IFITM3,TYK2,STAT1,SP100,OAS2,IFNAR2,IFI27,IFNAR1	10	welch_median_ratio	0.3315351315351316	0.32292382941733594	IFN	IFN-I signaling GO	False
Antigen processing and presentation	-0.40207610716081194	-1.5331426722918928	0.011988011988011988	53	-0.38820325875719314	CD74,NFYA,HLA-DPB1,LGMN,CD8A,RFX5,TAP2,HLA-DQB1,HLA-DQA1,PSME1,HLA-DRA,RFXANK,HSPA4,CREB1,CANX,HLA-DMB,HLA-DPA1,HSPA8,PSME3,HLA-DRB1,HLA-DMA	21	welch_median_ratio	0.11388611388611389	0.10353283080555808	APM	APM KEGG (I+II)	False
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	-0.4019211690412534	-1.1325074363274883	0.14085914085914086	15	-0.3859718640837651	HFE,ERAP1,MFSD6,ERAP2	4	welch_median_ratio	0.2117113655575194	0.22935397935397936	APM	APM MHC-I GO	False
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	-0.4322114217622936	-1.2163839376900765	0.0939060939060939	14	-0.5373236607136206	NLRP4,DDX41,IFI16,TBK1,PRKDC	5	welch_median_ratio	0.1879120879120879	0.19824619824619824	STING	STING Reactome	False
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	-0.3505951024623196	-1.368084126594616	0.02197802197802198	60	-0.25394055171330976	NLRP4,CREBBP,DDX41,UBC,NFKBIA,CTNNB1,DHX9,RIPK1,POLR3B,NFKB1,NKIRAS2,IFI16,UBA52,DHX36,NKIRAS1,TBK1,PRKDC,POLR3D	18	welch_median_ratio	0.1391941391941392	0.1294160385069476	STING	DNA sensors Reactome	False
Regulation Of Innate Immune Responses To Cytosolic DNA R-HSA-3134975	-0.3848102277689643	-1.0987952465647954	0.16283716283716285	14	-0.40209951694628426	NLRP4,DDX41,UBC,UBA52,TBK1	5	welch_median_ratio	0.22099329242186386	0.2434521999739391	STING	Cytosolic DNA reg.	False
IRF3-mediated Induction Of Type I IFN R-HSA-3270619	-0.5911912679501304	-1.5437937207305883	0.029970029970029972	11	-0.9459026825686405	NLRP4,DDX41,IFI16,TBK1,PRKDC	5	welch_median_ratio	0.14235764235764237	0.1294160385069476	STING	IRF3 type-I IFN	False
Cytosolic DNA-sensing pathway	-0.32110519852666275	-1.198001056601515	0.08391608391608392	43	-0.0682707183027169	RIPK1,POLR3B,NFKB1,IL18,TBK1,CASP1,PYCARD,POLR3D	8	welch_median_ratio	0.1879120879120879	0.19824619824619824	STING	DNA sensing KEGG	False
Non-homologous end-joining	0.5566566512296587	1.387792308238412	0.060939060939060936	12	0.731024257407281	POLL,POLM,FEN1,DCLRE1C,MRE11	5	welch_median_ratio	0.1879120879120879	0.19824619824619824	NHEJ	NHEJ KEGG	False
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303)	0.3932444963148958	1.3037233780207695	0.07992007992007992	39	0.4423001870892008	POLL,POLM,PAXX,SMC5,TP53BP1,PNKP,DCLRE1C,KDM2A,SMARCAL1,MRE11,IFFO1,DCLRE1B,ERCC8	13	welch_median_ratio	0.1879120879120879	0.19824619824619824	NHEJ	NHEJ GO	False
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	0.38766897523319777	0.7630627738204108	0.4075924075924076	5	0.09153361041200389	ERCC8	1	welch_median_ratio	0.4075924075924076	0.435070547430098	NHEJ	NHEJ classical GO	True
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	0.41910425881922503	1.3693396536895637	0.059940059940059943	35	0.427104294994286	NSD2,POLL,TDP1,POLM,TP53BP1,MDC1,DCLRE1C,KAT5,HERC2,MRE11	10	welch_median_ratio	0.1879120879120879	0.19824619824619824	NHEJ	NHEJ Reactome	False
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939	0.3778758750244109	0.9312056641437312	0.3126873126873127	12	0.5714198498149469	FEN1,RBBP8,MRE11,BRCA2	4	welch_median_ratio	0.3494740553564083	0.36225969152798426	NHEJ	alt-NHEJ MMEJ	False
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.3268208580504042	0.9545155462645051	0.28771228771228774	20	0.41932519787773204	HLA-F,HLA-C,NLRC5,HLA-A,HLA-B,B2M,TAP1,TAPBPL	8	welch_median_ratio	0.3416583416583417	0.33744033744033747	APM	APM MHC-I custom	False
