gene	log2fc	mean_treat	mean_ctrl	welch_t	welch_p	welch_q
LENG9	-0.255873	432.926	517.133	-2.40324	0.169652	0.602195
LEO1	0.0511721	1090.04	1052.02	1.09211	0.397644	0.706022
LEP	1.28049	1.42921	0	1	0.5	0.706022
LEPR	0.135411	1026.58	934.52	2.40942	0.147578	0.576689
LEPROT	-0.112429	3711.51	4012.4	-1.47941	0.362883	0.706022
LEPROTL1	0.0440134	3382.73	3281.06	1.13288	0.416677	0.706022
LERFS	0.36768	4.32268	3.12523	3.02278	0.202768	0.637829
LETM1	-0.0355914	2756.14	2825	-0.503283	0.667523	0.822124
LETM1P2	-1.36142	0	1.56938	-1	0.5	0.706022
LETM1P3	0	0	0			
LETM2	0.130132	976.666	892.34	2.5256	0.130131	0.559414
LETMD1	-0.350043	3432.67	4375.55	-15.8449	0.00398171	0.224702
LEUTX	-1.02661	0	1.03723	-1	0.5	0.706022
LEXM	-0.199624	12.5705	14.5844	-0.517713	0.69587	0.840683
LFNG	-0.216582	84.1418	97.9328	-5.11926	0.0560177	0.465626
LGALS1	0.0572346	4926.08	4734.44	0.956995	0.50471	0.709224
LGALS12	0	0	0			
LGALS13	0	0	0			
LGALS14	0	0	0			
LGALS16	0	0	0			
LGALS17A	3.00056	15.3764	1.04625	3.93509	0.155408	0.585802
LGALS2	0	0	0			
LGALS3	0.341113	3069.63	2423.05	16.0847	0.0393269	0.420705
LGALS3BP	1.58571	30557	10179.7	73.474	0.00861909	0.307081
LGALS4	-0.575791	13.9822	21.3309	-1.02939	0.414182	0.706022
LGALS7	0	0	0			
LGALS7B	0	0	0			
LGALS8	0.22551	3792.7	3243.72	3.76399	0.123143	0.551906
LGALS8-AS1	-0.690529	17.3609	28.6321	-1.48136	0.341198	0.706022
LGALS9	4.27352	532.579	26.5892	13.8291	0.0444269	0.439686
LGALS9B	0.1225	283.707	260.53	0.962167	0.492608	0.706022
LGALS9C	0.0269414	87.0703	85.4409	0.203365	0.858852	0.93827
LGALS9DP	3.99334	14.9263	0	17.1289	0.0371243	0.413239
LGALSL	0.234785	220.819	187.505	0.927559	0.523481	0.72351
LGALSL-DT	1.28049	1.42921	0	1	0.5	0.706022
LGI1	0	0	0			
LGI2	0.222423	75.5052	64.5745	2.60046	0.122123	0.551815
LGI3	1.8021	11.5301	2.59308	1.76709	0.325751	0.706022
LGI4	0.177058	7.2074	6.25948	0.545442	0.678112	0.829503
LGMN	0.244586	2392.78	2019.49	3.32561	0.163351	0.594636
LGMNP1	1.55184	1.93191	0	2.92726	0.209567	0.643642
LGR4	0.0319708	8258.54	8077.52	1.28124	0.353218	0.706022
LGR4-AS1	0.965548	0.952805	0	1	0.5	0.706022
LGR5	0	0	0			
LGR6	0.417175	281.448	210.522	2.20389	0.164513	0.59643
LGSN	-0.00407415	2144.36	2150.43	-0.0592497	0.958183	0.989527
LHB	0	0	0			
LHCGR	0.978442	0.970336	0	1	0.5	0.706022
LHFPL1	0	0	0			
LHFPL2	-0.118602	1245.44	1352.24	-4.03746	0.0574155	0.469808
LHFPL3	0	0	0			
LHFPL3-AS1	0	0	0			
LHFPL3-AS2	0	0	0			
LHFPL4	-0.00742027	58.612	58.9194	0.0853426	0.94419	0.982567
LHFPL5	-0.207681	4.82538	5.72733	-0.561792	0.667906	0.822474
LHFPL6	1.12269	43.2268	19.3106	1.8243	0.303317	0.706022
LHPP	-0.208633	386.627	446.939	-0.935367	0.517578	0.719652
LHX1	0.0339918	38.9655	38.0349	0.238996	0.833382	0.924368
LHX1-DT	0.0651146	7.67503	7.2922	0.100431	0.93627	0.978715
LHX2	0.173637	145.276	128.689	1.27717	0.330102	0.706022
LHX3	2.11346	10.1184	1.56938	2.24198	0.231886	0.664636
LHX4	0.144957	139.375	125.956	0.66201	0.62165	0.790686
LHX4-AS1	-5.11859	0	33.7416	-3.1251	0.197157	0.63064
LHX5	0.0833466	10.5422	9.8943	0.00871501	0.994417	0.996691
LHX5-AS1	0	0	0			
LHX6	2.41453	4.33145	0	17.0483	0.0372994	0.413239
LHX8	1.77646	2.42584	0	1	0.5	0.706022
LHX9	0.0218158	562.767	554.306	0.266558	0.815934	0.913372
LIAS	-0.462613	391.327	539.641	-2.43083	0.245323	0.681383
LIF	0.121907	5861.34	5386.33	2.19975	0.266325	0.70006
LIF-AS1	1.55615	1.94067	0	1	0.5	0.706022
LIFR	-0.116685	1812.25	1965	-1.75701	0.241807	0.677406
LIFR-AS1	0.18702	34.5201	30.2015	0.289635	0.817451	0.914355
LIG1	-0.228115	1470.45	1722.51	-13.3881	0.0357174	0.413239
LIG3	-0.438199	715.18	969.362	-11.102	0.0336198	0.413239
LIG4	0.0164308	722.864	714.667	0.365731	0.758487	0.883141
LILRA1	0	0	0			
LILRA2	0	0	0			
LILRA4	0	0	0			
LILRA5	0	0	0			
LILRA6	0	0	0			
LILRB1	0	0	0			
LILRB2	0	0	0			
LILRB3	0	0	0			
LILRB4	2.02598	11.5213	2.07446	2.0393	0.278407	0.706022
LILRB5	0	0	0			
LILRP1	0	0	0			
LILRP2	0	0	0			
LIM2	0	0	0			
LIMA1	0.843051	1582.49	881.738	25.7504	0.00965373	0.32015
LIMCH1	0.133749	6950.77	6335.26	35.652	0.00906491	0.312233
LIMD1	-0.102257	4347.17	4666.55	-2.0531	0.201373	0.636551
LIMD1-AS1	0.595663	2.87595	1.56487	1.25344	0.339579	0.706022
LIMD2	0.577004	16.8056	10.936	2.94966	0.174436	0.606038
LIME1	-0.00107101	234.79	234.965	-0.0290149	0.979899	0.99068
LIMK1	-0.00806767	1311.01	1318.36	-0.149142	0.903371	0.963194
LIMK2	-0.027303	1028.35	1048.01	-0.230197	0.85561	0.937241
LIMS1	-0.0785239	2914.72	3077.81	-15.4135	0.0127788	0.355788
LIMS1-AS1	0	0	0			
LIMS2	0.759046	20.0703	11.4501	0.377255	0.76584	0.886702
LIMS3	0.0360534	42.768	41.6877	0.26	0.828096	0.921493
LIMS3-LOC440895	-0.179197	82.7126	93.7839	-1.58199	0.303564	0.706022
LIMS4	-0.00397007	154.813	155.242	-0.0538052	0.965075	0.990635
LIN28A	0	0	0			
LIN28AP1	0	0	0			
LIN28AP3	0	0	0			
LIN28B	2.11597	3.33482	0	1	0.5	0.706022
LIN28B-AS1	0	0	0			
LIN37	0.0422143	316.891	307.724	0.0626983	0.958176	0.989527
LIN52	-0.104657	443.524	476.969	-0.847225	0.492316	0.706022
LIN54	-0.132673	1022.25	1120.81	-2.56056	0.161505	0.592932
LIN7A	-0.194653	191.493	219.298	-1.53046	0.357474	0.706022
LIN7B	0.0429616	157.698	153.041	0.283041	0.824098	0.918837
LIN7C	0.228595	1122.33	957.722	3.67771	0.0735488	0.492026
LIN9	-0.308247	490.269	607.291	-8.91939	0.0203454	0.400051
LINC-PINT	0.488674	374.548	266.645	2.52877	0.218315	0.651346
LINC-ROR	0	0	0			
LINC00028	0	0	0			
LINC00029	0	0	0			
LINC00032	0	0	0			
LINC00051	0	0	0			
LINC00052	0	0	0			
LINC00092	1.28049	1.42921	0	1	0.5	0.706022
LINC00102	0	0	0			
LINC00106	-0.0809353	1.42921	1.56938	-0.03579	0.974708	0.990635
LINC00111	0	0	0			
LINC00112	0	0	0			
LINC00113	0	0	0			
LINC00114	0	0	0			
LINC00115	0.310281	26.0238	20.7942	0.533903	0.658007	0.815426
LINC00158	-1.02661	0	1.03723	-1	0.5	0.706022
LINC00159	0	0	0			
LINC00160	0	0	0			
LINC00161	0	0	0			
LINC00163	0	0	0			
LINC00167	-0.790795	0.485168	1.56938	-0.471532	0.699021	0.84255
LINC00173	-0.435477	6.27212	8.83451	-0.379185	0.745131	0.873597
LINC00174	-0.212659	72.1967	83.8219	-0.925552	0.45706	0.706022
LINC00184	1.28049	1.42921	0	1	0.5	0.706022
LINC00189	-0.0909564	2.38201	2.6021	-0.445825	0.73003	0.863419
LINC00200	2.1247	3.36111	0	14.1669	0.0448628	0.439686
LINC00205	-0.0681249	2587.77	2712.95	-1.86066	0.2054	0.639307
LINC00207	0	0	0			
LINC00208	0	0	0			
LINC00210	0	0	0			
LINC00211	0	0	0			
LINC00216	0	0	0			
LINC00221	0.956059	11.0537	5.21322	3.8503	0.149567	0.577636
LINC00222	0	0	0			
LINC00226	0.978442	0.970336	0	1	0.5	0.706022
LINC00229	0	0	0			
LINC00235	-0.866886	3.82875	7.8063	-1.49	0.327675	0.706022
LINC00237	0	0	0			
LINC00239	-0.146935	78.989	87.565	-0.425747	0.713955	0.852611
LINC00240	1.14057	5.77819	2.07446	1.29989	0.407094	0.706022
LINC00242	-1.62033	0	2.07446	-1	0.5	0.706022
LINC00243	0.574668	6.72223	4.18502	0.816541	0.561696	0.750732
LINC00244	0	0	0			
LINC00251	-1.03299	0	1.04625	-1	0.5	0.706022
LINC00254	0	0	0			
LINC00260	-0.0674375	0.952805	1.04625	-0.0401368	0.971641	0.990635
LINC00261	0	0	0			
LINC00265	0.721002	73.5558	44.2312	2.40098	0.251185	0.686416
LINC00266-1	0.347835	11.5388	8.85256	4.872	0.118728	0.548299
LINC00266-2P	-0.0629412	1.44674	1.55585	0.226964	0.853679	0.935907
LINC00266-3	2.01162	7.25122	1.04625	1.68393	0.234541	0.668985
LINC00266-4P	-0.876829	0.96157	2.6021	-4.19431	0.148625	0.576689
LINC00269	0	0	0			
LINC00271	2.28728	3.88134	0	1	0.5	0.706022
LINC00272	0	0	0			
LINC00276	0	0	0			
LINC00278	0	0	0			
LINC00279	0	0	0			
LINC00280	0	0	0			
LINC00290	0	0	0			
LINC00293	0	0	0			
LINC00294	2.37734	61.2512	10.9812	1.5942	0.299702	0.706022
LINC00297	0	0	0			
LINC00298	0	0	0			
LINC00299	0	0	0			
LINC00301	0	0	0			
LINC00302	0	0	0			
LINC00303	0	0	0			
LINC00304	1.07989	11.0186	4.68559	1.817	0.300255	0.706022
LINC00305	0	0	0			
LINC00307	0	0	0			
LINC00308	0	0	0			
LINC00309	0	0	0			
LINC00310	1.50719	4.81662	1.04625	1.99883	0.263033	0.696266
LINC00311	0	0	0			
LINC00312	-0.0364103	0.485168	0.523127	-0.0383352	0.972912	0.990635
LINC00313	-0.388309	42.7504	56.2631	-2.75228	0.161832	0.593345
LINC00314	0	0	0			
LINC00316	0.978442	0.970336	0	1	0.5	0.706022
LINC00317	0	0	0			
LINC00319	-0.0249706	135.625	138.011	-0.33589	0.773066	0.889657
LINC00320	0	0	0			
LINC00322	-0.00629806	6.24582	6.27753	0.517617	0.695646	0.840683
LINC00323	0	0	0			
LINC00324	-0.503816	22.0986	31.7528	-2.15912	0.201455	0.636551
LINC00326	0	0	0			
LINC00327	0	0	0			
LINC00330	1.96106	2.89348	0	5.11215	0.122978	0.551815
LINC00331	0	0	0			
LINC00332	0	0	0			
LINC00333	0	0	0			
LINC00334	0	0	0			
LINC00336	0	0	0			
LINC00337	0.0425085	13.462	13.0421	0.255935	0.840453	0.927678
LINC00339	0.00722435	278.432	277.036	0.096523	0.933531	0.977051
LINC00342	-0.340626	21.1896	27.0988	-1.132	0.393191	0.706022
LINC00343	0	0	0			
LINC00345	0	0	0			
LINC00347	0	0	0			
LINC00348	0	0	0			
LINC00350	0	0	0			
LINC00351	0	0	0			
LINC00353	0	0	0			
LINC00354	0	0	0			
LINC00355	-0.179157	94.7278	107.385	-0.559609	0.672826	0.826169
LINC00358	0	0	0			
LINC00359	0	0	0			
LINC00363	0	0	0			
LINC00364	0	0	0			
LINC00365	0	0	0			
LINC00366	0	0	0			
LINC00367	0	0	0			
LINC00368	0	0	0			
LINC00373	0	0	0			
LINC00374	0	0	0			
LINC00375	0	0	0			
LINC00376	0	0	0			
LINC00377	0	0	0			
LINC00378	0	0	0			
LINC00379	0	0	0			
LINC00380	0	0	0			
LINC00381	0	0	0			
LINC00382	0	0	0			
LINC00383	0	0	0			
LINC00384	0	0	0			
LINC00385	0	0	0			
LINC00390	0	0	0			
LINC00392	0	0	0			
LINC00393	0	0	0			
LINC00395	0	0	0			
LINC00396	0	0	0			
LINC00397	0	0	0			
LINC00398	1.55615	1.94067	0	1	0.5	0.706022
LINC00399	0	0	0			
LINC00400	-0.602757	0	0.518615	-1	0.5	0.706022
LINC00402	0	0	0			
LINC00407	0	0	0			
LINC00408	0	0	0			
LINC00410	0	0	0			
LINC00411	0	0	0			
LINC00412	-2.0492	0	3.13876	-1	0.5	0.706022
LINC00415	0	0	0			
LINC00417	0	0	0			
LINC00421	0	0	0			
LINC00423	1.28049	1.42921	0	1	0.5	0.706022
LINC00424	0	0	0			
LINC00426	2.4169	4.34021	0	5.73859	0.109834	0.537628
LINC00428	1.88784	31.7406	7.84691	1.47749	0.378535	0.706022
LINC00430	0	0	0			
LINC00431	-0.565288	6.72223	10.4264	-1.717	0.251879	0.686823
LINC00433	0	0	0			
LINC00434	0	0	0			
LINC00437	0	0	0			
LINC00440	0	0	0			
LINC00442	0	0	0			
LINC00443	0	0	0			
LINC00444	0.569579	42.274	28.1586	1.56232	0.332961	0.706022
LINC00445	0	0	0			
LINC00446	0	0	0			
LINC00448	0	0	0			
LINC00449	0.363936	7.67503	5.74086	0.669027	0.590729	0.76976
LINC00452	0	0	0			
LINC00454	0	0	0			
LINC00456	0	0	0			
LINC00457	0	0	0			
LINC00458	0	0	0			
LINC00459	0	0	0			
LINC00460	0.0831261	63.4812	59.8709	0.548392	0.664805	0.820091
LINC00461	0	0	0			
LINC00462	0	0	0			
LINC00463	0	0	0			
LINC00466	1.96754	2.91101	0	1	0.5	0.706022
LINC00467	0.0731759	288.807	274.474	1.02557	0.462661	0.706022
LINC00469	0	0	0			
LINC00470	-0.391274	127.281	167.247	-2.2495	0.168658	0.601442
LINC00471	0.313023	23.5541	18.7649	1.40366	0.392613	0.706022
LINC00472	0.167323	66.2169	58.8562	0.452519	0.729416	0.862899
LINC00473	0.056257	5494.64	5284.47	1.87422	0.202159	0.637295
LINC00474	0	0	0			
LINC00475	1.29602	1.4555	0	1	0.5	0.706022
LINC00476	0.176978	243.92	215.645	1.44871	0.380457	0.706022
LINC00477	0	0	0			
LINC00479	0	0	0			
LINC00482	0.224757	79.3602	67.7674	0.882564	0.524007	0.723865
LINC00484	0	0	0			
LINC00485	0	0	0			
LINC00486	0	0	0			
LINC00487	0	0	0			
LINC00488	0.42801	38.9392	28.6863	1.10376	0.468596	0.706022
LINC00489	0	0	0			
LINC00491	0.288281	229.155	187.469	2.15122	0.183115	0.61463
LINC00492	0	0	0			
LINC00494	0	0	0			
LINC00498	0	0	0			
LINC00499	0	0	0			
LINC00501	0	0	0			
LINC00502	0	0	0			
LINC00504	0.992643	19.6727	9.38922	1.91142	0.217071	0.650322
LINC00506	0	0	0			
LINC00507	0	0	0			
LINC00508	0.0851512	201.702	190.084	0.441018	0.725406	0.860808
LINC00511	0.326418	88.3768	70.2793	1.4664	0.284668	0.706022
LINC00513	0.780377	16.8056	9.36666	2.33508	0.166838	0.599293
LINC00514	0	0	0			
LINC00515	0.498025	3.36111	2.088	1.08707	0.452005	0.706022
LINC00517	0	0	0			
LINC00518	-0.623401	3.36111	5.7183	-0.85632	0.535401	0.730519
LINC00519	0	0	0			
LINC00520	0.830051	20.2193	10.936	3.74659	0.140452	0.570675
LINC00523	0	0	0			
LINC00524	0	0	0			
LINC00525	0.521829	42.3091	29.1643	11.4465	0.0381217	0.416305
LINC00526	0.0317456	59.1322	57.8235	0.728746	0.598888	0.776019
LINC00528	1.53884	1.90561	0	1	0.5	0.706022
LINC00533	0	0	0			
LINC00534	0	0	0			
LINC00535	0	0	0			
LINC00536	4.5259	22.0372	0	7.96378	0.0795232	0.495826
LINC00537	-0.240206	30.2763	35.9424	-4.019	0.0932979	0.517132
LINC00538	0	0	0			
LINC00539	0	0	0			
LINC00540	-0.00154232	284.712	285.018	0.0181562	0.987675	0.993112
LINC00543	0.219685	33.5585	28.6772	0.345538	0.764496	0.885933
LINC00544	0	0	0			
LINC00545	-0.280144	2.40831	3.13876	0.222056	0.85968	0.938858
LINC00547	0	0	0			
LINC00548	0	0	0			
LINC00550	0	0	0			
LINC00551	0	0	0			
LINC00552	1.76906	2.40831	0	8.17912	0.0774504	0.493757
LINC00554	0	0	0			
LINC00557	0	0	0			
LINC00558	0	0	0			
LINC00559	0	0	0			
LINC00560	0	0	0			
LINC00561	0	0	0			
LINC00562	-0.586527	7.6575	12.0003	-0.729933	0.543942	0.736399
LINC00563	0	0	0			
LINC00564	-0.469976	9.12177	13.0195	-2.40346	0.229009	0.66121
LINC00565	0.26366	34.5902	28.6457	2.45077	0.233599	0.667376
LINC00566	0	0	0			
LINC00567	0	0	0			
LINC00570	-0.336912	4.32268	5.72282	-0.849783	0.527225	0.725787
LINC00571	0	0	0			
LINC00572	0	0	0			
LINC00574	0	0	0			
LINC00575	0	0	0			
LINC00578	-2.74907	0	5.72282	-8.06756	0.0785106	0.49484
LINC00581	0	0	0			
LINC00582	0	0	0			
LINC00583	0	0	0			
LINC00587	0	0	0			
LINC00588	0	0	0			
LINC00589	0.584131	14.4937	9.33508	0.694177	0.592257	0.770975
LINC00592	-0.102375	10.1184	10.936	-0.414268	0.746837	0.874643
LINC00593	0	0	0			
LINC00595	0	0	0			
LINC00596	0	0	0			
LINC00597	0	0	0			
LINC00598	1.53884	1.90561	0	1	0.5	0.706022
LINC00601	-0.349176	88.8971	113.514	-2.84132	0.115989	0.545165
LINC00602	1.32466	15.8615	5.73184	11.0136	0.0444082	0.439686
LINC00603	-0.366039	6.22829	8.31589	-0.342656	0.767683	0.88772
LINC00605	0	0	0			
LINC00606	0	0	0			
LINC00607	0	0	0			
LINC00608	0	0	0			
LINC00609	0	0	0			
LINC00612	0	0	0			
LINC00613	0	0	0			
LINC00615	0	0	0			
LINC00616	0	0	0			
LINC00618	-1.03299	0	1.04625	-1	0.5	0.706022
LINC00619	0	0	0			
LINC00620	0	0	0			
LINC00621	0	0	0			
LINC00622	1.70634	15.8615	4.16697	58.4194	0.00860293	0.307081
LINC00623	0.668635	414.577	260.44	9.86315	0.056228	0.466332
LINC00624	0	0	0			
LINC00626	0	0	0			
LINC00628	0.754821	7.71886	4.16697	1.30986	0.415076	0.706022
LINC00629	0.263034	1.4555	1.04625	0.132628	0.907001	0.964265
LINC00630	-0.0968654	384.947	411.75	-0.39465	0.754356	0.879861
LINC00632	0.582928	69.2506	45.8998	1.38797	0.393389	0.706022
LINC00634	-2.03973	0	3.11169	-1	0.5	0.706022
LINC00635	0	0	0			
LINC00636	0	0	0			
LINC00637	0	0	0			
LINC00638	-0.125169	104.51	114.073	-0.535126	0.686914	0.835362
LINC00639	0	0	0			
LINC00640	0	0	0			
LINC00641	-0.795949	254.34	442.326	-9.07409	0.0610477	0.476524
LINC00642	0	0	0			
LINC00643	0	0	0			
LINC00644	0	0	0			
LINC00645	0	0	0			
LINC00648	-0.778302	155.932	268.156	-3.84266	0.0804559	0.496557
LINC00649	-0.0537092	161.164	167.315	-0.148664	0.900058	0.961345
LINC00652	0	0	0			
LINC00653	-0.805285	12.9943	23.455	-2.89618	0.112705	0.541348
LINC00654	1.13504	24.0656	10.4129	5.14446	0.0445843	0.439686
LINC00656	0	0	0			
LINC00658	0	0	0			
LINC00659	0	0	0			
LINC00661	0	0	0			
LINC00662	-0.166593	528.06	592.819	-2.23445	0.166438	0.598715
LINC00663	-0.222826	10.1359	11.9958	-0.386698	0.740127	0.870582
LINC00664	0.247983	5.75189	4.68559	0.456099	0.717518	0.854901
LINC00665	0.0613778	28.2918	27.0718	0.035028	0.976667	0.990635
LINC00667	-0.180943	918.99	1041.92	-2.49117	0.169176	0.601821
LINC00668	0.0349572	61.8767	60.3714	0.0343859	0.97592	0.990635
LINC00670	1.55615	1.94067	0	1	0.5	0.706022
LINC00671	0	0	0			
LINC00672	1.16009	22.1161	9.3441	1.31378	0.414157	0.706022
LINC00673	0.150061	1491.55	1344.1	1.49051	0.285087	0.706022
LINC00674	-0.250126	1754.92	2087.34	-3.10314	0.110359	0.537628
LINC00676	0	0	0			
LINC00677	0	0	0			
LINC00678	-0.0449503	0.476402	0.523127	-0.0476934	0.966312	0.990635
LINC00680	-0.0263449	241.424	245.892	-0.309511	0.786236	0.898295
LINC00680-GUSBP4	0.201144	4.34898	3.65287	0.137696	0.904235	0.963399
LINC00681	0	0	0			
LINC00682	0	0	0			
LINC00683	0	0	0			
LINC00685	-0.181009	8.1602	9.38471	-0.450189	0.700371	0.843231
LINC00687	0	0	0			
LINC00689	0.118291	62.8645	57.837	0.30977	0.797644	0.905398
LINC00690	0	0	0			
LINC00691	1.76534	2.39954	0	8.9423	0.0708974	0.486679
LINC00692	0	0	0			
LINC00693	1.08299	3.33482	1.04625	0.38996	0.743167	0.87235
LINC00696	0	0	0			
LINC00698	0	0	0			
LINC00700	-1.02661	0	1.03723	-1	0.5	0.706022
LINC00701	-1.62033	0	2.07446	-1	0.5	0.706022
LINC00702	0	0	0			
LINC00703	0	0	0			
LINC00705	0	0	0			
LINC00706	-0.516714	4.79909	7.29671	-1.76005	0.225533	0.65764
LINC00707	0.265319	1319.66	1097.81	5.3343	0.117339	0.545458
LINC00708	0	0	0			
LINC00709	0	0	0			
LINC00710	0	0	0			
LINC00824	0	0	0			
LINC00836	0	0	0			
LINC00837	0	0	0			
LINC00838	0	0	0			
LINC00839	-0.135557	21.7011	23.9375	-0.324339	0.781915	0.895528
LINC00840	0	0	0			
LINC00841	0	0	0			
LINC00842	0.0671554	68.7479	65.5756	0.343037	0.789613	0.900252
LINC00844	0	0	0			
LINC00845	0	0	0			
LINC00847	-0.111373	304.096	328.582	-0.813211	0.507836	0.712214
LINC00850	0	0	0			
LINC00851	0	0	0			
LINC00852	-0.285013	2.38201	3.12072	-0.556995	0.665298	0.820275
LINC00853	1.04892	8.64537	3.66189	1.13088	0.458783	0.706022
LINC00856	0	0	0			
LINC00857	-0.0426717	779.623	803.057	-0.771462	0.533056	0.729865
LINC00858	-0.979618	4.79909	10.4355	-1.47985	0.331871	0.706022
LINC00861	0.487194	3.33482	2.09251	0.149484	0.895418	0.958233
LINC00862	1.16939	8.24785	3.11169	0.254308	0.825605	0.919909
LINC00863	-0.0547986	383.103	397.973	-1.52752	0.276742	0.706022
LINC00865	0.978442	0.970336	0	1	0.5	0.706022
LINC00866	0	0	0			
LINC00867	0	0	0			
LINC00868	0	0	0			
LINC00869	0.833434	123.274	68.7415	3.02745	0.184522	0.616678
LINC00870	-1.03299	0	1.04625	-1	0.5	0.706022
LINC00871	0	0	0			
LINC00877	0	0	0			
LINC00879	0	0	0			
LINC00880	-0.445918	4.32268	6.25046	-3.75674	0.164835	0.596817
LINC00881	0	0	0			
LINC00882	1.94801	2.85841	0	1	0.5	0.706022
LINC00884	0	0	0			
LINC00885	0	0	0			
LINC00886	1.50603	6.27212	1.56036	2.46681	0.162836	0.593956
LINC00887	0.122249	78.2759	71.8351	0.476534	0.68173	0.831907
LINC00888	-0.0119119	560.984	565.644	-0.819074	0.519322	0.720938
LINC00891	0	0	0			
LINC00892	0	0	0			
LINC00893	0.14565	57.1828	51.5956	0.762982	0.562253	0.751113
LINC00894	0.234047	95.1867	80.7824	1.23706	0.432773	0.706022
LINC00895	0	0	0			
LINC00896	-0.539769	2.91101	4.68559	-0.802764	0.567561	0.754409
LINC00898	3.33814	9.11301	0	9.78792	0.0648165	0.478836
LINC00899	-1.02661	0	1.03723	-1	0.5	0.706022
LINC00900	0.33618	29.8437	23.4324	1.53562	0.314457	0.706022
LINC00901	0	0	0			
LINC00903	0	0	0			
LINC00904	0	0	0			
LINC00905	0	0	0			
LINC00906	0	0	0			
LINC00907	2.42398	4.36651	0	1	0.5	0.706022
LINC00908	0	0	0			
LINC00909	0.207425	608.835	527.167	2.64015	0.161995	0.593456
LINC00910	-0.204478	27.8943	32.294	-3.37058	0.179717	0.611111
LINC00911	0	0	0			
LINC00917	0	0	0			
LINC00919	0	0	0			
LINC00920	0.551905	30.25	20.3162	2.80602	0.199999	0.63566
LINC00921	-0.581177	55.7448	83.8941	-3.78951	0.110645	0.537628
LINC00922	1.55615	1.94067	0	1	0.5	0.706022
LINC00923	-0.0298708	8.14267	8.33394	-0.239033	0.850623	0.934279
LINC00924	0	0	0			
LINC00926	-0.611992	7.14604	11.4501	-0.833245	0.554528	0.745161
LINC00927	0	0	0			
LINC00928	0	0	0			
LINC00929	0	0	0			
LINC00930	0	0	0			
LINC00933	-0.462896	12.9768	18.2643	-0.526007	0.691229	0.838053
LINC00934	0	0	0			
LINC00937	0.52091	1.92314	1.03723	0.91004	0.529934	0.727568
LINC00938	-0.58588	248.474	373.449	-12.7603	0.0433238	0.437899
LINC00939	0.978442	0.970336	0	1	0.5	0.706022
LINC00940	0	0	0			
LINC00941	0.296132	856.417	697.309	3.81799	0.0651638	0.479455
LINC00942	-0.254338	193.699	231.235	-4.95451	0.0404293	0.425633
LINC00943	0	0	0			
LINC00944	0.49739	17.282	11.9507	0.825346	0.546901	0.739146
LINC00945	0	0	0			
LINC00951	0	0	0			
LINC00954	0	0	0			
LINC00955	0	0	0			
LINC00957	2.54885	4.85168	0	1	0.5	0.706022
LINC00958	1.26408	7.6838	2.61564	1.34848	0.40213	0.706022
LINC00960	0.207511	305.674	264.589	4.86272	0.107118	0.535906
LINC00963	0.050636	449.857	434.307	0.633776	0.602827	0.778095
LINC00964	0	0	0			
LINC00965	1.54752	1.92314	0	178.853	0.00355942	0.224702
LINC00967	0	0	0			
LINC00968	0	0	0			
LINC00970	0	0	0			
LINC00971	0.965548	0.952805	0	1	0.5	0.706022
LINC00972	0	0	0			
LINC00974	0	0	0			
LINC00976	0	0	0			
LINC00977	0	0	0			
LINC00987	0	0	0			
LINC00989	0	0	0			
LINC00992	2.11597	3.33482	0	1	0.5	0.706022
LINC00993	0	0	0			
LINC00994	0	0	0			
LINC00996	1.55615	1.94067	0	1	0.5	0.706022
LINC00997	-0.268794	285.25	343.874	-1.93823	0.193268	0.626141
LINC00999	-0.103705	138.051	148.414	-0.935115	0.453061	0.706022
LINC01000	0.195199	1168.42	1020.43	4.59443	0.0704988	0.486679
LINC01001	0.0618814	124.501	119.232	0.532813	0.686453	0.835132
LINC01002	-0.243423	86.9914	103.164	-2.08063	0.236941	0.671306
LINC01003	-0.471419	80.8683	112.508	-2.41752	0.249311	0.684857
LINC01004	-0.280329	37.9776	46.3372	-1.99503	0.295292	0.706022
LINC01005	0	0	0			
LINC01006	-0.318476	59.1147	73.9637	-7.06231	0.0837566	0.504092
LINC01007	0	0	0			
LINC01010	0.136171	9.21819	8.29785	0.024111	0.982956	0.991052
LINC01011	0.137116	101.459	92.1694	1.56113	0.316712	0.706022
LINC01012	-0.0124212	22.2125	22.4133	-0.221748	0.856144	0.937456
LINC01013	0	0	0			
LINC01014	-1.03299	0	1.04625	-1	0.5	0.706022
LINC01015	0	0	0			
LINC01016	0	0	0			
LINC01017	0	0	0			
LINC01018	1.53884	1.90561	0	1	0.5	0.706022
LINC01019	0	0	0			
LINC01020	0	0	0			
LINC01022	0	0	0			
LINC01023	0.0580134	21.1721	20.2982	0.256761	0.826754	0.920655
LINC01028	0	0	0			
LINC01029	0.978442	0.970336	0	1	0.5	0.706022
LINC01030	0	0	0			
LINC01031	0	0	0			
LINC01033	0	0	0			
LINC01036	0	0	0			
LINC01037	0	0	0			
LINC01038	0	0	0			
LINC01039	0	0	0			
LINC01040	0	0	0			
LINC01043	0	0	0			
LINC01044	0	0	0			
LINC01046	0	0	0			
LINC01047	0	0	0			
LINC01048	0	0	0			
LINC01049	0	0	0			
LINC01050	0.965548	0.952805	0	1	0.5	0.706022
LINC01052	0	0	0			
LINC01053	0	0	0			
LINC01054	0	0	0			
LINC01055	0	0	0			
LINC01056	0	0	0			
