accession	contrast	class_label	organ	method	family	panel	n_in_set	n_observed	n_up	estimand	estimate	median_log2FC	mean_log2FC	aux_mean_log2FC	sign_p_greater	wilcoxon_p_greater	wilcoxon_p_less	ranksum_p_greater	nes	perm_p	stouffer_p	call	cldn4_log2FC	cldn4_down	concordant_hit	note
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.0	sensitivity	REACTOME_NHEJ	68	28	19	median_log2FC	0.075261915	0.075261915	0.049640815	0.049640815	0.043579277	0.15804813	0.84738717	0.16697848				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	IFN_ISG	39	13	5	median_log2FC	-0.065046841	-0.065046841	-0.13870824	-0.13870824	0.86657715	0.8302002	0.18786621	0.89864491				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.10140571	-0.10140571	0.038018891	0.038018891	0.96484375	0.76953125	0.2734375	0.79820584				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	NHEJ_CORE	8	7	3	median_log2FC	-0.045555537	-0.045555537	-0.098268224	-0.098268224	0.7734375	0.8125	0.234375	0.79660255				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	NHEJ_EXT	16	14	9	median_log2FC	0.10531683	0.10531683	0.011939628	0.011939628	0.2119751	0.35742188	0.6651001	0.42833762				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	HALLMARK_IFNA	97	51	30	median_log2FC	0.082482823	0.082482823	0.07273918	0.07273918	0.13121877	0.14906432	0.85093568	0.25132327				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	HALLMARK_IFNG	200	103	54	median_log2FC	0.020745192	0.020745192	0.0012922882	0.0012922882	0.34684298	0.33683753	0.66316247	0.53705518				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	REACTOME_NHEJ	68	28	14	median_log2FC	-0.0030838463	-0.0030838463	-0.006092264	-0.006092264	0.57472299	0.54016445	0.46874074	0.69086976				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	IFN_ISG	39	21	7	median_log2FC	-0.34780151	-0.34780151	-0.65900198	-0.65900198	0.96082306	0.99365425	0.0070829391	0.99788068				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.21951285	-0.21951285	-0.19073142	-0.19073142	0.96484375	0.98046875	0.02734375	0.96286415				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	NHEJ_CORE	8	7	5	median_log2FC	0.091859687	0.091859687	0.2070114	0.2070114	0.2265625	0.109375	0.921875	0.097773949				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	NHEJ_EXT	16	14	8	median_log2FC	0.053435021	0.053435021	0.034634613	0.034634613	0.39526367	0.52423096	0.5	0.47503775				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	HALLMARK_IFNA	97	60	18	median_log2FC	-0.22099043	-0.22099043	-0.33761524	-0.33761524	0.99946712	0.99985378	0.00014621868	0.99995359				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	HALLMARK_IFNG	200	110	44	median_log2FC	-0.048615629	-0.048615629	-0.1787154	-0.1787154	0.98607456	0.99249354	0.0075064554	0.98874856				down	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_sum_pc0.5_min1.0	sensitivity	REACTOME_NHEJ	68	28	19	median_log2FC	0.075261915	0.075261915	0.049640815	0.049640815	0.043579277	0.15804813	0.84738717	0.17310658				weak_up	-1.0586461	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	IFN_ISG	39	17	6	median_log2FC	-0.28109098	-0.28109098	-0.19445914	-0.19445914	0.92826843	0.904953	0.10344696	0.96641038				weak_down	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.1012441	-0.1012441	0.041520573	0.041520573	0.96484375	0.76953125	0.2734375	0.78636852				weak_down	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	NHEJ_CORE	8	7	3	median_log2FC	-0.045555537	-0.045555537	-0.092784389	-0.092784389	0.7734375	0.8125	0.234375	0.79039356				weak_down	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	NHEJ_EXT	16	14	9	median_log2FC	0.10531683	0.10531683	0.014681546	0.014681546	0.2119751	0.35742188	0.6651001	0.43197369				weak_up	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	HALLMARK_IFNA	97	55	32	median_log2FC	0.082482823	0.082482823	0.061880283	0.061880283	0.14030486	0.18276363	0.81723637	0.28623488				weak_up	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	HALLMARK_IFNG	200	109	57	median_log2FC	0.020745192	0.020745192	0.0010528119	0.0010528119	0.35090559	0.34547827	0.65452173	0.53581152				weak_up	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	REACTOME_NHEJ	68	28	14	median_log2FC	-0.0029022309	-0.0029022309	-0.02014372	-0.02014372	0.57472299	0.6189305	0.38964913	0.73236656				weak_down	-0.71637225	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	IFN_ISG	39	21	7	median_log2FC	-0.34780151	-0.34780151	-0.65745581	-0.65745581	0.96082306	0.99365425	0.0070829391	0.99774436				down	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.21951285	-0.21951285	-0.18888542	-0.18888542	0.96484375	0.98046875	0.02734375	0.95734871				down	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	NHEJ_CORE	8	7	5	median_log2FC	0.089444068	0.089444068	0.20578484	0.20578484	0.2265625	0.109375	0.921875	0.10070437				weak_up	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	NHEJ_EXT	16	14	8	median_log2FC	0.051756172	0.051756172	0.034021336	0.034021336	0.39526367	0.52423096	0.5	0.46697764				weak_up	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	HALLMARK_IFNA	97	60	19	median_log2FC	-0.20932416	-0.20932416	-0.32843396	-0.32843396	0.99866478	0.99973716	0.00026284272	0.99984887				down	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	HALLMARK_IFNG	200	113	46	median_log2FC	-0.049788559	-0.049788559	-0.18582427	-0.18582427	0.98099068	0.9927603	0.0072397012	0.98812035				down	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_median_pc0.5_min0.5	sensitivity	REACTOME_NHEJ	68	28	19	median_log2FC	0.073583065	0.073583065	0.048626873	0.048626873	0.043579277	0.15804813	0.84738717	0.17437772				weak_up	-1.0411598	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	IFN_ISG	39	17	6	median_log2FC	-0.28109098	-0.28109098	-0.20357424	-0.20357424	0.92826843	0.904953	0.10344696	0.96945971				weak_down	-0.74992113	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.11837875	-0.11837875	0.0016142718	0.0016142718	0.96484375	0.76953125	0.2734375	0.8277544				weak_down	-0.74992113	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	NHEJ_CORE	8	7	3	median_log2FC	-0.045555537	-0.045555537	-0.040467384	-0.040467384	0.7734375	0.7109375	0.34375	0.69431151				weak_down	-0.74992113	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	NHEJ_EXT	16	14	9	median_log2FC	0.10531683	0.10531683	0.040840049	0.040840049	0.2119751	0.23156738	0.78686523	0.33691338				weak_up	-0.74992113	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	HALLMARK_IFNA	97	55	32	median_log2FC	0.046088105	0.046088105	0.058034561	0.058034561	0.14030486	0.22792711	0.77207289	0.33712071				weak_up	-0.74992113	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	HALLMARK_IFNG	200	109	56	median_log2FC	0.020393951	0.020393951	-0.0095470352	-0.0095470352	0.42409739	0.44648993	0.55351007	0.64103997				weak_up	-0.74992113	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	REACTOME_NHEJ	68	28	15	median_log2FC	0.030389902	0.030389902	0.0079478269	0.0079478269	0.42527701	0.47766108	0.53125926	0.62560274				weak_up	-0.74992113	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	IFN_ISG	39	21	7	median_log2FC	-0.34780151	-0.34780151	-0.68394895	-0.68394895	0.96082306	0.99432659	0.0063457489	0.99794138				down	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	MHC_APM	18	8	2	median_log2FC	-0.21951285	-0.21951285	-0.19183407	-0.19183407	0.96484375	0.98046875	0.02734375	0.96141448				down	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	NHEJ_CORE	8	7	5	median_log2FC	0.082918347	0.082918347	0.2102171	0.2102171	0.2265625	0.109375	0.921875	0.090382055				weak_up	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	NHEJ_EXT	16	14	8	median_log2FC	0.055903612	0.055903612	0.036237466	0.036237466	0.39526367	0.52423096	0.5	0.45534804				weak_up	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	HALLMARK_IFNA	97	60	17	median_log2FC	-0.2181461	-0.2181461	-0.33864534	-0.33864534	0.99980298	0.99985378	0.00014621868	0.99995097				down	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	HALLMARK_IFNG	200	113	44	median_log2FC	-0.08426268	-0.08426268	-0.19097896	-0.19097896	0.99295625	0.99563903	0.0043609694	0.99347969				down	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_fpkm_pc0.5_min0.5	sensitivity	REACTOME_NHEJ	68	28	19	median_log2FC	0.06913825	0.06913825	0.050372081	0.050372081	0.043579277	0.13208582	0.87274334	0.15623117				weak_up	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	IFN_ISG	39	17	6	median_log2FC	-0.087235829	-0.087235829	-0.17737096	-0.17737096	0.92826843	0.88765717	0.12174988	0.98163075				weak_down	0.64805103	no	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	MHC_APM	18	8	4	median_log2FC	0.012676586	0.012676586	0.1890029	0.1890029	0.63671875	0.3203125	0.7265625	0.48986038				weak_up	0.64805103	no	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	NHEJ_CORE	8	7	4	median_log2FC	0.10763669	0.10763669	0.04312308	0.04312308	0.5	0.34375	0.7109375	0.60882084				weak_up	0.64805103	no	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	NHEJ_EXT	16	14	10	median_log2FC	0.13803953	0.13803953	0.08263528	0.08263528	0.089782715	0.059448242	0.94799805	0.43830875				weak_up	0.64805103	no	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	HALLMARK_IFNA	97	55	33	median_log2FC	0.082482823	0.082482823	0.098426149	0.098426149	0.088500682	0.079625351	0.92037465	0.49514437				weak_up	0.64805103	no	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	HALLMARK_IFNG	200	109	61	median_log2FC	0.046601071	0.046601071	0.046260356	0.046260356	0.125141	0.11473182	0.88526818	0.73037561				weak_up	0.64805103	no	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	REACTOME_NHEJ	68	28	18	median_log2FC	0.076964972	0.076964972	0.076656773	0.076656773	0.092466671	0.057258077	0.9453742	0.53142024				weak_up	0.64805103	no	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	IFN_ISG	39	21	8	median_log2FC	-0.26332835	-0.26332835	-0.62466473	-0.62466473	0.90537643	0.98404026	0.017528057	0.99861266				down	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	MHC_APM	18	8	2	median_log2FC	-0.19609546	-0.19609546	-0.17094061	-0.17094061	0.96484375	0.98046875	0.02734375	0.98087192				down	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	NHEJ_CORE	8	7	5	median_log2FC	0.1644303	0.1644303	0.22690245	0.22690245	0.2265625	0.078125	0.9453125	0.16059873				weak_up	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	NHEJ_EXT	16	14	8	median_log2FC	0.055903612	0.055903612	0.044580137	0.044580137	0.39526367	0.47576904	0.54840088	0.67084954				weak_up	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	HALLMARK_IFNA	97	59	19	median_log2FC	-0.18705503	-0.18705503	-0.30155067	-0.30155067	0.99810315	0.99807914	0.0019208557	0.99997917				down	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	HALLMARK_IFNG	200	112	50	median_log2FC	-0.029877132	-0.029877132	-0.11188476	-0.11188476	0.89043443	0.81204407	0.18795593	0.9871818				weak_down	-1.0385143	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	REACTOME_NHEJ	68	28	21	median_log2FC	0.087302922	0.087302922	0.10182083	0.10182083	0.0062704757	0.022559155	0.97869581	0.23795997				up	-1.0385143	yes	yes	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays	primary	IFN_ISG	39	27	12	median_log2FC	-0.013666667	-0.013666667	-0.074084568	-0.074084568	0.77896583	0.71903374	0.28903049	0.61761816				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays+prerank_gsea	pathway	IFN_ISG	39	27		NES	-0.72296237								-0.72296237			not_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept. Prerank GSEA, 300 gene-set permutations.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays	primary	MHC_APM	18	14	4	median_log2FC	-0.45360833	-0.45360833	-0.25589643	-0.25589643	0.97131348	0.96075439	0.045288086	0.91453628				down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays+prerank_gsea	pathway	MHC_APM	18	14		NES	-0.89586984								-0.89586984			not_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept. Prerank GSEA, 300 gene-set permutations.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays	primary	NHEJ_CORE	8	5	2	median_log2FC	-0.062433333	-0.062433333	-0.38900667	-0.38900667	0.8125	0.6875	0.40625	0.65311312				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays+prerank_gsea	pathway	NHEJ_CORE	8	5		NES												not_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept. Prerank GSEA, 300 gene-set permutations.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays	primary	NHEJ_EXT	16	12	7	median_log2FC	0.44225833	0.44225833	0.046794444	0.046794444	0.38720703	0.15063477	0.86694336	0.18953668				weak_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays+prerank_gsea	pathway	NHEJ_EXT	16	12		NES	-0.66500386								-0.66500386			not_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept. Prerank GSEA, 300 gene-set permutations.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays	primary	HALLMARK_IFNA	97	70	32	median_log2FC	-0.021208333	-0.021208333	-0.043775357	-0.043775357	0.79851846	0.81235438	0.18764562	0.62951054				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays+prerank_gsea	pathway	HALLMARK_IFNA	97	70		NES	-0.62290658								-0.62290658			not_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept. Prerank GSEA, 300 gene-set permutations.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays	primary	HALLMARK_IFNG	200	154	70	median_log2FC	-0.065808333	-0.065808333	-0.1427415	-0.1427415	0.88667467	0.87602956	0.12397044	0.72971614				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays+prerank_gsea	pathway	HALLMARK_IFNG	200	154		NES	-1.0921182								-1.0921182			not_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept. Prerank GSEA, 300 gene-set permutations.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays	primary	REACTOME_NHEJ	68	20	9	median_log2FC	-0.13271667	-0.13271667	0.018100833	0.018100833	0.74827766	0.28529835	0.72706223	0.30881119				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_mean_arrays+prerank_gsea	pathway	REACTOME_NHEJ	68	20		NES	0.58333157								0.58333157	0.38538206		weak_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept. Prerank GSEA, 300 gene-set permutations.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_mean_probe	sensitivity	IFN_ISG	39	27	12	median_log2FC	-0.013666667	-0.013666667	-0.083329012	-0.083329012	0.77896583	0.7348389	0.27300885	0.64069118				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_mean_probe	sensitivity	MHC_APM	18	14	4	median_log2FC	-0.39499167	-0.39499167	-0.25910916	-0.25910916	0.97131348	0.94799805	0.059448242	0.91437981				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_mean_probe	sensitivity	NHEJ_CORE	8	5	2	median_log2FC	-0.062433333	-0.062433333	-0.38900667	-0.38900667	0.8125	0.6875	0.40625	0.65225432				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_mean_probe	sensitivity	NHEJ_EXT	16	12	6	median_log2FC	0.14849167	0.14849167	-0.026188889	-0.026188889	0.61279297	0.25927734	0.76513672	0.31267726				weak_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_mean_probe	sensitivity	HALLMARK_IFNA	97	70	36	median_log2FC	0.012883333	0.012883333	-0.022670079	-0.022670079	0.45248726	0.68745781	0.31254219	0.50310491				weak_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_mean_probe	sensitivity	HALLMARK_IFNG	200	154	72	median_log2FC	-0.064341667	-0.064341667	-0.13994605	-0.13994605	0.81227156	0.85741571	0.14258429	0.68614455				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_mean_probe	sensitivity	REACTOME_NHEJ	68	20	10	median_log2FC	0.040233333	0.040233333	0.0398025	0.0398025	0.58809853	0.23745251	0.77381229	0.24905119				weak_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_max_probe	optimistic	IFN_ISG	39	27	13	median_log2FC	-0.013533333	-0.013533333	0.025791975	0.025791975	0.64944598	0.50471325	0.50471325	0.84211403				weak_down	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_max_probe	optimistic	MHC_APM	18	14	8	median_log2FC	0.10495	0.10495	0.3513119	0.3513119	0.39526367	0.16290283	0.85211182	0.42821875				weak_up	-1.22505	yes	no	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
