accession	title	taxon	n_samples	gdstype	pdat	suppfile	ftp	queries	summary
GSE183996	Coordinated repression of pro-differentiation genes via P-bodies and transcription maintains Drosophila intestinal stem cell identity	Drosophila melanogaster	6	Expression profiling by high throughput sequencing	2021/12/06	BW, CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183996/	named_accessions	The role of Processing bodies (P-bodies), key sites of post-transcriptional control, in adult stem cells remains poorly understood. Here, we report that adult Drosophila intestinal stem cells, but not surrounding differentiated cells such as absorptive Enterocytes (ECs), harbor P-bodies that contain Drosophila orthologs of mammalian P-body components DDX6, EDC3, EDC4 and LSM14A/B. A targeted RNAi screen in intestinal progenitor cells identified 39 previously known and 64 novel P-body regulators, including Patr-1, a gene necessary for P-body assembly. Loss of Patr-1-dependent P-bodies leads to a loss of stem cells that is associated with inappropriate translation and expression of EC-fate gene nubbin. Transcriptomic analysis of progenitor cells identifies a cadre of such weakly transcribed pro-differentiation transcripts that are elevated after P-body loss. Altogether, this study identifies a coordinated P-body dependent, translational and transcriptional repression program that maintains a defined set of in vivo stem cells in a state primed for differentiation.
GSE184053	CD8+ TILs in NSCLC differentiate into TEMRA via a bifurcated trajectory, deciphering immunogenicity of tumor-antigens	Homo sapiens	9	Expression profiling by high throughput sequencing	2021/09/14	FA, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184053/	lung_ici_blood	CD8+ tumor-infiltrating lymphocytes (TILs) comprise phenotypically and functionally heterogeneous subpopulations. Of these, effector memory CD45RA-expressing CD8+ T cells (Temra) have been discovered and characterized as the most terminally differentiated subset. However, their exact ontogeny and physiological importance in association with tumor progression remain poorly understood. We analyzed primary tumors and peripheral blood samples from 26 patients with non-small cell lung cancer and analyzed their phenotypes and functional characteristics using flow cytometry, RNA-sequencing, and bioinformatics. We found that tumor-infiltrating Temra (tilTemra) cells largely differ from peripheral blood Temra (pTemra), with distinct transcriptomes and functional properties. Notably, although majority of the pTemra was CD27-CD28- double-negative (DN), a large fraction of tilTemra population was CD27+CD28+ double-positive (DP), a characteristic of early-stage, less differentiated effector cells. Trajectory analysis revealed that CD8+ TILs undergo a divergent sequence of events for differentiation into either DP or DN tilTemra. Such a differentiation toward DP tilTemra relied on persistent expression of CD27 and CD28 and was associated with weak T cell receptor engagement. Thus, a higher proportion of DP Temra was correlated with lower immunogenicity of tumor antigens and consequently lower accumulation of CD8+ TILs. These data suggest a complex interplay between CD8+ T cells and tumors and define DP Temra as a unique subset of tumor-specific CD8+ TILs that are produced in patients with relatively low immunogenic cancer types, predicting immunogenicity of tumor antigens and CD8+ TIL counts, a reliable biomarker for successful cancer immunotherapy.
GSE186143	T cell characteristics associated with toxicity to immune checkpoint blockade in patients with melanoma [bulk RNA-seq]	Homo sapiens	66	Expression profiling by high throughput sequencing	2022/01/13	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186143/	named_accessions	Severe immune-related adverse events (irAEs) occur in up to 60% of melanoma patients treated with immune checkpoint inhibitors (ICIs). However, it remains unknown whether a common baseline immunological state precedes irAE development. Leveraging CyTOF, single-cell RNA sequencing, bulk RNA sequencing, and T cell receptor sequencing to analyze pretreatment blood from metastatic melanoma patients treated with ICIs, we investigated cellular factors associated with severe irAE development regardless of organ system involvement. Our results demonstrate circulating T cell characteristics associated with ICI-induced toxicity, with implications for improved diagnostics and clinical management.
GSE190731	Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors	Homo sapiens	23	Expression profiling by array	2022/02/23	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190731/	lung_ici_blood	Non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) mutations do not respond to anti-PD-1 (L1) as well as tumors without an EGFR mutation. We showed in a xenograft mouse model of EGFR-mutated NSCLC that, neither durvalumab nor oleclumab alone inhibited tumor growth compared to the isotype control. In contrast, the combination of both antibodies significantly inhibited tumor growth and increased gene expressions that corresponded to inflammation and T cell function in tumors treated. We used microarrays to study gene expressions that corresponded to enhanced immune response in antibody-treated mice.
GSE190905	Single-cell RNA and TCR sequencing reveals distinct systematic immune response induced by SABR with or without prior anti-PD-1 therapy	Homo sapiens	16	Expression profiling by high throughput sequencing; Other	2025/02/05	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190905/	lung_ici_pbmc;named_accessions	Previous studies have demonstrated that stereotactic body radiation therapy (SBRT) could activate systemic immune response, however, these researches showed limitations in comprehensively characterizing changes of T cell profile and T cell receptor (TCR). In the present study, we applied scRNA-seq and scTCR-seq to observe the dynamics of T cell and TCR repertoire from peripheral blood mononuclear cells (PBMCs) in early stage non-small-cell lung cancer (NSCLC) patients receiving SBRT with or without prior anti-PD-1 therapy, demonstrating the distinct systemic immune response between SBRT and ISBRT group. An enrichment of CD8-TE, CD8-EM, and CD4-TE clusters with increased cytotoxic and exhausted score were observed after treatment in SBRT group, while a decrease of those were presented in ISBRT group. Moreover, gene expression analysis revealed T cell mediated cytotoxicity signaling and T cell proliferation signaling were enriched in SBRT group while decreased in SBRT group. Analysis of TCR repertoire indicated a substantial alteration of TCR repertoire after treatment. The proportions of the large clone of TCR were increased after treatment in SBRT group while an opposite alteration existed in ISBRT group. After treatment, both SBRT and ISBRT group generated numerous new TCR clones which were mainly enriched in CD8 TE. Single clones and large clones were the mainly types of new TCRs in SBRT group, whereas in ISBRT group single clones accounted for the majority of new TCRs. These findings suggested that systemic immunity was activated in distinct pattern between the SBRT and ISBRT group, and provide evidence for future development of new treatment regimen.
GSE192591	PD-L1+CD8+ T cells enrichment in lung cancer exerted regulatory function and tumor-promoting tolerance	Homo sapiens	6	Expression profiling by high throughput sequencing	2022/02/18	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE192nnn/GSE192591/	lung_ici_blood	Targeting checkpoint blockade to rescue exhausted regulatory T cells (Tregs) has become an essential immunotherapy strategy in treating cancer. Until now, the CD4+ Tregs and PD-1+CD8+ T cells were demonstrated to reduce immunogenic responses. In contrast, little is known about the PD-L1 graphic pattern and characteristics in CD8+ T cells. We performed two high-throughput analysis approaches on tumor-infiltrating CD8+ T cells in lung cancers. We discovered PD-L1+CD8+ T cells enriched in tumor lesions, localized with PD-1+CD8+ affected T cells, and owned regulatory functions. Moreover, tumor-derived IL-27 promoted the development of PD-L1+CD8+ T cells through STAT1/STAT3 signaling. Single-cell RNA sequencing data analysis further clarified the enrichment of PD-L1+CD8+ T cells related to the downregulation of adaptive immune response. Additionally, enrichment of this subset was correlated with poor survival of lung cancer patients. Our data collectively demonstrated that PD-L1+CD8+ T cells potentially become a prognostic biomarker in lung cancer.
GSE193049	Bronchoalveolar lavage fluid reveals factors contributing to the efficacy of PD-1 blockade in lung cancer	Homo sapiens	7	Expression profiling by high throughput sequencing	2022/04/07	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193049/	lung_ici_blood	Bronchoalveolar lavage is commonly performed to examine inflammation and responsible pathogens in lung diseases, and its findings may be used to assess the immune profile of the lung tumor microenvironment (TME). To investigate whether analyses of bronchoalveolar lavage fluid (BALF) can help identify non-small cell lung cancer (NSCLC) patients who respond to immune checkpoint inhibitors (ICIs), BALF and blood were prospectively collected before initiating nivolumab. The secreted molecules, microbiome, and cellular profiles based on BALF and blood analysis were compared regarding therapeutic effect in 12 patients. Compared to non-responders, responders showed significantly higher CXCL9 levels and greater diversity in the lung microbiome profile in BALF, and greater frequency of CD56+ subset in blood T cells, whereas no significant difference was found in PD-L1 expression of tumor cells. Antibiotic treatment in a preclinical lung cancer model significantly decreased CXCL9 in the lung TME, resulting in reduced sensitivity to nivolumab, which was reversed by CXCL9 induction in tumor cells. Thus, CXCL9 and the microbiome in the lung TME might be associated with each other, and their balance could contribute to nivolumab sensitivity in NSCLC patients. BALF analysis can help predict the efficacy of ICIs when performed along with currently approved examinations.
GSE193707	Genome-wide expression profiling of mediastinal lymph nodal metastasis of stage IIIA NSCLC patients before neoadjuvant chemotherapy	Homo sapiens	4	Expression profiling by array	2022/12/31	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193707/	lung_ici_blood	Non–small-cell lung cancer (NSCLC) is the leading cause of cancer deaths worldwide due to late diagnosis and lack of effective therapies to treat metastatic disease. About one third of NSCLC patients present at diagnosis with locally advanced cancer (stage IIIA) which metastasizes ipsilateral mediastinal or subcarinal lymph nodes (N2). Neoadjuvant chemotherapy (NACT) followed by surgery is the treatment of choice for resectable N2 disease. However, the majority of patients do not respond to NACT and show persistent lymph nodal metastases and an adverse outcome. Our scant knowledge of the molecular biology of lymph node metastases (LNmets) represents a major obstacle to develop more effective therapies. Here, we investigated gene expression profile (coding and non-coding) of LNmets collected by endobronchial ultrasound transbronchial needle aspiration (EBUS-TBNA) and mediastinoscopy, in two cohorts of stage IIIA patients before NACT (N=70). We discovered a microRNA expression signature in LNmets predictive of NACT response of N2 patients. Importantly, we unveiled a miR-455-5p/PD-L1 regulatory axis which drives chemotherapy resistance and impact T cell viability in NSCLC. Our data suggests the relevance of LNmets molecular profiling to predict response to NACT likewise presents strong evidences of a miRNA-based mechanism which functionally links chemotherapy response with PD-L1 regulation.
GSE193719	Genome-wide expression profiling of NSCLC cancer cell lines upon miR-455-5p overexpression	Homo sapiens	10	Expression profiling by array	2022/12/31	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE193nnn/GSE193719/	lung_ici_blood	Non–small-cell lung cancer (NSCLC) is the leading cause of cancer deaths worldwide due to late diagnosis and lack of effective therapies to treat metastatic disease. About one third of NSCLC patients present at diagnosis with locally advanced cancer (stage IIIA) which metastasizes ipsilateral mediastinal or subcarinal lymph nodes (N2). Neoadjuvant chemotherapy (NACT) followed by surgery is the treatment of choice for resectable N2 disease. However, the majority of patients do not respond to NACT and show persistent lymph nodal metastases and an adverse outcome. Our scant knowledge of the molecular biology of lymph node metastases (LNmets) represents a major obstacle to develop more effective therapies. Here, we investigated gene expression profile (coding and non-coding) of LNmets collected by endobronchial ultrasound transbronchial needle aspiration (EBUS-TBNA) and mediastinoscopy, in two cohorts of stage IIIA patients before NACT (N=70). We discovered a microRNA expression signature in LNmets predictive of NACT response of N2 patients. Importantly, we unveiled a miR-455-5p/PD-L1 regulatory axis which drives chemotherapy resistance and impact T cell viability in NSCLC. Our data suggests the relevance of LNmets molecular profiling to predict response to NACT likewise presents strong evidences of a miRNA-based mechanism which functionally links chemotherapy response with PD-L1 regulation.
GSE194070	Tumor-intrinsic CD74 expression mediates immune evasion in lung cancer with COPD	Homo sapiens	16	Expression profiling by high throughput sequencing	2024/08/15	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194070/	lung_ici_blood	To better elucidate the complex interaction between COPD and NSCLC, we comprehensively characterized immune cell dynamics and transcriptome profiles of malignant cells in tumor tissues from NSCLC patients with COPD using single-cell RNA sequencing (scRNA-seq). We observed increased fractions of exhausted CD8+ T cells, CCL18+ tumor-associated macrophages (TAMs), and LAMP3+ dendritic cells (DCs) in the immune component of NSCLC with COPD compared with the findings in NSCLC without COPD. Remarkably, a critical cluster of malignant cells from NSCLC with COPD samples, characterized by high expression of CD74, significantly exhibited an epithelial-immune dual signature and was associated with poor prognosis. Interestingly, we found that CD74 facilitated phosphorylation of MAPK/STAT3 to mediate PD-L1 expression and further suppressed CD8+ T cell function, triggering LC progression. Our study provides a comprehensive profiling of the multi-cellular ecosystem of NSCLC with coexisting COPD and reveals that CD74+ cancer cells are potential targets for immunotherapy.
GSE201322	Epigenetic DNA Methylation Signatures Associated with the Severity of  Paget’s disease of bone	Homo sapiens	232	Methylation profiling by genome tiling array	2022/05/18	IDAT, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE201nnn/GSE201322/	named_accessions	This pioneering study investigated associations between DNA methylation levels and PDB severity. 100 methylation sites associated with PDB disease severity were identified, while important molecular pathways associated with disease progression were also disclosed. Importantly, DNA methylation markers to predict disease severity with high accuracy were also identified but require further validations.
GSE202417	Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer	Homo sapiens	28	Expression profiling by array	2025/05/06	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202417/	lung_ici_blood;lung_ici_pbmc;named_accessions	Background. Novel combination therapies with PD-1/PD-L1 inhibitors are needed to overcome resistance to these drugs. Bezafibrate, a ligand of PGC-1a/PPAR complexes, has shown a synergistic antitumor effect with PD-1 blockade in mice that is mediated by activation of mitochondria in T cells. We have therefore now performed a phase I trial of bezafibrate with nivolumab in previously treated patients with advanced non-small cell lung cancer. The primary end point was the percentage of patients who experience dose-limiting toxicity, and this combination regimen was found to be well tolerated. Preplanned comprehensive analysis of plasma metabolites and gene expression in peripheral cytotoxic T cells indicated that bezafibrate promoted T cell function through upregulation of mitochondrial metabolism including fatty acid oxidation and may thereby have prolonged the duration of response. This combination strategy targeting T cell metabolism thus has the potential to maintain antitumor activity of immune checkpoint inhibitors and warrants further validation.
GSE206127	Machine Learning-based Exceptional Response Prediction of Nivolumab Monotherapy with Circulating MicroRNAs in Non-Small Cell Lung Cancer	Homo sapiens	213	Non-coding RNA profiling by high throughput sequencing	2025/06/14	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206127/	lung_ici_blood	Detecting cancer patients with exceptional response to immune check-point inhibition therapy is necessary to improve the treatment.  This study demonstrated machine learning models that utilize both microRNA expression and clinical information achieved much higher sensitivity and accuracy in identifying Exceptional-responder to nivolumab monotherapy when comparing to conventional method only using companion PD-L1 testing.
GSE207715	 Extracellular vesicles miR-574-5p and miR-181a-5p as prognostic markers in NSCLC patients treated with nivolumab	Homo sapiens	282	Non-coding RNA profiling by array	2024/07/28	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207715/	lung_ici_blood;named_accessions	Plasma from 245 patients with advanced NSCLC who received nivolumab as second-line therapy was collected and analyzed. EV-miRnome was profiled on 174/245 patients by microarray platform and selected EV-miRs were validated by qPCR. A prognostic model combining EV-miR and clinical variables was built using stepwise Cox regression analysis and tested on an independent patient cohort (71/245). EV-PD-L1 gene copy number was assessed by digital PCR. For 54 patients with disease control, EV-miR changes at best response versus baseline were investigated by microarray and validated by qPCR.  EV-miRNome profiling at baseline identified two EV-miR (miR-181a-5p, miR-574-5p) that, combined with performance status, are capable of discriminating patients unlikely from those that are likely to benefit from immunotherapy (median overall survival of 4 months or higher than 9 months, respectively).  EV-PD-L1 digital evaluation reported higher baseline copy number in patients at increased mortality risk, without improving the prognostic score. Best response EV-miRNome profiling selected six deregulated EV-miRs (miR19a-3p, miR-20a-5p, miR-142-3p, miR-1260a, miR-1260b, miR-5100) in responding patients. Their longitudinal monitoring highlighted a significant downmodulation already in the first treatment cycles, which lasted more than six months.  Grantee:  Simona Coco Grantor:  Italian Ministry of Health Grant ID:  CO-2016-02361470 Grant Title:  Exosomal miRNA signature as prognostic marker in advanced non-small cell lung cancer (NSCLC) patients treated with Nivolumab
GSE209973	Prediction of prognosis, immunogenicity and efficacy of immunotherapy based on glutamine metabolism in lung adenocarcinoma	Homo sapiens	6	Expression profiling by high throughput sequencing	2022/07/31	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE209nnn/GSE209973/	lung_ici_blood	Glutamine (Gln) metabolism has been reported to play an essential role in cancer. However, a comprehensive analysis of its role in lung adenocarcinoma is still unavailable. This study established a novel system of quantification of Gln metabolism to predict the prognosis and immunotherapy efficacy in lung cancer. Further, the Gln metabolism in tumor microenvironment (TME) was characterized and the Gln metabolism-related genes were identified for targeted therapy. We comprehensively evaluated the patterns of Gln metabolism in 513 patients diagnosed with lung adenocarcinoma (LUAD) based on 73 Gln metabolism-related genes. Based on differentially expressed genes (DEGs), a risk model was constructed using Cox regression and Lasso regression analysis. The prognostic efficacy of the model was validated using an individual LUAD cohort form Shandong Provincial Hospital, an integrated LUAD cohort from GEO and pan-cancer cohorts from TCGA databases. Five independent immunotherapy cohorts were used to validate the model performance in predicting immunotherapy efficacy. Next, a series of single-cell sequencing analyses were used to characterize Gln metabolism in TME. Finally, single-cell sequencing analysis, transcriptome sequencing, and a series of in vitro experiments were used to explore the role of EPHB2 in LUAD. Patients with LUAD were eventually divided into low- and high-risk groups. Patients in low-risk group were characterized by low levels of Gln metabolism, survival advantage, “hot” immune phenotype and benefit from immunotherapy. Compared with other cells, tumor cells in TME exhibited the most active Gln metabolism. Among immune cells, tumor-infiltrating T cells exhibited the most active levels of Gln metabolism, especially CD8 T cell exhaustion and Treg suppression. EPHB2, a key gene in the model, was shown to promote LUAD cell proliferation, invasion and migration, and regulated the Gln metabolic pathway. Finally, we found that EPHB2 was highly expressed in macrophages, especially M2 macrophages. It may be involved in the M2 polarization of macrophages and mediate the negative regulation of M2 macrophages in NK cells. This study revealed that the Gln metabolism-based model played a significant role in predicting prognosis and immunotherapy efficacy in lung cancer. We further characterized the Gln metabolism of TME and investigated the Gln metabolism-related gene EPHB2 to provide a theoretical framework for anti-tumor strategy targeting Gln metabolism.
GSE210516	RNAseq in lung cancer pneumospheres treated with PD-L1s	Homo sapiens	8	Expression profiling by high throughput sequencing	2022/09/14	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210516/	lung_ici_blood	We evaluated the differential expression of protein coding genes in NSCLC pneumospheres upon treatment  with PD-L1s
GSE211044	Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [bulk RNA-seq]	Homo sapiens	51	Expression profiling by high throughput sequencing	2022/08/22	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE211nnn/GSE211044/	lung_ici_blood	Regulatory T (Treg) cells suppress effective antitumor immunity in tumor-bearing hosts, thereby becoming promising targets in cancer immunotherapy. Here, we show that Treg cells in the tumor microenvironment (TME) of human lung cancers harbor a completely different open chromatin profile compared to effector T cells and peripheral Treg cells. The integrative sequencing analyses revealed that BATF, IRF4, NF-κb, and NR4A were important transcription factors for Treg cell differentiation in the TME. Particularly, BATF was identified as a key regulator, which leveraged Treg cell differentiation through epigenetically controlling activation-associated gene expression, resulting in the robustness of Treg cells in the TME. BATF deficiency in Treg cells remarkably inhibited tumor growth and high BATF expression was associated with poor prognosis in lung cancer, kidney cancer, and melanoma. Our results propose the specific chromatin remodeling and differentiation program of Treg cells in the TME, which can be applied in the development of Treg cell-targeted therapies.
GSE211068	Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scRNA-seq]	Homo sapiens	9	Expression profiling by high throughput sequencing	2022/08/22	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE211nnn/GSE211068/	lung_ici_blood	Regulatory T (Treg) cells suppress effective antitumor immunity in tumor-bearing hosts, thereby becoming promising targets in cancer immunotherapy. Here, we show that Treg cells in the tumor microenvironment (TME) of human lung cancers harbor a completely different open chromatin profile compared to effector T cells and peripheral Treg cells. The integrative sequencing analyses revealed that BATF, IRF4, NF-κb, and NR4A were important transcription factors for Treg cell differentiation in the TME. Particularly, BATF was identified as a key regulator, which leveraged Treg cell differentiation through epigenetically controlling activation-associated gene expression, resulting in the robustness of Treg cells in the TME. BATF deficiency in Treg cells remarkably inhibited tumor growth and high BATF expression was associated with poor prognosis in lung cancer, kidney cancer, and melanoma. Our results propose the specific chromatin remodeling and differentiation program of Treg cells in the TME, which can be applied in the development of Treg cell-targeted therapies.
GSE211087	Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scATAC-seq]	Homo sapiens	8	Genome binding/occupancy profiling by high throughput sequencing	2022/08/22	CSV, H5, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE211nnn/GSE211087/	lung_ici_blood	Regulatory T (Treg) cells suppress effective antitumor immunity in tumor-bearing hosts, thereby becoming promising targets in cancer immunotherapy. Here, we show that Treg cells in the tumor microenvironment (TME) of human lung cancers harbor a completely different open chromatin profile compared to effector T cells and peripheral Treg cells. The integrative sequencing analyses revealed that BATF, IRF4, NF-κb, and NR4A were important transcription factors for Treg cell differentiation in the TME. Particularly, BATF was identified as a key regulator, which leveraged Treg cell differentiation through epigenetically controlling activation-associated gene expression, resulting in the robustness of Treg cells in the TME. BATF deficiency in Treg cells remarkably inhibited tumor growth and high BATF expression was associated with poor prognosis in lung cancer, kidney cancer, and melanoma. Our results propose the specific chromatin remodeling and differentiation program of Treg cells in the TME, which can be applied in the development of Treg cell-targeted therapies.
GSE211153	Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [bulk ATAC-seq]	Homo sapiens	46	Genome binding/occupancy profiling by high throughput sequencing	2022/08/22	BW, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE211nnn/GSE211153/	lung_ici_blood	Regulatory T (Treg) cells suppress effective antitumor immunity in tumor-bearing hosts, thereby becoming promising targets in cancer immunotherapy. Here, we show that Treg cells in the tumor microenvironment (TME) of human lung cancers harbor a completely different open chromatin profile compared to effector T cells and peripheral Treg cells. The integrative sequencing analyses revealed that BATF, IRF4, NF-κb, and NR4A were important transcription factors for Treg cell differentiation in the TME. Particularly, BATF was identified as a key regulator, which leveraged Treg cell differentiation through epigenetically controlling activation-associated gene expression, resulting in the robustness of Treg cells in the TME. BATF deficiency in Treg cells remarkably inhibited tumor growth and high BATF expression was associated with poor prognosis in lung cancer, kidney cancer, and melanoma. Our results propose the specific chromatin remodeling and differentiation program of Treg cells in the TME, which can be applied in the development of Treg cell-targeted therapies.
GSE213590	FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis	Homo sapiens	6	Expression profiling by high throughput sequencing	2023/09/20	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213590/	lung_ici_blood	Lung cancer brain metastasis (LCBM) is a leading cause of mortality in lung cancer patients, with a median survival of merely 4-6 months post-metastasis. Ferroptosis, an iron-dependent form of programmed cell death, has emerged as a key regulator of cancer metastasis, yet its role and underlying mechanisms in LCBM remain elusive. This study investigates the involvement of ferroptosis resistance and the transcription factor FOS in LCBM progression. Through single-cell RNA sequencing (scRNA-seq) and clinical sample validation, we identified prominent ferroptosis resistance in LCBM tissues, characterized by elevated expression of resistance markers (e.g., GPX4, SLC7A11) and reduced pro-ferroptotic factors (e.g., ACSL4, TFRC). Functional assays demonstrated that ferroptosis activation inhibits epithelial-mesenchymal transition (EMT) and LCBM both in vitro and in vivo. Notably, FOS expression was progressively downregulated from normal lung tissues to primary lung cancer and LCBM tissues, and FOS overexpression significantly suppressed ferroptosis resistance and brain metastasis. Mechanistically, FOS transcriptionally inhibits the NRF2-SLC3A2-GPX4 axis while promoting the SLC39A8-ACSF2 axis, thereby regulating iron and lipid metabolism to induce ferroptosis. Additionally, FOS overexpression disrupts aberrant crosstalk between lung cancer epithelial cells and cancer-associated fibroblasts (CAFs), blocking CAF-mediated extracellular matrix (ECM) remodeling and cancer cell PD-L1-driven immunosuppression. Notably, FOS overexpression also enhances cisplatin sensitivity in chemo-resistant lung cancer cells, reinforcing its therapeutic potential. Our findings reveal FOS as a critical regulator of ferroptosis and CAF function in LCBM, highlighting targeting FOS and ferroptosis as a novel therapeutic strategy to improve outcomes for lung cancer patients with brain metastasis.
GSE213902	The utility of circulating CX3CR1+ CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in patients with non-small cell lung cancer	Homo sapiens	6	Expression profiling by high throughput sequencing; Other	2023/04/05	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213902/	lung_ici_blood;lung_ici_pbmc	Lack of reliable predictive biomarkers is a major limitation of combination therapy with chemotherapy and anti-PD-1 therapy (chemo-immunotherapy). The increase of peripheral blood (PB) CD8+ T cells expressing CX3CR1, a marker of differentiation, correlates with response to anti-PD-1 therapy; however, the predictive and prognostic value of T-cell CX3CR1 expression during chemo-immunotherapy remains elusive. Here, we evaluated the utility of PB CX3CR1+CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in non-small cell lung cancer (NSCLC) patients. At least 10% increase of the CX3CR1+ subset in circulating CD8+ T cells from baseline (CX3CR1 score) was associated with response to chemo-immunotherapy at 6 weeks (p = 0.0382) and 9 weeks (p = 0.0045). Sensitivity, specificity, positive and negative predictive value of at least 10% increase of the CX3CR1 score was 83.3%, 88.2%, 83.3% and 88.2%, respectively with 86.2% overall accuracy of predicting response at 9 weeks. Furthermore, at least 10% increase of the CX3CR1 score correlated with improved overall (p = 0.0105) and progression-free survival (p = 0.0265). Combined T-cell receptor (TCR) sequencing of tumor tissue and single-cell RNA/TCR sequencing of longitudinal PB samples from a patient who received a long-term benefit from chemo-immunotherapy demonstrated that circulating clonally expanded CD8+ T cells were terminal effector T cells expressing high levels of CX3CR1, and contained frequent tumor-infiltrating T-cell colonotypes early-on post treatment. Collectively, these findings suggest the potential utility of T-cell CX3CR1 expression as a dynamic blood-based biomarker during the course of chemo-immunotherapy and a marker to identify frequent tumor-infiltrating lymphocyte repertoires.
GSE216297	Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer	Homo sapiens	286	Expression profiling by high throughput sequencing	2023/07/10	RDATA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216297/	lung_ici_blood;named_accessions	We report RNA-sequencing data of 286 platelet RNA samples isolated from non-small cell lung cancer patients (NSCLC) that were at baseline for nivolumab immunotherapy. This dataset was employed to test the hypothesis that platelet RNA at baseline of nivolumab treatment predicts immune responses.
GSE217451	Tumoral and stromal hMENA isoforms influence tertiary lymphoid structure localization and predict response to immunocheckpoint blockade in lung cancer patients	Homo sapiens	9	Expression profiling by high throughput sequencing	2023/08/30	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE217nnn/GSE217451/	lung_ici_blood	The advent of immunotherapy in the clinical practice of non-small cell lung cancer (NSCLC) have highlighted the impact of the tumor immune microenvironment in the control of the tumor progression, as well as in the response to immune checkpoint blockade (ICB) therapy. Tertiary Lymphoid Structures (TLS), determinants of antitumor immunity, are associated with a favorable clinical outcome in NSCLC patients and with the effectiveness of ICB in several tumors. The actin regulatory protein hMENA undergoes tissue-specific splicing, with tumors expressing hMENA11ahigh/ stromal fibronectin (FN1)low related to early N0 NSCLC patients with a favorable prognosis. hMENA/hMENA∆v6 is overexpressed in pro-tumoral CAFs related to the subtype of immunosuppressive ECM-my-CAF Herein, by analyzing the pattern of hMENA isoform expression in tumor cells and CAFs, we highlighted the role of hMENA as a crucial factor in the communication among tumor cells CAFs, T and B cells. Mechanistically, we demonstrated that in NSCLC cell lines hMENA11a increases the expression of the TLS regulator LTβR, reduces the FN1 expression and favors CXCL13 production by tissue resident T cells. Conversely in CAFs, hMENA/hMENAΔv6 inhibits the NF-kB pathway downstream to LTβR and the secretion of CXCL13, crucial in TLS formation. Of clinical relevance, our experimental data support our finding in primary tumors that TLS localized within the tumor area (TLS-IT) are predictive of a longer disease-free survival in N0 NSCLC patients and are accompanied by the maturation of B cells in the tumor tissue. TLS-IT associate with paucity of hMENA positive CAFs, low stromal FN1 and high hMENA11a tumor cell expression. To translate these results in a clinical setting of ICB treated patients, we identified a signature based on the pattern of hMENA isoforms, FN1 and LTβR expression that may discriminate NSCLC patients responding or not-responding to ICB.
