dataset	compartment	sample	patient	timepoint	response_raw	gene	value	metric	probe
GSE249262	CTC	GSM7932491	CTCs from patient 12, week 4	week4	Tumor, progression	EPCAM	3.164341468	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932492	CTCs from patient 13, baseline	base	Tumor, stable	EPCAM	2.641094068	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932493	CTCs from patient 13, week 10	week10	Tumor, stable	EPCAM	3.0663382	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932494	CTCs from patient 14, week 10	week10	Tumor, stable	EPCAM	3.433727665	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932495	CTCs from patient 15, baseline	base	Tumor, stable	EPCAM	2.584209026	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932496	CTCs from patient 15, week 4	week4	Tumor, stable	EPCAM	7.29555281	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932497	CTCs from patient 16, baseline	base	Tumor, progression	EPCAM	2.572420021	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932498	CTCs from patient 16, week 10	week10	Tumor, progression	EPCAM	2.327485654	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932499	CTCs from patient 16, week 4	week4	Tumor, progression	EPCAM	2.847534419	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932500	CTCs from patient 17, baseline	base	Tumor, stable	EPCAM	3.433689263	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932501	CTCs from patient 17, week 10	week10	Tumor, stable	EPCAM	2.62085012	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932502	CTCs from patient 17, week 4	week4	Tumor, stable	EPCAM	3.003608568	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932503	CTCs from patient 18, baseline	base	Tumor, progression	EPCAM	2.374859682	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932504	CTCs from patient 18, week 10	week10	Tumor, progression	EPCAM	2.741962101	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932505	CTCs from patient 18, week 4	week4	Tumor, progression	EPCAM	3.108622217	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932506	CTCs from patient 19, week 10	week10	Tumor, stable	EPCAM	3.73469678	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932507	CTCs from patient 20, baseline	base	Tumor, stable	EPCAM	3.559609636	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932508	CTCs from patient 20, week 10	week10	Tumor, stable	EPCAM	2.787926934	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932509	CTCs from patient 20, week 4	week4	Tumor, stable	EPCAM	2.530475162	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932510	CTCs from patient 21, baseline	base	Tumor, stable	EPCAM	2.958035928	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932511	CTCs from patient 21, week 10	week10	Tumor, stable	EPCAM	2.292484924	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932512	CTCs from patient 21, week 4	week4	Tumor, stable	EPCAM	2.4631499	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932513	CTCs from patient 22, baseline	base	Tumor, progression	EPCAM	2.800986565	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932514	CTCs from patient 22, week 4	week4	Tumor, progression	EPCAM	2.437188943	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932515	CTCs from patient 23, baseline	base	Tumor, stable	EPCAM	3.084430505	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932516	CTCs from patient 23, week 10	week10	Tumor, stable	EPCAM	2.625323752	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932517	CTCs from patient 23, week 4	week4	Tumor, stable	EPCAM	2.695265835	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932518	CTCs from patient 24, baseline	base	Tumor, stable	EPCAM	3.568610661	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932519	CTCs from patient 24, week 10	week10	Tumor, stable	EPCAM	3.387530254	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932520	CTCs from patient 24, week 4	week4	Tumor, stable	EPCAM	2.864876093	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932521	CTCs from patient 25, baseline	base	Tumor, progression	EPCAM	2.875029604	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932522	CTCs from patient 25, week 4	week4	Tumor, progression	EPCAM	3.11247665	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932523	CTCs from patient 26, baseline	base	Tumor, stable	EPCAM	2.581122327	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932524	CTCs from patient 26, week 10	week10	Tumor, stable	EPCAM	2.697805082	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932525	CTCs from patient 26, week 4	week4	Tumor, stable	EPCAM	2.765469061	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932526	CTCs from patient 27, baseline	base	Tumor, stable	EPCAM	2.623829157	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932527	CTCs from patient 27, week10	week10	Tumor, stable	EPCAM	2.422453997	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932528	H1650 cell line, replicate 1	cell line control	Cell line	EPCAM	2.397201881	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932529	H1650 cell line, replicate 2	cell line control	Cell line	EPCAM	8.180557124	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932530	H3255 cell line, replicate 1	cell line control	Cell line	EPCAM	8.525518494	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932531	H3255 cell line, replicate 2	cell line control	Cell line	EPCAM	8.554396775	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932532	H441 cell line, replicate 1	cell line control	Cell line	EPCAM	2.838526135	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932533	H441 cell line, replicate 2	cell line control	Cell line	EPCAM	7.915922803	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932534	Healthy control 1	healthy control	Healthy	EPCAM	3.060024849	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932535	Healthy control 2	healthy control	Healthy	EPCAM	2.588828561	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932536	Heatlhy control 3	healthy control	Healthy	EPCAM	2.699115526	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932537	Healthy control 4	healthy control	Healthy	EPCAM	2.91321878	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932538	Healthy control 5	healthy control	Healthy	EPCAM	3.143527739	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932539	Healthy control 6	healthy control	Healthy	EPCAM	2.788483115	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932540	Healthy control 7	healthy control	Healthy	EPCAM	3.079575018	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932541	Healthy control 8	healthy control	Healthy	EPCAM	3.121464659	array_intensity	TC0200007506.hg.1
GSE249262	CTC	GSM7932542	Healthy control 9	healthy control	Healthy	EPCAM	2.879749923	array_intensity	TC0200007506.hg.1
GSE235048	PBMC	A2	PBMC, PEM, Post-Treatment [A2]	PBMC, PEM, Post-Treatment [A2]		TACSTD2	0.0	TPM	
GSE235048	PBMC	B1	PBMC, PEM, Pre-Treatment [B1]	PBMC, PEM, Pre-Treatment [B1]		TACSTD2	0.244191	TPM	
GSE235048	PBMC	B2	PBMC, PEM, Post-Treatment [B2]	PBMC, PEM, Post-Treatment [B2]		TACSTD2	0.0	TPM	
GSE235048	PBMC	C2	PBMC, KN495, Post-Treatment [C2]	PBMC, KN495, Post-Treatment [C2]		TACSTD2	0.0	TPM	
GSE235048	PBMC	D1	PBMC, Ipi-Nivo, Pre-Treatment [D1]	PBMC, Ipi-Nivo, Pre-Treatment [D1]		TACSTD2	0.0	TPM	
GSE235048	PBMC	D2	PBMC, Ipi-Nivo, Post-Treatment [D2]	PBMC, Ipi-Nivo, Post-Treatment [D2]		TACSTD2	0.0	TPM	
GSE235048	PBMC	E1	PBMC, CK-9LA, Pre-Treatment [E1]	PBMC, CK-9LA, Pre-Treatment [E1]		TACSTD2	1.361037	TPM	
GSE235048	PBMC	E2	PBMC, CK-9LA, Post-Treatment [E2]	PBMC, CK-9LA, Post-Treatment [E2]		TACSTD2	1.514834	TPM	
GSE235048	PBMC	F1	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]		TACSTD2	0.126983	TPM	
GSE235048	PBMC	F2	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]		TACSTD2	0.88352	TPM	
GSE235048	PBMC	G1	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]		TACSTD2	0.97721	TPM	
GSE235048	PBMC	G2	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]		TACSTD2	0.423374	TPM	
GSE235048	PBMC	H1	PBMC, KN495, Pre-Treatment [H1]	PBMC, KN495, Pre-Treatment [H1]		TACSTD2	0.0	TPM	
GSE235048	PBMC	H2	PBMC, KN495, Post-Treatment [H2]	PBMC, KN495, Post-Treatment [H2]		TACSTD2	0.07894	TPM	
GSE235048	PBMC	I1	PBMC, Ipi-Nivo, Pre-Treatment [I1]	PBMC, Ipi-Nivo, Pre-Treatment [I1]		TACSTD2	0.101705	TPM	
GSE235048	PBMC	A2	PBMC, PEM, Post-Treatment [A2]	PBMC, PEM, Post-Treatment [A2]		KRT8	0.324194	TPM	
GSE235048	PBMC	B1	PBMC, PEM, Pre-Treatment [B1]	PBMC, PEM, Pre-Treatment [B1]		KRT8	0.489697	TPM	
GSE235048	PBMC	B2	PBMC, PEM, Post-Treatment [B2]	PBMC, PEM, Post-Treatment [B2]		KRT8	0.191086	TPM	
GSE235048	PBMC	C2	PBMC, KN495, Post-Treatment [C2]	PBMC, KN495, Post-Treatment [C2]		KRT8	0.81829	TPM	
GSE235048	PBMC	D1	PBMC, Ipi-Nivo, Pre-Treatment [D1]	PBMC, Ipi-Nivo, Pre-Treatment [D1]		KRT8	0.941593	TPM	
GSE235048	PBMC	D2	PBMC, Ipi-Nivo, Post-Treatment [D2]	PBMC, Ipi-Nivo, Post-Treatment [D2]		KRT8	0.554653	TPM	
GSE235048	PBMC	E1	PBMC, CK-9LA, Pre-Treatment [E1]	PBMC, CK-9LA, Pre-Treatment [E1]		KRT8	0.876436	TPM	
GSE235048	PBMC	E2	PBMC, CK-9LA, Post-Treatment [E2]	PBMC, CK-9LA, Post-Treatment [E2]		KRT8	0.346125	TPM	
GSE235048	PBMC	F1	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]		KRT8	2.834115	TPM	
GSE235048	PBMC	F2	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]		KRT8	1.239659	TPM	
GSE235048	PBMC	G1	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]		KRT8	1.890607	TPM	
GSE235048	PBMC	G2	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]		KRT8	0.0	TPM	
GSE235048	PBMC	H1	PBMC, KN495, Pre-Treatment [H1]	PBMC, KN495, Pre-Treatment [H1]		KRT8	0.179355	TPM	
GSE235048	PBMC	H2	PBMC, KN495, Post-Treatment [H2]	PBMC, KN495, Post-Treatment [H2]		KRT8	0.889951	TPM	
GSE235048	PBMC	I1	PBMC, Ipi-Nivo, Pre-Treatment [I1]	PBMC, Ipi-Nivo, Pre-Treatment [I1]		KRT8	0.433982	TPM	
GSE235048	PBMC	A2	PBMC, PEM, Post-Treatment [A2]	PBMC, PEM, Post-Treatment [A2]		KRT18	2.529144	TPM	
GSE235048	PBMC	B1	PBMC, PEM, Pre-Treatment [B1]	PBMC, PEM, Pre-Treatment [B1]		KRT18	1.811283	TPM	
GSE235048	PBMC	B2	PBMC, PEM, Post-Treatment [B2]	PBMC, PEM, Post-Treatment [B2]		KRT18	1.061157	TPM	
GSE235048	PBMC	C2	PBMC, KN495, Post-Treatment [C2]	PBMC, KN495, Post-Treatment [C2]		KRT18	1.752883	TPM	
GSE235048	PBMC	D1	PBMC, Ipi-Nivo, Pre-Treatment [D1]	PBMC, Ipi-Nivo, Pre-Treatment [D1]		KRT18	4.180505	TPM	
GSE235048	PBMC	D2	PBMC, Ipi-Nivo, Post-Treatment [D2]	PBMC, Ipi-Nivo, Post-Treatment [D2]		KRT18	1.012181	TPM	
GSE235048	PBMC	E1	PBMC, CK-9LA, Pre-Treatment [E1]	PBMC, CK-9LA, Pre-Treatment [E1]		KRT18	0.264453	TPM	
GSE235048	PBMC	E2	PBMC, CK-9LA, Post-Treatment [E2]	PBMC, CK-9LA, Post-Treatment [E2]		KRT18	1.111975	TPM	
GSE235048	PBMC	F1	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]		KRT18	1.788644	TPM	
GSE235048	PBMC	F2	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]		KRT18	2.306191	TPM	
GSE235048	PBMC	G1	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]		KRT18	1.345077	TPM	
GSE235048	PBMC	G2	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]		KRT18	0.62872	TPM	
GSE235048	PBMC	H1	PBMC, KN495, Pre-Treatment [H1]	PBMC, KN495, Pre-Treatment [H1]		KRT18	0.541406	TPM	
GSE235048	PBMC	H2	PBMC, KN495, Post-Treatment [H2]	PBMC, KN495, Post-Treatment [H2]		KRT18	1.750396	TPM	
GSE235048	PBMC	I1	PBMC, Ipi-Nivo, Pre-Treatment [I1]	PBMC, Ipi-Nivo, Pre-Treatment [I1]		KRT18	1.864381	TPM	
GSE235048	PBMC	A2	PBMC, PEM, Post-Treatment [A2]	PBMC, PEM, Post-Treatment [A2]		PTPRC	167.560021	TPM	
GSE235048	PBMC	B1	PBMC, PEM, Pre-Treatment [B1]	PBMC, PEM, Pre-Treatment [B1]		PTPRC	463.642131	TPM	
GSE235048	PBMC	B2	PBMC, PEM, Post-Treatment [B2]	PBMC, PEM, Post-Treatment [B2]		PTPRC	795.366874	TPM	
GSE235048	PBMC	C2	PBMC, KN495, Post-Treatment [C2]	PBMC, KN495, Post-Treatment [C2]		PTPRC	432.69622	TPM	
GSE235048	PBMC	D1	PBMC, Ipi-Nivo, Pre-Treatment [D1]	PBMC, Ipi-Nivo, Pre-Treatment [D1]		PTPRC	285.253951	TPM	
GSE235048	PBMC	D2	PBMC, Ipi-Nivo, Post-Treatment [D2]	PBMC, Ipi-Nivo, Post-Treatment [D2]		PTPRC	62.371347	TPM	
GSE235048	PBMC	E1	PBMC, CK-9LA, Pre-Treatment [E1]	PBMC, CK-9LA, Pre-Treatment [E1]		PTPRC	303.183131	TPM	
GSE235048	PBMC	E2	PBMC, CK-9LA, Post-Treatment [E2]	PBMC, CK-9LA, Post-Treatment [E2]		PTPRC	364.239202	TPM	
GSE235048	PBMC	F1	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]		PTPRC	429.314499	TPM	
GSE235048	PBMC	F2	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]		PTPRC	303.464321	TPM	
GSE235048	PBMC	G1	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]		PTPRC	304.332255	TPM	
GSE235048	PBMC	G2	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]		PTPRC	74.953273	TPM	
GSE235048	PBMC	H1	PBMC, KN495, Pre-Treatment [H1]	PBMC, KN495, Pre-Treatment [H1]		PTPRC	232.67163	TPM	
GSE235048	PBMC	H2	PBMC, KN495, Post-Treatment [H2]	PBMC, KN495, Post-Treatment [H2]		PTPRC	128.199543	TPM	
GSE235048	PBMC	I1	PBMC, Ipi-Nivo, Pre-Treatment [I1]	PBMC, Ipi-Nivo, Pre-Treatment [I1]		PTPRC	94.162324	TPM	
GSE235048	PBMC	A2	PBMC, PEM, Post-Treatment [A2]	PBMC, PEM, Post-Treatment [A2]		CD3D	217.775631	TPM	
GSE235048	PBMC	B1	PBMC, PEM, Pre-Treatment [B1]	PBMC, PEM, Pre-Treatment [B1]		CD3D	104.751617	TPM	
GSE235048	PBMC	B2	PBMC, PEM, Post-Treatment [B2]	PBMC, PEM, Post-Treatment [B2]		CD3D	109.456568	TPM	
GSE235048	PBMC	C2	PBMC, KN495, Post-Treatment [C2]	PBMC, KN495, Post-Treatment [C2]		CD3D	229.369246	TPM	
GSE235048	PBMC	D1	PBMC, Ipi-Nivo, Pre-Treatment [D1]	PBMC, Ipi-Nivo, Pre-Treatment [D1]		CD3D	60.994396	TPM	
GSE235048	PBMC	D2	PBMC, Ipi-Nivo, Post-Treatment [D2]	PBMC, Ipi-Nivo, Post-Treatment [D2]		CD3D	35.784446	TPM	
GSE235048	PBMC	E1	PBMC, CK-9LA, Pre-Treatment [E1]	PBMC, CK-9LA, Pre-Treatment [E1]		CD3D	114.05184	TPM	
GSE235048	PBMC	E2	PBMC, CK-9LA, Post-Treatment [E2]	PBMC, CK-9LA, Post-Treatment [E2]		CD3D	235.549077	TPM	
GSE235048	PBMC	F1	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]		CD3D	44.633824	TPM	
GSE235048	PBMC	F2	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]		CD3D	181.84045	TPM	
GSE235048	PBMC	G1	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]		CD3D	36.919358	TPM	
GSE235048	PBMC	G2	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]		CD3D	113.751855	TPM	
GSE235048	PBMC	H1	PBMC, KN495, Pre-Treatment [H1]	PBMC, KN495, Pre-Treatment [H1]		CD3D	70.614748	TPM	
GSE235048	PBMC	H2	PBMC, KN495, Post-Treatment [H2]	PBMC, KN495, Post-Treatment [H2]		CD3D	85.724909	TPM	
GSE235048	PBMC	I1	PBMC, Ipi-Nivo, Pre-Treatment [I1]	PBMC, Ipi-Nivo, Pre-Treatment [I1]		CD3D	139.402834	TPM	
GSE235048	PBMC	A2	PBMC, PEM, Post-Treatment [A2]	PBMC, PEM, Post-Treatment [A2]		CD8A	101.270284	TPM	
GSE235048	PBMC	B1	PBMC, PEM, Pre-Treatment [B1]	PBMC, PEM, Pre-Treatment [B1]		CD8A	52.362221	TPM	
GSE235048	PBMC	B2	PBMC, PEM, Post-Treatment [B2]	PBMC, PEM, Post-Treatment [B2]		CD8A	58.958077	TPM	
GSE235048	PBMC	C2	PBMC, KN495, Post-Treatment [C2]	PBMC, KN495, Post-Treatment [C2]		CD8A	185.620112	TPM	
GSE235048	PBMC	D1	PBMC, Ipi-Nivo, Pre-Treatment [D1]	PBMC, Ipi-Nivo, Pre-Treatment [D1]		CD8A	28.46572	TPM	
GSE235048	PBMC	D2	PBMC, Ipi-Nivo, Post-Treatment [D2]	PBMC, Ipi-Nivo, Post-Treatment [D2]		CD8A	11.283139	TPM	
GSE235048	PBMC	E1	PBMC, CK-9LA, Pre-Treatment [E1]	PBMC, CK-9LA, Pre-Treatment [E1]		CD8A	94.70221	TPM	
GSE235048	PBMC	E2	PBMC, CK-9LA, Post-Treatment [E2]	PBMC, CK-9LA, Post-Treatment [E2]		CD8A	151.289419	TPM	
GSE235048	PBMC	F1	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]		CD8A	24.277278	TPM	
GSE235048	PBMC	F2	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]		CD8A	70.22262	TPM	
GSE235048	PBMC	G1	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]		CD8A	38.451309	TPM	
GSE235048	PBMC	G2	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]		CD8A	21.055177	TPM	
GSE235048	PBMC	H1	PBMC, KN495, Pre-Treatment [H1]	PBMC, KN495, Pre-Treatment [H1]		CD8A	23.966582	TPM	
GSE235048	PBMC	H2	PBMC, KN495, Post-Treatment [H2]	PBMC, KN495, Post-Treatment [H2]		CD8A	14.569451	TPM	
GSE235048	PBMC	I1	PBMC, Ipi-Nivo, Pre-Treatment [I1]	PBMC, Ipi-Nivo, Pre-Treatment [I1]		CD8A	17.782636	TPM	
GSE235048	PBMC	A2	PBMC, PEM, Post-Treatment [A2]	PBMC, PEM, Post-Treatment [A2]		GZMB	112.181218	TPM	
GSE235048	PBMC	B1	PBMC, PEM, Pre-Treatment [B1]	PBMC, PEM, Pre-Treatment [B1]		GZMB	262.366168	TPM	
GSE235048	PBMC	B2	PBMC, PEM, Post-Treatment [B2]	PBMC, PEM, Post-Treatment [B2]		GZMB	291.263528	TPM	
GSE235048	PBMC	C2	PBMC, KN495, Post-Treatment [C2]	PBMC, KN495, Post-Treatment [C2]		GZMB	109.365647	TPM	
GSE235048	PBMC	D1	PBMC, Ipi-Nivo, Pre-Treatment [D1]	PBMC, Ipi-Nivo, Pre-Treatment [D1]		GZMB	32.568486	TPM	
GSE235048	PBMC	D2	PBMC, Ipi-Nivo, Post-Treatment [D2]	PBMC, Ipi-Nivo, Post-Treatment [D2]		GZMB	26.496357	TPM	
GSE235048	PBMC	E1	PBMC, CK-9LA, Pre-Treatment [E1]	PBMC, CK-9LA, Pre-Treatment [E1]		GZMB	53.246511	TPM	
GSE235048	PBMC	E2	PBMC, CK-9LA, Post-Treatment [E2]	PBMC, CK-9LA, Post-Treatment [E2]		GZMB	137.140458	TPM	
GSE235048	PBMC	F1	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]		GZMB	236.875645	TPM	
GSE235048	PBMC	F2	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]		GZMB	182.044644	TPM	
GSE235048	PBMC	G1	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]		GZMB	81.013623	TPM	
GSE235048	PBMC	G2	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]		GZMB	31.566349	TPM	
GSE235048	PBMC	H1	PBMC, KN495, Pre-Treatment [H1]	PBMC, KN495, Pre-Treatment [H1]		GZMB	148.430314	TPM	
GSE235048	PBMC	H2	PBMC, KN495, Post-Treatment [H2]	PBMC, KN495, Post-Treatment [H2]		GZMB	67.428058	TPM	
GSE235048	PBMC	I1	PBMC, Ipi-Nivo, Pre-Treatment [I1]	PBMC, Ipi-Nivo, Pre-Treatment [I1]		GZMB	114.343284	TPM	
GSE235048	PBMC	A2	PBMC, PEM, Post-Treatment [A2]	PBMC, PEM, Post-Treatment [A2]		PRF1	80.275304	TPM	
GSE235048	PBMC	B1	PBMC, PEM, Pre-Treatment [B1]	PBMC, PEM, Pre-Treatment [B1]		PRF1	214.739276	TPM	
GSE235048	PBMC	B2	PBMC, PEM, Post-Treatment [B2]	PBMC, PEM, Post-Treatment [B2]		PRF1	354.501	TPM	
GSE235048	PBMC	C2	PBMC, KN495, Post-Treatment [C2]	PBMC, KN495, Post-Treatment [C2]		PRF1	73.053932	TPM	
GSE235048	PBMC	D1	PBMC, Ipi-Nivo, Pre-Treatment [D1]	PBMC, Ipi-Nivo, Pre-Treatment [D1]		PRF1	43.573891	TPM	
GSE235048	PBMC	D2	PBMC, Ipi-Nivo, Post-Treatment [D2]	PBMC, Ipi-Nivo, Post-Treatment [D2]		PRF1	16.295615	TPM	
GSE235048	PBMC	E1	PBMC, CK-9LA, Pre-Treatment [E1]	PBMC, CK-9LA, Pre-Treatment [E1]		PRF1	56.063755	TPM	
GSE235048	PBMC	E2	PBMC, CK-9LA, Post-Treatment [E2]	PBMC, CK-9LA, Post-Treatment [E2]		PRF1	86.604011	TPM	
GSE235048	PBMC	F1	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [F1]		PRF1	172.485084	TPM	
GSE235048	PBMC	F2	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]	PBMC, Atezo-carbo-nabP, Post-Treatment [F2]		PRF1	145.544366	TPM	
GSE235048	PBMC	G1	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]	PBMC, Atezo-carbo-nabP, Pre-Treatment [G1]		PRF1	76.304999	TPM	
GSE235048	PBMC	G2	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]	PBMC, Atezo-carbo-nabP, Post-Treatment [G2]		PRF1	40.854611	TPM	
GSE235048	PBMC	H1	PBMC, KN495, Pre-Treatment [H1]	PBMC, KN495, Pre-Treatment [H1]		PRF1	73.066584	TPM	
GSE235048	PBMC	H2	PBMC, KN495, Post-Treatment [H2]	PBMC, KN495, Post-Treatment [H2]		PRF1	23.4264	TPM	
GSE235048	PBMC	I1	PBMC, Ipi-Nivo, Pre-Treatment [I1]	PBMC, Ipi-Nivo, Pre-Treatment [I1]		PRF1	37.12811	TPM	
GSE225620	whole_blood	pre1		pre		TACSTD2	0.22771748938800146	log2CPM	
GSE225620	whole_blood	pre2		pre		TACSTD2	0.10219122708463972	log2CPM	
GSE225620	whole_blood	pre3		pre		TACSTD2	0.11336547992217469	log2CPM	
GSE225620	whole_blood	pre4		pre		TACSTD2	0.0	log2CPM	
GSE225620	whole_blood	pre5		pre		TACSTD2	0.7601439827585132	log2CPM	
GSE225620	whole_blood	pre6		pre		TACSTD2	0.6370141175790414	log2CPM	
GSE225620	whole_blood	pre7		pre		TACSTD2	0.9068109129739435	log2CPM	
GSE225620	whole_blood	pre8		pre		TACSTD2	0.23242808423618339	log2CPM	
GSE225620	whole_blood	pre9		pre		TACSTD2	0.08381590736389559	log2CPM	
GSE225620	whole_blood	pre10		pre		TACSTD2	2.3169684457585373	log2CPM	
GSE225620	whole_blood	pre11		pre		TACSTD2	1.5755874083948846	log2CPM	
GSE225620	whole_blood	pre12		pre		TACSTD2	0.9087353957109818	log2CPM	
GSE225620	whole_blood	pre13		pre		TACSTD2	2.3922425523491007	log2CPM	
GSE225620	whole_blood	pre14		pre		TACSTD2	0.8788045600622139	log2CPM	
GSE225620	whole_blood	pre15		pre		TACSTD2	0.0	log2CPM	
GSE225620	whole_blood	pre16		pre		TACSTD2	0.3454566384197178	log2CPM	
