regulon	tf	program	kind	n_targets	elf3_given	n_patients_paired	n_GSE131907	n_GSE205335	delta_median_high_minus_low	p	wilcoxon_stat	delta_GSE131907	p_GSE131907	delta_GSE205335	p_GSE205335	note	targets	n_cells	n_patients	fdr
NLRC5_pearson_cldn4_high_GSE131907	NLRC5	MHC_I	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
RFX5_pearson_cldn4_high_GSE131907	RFX5	MHC_I	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
GRHL2_pearson_cldn4_high_GSE131907	GRHL2	TJ	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
OVOL1_pearson_cldn4_high_GSE131907	OVOL1	TJ	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
OVOL2_pearson_cldn4_high_GSE131907	OVOL2	TJ	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
KLF5_pearson_cldn4_high_GSE131907	KLF5	TJ	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
ELF3_pearson_cldn4_high_GSE131907	ELF3	TJ_GIVEN	pearson_cldn4_high	0	True											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
TP63_pearson_cldn4_high_GSE131907	TP63	keratin	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
GRHL1_pearson_cldn4_high_GSE131907	GRHL1	keratin	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
KLF4_pearson_cldn4_high_GSE131907	KLF4	keratin	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
NKX2-1_pearson_cldn4_high_GSE131907	NKX2-1	control	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
SOX2_pearson_cldn4_high_GSE131907	SOX2	control	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		15346.0	31.0	
STAT1_pearson_cldn4_high_GSE205335	STAT1	IFN	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
STAT2_pearson_cldn4_high_GSE205335	STAT2	IFN	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
IRF1_pearson_cldn4_high_GSE205335	IRF1	IFN_MHC	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
IRF7_pearson_cldn4_high_GSE205335	IRF7	IFN	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
IRF9_pearson_cldn4_high_GSE205335	IRF9	IFN	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
NLRC5_pearson_cldn4_high_GSE205335	NLRC5	MHC_I	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
RFX5_pearson_cldn4_high_GSE205335	RFX5	MHC_I	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
GRHL2_pearson_cldn4_high_GSE205335	GRHL2	TJ	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
OVOL1_pearson_cldn4_high_GSE205335	OVOL1	TJ	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
OVOL2_pearson_cldn4_high_GSE205335	OVOL2	TJ	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
KLF5_pearson_cldn4_high_GSE205335	KLF5	TJ	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
ELF3_pearson_cldn4_high_GSE205335	ELF3	TJ_GIVEN	pearson_cldn4_high	0	True											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
TP63_pearson_cldn4_high_GSE205335	TP63	keratin	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
GRHL1_pearson_cldn4_high_GSE205335	GRHL1	keratin	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
KLF4_pearson_cldn4_high_GSE205335	KLF4	keratin	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
NKX2-1_pearson_cldn4_high_GSE205335	NKX2-1	control	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
SOX2_pearson_cldn4_high_GSE205335	SOX2	control	pearson_cldn4_high	0	False											co-expression in CLDN4-high cells; not binding		13963.0	22.0	
