accession	model	gene	sample	group	value
GSE169194	KPM total tumor	Tacstd2	X1740R_159_08	total_IgG	4.13388568790883
GSE169194	KPM total tumor	Tacstd2	X1740R_159_12	total_IgG	3.24401212927491
GSE169194	KPM total tumor	Tacstd2	X1740R_159_16	total_A2V	5.30755740847866
GSE169194	KPM total tumor	Tacstd2	X1740R_159_20	total_A2V	3.55038428989042
GSE169194	KPM total tumor	Tacstd2	X1740R_159_24	total_A2V	3.45487611899236
GSE169194	KPM total tumor	Tacstd2	X1740R_159_32	total_A2V_aPD1	4.68514909136152
GSE169194	KPM total tumor	Tacstd2	X1740R_159_36	total_A2V_aPD1	4.2205832166176
GSE169194	KPM total tumor	Tacstd2	X1740R_159_40	total_A2V_aPD1	4.08126837623265
GSE169194	KPM total tumor	Cldn4	X1740R_159_04	total_IgG	5.93025615596701
GSE169194	KPM total tumor	Cldn4	X1740R_159_08	total_IgG	4.26799157682732
GSE169194	KPM total tumor	Cldn4	X1740R_159_12	total_IgG	3.5412414549923
GSE169194	KPM total tumor	Cldn4	X1740R_159_16	total_A2V	5.22044212921437
GSE169194	KPM total tumor	Cldn4	X1740R_159_20	total_A2V	4.63323050307039
GSE169194	KPM total tumor	Cldn4	X1740R_159_24	total_A2V	4.19389391128681
GSE169194	KPM total tumor	Cldn4	X1740R_159_32	total_A2V_aPD1	3.19708238231858
GSE169194	KPM total tumor	Cldn4	X1740R_159_36	total_A2V_aPD1	4.13569431903108
GSE169194	KPM total tumor	Cldn4	X1740R_159_40	total_A2V_aPD1	4.28105936863197
GSE169194	KPM total tumor	Cd8a	X1740R_159_04	total_IgG	2.83445056921601
GSE169194	KPM total tumor	Cd8a	X1740R_159_08	total_IgG	4.5373484944009
GSE169194	KPM total tumor	Cd8a	X1740R_159_12	total_IgG	4.72219592213347
GSE169194	KPM total tumor	Cd8a	X1740R_159_16	total_A2V	3.5096264644822
GSE169194	KPM total tumor	Cd8a	X1740R_159_20	total_A2V	3.59575579765173
GSE169194	KPM total tumor	Cd8a	X1740R_159_24	total_A2V	4.53233809331744
GSE169194	KPM total tumor	Cd8a	X1740R_159_32	total_A2V_aPD1	3.56129562251974
GSE169194	KPM total tumor	Cd8a	X1740R_159_36	total_A2V_aPD1	3.69006849991882
GSE169194	KPM total tumor	Cd8a	X1740R_159_40	total_A2V_aPD1	3.05866694729552
GSE169194	KPM total tumor	Cd274	X1740R_159_04	total_IgG	6.3098034322304
GSE169194	KPM total tumor	Cd274	X1740R_159_08	total_IgG	7.12921187425556
GSE169194	KPM total tumor	Cd274	X1740R_159_12	total_IgG	7.29596848832284
GSE169194	KPM total tumor	Cd274	X1740R_159_16	total_A2V	6.5881886832445
GSE169194	KPM total tumor	Cd274	X1740R_159_20	total_A2V	6.80966881147137
GSE169194	KPM total tumor	Cd274	X1740R_159_24	total_A2V	6.8983506356584
GSE169194	KPM total tumor	Cd274	X1740R_159_32	total_A2V_aPD1	7.22682972571263
GSE169194	KPM total tumor	Cd274	X1740R_159_36	total_A2V_aPD1	7.07954790475407
GSE169194	KPM total tumor	Cd274	X1740R_159_40	total_A2V_aPD1	7.2851213939552
GSE246922	LLC1 CD45-	Tacstd2	LLC1_1	parental	8.13116904121045
GSE246922	LLC1 CD45-	Tacstd2	LLC1_2	parental	8.10695472940574
GSE246922	LLC1 CD45-	Tacstd2	LLC1_3	parental	8.16813155039361
GSE246922	LLC1 CD45-	Tacstd2	LLC1y_1	chronic_IFNG	8.1269274707358
GSE246922	LLC1 CD45-	Tacstd2	LLC1y_2	chronic_IFNG	8.02723036073961
GSE246922	LLC1 CD45-	Tacstd2	LLC1y_3	chronic_IFNG	8.13754896665204
GSE246922	LLC1 CD45-	Tacstd2	ResResLLC1_1	ICB_relapse	8.02723036073961
GSE246922	LLC1 CD45-	Tacstd2	ResResLLC1_2	ICB_relapse	8.02723036073961
GSE246922	LLC1 CD45-	Tacstd2	ResResLLC1_3	ICB_relapse	8.12056635571305
GSE246922	LLC1 CD45-	Cldn4	LLC1_1	parental	8.22193000767532
GSE246922	LLC1 CD45-	Cldn4	LLC1_2	parental	8.10738228415924
GSE246922	LLC1 CD45-	Cldn4	LLC1_3	parental	8.34303965273185
GSE246922	LLC1 CD45-	Cldn4	LLC1y_1	chronic_IFNG	8.02723036073961
GSE246922	LLC1 CD45-	Cldn4	LLC1y_2	chronic_IFNG	8.02723036073961
GSE246922	LLC1 CD45-	Cldn4	LLC1y_3	chronic_IFNG	8.39361524554859
GSE246922	LLC1 CD45-	Cldn4	ResResLLC1_1	ICB_relapse	8.02723036073961
GSE246922	LLC1 CD45-	Cldn4	ResResLLC1_2	ICB_relapse	8.02723036073961
GSE246922	LLC1 CD45-	Cldn4	ResResLLC1_3	ICB_relapse	8.12076610817339
GSE246922	LLC1 CD45-	Cd8a	LLC1_1	parental	8.15403288572216
GSE246922	LLC1 CD45-	Cd8a	LLC1_2	parental	8.02723036073961
GSE246922	LLC1 CD45-	Cd8a	LLC1_3	parental	8.12767553450659
GSE246922	LLC1 CD45-	Cd8a	LLC1y_1	chronic_IFNG	8.20128808245319
GSE246922	LLC1 CD45-	Cd8a	LLC1y_2	chronic_IFNG	8.02723036073961
GSE246922	LLC1 CD45-	Cd8a	LLC1y_3	chronic_IFNG	8.13954588991719
GSE246922	LLC1 CD45-	Cd8a	ResResLLC1_1	ICB_relapse	8.02723036073961
GSE246922	LLC1 CD45-	Cd8a	ResResLLC1_2	ICB_relapse	8.02723036073961
GSE246922	LLC1 CD45-	Cd8a	ResResLLC1_3	ICB_relapse	8.02723036073961
GSE246922	LLC1 CD45-	Cd274	LLC1_1	parental	9.34493634909013
GSE246922	LLC1 CD45-	Cd274	LLC1_2	parental	9.20399149199075
GSE246922	LLC1 CD45-	Cd274	LLC1_3	parental	9.35649718299295
GSE246922	LLC1 CD45-	Cd274	LLC1y_1	chronic_IFNG	9.3783258427499
GSE246922	LLC1 CD45-	Cd274	LLC1y_2	chronic_IFNG	9.69360293975252
GSE246922	LLC1 CD45-	Cd274	LLC1y_3	chronic_IFNG	9.49700970159218
GSE246922	LLC1 CD45-	Cd274	ResResLLC1_1	ICB_relapse	9.12458695506463
GSE246922	LLC1 CD45-	Cd274	ResResLLC1_2	ICB_relapse	9.03565611345234
GSE246922	LLC1 CD45-	Cd274	ResResLLC1_3	ICB_relapse	8.97132946118766
GSE246922	KP CD45-	Tacstd2	KP_1	parental	8.32522261329469
GSE246922	KP CD45-	Tacstd2	KP_2	parental	8.71718785432083
GSE246922	KP CD45-	Tacstd2	KP_3	parental	8.79081475578598
GSE246922	KP CD45-	Tacstd2	KPy_1	chronic_IFNG	8.59804451148443
GSE246922	KP CD45-	Tacstd2	KPy_2	chronic_IFNG	8.62061570371896
GSE246922	KP CD45-	Tacstd2	KPy_3	chronic_IFNG	8.45131423085765
GSE246922	KP CD45-	Tacstd2	ResKP2_1	ICB_relapse	8.53726958041
GSE246922	KP CD45-	Tacstd2	ResKP2_2	ICB_relapse	8.47574669671821
GSE246922	KP CD45-	Tacstd2	ResKP2_3	ICB_relapse	8.87385351959719
GSE246922	KP CD45-	Tacstd2	ResResKP_1	ICB_relapse	8.31749133469909
GSE246922	KP CD45-	Tacstd2	ResResKP_2	ICB_relapse	8.29498942517119
GSE246922	KP CD45-	Tacstd2	ResResKP_3	ICB_relapse	8.17197413040804
GSE246922	KP CD45-	Tacstd2	ResKPlate_1	ICB_relapse	8.30006791308445
GSE246922	KP CD45-	Tacstd2	ResKPlate_2	ICB_relapse	8.27383460164939
GSE246922	KP CD45-	Tacstd2	ResKPlate_3	ICB_relapse	8.426795249775
GSE246922	KP CD45-	Cldn4	KP_1	parental	8.63580012447764
GSE246922	KP CD45-	Cldn4	KP_2	parental	9.42888968200698
GSE246922	KP CD45-	Cldn4	KP_3	parental	9.53781385633167
GSE246922	KP CD45-	Cldn4	KPy_1	chronic_IFNG	9.45979491911061
GSE246922	KP CD45-	Cldn4	KPy_2	chronic_IFNG	9.46200325559986
GSE246922	KP CD45-	Cldn4	KPy_3	chronic_IFNG	9.13603232829155
GSE246922	KP CD45-	Cldn4	ResKP2_1	ICB_relapse	9.30732543489828
GSE246922	KP CD45-	Cldn4	ResKP2_2	ICB_relapse	9.33946150597274
GSE246922	KP CD45-	Cldn4	ResKP2_3	ICB_relapse	9.95699304816431
GSE246922	KP CD45-	Cldn4	ResResKP_1	ICB_relapse	9.14634124416426
GSE246922	KP CD45-	Cldn4	ResResKP_2	ICB_relapse	9.2108696874071
GSE246922	KP CD45-	Cldn4	ResResKP_3	ICB_relapse	8.99097985769881
GSE246922	KP CD45-	Cldn4	ResKPlate_1	ICB_relapse	8.9789154902689
GSE246922	KP CD45-	Cldn4	ResKPlate_2	ICB_relapse	8.97856321895697
GSE246922	KP CD45-	Cldn4	ResKPlate_3	ICB_relapse	9.00576684760898
GSE246922	KP CD45-	Cd8a	KP_1	parental	8.24855982991725
GSE246922	KP CD45-	Cd8a	KP_2	parental	8.38234656667438
GSE246922	KP CD45-	Cd8a	KP_3	parental	8.33520648038323
GSE246922	KP CD45-	Cd8a	KPy_1	chronic_IFNG	8.28186753091186
GSE246922	KP CD45-	Cd8a	KPy_2	chronic_IFNG	8.35560915747721
GSE246922	KP CD45-	Cd8a	KPy_3	chronic_IFNG	8.30385663782241
GSE246922	KP CD45-	Cd8a	ResKP2_1	ICB_relapse	8.41173963604281
GSE246922	KP CD45-	Cd8a	ResKP2_2	ICB_relapse	8.29217836867287
GSE246922	KP CD45-	Cd8a	ResKP2_3	ICB_relapse	8.17197413040804
GSE246922	KP CD45-	Cd8a	ResResKP_1	ICB_relapse	8.29083438539221
GSE246922	KP CD45-	Cd8a	ResResKP_2	ICB_relapse	8.25777569555823
GSE246922	KP CD45-	Cd8a	ResResKP_3	ICB_relapse	8.17197413040804
GSE246922	KP CD45-	Cd8a	ResKPlate_1	ICB_relapse	8.29812960532924
GSE246922	KP CD45-	Cd8a	ResKPlate_2	ICB_relapse	8.17197413040804
GSE246922	KP CD45-	Cd8a	ResKPlate_3	ICB_relapse	8.3407204073733
GSE246922	KP CD45-	Cd274	KP_1	parental	8.64969153486135
GSE246922	KP CD45-	Cd274	KP_2	parental	8.69699779863002
GSE246922	KP CD45-	Cd274	KP_3	parental	8.66704070326319
GSE246922	KP CD45-	Cd274	KPy_1	chronic_IFNG	8.65319564337424
GSE246922	KP CD45-	Cd274	KPy_2	chronic_IFNG	8.59866071743152
GSE246922	KP CD45-	Cd274	KPy_3	chronic_IFNG	8.62194767559441
GSE246922	KP CD45-	Cd274	ResKP2_1	ICB_relapse	8.74919694434687
GSE246922	KP CD45-	Cd274	ResKP2_2	ICB_relapse	8.8132680139723
GSE246922	KP CD45-	Cd274	ResKP2_3	ICB_relapse	8.73370806684351
GSE246922	KP CD45-	Cd274	ResResKP_1	ICB_relapse	8.86040599545592
GSE246922	KP CD45-	Cd274	ResResKP_2	ICB_relapse	8.85205167632787
GSE246922	KP CD45-	Cd274	ResResKP_3	ICB_relapse	8.85030264408456
GSE246922	KP CD45-	Cd274	ResKPlate_1	ICB_relapse	8.95183836814433
GSE246922	KP CD45-	Cd274	ResKPlate_2	ICB_relapse	8.93217159631753
GSE246922	KP CD45-	Cd274	ResKPlate_3	ICB_relapse	8.91653708870794
GSE179500	KL XTR	Tacstd2	JB3453-Bulk-a04	Non-Restored; Trp53delta/delta	450.829894461917
GSE179500	KL XTR	Tacstd2	JB3453-Bulk-g03	Non-Restored; Trp53delta/delta	435.416364761019
GSE179500	KL XTR	Tacstd2	JB3453-T1	Non-Restored; Trp53delta/delta	345.662042381048
GSE179500	KL XTR	Tacstd2	JB3455-Bulk	Restored; Trp53delta/delta	134.356229828328
GSE179500	KL XTR	Tacstd2	JB3839-Bulk	Non-Restored; Trp53delta/delta	298.339505305368
GSE179500	KL XTR	Tacstd2	JB3839-T1	Non-Restored; Trp53delta/delta	301.447948829876
GSE179500	KL XTR	Tacstd2	JB3844-Bulk	Restored; Trp53delta/delta	265.295038638267
GSE179500	KL XTR	Tacstd2	ZR1354	wild-type	165.9268415962
GSE179500	KL XTR	Tacstd2	ZR1518	wild-type	149.345970687525
GSE179500	KL XTR	Tacstd2	ZR1532	wild-type	394.629038226351
GSE179500	KL XTR	Tacstd2	ZR1534	wild-type	321.704300212878
GSE179500	KL XTR	Tacstd2	rSP47	Non-Restored	399.303161007341
GSE179500	KL XTR	Tacstd2	rSP48	Restored	188.425334026522
GSE179500	KL XTR	Tacstd2	rSP50	Non-Restored; Trp53delta/delta	309.576821602128
GSE179500	KL XTR	Tacstd2	rSP52	Non-Restored	324.106983085612
GSE179500	KL XTR	Tacstd2	rSP56	Restored	242.008100740972
GSE179500	KL XTR	Tacstd2	rSP57	Restored	185.16482926781
GSE179500	KL XTR	Tacstd2	rSP58	Non-Restored	311.942122679483
GSE179500	KL XTR	Tacstd2	rSP59	Non-Restored	361.320566605785
GSE179500	KL XTR	Tacstd2	rSP60	Restored; Trp53delta/delta	345.057637697492
GSE179500	KL XTR	Tacstd2	rSP62	Non-Restored	382.55206227
GSE179500	KL XTR	Tacstd2	rSP66	Non-Restored; Trp53delta/delta	272.900802148366
GSE179500	KL XTR	Tacstd2	rSP71	Restored	181.985272387591
GSE179500	KL XTR	Tacstd2	rSP73	Non-Restored	271.912772784504
GSE179500	KL XTR	Tacstd2	rSP75	Non-Restored	284.63033094854
GSE179500	KL XTR	Tacstd2	rSP76	Non-Restored	266.829170844677
GSE179500	KL XTR	Tacstd2	rSP77	Restored	317.524127034306
GSE179500	KL XTR	Tacstd2	rSP78	Restored	265.324175096096
GSE179500	KL XTR	Tacstd2	rSP79	Restored	159.367234620993
GSE179500	KL XTR	Tacstd2	rSP81	Non-Restored	341.15459648745
GSE179500	KL XTR	Tacstd2	rSP84	Non-Restored	244.134581655266
GSE179500	KL XTR	Tacstd2	tSP106	Restored; Trp53delta/delta	493.992183022917
GSE179500	KL XTR	Cldn4	JB3453-Bulk-a04	Non-Restored; Trp53delta/delta	251.730106904489
GSE179500	KL XTR	Cldn4	JB3453-Bulk-g03	Non-Restored; Trp53delta/delta	309.134784639417
GSE179500	KL XTR	Cldn4	JB3453-T1	Non-Restored; Trp53delta/delta	51.1029504277485
GSE179500	KL XTR	Cldn4	JB3455-Bulk	Restored; Trp53delta/delta	89.1401366086707
GSE179500	KL XTR	Cldn4	JB3839-Bulk	Non-Restored; Trp53delta/delta	70.243192426926
GSE179500	KL XTR	Cldn4	JB3839-T1	Non-Restored; Trp53delta/delta	111.940419733115
GSE179500	KL XTR	Cldn4	JB3844-Bulk	Restored; Trp53delta/delta	86.9269020463649
GSE179500	KL XTR	Cldn4	ZR1354	wild-type	24.4822223990742
GSE179500	KL XTR	Cldn4	ZR1518	wild-type	19.6552684189896
GSE179500	KL XTR	Cldn4	ZR1532	wild-type	35.8772828964696
GSE179500	KL XTR	Cldn4	ZR1534	wild-type	98.265919054733
GSE179500	KL XTR	Cldn4	rSP47	Non-Restored	52.9924571641102
GSE179500	KL XTR	Cldn4	rSP48	Restored	3.32563000726157
GSE179500	KL XTR	Cldn4	rSP50	Non-Restored; Trp53delta/delta	185.23263551185
GSE179500	KL XTR	Cldn4	rSP52	Non-Restored	64.1259136522651
GSE179500	KL XTR	Cldn4	rSP56	Restored	11.1693535256364
GSE179500	KL XTR	Cldn4	rSP57	Restored	13.039764750071
GSE179500	KL XTR	Cldn4	rSP58	Non-Restored	63.5741299811693
GSE179500	KL XTR	Cldn4	rSP59	Non-Restored	35.5725806162913
GSE179500	KL XTR	Cldn4	rSP60	Restored; Trp53delta/delta	108.959573876055
GSE179500	KL XTR	Cldn4	rSP62	Non-Restored	100.464157063772
GSE179500	KL XTR	Cldn4	rSP66	Non-Restored; Trp53delta/delta	105.550128302872
GSE179500	KL XTR	Cldn4	rSP71	Restored	23.9786585758701
GSE179500	KL XTR	Cldn4	rSP73	Non-Restored	37.2502304209724
GSE179500	KL XTR	Cldn4	rSP75	Non-Restored	27.8427842358968
GSE179500	KL XTR	Cldn4	rSP76	Non-Restored	25.6022896000228
GSE179500	KL XTR	Cldn4	rSP77	Restored	54.3213947172045
GSE179500	KL XTR	Cldn4	rSP78	Restored	79.245452970434
GSE179500	KL XTR	Cldn4	rSP79	Restored	3.42162420539919
GSE179500	KL XTR	Cldn4	rSP81	Non-Restored	50.8486457414676
GSE179500	KL XTR	Cldn4	rSP84	Non-Restored	45.9721613752669
GSE179500	KL XTR	Cldn4	tSP106	Restored; Trp53delta/delta	154.854325820718
GSE179500	KL XTR	Stk11	JB3453-Bulk-a04	Non-Restored; Trp53delta/delta	1.41037594166991
GSE179500	KL XTR	Stk11	JB3453-Bulk-g03	Non-Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Stk11	JB3453-T1	Non-Restored; Trp53delta/delta	0.909244380342169
GSE179500	KL XTR	Stk11	JB3455-Bulk	Restored; Trp53delta/delta	36.3915957535393
GSE179500	KL XTR	Stk11	JB3839-Bulk	Non-Restored; Trp53delta/delta	4.27820630137656
GSE179500	KL XTR	Stk11	JB3839-T1	Non-Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Stk11	JB3844-Bulk	Restored; Trp53delta/delta	25.7528538130645
GSE179500	KL XTR	Stk11	ZR1354	wild-type	82.7829482913449
GSE179500	KL XTR	Stk11	ZR1518	wild-type	65.9822494662632
GSE179500	KL XTR	Stk11	ZR1532	wild-type	56.5693775824141
GSE179500	KL XTR	Stk11	ZR1534	wild-type	100.440908118135
GSE179500	KL XTR	Stk11	rSP47	Non-Restored	3.60238845878849
GSE179500	KL XTR	Stk11	rSP48	Restored	51.7286457227474
GSE179500	KL XTR	Stk11	rSP50	Non-Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Stk11	rSP52	Non-Restored	0.0
GSE179500	KL XTR	Stk11	rSP56	Restored	43.2357782019996
GSE179500	KL XTR	Stk11	rSP57	Restored	58.9785832614841
GSE179500	KL XTR	Stk11	rSP58	Non-Restored	0.0
GSE179500	KL XTR	Stk11	rSP59	Non-Restored	2.10886098633861
GSE179500	KL XTR	Stk11	rSP60	Restored; Trp53delta/delta	30.6565329805333
GSE179500	KL XTR	Stk11	rSP62	Non-Restored	0.47466420861289
GSE179500	KL XTR	Stk11	rSP66	Non-Restored; Trp53delta/delta	0.536349045630675
GSE179500	KL XTR	Stk11	rSP71	Restored	53.0047980450438
GSE179500	KL XTR	Stk11	rSP73	Non-Restored	0.51794038489741
GSE179500	KL XTR	Stk11	rSP75	Non-Restored	3.48664910794098
GSE179500	KL XTR	Stk11	rSP76	Non-Restored	0.410934723601089
GSE179500	KL XTR	Stk11	rSP77	Restored	39.1215501628346
GSE179500	KL XTR	Stk11	rSP78	Restored	48.8636453429381
GSE179500	KL XTR	Stk11	rSP79	Restored	68.1653607497592
GSE179500	KL XTR	Stk11	rSP81	Non-Restored	1.747374481149
GSE179500	KL XTR	Stk11	rSP84	Non-Restored	0.269626106906425
GSE179500	KL XTR	Stk11	tSP106	Restored; Trp53delta/delta	47.675684888306
GSE179500	KL XTR	Cd8a	JB3453-Bulk-a04	Non-Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Cd8a	JB3453-Bulk-g03	Non-Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Cd8a	JB3453-T1	Non-Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Cd8a	JB3455-Bulk	Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Cd8a	JB3839-Bulk	Non-Restored; Trp53delta/delta	1.03977113686411
GSE179500	KL XTR	Cd8a	JB3839-T1	Non-Restored; Trp53delta/delta	2.58734454976671
GSE179500	KL XTR	Cd8a	JB3844-Bulk	Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Cd8a	ZR1354	wild-type	4.71725748834842
GSE179500	KL XTR	Cd8a	ZR1518	wild-type	0.0
GSE179500	KL XTR	Cd8a	ZR1532	wild-type	0.0
GSE179500	KL XTR	Cd8a	ZR1534	wild-type	0.0
GSE179500	KL XTR	Cd8a	rSP47	Non-Restored	0.0
GSE179500	KL XTR	Cd8a	rSP48	Restored	0.0
GSE179500	KL XTR	Cd8a	rSP50	Non-Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Cd8a	rSP52	Non-Restored	0.962045828188019
GSE179500	KL XTR	Cd8a	rSP56	Restored	1.55014762033838
GSE179500	KL XTR	Cd8a	rSP57	Restored	1.14527112939709
GSE179500	KL XTR	Cd8a	rSP58	Non-Restored	1.94792395485312
GSE179500	KL XTR	Cd8a	rSP59	Non-Restored	0.0
GSE179500	KL XTR	Cd8a	rSP60	Restored; Trp53delta/delta	0.0
GSE179500	KL XTR	Cd8a	rSP62	Non-Restored	1.50344865122833
GSE179500	KL XTR	Cd8a	rSP66	Non-Restored; Trp53delta/delta	1.69566632745174
GSE179500	KL XTR	Cd8a	rSP71	Restored	0.0
GSE179500	KL XTR	Cd8a	rSP73	Non-Restored	1.03456548382406
GSE179500	KL XTR	Cd8a	rSP75	Non-Restored	0.0
GSE179500	KL XTR	Cd8a	rSP76	Non-Restored	0.0
GSE179500	KL XTR	Cd8a	rSP77	Restored	0.851955229625338
GSE179500	KL XTR	Cd8a	rSP78	Restored	0.0
GSE179500	KL XTR	Cd8a	rSP79	Restored	0.0
GSE179500	KL XTR	Cd8a	rSP81	Non-Restored	0.0
GSE179500	KL XTR	Cd8a	rSP84	Non-Restored	0.0
GSE179500	KL XTR	Cd8a	tSP106	Restored; Trp53delta/delta	0.0
GSE137396	GEMM nodule	Tacstd2	KL77-Kras-Lkb1-NA	KL	1.00215
GSE137396	GEMM nodule	Tacstd2	KL80-Kras-Lkb1-NA	KL	0.911282
GSE137396	GEMM nodule	Tacstd2	KL84-Kras-Lkb1-NA	KL	1.051845
GSE137396	GEMM nodule	Tacstd2	KL5739-Kras-Lkb1-NA	KL	-1.168876
GSE137396	GEMM nodule	Tacstd2	KL6426-Kras-Lkb1-NA	KL	0.526311
GSE137396	GEMM nodule	Tacstd2	KP_411-Kras-Trp53-Vehi	KP	0.003738
GSE137396	GEMM nodule	Tacstd2	KP_414-Kras-Trp53-Vehi	KP	-0.726322
GSE137396	GEMM nodule	Tacstd2	KPp3558-8-Kras-Trp53-Vehi	KP	-0.003738
GSE137396	GEMM nodule	Tacstd2	KPp3910-14-Kras-Trp53-Vehi	KP	-0.598464
GSE137396	GEMM nodule	Tacstd2	KPp4006-9-Kras-Trp53-Vehi	KP	-1.461858
GSE137396	GEMM nodule	Cldn4	KL77-Kras-Lkb1-NA	KL	0.930579
GSE137396	GEMM nodule	Cldn4	KL80-Kras-Lkb1-NA	KL	-1.167454
GSE137396	GEMM nodule	Cldn4	KL84-Kras-Lkb1-NA	KL	0.997102
GSE137396	GEMM nodule	Cldn4	KL5739-Kras-Lkb1-NA	KL	2.864504
GSE137396	GEMM nodule	Cldn4	KL6426-Kras-Lkb1-NA	KL	-0.49056
GSE137396	GEMM nodule	Cldn4	KP_411-Kras-Trp53-Vehi	KP	-0.017904
GSE137396	GEMM nodule	Cldn4	KP_414-Kras-Trp53-Vehi	KP	-0.034652
GSE137396	GEMM nodule	Cldn4	KPp3558-8-Kras-Trp53-Vehi	KP	0.017904
GSE137396	GEMM nodule	Cldn4	KPp3910-14-Kras-Trp53-Vehi	KP	1.064272
GSE137396	GEMM nodule	Cldn4	KPp4006-9-Kras-Trp53-Vehi	KP	-0.070214
GSE137396	GEMM nodule	Stk11	KL77-Kras-Lkb1-NA	KL	-1.183515
GSE137396	GEMM nodule	Stk11	KL80-Kras-Lkb1-NA	KL	-0.615864
GSE137396	GEMM nodule	Stk11	KL84-Kras-Lkb1-NA	KL	-1.370084
GSE137396	GEMM nodule	Stk11	KL5739-Kras-Lkb1-NA	KL	-0.573544
GSE137396	GEMM nodule	Stk11	KL6426-Kras-Lkb1-NA	KL	-0.646486
GSE137396	GEMM nodule	Stk11	KP_411-Kras-Trp53-Vehi	KP	1.042541
GSE137396	GEMM nodule	Stk11	KP_414-Kras-Trp53-Vehi	KP	0.573544
GSE137396	GEMM nodule	Stk11	KPp3558-8-Kras-Trp53-Vehi	KP	0.827037
GSE137396	GEMM nodule	Stk11	KPp3910-14-Kras-Trp53-Vehi	KP	0.959531
GSE137396	GEMM nodule	Stk11	KPp4006-9-Kras-Trp53-Vehi	KP	0.642965
GSE137396	GEMM nodule	Cd8a	KL77-Kras-Lkb1-NA	KL	-1.411311
GSE137396	GEMM nodule	Cd8a	KL80-Kras-Lkb1-NA	KL	1.579539
GSE137396	GEMM nodule	Cd8a	KL84-Kras-Lkb1-NA	KL	-3.852174
GSE137396	GEMM nodule	Cd8a	KL5739-Kras-Lkb1-NA	KL	-0.399207
GSE137396	GEMM nodule	Cd8a	KL6426-Kras-Lkb1-NA	KL	1.160735
GSE137396	GEMM nodule	Cd8a	KP_411-Kras-Trp53-Vehi	KP	1.996133
GSE137396	GEMM nodule	Cd8a	KP_414-Kras-Trp53-Vehi	KP	1.748017
GSE137396	GEMM nodule	Cd8a	KPp3558-8-Kras-Trp53-Vehi	KP	0.288776
GSE137396	GEMM nodule	Cd8a	KPp3910-14-Kras-Trp53-Vehi	KP	-0.817741
GSE137396	GEMM nodule	Cd8a	KPp4006-9-Kras-Trp53-Vehi	KP	-0.288776
GSE274351	LCM adenoma	Tacstd2	K1_S8_L00	K	3.33
GSE274351	LCM adenoma	Tacstd2	K2_S28_L00	K	0.49
GSE274351	LCM adenoma	Tacstd2	K3_S9_L00	K	2.28
GSE274351	LCM adenoma	Tacstd2	K4_S10_L00	K	5.94
GSE274351	LCM adenoma	Tacstd2	KL1_S16_L00	KL	44.29
GSE274351	LCM adenoma	Tacstd2	KL2_S17_L00	KL	10.0
GSE274351	LCM adenoma	Tacstd2	KL3_S29_L00	KL	5.14
GSE274351	LCM adenoma	Tacstd2	KL4_S30_L00	KL	0.15
GSE274351	LCM adenoma	Tacstd2	KL5_S31_L00	KL	0.89
GSE274351	LCM adenoma	Tacstd2	KP1_S11_L00	KP	12.26
GSE274351	LCM adenoma	Tacstd2	KP2_S12_L00	KP	12.8
GSE274351	LCM adenoma	Tacstd2	KP3_S13_L00	KP	34.42
GSE274351	LCM adenoma	Tacstd2	KP4_S14_L00	KP	0.0
GSE274351	LCM adenoma	Tacstd2	KP5_S15_L00	KP	19.2
GSE274351	LCM adenoma	Tacstd2	NL1_S18_L00	NL	4.43
GSE274351	LCM adenoma	Tacstd2	NL2_S19_L00	NL	8.72
GSE274351	LCM adenoma	Tacstd2	NL3_S20_L00	NL	13.16
GSE274351	LCM adenoma	Tacstd2	NL4_S21_L00	NL	2.77
GSE274351	LCM adenoma	Cldn4	K1_S8_L00	K	10.0
GSE274351	LCM adenoma	Cldn4	K2_S28_L00	K	28.62
GSE274351	LCM adenoma	Cldn4	K3_S9_L00	K	0.0
GSE274351	LCM adenoma	Cldn4	K4_S10_L00	K	0.11
GSE274351	LCM adenoma	Cldn4	KL1_S16_L00	KL	8.32
GSE274351	LCM adenoma	Cldn4	KL2_S17_L00	KL	5.06
GSE274351	LCM adenoma	Cldn4	KL3_S29_L00	KL	0.0
GSE274351	LCM adenoma	Cldn4	KL4_S30_L00	KL	38.53
GSE274351	LCM adenoma	Cldn4	KL5_S31_L00	KL	0.0
GSE274351	LCM adenoma	Cldn4	KP1_S11_L00	KP	2.68
GSE274351	LCM adenoma	Cldn4	KP2_S12_L00	KP	22.48
GSE274351	LCM adenoma	Cldn4	KP3_S13_L00	KP	25.44
GSE274351	LCM adenoma	Cldn4	KP4_S14_L00	KP	0.0
GSE274351	LCM adenoma	Cldn4	KP5_S15_L00	KP	34.4
GSE274351	LCM adenoma	Cldn4	NL1_S18_L00	NL	0.0
GSE274351	LCM adenoma	Cldn4	NL2_S19_L00	NL	0.0
