accession	model	design	gene	group_a	group_b	icb_contrast	response_contrast	genotype_contrast	note	n_a	n_b	mean_a	mean_b	median_a	median_b	log2fc_mean	welch_p	mwu_p	direction	space	welch_fdr_among_icb	author_row
GSE274351	KRAS GEMM LCM adenomas	KL vs K	Tacstd2	K	KL	False	False	True	no ICB	4	5	3.01	12.094	2.8049999999999997	5.14	1.7072317422462362	0.3340168455098679	0.7301587301587302	up_in_b	log2_mean_plus1		
GSE274351	KRAS GEMM LCM adenomas	KL vs KP	Cldn4	KP	KL	False	False	True	no ICB on these samples	5	5	17.0	10.382	22.48	5.06	-0.6612428219717676	0.5204881086403327	0.6723358083659552	down_in_b	log2_mean_plus1		
GSE274351	KRAS GEMM LCM adenomas	KL vs K	Cldn4	K	KL	False	False	True	no ICB	4	5	9.682500000000001	10.382	5.055	5.06	0.0915047675641578	0.9454790065194957	0.9008653893206502	up_in_b	log2_mean_plus1		
GSE274351	KRAS GEMM LCM adenomas	KL vs KP	Stk11	KP	KL	False	False	True	no ICB on these samples	5	5	60.27599999999999	37.956	17.37	21.26	-0.6534765743194475	0.6507486974641586	0.8412698412698413	down_in_b	log2_mean_plus1		
GSE274351	KRAS GEMM LCM adenomas	KL vs K	Stk11	K	KL	False	False	True	no ICB	4	5	4.2425	37.956	4.055000000000001	21.26	2.8935186877407517	0.15672407208936684	0.19047619047619047	up_in_b	log2_mean_plus1		
GSE274351	KRAS GEMM LCM adenomas	KL vs KP	Cd8a	KP	KL	False	False	True	no ICB on these samples	5	5	3.6160000000000005	1.6620000000000001	3.07	0.0	-1.12147382657289	0.3819556160513058	0.3727480704181131	down_in_b	log2_mean_plus_eps		
GSE274351	KRAS GEMM LCM adenomas	KL vs K	Cd8a	K	KL	False	False	True	no ICB	4	5	0.025	1.6620000000000001	0.0	0.0	6.054791638395406	0.26229818108160924	0.5605090914385145	up_in_b	log2_mean_plus_eps		
GSE338923	Lacun3 LUAD cells	STK11 KO vs WT	Cldn4	STK11_WT	STK11_KO	False	False	True	in vitro; no ICB	4	4	-1.18872675871716	-3.9685303793632323	-1.365245809006465	-3.83263295416081	-2.7798036206460726	0.015865991253155517	0.02857142857142857	down_in_b	already_log_mean_diff		
GSE338923	Lacun3 LUAD cells	STK11 KO vs WT	Stk11	STK11_WT	STK11_KO	False	False	True	in vitro; no ICB	4	4	6.746689222654897	7.23908547063729	6.743337405815559	7.21013636211233	0.10162772796035986	7.847211057627045e-05	0.02857142857142857	up_in_b	log2_mean_plus_eps		
GSE330941	LLC subcutaneous d12	Ago2KO (ICI-sensitized) vs WT (ICI-refractory)	Tacstd2	WT	Ago2KO	False	True	False	RNA without ICI; model-level sensitivity proxy	4	4	4.3925	11.8525	4.48	12.055	1.4320769949937027	0.056360101745802464	0.11428571428571428	up_in_b	log2_mean_plus_eps		
GSE330941	LLC subcutaneous d12	Ago2KO (ICI-sensitized) vs WT (ICI-refractory)	Cldn4	WT	Ago2KO	False	True	False	RNA without ICI; model-level sensitivity proxy	4	4	1.9275	6.592499999999999	1.7999999999999998	5.9350000000000005	1.7740942763086243	0.05320938910478683	0.02857142857142857	up_in_b	log2_mean_plus_eps		
GSE330941	LLC subcutaneous d12	Ago2KO (ICI-sensitized) vs WT (ICI-refractory)	Cd8a	WT	Ago2KO	False	True	False	RNA without ICI; model-level sensitivity proxy	4	4	0.8500000000000001	1.4375	1.005	0.825	0.7580265160203429	0.44716895800501166	0.8857142857142857	up_in_b	log2_mean_plus_eps		
GSE330941	LLC subcutaneous d12	Ago2KO (ICI-sensitized) vs WT (ICI-refractory)	Cd274	WT	Ago2KO	False	True	False	RNA without ICI; model-level sensitivity proxy	4	4	6.765000000000001	17.085	7.0649999999999995	16.575000000000003	1.336568279636257	0.04246343402120036	0.02857142857142857	up_in_b	log2_mean_plus_eps		
GSE260596	344SQ KP-derived	aPD-1+aLAIR1 vs aPD-1+control	Tacstd2	aPD1+aKLH	aPD1+aLAIR1	True	False	False	no ICB-untreated arm	3	4	2.0	0.75	0.0	0.0	-1.4150362970340786	0.6057958093751666	0.8254979107046321	down_in_b	log2_mean_plus_eps	0.7364576506129477	
GSE260596	344SQ KP-derived	aPD-1+aLAIR1 vs aPD-1+control	Cldn4	aPD1+aKLH	aPD1+aLAIR1	True	False	False	no ICB-untreated arm	3	4	9.333333333333334	9.25	7.0	8.0	-0.012939054314935628	0.989344776301769	0.8584272902604018	down_in_b	log2_mean_plus_eps	0.9894471630658392	
GSE260596	344SQ KP-derived	aPD-1+aLAIR1 vs aPD-1+control	Cd8a	aPD1+aKLH	aPD1+aLAIR1	True	False	False	no ICB-untreated arm	3	4	44.333333333333336	92.75	10.0	94.5	1.0482464448540598	0.36568073371324417	0.22857142857142856	up_in_b	log2_mean_plus1	0.6311408767649335	
GSE260596	344SQ KP-derived	aPD-1+aLAIR1 vs aPD-1+control	Cd274	aPD1+aKLH	aPD1+aLAIR1	True	False	False	no ICB-untreated arm	3	4	362.0	542.25	291.0	467.5	0.5816467211855323	0.40433270934159476	0.4	up_in_b	log2_mean_plus1	0.658628147467245	
GSE197260	EGFR-mutant syngeneic	gefitinib then aPD-1 (4H2) vs gefitinib then vehicle	Tacstd2	gef_vehicle_d21	gef_4h2_d21	True	False	False	n=1 arm; p not computed	1	1	93.0	1.0	93.0	1.0	-5.554588851677638			down_in_b	log2_mean_plus1		
GSE197260	EGFR-mutant syngeneic	gefitinib then aPD-1 (4H2) vs gefitinib then vehicle	Cldn4	gef_vehicle_d21	gef_4h2_d21	True	False	False	n=1 arm; p not computed	1	1	209.0	1.3	209.0	1.3	-6.512611656496472			down_in_b	log2_mean_plus1		
GSE197260	EGFR-mutant syngeneic	gefitinib then aPD-1 (4H2) vs gefitinib then vehicle	Cd8a	gef_vehicle_d21	gef_4h2_d21	True	False	False	n=1 arm; p not computed	1	1	30.6	56.0	30.6	56.0	0.8510373608750009			up_in_b	log2_mean_plus1		
GSE197260	EGFR-mutant syngeneic	gefitinib then aPD-1 (4H2) vs gefitinib then vehicle	Cd274	gef_vehicle_d21	gef_4h2_d21	True	False	False	n=1 arm; p not computed	1	1	36.0	88.9	36.0	88.9	1.2807958449981354			up_in_b	log2_mean_plus1		
GSE256071	KP cells vitro	SOX2-high vs control	Tacstd2	KP_ctrl	SOX2	False	False	False	checkpoint-resistance model; no ICB on RNA	3	3	0.0066616963105072995	0.0	0.0	0.0	-12.701890420905077	0.4226497308103743	0.5049850750938458	down_in_b	log2_mean_plus_eps		
GSE256071	KP cells vitro	SOX2-high vs control	Cldn4	KP_ctrl	SOX2	False	False	False	checkpoint-resistance model; no ICB on RNA	3	3	0.23607183592626765	0.253759040199376	0.245786484720151	0.222063861655422	0.10423285944361228	0.7358373617684304	1.0	up_in_b	log2_mean_plus_eps		
