gene	distance	Z	FC	p.value	p.adj
HNRNPD	2.52332573111802e-07	0.964858339564567	0.0009375073145698	0.975573595815634	0.99999999999513
RPA3	2.51498531492471e-07	0.963422021451981	0.0009313200208853	0.975654307961777	0.99999999999513
HLA-E	2.50159484003882e-07	0.961106812963305	0.0009214292129808	0.975783891220757	0.99999999999513
PAK2	2.50143949123527e-07	0.961079886227222	0.0009213147751998	0.975785394577039	0.99999999999513
TMEM147	2.49467706093115e-07	0.959906251799087	0.0009163401152922	0.975850836696923	0.99999999999513
STMN1	2.4907973297032e-07	0.959231591293255	0.00091349214036	0.975888382123813	0.99999999999513
ROMO1	2.44514113726499e-07	0.951218642262668	0.0008803105300027	0.976330216008291	0.99999999999513
MT-ATP8	2.43420760217993e-07	0.949279276001856	0.0008724554521381	0.976436025438808	0.99999999999513
CAST	2.41909990390168e-07	0.946586248879138	0.0008616594206131	0.976582231070801	0.99999999999513
UBE2S	2.36471388430072e-07	0.936761543594961	0.0008233514122779	0.977108561429083	0.99999999999513
CIB1	2.36271624495154e-07	0.9363967225371	0.0008219609147055	0.977127894129636	0.99999999999513
ERBB2	2.35586232901674e-07	0.935142853399693	0.0008171990396403	0.977194224875631	0.99999999999513
MYL12A	2.33699179779426e-07	0.931673183669348	0.0008041598916932	0.977376850691346	0.99999999999513
HIST1H4C	2.32792203617369e-07	0.929996352904048	0.000797930185984	0.977464626735821	0.99999999999513
POLR2I	2.31877938806059e-07	0.928299939902551	0.0007916749340697	0.977553108443036	0.99999999999513
ANXA2	2.28273862378505e-07	0.921551968135548	0.000767256199706	0.97790191032353	0.99999999999513
CUTA	2.26335444754309e-07	0.917881909756838	0.000754281010347	0.9780895117907	0.99999999999513
ARPC4	2.25886564270439e-07	0.917027901177991	0.0007512921167751	0.97813295494352	0.99999999999513
MYL12B	2.17054867899755e-07	0.89989902876378	0.0006936926494019	0.978987709376268	0.99999999999513
SFTA2	2.16667668006916e-07	0.89913344959645	0.0006912199276517	0.979025184143252	0.99999999999513
CALR	2.15691188463516e-07	0.89719711936013	0.0006850035764697	0.979119691976432	0.99999999999513
NAP1L1	2.10748803106924e-07	0.887270794592627	0.0006539706621427	0.97959804146891	0.99999999999513
HSPB1	2.08646278158578e-07	0.882982854007733	0.0006409871400098	0.979801536889046	0.99999999999513
PSMB10	2.02393446490507e-07	0.869991094655912	0.0006031438779344	0.980406732480608	0.99999999999513
APRT	1.98217901772044e-07	0.86110772416196	0.0005785138775362	0.98081087908027	0.99999999999513
VIM	1.97037606138538e-07	0.858565396208876	0.0005716448261832	0.980925119555711	0.99999999999513
FABP5	1.96239458658947e-07	0.856838236661702	0.0005670230405464	0.981002372242922	0.99999999999513
SEC11C	1.92999540383081e-07	0.849760017099119	0.0005484544715878	0.981315965724929	0.99999999999513
TYMP	1.92251736415233e-07	0.84811074462187	0.000544212576882	0.981388346496483	0.99999999999513
C19ORF33	1.90478793579226e-07	0.844176783810358	0.0005342214178443	0.981559952201906	0.99999999999513
JAM3	1.898377168425e-07	0.842745992478368	0.0005306315105851	0.981622003158404	0.99999999999513
CEACAM6	1.87407357432472e-07	0.837281014872102	0.0005171318728798	0.981857242970903	0.99999999999513
MGST1	1.86098645140668e-07	0.834311082615594	0.0005099345696673	0.981983916755955	0.99999999999513
NOP10	1.84952955100738e-07	0.831695256536919	0.0005036752161761	0.982094811551496	0.99999999999513
SFPQ	1.81343333071416e-07	0.823355005895694	0.0004842071740019	0.982444200010267	0.99999999999513
KRT7	1.7947855780468e-07	0.818986188608005	0.0004743000542952	0.982624699721371	0.99999999999513
PRR13	1.76885683602315e-07	0.81284150640229	0.000460694896032	0.982875676772433	0.99999999999513
H2AFY	1.71093865490765e-07	0.798810310827636	0.0004310194901404	0.983436301427822	0.99999999999513
SELL	1.68272236056075e-07	0.791815299298065	0.0004169202252859	0.983709426767902	0.99999999999513
CNIH4	1.67446812355418e-07	0.789748570943203	0.0004128400299943	0.983789325690411	0.99999999999513
CENPX	1.6635915710029e-07	0.787010867414321	0.000407494221539	0.983894608211033	0.99999999999513
TALDO1	1.64114682430384e-07	0.781308814520632	0.0003965727834832	0.984111869068027	0.99999999999513
LY6E	1.6403813204905e-07	0.781113074359253	0.0003962029114249	0.98411927901946	0.99999999999513
HNRNPA0	1.61263630599871e-07	0.773961186675239	0.0003829136940712	0.984387847131458	0.99999999999513
S100A13	1.59784517053142e-07	0.770101957485734	0.0003759217215101	0.984531024113489	0.99999999999513
RAB8A	1.57648444606967e-07	0.764470092075278	0.0003659379178602	0.984737795057996	0.99999999999513
SAT1	1.57331764227994e-07	0.76362916662543	0.000364469220025	0.984768449677555	0.99999999999513
ZFP36	1.57015861375326e-07	0.762788749678141	0.0003630070705787	0.984799029055074	0.99999999999513
PHLDA2	1.55033946164183e-07	0.757480285921891	0.0003539008739846	0.984990878838483	0.99999999999513
