gene,GSM5772210,GSM5772211,GSM5772212,GSM5772213,GSM5772214,GSM5772215,GSM5772216
ACKR2,0.0,0.151,0.054,0.487,0.0,0.0,0.0
ACKR3,35.074,60.142,37.223,46.188,31.385,3.537,36.126
ACKR4,0.648,0.0,0.211,0.063,0.387,2.168,0.34
ACLY,26.705,33.094,28.854,31.231,28.874,17.931,32.857
ACMSD,0.0,0.0,0.0,0.0,0.0,0.234,0.0
ACO1,129.308,112.821,126.639,139.16,117.133,24.336,131.871
ACO2,62.912,66.285,66.434,53.925,67.984,50.012,68.367
ACOT1,13.468,40.536,13.981,14.43,38.467,4.629,32.011
ACOT11,1.518,3.127,0.746,0.585,1.428,1.595,2.901
ACOT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT13,12.664,11.271,8.869,7.515,8.883,15.203,8.362
ACOT2,53.114,88.913,63.678,63.251,73.451,30.171,95.356
ACOT4,69.339,55.999,55.307,57.858,59.342,26.349,49.711
ACOT6,0.144,0.876,0.946,0.338,1.937,0.0,1.373
ACOT7,78.941,65.861,85.14,77.655,61.785,29.05,102.208
ACOT8,45.538,23.856,22.482,30.723,29.028,33.977,21.157
ACOT9,62.164,51.688,47.942,52.579,54.443,40.722,61.591
ACOX1,18.271,15.331,18.946,14.726,17.535,5.792,15.348
ACOX2,0.0,0.066,0.0,0.0,0.225,0.695,0.086
ACOX3,7.14,6.198,5.206,7.42,5.726,8.601,2.514
ACOXL,0.0,0.0,0.069,0.371,0.0,0.0,0.0
ACP1,56.285,56.416,54.615,64.436,66.075,84.226,64.276
ACP2,53.503,64.14,48.64,58.233,53.124,67.498,75.006
ACP5,754.279,807.962,810.531,725.726,1170.5,383.163,703.18
ACP6,8.086,7.463,5.998,11.065,8.859,6.012,7.03
ACPP,3.939,0.208,0.051,0.523,0.436,8.198,0.987
ACPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACRBP,11.733,8.604,9.738,5.913,6.827,4.643,6.918
ACRC,0.077,0.093,0.151,0.0,0.119,0.327,0.122
ACRV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSBG1,0.0,0.0,0.0,0.0,0.298,4.209,0.0
ACSBG2,0.05,0.605,0.196,0.409,0.412,0.106,0.712
ACSF2,12.186,9.961,14.364,9.612,9.507,6.59,11.212
ACSF3,6.029,8.756,7.502,8.319,9.233,13.227,8.72
ACSL1,88.916,164.955,73.38,100.174,80.094,73.761,73.804
ACSL3,21.603,25.516,20.738,23.123,24.722,22.471,26.617
ACSL4,9.061,14.469,11.582,11.143,9.273,12.211,12.889
ACSL5,31.429,34.112,30.904,31.501,28.815,21.988,29.971
ACSL6,0.0,0.0,0.0,0.022,0.0,0.159,0.089
ACSM1,3.042,1.732,2.439,1.673,1.281,3.962,2.066
ACSM2A,0.0,0.0,0.0,0.0,0.0,0.0,0.071
ACSM2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM3,12.275,1.37,2.529,2.697,2.429,1.611,2.26
ACSM4,0.0,0.0,0.195,0.0,0.0,0.0,0.0
ACSM5,0.983,2.196,0.135,0.909,1.921,1.87,3.114
ACSM6,0.0,0.0,0.0,0.089,0.0,0.081,0.0
ACSS1,20.433,24.766,18.279,14.386,26.088,26.482,17.106
ACSS2,35.386,30.794,46.366,29.213,37.523,17.865,34.691
ACSS3,0.121,0.491,0.265,0.19,0.626,0.043,0.192
ACTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTA2,12.982,16.792,29.338,51.168,63.409,11.244,14.021
ACTA2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,9404.87,9116.33,9799.58,9611.96,8851.49,7726.06,10928.2
ACTBL2,0.0,0.0,0.0,0.104,0.0,0.0,0.0
ACTC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1,1832.03,1661.08,1590.76,1593.31,1639.01,1569.17,2098.51
ACTG1P17,0.0,0.192,0.0,0.0,0.0,0.0,0.377
ACTG1P20,0.234,0.454,0.796,1.37,0.29,3.433,0.815
ACTG1P4,0.0,0.078,0.0,0.0,0.067,0.0,0.0
ACTG2,0.0,0.14,0.0,0.0,0.0,0.0,0.0
ACTL10,0.503,0.839,0.741,0.663,0.584,0.936,0.897
ACTL6A,39.701,26.851,28.858,30.171,30.099,30.364,30.852
ACTL6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTN1,144.232,216.497,185.889,190.61,170.799,78.331,197.576
ACTN1-AS1,0.0,0.0,0.0,0.0,0.0,0.315,0.0
ACTN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTN3,0.0,0.0,0.055,0.0,0.0,0.0,0.0
