gene	rho	p	n
Art2b	0.3847304104378147	0.006342585875641531	49
Cxcl2	0.38465590176539244	0.006353624247049399	49
H2bu2	0.38461172741055316	0.0063601765194795405	49
Gm8897	0.38457555818970124	0.006365545789657091	49
Tacc3	0.3844142290358832	0.006389542959344202	49
Fgd4	0.3843616089424915	0.006397387034581872	49
Arhgef18	0.38435766425821466	0.006397975406116108	49
4933427I04Rik	0.3843370237667476	0.006401054818000837	49
Pth2r	0.38420484999916393	0.006420804787675231	49
C1galt1c1	0.3841879699252088	0.006423330896006393	49
Pard6b	0.3841879699252088	0.006423330896006393	49
Csf2	0.3841478285324257	0.006429341542694021	49
Saa1	0.3841391592285563	0.006430640299772401	49
Tnfsf13	0.3840846385723648	0.006438813328707551	49
Atp13a5	0.38403767538304834	0.006445860686754453	49
Fam83f	0.38402806862646494	0.0064473031161032465	49
Flg2	0.3840252064958926	0.006447732911827699	49
Utp20	0.38401827559220303	0.006448773803701955	49
Shcbp1	0.3839051460368657	0.0064657844306272375	49
Paqr5	0.3838942765491836	0.006467420866010343	49
Gm6040	0.383864560101207	0.006471896610130991	49
Efna3	0.3838018074688506	0.0064813569578579	49
Krt84	0.3835912854722705	0.006513182415150187	49
Itpripl1	0.38350919259318544	0.006525629527697138	49
H3c8	0.3834220421251518	0.00653886612832611	49
Efcab15	0.38340002858628713	0.006542213285311051	49
Ascl3	0.3832834581914601	0.006559962665099549	49
9830107B12Rik	0.3831818879566804	0.006575462213958693	49
Wdr1	0.3831132391495052	0.0065859560101061984	49
Cnnm4	0.3831132391495052	0.0065859560101061984	49
Entpd8	0.38303270402534134	0.006598285341603645	49
Rxfp3	0.38300881792291536	0.006601945985700675	49
Apobec4	0.3829810049304363	0.006606210668056818	49
Gm10662	0.3829360094792459	0.00661311508315916	49
Gm7694	0.382917319248539	0.006615984886899314	49
Fbxo47	0.3827738504834935	0.006638049989263154	49
Gadd45b	0.3827172857058249	0.006646767073889049	49
Selenoi	0.3827172857058249	0.006646767073889049	49
Tdpoz6	0.38249906574637954	0.006680489881882214	49
Psg20	0.3824463397781417	0.006688660218983485	49
Potegl	0.38238239542044855	0.006698580600044373	49
A3galt2	0.3823603506152862	0.006702003614276221	49
Phactr2	0.38229349818138203	0.006712393450261914	49
Jag1	0.3822472095143495	0.006719595583210421	49
Fam107a	0.3819656192783099	0.006763553638406903	49
Myo15	0.38195267188285476	0.006765580808751956	49
Sp8	0.3819157419244452	0.006771365825314267	49
Ppef2	0.38190842084725907	0.006772513170542891	49
Tmcc3	0.3818688140407957	0.006778723204735065	49
Tas1r2	0.38183470810709885	0.006784074712041629	49
Gsg1	0.38182632825612145	0.006785390142972979	49
P2ry1	0.38175604444375316	0.006796431708841861	49
Slc12a9	0.3817556844854585	0.006796488298362828	49
Map3k5	0.38169911970778986	0.006805386013571131	49
Klhl32	0.38153260594325644	0.006831637660250533	49
Anapc4	0.3814728605971155	0.006841078218762171	49
Casp8ap2	0.3814728605971155	0.006841078218762171	49
Dclk3	0.3814710850285233	0.006841358955619765	49
Tbc1d8	0.38141629581944686	0.0068500266537277615	49
Bmx	0.3814158883968903	0.006850091144050827	49
Zfp868	0.3811334719311038	0.006894921607241874	49
Atp11a	0.3810866288751137	0.006902382021181293	49
Fxyd4	0.38099917931483557	0.006916328365881498	49
Sertad4	0.38094272298475806	0.0069253449520015695	49
Popdc3	0.3808574072503213	0.0069389900278656975	49
Sh3d19	0.3808037977715995	0.006947576072435541	49
Tex12	0.3805106866767238	0.006994683890070599	49
Acot5	0.3804332605526671	0.007007173792918417	49
Ninl	0.38039812982141186	0.007012847252320499	49
Lipg	0.3803803813488954	0.007015715070108935	49
Slc4a7	0.38034156504374317	0.007021990602594589	49
Asxl3	0.38031481249216104	0.007026318595115262	49
Gm37240	0.3802947017852738	0.0070295736044195065	49
Vmn2r95	0.3802009821804969	0.00704475983148689	49
Snx18	0.38011530593306875	0.007058667649040718	49
Lrrc56	0.38005874115540017	0.007067862870352203	49
Tbc1d19	0.37988904682239427	0.007095510992562745	49
Fabp6	0.3798484002340674	0.00710214742754949	49
Tac1	0.379732437957792	0.007121110417120361	49
Anxa1	0.3796062229340513	0.007141799973015867	49
Ddx58	0.37954965815638264	0.007151089173146937	49
Tsga13	0.3795271074446962	0.0071547954281014235	49
Gna15	0.3795265790331418	0.007154882293604179	49
Tspan33	0.37944620847473104	0.007168105066542215	49
Dlg1	0.37926683426803964	0.007197692730145331	49
Lce6a	0.37925918307394085	0.007198957144475604	49
Gm8947	0.37915464693340023	0.007216251814807135	49
Amy2a5	0.37912423624888114	0.007221289788734432	49
Igfbp7	0.3791185021332991	0.007222240070820447	49
Tnf	0.37885449775093866	0.007266109743225333	49
Pkp4	0.37881431604669064	0.007272806989769867	49
Sprr2i	0.3786039070809162	0.007307964270011301	49
Cep170b	0.37858805693601627	0.007310618639023941	49
Vgll3	0.3783848212283858	0.007344728052721393	49
Cxcr2	0.3782641147888373	0.0073650517409436615	49
Hoxb4	0.3781905358279338	0.007377464369331008	49
Fancb	0.3780789739369988	0.007396319275302589	49
Fsip1	0.378000364867056	0.00740962997558193	49
Kctd12b	0.37792804160414745	0.007421894668752083	49
Chsy3	0.377892786377622	0.007427879689511812	49
Mettl7b	0.37781471541842687	0.007441148129439211	49
H3c3	0.3778057880743483	0.0074426666730752185	49
Stk26	0.377804649634587	0.007442860341315186	49
Tlr5	0.37776785185491646	0.007449122633662165	49
Ptpn3	0.3777492218536455	0.007452294853466547	49
Gm5415	0.3776466147714353	0.007469787267414395	49
Olfr341	0.3776466147714353	0.007469787267414395	49
Mmp20	0.3776466147714353	0.007469787267414395	49
Phf7	0.37762645571564984	0.007473228158815635	49
Uox	0.37751236101349284	0.007492728583882183	49
Scgb1b30	0.37731159892333466	0.007527148902120769	49
Fam76b	0.37728706704963816	0.007531364239533206	49
Ccdc158	0.3772803000633487	0.0075325273781091115	49
Mefv	0.37718307895014874	0.007549255368234898	49
Donson	0.37711737271663237	0.007560579106893116	49
Galnt17	0.3770851624231782	0.00756613557199422	49
Lypd2	0.3770021729893073	0.007580468059346915	49
Nrg1	0.376987296104297	0.007583039822812831	49
Il1f10	0.376976583075234	0.007584892250158587	49
Pate9	0.37691710072600887	0.007595184692210158	49
Prl2c5	0.3769150313283449	0.007595542985360775	49
Cntnap5b	0.37687644193238407	0.007602226995211563	49
Ly6a	0.3768441623223998	0.007607822014320993	49
Shisa7	0.37683915397714274	0.0076086904298653165	49
Cnn1	0.3768227037875457	0.007611543394135336	49
Krt13	0.37679338932407996	0.007616629715275883	49
Gpr137c	0.3766308030026399	0.0076448934371377095	49
Cmtm8	0.37656000533996054	0.007657229174744585	49
Vmn2r4	0.37647405930308303	0.0076722275464508665	49
Vmn1r13	0.37647405930308303	0.0076722275464508665	49
Vmn2r76	0.37647405930308303	0.0076722275464508665	49
Lif	0.3764481987774798	0.007676745427831088	49
Fbll1	0.37624256226775993	0.007712752677605004	49
Gm4861	0.37613904345498245	0.00773093431473057	49
Upk1b	0.3761026549670444	0.007737334265962387	49
Lin9	0.37609920671859737	0.007737940976766344	49
Dio2	0.37608578086174843	0.007740303616063376	49
Awat2	0.3760426419409288	0.007747899298686844	49
Scnn1b	0.3760078854760749	0.007754023740334729	49
Krtap1-4	0.37586511923332094	0.007779224644882314	49
Gm14440	0.37586228521259246	0.007779725620190591	49
Gm10033	0.3758163828302543	0.007787843768385973	49
Tdpoz5	0.3758086481575141	0.007789212420450867	49
Olfr224	0.37580402760688175	0.007790030127385459	49
Otud6a	0.37580402760688175	0.007790030127385459	49
Gvin1	0.37574559373474675	0.007800377694420169	49
Hs3st3b1	0.3757345790100379	0.0078023295340572596	49
Rhbdl2	0.3756687107936174	0.007814010401045889	49
Tdrd5	0.3756606389895343	0.00781544287193324	49
Glb1l2	0.37564798483117995	0.007817689013056645	49
Slc27a2	0.3755468518160599	0.00783566046018044	49
Ackr3	0.3754596573537618	0.007851183743113072	49
Ccdc85c	0.37520374192201716	0.007896898525135735	49
H3c14	0.3751662040874283	0.007903623357322176	49
Cxcl5	0.37509977272637496	0.007915536572193063	49
Eaf2	0.3750244759428938	0.007929058443278278	49
Acaa1b	0.37498629525769356	0.007935922612544083	49
Prdm4	0.37491134638755647	0.007949411984298589	49
Homer2	0.3748321045664963	0.007963695606091632	49
Vmn1r197	0.3747989800625799	0.007969673003223769	49
Nme8	0.3747989800625799	0.007969673003223769	49
Bfsp1	0.37470869182293115	0.00798598547535672	49
Cntf	0.3746380797149886	0.007998763188569786	49
H4c9	0.37462852249921347	0.008000493988004578	49
Foxa1	0.37448223042423173	0.008027027812957747	49
Olfr815	0.3744220872334667	0.008037958415795753	49
Vmn2r24	0.37429645629042896	0.008060832557711449	49
Dock8	0.37428913383320184	0.008062167524634437	49
Dgkh	0.37425386930976073	0.00806859932886183	49
Rps23rg1	0.37412328702484177	0.008092454601994847	49
Mtarc1	0.3741025122511519	0.008096255443699466	49
Clrn3	0.37406513002538627	0.008103098590121349	49
Gm8890	0.37404560531798814	0.008106674751074584	49
Tprg	0.37401443937006645	0.008112385963046502	49
H2-Ab1	0.3739643110381018	0.00812157937296144	49
Olfr883	0.3739614404423283	0.008122106106008435	49
Strn	0.37394974516719015	0.008124252408104648	49
Krtap4-2	0.37392946613190303	0.008127975155167031	49
Elovl4	0.37386221006250764	0.00814033234062659	49
Nuak1	0.37384615262514864	0.008143285032502993	49
Pyy	0.3737438372360152	0.00816212089683114	49
Tspan18	0.3734601961156019	0.008214535502612681	49
Lce1f	0.3733777798237016	0.008229819903985908	49
Insm2	0.37334222124930116	0.008236421969868027	49
Spon1	0.37329877112941046	0.008244495461731323	49
Lonrf3	0.37317065575879105	0.008268340545564799	49
Prxl2a	0.37316735797671446	0.008268955122506551	49
1110032F04Rik	0.3731068695838759	0.008280234797437665	49
H2-M10.5	0.3731012516572728	0.008281283085364874	49
Tlr13	0.3730676235191268	0.008287560395280232	49
Esrrb	0.3730434951894523	0.00829206692870931	49
Olfr975	0.37302092845993	0.00829628371599403	49
Armh2	0.3729406052625872	0.008311307859520634	49
Usp17lc	0.37292455120153556	0.008314313531603943	49
Allc	0.3728156358091983	0.008334729732578589	49
Hoxb8	0.3726366897185549	0.008368367401812592	49
Ccl1	0.3726163969708824	0.008372189368890968	49
Rbm12	0.3725356257254748	0.00838741692425161	49
Chrdl1	0.37245045320936426	0.008403500192808897	49
Wdr53	0.3724224961701376	0.008408785181268245	49
Noxo1	0.3724224961701376	0.008408785181268245	49
Nr1h5	0.3724052957186094	0.008412038177152664	49
Cyb561	0.37237543088687447	0.008417688881534042	49
Zfp184	0.372365931392469	0.00841948696273192	49
Krt34	0.3722648720680796	0.008438636234258947	49
Prl7b1	0.3722648720680796	0.008438636234258947	49
Psg25	0.3722648720680796	0.008438636234258947	49
Ckmt1	0.3722594502854928	0.008439664647356132	49
Il18	0.37219623705946314	0.00845166304612001	49
Acaca	0.37219623705946314	0.00845166304612001	49
Dse	0.37212108098052266	0.008465947499389715	49
Slc8a1	0.3720475983624667	0.008479934077857522	49
Knop1	0.37191341317112014	0.008505526285420003	49
Cacng4	0.37191190266523366	0.008505814753560418	49
Phyhip	0.37180892613461425	0.008525500613339551	49
Zfp266	0.3716871540604456	0.008548830433130518	49
Helq	0.3716305892827771	0.008559686219490395	49
Fcamr	0.3716208041850746	0.008561565362870944	49
Csn2	0.3714518301620882	0.008594071689424809	49
Btbd11	0.37141380513492606	0.008601401437298884	49
Ptgfrn	0.3713856638244346	0.008606829469136192	49
Myrfl	0.37137009919343966	0.008609832922438377	49
Samd10	0.371347765394434	0.008614144182191738	49
Ncapg	0.37123463583909677	0.008636011114881992	49
Npsr1	0.371178518722707	0.008646875851616158	49
Reg1	0.37110341260383295	0.008661435510013622	49
Acox2	0.3709164238073153	0.00869777624705279	49
Msln	0.37082016188917344	0.00871653582287603	49
H2ac12	0.3707625355713213	0.008727782801769921	49
Slain1	0.37066220879965944	0.008747393602120655	49
Bend4	0.37062839488290467	0.00875401176088299	49
Ptger4	0.37056531182438324	0.0087663701326624	49
Zfp558	0.37055885891826806	0.008767635147806858	49
Slc22a20	0.3704856510182843	0.008781997735654235	49
Myl2	0.3704840036113793	0.008782321172676999	49
Sdr39u1	0.3704805350169417	0.008783002198907744	49
Fbxo43	0.37039694444278354	0.008799428241695328	49
Slc45a3	0.37039561316227465	0.008799690060864784	49
Zbtb41	0.37038616417406756	0.008801548560140803	49
Pth	0.37033148510266467	0.008812309921749556	49
BC049352	0.37032719184490265	0.008813155357051248	49
Aoc1	0.3702270580426701	0.00883289376365956	49
Melk	0.37021646984106177	0.008834983145205973	49
Cntrl	0.37021646984106177	0.008834983145205973	49
Nrbp1	0.37021646984106177	0.008834983145205973	49
Slc44a4	0.3702071325898295	0.008836826029752831	49
Irak3	0.37013736020057736	0.00885060746091088	49
Cd163	0.3701000068902876	0.008857993111887657	49
Ankrd1	0.37009454082443166	0.008859074331650662	49
Ap1g1	0.3700467755080559	0.008868527444402195	49
Nkapl	0.3700040727302362	0.008876986021978688	49
A730071L15Rik	0.3699527511988366	0.008887161028333772	49
Fibin	0.3699461648172736	0.008888467573712408	49
Nbn	0.3699336459527187	0.008890951407716481	49
Mageb2	0.36987192127318635	0.008903206805399995	49
Nfasc	0.3698665410435994	0.008904275738040975	49
Nab1	0.3697639516197129	0.008924679216171502	49
Acpp	0.3697095929640084	0.008935506691663512	49
Igf2	0.36961414414725724	0.008954546209754213	49
Lcn2	0.36959519047684064	0.008958331134793794	49
Cul4a	0.3695942572867071	0.008958517522507672	49
Rassf9	0.36956894445967925	0.008963574576387414	49
Vmn2r94	0.3695643574360076	0.00896449124627929	49
Ppip5k2	0.36953769250903845	0.008969821563995844	49
Ddx59	0.36948112773136976	0.008981137926727521	49
Asb2	0.36946986640445034	0.008983392342080647	49
Prkcg	0.36942456295370124	0.008992466621646168	49
Serpina3i	0.36936357243173457	0.009004695526773571	49
Dlgap3	0.3693433120423043	0.009008761013952711	49
Gcnt2	0.3692925534571073	0.009018953288666068	49
Elovl7	0.36917941235617063	0.009041707766501548	49
Myo19	0.36914173906535813	0.009049295462546922	49
Rgs5	0.3690441933914779	0.009068967488738729	49
Cnksr2	0.368995619346131	0.009078777180315785	49
H2bc14	0.3689905415057723	0.00907980319614666	49
Ecrg4	0.3689171091349693	0.009094651959107048	49
Pdxdc1	0.36891547995468377	0.009094981633398471	49
Plcg2	0.36889646864775866	0.00909882944711327	49
Ralgds	0.3688589151770151	0.009106434253586794	49
Plekha1	0.3688589151770151	0.009106434253586794	49
Dok2	0.3688117589825948	0.009115991444096328	49
Zfp101	0.36880235039934645	0.009117899326792713	49
Tex45	0.3688014439506292	0.009118083155655777	49
Nkx2-3	0.36875757276060617	0.00912698411164741	49
Kcnj2	0.3685891620774188	0.009161222415128017	49
Gpr68	0.3685883370574809	0.009161390416320234	49
Slpi	0.36850056575055096	0.009179278744891836	49
Fam221a	0.3684243880090239	0.009194828673738253	49
Proc	0.3683901620863061	0.009201822508369862	49
Art3	0.36835345358048677	0.009209328746606259	49
Spast	0.3683498321779976	0.009210069545598219	49
Fam83d	0.36823670262266034	0.009233237403869674	49
2610528A11Rik	0.3681895305548635	0.009242912649424756	49
Olfr448	0.3680986631005673	0.009261574726471922	49
Gm3558	0.36805698683742427	0.009270144944081272	49
Epha2	0.36804800134680454	0.009271993598044844	49
Tigd2	0.3679914307963362	0.009283639602437116	49
Rdh8	0.36796056702733404	0.009289998753589832	49
Lmln	0.3679538787343173	0.00929137730079851	49
Tnfrsf11a	0.3678869752493728	0.009305176730339492	49
1700086D15Rik	0.36788024382999124	0.009306566123556381	49
Rnf130	0.367829926837438	0.009316957435450659	49
Ucp3	0.36782015741897145	0.009318976146565506	49
Znrf3	0.36778418440131144	0.009326412713050614	49
Syce1l	0.367763394849595	0.009330712793922221	49
Lamc3	0.3677336064312365	0.009336877170067315	49
Sbp	0.36772177027145414	0.009339327505079894	49
Gm38119	0.3676950483316443	0.009344861552052006	49
Msmb	0.3676950483316443	0.009344861552052006	49
Gm10142	0.3676950483316443	0.009344861552052006	49
H2bl1	0.3676950483316443	0.009344861552052006	49
Lce1i	0.3676950483316443	0.009344861552052006	49
H3c2	0.3676317731135761	0.009357976978797849	49
Esco1	0.36761449006830565	0.009361562098460497	49
Wnt3a	0.367573427865001	0.009370084617427919	49
Amotl1	0.367557925290637	0.0093733039397104	49
Sectm1b	0.36743181873231573	0.009399527181894638	49
Fam135a	0.3673691547411848	0.009412581382771679	49
Opalin	0.3673435234288416	0.009417925420183545	49
Olfr645	0.3673435234288416	0.009417925420183545	49
Vmn2r28	0.3673435234288416	0.009417925420183545	49
Gm14496	0.3673435234288416	0.009417925420183545	49
Bod1l	0.36733166617996255	0.009420398500037556	49
Foxl2	0.36724045205136857	0.009439441878809131	49
Lce1c	0.3671677609774402	0.00945464185273887	49
Tcaf3	0.3671677609774402	0.00945464185273887	49
Nepro	0.36704884229161955	0.009479553730001714	49
Vmn1r236	0.36699199852603887	0.00949148173277478	49
Olfr1402	0.36699199852603887	0.00949148173277478	49
Olfr259	0.36699199852603887	0.00949148173277478	49
Hyal1	0.36682258318094507	0.009527108413168596	49
Fbxw19	0.3668162360746375	0.009528445397459704	49
Olfr478	0.3668162360746375	0.009528445397459704	49
Cyp2c66	0.3668162360746375	0.009528445397459704	49
Gm39115	0.3668162360746375	0.009528445397459704	49
Gm45337	0.3668162360746375	0.009528445397459704	49
Glt6d1	0.3668162360746375	0.009528445397459704	49
Gucy2d	0.3668162360746375	0.009528445397459704	49
4930470P17Rik	0.3668162360746375	0.009528445397459704	49
Lipf	0.3668162360746375	0.009528445397459704	49
Lrrc52	0.3668162360746375	0.009528445397459704	49
Krtap4-7	0.3668162360746375	0.009528445397459704	49
Olfr1440	0.3668162360746375	0.009528445397459704	49
Kctd11	0.36676601840327644	0.009539029191480268	49
H2ac11	0.36672463771053143	0.00954775813867962	49
Car1	0.36664047362323615	0.009565533184604588	49
Nkd1	0.36658563985349674	0.009577129161258593	49
Eln	0.36658122777528573	0.009578062732791387	49
Edn3	0.3665671648012666	0.009581038904788139	49
Mamdc2	0.3665656484512203	0.009581359860262163	49
Sidt1	0.3665602091092699	0.009582511244985242	49
Hacd4	0.3665005379782263	0.009595150101857124	49
Olfr805	0.3664647111718348	0.009602745432663344	49
Olfr323	0.3664647111718348	0.009602745432663344	49
Olfr810	0.3664647111718348	0.009602745432663344	49
Rdh19	0.3664647111718348	0.009602745432663344	49
Olfr1390	0.3664647111718348	0.009602745432663344	49
Olfr987	0.3664647111718348	0.009602745432663344	49
Olfr791	0.3664647111718348	0.009602745432663344	49
Vmn1r60	0.3664647111718348	0.009602745432663344	49
Olfr342	0.3664647111718348	0.009602745432663344	49
Vmn1r61	0.3664647111718348	0.009602745432663344	49
Tas2r126	0.3664647111718348	0.009602745432663344	49
4933414I15Rik	0.3664647111718348	0.009602745432663344	49
Gm8978	0.3664647111718348	0.009602745432663344	49
Olfr1110	0.3664647111718348	0.009602745432663344	49
Fpr2	0.3664647111718348	0.009602745432663344	49
Pbld2	0.36637006495959623	0.009622835507070607	49
Tmem28	0.36634933154677507	0.009627241321398274	49
Olfr5	0.36628894872043344	0.009640082480733031	49
Slc17a3	0.36628894872043344	0.009640082480733031	49
Otop3	0.3662628758789516	0.009645631759645494	49
H1f4	0.3662003706265904	0.00965894644302973	49
1700020L24Rik	0.36618066642458497	0.00966314705834713	49
Vmn2r69	0.366113186269032	0.0096775446685542	49
Ankk1	0.3660343700140469	0.009694384375315815	49
Pi15	0.3659963686111667	0.009702512695838909	49
Fsip2l	0.3659524870937642	0.009711906055864085	49
Efnb1	0.36589832042900894	0.009723511887314615	49
Sytl5	0.36587851436270075	0.009727758549891724	49
Dgat2	0.3658703155060466	0.0097295169529003	49
Cd99l2	0.36580441718291007	0.00974366007676595	49
Vmn1r224	0.36576166136622934	0.009752845825632312	49
Vmn1r12	0.36576166136622934	0.009752845825632312	49
Olfr1116	0.36576166136622934	0.009752845825632312	49
Trim55	0.36576101004391964	0.009752985814794448	49
Irf1	0.3656347228499042	0.009780161565911473	49
Cyp24a1	0.365625500279049	0.009782148727061287	49
Eda	0.3655184201337109	0.00980524647821275	49
Fam133b	0.36535189896156123	0.00984125938274518	49
Cypt2	0.3652929053727245	0.009854045026417218	49
Olfr330	0.3652929053727245	0.009854045026417218	49
Dmrtc1b	0.3652929053727245	0.009854045026417218	49
Gm26992	0.3652799618894147	0.009856852174110907	49
Tmod2	0.36522723295109294	0.009868295008933891	49
Olfr173	0.3652251007830267	0.00986875795666577	49
Notum	0.3651137554824116	0.00989295987307438	49
Cldn24	0.36506893192299356	0.00990271711472296	49
Iqcf4	0.36506153655840645	0.009904327742676062	49
Tktl2	0.36491601254361133	0.009936067216451709	49
Hsd17b7	0.3648428159625437	0.009952064843048225	49
Fam169a	0.36474203617826867	0.0099741272897706	49
1700016D06Rik	0.36470045975994425	0.009983241363597807	49
Lrrc45	0.36467312162953786	0.009989238135726226	49
Armc10	0.3646165568518693	0.010001655792940536	49
Heyl	0.3645273693696341	0.010021262127921628	49
Wtip	0.36445304268911816	0.010037626861704793	49
Peg12	0.36437314788147895	0.010055243219360188	49
Klhl9	0.3643709155663646	0.010055735814627872	49
Vmn2r113	0.3643555617550185	0.010059124436714624	49
Btnl6	0.3643555617550185	0.010059124436714624	49
Tgfbr1	0.36433373296352617	0.010063943795704298	49
Map4k5	0.36427716818585754	0.010076441420493704	49
F13a1	0.36400667190132296	0.010136390860936501	49
Cfap99	0.36394440716019444	0.010150233863585023	49
Gjb5	0.36383601710905794	0.010174370520338372	49
Kctd14	0.36378483663882283	0.010185784729449768	49
Armc2	0.3637840423292215	0.010185961962331722	49
Rnf180	0.3637683721162795	0.010189458972057372	49
Setd6	0.36376808518684006	0.010189523013694182	49
Smchd1	0.36376808518684006	0.010189523013694182	49
Camsap1	0.36376808518684006	0.010189523013694182	49
Rab3ip	0.36376808518684006	0.010189523013694182	49
Lsm6	0.36376808518684006	0.010189523013694182	49
Ptn	0.36374426761588674	0.010194840220246708	49
Tafa3	0.36373822563421654	0.010196189455815829	49
Ocm	0.3637303231204182	0.010197954399130895	49
Lcor	0.36348526129849706	0.010252817131158647	49
Mrgprb5	0.3634767494980116	0.010254727252162806	49
Osbpl3	0.36337213174315974	0.010278229415062774	49
Prkag2	0.3633155669654912	0.010290955883068208	49
En2	0.36328426880049486	0.010298003463532606	49
Tenm2	0.36319997475177795	0.010317005091775768	49
Tnik	0.3631750430912661	0.010322630987170395	49
4930447F04Rik	0.36312522459520896	0.010333880575825157	49
Tmem213	0.36312522459520896	0.010333880575825157	49
BC051019	0.36311022830971473	0.010337268975581291	49
Fitm1	0.3630909133835655	0.010341634578447273	49
Lpin3	0.36298543825020113	0.010365502316420215	49
Ercc6l	0.36286304874414227	0.010393256997619931	49
Gdnf	0.36283799697378566	0.010398945952990986	49
Pak2	0.3626367896334679	0.010444735022066162	49
Gpr119	0.3625865389575944	0.010456197692859026	49
Usp34	0.3625802248557992	0.010457638766705829	49
Muc20	0.3624753466770842	0.010481600233228644	49
Gm39566	0.3624221747896035	0.01049376642926285	49
Olfr792	0.36241826641068137	0.01049466118008327	49
Slc44a1	0.36241053052279343	0.010496432361645353	49
Tmem72	0.3623772945067712	0.010504044889777454	49
Ociad2	0.3623692008453649	0.010505899418029095	49
Adam21	0.3623551597175388	0.010509117378022249	49
Myh2	0.36235426058542425	0.010509323470933026	49
Fzd3	0.36231344286718126	0.010518683092853046	49
Prok2	0.36224641233820215	0.010534068952085553	49
Olfr1193	0.36224641233820215	0.010534068952085553	49
Olfr204	0.36224641233820215	0.010534068952085553	49
Olfr876	0.3622381213993392	0.010535973358795315	49
Cep55	0.3621277066344503	0.010561363598380157	49
Gm17535	0.3621217997277209	0.010562723393504303	49
Gm3173	0.36202885265386886	0.010584140050932458	49
Dnah11	0.361993125093673	0.010592382251474021	49
B3gnt5	0.3619738479625292	0.010596831699360989	49
Thsd4	0.36184488274610727	0.010626640173335079	49
Nrip3	0.3618345055432761	0.010629041848952154	49
Sfrp2	0.36173266775406154	0.010652635739045868	49
Dusp7	0.36173175319077006	0.01065284783003628	49
Rab19	0.3617267395135852	0.010654010586952133	49
Gm15217	0.3616953576345962	0.01066129105870529	49
Cdca2	0.3616751884131014	0.010665972497348476	49
Mug2	0.36152397708159245	0.01070112622703913	49
4921536K21Rik	0.3615147165119269	0.01070328236660652	49
Olfr1385	0.36136760008119534	0.010737585662036215	49
Rnf19a	0.3613357997470898	0.010745012996690742	49
Rskr	0.36128656450157415	0.010756521173092955	49
Msh6	0.3612226701917525	0.010771471542827768	49
Kcnk6	0.3611973995631911	0.01077738944452151	49
Slc22a22	0.361191837629794	0.010778692319177099	49
Gm49392	0.36114552764043956	0.01078954562604214	49
Zfp407	0.36110954063641537	0.010797986104719819	49
Ust	0.36102025671497384	0.010818951495911569	49
Wnt16	0.36084110913734946	0.010861124017476548	49
Itprip	0.3607701519704037	0.010877866842623011	49
Acer1	0.3606864374613409	0.01089764838113106	49
Ccdc177	0.36068075486254886	0.010898992285963255	49
Pla2g4f	0.3606633191889476	0.010903116620787879	49
Gm2832	0.3605708328717971	0.01092501631262053	49
Wwc2	0.3605438928597292	0.010931402504401153	49
Myo3a	0.36046598884366854	0.010949887893270872	49
Rtp1	0.36043517557526544	0.010957206807056441	49
Kcne1	0.3604035213845608	0.010964729839626514	49
Tmc7	0.3603961377039161	0.010966485306484806	49
Bmp10	0.36036539194172973	0.010973797696016802	49
Spats2l	0.36034202607097365	0.01097935769879393	49
Ryk	0.36009137463838037	0.01103915370040021	49
Apol7a	0.3600404382589029	0.011051339365307507	49
Lenep	0.36003147686372283	0.011053484422624353	49
Olfr1258	0.3600164057651396	0.011057092744928897	49
Slfn1	0.36000134972338266	0.011060698473166862	49
Ube2l3	0.35997824508304305	0.011066233702553474	49
Aldh1a3	0.3599591454425985	0.01107081124268581	49
Dop1a	0.3599216803053745	0.011079795100608213	49
Rdh16f2	0.3599037418346182	0.011084098828624862	49
Phgr1	0.3598274936853153	0.011102408023414384	49
Arhgap24	0.3598138552266443	0.01110568571645997	49
Abcb11	0.3597930626478338	0.011110684339728536	49
Cd8a	0.3597676008983692	0.011116808084643883	49
Tmem184c	0.3597519859723687	0.011120565028081035	49
Col4a4	0.35965210883458926	0.011144621236639458	49
Kcnk12	0.35963726346604324	0.011148200677079239	49
H1f3	0.3595822916393629	0.01116146381029057	49
Magohb	0.35950431929261645	0.011180299566799452	49
Coch	0.35930618809190323	0.011228284984501544	49
Mesp1	0.35926262010691323	0.011238860419351486	49
Arhgef12	0.3590732086403453	0.01128493656856841	49
Rnf122	0.35905408591135285	0.011289597360588972	49
Hmmr	0.35901664386267673	0.01129872791797629	49
Pou5f1	0.35899581041020456	0.011303811076132845	49
Gm5458	0.3589069257615763	0.011325520134025675	49
Clec4b1	0.3589069257615763	0.011325520134025675	49
Sirpb1a	0.3589069257615763	0.011325520134025675	49
Prdm6	0.35889627474798186	0.01132812392335333	49
Rc3h2	0.3588469495296709	0.011340188868672689	49
Usp54	0.35879038475200226	0.011354038193864739	49
Slc35f2	0.3587432973861397	0.011365578146244303	49
Trip11	0.3587338199743337	0.011367902043622086	49
Veph1	0.3587018695682747	0.011375739411776026	49
Cxcl3	0.3586911533010458	0.01137836912889955	49
Henmt1	0.35865948841035183	0.011386142581832496	49
Mastl	0.35856412564132784	0.011409580862938569	49
Asb9	0.35855540085877363	0.011411727309144424	49
Klk1b16	0.35855540085877363	0.011411727309144424	49
Olfr449	0.35855540085877363	0.011411727309144424	49
Olfr130	0.35855540085877363	0.011411727309144424	49
Znrf4	0.35855540085877363	0.011411727309144424	49
Olfr311	0.35855540085877363	0.011411727309144424	49
