gene	t
Rcn1	-0.5883848576615752
Zscan2	-0.5885699538448709
Rpl27a-ps2	-0.5887713170202132
Gm44751	-0.5889068213415183
Rpl12-ps1	-0.5891228172379471
Slc12a6	-0.5893044100377488
Rps14	-0.5895146845873165
Gm14026	-0.5895862121845266
Oxsm	-0.589627893617421
Wfdc1	-0.5898778082347886
Ankle2	-0.5907523402867116
Gm17399	-0.5911843645063276
Srsf11	-0.5918030041585497
Nat8l	-0.5919408360790526
Thbs2	-0.5919557623940107
Stac2	-0.5919557623940107
Wasf3	-0.5919557623940107
Asns	-0.5927817361015174
9130024F11Rik	-0.5928723354992386
Atp8b5	-0.5930579195979806
Gm13118	-0.5930579195979806
Gm39363	-0.5930579195979806
Gm14279	-0.5930579195979806
Gm26660	-0.5930579195979806
Kat14	-0.5931124562779486
Mphosph8	-0.5933758943095209
Syngr3	-0.5936482912300752
6430710M23Rik	-0.593708483383609
Gm43113	-0.5937421354501593
Hnrnph3	-0.5938699121235106
Rsl1d1	-0.5940697547092695
Gm43009	-0.594677779822679
1810055G02Rik	-0.5949749991824258
Jcad	-0.5952028655731046
Sfswap	-0.5954579885798679
Arrb1	-0.5957580651044732
Hip1	-0.5958032953054425
Scarf2	-0.5962487164089043
Slc37a4	-0.5974099528453108
Srp54a	-0.5976973978100306
Cox10	-0.5977112631710113
Hspb2	-0.5981491513259031
G6pc3	-0.5983183338171704
Lpin1	-0.5985528887562324
Gm23864	-0.5986200985604326
4930513N10Rik	-0.5989849675724053
Sdhd	-0.5991233882826743
Cdc6	-0.5994738586760766
Apoa1	-0.5998929974489738
Gm26583	-0.5999346374763528
Usp37	-0.5999970898421702
Gm7870	-0.6012199277260913
Bcl11b	-0.6016062413960785
Gm32282	-0.6016928215388175
Gm43533	-0.6017939293330751
6720427I07Rik	-0.6018443218597652
Cercam	-0.6018808910495075
Ap2m1-ps	-0.6019193005822416
1300002E11Rik	-0.6019600455292571
Smarcad1	-0.6022126761896649
Calr3	-0.6028125298813611
Aida	-0.6031273227878646
Zfp599	-0.6033225950034997
5930403N24Rik	-0.6033364810181632
Slc6a9	-0.603968109561525
Platr14	-0.6042203286715692
Gm42636	-0.6046076419203014
Bmi1	-0.604751234096777
Tmem184b	-0.6048048882498598
Rell1	-0.6053735754344304
Itga5	-0.6054798249588335
Eif4e	-0.6062398834284815
Aqr	-0.6063780131116552
Ppih	-0.6064873674562418
Map1a	-0.6067096270479342
Capza1	-0.6070560662615705
Cbx3-ps8	-0.6078222868264029
Onecut3	-0.6079186911728226
Mef2b	-0.6079790126586266
Zfp341	-0.6085098477165607
Fzd3	-0.6087445738193993
Adk	-0.6088359605227472
Rusc1	-0.6092084788023285
Gm7730	-0.6103841770441043
Chchd6	-0.6109080784022962
Btbd11	-0.6109147620772045
1700065D16Rik	-0.6115650552355858
Pias2	-0.6115666788515284
Gm36640	-0.6116609592249685
Atraid	-0.611923906944684
Clca3a2	-0.6128165750778921
Gm20712	-0.6129558846690556
Zfp142	-0.6137158067955101
Ndc1	-0.6137844249020905
Gm6807	-0.6139135305198287
Bahd1	-0.6146070027215276
Zfhx2	-0.6147913590270874
Luc7l	-0.6153321292284132
Bbs2	-0.6156041640463671
Trp53rka	-0.615950611711532
Il6ra	-0.6160087792192632
Akr1b8	-0.6170056430870492
Srsf3-ps	-0.6172387696686138
Gm47139	-0.6173263359194752
Zfp113	-0.6174487361975265
Slc35a2	-0.6177216770403531
Ero1a	-0.6177228928182795
Dis3l	-0.6178141404456375
Gnb4	-0.6178366562882415
Ttc21b	-0.6178722144008646
Gm38366	-0.6181717944160736
Kif2b	-0.6181860808555781
Fgfr1op2	-0.618304273120939
Grb10	-0.6187609579619774
Clca3a1	-0.6188133162349085
Arl5b	-0.6188918839669287
Lipt2	-0.6193302162119705
Arpc5	-0.6195010733662077
Tgfbr3	-0.6198751688935521
Map7d3	-0.6198751688935521
Gm34294	-0.6198991833797818
0610009E02Rik	-0.6202197528000011
Gm18365	-0.6205634387850149
1600020E01Rik	-0.6205888121172122
Il18	-0.6220116550119281
Ccnk	-0.6220975714432305
Fbxl8	-0.6221981770658563
Gm44045	-0.622225317009549
Tk1	-0.6228250625252788
Mcts1	-0.6228325277214593
Fkbp1a	-0.6228771730512176
Gm5459	-0.6232043908131615
Sfmbt2	-0.6233668130559402
Mboat2	-0.6234314438919843
Kdm4d	-0.6242239654076187
Gm12098	-0.6242637750899102
Gm39326	-0.6243531035578004
Gm28535	-0.6251493276400942
Gm22884	-0.6254841681006525
Gm45890	-0.6254841681006525
Gm20684	-0.62586280502687
Secisbp2	-0.6262455641862724
Rad51c	-0.6265444857436243
Icmt	-0.6268295072763582
Trub2	-0.627811420928114
H2-T22	-0.6280847557507095
Adgrv1	-0.6284028032621176
Gm43668	-0.6284448146485291
Gm15575	-0.6284798452010392
Mocs1	-0.6290581529066976
Coa8	-0.6291366676953014
Atp8b2	-0.6296335717498664
Kif4	-0.6302776376037251
Otud7b	-0.6307575829451988
Gm6867	-0.6307687309570449
Kif20a	-0.630846639247455
Lage3	-0.6311164282535845
Gm42930	-0.6314508278757808
Frmd8os	-0.6319978481101711
Map2k3	-0.6320499231706699
Khdrbs3	-0.6322017025953994
Angptl4	-0.6322050038893181
Gm16074	-0.6325762293516689
Rps6-ps1	-0.6332374698192696
Gm16421	-0.6335644483471626
Gnl2	-0.6336980369369055
Fank1	-0.6339726288130285
Ndst2	-0.6343488832601676
Mmp10	-0.6346541652817097
Ddx28	-0.6347960292829161
Josd1-ps	-0.6348807015400681
Emc9	-0.6349455507386396
Rab19	-0.6350965425814428
Kcnk2	-0.6351097663339036
Gm17197	-0.6351948508484084
Gm44830	-0.6351948508484084
1700023H06Rik	-0.6351948508484084
Gm22997	-0.6351948508484084
Gm13370	-0.6351948508484084
Gm25538	-0.6351948508484084
Ccdc97	-0.6352438215149239
Zfp618	-0.6363953966502113
mt-Ts2	-0.6364857075316762
Atf3	-0.6366840783973103
Gzme	-0.6367304339834426
Dlg1	-0.6368273308026188
Ddx11	-0.6369144972959452
Dr1	-0.637191179653352
Ndufv3	-0.6379640796702725
Zfp780b	-0.6380651534480654
Gm37678	-0.6382002695767631
Gm43437	-0.6382699075417895
Nap1l4	-0.6383518489717005
Brk1	-0.6385085011055623
Rnf126	-0.6387459467436831
Smurf2	-0.6388867763644955
Gm43010	-0.6389227478821607
Coq10a	-0.6393356318596151
Gm26590	-0.6394063170449503
Golt1b	-0.6394530032347323
