Protein	Description	Exp. q-value: Combined	Protein FDR Confidence: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Razor Peptides	Abundances (Normalized): A1: Pg_1	Abundances (Normalized): A2: Pg_2	Abundances (Normalized): A3: Pg_3	Found in Sample: A1: Pg_1	Found in Sample: A2: Pg_2	Found in Sample: A3: Pg_3
EOS18183	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2159220:2160239:1 gene:C803_01844 transcript:EOS18183 gene_biotype:protein_coding transcript_biotype:protein_coding description:phenylalanyl-tRNA synthetase alpha chain	0	High	145.273	60	19	68	19	339	38.6	5.62	131.67	0	255788394	247314117.7	242416684.7	High	High	High
EOS15887	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1127051:1128937:1 gene:C803_04200 transcript:EOS15887 gene_biotype:protein_coding transcript_biotype:protein_coding description:levanase	0	High	145.226	32	18	68	18	628	70.5	5.91	141.79	0	311998948	276140955.9	277176835.6	High	High	High
EOS19609	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:378028:379827:-1 gene:C803_00288 transcript:EOS19609 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	145.131	41	18	54	18	599	67.8	7.4	112.31	0	84333902.81	105740740.4	78443934.2	High	High	High
EOS17195	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1320402:1322357:1 gene:C803_03097 transcript:EOS17195 gene_biotype:protein_coding transcript_biotype:protein_coding description:DNA gyrase, B subunit"	0	High	144.979	32	23	81	23	651	72.1	5.5	139.86	0	193211599.5	199633788	198629493.3	High	High	High
EOS16750	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1530931:1532148:1 gene:C803_03287 transcript:EOS16750 gene_biotype:protein_coding transcript_biotype:protein_coding description:riboflavin biosynthesis protein ribBA	0	High	144.137	46	17	53	17	405	45.1	6.19	95.31	0	85257773.86	75226842.13	75754608.92	High	High	High
EOS15650	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:830773:832494:-1 gene:C803_03962 transcript:EOS15650 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	143.62	29	21	84	21	573	65.5	5.2	160.49	0	248580641.8	251958156.9	260767733.2	High	High	High
EOS18947	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1353754:1355511:-1 gene:C803_01110 transcript:EOS18947 gene_biotype:protein_coding transcript_biotype:protein_coding description:V-type H+-transporting ATPase subunit A	0	High	142.379	38	20	53	20	585	65.9	5.11	97.39	0	81636403.71	75049925.31	76696508.04	High	High	High
EOS17096	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1178725:1180485:-1 gene:C803_02994 transcript:EOS17096 gene_biotype:protein_coding transcript_biotype:protein_coding description:C-terminal processing peptidase	0	High	140.647	34	29	99	29	586	65.9	5.36	88.45	0	394311575.7	369806489	375075823.4	High	High	High
EOS14521	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:230689:231984:1 gene:C803_04662 transcript:EOS14521 gene_biotype:protein_coding transcript_biotype:protein_coding description:GMP synthase (glutamine-hydrolyzing) domain-containing protein	0	High	140.397	48	20	62	20	431	47.8	5.24	103.52	0	193721088	186405189	186393377.4	High	High	High
EOS20153	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1032141:1034297:1 gene:C803_00835 transcript:EOS20153 gene_biotype:protein_coding transcript_biotype:protein_coding description:alpha-galactosidase	0	High	140.362	37	22	62	22	718	82.5	6.2	90.09	0	81464098.84	82107762.5	83518475.94	High	High	High
EOS15745	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:958202:959245:-1 gene:C803_04057 transcript:EOS15745 gene_biotype:protein_coding transcript_biotype:protein_coding description:2-dehydro-3-deoxygluconokinase	0	High	138.471	49	15	60	15	347	38	5.48	132.18	0	111300344.5	105340084	108807296.4	High	High	High
EOS13988	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:88338:89807:-1 gene:C803_04814 transcript:EOS13988 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	137.831	43	19	80	19	489	55.4	6.43	110.82	0	232405104.8	218025784.5	216965941.8	High	High	High
EOS15801	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1025700:1027064:-1 gene:C803_04114 transcript:EOS15801 gene_biotype:protein_coding transcript_biotype:protein_coding description:pyridoxal-phosphate dependent TrpB-like enzyme	0	High	136.751	50	16	68	16	454	50	6.13	102.13	0	229408588.1	221232799.4	226811964.2	High	High	High
EOS18728	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1558818:1559738:1 gene:C803_01297 transcript:EOS18728 gene_biotype:protein_coding transcript_biotype:protein_coding description:aspartate carbamoyltransferase	0	High	135.673	70	20	54	20	306	35.1	5.99	98.12	0	273198148.6	252511983.8	263674751.5	High	High	High
EOS19904	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:756091:758334:1 gene:C803_00585 transcript:EOS19904 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	135.625	29	19	55	19	747	85	5.6	101.37	0	102486449.3	109657446.4	98493246.58	High	High	High
EOS12675	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.8:78667:79716:1 gene:C803_05604 transcript:EOS12675 gene_biotype:protein_coding transcript_biotype:protein_coding description:S-adenosylmethionine:tRNA ribosyltransferase-isomerase	0	High	135.482	50	17	58	17	349	39.8	5.53	85.08	0	235733088.6	212700874.4	223211150.9	High	High	High
EOS17751	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:845019:846704:-1 gene:C803_02765 transcript:EOS17751 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	134.694	43	24	56	24	561	64.2	6.11	91.32	0	80137085.18	75508451.69	74256863.84	High	High	High
EOS17962	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:132070:134064:-1 gene:C803_02168 transcript:EOS17962 gene_biotype:protein_coding transcript_biotype:protein_coding description:glucosamine-6-phosphate deaminase	0	High	134.524	41	18	43	18	664	75.4	5.87	84.39	0	38024849.45	52382945.25	50937509.17	High	High	High
EOS15479	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:564914:566206:1 gene:C803_03789 transcript:EOS15479 gene_biotype:protein_coding transcript_biotype:protein_coding description:tyrosyl-tRNA synthetase	0	High	132.541	49	21	72	21	430	48.3	6.14	116.37	0	231922750.5	208632862.6	233149184.2	High	High	High
EOS16917	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1388960:1390225:-1 gene:C803_03141 transcript:EOS16917 gene_biotype:protein_coding transcript_biotype:protein_coding description:transcription termination factor NusA	0	High	130.979	51	19	50	19	421	47.8	4.63	102	0	69042000.41	73871521.53	71670216.91	High	High	High
EOS16363	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:252575:254185:1 gene:C803_03580 transcript:EOS16363 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	130.634	41	19	62	19	536	60.1	6.2	111.56	0	117646424.7	105914936.1	106333421.8	High	High	High
EOS15324	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:342691:344313:-1 gene:C803_03634 transcript:EOS15324 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	130.351	45	18	46	18	540	60.9	5.29	90.69	0	58643346.28	54144609.5	56070253.78	High	High	High
EOS14586	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:316154:317758:-1 gene:C803_04727 transcript:EOS14586 gene_biotype:protein_coding transcript_biotype:protein_coding description:CTP synthase	0	High	130.053	40	19	57	19	534	59.9	6.38	95.48	0	95697787.99	95301651.75	90592182.75	High	High	High
EOS13163	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:76304:77164:1 gene:C803_05100 transcript:EOS13163 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	129.618	69	16	117	15	286	31.4	5.24	222.91	1	363051338.2	441345888.8	454891909.7	High	High	High
EOS17892	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:55360:57087:-1 gene:C803_02098 transcript:EOS17892 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	129.351	43	21	63	21	575	63.4	5.34	105.24	0	156912956.1	153103750.2	156007626.1	High	High	High
EOS19903	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:753788:755962:1 gene:C803_00584 transcript:EOS19903 gene_biotype:protein_coding transcript_biotype:protein_coding description:hexosaminidase	0	High	128.639	32	16	50	15	724	81.3	5.64	114.58	0	49636907.48	49480839.94	48698891.88	High	High	High
EOS18231	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2217098:2218501:-1 gene:C803_01892 transcript:EOS18231 gene_biotype:protein_coding transcript_biotype:protein_coding description:amidophosphoribosyltransferase	0	High	128.52	45	19	61	19	467	51.7	6.96	101.19	0	147695653.2	146321068.6	149131907.1	High	High	High
EOS17219	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:982499:985939:1 gene:C803_02853 transcript:EOS17219 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	128.222	16	17	71	15	1146	126.7	6.28	112.37	2	563273645.9	585897343.9	570004124.1	High	High	High
EOS13152	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:64600:66000:-1 gene:C803_05089 transcript:EOS13152 gene_biotype:protein_coding transcript_biotype:protein_coding description:bleomycin hydrolase	0	High	128.219	47	19	82	19	466	53.2	6.73	142.52	0	561739826.1	538494844.3	532706552.1	High	High	High
EOS16093	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1401102:1401668:-1 gene:C803_04408 transcript:EOS16093 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	128.214	63	12	41	12	188	21.2	9.35	88.51	0	96200957.58	92905498.88	85221202.75	High	High	High
EOS12520	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.9:18895:21078:1 gene:C803_05651 transcript:EOS12520 gene_biotype:protein_coding transcript_biotype:protein_coding description:ATP-dependent DNA helicase RecQ	0	High	127.499	39	25	65	25	727	82.1	5.17	90.83	0	71950272.95	73309406.13	74158371.94	High	High	High
EOS12678	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.8:80671:81957:1 gene:C803_05607 transcript:EOS12678 gene_biotype:protein_coding transcript_biotype:protein_coding description:S-adenosylmethionine synthase	0	High	126.711	44	17	47	17	428	47.2	5.55	104.33	0	61025646.12	67148297.19	66276649.6	High	High	High
EOS15418	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:468732:471074:1 gene:C803_03728 transcript:EOS15418 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	125.732	42	21	47	21	780	87.5	5.25	79.6	0	51308265.67	47642782.88	65654956.12	High	High	High
EOS17672	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:742914:744425:-1 gene:C803_02684 transcript:EOS17672 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	125.527	46	19	46	19	503	57.7	5.15	89	0	91982550.08	90612858.19	89533791.99	High	High	High
EOS15569	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:717746:719689:1 gene:C803_03880 transcript:EOS15569 gene_biotype:protein_coding transcript_biotype:protein_coding description:succinate dehydrogenase or fumarate reductase, flavoprotein subunit"	0	High	124.961	34	22	59	22	647	72.2	7.34	98.04	0	107235530.6	120136812.1	125888679.7	High	High	High
EOS15842	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1076574:1077773:1 gene:C803_04155 transcript:EOS15842 gene_biotype:protein_coding transcript_biotype:protein_coding description:acetate kinase	0	High	122.94	45	15	65	15	399	43.5	6.15	110.85	0	269550687.8	274548252.5	278120324.1	High	High	High
EOS14587	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:317990:319528:1 gene:C803_04728 transcript:EOS14587 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	122.9	39	20	53	20	512	60.2	6.21	77.5	0	149305371.7	148678426.4	147928782.7	High	High	High
EOS15373	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:407915:410314:1 gene:C803_03683 transcript:EOS15373 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	122.453	35	27	62	27	799	88.7	5.99	94.56	0	59880768.41	56070464.44	55950894.23	High	High	High
EOS14552	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:275241:277451:-1 gene:C803_04693 transcript:EOS14552 gene_biotype:protein_coding transcript_biotype:protein_coding description:alpha-glucosidase	0	High	122.224	35	19	48	19	736	83.7	5.95	82.21	0	50727457.17	45580847.75	48875692.68	High	High	High
EOS16753	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1534659:1535504:-1 gene:C803_03290 transcript:EOS16753 gene_biotype:protein_coding transcript_biotype:protein_coding description:30S ribosomal protein S2	0	High	121.289	65	21	71	21	281	31.4	9.33	117.61	0	278938864.8	316445624	328670932.4	High	High	High
EOS13007	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.7:262506:263339:-1 gene:C803_05512 transcript:EOS13007 gene_biotype:protein_coding transcript_biotype:protein_coding description:chemotaxis protein MotB	0	High	120.755	56	15	68	15	277	31.1	7.78	130.79	0	472365204.8	444914135.8	450788242.8	High	High	High
EOS17541	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:602340:603125:-1 gene:C803_02553 transcript:EOS17541 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	120.5	54	13	48	13	261	29.5	9.33	96.18	0	249628570.7	244288219.4	236009883.8	High	High	High
EOS16114	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1423502:1425988:-1 gene:C803_04429 transcript:EOS16114 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	120.419	27	24	76	24	828	93.4	6.35	92.72	0	86865333.64	84318196.31	87595515.41	High	High	High
EOS16222	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:71715:73619:-1 gene:C803_03439 transcript:EOS16222 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	120.236	37	20	56	19	634	71.8	5.26	89.29	1	101736641.5	103551279.5	109451541.3	High	High	High
EOS16123	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1436986:1437858:-1 gene:C803_04438 transcript:EOS16123 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	119.748	53	17	59	17	290	32.3	5.68	109.46	0	249808404.7	240577339.3	245585056.6	High	High	High
EOS19383	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:75777:76844:-1 gene:C803_00062 transcript:EOS19383 gene_biotype:protein_coding transcript_biotype:protein_coding description:phospho-2-dehydro-3-deoxyheptonate aldolase	0	High	119.711	57	23	75	23	355	40.2	5.9	103.92	0	315372086.6	314963236	321218736.9	High	High	High
EOS13317	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:262566:263732:-1 gene:C803_05264 transcript:EOS13317 gene_biotype:protein_coding transcript_biotype:protein_coding description:phosphoribosylformylglycinamidine cyclo-ligase	0	High	119.633	45	12	36	12	388	42.5	5.26	90.47	0	70402621.33	70492986.13	69166669.04	High	High	High
EOS15713	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:917915:921388:-1 gene:C803_04025 transcript:EOS15713 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	119.386	22	20	50	20	1157	128	6.74	88.99	0	46029622.97	42542021.69	44407543.78	High	High	High
EOS14549	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:269333:270499:-1 gene:C803_04690 transcript:EOS14549 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	119.084	42	9	38	9	388	42.1	4.51	115.43	0	245509895.1	222037356.5	181998011.4	High	High	High
EOS13940	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:6274:8532:-1 gene:C803_04766 transcript:EOS13940 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	118.795	27	22	69	21	752	84.4	5.71	90.84	1	236341748.8	220357412.6	225429547	High	High	High
EOS18168	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2137908:2139809:-1 gene:C803_01829 transcript:EOS18168 gene_biotype:protein_coding transcript_biotype:protein_coding description:iron complex outermembrane recepter protein	0	High	118.657	32	16	60	16	633	70	8.38	115.9	0	311174074.9	275145655.1	289525054.1	High	High	High
EOS15638	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:815052:817784:1 gene:C803_03950 transcript:EOS15638 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	118.027	32	25	61	25	910	102.1	5.64	80.88	0	69598677.47	64263857.81	67584726.82	High	High	High
EOS19892	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:741847:742983:1 gene:C803_00573 transcript:EOS19892 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	117.775	38	14	50	14	378	42.6	8.51	91.98	0	219186744	243723317.9	232329602.4	High	High	High
EOS19350	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:30812:32005:-1 gene:C803_00029 transcript:EOS19350 gene_biotype:protein_coding transcript_biotype:protein_coding description:saccharopine dehydrogenase (NAD+, L-lysine forming)"	0	High	117.654	40	12	35	12	397	44.8	5.33	65.53	0	60630319.04	64228012.81	63018746.95	High	High	High
EOS18004	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:185144:186733:1 gene:C803_02210 transcript:EOS18004 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	116.914	40	15	45	15	529	60.4	6.48	99.74	0	75392880.15	72714772.19	73961303.2	High	High	High
EOS18658	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1962898:1964184:-1 gene:C803_01657 transcript:EOS18658 gene_biotype:protein_coding transcript_biotype:protein_coding description:O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	0	High	116.384	36	10	35	10	428	46.4	6.13	75.02	0	53674843.05	52985545.25	56295858.21	High	High	High
EOS18901	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1291239:1292192:-1 gene:C803_01064 transcript:EOS18901 gene_biotype:protein_coding transcript_biotype:protein_coding description:signal recognition particle-docking protein FtsY	0	High	115.993	45	13	36	13	317	34.6	6.1	98.61	0	122328682.8	115903642.3	116231440.9	High	High	High
EOS19602	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:369511:370323:1 gene:C803_00281 transcript:EOS19602 gene_biotype:protein_coding transcript_biotype:protein_coding description:outer membrane assembly lipoprotein YfiO	0	High	115.904	59	15	51	15	270	32.2	5.91	101.76	0	307458407.9	297871940.3	300024855.6	High	High	High
EOS17544	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:605818:607338:-1 gene:C803_02556 transcript:EOS17544 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	115.357	41	15	46	15	506	56.4	5.44	79.08	0	49730019.57	46836779	52766066.99	High	High	High
EOS17566	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:635729:637561:-1 gene:C803_02578 transcript:EOS17566 gene_biotype:protein_coding transcript_biotype:protein_coding description:dihydroxy-acid dehydratase	0	High	114.951	32	16	43	16	610	65.5	5.77	74.16	0	49137174.21	48408233.38	50517518.6	High	High	High
EOS18662	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1969093:1970238:-1 gene:C803_01661 transcript:EOS18662 gene_biotype:protein_coding transcript_biotype:protein_coding description:dTDP-glucose 4,6-dehydratase"	0	High	114.896	57	19	62	19	381	43.4	5.43	94.06	0	170902094.2	164911497.1	157767043	High	High	High
EOS17742	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:836024:838081:-1 gene:C803_02756 transcript:EOS17742 gene_biotype:protein_coding transcript_biotype:protein_coding description:dipeptidyl-peptidase III	0	High	114.507	30	17	45	17	685	77.5	5.3	67.11	0	53929084.27	52239978.5	54739037.24	High	High	High
EOS15502	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:602005:604836:1 gene:C803_03813 transcript:EOS15502 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	113.902	26	19	40	19	943	105.8	5.91	57.08	0	47687226.45	44480901.94	44880923.32	High	High	High
EOS18954	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1362155:1363795:1 gene:C803_01117 transcript:EOS18954 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	113.896	41	21	67	21	546	62	7.14	118.15	0	95747914.78	97424106.38	93140414.07	High	High	High
EOS18371	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2391056:2392522:-1 gene:C803_02033 transcript:EOS18371 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	113.539	34	14	42	14	488	55.2	4.74	69.37	0	102381473.2	93804493.31	95489882.41	High	High	High
EOS14143	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:281254:282042:1 gene:C803_04969 transcript:EOS14143 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	113.156	54	15	63	15	262	29.2	8.63	117.51	0	644554107.4	621217226.4	650404366.6	High	High	High
EOS18110	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:302239:304212:1 gene:C803_02317 transcript:EOS18110 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	113.145	33	19	45	19	657	75	5.36	84.11	0	51560673.5	43868028.13	48769353.57	High	High	High
EOS17465	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:529494:530489:1 gene:C803_02476 transcript:EOS17465 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	112.954	51	12	45	12	331	37	6.81	94.13	0	169439929.1	156617175.4	160728905.7	High	High	High
EOS18164	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2127558:2129576:-1 gene:C803_01825 transcript:EOS18164 gene_biotype:protein_coding transcript_biotype:protein_coding description:1,4-alpha-glucan branching enzyme"	0	High	112.953	39	28	67	28	672	78.2	6.4	77.57	0	70823846.89	74172974.31	74899411.59	High	High	High
EOS12838	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.7:34786:37356:-1 gene:C803_05343 transcript:EOS12838 gene_biotype:protein_coding transcript_biotype:protein_coding description:alpha-glucan phosphorylase	0	High	111.546	28	21	50	21	856	98.2	6.65	88.21	0	39618985.15	39018274.16	36549810.62	High	High	High
EOS18640	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1941327:1943387:-1 gene:C803_01639 transcript:EOS18640 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	111.408	28	18	55	18	686	74.7	6.32	88.83	0	61889002.4	60146970.13	62140275.04	High	High	High
EOS17976	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:155218:156474:-1 gene:C803_02182 transcript:EOS17976 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	111.319	39	14	51	14	418	46.7	5.29	103.74	0	215409631	184948958.6	203199659.2	High	High	High
EOS18012	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:194704:195423:1 gene:C803_02218 transcript:EOS18012 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	110.74	60	16	51	16	239	26.4	7.72	94.32	0	116070899.6	135310749.9	138973698.3	High	High	High
EOS12896	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.7:120847:121647:1 gene:C803_05401 transcript:EOS12896 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	110.022	42	10	33	10	266	28.8	8.59	79.18	0	266929186.7	278193065	296277149.7	High	High	High
EOS16881	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1332877:1334091:-1 gene:C803_03105 transcript:EOS16881 gene_biotype:protein_coding transcript_biotype:protein_coding description:SufS family cysteine desulfurase	0	High	109.689	46	17	48	17	404	45.1	5.64	64.99	0	62895085.64	64235852.75	62138838.12	High	High	High
EOS15698	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:895278:898427:1 gene:C803_04010 transcript:EOS15698 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	108.781	27	27	65	27	1049	119.3	6.77	88.02	0	62585238.36	64905824.81	64601703.29	High	High	High
EOS15336	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:360519:362183:1 gene:C803_03646 transcript:EOS15336 gene_biotype:protein_coding transcript_biotype:protein_coding description:sialidase-1	0	High	108.744	35	16	40	16	554	61.4	7.02	98.32	0	101632127.4	114437264.3	118581182.8	High	High	High
EOS14384	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:85771:87177:1 gene:C803_04522 transcript:EOS14384 gene_biotype:protein_coding transcript_biotype:protein_coding description:anthranilate synthase component I	0	High	108.511	39	14	35	14	468	52.4	5.91	75.58	0	49221876.61	49768340	49431102.56	High	High	High
EOS17068	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1125946:1127946:-1 gene:C803_02966 transcript:EOS17068 gene_biotype:protein_coding transcript_biotype:protein_coding description:fructose-1,6-bisphosphatase class 3"	0	High	107.901	33	20	61	20	666	76.4	6.34	80.86	0	69238505.96	76028018.94	74363236.54	High	High	High
EOS19777	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:580376:581329:1 gene:C803_00458 transcript:EOS19777 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	107.81	39	13	50	13	317	35.3	5.17	98.98	0	220195075.6	324311252.6	321060338	High	High	High
EOS13237	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:168261:169649:-1 gene:C803_05181 transcript:EOS13237 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	107.493	28	11	57	11	462	52.3	5.12	132.13	0	370849597.2	373012352.1	366209964.7	High	High	High
EOS17679	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:753266:755440:-1 gene:C803_02691 transcript:EOS17679 gene_biotype:protein_coding transcript_biotype:protein_coding description:dipeptidyl-peptidase 4	0	High	106.925	31	19	48	19	724	82.8	7.34	59.31	0	106235009.4	110558160.8	108771854.2	High	High	High
EOS15701	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:900111:902081:-1 gene:C803_04013 transcript:EOS15701 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	106.857	26	14	37	14	656	76.1	6.33	72.58	0	37609187.03	38762821	34909994.28	High	High	High
