set	gene	n_in_set
IFNg	CD69	200
IFNg	MYD88	200
IFNg	PSMA2	200
IFNg	PIM1	200
IFNg	NOD1	200
IFNg	CFH	200
IFNg	TAPBP	200
IFNg	SLC25A28	200
IFNg	PTPN1	200
IFNg	TNFAIP3	200
IFNg	SSPN	200
IFNg	NUP93	200
IFNg	MTHFD2	200
IFNg	CDKN1A	200
IFNg	IRF4	200
IFNg	NFKB1	200
IFNg	BATF2	200
IFNg	HLA-B	200
IFNg	LATS2	200
IFNg	IRF5	200
IFNg	SLAMF7	200
IFNg	ISOC1	200
IFNg	P2RY14	200
IFNg	STAT3	200
IFNg	NCOA3	200
IFNg	HLA-A	200
IFNg	IL6	200
IFNg	GZMA	200
IFNg	IFNAR2	200
IFNg	CD74	200
IFNg	RAPGEF6	200
IFNg	CASP4	200
IFNg	FAS	200
IFNg	OGFR	200
IFNg	ARL4A	200
IFNg	SRI	200
IFNg	LYSMD2	200
IFNg	CSF2RB	200
IFNg	ST3GAL5	200
IFNg	C1R	200
IFNg	CASP3	200
IFNg	CMKLR1	200
IFNg	NFKBIA	200
IFNg	METTL7B	200
IFNg	ST8SIA4	200
IFNg	XCL1	200
IFNg	IL2RB	200
IFNg	VAMP5	200
IFNg	IL18BP	200
IFNg	ZNFX1	200
IFNg	ARID5B	200
IFNg	APOL6	200
IFNg	STAT4	200
IFNa	MX1	96
IFNa	ISG15	96
IFNa	OAS1	96
IFNa	IFIT3	96
IFNa	IFI44	96
IFNa	IFI35	96
IFNa	IRF7	96
IFNa	RSAD2	96
IFNa	IFI44L	96
IFNa	IFITM1	96
IFNa	IFI27	96
IFNa	IRF9	96
IFNa	OASL	96
IFNa	EIF2AK2	96
IFNa	IFIT2	96
IFNa	CXCL10	96
IFNa	TAP1	96
IFNa	SP110	96
IFNa	DDX60	96
IFNa	UBE2L6	96
IFNa	USP18	96
IFNa	PSMB8	96
IFNa	IFIH1	96
IFNa	BST2	96
IFNa	LGALS3BP	96
IFNa	ADAR	96
IFNa	ISG20	96
IFNa	GBP2	96
IFNa	IRF1	96
IFNa	PLSCR1	96
