sample	CD274	CLDN4	CD8A	CD8B
TCGA-97-7547-01	5.8771	13.6659	6.9075	5.0423
TCGA-97-7552-01	6.8563	12.5684	10.9796	7.8817
TCGA-97-7553-01	7.3921	13.1758	9.4124	7.3806
TCGA-97-7554-01	8.9894	14.0828	7.9549	5.9196
TCGA-97-7937-01	4.127	14.0225	5.3063	3.1756
TCGA-97-7938-01	6.8404	13.319	8.1363	6.0889
TCGA-97-7941-01	4.7656	13.0764	7.7404	5.4061
TCGA-97-8171-01	3.193	13.4194	3.7696	2.2176
TCGA-97-8172-01	5.6653	13.4365	8.6733	6.6811
TCGA-97-8174-01	5.503	10.8368	7.7284	5.4039
TCGA-97-8175-01	7.5449	14.1758	6.1898	4.356
TCGA-97-8176-01	3.6203	13.2358	7.0227	4.8553
TCGA-97-8177-01	5.5864	14.0347	8.3033	6.1509
TCGA-97-8179-01	5.2279	13.6446	6.7354	4.9486
TCGA-97-8547-01	5.751	12.809	5.2965	3.1144
TCGA-97-8552-01	5.4287	13.4122	7.5037	4.9485
TCGA-97-A4LX-01	7.8848	12.1535	9.6727	7.088
TCGA-97-A4M0-01	6.1641	12.9874	9.2011	7.0436
TCGA-97-A4M1-01	5.292	11.7771	7.5355	5.9471
TCGA-97-A4M2-01	6.478	12.6453	9.1893	6.9799
TCGA-97-A4M3-01	4.3012	13.2097	6.3384	3.7703
TCGA-97-A4M5-01	6.0696	12.0125	7.1122	4.9417
TCGA-97-A4M6-01	5.9163	12.3803	7.842	6.3792
TCGA-97-A4M7-01	6.0039	13.0836	8.2559	6.0974
TCGA-99-7458-01	8.352	13.0088	9.575	7.327
TCGA-99-8025-01	5.1695	14.0076	6.3394	3.9382
TCGA-99-8028-01	8.2074	12.9398	10.6883	8.1841
TCGA-99-8032-01	5.1304	12.4488	7.2177	5.6293
TCGA-99-8033-01	7.3838	12.1027	9.3404	7.1219
TCGA-99-AA5R-01	7.0836	12.6327	9.6293	7.7068
TCGA-J2-8192-01	7.0156	13.3771	7.5743	5.4894
TCGA-J2-8194-01	5.3771	12.2557	6.1273	3.5732
TCGA-J2-A4AD-01	4.569	14.5143	6.6507	4.4401
TCGA-J2-A4AE-01	6.0186	12.8326	8.3411	6.0829
TCGA-J2-A4AG-01	5.6908	14.3633	8.3625	5.5764
TCGA-L4-A4E5-01	6.7295	14.1803	7.5159	4.9768
TCGA-L4-A4E6-01	6.2067	11.6867	7.7528	5.5425
TCGA-L9-A443-01	4.4815	13.0695	8.6529	5.8082
TCGA-L9-A444-01	8.3043	13.5689	10.9855	8.7147
TCGA-L9-A50W-01	3.8585	13.5969	6.0827	3.8953
TCGA-L9-A5IP-01	6.638	13.1341	7.95	5.7672
TCGA-L9-A743-01	7.1705	13.3234	9.2166	7.2754
TCGA-L9-A7SV-01	4.5856	13.6164	7.0799	4.6081
TCGA-L9-A8F4-01	5.8758	13.3988	9.4918	7.4303
TCGA-MN-A4N1-01	4.6255	13.8564	4.9695	2.8545
TCGA-MN-A4N4-01	4.9216	12.384	7.7501	5.6715
TCGA-MN-A4N5-01	7.8239	13.8016	9.329	6.9384
TCGA-MP-A4SV-01	7.111	13.4504	9.3126	7.0094
TCGA-MP-A4SW-01	5.7005	13.5644	7.4089	5.3278
TCGA-MP-A4SY-01	7.1815	12.9527	5.7028	3.3351
TCGA-MP-A4T4-01	9.1072	13.5897	10.1841	7.7062
TCGA-MP-A4T6-01	5.2325	14.0766	7.7512	5.4534
TCGA-MP-A4T7-01	5.0722	13.4278	7.2508	4.9945
TCGA-MP-A4T8-01	4.0839	13.2144	5.4119	2.6914
TCGA-MP-A4T9-01	6.9409	13.4617	7.7868	5.6775
TCGA-MP-A4TA-01	5.3572	13.3887	8.8286	6.824
TCGA-MP-A4TC-01	8.37	13.5378	8.0955	5.5808
TCGA-MP-A4TD-01	4.3022	12.926	7.1392	5.0884
TCGA-MP-A4TE-01	4.4399	13.4219	5.8537	3.4184
TCGA-MP-A4TF-01	7.8105	12.1428	7.449	5.467
TCGA-MP-A4TH-01	5.8164	12.2356	8.8597	6.956
TCGA-MP-A4TI-01	8.4408	12.4394	9.6733	7.3798
TCGA-MP-A4TJ-01	8.0674	12.2312	10.1335	8.0197
TCGA-MP-A4TK-01	5.4945	13.477	7.8782	6.2903
TCGA-MP-A5C7-01	3.6093	12.4509	4.6478	2.4763
TCGA-NJ-A4YF-01	3.1535	12.5822	6.3963	4.3099
TCGA-NJ-A4YG-01	5.6626	13.5031	7.1426	5.1787
TCGA-NJ-A4YI-01	7.19	13.6556	5.0831	3.3784
TCGA-NJ-A4YP-01	4.9998	12.4169	8.0175	6.1727
TCGA-NJ-A4YQ-01	6.3791	12.7894	10.1734	8.3299
TCGA-NJ-A55A-01	5.9383	13.0022	8.5977	6.2514
TCGA-NJ-A55O-01	6.8859	12.9395	6.8426	4.6393
TCGA-NJ-A55R-01	4.8396	12.5318	6.0417	3.3407
TCGA-NJ-A7XG-01	3.9256	13.4233	5.3025	2.8897
TCGA-O1-A52J-01	5.719	13.2514	6.6306	4.6394
TCGA-S2-AA1A-01	6.0698	12.4345	8.7748	6.585
