gene	A006	A015	A021	A027	A028	A033	A037	A062	A063	A066	A068	A072	A074	A100	A101	A102	A103	A104	A110	A111	A112	A117	A120	A124	A126	A131	A134	A138	A143	A144	A148	A150	A153	A156	A157	A158	A159	A162	A163	A165	A168	A169	A177	A182	A183	A185	A186	A187	A188	A190	A191	A192	A193	A194	A195	A196	A197	A198	A199	A200	A201	A202	A203	A204	A205	A206	A207	A208	A209	A210	A211	A212	A213	A214	A215	A216	A217	A218	A219	A220	A221	A222	A232	A233	A234	A239	A240	A241	A243	A247	A249	A250	A252	A255	A258	A259	A260	A261	A262	A263	A264	A265	A266	A267	A268	A269	A270	A271	A272	A273	A274	A275	A276	A277	A278	A279	A280	A281	A282	A283	A284	A285	A306	A307	A310	A315	A316	A320	A322	A323	A375	A377	A379	A380	A381	A425	A426	A428	A430	A432	A433	A434	A483	A486	A488	A490	A492	A493	A496	A499	A500	A503	A504	A508	A509	A510	A511	A512	A514	A517	A519	A521	A522	A524	A530	A532	A534	A537	A538
CLDN25	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	7.4837	-0.1805	-0.1805	-0.1805	-0.1805	5.3777	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	4.1926	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	6.5911	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	3.6116	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	2.1675	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805	-0.1805
CLDN3	-1.0434	0.7405	1.7759	0.3205	1.4541	-1.8919	0.9476	0.8248	-0.827	0.3483	0.5945	0.9756	1.6097	-0.1961	1.12	1.3285	1.3087	0.2459	0.6659	-0.5796	0.0042	0.7291	0.6418	-0.621	-0.4745	-4.4614	1.3519	-2.0312	0.2341	0.5379	1.4842	1.2829	0.5281	1.2389	0.9534	1.1862	0.509	1.5944	0.6978	0.7604	0.1867	0.4288	-0.6341	-0.7506	0.9043	-0.5473	1.3295	-1.5973	-0.111	-1.0973	-0.5387	0.1412	-0.7848	-1.5597	-2.033	-1.156	0.2199	0.4686	0.3787	1.0247	-0.2407	-0.161	-1.5212	-0.6591	-1.3279	-0.1548	0.8279	-1.2942	-3.123	0.3973	-1.5438	-0.4106	-0.3552	0.8158	-0.8959	1.0084	0.3501	-1.5444	-0.2135	1.2261	-2.2314	0.4261	0.9084	-0.4413	-1.233	-0.1411	-0.1957	0.2543	1.0886	1.2376	-0.1833	0.3204	-1.3684	0.1058	0.1567	-0.5355	1.4913	1.471	-0.1532	-1.7254	-1.9223	-0.0489	-0.6167	-1.0739	-1.3116	1.0506	-0.6245	-0.3914	0.7492	-0.0659	1.3261	0.7356	-0.6	-0.0173	0.2731	0.2285	0.4283	-0.081	-0.0563	-0.5104	-0.4919	-0.0988	0.5317	1.1279	0.8055	-0.0506	-1.209	-0.2003	-0.3016	1.8677	-0.1992	0.5525	-0.3374	0.3333	-0.0058	-1.0741	-0.4267	0.156	-0.1951	0.2976	1.1924	0.9892	0.7904	0.9366	1.0993	1.19	0.4289	1.2387	0.5471	0.5095	-0.9826	0.1618	-0.6703	0.1992	-0.6345	-0.5662	0.5554	-0.3602	-0.8702	-0.4989	0.8069	-0.3921	-0.4842	-1.2229	-1.959	-0.5834	-0.5971	0.6956	-0.6465
CLDN34	0.9039	-0.5078	-0.5078	2.1139	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	1.4793	-0.5078	-0.5078	-0.5078	-0.5078	2.9142	1.0283	-0.5078	4.6427	3.4053	-0.5078	-0.5078	-0.5078	-0.5078	1.119	-0.5078	1.0295	2.3444	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	1.336	-0.5078	-0.5078	-0.5078	-0.5078	1.6262	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	1.072	1.3071	-0.5078	-0.5078	2.0433	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	1.039	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	1.115	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	0.7049	-0.5078	-0.5078	-0.5078	1.3121	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	1.4145	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	3.5068	-0.5078	0.9242	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	0.8859	-0.5078	-0.5078	-0.5078	-0.5078	2.0998	-0.5078	1.2623	-0.5078	1.3437	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	1.4581	-0.5078	0.8004	-0.5078	1.5324	-0.5078	-0.5078	-0.5078	-0.5078	1.437	-0.5078	-0.5078	-0.5078	1.9905	-0.5078	-0.5078	-0.5078	2.4018	-0.5078	-0.5078	-0.5078	-0.5078	0.7682	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	0.4775	2.7721	-0.5078	-0.5078	1.3892	2.9075	-0.5078	-0.5078	-0.5078	-0.5078	-0.5078	0.6246	-0.5078	-0.5078	0.8758	0.9602	0.6251
CLDN4	-1.0501	0.9683	1.5506	-0.6538	0.5621	-1.4159	-0.1862	-0.1731	1.8218	0.819	0.9543	0.527	0.9463	0.6064	-0.4495	1.0988	0.2631	0.201	-0.7764	0.3341	0.0546	1.234	1.2714	0.0156	0.3862	-2.0827	1.9298	-1.6691	0.3844	1.4213	0.9389	-0.4416	0.342	0.7836	0.0212	0.5709	-0.567	0.2296	-0.5442	-0.0197	1.2527	0.0177	0.1571	-0.4446	0.3817	1.0371	0.9541	-0.4853	-0.6377	0.2043	0.7646	-0.0666	-0.8271	-1.2677	-1.3473	-1.1323	0.3577	0.5987	-0.2039	0.8491	-0.81	1.2134	-0.4687	0.1508	-1.2626	0.2143	0.2831	0.1182	-4.6615	0.8001	-1.1632	-0.2376	-0.1865	-1.3035	-1.6855	-0.1227	1.0426	-1.1285	0.9766	0.9248	-1.9446	0.7467	0.4453	-0.2346	-0.2581	-0.3572	-0.846	-0.3486	0.6288	-0.7613	-0.2796	0.5431	-1.9194	-0.0075	0.238	0.7087	1.7471	0.6054	-0.0208	0.03	-2.424	0.2514	-0.4338	-0.0617	-1.2428	1.5184	-0.6553	0.1224	1.7774	-0.4185	0.9597	1.3096	0.0792	2.8746	-0.0487	0.7768	0.838	-0.867	-0.4293	-0.5506	-1.0822	0.476	1.2363	1.195	0.6689	-0.2668	-0.1309	-0.1787	-0.2813	0.9229	-0.4761	0.0886	0.128	-0.1887	1.0378	0.7718	-0.0022	0.3838	0.1798	0.2075	0.6065	0.7399	-0.0137	-0.4049	0.5727	0.5774	0.9407	-0.1951	-1.7998	-1.5436	-3.6276	0.5172	0.8542	-1.3338	0.5876	1.101	-1.132	-0.0866	-0.0985	-1.0959	0.4444	-0.5658	-1.221	-1.1489	-0.5856	-1.8945	0.1685	-0.1626	-0.0441
CLDN5	1.2128	0.9589	0.727	0.8824	-0.7284	1.2349	0.1462	-0.4346	-2.4876	-1.0275	0.2259	-0.1115	0.3023	-0.9039	1.3272	-0.1278	-0.551	-0.084	0.2498	-0.4064	-0.5763	0.0415	-1.227	-0.1694	-0.771	-1.9991	0.04	0.8834	0.2446	-2.0298	0.7874	-0.2075	0.2261	0.0657	-0.1071	0.2628	1.278	0.6149	0.3311	0.9761	-0.1259	0.8353	-0.3953	-1.0069	-1.6974	-0.0241	-1.3686	0.0232	0.1384	-0.4508	-1.0661	-0.6599	-0.7742	0.868	-0.5336	-0.5723	-2.0227	0.162	0.7313	-0.9868	0.153	-1.3219	-0.8973	-1.5864	0.0882	-0.6709	-1.2128	0.9775	-0.3398	-1.1212	0.9754	1.9083	-1.1108	3.4648	1.8497	-0.9199	-0.6459	0.348	-1.9391	-0.5324	1.7679	-0.7078	-1.4745	-0.5209	-0.2682	0.3268	0.2509	0.943	0.761	0.8753	-1.5278	0.3713	1.4144	0.4874	0.8512	-1.3816	-1.0176	-0.2409	-1.6356	-1.1026	1.2577	-0.2792	-0.0133	-0.6708	1.4104	-0.9021	1.2781	-0.4382	-1.2035	-1.4085	0.1667	0.2632	-0.7828	-1.334	-0.8088	-0.1966	-0.5219	-0.0758	-1.2409	1.2253	0.1758	-0.9141	0.6764	0.0899	0.0721	0.7363	-0.0929	1.0556	-0.7192	1.3834	0.0431	0.2148	-0.345	1.3646	-0.9512	0.3895	-0.9444	-0.2193	-1.6792	1.2509	-0.0717	1.492	1.8373	2.057	-0.1534	0.9305	-0.3864	1.8796	1.8601	0.8408	0.8547	-0.3343	-0.6632	2.7966	-0.3214	0.2736	0.3268	-1.2549	0.2551	0.2546	0.4623	-0.2193	1.3225	0.3337	0.7604	1.1167	0.174	0.2315	0.2518
CLDN6	-1.0464	-1.0464	3.3899	1.0046	1.273	-1.0464	2.6518	-0.2857	-0.5879	-0.4359	0.2005	0.2443	-0.1311	-1.0464	0.7436	0.6907	2.2286	0.1144	-0.2377	0.2123	-1.0464	-1.0464	0.5208	0.9272	-0.4738	-1.0464	1.3562	-1.0464	-1.0464	-1.0464	1.2135	-0.501	-1.0464	1.9252	0.0719	-1.0464	-0.4959	-0.467	0.5235	-0.1541	-1.0464	-1.0464	-1.0464	-0.3175	1.4397	-0.4524	-0.471	-0.3339	-1.0464	-0.3545	-0.4791	-0.2131	-0.2159	-1.0464	0.588	-0.6911	-1.0464	-1.0464	-0.7039	-0.2938	-0.6591	0.7254	-0.2552	-0.2315	-0.5297	-1.0464	-0.4172	-0.6911	-1.0464	-1.0464	-0.6832	-0.1034	-1.0464	0.5825	-0.0699	-0.2691	0.5575	-0.4315	-0.2605	-0.5466	-1.0464	0.6518	-1.0464	-0.2951	0.5215	0.9681	0.2213	2.0118	3.3732	1.9343	0.8077	-0.1564	-0.7145	0.4556	0.7518	-0.2914	-1.0464	1.5124	-1.0464	-0.7329	-0.6114	1.2579	-1.0464	-0.1372	-1.0464	1.6099	-0.7225	1.7795	-1.0464	1.5247	1.3745	0.0654	-0.0129	-1.0464	-0.0422	0.117	0.7474	-1.0464	-1.0464	-0.2805	0.3046	-0.7435	0.0278	1.087	1.8409	-0.2079	1.9684	-0.3186	-0.3126	-1.0464	-1.0464	1.0977	-0.6469	-1.0464	-0.2643	0.9629	0.2072	-0.3093	-1.0464	-0.5535	-0.6238	0.663	-0.6214	0.862	2.6748	2.8257	-1.0464	0.0255	1.329	-0.5554	-1.0464	0.3685	1.6011	0.4354	0.8541	0.4608	-1.0464	1.219	0.0121	0.3358	1.2567	0.1737	-0.2572	-0.3893	-0.3633	-0.5909	-1.0464	-0.3726	0.0105
CLDN7	-0.9789	0.351	-0.0548	0.5984	1.509	-1.2182	0.9518	-0.6279	1.4124	0.4922	0.8966	0.9956	-0.8824	1.8903	0.0286	0.5596	1.3047	0.4575	-0.3961	-0.9951	0.6013	1.1011	-0.7977	-0.1035	0.6144	-0.1395	1.1178	-1.6445	0.5146	0.0482	1.183	0.547	-0.2862	0.1184	-0.3275	2.473	0.383	0.7179	0.6128	0.1398	-0.4403	0.3721	-0.0378	-1.2523	1.044	-0.1278	-0.0474	0.217	0.3835	1.9134	0.1384	0.1802	-0.5997	-1.4527	-2.4824	-0.081	0.0662	2.0095	0.2249	1.015	-0.6739	0.9611	-0.7023	0.9077	-1.0331	-1.5696	0.6759	0.7266	-5.0838	-0.0594	-0.4927	-0.556	-0.0654	-0.1587	-0.9525	1.3972	0.5496	-0.7693	0.1407	0.4604	-1.108	-0.9486	2.0309	-1.3069	-0.8565	-0.9529	0.0596	0.037	0.4966	-1.0472	-0.8244	0.5878	-1.263	0.1641	-0.5675	-0.1888	1.594	0.6477	0.4663	0.4158	-1.6662	-1.0051	-0.5709	-0.8978	-1.4262	0.576	-0.9866	-0.4073	0.834	0.9733	-0.3231	-0.1956	-0.6892	0.1039	0.0207	0.6643	0.3748	-1.3275	-0.7687	-0.2833	-0.5936	0.3023	0.4341	0.5946	0.5469	-1.7726	0.3028	0.9598	0.2239	-0.5647	-0.6684	0.979	-0.0362	-0.4875	0.738	0.3412	0.8556	-0.0474	0.1417	-0.6314	0.503	0.6091	1.6791	1.571	0.9385	1.8136	0.0481	-0.2406	-1.8593	-0.5971	-2.9868	1.222	-0.8627	-0.284	0.0004	0.742	-0.1112	1.3772	-0.5046	-0.7306	0.4837	-0.0023	-0.7479	-2.0167	-0.6229	-0.2264	0.5608	1.174	-0.8964
CLDN8	1.1789	0.2311	0.8055	0.6518	0.786	0.0991	0.8128	2.0481	0.8044	0.5994	1.2492	1.839	-0.3279	0.312	0.1191	0.4615	0.6814	-1.9129	-1.9129	0.9365	-0.7243	-0.1723	0.0897	1.9046	0.2023	0.6116	1.7959	-1.5054	2.1566	-1.9129	0.4201	1.2833	0.1419	-0.2402	1.0341	0.7218	0.6731	0.4344	-1.2405	-0.8551	1.9243	0.3	-0.1961	-0.8432	1.8431	0.3784	-0.3078	1.9346	0.2453	-1.9129	1.5669	0.093	-0.394	0.2233	-1.3116	0.9979	1.0021	-0.6018	0.9195	1.4113	-0.3446	0.0772	-1.9129	-0.3787	-1.2268	-1.4369	-0.2174	0.7759	-1.9129	-0.7148	0.1754	-1.3279	-1.3327	-0.0065	0.2294	-0.7856	-0.0683	-0.3441	-1.9129	-1.1279	-1.2631	-0.1597	-0.1936	-0.5056	0.4759	-0.6718	1.7182	-0.2461	1.2277	-1.9129	-1.9129	-1.1227	0.5083	-0.6885	0.559	-0.177	-0.8573	-0.9007	-0.3276	0.4357	-1.4638	-1.0561	-1.3038	0.1052	0.9095	0.8427	0.0744	-0.3812	-0.6741	-1.9129	0.8389	-0.4909	0.3097	1.0256	0.148	0.7974	0.6996	-0.1011	0.8648	-0.9385	-1.5807	0.4817	1.0132	0.7283	2.3604	1.3865	-0.0657	0.7768	1.0809	0.5108	-0.4774	0.3945	-0.0723	1.1147	-0.8696	0.7796	0.1592	0.9874	0.5092	0.1921	0.0653	-0.3062	-0.3575	-0.1261	-0.5046	-0.0094	-1.4611	-1.0002	-1.12	-0.05	-1.4576	0.4946	-0.1544	-1.1715	0.2967	0.534	-1.4841	-0.3227	0.3651	0.8891	0.5271	-1.4025	1.1466	-1.2345	-0.5941	-1.9129	-0.0883	0.7092	0.2814
CLDN9	-0.3569	0.686	1.5577	-0.2489	0.7928	-0.9871	1.3854	-1.0742	1.4378	0.0617	1.3648	0.637	2.0675	-1.0198	1.6399	0.3769	1.2968	-0.3027	-1.077	-0.0036	0.0232	-1.1536	0.7325	0.4683	-0.6336	-0.1883	1.3718	-2.0573	0.1236	-1.0663	0.2891	1.1527	0.1539	0.5453	0.3799	-0.1519	0.1435	0.4191	1.7714	-0.7565	-2.5852	-0.2862	-0.6723	-1.6103	1.3445	0.5203	1.731	1.4783	-1.0029	-1.1595	1.0418	-0.0282	-1.4744	-0.2211	-1.2969	-0.6359	-0.25	-2.2265	0.6791	1.9675	-0.4162	1.6744	0.5062	-0.7965	-1.6963	0.8115	1.8137	-0.867	-1.9522	0.6947	-0.8467	-0.9468	-0.7607	0.35	0.1291	0.3396	-0.3418	-0.5528	-1.035	0.0182	-1.525	2.053	-1.1522	0.3669	-1.2277	-0.2121	-1.1564	0.1489	0.946	0.5972	-0.3727	0.0656	-0.5236	0.2519	1.001	1.6861	-1.0002	1.0459	-1.4404	-1.0476	-1.1388	0.2029	-0.5064	-1.3692	-0.7273	0.4609	-0.472	0.5664	0.6533	1.1027	1.621	-0.0201	-0.1974	-0.4817	-0.1106	0.4058	0.9866	-0.6007	0.0996	0.2962	0.7532	-1.1529	-1.2891	1.4387	0.3412	0.0992	-0.2311	-0.6863	-1.6037	1.7236	-0.5428	-0.0431	0.5822	0.8937	-0.3654	-0.4103	-0.6489	-0.0754	-1.3385	-0.7934	-0.7753	-0.6041	-0.5702	2.1966	1.7071	0.9687	0.5519	0.9573	0.8136	0.2667	-1.2674	0.111	1.5828	-0.6767	1.077	-0.6429	0.0393	0.1571	0.4107	0.8208	-0.2803	0.0863	-0.2639	-0.6764	-1.0878	-1.6437	-1.7241	0.501	0.7992
CLMP	0.7569	-1.0085	-1.5543	0.11	-1.2804	-2.3535	-1.5893	-1.2312	-2.0729	-0.1353	-0.3758	-0.1723	-1.7146	-0.59	-0.9455	-0.0453	-0.6314	-0.5467	0.0134	-1.8325	-0.9878	-1.2687	-0.7284	-0.1652	-0.6853	-0.3773	-1.5475	0.9719	-0.7261	-1.6584	-0.8453	-0.3274	-1.8028	-0.5441	0.8082	-3.2525	0.2933	-0.6674	0.2475	0.4019	0.6669	0.4514	0.315	0.682	1.0021	-0.3898	0.8238	0.2915	0.7453	-0.2575	-0.9864	-1.139	1.6521	1.5792	2.8886	0.8369	0.5344	-1.0795	0.3256	-0.4879	1.2436	-0.4259	-0.0421	-2.269	0.6561	0.35	-0.064	0.3265	0.9578	1.1236	0.7871	1.0582	0.6524	-0.8466	0.5362	0.9056	1.0053	1.7227	1.6948	0.836	1.0926	1.1572	-2.7843	1.3109	1.6538	0.261	0.8944	0.2391	0.434	0.8974	0.7586	0.8579	0.5501	0.5425	0.5938	-0.1636	-0.3347	-1.0772	-2.7518	-0.0077	1.2791	0.8672	0.2204	0.5913	0.34	0.0547	0.3955	0.9232	-1.9976	0.2759	0.4783	0.5222	1.2463	-0.653	1.2685	-0.0296	0.9132	0.7194	0.5633	0.9086	-0.024	1.2239	0.1218	-0.9987	-1.0253	0.8951	0.0573	-0.347	0.0566	-2.0953	-0.8763	-0.061	-0.9895	-0.1288	-0.2543	0.6404	0.6427	-0.234	-0.1703	-0.3157	-0.0121	-0.5976	-1.2519	-0.4362	-0.5574	-1.0404	0.8626	-0.6362	-0.1845	0.1241	0.0027	-0.6738	0.4573	-0.9378	0.213	-0.1092	0.6264	1.6736	0.6819	0.8079	0.2614	1.1794	0.7238	0.8835	0.2126	0.8319	-1.1728	-0.6495	0.9863
CRB3	-0.4416	2.4116	-0.1865	-0.243	-0.0221	0.5634	1.516	1.7176	-0.9157	0.7673	0.9546	0.1602	1.5491	1.6007	0.0738	0.1243	0.0535	0.387	-1.0739	1.0384	0.8845	2.1751	0.9885	-0.8615	0.7917	-0.8672	1.4588	-0.548	0.6153	1.9522	0.9145	-0.1776	1.1483	0.1057	-0.9081	1.9761	0.3688	0.1249	1.0956	0.7843	0.1578	1.7207	1.0436	0.3058	-1.7486	0.3563	0.7827	-1.2682	-0.3792	-0.4351	0.4704	0.2488	-1.5792	-1.3756	-2.3721	-1.314	-1.0318	0.708	-0.9229	-0.7644	-0.2714	0.4579	-0.1193	0.4715	-1.0935	-0.0585	-0.2413	-0.4667	-4.0192	0.0036	-0.5582	0.8107	0.5265	-0.7072	-0.6008	-0.3022	-0.03	-1.2362	-0.0894	0.1925	-0.5082	0.4678	1.1212	-0.5558	-1.0012	-0.5074	-0.7262	-0.2462	0.58	-0.218	-0.3865	-0.574	-0.5199	-0.4403	-0.2696	0.8906	1.2037	-1.207	1.2214	-0.5181	-1.9513	-0.4676	0.5266	-0.3824	-1.481	0.6797	-0.6703	-0.7706	1.6715	0.666	0.2538	0.1082	-1.0363	0.464	0.1699	0.7426	0.6981	-1.6184	-0.0948	-0.0366	0.3167	0.4791	0.269	0.6702	0.6933	-0.7775	0.4631	0.7417	1.0025	0.616	0.2443	0.9518	0.3627	-0.8332	1.7094	-0.0313	0.1932	0.0775	-0.1174	0.592	-0.8304	0.9665	1.4271	1.2195	-0.6478	1.6203	-0.9085	-0.4377	-2.9128	-0.2074	-2.8576	0.7412	-1.1289	0.2995	-1.1831	0.002	0.1157	0.5718	-1.0688	-1.2383	0.3946	-0.7537	-1.0105	-1.8949	0.1462	-1.1195	0.9708	0.1369	-0.6413
CXADR	-0.4123	1.5626	1.1732	-0.5832	1.145	0.6175	1.1855	0.6845	1.7252	0.9218	-1.349	-0.1421	0.8395	2.1701	-0.0502	-0.6368	1.7742	0.8547	2.1469	1.9401	1.9301	0.4084	1.0245	0.5164	0.7077	2.1973	1.0751	-0.1532	-1.6117	0.3636	-0.088	0.1406	1.1166	0.621	0.2504	-0.282	-0.9216	0.3951	1.1082	-0.8022	2.0425	-0.5199	0.4345	-0.494	-0.1993	0.1814	-0.5937	-0.4065	-0.4466	0.333	0.3839	-0.5299	1.7036	-0.5889	-2.3322	-0.1884	0.4777	0.4775	-0.9194	0.9287	-0.3872	1.2228	-1.0349	0.9343	-0.4434	0.5056	1.4916	-0.1064	-4.8416	-0.3875	-0.6119	-0.6523	0.4638	-0.5601	-1.037	-0.7326	0.351	-1.798	0.7039	-0.0555	-0.1125	-0.1618	0.6211	-0.8879	-0.6024	-0.3794	-1.0759	-0.8723	-0.0715	-1.2832	-0.697	-0.0718	-0.2733	0.0144	0.3858	-0.344	0.7437	0.2251	0.3782	0.5164	-1.834	-1.0522	-1.1199	0.0165	-0.7391	1.0787	-0.7671	-1.6433	-0.7421	0.1344	-0.6157	-0.0124	-0.5761	0.7457	-1.0504	0.2251	-0.0271	-0.9279	0.5352	-0.9316	0.7653	-0.5586	-0.4665	0.3179	1.212	-0.6493	-0.5838	0.3655	0.2796	0.0845	1.2961	0.5649	0.2459	0.321	0.6647	0.4612	0.2188	1.1978	1.6025	1.0515	-0.3797	0.9183	0.0114	-0.189	-0.458	-0.5365	-0.6162	-1.3562	-0.1964	-1.7642	-2.8441	-1.1164	-0.9163	-1.3651	0.2723	-0.1718	-0.7478	0.6886	-0.262	-0.3065	0.0888	-1.1112	-0.295	-0.6146	1.4059	-1.3361	1.4951	1.12	-0.8894
CYTH1	1.18	-0.9062	-0.222	0.9979	-0.674	-0.4167	-0.3689	-2.5206	-0.3385	-1.0763	-0.6753	0.9236	-0.5265	-1.6321	0.9974	0.5776	-0.6662	0.0592	0.5639	-1.7751	-0.7343	0.9598	0.4322	-0.4152	-0.8705	-2.9976	-2.4869	0.7913	-1.0167	-1.1796	0.2436	0.6496	0.9752	-0.4878	0.5363	-0.2781	-0.3396	-0.9704	-1.054	0.9987	-1.8571	-0.8023	0.4432	-0.1069	-1.3257	-0.0876	0.364	-0.939	-0.471	-1.6167	-1.4772	-0.607	-0.6979	0.3064	-0.674	-0.1399	-0.3267	-0.0767	0.0606	0.4468	0.0959	-0.6044	1.347	-1.2869	0.6951	0.1249	-0.5836	-0.161	3.4866	0.6443	1.6104	2.6344	1.5651	2.0421	1.4228	-1.3556	0.6221	0.1804	-0.4437	-0.8322	1.3183	1.1194	0.2213	0.0671	0.1875	1.1936	1.6773	1.3683	-1.034	0.968	0.1216	0.1871	1.3935	1.6567	0.5545	-0.4294	-0.1353	0.5358	-0.3487	-0.181	1.1176	0.6448	-0.0733	0.715	0.6838	0.1198	0.6274	0.7479	-1.2623	0.561	-0.5797	1.186	0.4534	-1.8317	0.2202	0.542	-0.0505	0.8053	-0.6332	1.8679	0.6593	0.1207	-0.791	-0.3299	-1.7232	-0.0379	-0.2414	0.0096	-1.3687	1.0184	-0.4563	-0.3486	0.4327	0.2857	-0.2542	0.32	-0.3236	0.9676	-1.1432	-1.0502	0.736	-0.1407	0.9986	-1.1238	-1.305	-1.3309	0.128	-0.2002	-0.3689	0.2113	3.016	0.8769	0.1159	0.6842	-0.618	-0.571	-0.2612	-1.121	0.092	-0.3039	-1.0994	-0.021	0.6376	0.2912	1.3844	0.0685	-1.4898	0.7893	0.0002
CYTH3	0.3023	-0.2209	0.127	0.0739	2.2279	-0.8259	-0.6382	1.4856	-1.4195	0.0243	-1.5058	-0.4946	1.2626	-1.1139	2.7928	1.022	0.7158	-0.7279	-0.5224	0.7868	1.1164	-0.6179	0.2752	-1.54	0.1163	-0.5674	0.1305	0.7279	-2.0971	1.6279	-0.0451	-1.5705	-0.0732	1.6635	-0.0834	-2.6087	0.4223	1.0091	1.227	0.0466	1.236	0.8807	0.0471	-0.7569	-0.3768	1.5793	-1.3131	0.5942	0.7698	-1.5819	0.2863	-0.7599	-1.0856	0.6767	-0.2579	-1.998	-0.1871	-1.9439	0.6098	0.4385	-0.4948	-0.7025	-1.097	-0.7996	0.1092	-0.285	0.5259	-0.2055	-0.6305	-1.1755	0.3535	0.5893	-0.7192	0.22	0.9414	-0.1306	0.6054	-1.1488	1.2564	1.8602	1.195	1.4748	-2.1522	0.4704	0.8878	0.4476	-1.4666	-1.279	1.1089	-1.424	1.249	0.0615	0.6967	-0.5404	0.616	1.3485	-1.5714	-0.9441	-2.424	1.604	-0.7042	0.6038	-1.8667	0.6265	0.0917	0.4627	0.8277	0.6679	0.9946	-0.1332	0.7915	0.4345	1.5677	0.2424	0.415	0.9233	-0.1628	0.1844	1.2001	0.0512	0.8232	-0.6997	0.8286	0.0905	1.3648	0.3313	0.002	-1.2836	0.3892	1.0191	0.4166	-0.5522	0.2811	0.1856	-0.851	0.1681	-0.6393	0.5681	0.1448	0.4677	-0.0772	0.5095	-0.0998	-0.827	-0.0201	-0.6777	0.2318	-1.6697	0.1547	-0.9848	-2.31	-1.2218	-0.3846	-1.8786	1.7954	0.512	-0.0597	-0.1922	0.301	-0.869	0.879	0.1566	-0.2314	0.5211	-0.8679	-1.272	1.1269	-0.9964	0.3794
