	11LU013	11LU016	11LU022	11LU035	C3L-00001	C3L-00009	C3L-00080	C3L-00083	C3L-00093	C3L-00094	C3L-00095	C3L-00140	C3L-00144	C3L-00263	C3L-00279	C3L-00368	C3L-00412	C3L-00422	C3L-00510	C3L-00604	C3L-00893	C3L-00913	C3L-00973	C3L-01330	C3L-01632	C3L-01682	C3L-01683	C3L-01862	C3L-01889	C3L-01890	C3L-01924	C3L-02219	C3L-02345	C3L-02348	C3L-02350	C3L-02365	C3L-02508	C3L-02549	C3N-00167	C3N-00169	C3N-00175	C3N-00180	C3N-00199	C3N-00203	C3N-00217	C3N-00223	C3N-00293	C3N-00294	C3N-00433	C3N-00546	C3N-00547	C3N-00549	C3N-00550	C3N-00551	C3N-00552	C3N-00556	C3N-00559	C3N-00560	C3N-00572	C3N-00574	C3N-00578	C3N-00579	C3N-00580	C3N-00704	C3N-00737	C3N-00738	C3N-00959	C3N-01016	C3N-01021	C3N-01023	C3N-01024	C3N-01030	C3N-01071	C3N-01072	C3N-01074	C3N-01405	C3N-01410	C3N-01413	C3N-01414	C3N-01415	C3N-01416	C3N-01488	C3N-01489	C3N-01799	C3N-01823	C3N-01842	C3N-02000	C3N-02002	C3N-02003	C3N-02067	C3N-02087	C3N-02089	C3N-02145	C3N-02149	C3N-02155	C3N-02158	C3N-02379	C3N-02380	C3N-02421	C3N-02422	C3N-02423	C3N-02424	C3N-02433	C3N-02529	C3N-02572	C3N-02582	C3N-02586	C3N-02587	C3N-02588	C3N-02729
TACSTD2	12.1415	12.0216	10.8317	13.0916	11.5018	12.7115	11.9518	10.8818	13.349	10.2017	12.0916	11.7116	12.7117	13.4615	12.4366	12.4715	11.7416	12.3941	13.1117	12.2916	13.0316	12.6716	13.4216	12.3017	12.2514	13.0217	10.8517	13.6315	12.1916	11.3519	12.5416	12.6916	11.5617	11.2216	11.9316	13.8115	12.3215	13.2815	12.8314	12.2614	12.2418	9.8918	12.7716	12.6215	11.4716	12.6816	12.6665	12.7517	10.4117	11.6716	11.5618	7.393	13.0116	11.7716	12.4116	12.3415	12.1016	12.0115	11.5316	12.6315	13.1215	12.4415	11.5516	13.1416	9.6116	10.0417	12.9916	12.0819	12.4115	9.9818	12.9616	13.6915	14.0214	12.1816	11.6716	12.2116	11.1117	11.3117	11.9317	12.3615	12.4915	12.3316	11.7917	12.1817	10.6917	12.0617	12.8116	11.9116	11.2117	12.6415	13.0315	10.8442	12.7715	11.7616	10.8117	11.5416	12.0515	12.2216	12.2917	14.0318	12.5616	11.8217	12.1316	10.9717	13.0816	12.6915	11.9716	11.9016	12.1115	12.5115
AMOT	10.9816	9.0921	7.9829	8.1922	12.2018	8.3624	9.6416	8.6505	10.2693	6.8634	10.6917	9.9618	11.0717	8.9521	10.7267	10.3317	8.7822	10.0443	10.0617	10.5917	10.2317	8.3222	9.8118	11.6917	9.2922	10.7617	8.2621	8.6822	10.1417	8.7804	12.1416	10.5017	7.7118	9.0721	8.7923	12.1716	9.712	9.362	11.4216	10.2118	10.9918	8.332	11.9716	6.1063	9.5019	10.7617	9.8469	9.5417	8.7921	10.3217	8.6515	10.5817	8.1925	10.3717	10.3317	7.9231	10.8117	8.3927	10.0618	10.8517	10.9916	11.3016	9.422	10.4717	7.8012	8.8418	9.5519	10.3517	9.8019	6.5842	10.7217	10.1418	9.812	11.2816	8.5125	8.8021	9.6819	11.5617	7.9619	11.3416	11.4116	9.5319	9.3718	11.2217	8.5623	11.2117	11.4217	10.7417	9.5918	11.6115	10.6417	9.6144	11.1416	8.9119	8.1529	8.8423	8.3929	10.8317	10.6117	11.1417	10.0118	6.0815	10.5517	9.322	11.6016	10.5417	10.5417	9.9018	9.9119	10.7117
AMOTL1	10.6317	10.2318	11.6516	10.4917	10.9217	11.1116	9.6316	11.912	10.8791	10.7117	11.1317	10.9916	11.8717	11.6516	10.7367	11.5116	11.7916	8.4647	11.3817	11.0117	11.6517	12.2416	11.4516	11.7317	11.4115	12.2917	11.6017	11.8516	11.7916	11.372	10.7417	10.5817	11.5317	11.0216	11.4816	10.2818	11.8115	10.7817	11.1216	11.2316	11.7318	10.5117	10.6117	9.312	10.4517	11.9916	11.5866	10.1617	11.1716	10.9517	10.5917	12.1116	9.8618	10.4717	11.4616	11.3816	10.7017	10.9016	11.5316	11.2516	10.5817	10.8117	10.1418	11.1717	10.5817	11.8617	11.1217	10.9618	12.1715	10.2617	11.3617	11.5216	10.9016	11.5216	11.0316	11.3816	11.3616	10.9517	10.8817	10.6717	11.6215	10.6317	10.6317	11.3517	11.7416	11.7317	11.5817	11.5116	12.3416	11.2916	10.3417	10.3942	10.9016	11.4517	10.9716	10.5217	10.8616	11.7617	12.3417	10.7717	10.5317	10.2917	11.2416	10.5817	11.0317	10.8217	11.2317	11.2017	10.5517	11.7316
AMOTL2	10.7217	10.8617	10.5317	11.2017	10.4017	10.4817	10.6117	10.0915	10.8192	9.032	10.3817	10.3617	12.5217	10.9217	11.0866	11.5916	10.3717	9.0545	10.4817	10.9817	11.1517	10.0018	10.8217	11.3417	9.8719	11.4417	10.2917	9.5219	10.6717	10.1715	10.7517	10.8717	10.4417	10.5717	9.9218	10.7817	11.2716	10.4717	10.8217	11.1116	11.4218	9.3818	10.0818	10.8417	10.4317	10.8617	11.5166	11.0317	10.3517	10.2917	10.5917	9.3219	10.1318	11.6416	9.6419	11.8615	10.9617	10.7617	10.4317	10.4017	10.6517	10.9016	11.0216	11.1617	10.1117	10.1917	9.9918	9.7215	11.3416	8.7821	11.3517	11.1216	11.6115	10.6317	10.1418	10.7317	9.8718	10.4917	10.0117	11.0016	10.8616	10.9717	11.5217	10.8817	11.1216	11.7517	10.7017	10.5917	11.1717	10.6617	10.8517	8.2449	10.5617	10.9217	9.8719	10.1418	9.9419	11.1517	11.0617	10.4017	10.4117	10.5717	10.3417	10.9417	10.2917	10.7417	10.2717	9.7818	10.0518	10.6617
ANK3	11.5516	11.2616	11.2316	11.2917	12.3018	11.5816	11.1217	11.1119	11.879	11.0017	11.4117	11.6016	11.5917	11.7516	11.3266	12.8415	12.0616	12.9541	13.1517	11.6616	13.6916	10.5317	10.8417	12.3117	11.0516	11.8217	10.6017	10.8517	12.0416	10.2716	12.9716	12.1516	11.4617	11.2016	12.3315	11.8616	10.6517	11.3216	12.0515	10.8616	11.5718	10.0817	11.5016	11.3616	10.0318	13.0116	12.9565	11.6417	11.4016	11.1616	10.9317	10.9917	12.3816	11.6616	13.8516	10.5817	11.5516	11.5316	11.8015	11.2216	13.3715	12.0215	11.0616	12.7216	11.3817	11.2517	11.7616	10.6817	11.3616	9.082	11.3017	10.9117	11.4315	11.7516	10.9916	12.9216	10.0818	12.0217	11.5317	12.8915	11.4916	12.6916	11.7217	11.9817	11.0716	11.5217	11.7316	12.6216	10.8417	12.6715	11.8616	11.4541	11.1616	11.6117	11.4216	10.8117	11.3616	12.4216	12.5617	13.1418	11.2117	10.8717	12.9015	11.8216	12.2216	12.4615	12.7316	12.7116	11.1716	12.2515
AOC1	3.9102	6.8046	9.8019	5.1269	6.2184	4.753	9.7516	5.5475	10.7892	9.2019	6.5436	9.482	4.7228	10.1318	7.348	10.2018	9.5519	11.3941	11.5917	8.2925	6.7328	5.6754	9.9718	8.1017	8.2732	6.9424	5.994	7.2933	10.5317	4.7207	5.5066	7.1634	5.3721	7.5233	10.2418	4.4373	8.6327	11.8016	10.1118	6.1592	5.8971	11.2517	5.4772	6.5052	11.0917	8.7719	9.2971	9.2917	9.072	7.7429	11.3717	8.6322	6.1156	5.2014	11.9016	9.7619	4.6802	4.9056	10.8317	6.3461	9.9818	6.6166	0.8059	6.3241	5.7294	9.2618	12.0816	8.1604	5.4013	11.6316	8.1623	6.5146	3.3384	7.1136	7.304	5.2287	10.5417	5.0611	9.7817	7.4235	6.2875	6.754	5.6437	9.5118	8.7222	6.1317	7.1028	6.9739	5.3457	9.0223	9.0821	6.3075	7.3939	9.9618	4.817	7.853	8.1233	10.5117	6.4728	5.4699	6.0949	8.3717	7.1339	8.9022	5.6554	6.6148	9.1419	5.5262	10.0119	4.6953
APC	11.2016	10.9617	11.3916	11.2717	11.9218	11.5116	10.9017	10.1516	11.4691	11.2317	11.2917	11.5716	11.1317	11.5416	11.4366	11.8916	11.8316	12.0641	11.4317	11.6716	12.1417	11.0717	11.4916	11.4517	11.4815	11.6217	11.2517	11.4416	11.7416	11.622	11.5516	11.3716	11.5017	11.5716	11.4816	10.6817	11.5915	11.3816	11.6015	11.2216	11.5118	11.5917	11.1017	10.5217	11.5616	11.4217	11.5566	11.1217	11.7016	11.3816	11.1617	11.0317	11.6516	10.6717	11.4016	11.2816	11.6416	10.9616	11.8415	11.2116	11.6916	11.8115	10.6217	12.1716	11.3917	11.3017	11.6316	11.7119	11.2016	11.3316	11.5616	11.1216	10.9416	11.4516	10.9716	10.7417	11.5016	11.3217	11.5217	11.1816	11.5815	11.4416	11.3317	11.5917	11.3016	10.9217	11.2817	12.1416	11.3417	11.9215	11.3316	10.9842	11.3316	11.1217	11.3216	11.7316	11.4315	11.1917	11.3417	12.0417	11.2317	11.0417	11.9416	11.2116	11.8316	11.5416	11.5317	11.8416	11.0016	9.7719
BVES	7.0347	6.9044	7.2937	7.2528	6.7494	7.7529	7.0108	8.9908	8.4301	7.0132	6.6434	6.4554	7.8918	7.1238	7.2182	6.605	7.4432	6.5862	7.0324	6.2457	6.8327	8.5621	7.6728	7.0016	7.3549	7.0224	8.412	6.9637	7.1129	7.5378	6.564	7.7828	7.2118	6.525	6.9245	6.4155	7.4544	6.5553	7.2447	7.0954	6.7893	7.5023	7.2632	6.555	8.1023	6.5831	6.9997	6.2716	7.7028	6.4948	7.6211	6.5042	5.9761	6.7947	8.2324	7.6235	7.213	8.5126	6.0381	7.2539	6.2164	7.0552	6.2064	6.5837	8.2814	7.652	6.9436	8.5808	7.4438	5.7861	6.1843	6.814	6.7765	7.0137	6.9646	7.0436	6.6242	6.9715	6.2423	7.3337	6.9153	6.8139	7.0224	6.8626	7.5032	7.7017	6.803	6.5846	6.1739	6.3276	6.2554	8.8546	6.526	6.9229	6.7654	6.1865	6.846	7.0326	7.0524	6.5108	6.7936	7.5417	6.8644	6.6948	6.8832	6.166	6.7333	6.1346	7.2844	6.8945
CDH5	10.1318	9.402	9.8818	9.8818	9.2414	10.1318	9.0716	11.772	9.5795	9.8618	10.2517	8.6523	10.3217	9.9418	9.5169	10.1118	10.9917	8.5746	8.6819	8.9721	9.4018	10.3517	9.6219	10.0317	9.9519	10.9417	10.3617	9.4519	10.0818	10.7818	9.7918	9.3719	10.0117	10.1318	9.6819	10.0118	11.3416	9.9718	9.8319	10.5917	10.6717	9.7318	9.7718	9.0521	9.6518	9.0719	10.1968	8.7517	10.0918	9.4619	9.8316	9.4319	10.2717	10.6417	9.3519	9.7419	10.3417	10.5817	10.0718	10.3717	9.8619	10.2818	8.6524	9.6418	10.6617	11.8517	10.3917	10.1116	11.2216	9.9118	9.5018	10.0118	9.9319	9.5619	10.5917	9.7718	10.1518	10.5217	10.4217	9.492	10.4317	10.2917	10.4217	9.3418	10.2718	10.2217	9.1919	8.4723	9.8918	10.0718	9.9318	8.8346	9.622	10.0718	10.1218	11.5616	9.782	9.5318	9.2418	8.9816	9.6118	9.6817	9.1521	9.392	9.3619	9.412	9.6218	8.5821	9.4521	8.8722
CGN	11.2216	11.7416	12.8415	11.7716	11.2318	11.0416	12.4718	10.4817	11.6291	11.0817	11.3317	11.6816	11.1217	11.4516	12.3466	12.5515	11.4816	10.5342	11.3417	11.1716	12.8416	10.6017	11.2816	12.2317	11.7615	11.6917	10.6417	12.0416	12.2416	12.9622	11.9916	12.0516	12.2017	11.3416	11.4916	12.5915	11.1816	13.0715	12.8414	11.9215	12.9119	10.4817	13.0116	11.8016	12.3516	10.6817	12.7065	12.4417	10.0018	12.2016	12.6818	9.5519	11.3416	11.3016	10.6517	10.8117	12.0316	11.4716	11.3916	11.0716	11.3316	11.2516	11.6216	11.7016	10.5317	11.3617	12.9716	12.0019	11.1116	10.9117	10.4717	12.5416	13.3314	10.9517	10.5517	11.2916	11.9816	13.6817	11.0417	11.0616	10.9316	11.0317	12.1117	12.2017	10.9517	11.1817	11.1117	12.7716	10.2017	12.6715	11.8416	11.2141	11.1616	11.3317	11.2116	13.1015	11.6615	12.6916	11.5617	11.5117	12.3916	10.7517	12.4115	11.0916	11.4516	11.7516	11.4117	11.2617	10.7117	11.3416
CLDN1	8.5626	11.0916	7.873	10.8417	12.0018	10.2718	9.5716	8.9308	11.1891	9.1519	9.6318	11.5916	11.2217	11.8916	11.9266	11.2416	10.4217	10.8742	11.1317	12.1116	11.3917	7.6825	10.8017	11.5317	10.2018	11.7317	9.8918	9.6219	9.5918	9.4711	9.8418	12.5716	9.5617	9.9018	10.0518	10.4517	9.692	10.7417	11.0516	9.8619	8.8513	9.1118	12.7516	6.5949	9.4419	9.8718	11.2966	10.6417	9.262	10.7417	11.3117	8.932	8.1325	11.7116	11.6816	10.2118	10.5817	9.3621	11.1416	9.1221	11.2416	11.2716	10.0018	9.7318	10.2217	9.4018	10.8917	10.4117	10.9316	10.1318	10.5117	10.9717	9.3422	12.4916	9.9918	7.9926	10.7717	10.0117	8.0319	11.6416	11.2316	10.9917	9.2218	10.6917	10.1918	11.2817	10.2417	10.3517	12.4716	10.3118	11.4116	8.6247	11.5116	10.0318	9.9619	9.9018	11.1616	11.1817	11.8417	12.0217	9.4519	8.3717	10.9017	9.0821	10.8317	10.2118	9.7418	10.6817	10.4317	9.5919
CLDN10	10.2918	6.1464	4.9726	5.6353	5.5061	8.5523	3.4401	6.9366	5.0112	9.1119	9.4019	5.1412	4.0833	7.6731	4.279	7.2238	10.7317	12.1841	5.6935	6.3055	3.8701	8.1623	7.1034	3.2805	11.1816	3.2914	4.5281	10.1918	10.1517	6.9756	11.0617	6.1653	8.6417	3.9526	5.7981	6.4055	5.4832	6.5753	6.0191	9.2722	6.3985	9.2218	6.8138	3.1398	6.4041	4.1197	8.4177	6.4716	4.9597	6.7942	10.3017	6.3745	11.8316	4.7055	10.6317	5.6695	6.2844	9.2321	11.8815	10.4517	11.9516	3.3136	5.3305	5.1174	6.16	5.9026	11.5216	10.1916	4.1057	10.9017	7.113	6.2851	4.7623	4.1774	10.2718	3.113	7.9926	4.4407	5.5527	5.2508	4.0701	5.2882	9.0518	4.2078	6.7544	9.5417	5.1561	7.9227	5.1862	6.8956	7.5531	4.3377	5.8289	7.9922	9.9619	4.0634	8.7526	7.4724	5.6837	10.3417	10.4817	4.1711	6.1164	4.3483	7.3428	3.9822	10.9217	10.9017	7.025	3.2591
CLDN11	5.2726	4.7544	5.4395	6.0244	4.8327	4.8523	4.3154	6.384	6.8424	5.2471	6.0244	5.1312	5.3024	6.2158	6.3395	5.957	6.0857	4.4536	6.3528	4.5551	6.3731	7.2429	5.886	5.0314	5.3357	7.2523	5.1558	5.7069	5.1466	6.0698	6.3543	6.6842	5.3321	6.3555	5.6787	4.2396	6.308	5.6089	5.9594	5.3155	6.1378	3.9192	5.3976	4.3677	5.1575	7.0427	5.7742	3.1804	6.1551	4.9709	4.8069	10.3317	4.921	4.646	5.1584	5.3912	6.5938	6.237	4.8071	6.2963	5.3305	5.2944	2.9686	5.6157	6.6205	6.3624	6.0055	5.7331	6.4761	3.8393	3.9145	4.7717	4.7229	5.5974	4.5783	4.99	5.1091	5.9914	6.8121	4.6557	5.9193	6.1053	5.9134	6.0034	5.6279	5.8417	6.2537	4.9908	5.9044	5.1059	5.6175	5.8787	6.7354	6.5533	4.8367	4.5966	5.5925	5.8639	6.5727	5.8403	7.0233	4.4112	5.8574	5.0419	5.1371	5.9368	6.6633	4.839	7.8434	6.7448
CLDN12	12.0915	12.2615	11.3816	12.1816	10.8217	11.4316	10.9817	8.9408	12.079	10.6617	10.6717	11.3516	10.3717	10.9817	11.0567	11.2116	10.8117	12.6341	11.6617	10.5917	10.4617	11.2017	10.5317	10.4217	11.7215	10.2417	10.3017	11.5316	11.0817	10.6617	10.9017	10.6717	11.0417	10.9317	10.4917	11.9016	10.4717	11.8716	10.2418	10.8316	11.1218	11.1617	11.1017	12.4815	10.4617	10.9317	10.8167	12.3017	10.4517	12.1216	9.8517	11.4216	11.5516	11.6416	11.0617	11.5016	10.2217	10.5817	10.8816	10.8817	10.3118	10.1518	10.9217	11.0217	10.0017	10.4817	12.0316	10.1216	10.4117	10.9517	10.6517	10.3817	9.812	9.9118	10.9716	10.2318	10.9917	10.9617	10.7017	11.5916	10.5217	10.7417	10.3717	10.5217	10.1718	10.9117	10.2317	11.2016	11.0317	11.7115	11.5616	9.8743	11.4916	11.6117	10.3917	10.1518	11.1416	10.2717	11.0817	11.5317	11.2417	11.7317	10.5717	11.0216	11.6316	11.3716	10.9017	10.5817	11.2716	10.6217
CLDN14	3.6168	4.2598	4.2598	5.0572	3.3869	5.9465	2.6821	5.0009	4.724	3.5991	3.1427	0.8188	2.2974	5.2896	4.3583	0.8188	5.0502	3.2561	0.9517	3.8339	2.7006	4.1228	6.1253	1.0059	3.8811	1.9269	4.8468	4.7419	0.0	1.3688	3.5808	3.025	4.6824	4.8528	3.8475	3.7274	4.122	5.6786	3.944	4.8016	5.867	4.8157	3.072	4.5458	3.4905	3.5636	2.7319	4.101	4.6814	4.4352	4.2948	4.4925	3.1735	4.6857	4.8302	5.3415	4.2333	4.4311	2.1622	5.0331	3.0849	4.8097	3.4257	4.0439	4.4359	5.3731	5.6366	4.4808	4.342	3.072	4.6593	4.0978	3.252	4.6926	3.9476	2.0865	4.3643	3.4798	3.1271	3.8661	4.2369	4.3643	4.2173	3.0653	3.9127	4.1716	1.4701	2.0636	4.5289	3.7488	4.7227	4.7443	4.3818	4.7874	3.1127	5.6089	5.3446	2.8797	4.7555	3.7756	4.5116	5.9615	3.6391	3.4529	4.5499	3.6575	3.2404	2.8022	4.7687	3.9349
CLDN15	6.895	7.8929	6.9343	7.8724	6.7595	7.4233	6.9308	7.9895	6.9122	6.444	7.4427	6.0566	6.9219	6.6247	6.8886	6.9942	6.4947	6.3766	7.5422	7.1238	6.7428	6.6235	7.0036	7.6017	5.911	6.7625	7.0427	6.0557	6.0243	7.1162	7.7926	6.4346	6.9018	6.4253	7.214	7.3636	6.8061	6.1665	7.4742	6.8063	7.5504	7.2324	7.0235	7.2337	6.1346	7.3025	7.0496	7.1816	7.3531	7.0537	7.471	6.9835	7.3732	7.3337	6.9236	6.9447	7.9824	7.2442	6.2671	6.3361	6.1665	6.9355	6.5553	6.8134	7.251	6.8222	8.0325	6.1353	7.2541	6.2748	6.4638	7.4431	6.6868	7.1735	6.5956	6.5943	6.0355	7.6016	6.2223	7.0741	6.2079	7.6528	7.6921	7.6422	7.5132	6.7517	7.0328	7.7629	7.1328	7.9434	7.1735	6.0382	6.9049	7.4425	6.8652	6.4456	7.7139	7.6923	6.8825	7.3813	7.0133	7.5317	7.7231	7.823	7.6126	7.3435	6.6733	6.2843	6.4169	7.9729
CLDN16	3.3637	5.1513	3.5417	4.5097	6.088	4.3468	4.727	5.9108	4.9319	3.609	4.7584	5.947	7.7218	5.1803	5.2429	4.8335	6.0458	4.5033	6.0331	6.984	5.3347	3.8352	5.3181	6.1015	3.7645	5.2442	3.852	4.0583	5.0171	4.5467	4.4421	6.2351	3.1138	4.4069	5.5096	4.7542	3.2097	5.6089	4.1889	3.5306	4.4892	3.8694	5.1785	3.9433	4.7097	4.3983	4.7622	4.1811	4.4234	4.079	4.0636	4.0168	3.6249	5.1418	4.7407	4.6181	5.1577	4.0472	3.7638	3.9265	5.3703	5.4332	2.9977	4.978	4.3255	4.0751	5.547	4.2675	5.6099	4.4432	4.0434	4.2462	3.4829	6.4648	4.0262	3.3188	4.9003	4.3607	3.0275	5.6386	3.7376	4.3346	1.998	5.2446	5.3493	6.6517	4.3693	3.5567	5.2759	4.3657	5.6972	2.5518	5.0343	4.081	4.8961	2.8044	4.4265	6.6629	4.6957	5.0392	4.1445	3.3806	5.4195	4.1508	4.7289	5.1904	3.7547	4.1436	4.917	4.5963
CLDN17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN18	8.2129	8.1927	9.392	9.5918	6.8997	11.0416	9.7216	9.6513	6.3338	8.7621	9.8418	9.362	9.6317	12.9715	8.1674	9.8419	11.9816	8.1848	8.282	10.9517	14.6616	9.9518	12.6616	11.5817	9.4921	11.6017	9.3318	7.4831	9.4019	8.3797	8.6121	8.4723	6.2119	11.6216	11.9716	9.9218	14.9114	15.5315	10.9716	10.5517	10.3917	8.332	8.9021	6.0665	7.9424	13.0516	10.8167	5.7415	10.5717	7.9027	9.2816	7.8526	8.4523	8.8423	8.7621	7.4637	11.2817	8.8823	10.3717	10.0318	9.5619	11.1716	7.1241	11.1317	10.3917	10.3917	14.9615	10.2716	11.6616	9.3119	11.2817	8.0026	8.9425	6.4947	9.7519	9.132	9.5419	10.3917	10.7217	7.863	11.2416	9.252	9.4418	7.3923	10.6717	10.4617	6.833	9.5819	9.6118	9.682	8.0926	6.2078	7.8932	9.0919	7.9332	11.1016	8.5428	9.5918	8.4119	9.0416	7.3729	6.8916	9.1021	6.3457	6.9831	6.525	7.7224	8.1323	8.5327	11.1816
CLDN19	2.9288	2.5617	4.1315	2.0084	3.3157	1.9443	3.5913	4.8688	2.6914	3.5201	2.29	2.5029	3.2347	3.2063	2.3738	2.5412	1.7868	2.6674	3.1425	1.3882	2.9081	2.9666	3.5146	1.5978	0.9951	3.8184	3.6139	2.5111	3.4973	3.1825	2.5024	3.0837	2.8342	2.3278	2.9406	3.2478	2.3212	2.9783	2.5677	3.5016	3.7507	4.0684	3.9184	2.7518	2.7532	2.871	2.4371	2.5097	3.1896	3.2722	4.7366	4.7407	3.5364	1.3514	1.9274	2.6384	3.2056	3.5382	2.1622	4.0938	2.1177	3.9644	2.2499	3.1053	3.4099	4.4543	3.1014	4.359	2.8021	3.4155	3.7857	2.8019	3.2904	2.91	3.5949	2.3648	2.1324	3.1092	1.548	1.8628	1.5981	3.5934	3.3618	3.4521	2.7688	4.5316	2.451	2.9014	2.2279	2.9281	2.7169	4.2387	2.2433	4.3096	2.6524	2.2405	3.6642	3.8011	2.9651	2.2947	2.5705	3.3005	3.3552	2.0653	2.1946	3.295	2.9644	2.441	3.6201	2.5917
CLDN2	4.7969	4.9032	6.1464	4.6191	7.0499	8.9221	11.2917	7.9895	5.3785	5.7954	6.0145	4.9426	4.6128	8.8022	7.5778	8.4025	9.4419	5.9774	9.3918	4.6938	9.3418	12.1416	13.5816	9.8717	6.6471	10.4717	4.0209	5.3981	5.5952	7.066	7.4728	7.0336	4.0728	13.1315	11.0816	5.0121	10.3118	12.0915	10.6817	4.703	4.8319	3.9789	10.0418	2.9842	12.1516	5.894	4.9799	5.1814	6.4145	5.7171	4.5158	9.9618	4.643	5.42	8.1524	3.9284	7.9225	7.1444	9.8419	5.659	4.0929	7.8835	3.8568	4.4906	6.5004	12.2817	10.1818	6.3562	10.5117	7.1733	10.5317	6.3649	4.3494	7.3233	5.4506	4.6225	5.4475	4.7209	9.6317	6.3658	5.0756	4.3048	5.7036	6.7527	6.1061	5.2517	10.4717	3.9802	6.2838	8.7525	4.1482	4.4566	12.2615	8.632	3.6076	8.7123	4.8698	9.6018	8.6119	5.8603	4.7998	4.4012	8.1227	8.0128	6.2741	12.1516	8.3221	8.1023	12.6115	13.9715
CLDN20	7.2043	6.6849	5.9073	6.1043	6.1482	6.4251	6.6705	6.1626	6.3239	6.5538	6.244	6.6249	6.7619	6.984	6.7687	6.0267	6.2054	5.6383	7.1523	5.857	6.7428	5.6754	6.6242	6.6416	6.0203	6.0131	6.5832	6.804	7.0329	7.0158	6.2645	6.4446	6.092	6.7745	6.4856	6.5252	4.7511	6.0171	6.2778	6.4876	5.9272	7.0925	6.6441	6.4453	5.965	6.5631	7.0297	6.9616	6.9037	6.5846	6.8706	8.8321	6.9938	6.1665	6.664	6.7253	7.3729	6.5659	5.3521	5.4303	5.798	6.0093	6.316	6.6935	6.5104	6.4523	6.3846	6.5168	6.2071	6.1351	6.2242	6.0557	6.4976	6.3949	6.3264	6.0855	6.4845	6.4815	6.3423	6.3857	6.0984	6.2051	6.4129	7.0525	6.3454	6.7317	6.7231	6.0858	5.7747	5.8401	6.6744	7.0561	7.354	6.2437	7.5438	6.0669	6.557	6.4931	6.6827	6.4408	6.8236	7.1316	6.7646	6.1264	6.8832	5.7874	6.7932	5.5062	6.3273	6.0568
CLDN22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN23	7.7634	7.9129	8.5024	8.2422	9.1514	8.2625	8.6015	8.5203	8.0005	8.6221	7.7125	8.2126	8.8917	9.8818	9.2769	9.9718	7.593	7.5951	10.5817	10.8517	10.0217	7.9624	9.152	9.0617	8.8925	9.2418	8.2421	8.1725	7.9623	7.7684	8.4822	8.8521	7.8318	9.1521	8.9122	8.2326	9.0723	9.9718	8.0832	8.6228	9.3215	7.8421	8.6422	6.8045	8.5321	8.452	9.9468	8.8217	8.4423	7.1536	9.0215	8.6122	8.4923	9.2021	8.6522	8.3127	8.6521	8.9123	7.9732	7.7133	7.0442	10.0518	7.9629	8.892	7.1909	8.3019	12.7016	7.6797	8.1729	7.9626	9.1319	8.2624	8.1333	7.0637	8.9223	8.1025	9.062	8.1616	8.7218	8.1227	9.522	8.6122	7.7021	8.272	8.0927	8.1217	8.4021	8.5523	7.9223	8.1531	8.6223	6.8864	8.6325	7.9023	8.0231	8.6124	7.8637	9.2918	8.132	8.1615	8.3323	7.6217	8.3625	7.8729	8.3622	8.0028	8.652	7.5827	9.0723	9.9818
