Cancer_type,Cell_Line,sub_clone,Study_ID,GSM_ID,Baseline,cytokines,Cell_treatment,Cell_genotype,SRX_ID,SampleName
Head and neck squamous cell carcinoma,MOC1,MOC1e1,RU31562203_LZ5733,RU_MOC1e1_S8_R1_001,1,NA,no_treatment,WT,NA,MOC1e1_ifng_514_LZ5733_S8_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e1,RU31562203_LZ5733,RU_MOC1e1_S9_R1_001,1,NA,no_treatment,WT,NA,MOC1e1_ifng_588_LZ5733_S9_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e1,RU31562203_LZ5733,RU_MOC1e1_S7_R1_001,1,NA,no_treatment,WT,NA,MOC1e1_ifng_600__LZ5733_S7_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e1,RU31562203_LZ5733,RU_MOC1e1_ifng_S12_R1_001,0,IFNg,IFNg,WT,NA,MOC1e1plusifng_408_LZ5733_S12_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e1,RU31562203_LZ5733,RU_MOC1e1_ifng_S10_R1_001,0,IFNg,IFNg,WT,NA,MOC1e1plusifng_600__LZ5733_S10_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e1,RU31562203_LZ5733,RU_MOC1e1_S11_R1_001,0,IFNg,IFNg,WT,NA,MOC1e1plusifng_643_LZ5733_S11_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e2,RU31562203_LZ5733,RU_MOC1e2_ifng_S14_R1_001,1,NA,no_treatment,WT,NA,MOC1e2_ifng_431_LZ5733_S14_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e2,RU31562203_LZ5733,RU_MOC1e2_ifng_S13_R1_001,1,NA,no_treatment,WT,NA,MOC1e2_ifng_613_LZ5733_S13_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e2,RU31562203_LZ5733,RU_MOC1e2_ifng_S15_R1_001,1,NA,no_treatment,WT,NA,MOC1e2_ifng_682_LZ5733_S15_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e2,RU31562203_LZ5733,RU_MOC1e2_ifng_S16_R1_001,0,IFNg,IFNg,WT,NA,MOC1e2plusifng_665_LZ5733_S16_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e2,RU31562203_LZ5733,RU_MOC1e2_ifng_S18_R1_001,0,IFNg,IFNg,WT,NA,MOC1e2plusifng_798_LZ5733_S18_R1_001
Head and neck squamous cell carcinoma,MOC1,MOC1e2,RU31562203_LZ5733,RU_MOC1e2_ifng_S17_R1_001,0,IFNg,IFNg,WT,NA,MOC1e2plusifng_900_LZ5733_S17_R1_001
Head and neck squamous cell carcinoma,MOC1,parental,RU31562203_LZ5733,RU_MOC1_ifng_S5_R1_001,0,IFNg,IFNg,WT,NA,MOC1plusifng_587_LZ5733_S5_R1_001
Head and neck squamous cell carcinoma,MOC1,parental,RU31562203_LZ5733,RU_MOC1_ifng_S6_R1_001,0,IFNg,IFNg,WT,NA,MOC1plusifng_660_LZ5733_S6_R1_001
Head and neck squamous cell carcinoma,MOC1,parental,RU31562203_LZ5733,RU_MOC1_ifng_S4_R1_001,0,IFNg,IFNg,WT,NA,MOC1plusifng_696_LZ5733_S4_R1_001
Head and neck squamous cell carcinoma,MOC22,parental,RU31562203,RU_MOC22_in_vitro_A2_M22no,1,NA,no_treatment,WT,NA,Ravi_MOC22_invitro_A2_M22no
Head and neck squamous cell carcinoma,MOC22,parental,RU31562203,RU_MOC22_in_vitro_A3_M22no,1,NA,no_treatment,WT,NA,Ravi_MOC22_invitro_A3_M22no
Head and neck squamous cell carcinoma,MOC22,parental,RU31562203,RU_MOC22_in_vitro_AI2_M22,0,IFNg,IFNg,WT,NA,Ravi_MOC22_invitro_AI2_M22
Head and neck squamous cell carcinoma,MOC22,parental,RU31562203,RU_MOC22_in_vitro_AI3_M22,0,IFNg,IFNg,WT,NA,Ravi_MOC22_invitro_AI3_M22
Head and neck squamous cell carcinoma,MOC2,parental,RU31562203,RU_MOC2_in_vitro_B1_M2no,1,NA,no_treatment,WT,NA,Ravi_MOC2_invitro_B1_M2no
Head and neck squamous cell carcinoma,MOC2,parental,RU31562203,RU_MOC2_in_vitro_B2_M2no,1,NA,no_treatment,WT,NA,Ravi_MOC2_invitro_B2_M2no
Head and neck squamous cell carcinoma,MOC2,parental,RU31562203,RU_MOC2_in_vitro_BI1_M2,0,IFNg,IFNg,WT,NA,Ravi_MOC2_invitro_BI1_M2
Head and neck squamous cell carcinoma,MOC2,parental,RU31562203,RU_MOC2_in_vitro_BI2_M2,0,IFNg,IFNg,WT,NA,Ravi_MOC2_invitro_BI2_M2
Head and neck squamous cell carcinoma,MOC2,parental,RU31562203,RU_MOC2_in_vitro_uninoc_1,1,NA,no_treatment,WT,NA,Ravi_MOC2_invitro_uninoc_1
Head and neck squamous cell carcinoma,MOC2,parental,RU31562203,RU_MOC2_in_vitro_uninoc_2,1,NA,no_treatment,WT,NA,Ravi_MOC2_invitro_uninoc_2
Head and neck squamous cell carcinoma,MOC2,parental,RU31562203,RU_MOC2_in_vitro_uninoc_3,1,NA,no_treatment,WT,NA,Ravi_MOC2_invitro_uninoc_3
Mammary carcinoma,4T1,parental,XW33589424,XW_Mouse1_USR17006871L_HM2KTBBXX,1,NA,no_treatment,WT,NA,Mouse1_USR17006871L_HM2KTBBXX
Mammary carcinoma,4T1,parental,XW33589424,XW_Mouse2_USR17006872L_HM2KTBBXX,1,NA,no_treatment,WT,NA,Mouse2_USR17006872L_HM2KTBBXX
Mammary carcinoma,4T1,parental,XW33589424,XW_Mouse3_USR17006873L_HM2KTBBXX,1,NA,no_treatment,WT,NA,Mouse3_USR17006873L_HM2KTBBXX
Mammary carcinoma,EMT6,parental,XW33589424,XW_Mouse4_USR17006874L_HM2KTBBXX,1,NA,no_treatment,WT,NA,Mouse4_USR17006874L_HM2KTBBXX
Mammary carcinoma,EMT6,parental,XW33589424,XW_Mouse6_USR17006876L_HM2KTBBXX,1,NA,no_treatment,WT,NA,Mouse6_USR17006876L_HM2KTBBXX
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s1,1,NA,sgRosa26;,WT,NA,Shawn_COP1_4T1_s1
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s10,0,IFNg,sgRosa26; IFNg;,WT,NA,Shawn_COP1_4T1_s10
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s11,0,IFNg,sgCOP1; IFNg;,COP1_KO,NA,Shawn_COP1_4T1_s11
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s12,0,IFNg,sgCOP1; IFNg;,COP1_KO,NA,Shawn_COP1_4T1_s12
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s13,1,NA,no_treatment,WT,NA,Shawn_COP1_4T1_s13
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s14,1,NA,no_treatment,WT,NA,Shawn_COP1_4T1_s14
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s15,0,IFNg,IFNg,WT,NA,Shawn_COP1_4T1_s15
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s16,0,IFNg,IFNg,WT,NA,Shawn_COP1_4T1_s16
Mammary carcinoma,EMT6,parental,XW33589424,XW_COP1_EMT6_nt_s17,1,NA,no_treatment,WT,NA,Shawn_COP1_EMT6_nt_s17
Mammary carcinoma,EMT6,parental,XW33589424,XW_COP1_EMT6_nt_s18,1,NA,no_treatment,WT,NA,Shawn_COP1_EMT6_nt_s18
Mammary carcinoma,EMT6,parental,XW33589424,XW_COP1_EMT6_ifng_s19,0,IFNg,IFNg,WT,NA,Shawn_COP1_EMT6_ifng_s19
Mammary carcinoma,EMT6,parental,XW33589424,XW_COP1_EMT6_ifng_s20,0,IFNg,IFNg,WT,NA,Shawn_COP1_EMT6_ifng_s20
Mammary adenocarcinoma,E0771,parental,XW33589424,XW_COP1_E0771_nt_s21,1,NA,no_treatment,WT,NA,Shawn_COP1_E0771_nt_s21
Mammary adenocarcinoma,E0771,parental,XW33589424,XW_COP1_E0771_nt_s22,1,NA,no_treatment,WT,NA,Shawn_COP1_E0771_nt_s22
Mammary adenocarcinoma,E0771,parental,XW33589424,XW_COP1_E0771_ifng_s23,0,IFNg,IFNg,WT,NA,Shawn_COP1_E0771_ifng_s23
Mammary adenocarcinoma,E0771,parental,XW33589424,XW_COP1_E0771_ifng_s24,0,IFNg,IFNg,WT,NA,Shawn_COP1_E0771_ifng_s24
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s4,0,IFNg,sgRosa26; IFNg;,WT,NA,Shawn_COP1_4T1_s4
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s5,0,IFNg,sgCOP1; IFNg,COP1_KO,NA,Shawn_COP1_4T1_s5
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s6,0,IFNg,sgCOP1; IFNg,COP1_KO,NA,Shawn_COP1_4T1_s6
Mammary carcinoma,4T1,parental,XW33589424,XW_COP1_4T1_s7,1,NA,sgRosa26;,WT,NA,Shawn_COP1_4T1_s7
Colorectal carcinoma,1638N-T1,parental,GSE78696,GSM2072767,1,NA,no_treatment,WT,SRX1601922,SRX1601922
Colorectal carcinoma,1638N-T1,parental,GSE78696,GSM2072768,1,NA,no_treatment,WT,SRX1601923,SRX1601923
Colorectal carcinoma,1638N-T1,parental,GSE78696,GSM2072769,1,NA,no_treatment,WT,SRX1601924,SRX1601924
Colorectal carcinoma,CMT93,parental,GSE78696,GSM2072770,1,NA,no_treatment,WT,SRX1601925,SRX1601925
Colorectal carcinoma,CMT93,parental,GSE78696,GSM2072771,1,NA,no_treatment,WT,SRX1601926,SRX1601926
Colorectal carcinoma,CMT93,parental,GSE78696,GSM2072772,1,NA,no_treatment,WT,SRX1601927,SRX1601927
Melanoma,YUMM1.1,parental,GSE84264,GSM2230611,1,NA,no_treatment,WT,SRX1925784,SRX1925784
Melanoma,YUMM2.1,parental,GSE84264,GSM2230612,1,NA,no_treatment,WT,SRX1925785,SRX1925785
Melanoma,YUMM1.7,parental,GSE84264,GSM2230613,1,NA,no_treatment,WT,SRX1925786,SRX1925786
Melanoma,B16,B16F10,GSE85535,GSM2276599,1,NA,no_treatment,WT,SRX2015206,SRX2015206
Melanoma,B16,B16F10,GSE85535,GSM2276600,0,IFNg,IFNg,WT,SRX2015207,SRX2015207
Melanoma,B16,B16F10,GSE85535,GSM2276601,0,IFNg,IFNg,WT,SRX2015208,SRX2015208
Melanoma,B16,B16F10,GSE85535,GSM2276602,0,IFNg,IFNg,WT,SRX2015209,SRX2015209
Melanoma,B16,B16F10,GSE85535,GSM2276603,1,NA,no_treatment,WT,SRX2015210,SRX2015210
Melanoma,B16,B16F10,GSE85535,GSM2276604,1,NA,no_treatment,WT,SRX2015211,SRX2015211
Melanoma,B16,B16F10,GSE85535,GSM2276605,1,NA,no_treatment,WT,SRX2015212,SRX2015212
Neuroblastoma,Neuro-2a,parental,GSE87862,GSM2341994,1,NA,no_treatment,WT,SRX2239839,SRX2239839
Neuroblastoma,Neuro-2a,parental,GSE87862,GSM2341995,1,NA,no_treatment,WT,SRX2239840,SRX2239840
Colorectal carcinoma,MC38,parental,GSE93017,GSM2442608,1,NA,no_treatment,WT,SRX2452248,SRX2452248
Colorectal carcinoma,MC38,parental,GSE93017,GSM2442609,1,NA,no_treatment,WT,SRX2452249,SRX2452249
Glioblastoma multiforme,GL261,parental,GSE94239,GSM2471406,1,NA,no_treatment,WT,SRX2524291,SRX2524291
Glioblastoma multiforme,GL261,parental,GSE94239,GSM2471407,1,NA,no_treatment,WT,SRX2524292,SRX2524292
Glioblastoma multiforme,GL261,parental,GSE94239,GSM2471408,1,NA,no_treatment,WT,SRX2524293,SRX2524293
Mammary adenocarcinoma,M6,parental,GSE96641,GSM2537100,1,NA,vector_control,WT,SRX2642129,SRX2642129
Mammary adenocarcinoma,M6,parental,GSE96641,GSM2537101,1,NA,vector_control,WT,SRX2642130,SRX2642130
Mammary adenocarcinoma,M6,parental,GSE96641,GSM2537102,1,NA,vector_control,WT,SRX2642131,SRX2642131
Mammary adenocarcinoma,M6,parental,GSE96641,GSM2537103,1,NA,vector_control,WT,SRX2642132,SRX2642132
Glioblastoma multiforme,GL261,parental,GSE97975,GSM2584515,1,NA,no_treatment,WT,SRX2745954,SRX2745954
Lung carcinoma,LLC,parental,GSE97975,GSM2584516,1,NA,no_treatment,WT,SRX2745955,SRX2745955
Mammary carcinoma,4T1,parental,GSE100403,GSM2680357,1,NA,sh_control,WT,SRX2949725,SRX2949725
Mammary carcinoma,4T1,parental,GSE100403,GSM2680358,1,NA,sh_control,WT,SRX2949726,SRX2949726
Mammary carcinoma,4T1,parental,GSE100403,GSM2680359,1,NA,sh_control,WT,SRX2949727,SRX2949727
Lung carcinoma,LLC,parental,GSE103548,GSM2773449,1,NA,no_treatment,WT,SRX3163921,SRX3163921
Lung carcinoma,LLC,parental,GSE103548,GSM2773450,1,NA,no_treatment,WT,SRX3163922,SRX3163922
Lung carcinoma,LLC,parental,GSE103548,GSM2773451,1,NA,no_treatment,WT,SRX3163923,SRX3163923
Lung carcinoma,LLC,parental,GSE103548,GSM2773452,1,NA,no_treatment,WT,SRX3163924,SRX3163924
Lung adenocarcinoma,MLE12,parental,GSE103548,GSM2773453,1,NA,no_treatment,WT,SRX3163925,SRX3163925
Lung adenocarcinoma,MLE12,parental,GSE103548,GSM2773454,1,NA,no_treatment,WT,SRX3163926,SRX3163926
Lung adenocarcinoma,MLE12,parental,GSE103548,GSM2773455,1,NA,no_treatment,WT,SRX3163927,SRX3163927
Lung adenocarcinoma,MLE12,parental,GSE103548,GSM2773456,1,NA,no_treatment,WT,SRX3163928,SRX3163928
Mammary carcinoma,4T1,parental,GSE104264,GSM2793843,1,NA,no_treatment,WT,SRX3216946,SRX3216946
Mammary carcinoma,4T1,parental,GSE104264,GSM2793844,1,NA,no_treatment,WT,SRX3216947,SRX3216947
Mammary carcinoma,4T1,parental,GSE104264,GSM2793845,1,NA,no_treatment,WT,SRX3216948,SRX3216948
Hepatocellular carcinoma,Hepa-1c1c7,parental,GSE49571,GSM1201948,1,NA,vehicle,WT,SRX331858,SRX331858
Hepatocellular carcinoma,Hepa-1c1c7,parental,GSE49571,GSM1201949,1,NA,vehicle,WT,SRX331859,SRX331859
Hepatocellular carcinoma,Hepa-1c1c7,parental,GSE49571,GSM1201962,1,NA,vehicle,WT,SRX331872,SRX331872
Melanoma,B16,B16F10.9,GSE106390,GSM2837055,1,NA,no_treatment,WT,SRX3349226,SRX3349226
Melanoma,B16,B16F10.9,GSE106390,GSM2837056,1,NA,no_treatment,WT,SRX3349227,SRX3349227
Melanoma,B16,B16F10.9,GSE106390,GSM2837057,1,NA,no_treatment,WT,SRX3349228,SRX3349228
Melanoma,B16,B16F10.9,GSE106390,GSM2837058,0,IFNg,IFNg,WT,SRX3349229,SRX3349229
Melanoma,B16,B16F10.9,GSE106390,GSM2837059,0,IFNg,IFNg,WT,SRX3349230,SRX3349230
Melanoma,B16,B16F10.9,GSE106390,GSM2837060,0,IFNg,IFNg,WT,SRX3349231,SRX3349231
Hepatocellular carcinoma,Hepa1-6,parental,GSE106975,GSM2858671,1,NA,sh_control,WT,SRX3398424,SRX3398424
Hepatocellular carcinoma,Hepa1-6,parental,GSE106975,GSM2858672,1,NA,sh_control,WT,SRX3398425,SRX3398425
Hepatocellular carcinoma,Hepa1-6,parental,GSE106975,GSM2858674,1,NA,sh_control,WT,SRX3398427,SRX3398427
Neuroblastoma,Neuro-2a,parental,GSE106999,GSM2859263,1,NA,no_treatment,WT,SRX3398978,SRX3398978
Neuroblastoma,Neuro-2a,parental,GSE106999,GSM2859264,1,NA,no_treatment,WT,SRX3398979,SRX3398979
Melanoma,B16,B16F10,GSE107670,GSM2875517,1,NA,no_treatment,WT,SRX3442487,SRX3442487
Melanoma,B16,B16F10,GSE107670,GSM2875518,1,NA,no_treatment,WT,SRX3442488,SRX3442488
Melanoma,B16,B16F10,GSE107670,GSM2875519,1,NA,no_treatment,WT,SRX3442489,SRX3442489
Melanoma,B16,B16F10,GSE107670,GSM2875529,0,IFNg,IFNg,WT,SRX3442499,SRX3442499
Melanoma,B16,B16F10,GSE107670,GSM2875530,0,IFNg,IFNg,WT,SRX3442500,SRX3442500
Melanoma,B16,B16F10,GSE107670,GSM2875531,0,IFNg,IFNg,WT,SRX3442501,SRX3442501
Melanoma,B16,B16F1,GSE109268,GSM2936318,1,NA,no_treatment,WT,SRX3585689,SRX3585689
Melanoma,S91-M3,parental,GSE109268,GSM2936319,1,NA,no_treatment,WT,SRX3585690,SRX3585690
Mammary carcinoma,4T1,parental,GSE109268,GSM2936320,1,NA,no_treatment,WT,SRX3585691,SRX3585691
Mammary carcinoma,4T1,parental,GSE109725,GSM2949450,1,NA,plasmid_control,WT,SRX3603619,SRX3603619
Mammary carcinoma,4T1,parental,GSE109725,GSM2949451,1,NA,plasmid_control,WT,SRX3603620,SRX3603620
Mammary carcinoma,4T1,parental,GSE109725,GSM2949452,1,NA,plasmid_control,WT,SRX3603621,SRX3603621
Mammary carcinoma,4T1,parental,GSE109798,GSM2970149,1,NA,no_treatment,WT,SRX3626586,SRX3626586
Mammary carcinoma,4T1,parental,GSE109798,GSM2970150,1,NA,no_treatment,WT,SRX3626587,SRX3626587
Mammary carcinoma,4T1,parental,GSE109798,GSM2970151,1,NA,no_treatment,WT,SRX3626588,SRX3626588
Mammary carcinoma,4T1,parental,GSE109798,GSM2970152,1,NA,no_treatment,WT,SRX3626589,SRX3626589
Mammary carcinoma,4T1,parental,GSE109798,GSM2970153,1,NA,no_treatment,WT,SRX3626590,SRX3626590
Mammary carcinoma,4T1,parental,GSE109798,GSM2970154,1,NA,no_treatment,WT,SRX3626591,SRX3626591
Melanoma,B16,parental,GSE110708,GSM3014868,0,IFNb,IFNb; gRNA_control;,WT,SRX3713112,SRX3713112
Melanoma,B16,parental,GSE110708,GSM3014869,0,IFNb,IFNb; gRNA_control;,WT,SRX3713113,SRX3713113
Melanoma,B16,parental,GSE110708,GSM3014870,0,IFNb,IFNb; gRNA_control;,WT,SRX3713114,SRX3713114
Melanoma,B16,parental,GSE110708,GSM3014871,1,NA,gRNA_control;,WT,SRX3713115,SRX3713115
Melanoma,B16,parental,GSE110708,GSM3014872,1,NA,gRNA_control;,WT,SRX3713116,SRX3713116
Melanoma,B16,parental,GSE110708,GSM3014873,1,NA,gRNA_control;,WT,SRX3713117,SRX3713117
Mammary carcinoma,4T1,parental,GSE110770,GSM3016433,1,NA,no_treatment,WT,SRX3720537,SRX3720537
Mammary carcinoma,4T1,parental,GSE110912,GSM3018726,1,NA,no_treatment,WT,SRX3729614,SRX3729614
Mammary carcinoma,4T1,parental,GSE110912,GSM3018728,1,NA,no_treatment,WT,SRX3729615,SRX3729615
Mammary carcinoma,4T1,parental,GSE110912,GSM3018733,1,NA,no_treatment,WT,SRX3729616,SRX3729616
Mammary carcinoma,4T1,parental,GSE110912,GSM3018738,0,TGFb1,TGFb1,WT,SRX3729617,SRX3729617
Mammary carcinoma,4T1,parental,GSE110912,GSM3018741,0,TGFb1,TGFb1,WT,SRX3729618,SRX3729618
Mammary carcinoma,4T1,parental,GSE110912,GSM3018744,0,TGFb1,TGFb1,WT,SRX3729619,SRX3729619
T-cell lymphoma,EL4,parental,GSE111092,GSM3022105,1,NA,no_treatment,WT,SRX3741359,SRX3741359
Colorectal carcinoma,CT26,parental,GSE111092,GSM3022106,1,NA,no_treatment,WT,SRX3741360,SRX3741360
Teratocarcinoma,F9,parental,GSE111145,GSM3024019,1,NA,sh_control,WT,SRX3744085,SRX3744085
Teratocarcinoma,F9,parental,GSE111145,GSM3024023,1,NA,no_treatment,WT,SRX3744089,SRX3744089
Ovarian carcinoma,ID8,ID8-P0,GSE111630,GSM3035973,1,NA,no_treatment,WT,SRX3778517,SRX3778517
Ovarian carcinoma,ID8,ID8-P0,GSE111630,GSM3035974,1,NA,no_treatment,WT,SRX3778518,SRX3778518
Ovarian carcinoma,ID8,ID8-PW2,GSE111630,GSM3035975,1,NA,no_treatment,WT,SRX3778519,SRX3778519
Ovarian carcinoma,ID8,ID8-PW2,GSE111630,GSM3035976,1,NA,no_treatment,WT,SRX3778520,SRX3778520
Mammary carcinoma,4T1,parental,GSE112038,GSM3053708,1,NA,no_treatment,WT,SRX3817297,SRX3817297
Mammary carcinoma,4T1,parental,GSE112038,GSM3053709,1,NA,no_treatment,WT,SRX3817298,SRX3817298
Mammary carcinoma,4T1,parental,GSE112038,GSM3053710,1,NA,no_treatment,WT,SRX3817299,SRX3817299
Mammary carcinoma,4T1,parental,GSE112038,GSM3053711,1,NA,no_treatment,WT,SRX3817300,SRX3817300
Mammary carcinoma,4T1,parental,GSE112038,GSM3053712,1,NA,no_treatment,WT,SRX3817301,SRX3817301
Mammary carcinoma,4T1,parental,GSE112038,GSM3053713,1,NA,no_treatment,WT,SRX3817302,SRX3817302
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062957,1,NA,gRNA_control;,WT,SRX3837126,SRX3837126
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062958,1,NA,gRNA_control;,WT,SRX3837127,SRX3837127
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062959,1,NA,gRNA_control;,WT,SRX3837128,SRX3837128
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062960,1,NA,gRNA_control;,WT,SRX3837129,SRX3837129
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062965,0,TNFa,gRNA_control; TNFa;,WT,SRX3837134,SRX3837134
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062966,0,TNFa,gRNA_control; TNFa;,WT,SRX3837135,SRX3837135
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062967,0,TNFa,gRNA_control; TNFa;,WT,SRX3837136,SRX3837136
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062968,0,TNFa,gRNA_control; TNFa;,WT,SRX3837137,SRX3837137
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062973,0,TNFa,gRNA_control; TNFa;,WT,SRX3837142,SRX3837142
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062974,0,TNFa,gRNA_control; TNFa;,WT,SRX3837143,SRX3837143
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062975,0,TNFa,gRNA_control; TNFa;,WT,SRX3837144,SRX3837144
Colorectal carcinoma,MC38,parental,GSE112251,GSM3062976,0,TNFa,gRNA_control; TNFa;,WT,SRX3837145,SRX3837145
Colorectal carcinoma,MC38,parental,GSE112252,GSM3062986,0,TNFa,TNFa,OVA,SRX3837155,SRX3837155
Colorectal carcinoma,MC38,parental,GSE112252,GSM3062988,0,TNFa,TNFa,OVA,SRX3837157,SRX3837157
Colorectal carcinoma,MC38,parental,GSE112252,GSM3062990,0,IFNg,IFNg,OVA,SRX3837159,SRX3837159
Colorectal carcinoma,MC38,parental,GSE112252,GSM3062992,0,IFNg,IFNg,OVA,SRX3837161,SRX3837161
Colorectal carcinoma,MC38,parental,GSE112252,GSM3062994,0,IFNg_TNFa,IFNg; TNFa,OVA,SRX3837163,SRX3837163
Colorectal carcinoma,MC38,parental,GSE112252,GSM3062996,0,IFNg_TNFa,IFNg; TNFa,OVA,SRX3837165,SRX3837165
Colorectal carcinoma,CT26,parental,GSE53001,GSM1280019,1,NA,no_treatment,WT,SRX387240,SRX387240
Colorectal carcinoma,CT26,parental,GSE53001,GSM1280020,1,NA,no_treatment,WT,SRX387241,SRX387241
Bladder carcinoma,BBN963,parental,GSE112973,GSM3092553,1,NA,no_treatment,WT,SRX3923614,SRX3923614
Bladder carcinoma,MB49,parental,GSE112973,GSM3092557,1,NA,no_treatment,WT,SRX3923618,SRX3923618
Bladder carcinoma,UPPL1541,parental,GSE112973,GSM3092558,1,NA,no_treatment,WT,SRX3923619,SRX3923619
Mammary carcinoma,4T1,parental,GSE115232,GSM3171729,1,NA,no_treatment,WT,SRX4153899,SRX4153899
Mammary carcinoma,4T1,parental,GSE115232,GSM3171730,1,NA,no_treatment,WT,SRX4153900,SRX4153900
Melanoma,B16,B16F10,GSE117074,GSM3270750,1,NA,vehicle,WT,SRX4388748,SRX4388748
Melanoma,B16,B16F10,GSE117074,GSM3270752,1,NA,vehicle,WT,SRX4388749,SRX4388749
Melanoma,B16,B16F10,GSE117074,GSM3270754,1,NA,vehicle,WT,SRX4388750,SRX4388750
Melanoma,B16,B16F10,GSE119673,GSM3380679,1,NA,no_treatment,WT,SRX4659167,SRX4659167
Melanoma,B16,B16F10,GSE119673,GSM3380680,1,NA,no_treatment,WT,SRX4659168,SRX4659168
Mammary carcinoma,4T1,parental,GSE85353,GSM3385923,1,NA,vehicle,WT,SRX4673491,SRX4673491
Mammary carcinoma,4T1,parental,GSE85353,GSM3385924,1,NA,vehicle,WT,SRX4673492,SRX4673492
Mammary carcinoma,4T1,parental,GSE85353,GSM3385925,1,NA,vehicle,WT,SRX4673493,SRX4673493
Mammary carcinoma,4T1,parental,GSE85353,GSM3385926,1,NA,vehicle,WT,SRX4673494,SRX4673494
Mammary carcinoma,4T1,parental,GSE85353,GSM3385927,1,NA,vehicle,WT,SRX4673495,SRX4673495
Mammary carcinoma,4T1,parental,GSE85353,GSM3385928,1,NA,vehicle,WT,SRX4673496,SRX4673496
Mammary carcinoma,4T1,parental,GSE85353,GSM3385947,1,NA,vehicle,WT,SRX4673515,SRX4673515
Mammary carcinoma,4T1,parental,GSE85353,GSM3385948,1,NA,vehicle,WT,SRX4673516,SRX4673516
Mammary carcinoma,4T1,parental,GSE85353,GSM3385949,1,NA,vehicle,WT,SRX4673517,SRX4673517
Mammary carcinoma,4T1,parental,GSE85353,GSM3385950,1,NA,vehicle,WT,SRX4673518,SRX4673518
Mammary carcinoma,4T1,parental,GSE85353,GSM3385951,1,NA,vehicle,WT,SRX4673519,SRX4673519
Mammary carcinoma,4T1,parental,GSE85353,GSM3385952,1,NA,vehicle,WT,SRX4673520,SRX4673520
Mammary carcinoma,4T1,parental,GSE85353,GSM3385953,1,NA,vehicle,WT,SRX4673521,SRX4673521
Mammary carcinoma,4T1,parental,GSE85353,GSM3385954,1,NA,vehicle,WT,SRX4673522,SRX4673522
Mammary carcinoma,4T1,parental,GSE85353,GSM3385955,1,NA,vehicle,WT,SRX4673523,SRX4673523
Mammary carcinoma,4T1,parental,GSE85353,GSM3385956,1,NA,vehicle,WT,SRX4673524,SRX4673524
Mammary carcinoma,4T1,parental,GSE85353,GSM3385957,1,NA,vehicle,WT,SRX4673525,SRX4673525
Mammary carcinoma,4T1,parental,GSE85353,GSM3385958,1,NA,vehicle,WT,SRX4673526,SRX4673526
Mammary carcinoma,4T1,parental,GSE122378,GSM3465262,1,NA,gRNA_control,WT,SRX4999350,SRX4999350
Mammary carcinoma,4T1,parental,GSE122378,GSM3465263,1,NA,gRNA_control,WT,SRX4999351,SRX4999351
Mammary carcinoma,4T1,parental,GSE122378,GSM3465264,1,NA,gRNA_control,WT,SRX4999352,SRX4999352
Melanoma,B16,parental,GSE122789,GSM3485413,1,NA,no_treatment,WT,SRX5043410,SRX5043410
Melanoma,B16,B16BL6,GSE122789,GSM3485414,1,NA,no_treatment,WT,SRX5043411,SRX5043411
"Mammary cancer, NOS",KPB25L,parental,GSE124821,GSM3554678,1,NA,no_treatment,WT,SRX5100661,SRX5100661
"Mammary cancer, NOS",T11,parental,GSE124821,GSM3554846,1,NA,no_treatment,WT,SRX5100678,SRX5100678
"Mammary cancer, NOS",T11,parental,GSE124821,GSM3554948,1,NA,no_treatment,WT,SRX5100679,SRX5100679
