pitch,min_tumor,min_fov_cells,min_bins,kernel,feature,target,r2_krt,r2_full,delta,median_delta,score,n_pos,n_sections,best_section,best_section_delta,n_bins
160,8,400,1,gauss80,mean_q4,nk_frac,0.13212782886050267,0.25526918606115123,0.12314135720064856,0.11106785538636971,0.11106785538636971,7,8,LUAD-5 R3,0.21854642984671824,4998
300,8,0,1,gauss80,mean_p90,nk_frac,0.16792589789780232,0.3062607121401082,0.13833481424230587,0.11094040005654277,0.11094040005654277,7,8,LUAD-5 R3,0.23817847718659402,2218
300,8,400,1,gauss80,mean_p90,nk_frac,0.16792589789780232,0.3062607121401082,0.13833481424230587,0.11094040005654277,0.11094040005654277,7,8,LUAD-5 R3,0.23817847718659402,2218
400,8,0,1,bin,mean_p75,nk_frac,0.1257417923315558,0.26263863079765626,0.13689683846610046,0.11036550139099827,0.11036550139099827,6,8,LUAD-5 R3,0.30466532331456175,1514
400,8,400,1,bin,mean_p75,nk_frac,0.1257417923315558,0.26263863079765626,0.13689683846610046,0.11036550139099827,0.11036550139099827,6,8,LUAD-5 R3,0.30466532331456175,1514
300,15,0,1,gauss160,mean,nk_frac,0.13782574236580325,0.31585543386761017,0.17802969150180692,0.109580024021187,0.109580024021187,7,8,LUAD-5 R3,0.46535451720735743,2010
300,15,400,1,gauss160,mean,nk_frac,0.13782574236580325,0.31585543386761017,0.17802969150180692,0.109580024021187,0.109580024021187,7,8,LUAD-5 R3,0.46535451720735743,2010
400,8,0,1,gauss160,mean_p80,nk_frac,0.1817700832674609,0.3944529379322883,0.2126828546648274,0.10921630017970202,0.10921630017970202,5,8,LUAD-5 R3,0.5091121404817136,1514
400,8,400,1,gauss160,mean_p80,nk_frac,0.1817700832674609,0.3944529379322883,0.2126828546648274,0.10921630017970202,0.10921630017970202,5,8,LUAD-5 R3,0.5091121404817136,1514
220,8,0,1,bin,mean_p80,nk_frac,0.08023372320556288,0.19406340791859078,0.1138296847130279,0.10905742146769465,0.10905742146769465,7,8,LUAD-5 R3,0.23446120397198233,2921
220,8,400,1,bin,mean_p80,nk_frac,0.08023372320556288,0.19406340791859078,0.1138296847130279,0.10905742146769465,0.10905742146769465,7,8,LUAD-5 R3,0.23446120397198233,2921
400,15,0,4,gauss80,mean_p75,nk_frac,0.13462467763989983,0.2572883455200222,0.1226636678801224,0.10875107818588048,0.10875107818588048,6,8,LUAD-9 R2,0.15652126331197413,1410
400,15,400,4,gauss80,mean_p75,nk_frac,0.13462467763989983,0.2572883455200222,0.1226636678801224,0.10875107818588048,0.10875107818588048,6,8,LUAD-9 R2,0.15652126331197413,1410
300,8,0,1,gauss80,mean_p75_q4,nk_frac,0.16792589789780232,0.2954760647533099,0.12755016685550757,0.10851002822428951,0.10851002822428951,5,8,LUAD-5 R3,0.2293960725328824,2218
300,8,400,1,gauss80,mean_p75_q4,nk_frac,0.16792589789780232,0.2954760647533099,0.12755016685550757,0.10851002822428951,0.10851002822428951,5,8,LUAD-5 R3,0.2293960725328824,2218
300,15,0,1,gauss160,mean_p80,nk_frac,0.13782574236580325,0.3159642503343808,0.17813850796857755,0.10751513163316617,0.10751513163316617,6,8,LUAD-5 R3,0.4474382628659249,2010
300,15,400,1,gauss160,mean_p80,nk_frac,0.13782574236580325,0.3159642503343808,0.17813850796857755,0.10751513163316617,0.10751513163316617,6,8,LUAD-5 R3,0.4474382628659249,2010
300,8,0,4,gauss80,mean_p80,nk_frac,0.16778780005497984,0.29641258240854207,0.12862478235356223,0.10740145843797672,0.10740145843797672,6,8,LUAD-5 R3,0.2200970132478809,2218
300,8,400,4,gauss80,mean_p80,nk_frac,0.16778780005497984,0.29641258240854207,0.12862478235356223,0.10740145843797672,0.10740145843797672,6,8,LUAD-5 R3,0.2200970132478809,2218
220,8,0,1,gauss80,mean,nk_frac,0.11893333588289157,0.26273155456737407,0.1437982186844825,0.10738312368160208,0.10738312368160208,7,8,LUAD-5 R3,0.30551645156321705,2921
220,8,400,1,gauss80,mean,nk_frac,0.11893333588289157,0.26273155456737407,0.1437982186844825,0.10738312368160208,0.10738312368160208,7,8,LUAD-5 R3,0.30551645156321705,2921
220,8,0,4,gauss80,mean_p75,nk_frac,0.12302218875034143,0.26852603521946816,0.14550384646912673,0.10730319049077086,0.10730319049077086,7,8,LUAD-5 R3,0.2826263546077523,2921
220,8,400,4,gauss80,mean_p75,nk_frac,0.12302218875034143,0.26852603521946816,0.14550384646912673,0.10730319049077086,0.10730319049077086,7,8,LUAD-5 R3,0.2826263546077523,2921
160,8,0,1,gauss80,mean_p75,nk_frac,0.13212782886050267,0.260363389481442,0.12823556062093933,0.10714524795764113,0.10714524795764113,7,8,LUAD-5 R3,0.21797012476668143,4998
160,8,400,1,gauss80,mean_p75,nk_frac,0.13212782886050267,0.260363389481442,0.12823556062093933,0.10714524795764113,0.10714524795764113,7,8,LUAD-5 R3,0.21797012476668143,4998
220,8,0,4,gauss80,mean_p80,nk_frac,0.12302218875034143,0.26889710450487636,0.14587491575453493,0.10695774431940475,0.10695774431940475,7,8,LUAD-5 R3,0.2808262474708767,2921
220,8,400,4,gauss80,mean_p80,nk_frac,0.12302218875034143,0.26889710450487636,0.14587491575453493,0.10695774431940475,0.10695774431940475,7,8,LUAD-5 R3,0.2808262474708767,2921
160,8,0,4,gauss80,mean_p75_q4,nk_frac,0.13243753799680402,0.2595356670367288,0.1270981290399248,0.10656976227495707,0.10656976227495707,6,8,LUAD-5 R3,0.1774897486904522,4998
160,8,400,4,gauss80,mean_p75_q4,nk_frac,0.13243753799680402,0.2595356670367288,0.1270981290399248,0.10656976227495707,0.10656976227495707,6,8,LUAD-5 R3,0.1774897486904522,4998
160,15,0,1,gauss80,mean_p75_q4,nk_frac,0.13371455835293455,0.2657208916955657,0.13200633334263112,0.10641324325435653,0.10641324325435653,7,8,LUAD-9 R2,0.1648016303683123,4343
160,15,400,1,gauss80,mean_p75_q4,nk_frac,0.13371455835293455,0.2657208916955657,0.13200633334263112,0.10641324325435653,0.10641324325435653,7,8,LUAD-9 R2,0.1648016303683123,4343
400,8,0,1,gauss80,mean_p90,nk_frac,0.1716737162084152,0.31835754080701306,0.14668382459859786,0.10636718106627868,0.10636718106627868,6,8,LUAD-5 R3,0.27030109650186884,1514
400,8,400,1,gauss80,mean_p90,nk_frac,0.1716737162084152,0.31835754080701306,0.14668382459859786,0.10636718106627868,0.10636718106627868,6,8,LUAD-5 R3,0.27030109650186884,1514
400,8,0,4,bin,mean_p80,nk_frac,0.11286900843444436,0.24602535491511746,0.1331563464806731,0.10557886559336543,0.10557886559336543,5,8,LUAD-5 R3,0.3223842451490079,1514
400,8,400,4,bin,mean_p80,nk_frac,0.11286900843444436,0.24602535491511746,0.1331563464806731,0.10557886559336543,0.10557886559336543,5,8,LUAD-5 R3,0.3223842451490079,1514
400,8,0,1,gauss80,mean_p80,nk_frac,0.1716737162084152,0.31041226488715,0.1387385486787348,0.10551586984614802,0.10551586984614802,6,8,LUAD-5 R3,0.2431669152851772,1514
400,8,400,1,gauss80,mean_p80,nk_frac,0.1716737162084152,0.31041226488715,0.1387385486787348,0.10551586984614802,0.10551586984614802,6,8,LUAD-5 R3,0.2431669152851772,1514
160,8,0,1,gauss80,mean_p80,nk_frac,0.13212782886050267,0.26085870116299403,0.12873087230249136,0.10549649823185936,0.10549649823185936,7,8,LUAD-5 R3,0.21572363012349605,4998
160,8,400,1,gauss80,mean_p80,nk_frac,0.13212782886050267,0.26085870116299403,0.12873087230249136,0.10549649823185936,0.10549649823185936,7,8,LUAD-5 R3,0.21572363012349605,4998
400,15,0,4,gauss80,mean_p80,nk_frac,0.13462467763989983,0.25874828557212515,0.12412360793222532,0.1053346098389275,0.1053346098389275,6,8,LUAD-9 R2,0.1565301175780608,1410
400,15,400,4,gauss80,mean_p80,nk_frac,0.13462467763989983,0.25874828557212515,0.12412360793222532,0.1053346098389275,0.1053346098389275,6,8,LUAD-9 R2,0.1565301175780608,1410
160,15,0,1,gauss80,mean_q4,nk_frac,0.13371455835293455,0.25366261325508954,0.11994805490215499,0.10524591437826247,0.10524591437826247,7,8,LUAD-5 R1,0.16633885838210372,4343
160,15,400,1,gauss80,mean_q4,nk_frac,0.13371455835293455,0.25366261325508954,0.11994805490215499,0.10524591437826247,0.10524591437826247,7,8,LUAD-5 R1,0.16633885838210372,4343
300,15,0,1,gauss160,mean_p75_q4,nk_frac,0.13782574236580325,0.30962037498375206,0.1717946326179488,0.10458362918530634,0.10458362918530634,7,8,LUAD-5 R3,0.4415506673810453,2010
300,15,400,1,gauss160,mean_p75_q4,nk_frac,0.13782574236580325,0.30962037498375206,0.1717946326179488,0.10458362918530634,0.10458362918530634,7,8,LUAD-5 R3,0.4415506673810453,2010
300,8,0,4,gauss80,mean_p75_q4,nk_frac,0.16778780005497984,0.29256893421348074,0.1247811341585009,0.1043999648180407,0.1043999648180407,5,8,LUAD-5 R3,0.21091700203037922,2218
300,8,400,4,gauss80,mean_p75_q4,nk_frac,0.16778780005497984,0.29256893421348074,0.1247811341585009,0.1043999648180407,0.1043999648180407,5,8,LUAD-5 R3,0.21091700203037922,2218
400,8,0,1,gauss80,mean_p75_q4,nk_frac,0.1716737162084152,0.3206376669005061,0.1489639506920909,0.10392106336464368,0.10392106336464368,6,8,LUAD-5 R3,0.27715027581004326,1514
400,8,400,1,gauss80,mean_p75_q4,nk_frac,0.1716737162084152,0.3206376669005061,0.1489639506920909,0.10392106336464368,0.10392106336464368,6,8,LUAD-5 R3,0.27715027581004326,1514
