contrast	tissue	adc_monotherapy	n_treat	n_control	paired	transform	expr_kind	gene_sets	ifn_set	apm_set	nhej_set	summary	n_ifn_genes	n_apm_genes	n_nhej_genes	CLDN4_log2FC	CLDN4_welch_p	CLDN4_paired_p	IFN_summary	APM_summary	NHEJ_summary	IFN_sample_welch_p	APM_sample_welch_p	NHEJ_sample_welch_p	signed_score	sign_hit_CLDN4down_sets_up	primary_row	pass_sign	pass_moderate_CLDN4lt-0.25_sets_gt0	pass_strict_CLDN4lt-0.5_sets_gt0.25
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	1.35548	7.2652e-05	NA	0.07684	0.238109	-0.693736	0.0148848	0.00198008	5.20899e-05	-1.73427	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	1.35548	7.2652e-05	NA	0.0823089	0.247804	-0.631271	0.0148848	0.00198008	5.20899e-05	-1.65664	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	1.35548	7.2652e-05	NA	0.00133637	0.101045	-0.180411	0.000385902	0.00013423	0.00102047	-1.43351	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	1.35548	7.2652e-05	NA	0.0425895	0.172078	-0.279844	0.000385902	0.00013423	0.00102047	-1.42066	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	1.36616	7.01222e-05	NA	0	0.105168	-0.2563	0.170331	0.000182115	0.000739334	-1.51729	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	1.36616	7.01222e-05	NA	0.0424203	0.185517	-0.329263	0.170331	0.000182115	0.000739334	-1.46749	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	1.36616	7.01222e-05	NA	0.190146	0.261044	-0.704024	0.0609702	0.0049999	0.0049893	-1.61899	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	1.36616	7.01222e-05	NA	0.121899	0.286214	-0.654518	0.0609702	0.0049999	0.0049893	-1.61256	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	1.36616	7.01222e-05	NA	0.0113932	0.105168	-0.2563	0.00596612	0.000182115	0.000739334	-1.5059	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	1.36616	7.01222e-05	NA	0.0751376	0.185517	-0.329263	0.00596612	0.000182115	0.000739334	-1.43477	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+1)	CPM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	182	29	34	-0.345166	0.062624	NA	-0.0337449	-0.144787	0.056595	0.76606	0.273824	0.533069	0.223229	no	yes	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+1)	CPM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	182	29	34	-0.345166	0.062624	NA	-0.0322409	-0.13564	0.0435071	0.76606	0.273824	0.533069	0.220792	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+1)	CPM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.345166	0.062624	NA	-0.013165	-0.00195898	0.056595	0.968156	0.767939	0.180533	0.386637	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+1)	CPM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.345166	0.062624	NA	0.00638541	-0.0403178	0.0870602	0.968156	0.767939	0.180533	0.398293	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+1)	CPM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	88	29	34	-0.345166	0.062624	NA	-0.0737049	-0.144787	0.056595	0.502362	0.273824	0.533069	0.183269	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+1)	CPM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	88	29	34	-0.345166	0.062624	NA	-0.0690493	-0.13564	0.0435071	0.502362	0.273824	0.533069	0.183984	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+0.1)	CPM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	182	29	34	-0.345888	0.0625669	NA	-0.0429406	-0.146665	0.0585665	0.879174	0.289211	0.519431	0.214849	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+0.1)	CPM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	182	29	34	-0.345888	0.0625669	NA	-0.0182241	-0.136955	0.0465971	0.879174	0.289211	0.519431	0.237306	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+0.1)	CPM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.345888	0.0625669	NA	-0.0131226	-0.0017939	0.05966	0.862451	0.768847	0.165535	0.390632	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+0.1)	CPM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.345888	0.0625669	NA	0.0295524	-0.0410154	0.092173	0.862451	0.768847	0.165535	0.426598	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+0.1)	CPM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	88	29	34	-0.345888	0.0625669	NA	-0.0982016	-0.146665	0.0585665	0.621609	0.289211	0.519431	0.159588	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(CPM+0.1)	CPM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	88	29	34	-0.345888	0.0625669	NA	-0.062468	-0.136955	0.0465971	0.621609	0.289211	0.519431	0.193063	no	no	no	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	182	29	34	-0.149104	0.645104	NA	0.144049	0.0499067	0.255078	0.48172	0.785577	0.290874	0.598138	yes	no	yes	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	182	29	34	-0.149104	0.645104	NA	0.170745	0.059275	0.243031	0.48172	0.785577	0.290874	0.622155	yes	no	yes	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.149104	0.645104	NA	0.182492	0.194967	0.255966	0.310991	0.546863	0.272477	0.782528	yes	no	yes	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.149104	0.645104	NA	0.22323	0.155467	0.288634	0.310991	0.546863	0.272477	0.816435	yes	no	yes	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	88	29	34	-0.149104	0.645104	NA	0.0948299	0.0499067	0.255078	0.652425	0.785577	0.290874	0.548919	yes	no	yes	no	no
E-MTAB-16433_SG_vs_vehicle	CRC PDOX HD42466, 28 d, mouse pseudobulk	yes	4	4	no	log2(count+1)	count	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	88	29	34	-0.149104	0.645104	NA	0.116584	0.059275	0.243031	0.652425	0.785577	0.290874	0.567994	yes	no	yes	no	no
