accession	uid	taxon	n_samples	pdat	gpl	suppfile	ftplink	title	summary
GSE65041	200065041	Homo sapiens	11	2015/05/01	14951	PDF, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65041/	Expression data in PD-L1 positive and PD-L1 negative human melanoma samples	Blocking the PD-1/PD-L1 immunosuppressive pathway has shown promise in the treatment of certain cancers including melanoma. This study investigates differences in the gene expression profiles of human melanomas that do or do not display the immunosuppressive protein PD-L1. Further understanding of genes expressed within the tumor microenvironment of PD-L1+ tumors may lead to improved rationally designed treatments.
GSE67501	200067501	Homo sapiens	11	2016/08/04	14951	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67501/	Expression data in human renal cell carcinoma samples from patients who did or did not respond to anti-PD-1 (Nivolumab) immunotherapy	Pre-treatment tumor expression of PD-L1 has been shown to correlate with favorable clinical outcomes following PD-1 blocking therapies. However, the majority of patients with PD-L1+ tumors do not respond to treatment. With the goal of obtaining insights into the mechanisms underlying the response to anti-PD-1 targeted therapies in patients with renal cell carcinoma (RCC) with positive tumor expression of PD-L1, microarray expression data was obtained for pre-treatment tumors from patients with RCC who did or did not have a positive response to anti-PD-1 (nivolumab) therapy. Insight into these mechanisms may lead to improved rationally designed therapies, and biomarkers for selecting patients who are more likely to benefit from these treatments.
GSE72094	200072094	Homo sapiens	442	2015/10/21	15048	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72094/	KRAS mutation-associated gene expression, p53 and STK11 mutations, proliferation and immune surveillance in lung adenocarcinoma	While mutations in the KRAS oncogene are amongst the most prevalent in human cancer, there are few successful treatments to target these tumors. It is also likely that heterogeneity in KRAS-mutant tumor biology significantly contributes to the response to therapy. We hypothesized that presence of commonly co-occurring mutations in STK11 and TP53 tumor suppressors may represent a significant source of heterogeneity in KRAS-mutant tumors.  To address this, we utilized a large cohort of resected tumors from 442 lung adenocarcinoma patients with data including annotation of prevalent driver mutations (KRAS, EGFR) and tumor suppressor mutations (STK11 and TP53), microarray-based gene expression and clinical covariates including overall survival (OS). Specifically, we determined impact of STK11 and TP53 mutations on a new KRAS mutation-associated gene expression signature as well as previously defined signatures of tumor cell proliferation and immune surveillance responses. Interestingly, STK11, but not TP53 mutations, were associated with highly elevated expression of KRAS mutation-associated genes. Mutations in TP53 and STK11 also impacted tumor biology regardless of KRAS status, with TP53 strongly associated with enhanced proliferation and STK11 with suppression of immune surveillance. These findings illustrate the remarkably distinct ways through which tumor suppressor mutations may contribute to heterogeneity in KRAS-mutant tumor biology. In addition, these studies point to novel associations between gene mutations and immune surveillance that could impact the response to immunotherapy.
GSE76340	200076340	Homo sapiens	166	2016/09/01	6947;10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76340/	Gene expression analysis of hematological malignancies and healthy (non-)hematopoietic cell types	Cellular immunotherapy has proven to be effective in the treatment of hematological cancers by donor lymphocyte infusion after allogeneic hematopoietic stem cell transplantation and more recently by targeted therapy with chimeric antigen or T-cell receptor-engineered T-cells. However, dependent on the tissue distribution of the antigens that are targeted, anti-tumor responses can be accompanied by undesired side effects. Therefore, detailed tissue distribution analysis is essential to estimate efficacy and toxicity of candidate targets for immunotherapy of hematological malignancies. In this study, we performed microarray gene expression analysis of hematological malignancies of different origins, healthy hematopoietic cells and various non-hematopoietic cell types from organs that are often targeted in detrimental immune responses after allogeneic stem cell transplantation leading to graft-versus-host disease. Non-hematopoietic cells were also cultured in the presence of IFN-γ to analyze gene expression under inflammatory circumstances. Gene expression was investigated by Illumina HT12.0 microarrays and quality control analysis was performed to confirm the cell-type origin and exclude contamination of non-hematopoietic cell samples with peripheral blood cells. Microarray data were validated by quantitative RT-PCR showing strong correlation between both platforms. Detailed gene expression profiles were generated for various minor histocompatibility antigens and B-cell surface antigens to illustrate the value of the microarray dataset to estimate efficacy and toxicity of candidate targets for immunotherapy. In conclusion, our microarray database provides a relevant platform to analyze and select candidate antigens with hematopoietic (lineage)-restricted expression as potential targets for immunotherapy of hematological cancers. Microarray gene expression analysis was performed on hematological malignancies of different origins and their healthy hematopoietic counterparts as well as on healthy non-hematopoietic cell types from organs that are often targeted in Graft-versus-Host Disease (166 samples in total). Various non-hematopoietic cell types were cultured in the presence of IFN-γ or T-cell culture supernatant to allow gene expression analysis under inflammatory conditions. Malignant and healthy hematopoietic cells were isolated by flow cytometry based on expression of specific surface markers and healthy non-hematopoietic cell types were isolated or cultured from tissue biopsies or surgically removed specimen. Various non-hematopoietic cell types were in vitro cultured for 4 days in the presence of IFN-γ or T-cell culture supernatant to mimic inflammation. The dataset allows comparison of gene expression between hematological malignancies and healthy non-hematopoietic cell types to estimate efficacy and toxicity of immunotherapeutic targets for hematological malignancies.
GSE76356	200076356	Mus musculus	7	2016/06/13	17021	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76356/	DICER controls macrophage polarization and tumor response to immunotherapy	Tumor-associated macrophages (TAMs) have immunosuppressive capacity in mouse models of cancer. Here we show that the genetic deletion of the microRNA (miRNA)-processing enzyme DICER in TAMs broadly programs them to a CD11c+MRC1−/low M1-like immunostimulatory phenotype characterized by activated interferon-γ (IFN-γ)/STAT1/IRF signaling. M1-like TAM programming fostered the recruitment of cytotoxic T-cells (CTLs), including tumor-antigen-specific CTLs, inhibited tumor growth, and enhanced the efficacy of PD1 checkpoint blockade. Bioinformatics analysis of TAM transcriptomes identified a limited set of miRNAs putatively involved in TAM programming. Re-expression of Let-7 in Dicer-deficient TAMs was sufficient to partly rescue the M2-like (protumoral) TAM phenotype and abate tumor CTL infiltration. Targeted suppression of DICER activity in TAMs may, therefore, stimulate antitumor immunity and enhance the efficacy of cancer immunotherapy.
GSE78220	200078220	Homo sapiens	28	2016/03/18	11154	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78220/	mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy	PD-1 immune checkpoint blockade provides significant clinical benefits for cancer patients. However, factors influencing innate sensitivity remain incompletely catalogued. We analyzed the somatic mutanomes and transcriptomes of pretreatment melanoma biopsies. Mutations in cell adhesion genes and the DNA repair gene BRCA2 were enriched in responding tumors, and a high mutational load associated with improved survival. Innately resistant tumors displayed frequent transcriptomic up-expression of genes that enriched for mesenchymal transition, cell adhesion, ECM organization, wound-healing and angiogenesis. The transcriptomes of innate resistance also enriched for signatures indicating up-regulation of these processes. Notably, MAPK-targeted therapy (MAPKi) induced similar signatures in melanoma, suggesting that a form of MAPKi resistance mediates cross-resistance to anti-PD-1 therapy. Co-enrichment of IPRIM (Innate anti-PD-1 Resistance Induced by MAPKi) signatures defined a transcriptomic subset across advanced cancers, suggesting that attenuating processes underlying these signatures may augment anti-PD1 responses. Thus, multi-factorial determinants influence anti-PD-1 patterns in melanoma.
GSE81089	200081089	Homo sapiens	218	2016/06/01	16791	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81089/	Next Generation Sequencing (RNAseq) of non-small cell lung cancer	Cancer testis antigens (CTAs) are of clinical interest as biomarkers and present valuable targets for immunotherapy. To comprehensively characterize the CTA landscape of non-small cell lung cancer (NSCLC), we compared RNAseq data of 199 NSCLC tissues to the normal transcriptome of 142 samples from 32 different normal organs. Of 232 CTAs currently annotated in the CTdatabase, 96 were confirmed in NSCLC. To obtain an unbiased CTA profile of NSCLC, we applied stringent criteria on our RNAseq data set and defined 90 genes as CTAs, of which 55 genes were not annotated in the CTdatabase. Cluster  analysis revealed that CTA expression is histology-dependent and concurrent expression is common. Immunohistochemistry confirmed tissue specific protein expression of selected genes. Furthermore, methylation was identified as a regulatory mechanism of CTA expression based on independent data from the Cancer Genome Atlas. The proposed prognostic impact of CTAs in lung cancer, was not confirmed, neither in our RNAseq-cohort nor in an independent meta-analysis of 1117 NSCLC cases.
GSE81258	200081258	Homo sapiens; Mus musculus	91	2016/05/10	17021;16417;16791		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81258/	Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility	This SuperSeries is composed of the SubSeries listed below.
GSE84789	200084789	Homo sapiens	192	2016/10/11	11154	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84789/	Single-cell profiling of non small cell lung cancer associated B-cells.	Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking.  Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited.    Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC).    Results:  Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers.  The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC.  There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster.  Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10.    Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer.   Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking.  Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited.    Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC).    Results:  Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers.  The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC.  There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster.  Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10.    Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer.
GSE84797	200084797	Homo sapiens	29	2016/10/11	19965	RCC	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84797/	Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]	Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking.  Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited.    Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC).    Results:  Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers.  The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC.  There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster.  Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10.    Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer.   Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking.  Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited.    Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC).    Results:  Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers.  The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC.  There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster.  Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10.    Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer. 29 NSCLC cases analyzed wth Nanostring human PanCancer immune module
GSE85044	200085044	Mus musculus	16	2017/01/01	6246	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85044/	Specific myelomonocytic cells heavily infiltrate orthotopic lung tumors and display a hypoxia-driven micro-RNA expression signature that directs tumor-supporting functions and negatively impacts on clinical outcome	Targeting immunomodulatory pathways has ushered a new era in lung cancer therapy. Further progress requires deeper insights into the nature and dynamics of immune cells in the lung cancer micro-environment.  Dendritic cells (DCs) represent a heterogenous and highly plastic immune cell system with a central role in controlling immune responses. The intratumoral infiltration and activation status of DCs emerge as clinically relevant parameters in lung cancer.  In this study we used an orthotopic preclinical model of lung cancer to interrogate the transcriptome of lung tumor-infiltrating DCs and extract novel biologically and clinically relevant information.  Lung tumor-infiltrating leukocytes expressing generic DC markers were found to predominantly consist of CD11b+ cells which, compared to peritumoral lung DC counterparts, strongly over-express the T cell inhibitory molecule PD-L1 and acquire classic markers of tumor-supporting macrophages (TAM) on their surface. Transcriptome analysis of these CD11b+ tumor-infiltrating DCs (TIDCs) indicates impaired anti-tumoral immunogenicity, confirms the skewing towards TAM-related features, and indicates exposure to a hypoxic environment. In paralled, TIDCs display a specific micro-RNA signature dominated by the prototypical lung cancer oncomir miR-31. Hypoxia was found to drive intrinsic miR-31 expression in CD11b+DCs. Conditioned medium of mir-31-overexpressing CD11b+DCs induces pro-invasive lung cancer cell shape changes and is enriched with the pro-metastatic factors S100A8 and S100A9. Finally, analysis of TCGA datasets reveals that the TIDC-associated miRNA signature has a negative prognostic impact in non-small cell lung cancer.  Together, these data suggest a novel mechanism through which lung cancer co-opts the plasticity of the DC system to support tumoral progression.  Targeting immunomodulatory pathways has ushered a new era in lung cancer therapy. Further progress requires deeper insights into the nature and dynamics of immune cells in the lung cancer micro-environment.  Dendritic cells (DCs) represent a heterogenous and highly plastic immune cell system with a central role in controlling immune responses. The intratumoral infiltration and activation status of DCs emerge as clinically relevant parameters in lung cancer.  In this study we used an orthotopic preclinical model of lung cancer to interrogate the transcriptome of lung tumor-infiltrating DCs and extract novel biologically and clinically relevant information.  Lung tumor-infiltrating leukocytes expressing generic DC markers were found to predominantly consist of CD11b+ cells which, compared to peritumoral lung DC counterparts, strongly over-express the T cell inhibitory molecule PD-L1 and acquire classic markers of tumor-supporting macrophages (TAM) on their surface. Transcriptome analysis of these CD11b+ tumor-infiltrating DCs (TIDCs) indicates impaired anti-tumoral immunogenicity, confirms the skewing towards TAM-related features, and indicates exposure to a hypoxic environment. In paralled, TIDCs display a specific micro-RNA signature dominated by the prototypical lung cancer oncomir miR-31. Hypoxia was found to drive intrinsic miR-31 expression in CD11b+DCs. Conditioned medium of mir-31-overexpressing CD11b+DCs induces pro-invasive lung cancer cell shape changes and is enriched with the pro-metastatic factors S100A8 and S100A9. Finally, analysis of TCGA datasets reveals that the TIDC-associated miRNA signature has a negative prognostic impact in non-small cell lung cancer.  Together, these data suggest a novel mechanism through which lung cancer co-opts the plasticity of the DC system to support tumoral progression.
GSE85131	200085131	Mus musculus	18	2016/08/03	13112;17021	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85131/	T cell oxygen-sensing proteins establish an immunologically tolerant metastatic niche	Cancer cells must evade immune responses at distant sites to establish metastases. The lung is a frequent site for metastasis. We hypothesized that lung-specific immunoregulatory mechanisms create an immunologically permissive environment for tumor colonization. We found that T cell-intrinsic expression of the oxygen-sensing prolyl-hydroxylase (PHD) proteins is required to maintain local tolerance against innocuous antigens in the lung, but powerfully licenses colonization by circulating tumor cells. PHD proteins limit pulmonary type helper (Th)-1 responses, promote CD4+-regulatory T (Treg) cell induction, and restrain CD8+ T cell effector function. Tumor colonization is accompanied by PHD protein-dependent induction of pulmonary Treg cells and suppression of IFN-g-dependent tumor clearance. T cell-intrinsic deletion or pharmacological inhibition of PHD proteins limits tumor colonization of the lung and improves the efficacy of adoptive cell transfer immunotherapy. Collectively, PHD proteins function in T cells to coordinate distinct immunoregulatory programs within the lung that are permissive to cancer metastasis.
GSE85507	200085507	Mus musculus	283	2016/12/07	6096	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85507/	Rational selection of syngeneic preclinical tumor models for immunotherapeutic drug discovery [exon array]	Murine syngeneic tumor models are the cornerstone of novel immuno-oncology (IO)-based therapy development but the molecular and immunological features of these models are still not clearly defined. The translational relevance of differences between the models is not fully understood, impeding appropriate preclinical model selection for target validation, and ultimately hindering drug development. Within a panel of commonly-used murine syngeneic tumor models, we showed variable responsiveness to IO-therapies. We employed aCGH, whole-exome sequencing, exon microarray analysis and flow cytometry to extensively characterise these models and revealed striking differences that may underlie these contrasting response profiles. We identified strong differential gene expression in immune-related pathways and changes in immune cell-specific genes that suggested differences in tumor immune infiltrates between models. We further investigated this using flow cytometry, which showed differences in both the composition and magnitude of the tumor immune infiltrates, identifying models that harbor ‘inflamed’ and ‘non-inflamed’ tumor immune infiltrate phenotypes. Moreover, we found that immunosuppressive cell types predominated in syngeneic mouse tumor models that did not respond to immune-checkpoint blockade, whereas cytotoxic effector immune cells were enriched in responsive models. A cytotoxic cell-rich tumor immune infiltrate has been correlated with increased efficacy of IO-therapy in the clinic and these differences could underlie the varying response profiles to IO-therapy between the syngeneic models. This characterisation highlighted the importance of extensive profiling and will enable investigators to select appropriate models to interrogate the activity of IO-therapies as well as combinations with targeted therapies in vivo.
GSE85508	200085508	Mus musculus	16	2016/12/07	4092	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85508/	Rational selection of syngeneic preclinical tumor models for immunotherapeutic drug discovery [aCGH]	Murine syngeneic tumor models are the cornerstone of novel immuno-oncology (IO)-based therapy development but the molecular and immunological features of these models are still not clearly defined. The translational relevance of differences between the models is not fully understood, impeding appropriate preclinical model selection for target validation, and ultimately hindering drug development. Within a panel of commonly-used murine syngeneic tumor models, we showed variable responsiveness to IO-therapies. We employed aCGH, whole-exome sequencing, exon microarray analysis and flow cytometry to extensively characterise these models and revealed striking differences that may underlie these contrasting response profiles. We identified strong differential gene expression in immune-related pathways and changes in immune cell-specific genes that suggested differences in tumor immune infiltrates between models. We further investigated this using flow cytometry, which showed differences in both the composition and magnitude of the tumor immune infiltrates, identifying models that harbor ‘inflamed’ and ‘non-inflamed’ tumor immune infiltrate phenotypes. Moreover, we found that immunosuppressive cell types predominated in syngeneic mouse tumor models that did not respond to immune-checkpoint blockade, whereas cytotoxic effector immune cells were enriched in responsive models. A cytotoxic cell-rich tumor immune infiltrate has been correlated with increased efficacy of IO-therapy in the clinic and these differences could underlie the varying response profiles to IO-therapy between the syngeneic models. This characterisation highlighted the importance of extensive profiling and will enable investigators to select appropriate models to interrogate the activity of IO-therapies as well as combinations with targeted therapies in vivo.
GSE87681	200087681	Mus musculus	12	2017/11/07	19057	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87681/	Analysis of gene expression from CD45neg cells of lung tumors upon neutrophil depletion or not	Interrogating the tumor immune compartment generates new prognostic and treatment modalities. We used the poorly immunogenic oncogenic Kras driven mouse model of lung cancer, to challenge the predictive value of an immune signature, using a new algorithm called MegaClust. It highlighted a predominant negative impact of neutrophil infiltration on multiple immune populations. Human samples and depletion experiments in mice revealed that neutrophils promote tumor growth by altering angiogenesis, associated to increased PI3K/Akt/mTOR signaling in tumor cells and profound immunosubversion. Together with blood vessel spreading and normalization, neutrophil depletion was associated with T cell redistribution into tumor mass and sensitized tumors to anti-PD1 immunotherapy in this refractory model. Our observations illustrate a mechanism of immune exclusion protecting tumor cells from destruction that relies on neutrophil infiltration
GSE87879	200087879	Homo sapiens	6	2017/03/07	17586	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87879/	Re-activating pRB via PD 0332991 treatment in NSCLC H1299 Cells	CDk4/6 inhibitor activates RB and represses RB/E2F target genes
GSE89477	200089477	Mus musculus	384	2017/11/26	19057	TXT, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89477/	Single-cell profiling of tumor infiltrating T cells	Immune checkpoint blockade has shown tremendous anti-tumor potential in the clinic. However, these therapies are only effective in a subset of patients, so identification of additional immunomodulatory molecules that enhance the anti-tumor activity of these treatments may expand their clinical utility. In particular, identifying small molecules that complement existing immunotherapies has been relatively unexplored, so we performed a small molecule screen to identify compounds that can enhance co-inhibitory molecule blockade, to improve the anti-tumor adaptive immune response. Our unbiased screen identified inhibitors of cyclin-dependent kinase 4 and 6 (CDK4/6), including the FDA-approved palbociclib, as a class of small molecule compounds that exhibited significant immunostimulatory activity in vitro.  In accordance with our in vitro finding of enhanced NFAT signaling, single-cell RNA-sequencing confirmed that in vivo exposure to CDK4/6 inhibitors enhanced NFAT signaling in tumor infiltrating T cells.  Moreover, our results revealed that CDK4/6 inhibition up-regulated activation molecules and down-regulated suppressive molecules in these cells. CDK4/6 inhibition also increased the number of T cells with activated TCR (T cell receptor) signaling, as well as factors that are important for signal transduction downstream of TCR signaling.  In summary, the impact of CDK4/6i on cell cycle progression and T cell proliferation are balanced favorably towards increased T cell recruitment and enhanced effector cell function, mediated in part by activation of the NFAT family of transcription factors. Further, our results demonstrate that CDK4/6i enhances PD-1 blockade through increased T-cell effector function and inhibition of immune suppressive cytokine production.  While prolonged CDK4/6i treatment could be immunosuppressive due to adverse effects on lymphocyte proliferation, properly timed/sequenced CDK4/6i may potentiate the clinical impact of anti-PD-1/PD-L1 antibodies. As palbociclib is FDA-approved and multiple other CDK4/6 inhibitors are in clinical trials, we expect that this hypothesis will undergo rapid testing in humans.
GSE90728	200090728	Homo sapiens	68	2017/06/19	16791	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90728/	Tissue-resident memory features are linked to the magnitude of cytotoxic T cell responses in human lung cancer [NSCLC]	Therapies that boost the anti-tumor responses of cytotoxic lymphocytes (CTLs) have shown promise in the clinic. However, clinical responses to currently available immunotherapeutic agents vary considerably, for which the molecular basis is unclear. To date, unbiased transcriptomic studies of CTLs in human cancers have been performed in whole tumors or cells obtained from peripheral blood or metastatic sites of heavily pre-treated patients. We performed global transcriptional profiling of CTLs in tumors and adjacent non-tumor tissue from treatment-naïve patients with early stage lung cancer to define the molecular features associated with robustness of anti-tumor immune responses. We observed major differences in the transcriptional program of tumor-infiltrating CTLs that are shared across tumor subtypes. Pathway analysis revealed enrichment of genes in cell cycle, T cell receptor (TCR) activation and co-stimulation pathways, indicating tumor-driven expansion of presumed tumor antigen-specific CTLs. We also observed marked heterogeneity in the expression of molecules associated with TCR activation and immune checkpoints such as 4-1BB, PD1, TIM3, and their expression was positively correlated with the density of tumor-infiltrating CTLs. Interestingly, transcripts linked to tissue-resident memory cells (TRM), such as CD103, were enriched in tumors containing a high density of CTLs, and CTLs from CD103high tumors displayed features of enhanced cytotoxicity, implying better anti-tumor activity. In an independent cohort of 689 lung cancer patients, we confirmed that patients with CD103high (TRM rich) tumors survived significantly longer. In summary, we define the molecular fingerprint of tumor-infiltrating CTLs at the site of primary tumor and identify a number of novel targets that may be important in modulating the magnitude and specificity of anti-tumor immune responses in lung cancer.
GSE90729	200090729	Homo sapiens	41	2017/06/19	16791	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90729/	Tissue-resident memory features are linked to the magnitude of cytotoxic T cell responses in human lung cancer [HNSCC]	Therapies that boost the anti-tumor responses of cytotoxic lymphocytes (CTLs) have shown promise in the clinic. However, clinical responses to currently available immunotherapeutic agents vary considerably, for which the molecular basis is unclear. To date, unbiased transcriptomic studies of CTLs in human cancers have been performed in whole tumors or cells obtained from peripheral blood or metastatic sites of heavily pre-treated patients. We performed global transcriptional profiling of CTLs in tumors and adjacent non-tumor tissue from treatment-naïve patients with early stage lung cancer to define the molecular features associated with robustness of anti-tumor immune responses. We observed major differences in the transcriptional program of tumor-infiltrating CTLs that are shared across tumor subtypes. Pathway analysis revealed enrichment of genes in cell cycle, T cell receptor (TCR) activation and co-stimulation pathways, indicating tumor-driven expansion of presumed tumor antigen-specific CTLs. We also observed marked heterogeneity in the expression of molecules associated with TCR activation and immune checkpoints such as 4-1BB, PD1, TIM3, and their expression was positively correlated with the density of tumor-infiltrating CTLs. Interestingly, transcripts linked to tissue-resident memory cells (TRM), such as CD103, were enriched in tumors containing a high density of CTLs, and CTLs from CD103high tumors displayed features of enhanced cytotoxicity, implying better anti-tumor activity. In an independent cohort of 689 lung cancer patients, we confirmed that patients with CD103high (TRM rich) tumors survived significantly longer. In summary, we define the molecular fingerprint of tumor-infiltrating CTLs at the site of primary tumor and identify a number of novel targets that may be important in modulating the magnitude and specificity of anti-tumor immune responses in lung cancer.
GSE91061	200091061	Homo sapiens	109	2018/01/23	9052	CSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91061/	Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy	Immune checkpoint blockade (ICB) has demonstrated significant promise for the treatment of advanced malignancies. Anti-CTLA4 and ant-PD1 therapy can activate the immune system and result in durable control in diseases such as melanoma and non-small cell lung cancer.
GSE93157	200093157	Homo sapiens	65	2017/05/15	19965	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93157/	Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma	RNA from tumor samples from 65 patients with melanoma, lung cancer, head and neck treated  anti-PD1was analyzed on the nCounter system using the PanCancer 730-Immune Panel.
GSE94609	200094609	Mus musculus	6	2017/05/04	16570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE94nnn/GSE94609/	PD-1 regulates KLRG1+ group 2 innate lymphoid cells	Group 2 innate lymphoid cells (ILC-2s) regulate immune responses to pathogens, allergens, tissue remodeling and metabolic homeostasis in response to cytokines. Positive regulation of ILC-2s through ICOS has been recently elucidated but co-receptor mediated negative regulatory axis is yet to be defined. We demonstrate that PD-1 is an important negative regulator of KLRG1+ILC-2 function in both mice and humans. Increase in KLRG1+ ILC-2 cells numbers were attributed to an intrinsic defect in PD-1 signaling, which resulted in enhanced STAT5 activation. During Nippostrongylus brasiliensis infection, a significant expansion of KLRG1+ ILC-2 subsets occurred in pdcd1-/- mice and on adoptive transfer, pdcd1-/- KLRG1+ ILC-2s significantly reduced worm burden. Furthermore, blocking antibody to PD-1 increased KLRG1+ ILC-2 cell number and reduced disease burden. Therefore PD-1 is an important negative regulator and is vital for maintaining the number and hence function of KLRG1+ ILC-2s.
