spec	geneset	smooth	score	subset	radius_um	patient_mean_rho	n_patients_neg	n_samples_neg	n_samples	n_fov	rho_Lung5	rho_Lung6	rho_Lung9	rho_Lung12	rho_Lung13
keratin|hs15|pc1|all|count50	keratin	hs15	pc1	all	50	-0.18168556266344435	5	8	8	225	-0.3603371020160143	-0.13693192048073635	-0.11686329054167392	-0.2713738147285615	-0.02292168555023579
adhesion_ezr|hs30|pc1|tertile|count40	adhesion_ezr	hs30	pc1	tertile	40	-0.18158539331325602	5	8	8	225	-0.3894712470774207	-0.014747906141881675	-0.13141161271293608	-0.2994503485594478	-0.0728458520745937
keratin|hs30|pc1|all|count40	keratin	hs30	pc1	all	40	-0.18138878039024936	5	8	8	225	-0.3473223645880454	-0.12944263397611944	-0.12089509379201442	-0.2695563601307432	-0.039727449464324514
keratin|hs30|mean|tertile|count75	keratin	hs30	mean	tertile	75	-0.18137818882222184	4	7	8	225	-0.3909900984289236	-0.05388023730926506	-0.20185375293262525	-0.27927841936667763	0.019111563926382354
program|ball25|pc1|quartile|count40	program	ball25	pc1	quartile	40	-0.18137276858678936	4	7	8	225	-0.39376678076529353	0.007610694665279457	-0.16261056964444492	-0.27610726505355776	-0.08198992213593004
adhesion|hs60|pc1|quartile|count30	adhesion	hs60	pc1	quartile	30	-0.18135667716154344	5	8	8	224	-0.38645698450264865	-0.02308266190326138	-0.11648554632798513	-0.2951124918131331	-0.08564570126068899
adhesion|ball60|pc1|quartile|count75	adhesion	ball60	pc1	quartile	75	-0.18132708289137228	4	7	8	225	-0.44475770594438435	-0.022486193112093104	-0.14825508820256966	-0.3199243530235473	0.028787925825732995
program_ceacam|ball60|pc1|quartile|count30	program_ceacam	ball60	pc1	quartile	30	-0.1813269442662954	4	7	8	225	-0.3785305140152849	0.029612363821201783	-0.14268687592462403	-0.2960602082821313	-0.11896948693063843
program|hs60|mean|tertile|count30	program	hs60	mean	tertile	30	-0.18130828948030245	5	8	8	225	-0.3449470351149612	-0.0606942879716202	-0.14446451127851936	-0.2805110902721749	-0.07592452276423656
adhesion_ezr|hs60|pc1|tertile|count40	adhesion_ezr	hs60	pc1	tertile	40	-0.18122777094756817	5	8	8	225	-0.3932328104467643	-0.012400856044729187	-0.13639215421639297	-0.3048991494226671	-0.05921388460728734
program|hs30|pc1|quartile|count30	program	hs30	pc1	quartile	30	-0.18120711718725757	4	7	8	225	-0.38360485033322494	0.010434550718907422	-0.1483900606400227	-0.29248436408419526	-0.09199086159775247
program_ceacam|hs60|mean|all|count40	program_ceacam	hs60	mean	all	40	-0.1811273440865065	5	8	8	225	-0.3494033528484483	-0.05176365133555	-0.146118769187974	-0.27960996791950815	-0.07874097914105203
adhesion_ezr|hs15|mean|tertile|count40	adhesion_ezr	hs15	mean	tertile	40	-0.1809428949150725	5	8	8	225	-0.3609253051135016	-0.05468013069634939	-0.12369207613993738	-0.2916720235462021	-0.07374493907937205
program_ceacam|ball60|pc1|all|count75	program_ceacam	ball60	pc1	all	75	-0.18092018466007068	4	7	8	225	-0.41947078529940707	0.06160232506046414	-0.18235654143732513	-0.2902282823095998	-0.07414763931448556
program_ceacam|hs30|pc1|tertile|count100	program_ceacam	hs30	pc1	tertile	100	-0.1808666455283789	4	7	8	225	-0.45384385070601263	0.05107415795344927	-0.17465886689146917	-0.2977657443135921	-0.029138923684269735
program_ceacam|ball15|pc1|quartile|count40	program_ceacam	ball15	pc1	quartile	40	-0.1807812659435744	5	8	8	225	-0.3865797151226089	-0.031635338105727884	-0.12096319691500772	-0.2635160399602142	-0.10121203961431331
keratin|ball40|pc1|all|count50	keratin	ball40	pc1	all	50	-0.1807430642807818	5	8	8	225	-0.3578700426029756	-0.1381804673684705	-0.12764105637619558	-0.2634303423916661	-0.016593412664601234
adhesion|hs15|mean|quartile|count30	adhesion	hs15	mean	quartile	30	-0.18067367159765638	5	8	8	225	-0.3677349196076342	-0.0761009171422518	-0.1113469972005961	-0.2587793027097138	-0.08940622132808597
program_ceacam|hs30|mean|all|count40	program_ceacam	hs30	mean	all	40	-0.18064058713914272	5	8	8	225	-0.34883252835465567	-0.048864619071538586	-0.14177966036929718	-0.281394709770377	-0.08233141812984517
program|hs30|pc1|tertile|count75	program	hs30	pc1	tertile	75	-0.18064014111565913	3	6	8	225	-0.44312418949239835	0.03459797325886241	-0.1888649785690675	-0.3095445150365719	0.003735004260879575
keratin|ball60|mean|tertile|count40	keratin	ball60	mean	tertile	40	-0.18061738525497223	5	8	8	225	-0.3663511301626702	-0.06257022827680778	-0.16930595382449326	-0.27996218124194155	-0.024897432768948527
program_ceacam|ball40|pc1|tertile|count75	program_ceacam	ball40	pc1	tertile	75	-0.18033837204960684	4	7	8	225	-0.43196501093978545	0.07362742432745675	-0.19174337393065713	-0.302308180523445	-0.049302719181603366
keratin|hs15|pc1|tertile|count30	keratin	hs15	pc1	tertile	30	-0.18030971675931082	5	8	8	225	-0.3444766296546866	-0.12305726672755347	-0.10508013548888918	-0.270413018475627	-0.05852153344979786
adhesion_ezr|hs60|pc1|quartile|count75	adhesion_ezr	hs60	pc1	quartile	75	-0.1802849079310755	4	7	8	225	-0.4446815820579862	-0.006536235206661477	-0.15353090749661724	-0.33863957367666714	0.04196375878255458
program_ceacam|ball40|mean|tertile|count30	program_ceacam	ball40	mean	tertile	30	-0.18028363176018436	5	8	8	225	-0.34626828444231755	-0.050284085844909024	-0.13711275278902194	-0.2756746318021302	-0.09207840392254305
program_ceacam|hs30|pc1|all|count75	program_ceacam	hs30	pc1	all	75	-0.18026054774423544	4	7	8	225	-0.4137287977414174	0.030221692531400855	-0.16523884053726742	-0.28843155135908016	-0.06412524161481302
program_ceacam|ball60|pc1|tertile|count100	program_ceacam	ball60	pc1	tertile	100	-0.18019210762025015	4	7	8	225	-0.455714557825593	0.09281836357888877	-0.19141814504277385	-0.31296791620496883	-0.033678282606803944
adhesion_ezr|hs60|mean|quartile|count75	adhesion_ezr	hs60	mean	quartile	75	-0.18015444229433722	4	7	8	225	-0.41752485411437806	-0.03830115984677747	-0.15752050355177125	-0.34087715000750807	0.053451456048748805
program|hs15|pc1|quartile|count30	program	hs15	pc1	quartile	30	-0.18011140628327707	4	7	8	225	-0.38114794547291175	0.010571937771727763	-0.14392649830779802	-0.28369333897037396	-0.1023611864370293
adhesion|ball60|mean|tertile|count75	adhesion	ball60	mean	tertile	75	-0.18002815911526407	4	7	8	225	-0.4134736811705485	-0.06944316837492157	-0.1483494201150938	-0.3041587574672825	0.035284231551526
program|ball25|pc1|quartile|count50	program	ball25	pc1	quartile	50	-0.17995861616704198	4	7	8	225	-0.40595615256503653	0.014468009716388088	-0.1777962938191454	-0.2776342566662612	-0.05287438750115486
adhesion|hs30|mean|tertile|count75	adhesion	hs30	mean	tertile	75	-0.1799064104901472	4	7	8	225	-0.4209618826954782	-0.07352563763051988	-0.1315473795044988	-0.30871914113305143	0.03522198851281228
program_ceacam|hs30|pc1|all|count40	program_ceacam	hs30	pc1	all	40	-0.17989740566923726	4	7	8	225	-0.37493422030230744	0.016127139020109447	-0.1477939481087768	-0.28270021144778174	-0.11018578750742984
program_ceacam|ball15|pc1|quartile|count50	program_ceacam	ball15	pc1	quartile	50	-0.17989507106431174	5	8	8	225	-0.398069152804867	-0.03287078368760268	-0.13277912625789318	-0.2615951718250795	-0.0741611207461163
adhesion|hs15|pc1|quartile|count50	adhesion	hs15	pc1	quartile	50	-0.17988134795370364	5	8	8	225	-0.4254407085382561	-0.0029141930531562184	-0.1240276195938989	-0.2965725167881991	-0.05045170179500795
keratin|hs60|pc1|all|count40	keratin	hs60	pc1	all	40	-0.17979209466986207	5	8	8	225	-0.34495028505795355	-0.12820968121116547	-0.12177293587361183	-0.26717273564982785	-0.0368548355567517
program|hs15|mean|tertile|count30	program	hs15	mean	tertile	30	-0.17966826830149168	5	8	8	225	-0.34161481605985616	-0.059272858694132485	-0.13649254996794544	-0.270522664718402	-0.09043845206712235
program_ceacam|ball40|mean|tertile|count75	program_ceacam	ball40	mean	tertile	75	-0.1795550164813342	4	7	8	225	-0.3912692929248198	-0.02106672672415358	-0.1884078156174407	-0.29916180755927657	0.0021305604190195735
program_ceacam|hs60|mean|all|count75	program_ceacam	hs60	mean	all	75	-0.1795297819740995	5	8	8	225	-0.3861774419842426	-0.03359179821242116	-0.17278099367875166	-0.2892198933501407	-0.015878782644941462
program|ball60|pc1|tertile|count40	program	ball60	pc1	tertile	40	-0.17950747157966176	4	7	8	225	-0.40579322645000154	0.03424852848877753	-0.16473821641573447	-0.30376580241626605	-0.05748864110508428
program_ceacam|ball15|mean|quartile|count50	program_ceacam	ball15	mean	quartile	50	-0.17948385566675878	5	8	8	225	-0.3675946987643018	-0.04005549984065885	-0.13886095778096352	-0.27968699803655644	-0.07122112391131327
program|hs30|mean|tertile|count75	program	hs30	mean	tertile	75	-0.179460517279235	4	7	8	225	-0.3918591594377958	-0.037700269084922196	-0.18861963493641776	-0.3039753646912147	0.024851841754175437
program_ceacam|ball25|pc1|quartile|count30	program_ceacam	ball25	pc1	quartile	30	-0.17918762769919816	4	7	8	225	-0.3666331710846118	0.00033792657581750403	-0.13773616956757814	-0.2688333548064867	-0.1230733696131316
program_ceacam|ball60|mean|all|count75	program_ceacam	ball60	mean	all	75	-0.1791661423697563	5	8	8	225	-0.3841680443652749	-0.029650186945310287	-0.1805592852272271	-0.28247796478698345	-0.018975230523985736
adhesion_ezr|hs15|mean|tertile|count50	adhesion_ezr	hs15	mean	tertile	50	-0.1791238596101295	5	8	8	225	-0.37153343938174055	-0.0479447833282695	-0.13219387314245054	-0.29704583558568187	-0.04690136661250501
adhesion_ezr|ball60|mean|tertile|count40	adhesion_ezr	ball60	mean	tertile	40	-0.179123790005777	5	8	8	225	-0.3638156443490821	-0.04670502096032807	-0.1357248172326928	-0.2936241937821213	-0.0557492737046605
adhesion|hs30|mean|tertile|count30	adhesion	hs30	mean	tertile	30	-0.17897056088742272	5	8	8	225	-0.35903020731283875	-0.07334054079458766	-0.11268006393072243	-0.2644825470424087	-0.08531944535655614
keratin|ball60|pc1|all|count100	keratin	ball60	pc1	all	100	-0.17895185792790907	4	7	8	225	-0.3651736811098754	-0.14430234433366818	-0.17615802688323887	-0.24693903967368744	0.03781380236092448
program|ball40|pc1|tertile|count50	program	ball40	pc1	tertile	50	-0.17890526826267358	4	7	8	225	-0.41756153297270676	0.04709122707113983	-0.182148657554523	-0.296800405390599	-0.04510697246667901
program|ball60|mean|quartile|count30	program	ball60	mean	quartile	30	-0.17883983674551734	5	8	8	225	-0.348947017430064	-0.05273437868415732	-0.14541642838395907	-0.28263132523693857	-0.06447003399246785
keratin|ball25|pc1|quartile|count30	keratin	ball25	pc1	quartile	30	-0.17882935783837567	5	8	8	225	-0.3479127971360159	-0.12029472808464146	-0.1038219195745463	-0.25183872262168355	-0.0702786217749911
program|hs60|mean|all|count50	program	hs60	mean	all	50	-0.17876058661822095	5	8	8	225	-0.3581720156511409	-0.05850403773001431	-0.16099324671544982	-0.2831849845902065	-0.032948648404293214
keratin|hs15|mean|tertile|count50	keratin	hs15	mean	tertile	50	-0.17868874601698764	5	8	8	225	-0.38355981343845896	-0.05532464625771948	-0.15750793938853222	-0.2812403155490773	-0.01581101545115026
adhesion|hs15|pc1|quartile|count40	adhesion	hs15	pc1	quartile	40	-0.17865213193319873	5	8	8	225	-0.41065535039193546	-0.005077098333037727	-0.11586502783487633	-0.2880847501518578	-0.07357843295428641
adhesion_ezr|hs15|mean|quartile|count30	adhesion_ezr	hs15	mean	quartile	30	-0.17863838807078708	5	8	8	225	-0.34353851185561307	-0.059084504605370146	-0.11654675767742968	-0.2726806486856564	-0.10134151752986617
keratin|ball60|mean|quartile|count100	keratin	ball60	mean	quartile	100	-0.1785266401832675	4	7	8	225	-0.3833920140075219	-0.04046447929775497	-0.2523802308886938	-0.2805006920909824	0.06410421536861557
keratin|hs60|mean|tertile|count100	keratin	hs60	mean	tertile	100	-0.178514313566197	4	7	8	225	-0.39180895426248114	-0.05442288350936613	-0.22814316768310858	-0.26868498647686295	0.05048842410083363
program|ball25|mean|quartile|count30	program	ball25	mean	quartile	30	-0.17850402872988352	5	8	8	225	-0.3358333433530573	-0.06336383232371808	-0.1348688539493966	-0.2613309808342593	-0.09712313318898622
program|ball60|pc1|quartile|count75	program	ball60	pc1	quartile	75	-0.17844047320680245	3	6	8	225	-0.4588617026488069	0.0959306782790006	-0.21191920904144274	-0.3376862280638434	0.02033409544108018
adhesion|hs60|mean|tertile|count30	adhesion	hs60	mean	tertile	30	-0.17842783403238474	5	8	8	225	-0.3602569949271779	-0.06865370206948737	-0.11549043815451636	-0.270125976939445	-0.07761205807129715
program_ceacam|hs60|pc1|tertile|count30	program_ceacam	hs60	pc1	tertile	30	-0.17841399258733506	4	7	8	225	-0.36703795209753526	0.014006728772320095	-0.1430155795620274	-0.2869141518005682	-0.10910900824886458
program|ball25|mean|tertile|count40	program	ball25	mean	tertile	40	-0.1782896647073119	5	8	8	225	-0.3537498871108221	-0.05467303664906694	-0.14709133894023702	-0.27241876686824906	-0.06351529396818438
keratin|ball40|pc1|tertile|count30	keratin	ball40	pc1	tertile	30	-0.1780968223960288	5	8	8	225	-0.34149799351349636	-0.12154468099792798	-0.10988502898489755	-0.26296909965830145	-0.054587308825520806
adhesion_ezr|ball60|pc1|quartile|count75	adhesion_ezr	ball60	pc1	quartile	75	-0.17804941721123088	4	7	8	225	-0.43748309478273106	-0.0016066306744888998	-0.1586570402580042	-0.31699954184090584	0.024499221499975597
program_ceacam|hs15|pc1|all|count50	program_ceacam	hs15	pc1	all	50	-0.17797901554789758	4	7	8	225	-0.3925075037581847	0.02015842079847025	-0.15151046532954088	-0.288352660271101	-0.0776828691791314
keratin|ball15|pc1|quartile|count50	keratin	ball15	pc1	quartile	50	-0.17788324753856513	5	8	8	225	-0.3797959171592218	-0.14100488166179567	-0.09516159009988166	-0.23846945425386393	-0.03498439451806262
keratin|ball40|mean|tertile|count50	keratin	ball40	mean	tertile	50	-0.1778178894534547	5	8	8	225	-0.37610908585145025	-0.05630220264443042	-0.17871172451714057	-0.2694261398403686	-0.008540294413883683
program_ceacam|hs60|pc1|all|count40	program_ceacam	hs60	pc1	all	40	-0.17772593026334305	4	7	8	225	-0.37057016258392644	0.01907980662549646	-0.15116151758888227	-0.28023755869478445	-0.10574021907461854
adhesion|hs30|pc1|quartile|count30	adhesion	hs30	pc1	quartile	30	-0.17756164261761995	5	8	8	225	-0.3816559494206208	-0.023292021090721256	-0.11293111095186582	-0.27666940852586636	-0.09325972309902555
program|hs15|pc1|quartile|count75	program	hs15	pc1	quartile	75	-0.17754323755074963	3	6	8	225	-0.44541191188462625	0.03823977904803825	-0.18807733138257215	-0.30063975563546474	0.008173032100876724
program_ceacam|hs60|mean|tertile|count100	program_ceacam	hs60	mean	tertile	100	-0.17751449634239597	4	7	8	225	-0.4199904872397565	-0.019400869807436653	-0.18731443340078524	-0.30564983044655303	0.044783139182551744
adhesion|ball40|mean|tertile|count50	adhesion	ball40	mean	tertile	50	-0.17748544136871044	5	8	8	225	-0.3842487571635898	-0.06785901023973274	-0.13825262736159047	-0.26830448755514286	-0.028762324523496512
program_ceacam|ball40|mean|all|count50	program_ceacam	ball40	mean	all	50	-0.17734285201213038	5	8	8	225	-0.35931232372874217	-0.04219684275709256	-0.1552190293857936	-0.2778567696581183	-0.052129294530905354
program_ceacam|hs15|mean|all|count50	program_ceacam	hs15	mean	all	50	-0.17720130607396542	5	8	8	225	-0.35826753702351477	-0.04168897500545761	-0.14273624045870603	-0.28615955666511467	-0.05715422121703402
keratin|hs15|pc1|all|count75	keratin	hs15	pc1	all	75	-0.17707907985366722	4	7	8	225	-0.3618969092474857	-0.13670447059220878	-0.13200511506820023	-0.2550240748018356	0.00023517044139411935
keratin|hs30|pc1|all|count100	keratin	hs30	pc1	all	100	-0.17702908333521578	4	7	8	225	-0.3672601383495148	-0.14204715653070574	-0.16021649484231715	-0.2446232928228022	0.029001665869261107
program|ball40|pc1|tertile|count40	program	ball40	pc1	tertile	40	-0.17701715831102027	4	7	8	225	-0.3992095930672825	0.03736664559266001	-0.16399157890109087	-0.2878271720524661	-0.07142409312692187
adhesion|hs60|mean|all|count50	adhesion	hs60	mean	all	50	-0.17687992555718932	5	8	8	225	-0.37416629226984993	-0.07402734867649023	-0.1253186485547023	-0.2787102593206026	-0.03217707896430158
program_ceacam|ball60|mean|tertile|count30	program_ceacam	ball60	mean	tertile	30	-0.17677005803094104	5	8	8	225	-0.34503415714826474	-0.04622596051825201	-0.13487455609191507	-0.278656639321717	-0.07905897707455638
keratin|ball25|pc1|tertile|count75	keratin	ball25	pc1	tertile	75	-0.17662534498381496	4	7	8	225	-0.3720064488412685	-0.13856824870559764	-0.13551738700251384	-0.24181979218811747	0.004785151818422502
adhesion_ezr|ball60|mean|quartile|count75	adhesion_ezr	ball60	mean	quartile	75	-0.17641874718099346	4	7	8	225	-0.39793510686650263	-0.03411046251394144	-0.15980055520597158	-0.32673830674035054	0.03649069542179891
keratin|ball40|pc1|all|count75	keratin	ball40	pc1	all	75	-0.17631688913704097	4	7	8	225	-0.35624708762635426	-0.1396564265714207	-0.14853938477813372	-0.248660302553141	0.011518755843844822
program_ceacam|ball25|mean|tertile|count30	program_ceacam	ball25	mean	tertile	30	-0.1762379059540513	5	8	8	225	-0.33511795916137727	-0.05256154059878934	-0.1296957197168278	-0.2625332633664936	-0.1012810469267686
keratin|ball60|pc1|tertile|count30	keratin	ball60	pc1	tertile	30	-0.17621355693101942	5	8	8	225	-0.3349746288057829	-0.1165755483728911	-0.11514565307013828	-0.2709159764631378	-0.04345597794314713
keratin|ball15|pc1|quartile|count40	keratin	ball15	pc1	quartile	40	-0.1759580072161591	5	8	8	225	-0.36569716384366224	-0.13254053241857577	-0.08413604538639885	-0.24095609229109977	-0.05646020214105883
adhesion_ezr|ball40|mean|tertile|count50	adhesion_ezr	ball40	mean	tertile	50	-0.17590638407909776	5	8	8	225	-0.3634554658270289	-0.045376085215128044	-0.14483677768141223	-0.28479065667678843	-0.04107293499513115
program_ceacam|hs15|mean|all|count40	program_ceacam	hs15	mean	all	40	-0.17558053230556792	5	8	8	225	-0.34395456034305255	-0.04417465845092917	-0.13348062312449366	-0.27563962993067287	-0.08065318967869131
adhesion_ezr|hs15|pc1|tertile|count50	adhesion_ezr	hs15	pc1	tertile	50	-0.1755558887246334	5	8	8	225	-0.397525123818929	-0.011565182697990001	-0.12887730258092145	-0.2883840902723747	-0.05142774425295184
adhesion|ball60|pc1|tertile|count75	adhesion	ball60	pc1	tertile	75	-0.17547818766322779	4	7	8	225	-0.42595242095323477	-0.02874630627606933	-0.1447761982386874	-0.3038509811479188	0.025934968299771387
adhesion_ezr|hs30|mean|tertile|count30	adhesion_ezr	hs30	mean	tertile	30	-0.17539670989273332	5	8	8	225	-0.33339587887853095	-0.059336583176217796	-0.11807556637583282	-0.27171345753189236	-0.0944620635011926
adhesion_ezr|hs15|pc1|tertile|count40	adhesion_ezr	hs15	pc1	tertile	40	-0.1753886147555343	5	8	8	225	-0.3846819629970954	-0.013812326817422664	-0.12056199159026759	-0.2827501510512217	-0.07513664132166424
program|hs30|mean|all|count50	program	hs30	mean	all	50	-0.1753058124513331	5	8	8	225	-0.35294453556053795	-0.05431795856261417	-0.15363514384678364	-0.28050400607937537	-0.03512741820735445
program|ball25|mean|tertile|count50	program	ball25	mean	tertile	50	-0.17523054638433502	5	8	8	225	-0.35946771889435924	-0.04744259402578792	-0.1591931625801905	-0.27423537163985323	-0.03581388478148412
program|hs15|mean|quartile|count75	program	hs15	mean	quartile	75	-0.17522623915976046	4	7	8	225	-0.3923472038391311	-0.03552977526040393	-0.18157032564814107	-0.2940952207382866	0.027411329687160278
keratin|hs15|mean|tertile|count40	keratin	hs15	mean	tertile	40	-0.17522315246726483	5	8	8	225	-0.3698954633235875	-0.05070580295138276	-0.14405349588282265	-0.27394741902645225	-0.03751358115207891
adhesion|ball60|pc1|tertile|count40	adhesion	ball60	pc1	tertile	40	-0.17515695743881413	5	8	8	225	-0.3874240893180485	-0.025135236615274538	-0.12690254219312067	-0.2814174307634541	-0.0549054883041727
adhesion_ezr|hs30|pc1|quartile|count30	adhesion_ezr	hs30	pc1	quartile	30	-0.17505084369308543	5	8	8	225	-0.36612175687718723	-0.013443327605355578	-0.12159688099176022	-0.27584549164379146	-0.09824676134733264
keratin|hs15|pc1|all|count40	keratin	hs15	pc1	all	40	-0.17501144683422515	5	8	8	225	-0.3414063156390714	-0.1246219087158632	-0.10661237931460874	-0.2628347013131733	-0.039581929188409026
adhesion|ball40|mean|tertile|count40	adhesion	ball40	mean	tertile	40	-0.17490812188155452	5	8	8	225	-0.36947187026651945	-0.06422846247498662	-0.12644060978455074	-0.258749319215386	-0.0556503476663297
adhesion_ezr|ball40|mean|tertile|count40	adhesion_ezr	ball40	mean	tertile	40	-0.17488063399211756	5	8	8	225	-0.3517846746651754	-0.04690804580317419	-0.1332137435956192	-0.27621807221855005	-0.06627863367806894
adhesion_ezr|hs30|mean|quartile|count75	adhesion_ezr	hs30	mean	quartile	75	-0.1748021062672429	4	7	8	225	-0.39923478180748284	-0.04666463222743755	-0.14491027633898093	-0.32406266763761093	0.04086182667529774
adhesion_ezr|hs60|pc1|quartile|count30	adhesion_ezr	hs60	pc1	quartile	30	-0.17471838893052144	5	8	8	224	-0.3692791551579444	-0.009688412045408323	-0.12352282569714004	-0.28553302059668517	-0.08556853115542916
program_ceacam|ball60|mean|all|count40	program_ceacam	ball60	mean	all	40	-0.17468274815190113	5	8	8	225	-0.34659984230294366	-0.04561951872583015	-0.14190972658449388	-0.2707235988771005	-0.06856105426913742
program|ball60|pc1|tertile|count75	program	ball60	pc1	tertile	75	-0.17467211945647845	3	6	8	225	-0.44271347502015723	0.08127354748465088	-0.20280120686269018	-0.3202151162153042	0.011095653331108546
adhesion_ezr|hs60|mean|tertile|count75	adhesion_ezr	hs60	mean	tertile	75	-0.1746595917080656	4	7	8	225	-0.39920737411438506	-0.040815998016536494	-0.14957507834701192	-0.3260511676318419	0.04235165956944732
program_ceacam|hs15|pc1|all|count40	program_ceacam	hs15	pc1	all	40	-0.17463221843100957	4	7	8	225	-0.3729503062605186	0.01561787764260703	-0.1408307150358156	-0.277030695893452	-0.0979672526078687
program_ceacam|ball15|mean|tertile|count40	program_ceacam	ball15	mean	tertile	40	-0.17455482050269583	5	8	8	225	-0.34850591113559165	-0.04161787433477092	-0.12416348594880668	-0.27101548787151275	-0.08747134322279713
keratin|ball60|pc1|all|count40	keratin	ball60	pc1	all	40	-0.17452278822573813	5	8	8	225	-0.33916974087299717	-0.12298974604562717	-0.11762406235986005	-0.26090377281582405	-0.03192661903438216
program_ceacam|ball60|mean|quartile|count100	program_ceacam	ball60	mean	quartile	100	-0.174505592723164	3	6	8	225	-0.4140320395564903	0.0025885104547057973	-0.20200466622776095	-0.3249815710760378	0.06590180278976318
keratin|ball40|mean|quartile|count75	keratin	ball40	mean	quartile	75	-0.1744751866731396	4	7	8	225	-0.3759177505494549	-0.044262922264437676	-0.2222822446504952	-0.25519589157970274	0.025282875678392353
program|ball60|mean|all|count50	program	ball60	mean	all	50	-0.17444321778084165	5	8	8	225	-0.3552348162897315	-0.05290652654226489	-0.16185257849918855	-0.2735902839319918	-0.028631883641031523
keratin|hs15|mean|quartile|count75	keratin	hs15	mean	quartile	75	-0.1744195829343511	4	7	8	225	-0.3904803854913074	-0.045665628100771904	-0.19179923921793915	-0.2657350996404188	0.021582437778681858
program|hs60|pc1|quartile|count30	program	hs60	pc1	quartile	30	-0.1743871744312112	4	7	8	225	-0.38069460759403634	0.016219764642807593	-0.1488759669864687	-0.2943128517816568	-0.06427221043670188
adhesion|ball40|pc1|quartile|count50	adhesion	ball40	pc1	quartile	50	-0.17431802045807923	5	8	8	225	-0.40679904472106954	-0.019440219438664377	-0.13640166599267875	-0.2685062615126434	-0.04044291062534
keratin|ball40|mean|tertile|count40	keratin	ball40	mean	tertile	40	-0.17431604263744244	5	8	8	225	-0.3646051081839129	-0.054568663295202914	-0.1575490483395713	-0.26437145240090465	-0.03048594096762035
adhesion_ezr|hs60|pc1|tertile|count75	adhesion_ezr	hs60	pc1	tertile	75	-0.17415719887467734	4	7	8	225	-0.423066122454393	-0.011790697407085184	-0.14748537317680444	-0.32142655970765527	0.0329827583725512
adhesion_ezr|ball60|pc1|tertile|count40	adhesion_ezr	ball60	pc1	tertile	40	-0.17409795997671032	5	8	8	225	-0.3845190258879286	-0.010146406655682606	-0.1333608820667309	-0.2844910118295273	-0.05797247344368213
program_ceacam|ball15|pc1|tertile|count40	program_ceacam	ball15	pc1	tertile	40	-0.17404892163525762	5	8	8	225	-0.37012775820217575	-0.03233986073550193	-0.11821481975449472	-0.25956086955373275	-0.09000129993038283
keratin|ball40|pc1|all|count40	keratin	ball40	pc1	all	40	-0.1739761498868637	5	8	8	225	-0.34111584501423214	-0.12463665449605407	-0.11447179080352492	-0.25603108132451363	-0.03362537779599373
program|ball40|mean|tertile|count30	program	ball40	mean	tertile	30	-0.1739465379511628	5	8	8	225	-0.33426877134875793	-0.055161981385791224	-0.13872839012733845	-0.26521381658733423	-0.07635973030659214
program_ceacam|ball40|mean|all|count40	program_ceacam	ball40	mean	all	40	-0.1738874796064249	5	8	8	225	-0.34496209556355545	-0.04255697013336556	-0.14029848032068706	-0.2686773761651627	-0.07294247584935368
program_ceacam|ball15|pc1|tertile|count50	program_ceacam	ball15	pc1	tertile	50	-0.17378799110939488	5	8	8	225	-0.38232994519830077	-0.03362290869278696	-0.12790066736343786	-0.2588530858916292	-0.06623334840081967
program|ball25|pc1|tertile|count40	program	ball25	pc1	tertile	40	-0.1736929894283969	4	7	8	225	-0.37468024930710264	0.005557502421392466	-0.15656016295136227	-0.26921680643986784	-0.07356523086504432
adhesion_ezr|ball40|pc1|quartile|count50	adhesion_ezr	ball40	pc1	quartile	50	-0.1736166063754312	5	8	8	225	-0.3898747990879311	-0.0066584990023591	-0.1486106799631914	-0.27880618666271545	-0.044132867160958864
program_ceacam|ball40|pc1|tertile|count30	program_ceacam	ball40	pc1	tertile	30	-0.17361501993882913	4	7	8	225	-0.36224749550226204	0.027148627399035365	-0.1382296742543464	-0.27585984144189324	-0.11888671589467928
program|hs60|mean|all|count40	program	hs60	mean	all	40	-0.17350844752246636	5	8	8	225	-0.33772865533861646	-0.058077883740830075	-0.14660686330043426	-0.2700548132273605	-0.05507402200509052
program_ceacam|ball15|mean|quartile|count30	program_ceacam	ball15	mean	quartile	30	-0.173369257105186	5	8	8	225	-0.3337273664737028	-0.04930015637351636	-0.11668034915094654	-0.2545224494693102	-0.11261596405845413
program_ceacam|ball40|pc1|all|count50	program_ceacam	ball40	pc1	all	50	-0.17334566557467718	4	7	8	225	-0.38283512148912735	0.039477068560196005	-0.16125290302210685	-0.279329328467945	-0.08278804345440263
program|ball15|mean|quartile|count40	program	ball15	mean	quartile	40	-0.1732984166139008	5	8	8	225	-0.34380686870137295	-0.05404238115232042	-0.1311275764766563	-0.2611219591217	-0.07639329761745439
keratin|ball60|mean|quartile|count30	keratin	ball60	mean	quartile	30	-0.17322736162747734	5	8	8	225	-0.33987767840539207	-0.059234952122029255	-0.15182804687039025	-0.27429788677929456	-0.04089824396028052
program|hs30|mean|all|count40	program	hs30	mean	all	40	-0.17315910549466443	5	8	8	225	-0.3372248920640387	-0.055567605906036065	-0.14231652801410338	-0.2707859584553674	-0.059900543033776565
adhesion|hs15|mean|quartile|count75	adhesion	hs15	mean	quartile	75	-0.17297682667855574	4	7	8	225	-0.4124596095870233	-0.07523598284708391	-0.1264827414322557	-0.29379864321916405	0.043092843692748205
