graph	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907_tumor_no_brain	2316	31	0	0	0.0	0.0	0.04658619686961174		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2317	31	0	0	0.0	0.0	0.37194931507110596		Myeloid cells	1	31			False		
GSE131907_tumor_no_brain	2318	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2319	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2320	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2321	31	0	0	0.0	0.0	0.039573438465595245		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2322	31	0	31	0.0	1.0	2.9737610816955566	2.9737610816955566	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2323	31	1	0	0.03225806451612903	0.0	0.01204624306410551		B lymphocytes	4	31			False		
GSE131907_tumor_no_brain	2324	31	0	0	0.0	0.0	0.0		Myeloid cells	9	31	-0.08333333333333334	0.831214097710308	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2325	31	0	0	0.0	0.0	0.05446116253733635		B lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2326	31	0	31	0.0	1.0	2.2212252616882324	2.2212252616882324	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2327	31	0	0	0.0	0.0	0.0445481576025486		B lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2328	31	31	0	1.0	0.0	0.04161448776721954		T lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2329	31	0	30	0.0	0.967741935483871	0.6842806935310364	0.7070900797843933	Epithelial cells	5	31	-0.6	0.28475697986529386	True	0.8287009250773654	0.8266271402413851
GSE131907_tumor_no_brain	2330	31	0	0	0.0	0.0	0.0		B lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2331	31	0	0	0.0	0.0	0.18206743896007538		Myeloid cells	1	31			False		
GSE131907_tumor_no_brain	2332	31	31	0	1.0	0.0	0.0868479385972023		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2333	31	0	0	0.0	0.0	0.2423291653394699		Myeloid cells	3	31			False		
GSE131907_tumor_no_brain	2334	31	0	0	0.0	0.0	0.017007777467370033		Myeloid cells	7	31	-0.14285714285714288	0.7599453002180927	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2335	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	2336	31	31	0	1.0	0.0	0.06228949502110481		NK cells	1	31			False		
