cohort	sample_id	TACSTD2_RNA	TACSTD2_protein	xCell_T_cell_CD8+	xCell_immune_score	CIBERSORT_T_cell_CD8+	ESTIMATE_ImmuneScore	WES_purity	WGS_purity	ESTIMATEScore	ESTIMATE_TumorPurity_Yoshihara	ESTIMATE_StromalScore	xCell_stroma_score	xCell_microenvironment_score
LSCC	C3L-03678	14.1217	27.1357947100944	0.01056149	0.06252093	0.140829307	6987.016	0.5	0.3775	13137.247	-0.8206721459313916	6150.23	0.02506755	0.08758848
LSCC	C3L-03961	12.9916	26.0720424935531	0.0240828	0.3390753	0.17119708	9586.249	0.28	0.23	18077.641	-0.993165341568611	8491.392	0.07099326	0.4100686
LSCC	C3L-03962	11.4716	26.3206889153287	0.03813604	0.06205248	0.063905291	5329.551	0.53	0.375	11049.602	-0.610066307834497	5720.051	0.01333453	0.075387
LSCC	C3L-03963	10.4917	25.379905833056	0.09554174	0.3344562	0.305143833	9889.599	0.25	0.16	18223.441	-0.9904401641290804	8333.843	0.0916414	0.4260976
LSCC	C3L-03965	11.9715	26.1503517542189	3.5568109999999998e-19	0.0876817	0.15589797	7115.069	0.42	0.455	14060.216	-0.8903291152774987	6945.148	0.06314263	0.1508243
LSCC	C3L-04013	9.7219	25.7374226120412	0.0	0.009091492	0.100586828	4597.709	0.81	0.789	7824.618	-0.18173842791094363	3226.908	0.006161912	0.0152534
LSCC	C3L-04014	11.9716	26.7776900570833	0.0135635	0.1033038	0.121003892	7592.101	0.36	0.235	14302.32	-0.9059446481465754	6710.22	0.03352553	0.1368293
LSCC	C3L-04071	11.8414	26.4778635078131	0.0450677	0.2971513	0.1281564683	9840.928	0.25	0.1375	18727.833	-0.9775229059031444	8886.905	0.08245206	0.3796034
LSCC	C3L-04391	12.1016	26.5438684339918	0.00186507	0.1369302	0.043892188	8197.119	0.3	0.18	17468.198	-0.9996212555902899	9271.08	0.04668368	0.1836139
LSCC	C3N-00211	13.1815	26.9510889541525	0.002585544	0.08788637	0.030144843	7140.634	0.26	0.26	15940.68	-0.9807171343808783	8800.045	0.06699968	0.1548861
LSCC	C3N-00221	12.6114	26.2793740973143	9.575614e-19	0.02174243	0.084725217	4988.409	0.98	0.639	10397.878	-0.531591760432631	5409.469	0.01106365	0.03280608
LSCC	C3N-00247	11.8417	25.8758670304205	0.1991034	0.5611272	0.43940833	11388.346	0.22	0.1	20319.924	-0.9021263986174185	8931.578	0.0877535	0.6488806
LSCC	C3N-00497	10.4367	26.1429471579126	0.1307454	0.4340012	0.40796018	10507.332	0.29	0.165	18786.859	-0.9756595427961477	8279.526	0.1205549	0.5545561
LSCC	C3N-00555	12.8315	27.4495169983643	0.02460518	0.144921	0.106353896	7720.89	0.31	0.3175	13767.645	-0.869960126909884	6046.756	0.005454535	0.1503755
LSCC	C3N-01017	13.4816	27.0633305153411	0.02932154	0.1954677	0.273398092	7428.904	0.37	0.2625	12984.923	-0.8076919298165426	5556.019	0.03441419	0.2298819
LSCC	C3N-01020	9.6219	26.0916036190654	0.0	0.3221533	0.17941255	10384.542	0.29	0.16	18463.143	-0.9849745466635389	8078.601	0.06787464	0.390028
LSCC	C3N-01025	12.5515	27.155400802916	0.003701449	0.06767075	0.07752396	6033.961	0.48	0.5125	11778.536	-0.6911964358105441	5744.575	0.007281031	0.07495178
LSCC	C3N-01028	12.2716	26.6229236610237	0.0208008	0.278538	0.12901608	9208.621	0.28	0.3	16798.856	-0.9974997993090757	7590.236	0.02911509	0.3076531
LSCC	C3N-01194	13.6515	27.6089558364228	0.1385308	0.391132	0.334796976	9933.672	0.26	0.15	17192.514	-0.9999162298052735	7258.843	0.03557732	0.4267094
LSCC	C3N-01411	12.4516	26.9990290616694	3.270343e-18	0.02986698	0.29831133	6712.241	0.74	0.58	12919.374	-0.801981551493736	6207.132	0.03256759	0.06243457
LSCC	C3N-01846	12.1516	26.3368231483017	9.584266999999999e-20	0.05600437	0.168265959	6976.467	0.44	0.32	14488.232	-0.9171602576587143	7511.766	0.05830962	0.114314
LSCC	C3N-01892	11.4616	25.9489469808813	0.02572839	0.1884289	0.322088843	8797.714	0.32	0.32	17088.05	-0.9996002058898845	8290.336	0.06675513	0.255184
LSCC	C3N-01893	13.8415	27.3672774254676	0.04035115	0.2689334	0.185575307	9983.613	0.25	0.25	18078.196	-0.9931558297119558	8094.583	0.04622933	0.3151627
LSCC	C3N-02252	13.0516	27.5618093977454	0.02848087	0.1468239	0.15487309	8789.702	0.43	0.425	16304.052	-0.9897415790677553	7514.35	0.1047806	0.2516046
LSCC	C3N-02283	11.2016	25.9759906714309	6.059934e-18	0.005576359	0.226985357	2110.664	0.87	0.85	4995.923	0.23037748181278372	2885.259	0.01225033	0.01782669
LSCC	C3N-02284	14.0519	28.7163749422162	0.0008475556	0.002800134	0.121434213	4334.302	0.67	0.7025	7983.298	-0.20459155251167363	3648.996	0.009588463	0.0123886
LSCC	C3N-02285	13.7217	27.9707195486934	1.749897e-19	0.104904	0.087027144	8121.224	0.33	0.365	15500.948	-0.9660688807867204	7379.725	0.05240237	0.1573063
LSCC	C3N-02288	12.8915	26.3136194132746	0.0	0.1645278	0.148693555	7990.761	0.96	0.36	14484.053	-0.9169156223664369	6493.293	0.02246893	0.1869968
LSCC	C3N-02289	12.1916	26.3541959984771	0.004064286	0.1737259	0.093162329	8842.926	0.24	0.11	17867.203	-0.9962963129226052	9024.277	0.1438167	0.3175426
LSCC	C3N-02300	13.0515	27.1429126946072	0.002038334	0.08750988	0.19243412	7963.141	0.4	0.255	15277.805	-0.9570921428216603	7314.663	0.06196397	0.1494738
LSCC	C3N-02339	13.0217	26.6586262141977	0.0	0.1055207	0.10689934	7740.632	0.28	0.22	16549.457	-0.9942448981018481	8808.825	0.12205	0.2275707
LSCC	C3N-02374	14.0017	27.9606564526647	0.0	0.07312796	0.190778682	7414.409	0.34	0.37	14378.391	-0.9106158561080903	6963.983	0.01952692	0.09265488
LSCC	C3N-02375	14.5316	27.8549356043925	0.0009235531	0.07929861	0.147718176	7092.818	0.72	0.4875	12034.927	-0.717898296847187	4942.11	0.005599107	0.08489771
LSCC	C3N-02425	14.9116	28.2004555556803	0.01662836	0.06677619	0.14307995	6465.132	0.51	0.57	11261.526	-0.6344155969471519	4796.394	0.01388963	0.08066582
LSCC	C3N-02426	12.2217	26.7756552868958	0.05873828	0.2071572	0.284568606	9322.928	0.32	0.2125	18914.817	-0.9713688033806851	9591.889	0.1045836	0.3117408
LSCC	C3N-02434	13.0515	27.0891939984871	0.0	0.03820926	0.18643498	5941.645	0.66	0.415	10505.797	-0.5449420565834369	4564.151	0.01011444	0.04832371
LSCC	C3N-02435	12.1817	27.0511801854562	0.00408122	0.04317873	0.16344219	6659.487	0.72	0.43	14347.921	-0.9087584172136685	7688.434	0.05393829	0.09711702
LSCC	C3N-02494	12.5017	26.5958500786806	0.03897523	0.325835	0.06848409	8976.606	0.42	0.255	16466.197	-0.99286136339672	7489.591	0.060226	0.386061
LSCC	C3N-02523	11.6416	26.7106451125157	8.748984999999998e-19	0.05924682	0.035885202	6907.034	0.52	0.54	14214.329	-0.9004006251451516	7307.295	0.02445276	0.08369958
LSCC	C3N-02575	14.1817	27.5729384463357	0.0	0.02343179	0.05815488	4637.175	0.78	0.61	8442.379	-0.27003962064678155	3805.204	0.02885124	0.05228303
LSCC	C3N-02675	13.0316	26.949262152465	0.07217016	0.3799198	0.27604475	10556.834	0.24	0.12	18569.768	-0.982151042929078	8012.935	0.09537582	0.4752956
LSCC	C3N-03051	13.4415	27.8981128387806	2.5245039999999997e-19	0.1197112	0.0	7693.499	0.34	0.3475	14126.16	-0.8946947246461111	6432.661	0.006872267	0.1265834
LSCC	C3N-03072	11.3018	25.9945682783374	0.0	0.06225782	0.042648485	6400.169	0.47	0.5125	14108.646	-0.8935434258940964	7708.477	0.008043306	0.07030112
LSCC	C3N-03076	11.1416	26.3396081700546	0.02120632	0.1721463	0.0592605	7528.236	0.37	0.33	15698.242	-0.9731427808930994	8170.005	0.05919124	0.2313376
LSCC	C3N-03092	12.0816	26.4940561920345	0.01900139	0.3060947	0.2316356884	10136.719	0.66	0.14	18220.035	-0.9905090065188181	8083.316	0.02451203	0.3306068
LSCC	C3N-03093	11.4917	26.0177823043277	0.03403829	0.3231706	0.21606693	10169.094	0.38	0.088	18105.631	-0.9926774204359412	7936.537	0.04655695	0.3697276
LSCC	C3N-03204	13.5215	28.1698276925996	8.083852999999999e-20	0.02339405	0.086974045	5996.253	0.66	0.5075	11639.873	-0.6763450291453411	5643.62	0.007968571	0.03136262
LSCC	C3N-03424	12.5441	27.1990203972038	0.1001883	0.3638906	0.29069174	10116.944	0.25	0.12	18831.706	-0.9741948170289281	8714.761	0.1376818	0.5015724
LSCC	C3N-03425	12.4416	26.8826783323932	0.0	0.1345739	0.0	8020.425	0.28	0.28	14737.489	-0.9311241914508749	6717.064	0.006197164	0.140771
LSCC	C3N-03441	10.9216	26.1871701362753	0.003742571	0.2131155	0.190207667	8922.842	0.25	0.14	16576.164	-0.9946572408267939	7653.322	0.07220571	0.2853212
LSCC	C3N-03486	12.6314	26.8393570530585	0.002742818	0.1173766	0.203738247	8782.851	0.35	0.37	14751.52	-0.93187335246898	5968.67	0.007886461	0.125263
LSCC	C3N-03662	11.1318	26.1062627722092	8.848169999999999e-19	0.03116004	0.06535181	6290.012	0.52	0.365	14093.372	-0.8925345543235231	7803.361	0.04944879	0.08060883
LSCC	C3N-03848	13.3817	27.0134302166464	0.04756052	0.404833	0.12717188	10303.099		0.05	19443.238	-0.9500387379785555	9140.139	0.1058666	0.5106995
LSCC	C3N-03851	7.3128	24.7263245301587	0.05741686	0.1075925	0.217370563	6512.201	0.48	0.48	12366.896	-0.7509554386246835	5854.695	0.06428884	0.1718814
LSCC	C3N-03875	13.6115	28.2197201884975	0.01239261	0.1347999	0.10742175	8150.873	0.4	0.4	14816.575	-0.935295149570589	6665.702	0.005176534	0.1399764
LSCC	C3N-03877	12.0117	26.5077816861843	0.00154751	0.02763189	0.101543376	5593.807	0.71	0.44	11440.916	-0.6545480234228677	5847.109	0.03710809	0.06473998
LSCC	C3N-03880	13.3516	27.6905505113278	0.08809001	0.2718228	0.23489164	9205.822	0.9	0.22	16280.029	-0.9892316271951531	7074.207	0.003611992	0.2754348
LSCC	C3N-03882	14.5015	28.783787445002	3.352383e-18	0.03304869	0.02231677	5055.524	0.78	0.755	8492.385	-0.27709988511051514	3436.861	0.001432507	0.03448119
LSCC	C3N-03886	7.7706	25.3697590351574	7.475757999999999e-19	0.01907854	0.136747644	4835.229	0.83	0.71	9133.584	-0.36617487646432717	4298.355	0.01242544	0.03150398
LSCC	C3N-04124	12.3317	26.8111564240592	0.01303882	0.1884983	0.18566206	8691.201	0.7	0.225	17277.05	-0.9999998569273209	8585.849	0.03348323	0.2219815
LSCC	C3N-04127	12.5617	27.0143525160473	0.005237461	0.3174347	0.1145446645	9746.152	0.24	0.1	18279.789	-0.9892653387340653	8533.637	0.03989582	0.3573305
LSCC	C3N-04155	12.9515	27.1097666782384	0.0	0.02242233	0.076958203	5383.495	0.52	0.535	10534.095	-0.548420212594374	5150.6	0.002371312	0.02479365
LSCC	C3N-04162	14.2516	28.0071000706227	0.01053239	0.03709596	0.359323657	6420.992	0.37	0.37	11006.321	-0.6050201101192265	4585.329	0.003077954	0.04017392
