n_pos	n_neg	median_pos	median_neg	U	p	cliffs_delta	note	series	gene	gene_present	covariate	adjustment	endpoint	test	timepoint	setting	drug	assay	n	rho	n_events	hr	hr_ci_low	hr_ci_high	logrank_p
					0.03300601625107795		purity residual = ESTIMATEScore; residualises both ranks	GSE248378	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.40397751011241917					
					0.002121955242574287			GSE248378	TACSTD2	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.5472906403940886					
					2.2934674545048468e-05		purity residual = ESTIMATEScore; residualises both ranks	GSE248378	TACSTD2	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.7102675745610266					
					0.011222659676377032			GSE248378	CLDN4	True	none	unadjusted	CD8A	Spearman unadjusted	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.46403940886699496					
					0.0407093708608228			GSE248378	CLDN4	True	none	unadjusted	GEP18	Spearman unadjusted	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.38226600985221665					
					0.003201641670700184			GSE248378	CLDN4	True	none	unadjusted	CYT	Spearman unadjusted	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.5285714285714285					
					0.08278682478282441			GSE248378	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CD8A	Spearman of OLS-residual vs raw endpoint	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.32758620689655166					
					0.08429536687472867		purity residual = ESTIMATEScore; residualises both ranks	GSE248378	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CD8A	partial Spearman (ranks, n-3 df)	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.3320474849234444					
					0.2994569392458455			GSE248378	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	GEP18	Spearman of OLS-residual vs raw endpoint	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.19950738916256153					
					0.3827201821007356		purity residual = ESTIMATEScore; residualises both ranks	GSE248378	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	GEP18	partial Spearman (ranks, n-3 df)	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.1715553994520144					
					0.042713801649729176			GSE248378	CLDN4	True	ESTIMATEScore	OLS residual on ESTIMATEScore	CYT	Spearman of OLS-residual vs raw endpoint	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.3788177339901477					
					0.03172144840078885		purity residual = ESTIMATEScore; residualises both ranks	GSE248378	CLDN4	True	ESTIMATEScore	partial Spearman | ESTIMATEScore	CYT	partial Spearman (ranks, n-3 df)	post	neoadjuvant stage I–III NSCLC, residual tumor	durvalumab ± SBRT (NCT02904954)	bulk RNA-seq log2(FPKM+1)	29.0	-0.40672507287691695					
