Study_ID,GSM_ID,IN_VIVO,Cancer_type,Cell_Line,sub_clone,Condition,ICB,ICB_study,ICB_group,ICB_Baseline_TYPE,Baseline,Cell_treatment,Cell_genotype,Tumor,Mouse_genotype,Mouse_strain,Mouse_treatment,Timepoint,Implantation,Implantation_site,SRX_ID,SampleName
GSE130472,GSM3739266,in_vivo,Mammary carcinoma,4T1,parental,old,1,NR,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; old;,NA,orthotopic,mammary fat pad,SRX5768474,SRX5768474
GSE130472,GSM3739267,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768475,SRX5768475
GSE130472,GSM3739268,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768476,SRX5768476
GSE130472,GSM3739269,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768477,SRX5768477
GSE130472,GSM3739270,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768478,SRX5768478
GSE130472,GSM3739271,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768479,SRX5768479
GSE130472,GSM3739272,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768480,SRX5768480
GSE130472,GSM3739273,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768481,SRX5768481
GSE130472,GSM3739274,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768482,SRX5768482
GSE130472,GSM3739275,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768483,SRX5768483
GSE130472,GSM3739276,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768484,SRX5768484
GSE130472,GSM3739277,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768485,SRX5768485
GSE130472,GSM3739278,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,BALB/c,antiCTLA4; young;,NA,orthotopic,mammary fat pad,SRX5768486,SRX5768486
GSE130472,GSM3739279,in_vivo,Mammary carcinoma,4T1,parental,young,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype; young;,NA,orthotopic,mammary fat pad,SRX5768487,SRX5768487
GSE130472,GSM3739280,in_vivo,Mammary carcinoma,4T1,parental,young,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype; young;,NA,orthotopic,mammary fat pad,SRX5768488,SRX5768488
GSE130472,GSM3739281,in_vivo,Mammary carcinoma,4T1,parental,young,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype; young;,NA,orthotopic,mammary fat pad,SRX5768489,SRX5768489
GSE130472,GSM3739282,in_vivo,Mammary carcinoma,4T1,parental,young,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype; young;,NA,orthotopic,mammary fat pad,SRX5768490,SRX5768490
GSE130472,GSM3739283,in_vivo,Mammary carcinoma,4T1,parental,young,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype; young;,NA,orthotopic,mammary fat pad,SRX5768491,SRX5768491
GSE130472,GSM3739284,in_vivo,Mammary carcinoma,4T1,parental,young,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype; young;,NA,orthotopic,mammary fat pad,SRX5768492,SRX5768492
GSE130472,GSM3739285,in_vivo,Mammary carcinoma,4T1,parental,young,0,Baseline,NA,R,1,NA,WT,primary,WT,BALB/c,isotype; young;,NA,orthotopic,mammary fat pad,SRX5768493,SRX5768493
GSE130472,GSM3739286,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768494,SRX5768494
GSE130472,GSM3739287,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768495,SRX5768495
GSE130472,GSM3739288,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768496,SRX5768496
GSE130472,GSM3739289,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768497,SRX5768497
GSE130472,GSM3739290,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768498,SRX5768498
GSE130472,GSM3739291,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768499,SRX5768499
GSE130472,GSM3739292,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768500,SRX5768500
GSE130472,GSM3739293,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768501,SRX5768501
GSE130472,GSM3739294,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768502,SRX5768502
GSE130472,GSM3739295,in_vivo,Mammary carcinoma,4T1,parental,young,1,R,antiPDL1,NA,0,NA,WT,primary,WT,BALB/c,antiPDL1; young;,NA,orthotopic,mammary fat pad,SRX5768503,SRX5768503
GSE130900,GSM3755948,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,sh_control,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807102,SRX5807102
GSE130900,GSM3755949,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,sh_control,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807103,SRX5807103
GSE130900,GSM3755950,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,sh_control,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807104,SRX5807104
GSE130900,GSM3755951,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,sh_control,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807105,SRX5807105
GSE130900,GSM3755952,in_vivo,Mammary carcinoma,Mvt1,parental,Rnaseh2c_knockdown,0,NA,NA,NA,0,shRnaseh2c,Rnaseh2c_knockdown,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807106,SRX5807106
GSE130900,GSM3755953,in_vivo,Mammary carcinoma,Mvt1,parental,Rnaseh2c_knockdown,0,NA,NA,NA,0,shRnaseh2c,Rnaseh2c_knockdown,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807107,SRX5807107
GSE130900,GSM3755954,in_vivo,Mammary carcinoma,Mvt1,parental,Rnaseh2c_knockdown,0,NA,NA,NA,0,shRnaseh2c,Rnaseh2c_knockdown,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807108,SRX5807108
GSE130900,GSM3755955,in_vivo,Mammary carcinoma,Mvt1,parental,Rnaseh2c_knockdown,0,NA,NA,NA,0,shRnaseh2c,Rnaseh2c_knockdown,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807109,SRX5807109
GSE130900,GSM3755963,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,sh_control,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807116,SRX5807116
GSE130900,GSM3755966,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,sh_control,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807117,SRX5807117
GSE130900,GSM3755968,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,sh_control,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807118,SRX5807118
GSE130900,GSM3755971,in_vivo,Mammary carcinoma,Mvt1,parental,Rnaseh2c_knockdown,0,NA,NA,NA,0,shRnaseh2c,Rnaseh2c_knockdown,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807119,SRX5807119
GSE130900,GSM3755973,in_vivo,Mammary carcinoma,Mvt1,parental,Rnaseh2c_knockdown,0,NA,NA,NA,0,shRnaseh2c,Rnaseh2c_knockdown,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807120,SRX5807120
GSE130900,GSM3755975,in_vivo,Mammary carcinoma,Mvt1,parental,Rnaseh2c_knockdown,0,NA,NA,NA,0,shRnaseh2c,Rnaseh2c_knockdown,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX5807121,SRX5807121
GSE131271,GSM3768316,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,1,vector_control,WT,primary,WT,C57BL/6-GFP(C57BL/6J-132Tg(UBC-GFP)30Scha/J),no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX5836779,SRX5836779
GSE131271,GSM3768317,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,1,vector_control,WT,primary,WT,C57BL/6-GFP(C57BL/6J-132Tg(UBC-GFP)30Scha/J),no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX5836780,SRX5836780
GSE131271,GSM3768318,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,1,vector_control,WT,primary,WT,C57BL/6-GFP(C57BL/6J-132Tg(UBC-GFP)30Scha/J),no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX5836781,SRX5836781
GSE131271,GSM3768319,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,0,shSocs1,Socs1_knockdown,primary,WT,C57BL/6-GFP(C57BL/6J-132Tg(UBC-GFP)30Scha/J),no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX5836782,SRX5836782
GSE131271,GSM3768320,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,0,shSocs1,Socs1_knockdown,primary,WT,C57BL/6-GFP(C57BL/6J-132Tg(UBC-GFP)30Scha/J),no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX5836783,SRX5836783
GSE131271,GSM3768321,in_vivo,Lung carcinoma,LLC,parental,NA,0,NA,NA,NA,0,shSocs1,Socs1_knockdown,primary,WT,C57BL/6-GFP(C57BL/6J-132Tg(UBC-GFP)30Scha/J),no_treatment,NA,orthotopic,left lung lobe parenchyma,SRX5836784,SRX5836784
GSE132289,GSM3855682,in_vivo,Ovarian carcinoma,30200,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982069,SRX5982069
GSE132289,GSM3855683,in_vivo,Ovarian carcinoma,30200,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982070,SRX5982070
GSE132289,GSM3855684,in_vivo,Ovarian carcinoma,30200,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982071,SRX5982071
GSE132289,GSM3855685,in_vivo,Ovarian carcinoma,30200,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982072,SRX5982072
GSE132289,GSM3855686,in_vivo,Ovarian carcinoma,60577,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982073,SRX5982073
GSE132289,GSM3855687,in_vivo,Ovarian carcinoma,60577,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982074,SRX5982074
GSE132289,GSM3855688,in_vivo,Ovarian carcinoma,60577,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982075,SRX5982075
GSE132289,GSM3855689,in_vivo,Ovarian carcinoma,60577,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982076,SRX5982076
GSE132289,GSM3855690,in_vivo,Ovarian carcinoma,60577,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982077,SRX5982077
GSE132289,GSM3855695,in_vivo,Ovarian carcinoma,HGS1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982082,SRX5982082
GSE132289,GSM3855696,in_vivo,Ovarian carcinoma,HGS1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982083,SRX5982083
GSE132289,GSM3855697,in_vivo,Ovarian carcinoma,HGS2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982084,SRX5982084
GSE132289,GSM3855698,in_vivo,Ovarian carcinoma,HGS1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982085,SRX5982085
GSE132289,GSM3855701,in_vivo,Ovarian carcinoma,HGS2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982088,SRX5982088
GSE132289,GSM3855702,in_vivo,Ovarian carcinoma,HGS2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982089,SRX5982089
GSE132289,GSM3855703,in_vivo,Ovarian carcinoma,HGS2,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982090,SRX5982090
GSE132289,GSM3855704,in_vivo,Ovarian carcinoma,HGS3,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982091,SRX5982091
GSE132289,GSM3855705,in_vivo,Ovarian carcinoma,HGS3,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982092,SRX5982092
GSE132289,GSM3855706,in_vivo,Ovarian carcinoma,HGS3,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982093,SRX5982093
GSE132289,GSM3855707,in_vivo,Ovarian carcinoma,HGS3,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982094,SRX5982094
GSE132289,GSM3855708,in_vivo,Ovarian carcinoma,HGS4,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982095,SRX5982095
GSE132289,GSM3855709,in_vivo,Ovarian carcinoma,HGS4,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982096,SRX5982096
GSE132289,GSM3855710,in_vivo,Ovarian carcinoma,HGS4,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982097,SRX5982097
GSE132289,GSM3855711,in_vivo,Ovarian carcinoma,HGS4,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982098,SRX5982098
GSE132289,GSM3855712,in_vivo,Ovarian carcinoma,HGS4,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,intraperitoneal,intraperitoneal,SRX5982099,SRX5982099
GSE132529,GSM3898688,in_vivo,Mammary carcinoma,4T1,parental,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,BALB/c,vehicle,NA,subcutaneous,flank,SRX6095883,SRX6095883
GSE132529,GSM3898689,in_vivo,Mammary carcinoma,4T1,parental,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,BALB/c,vehicle,NA,subcutaneous,flank,SRX6095884,SRX6095884
GSE132529,GSM3898690,in_vivo,Mammary carcinoma,4T1,parental,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,BALB/c,vehicle,NA,subcutaneous,flank,SRX6095885,SRX6095885
GSE132529,GSM3898691,in_vivo,Mammary carcinoma,4T1,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1,NA,subcutaneous,flank,SRX6095886,SRX6095886
GSE132529,GSM3898692,in_vivo,Mammary carcinoma,4T1,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1,NA,subcutaneous,flank,SRX6095887,SRX6095887
GSE132529,GSM3898693,in_vivo,Mammary carcinoma,4T1,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,BALB/c,antiPD1,NA,subcutaneous,flank,SRX6095888,SRX6095888
GSE134388,GSM3945607,in_vivo,Melanoma,B16,B16F10,Alkbh5_KO,1,R,antiPD1,NA,0,sgAlkbh5,Alkbh5_KO,primary,WT,C57BL/6J,antiPD1; Gvax;,NA,subcutaneous,flank,SRX6454780,SRX6454780
GSE134388,GSM3945608,in_vivo,Melanoma,B16,B16F10,Alkbh5_KO,1,R,antiPD1,NA,0,sgAlkbh5,Alkbh5_KO,primary,WT,C57BL/6J,antiPD1; Gvax;,NA,subcutaneous,flank,SRX6454781,SRX6454781
GSE134388,GSM3945609,in_vivo,Melanoma,B16,B16F10,Fto_KO,1,NR,antiPD1,NA,0,sgFto,Fto_KO,primary,WT,C57BL/6J,antiPD1; Gvax;,NA,subcutaneous,flank,SRX6454782,SRX6454782
GSE134388,GSM3945610,in_vivo,Melanoma,B16,B16F10,Fto_KO,1,NR,antiPD1,NA,0,sgFto,Fto_KO,primary,WT,C57BL/6J,antiPD1; Gvax;,NA,subcutaneous,flank,SRX6454783,SRX6454783
GSE134388,GSM3945611,in_vivo,Melanoma,B16,B16F10,NA,1,NR,antiPD1,NA,0,sg_control,WT,primary,WT,C57BL/6J,antiPD1; Gvax;,NA,subcutaneous,flank,SRX6454784,SRX6454784
GSE134388,GSM3945612,in_vivo,Melanoma,B16,B16F10,NA,1,NR,antiPD1,NA,0,sg_control,WT,primary,WT,C57BL/6J,antiPD1; Gvax;,NA,subcutaneous,flank,SRX6454785,SRX6454785
GSE136121,GSM4041370,in_vivo,Colorectal carcinoma,MC38,parental,NA,1,NR,antiPD1,NA,0,NA,GFP,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,upper right shoulder,SRX6748220,SRX6748220
GSE136121,GSM4041371,in_vivo,Colorectal carcinoma,MC38,parental,NA,1,NR,antiPD1,NA,0,NA,GFP,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,upper right shoulder,SRX6748221,SRX6748221
GSE136121,GSM4041372,in_vivo,Colorectal carcinoma,MC38,parental,NA,1,R,antiPD1,NA,0,NA,GFP,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,upper right shoulder,SRX6748222,SRX6748222
GSE136121,GSM4041373,in_vivo,Colorectal carcinoma,MC38,parental,NA,1,R,antiPD1,NA,0,NA,GFP,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,upper right shoulder,SRX6748223,SRX6748223
GSE136619,GSM4053051,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6777975,SRX6777975
GSE136619,GSM4053052,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6777976,SRX6777976
GSE136619,GSM4053053,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6777977,SRX6777977
GSE136619,GSM4053054,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6777978,SRX6777978
GSE136619,GSM4053055,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6777979,SRX6777979
GSE136619,GSM4053066,in_vivo,Bladder carcinoma,BBN963,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,SRX6777990,SRX6777990
GSE136619,GSM4053067,in_vivo,Bladder carcinoma,BBN963,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,SRX6777991,SRX6777991
GSE136619,GSM4053070,in_vivo,Bladder carcinoma,MB49,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,SRX6777994,SRX6777994
GSE136619,GSM4053071,in_vivo,Bladder carcinoma,MB49,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,SRX6777995,SRX6777995
GSE136619,GSM4053072,in_vivo,Bladder carcinoma,MB49,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,SRX6777996,SRX6777996
GSE136619,GSM4053073,in_vivo,Bladder carcinoma,MB49,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6,no_treatment,NA,subcutaneous,flank,SRX6777997,SRX6777997
GSE136619,GSM4053078,in_vivo,Mastocytoma,P815,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,DBA/2J,no_treatment,NA,intravenous,tail vein,SRX6778002,SRX6778002
GSE136619,GSM4053079,in_vivo,Mastocytoma,P815,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,DBA/2J,no_treatment,NA,intravenous,tail vein,SRX6778003,SRX6778003
GSE136619,GSM4053086,in_vivo,Bladder carcinoma,UPPL1541,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6778010,SRX6778010
GSE136619,GSM4053087,in_vivo,Bladder carcinoma,UPPL1541,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6778011,SRX6778011
GSE136619,GSM4053088,in_vivo,Bladder carcinoma,UPPL1541,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6778012,SRX6778012
GSE136619,GSM4053089,in_vivo,Bladder carcinoma,UPPL1541,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,no_treatment,NA,subcutaneous,flank,SRX6778013,SRX6778013
GSE137818,GSM4088892,in_vivo,Mammary carcinoma,4T1,parental,Brca2_KO,0,Baseline,NA,R,0,sgBrca2,Brca2_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884966,SRX6884966
GSE137818,GSM4088893,in_vivo,Mammary carcinoma,4T1,parental,Brca2_KO,0,Baseline,NA,R,0,sgBrca2,Brca2_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884967,SRX6884967
GSE137818,GSM4088894,in_vivo,Mammary carcinoma,4T1,parental,Brca2_KO,0,Baseline,NA,R,0,sgBrca2,Brca2_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884968,SRX6884968
GSE137818,GSM4088895,in_vivo,Mammary carcinoma,4T1,parental,Brca2_KO,0,Baseline,NA,R,0,sgBrca2,Brca2_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884969,SRX6884969
GSE137818,GSM4088896,in_vivo,Mammary carcinoma,4T1,parental,Brca2_KO,0,Baseline,NA,R,0,sgBrca2,Brca2_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884970,SRX6884970
GSE137818,GSM4088897,in_vivo,Mammary carcinoma,4T1,parental,Brca1_KO,0,Baseline,NA,NR,0,sgBrca1,Brca1_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884971,SRX6884971
GSE137818,GSM4088898,in_vivo,Mammary carcinoma,4T1,parental,Brca1_KO,0,Baseline,NA,NR,0,sgBrca1,Brca1_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884972,SRX6884972
GSE137818,GSM4088899,in_vivo,Mammary carcinoma,4T1,parental,Brca1_KO,0,Baseline,NA,NR,0,sgBrca1,Brca1_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884973,SRX6884973
GSE137818,GSM4088900,in_vivo,Mammary carcinoma,4T1,parental,Brca1_KO,0,Baseline,NA,NR,0,sgBrca1,Brca1_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884974,SRX6884974
GSE137818,GSM4088901,in_vivo,Mammary carcinoma,4T1,parental,Brca1_KO,0,Baseline,NA,NR,0,sgBrca1,Brca1_KO,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884975,SRX6884975
GSE137818,GSM4088902,in_vivo,Mammary carcinoma,4T1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884976,SRX6884976
GSE137818,GSM4088903,in_vivo,Mammary carcinoma,4T1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,BALB/cJ,no_treatment,NA,orthotopic,mammary fat pad,SRX6884977,SRX6884977
