sample,model,study,cohort,timepoint,responder,baseline,mouse_treatment,value,tismo_p,tismo_label,cell_line_label
SRX5100779,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,0.505488544580552,0.636481726367842,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100590,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.82828142570587,nan,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100604,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,0.0261003153427935,nan,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100605,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,4.62108915484783,nan,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100608,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.8248260891989,nan,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100766,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.00455873934662,nan,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100767,KPB25L,GSE124821,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,4.95435430011207,nan,NA,KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)
SRX5100715,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,3.65693529036689,0.955094155118968,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100712,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,3.53633320357905,0.955094155118968,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100621,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,3.14056583438915,0.955094155118968,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100709,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,1.87996879892568,0.955094155118968,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100620,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.780490687119636,0.955094155118968,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100619,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,0.470690952572082,0.955094155118968,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100707,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.0942333669017051,nan,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100708,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,0.0,nan,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100713,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,3.30894649074627,nan,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100716,KPB25L,GSE124821,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,4.30377658444363,nan,NA,KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)
SRX5100714,KPB25L,GSE124821,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,3.60820625936159,0.564876481884934,NA,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100711,KPB25L,GSE124821,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,3.35069624041099,0.564876481884934,NA,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100823,KPB25L,GSE124821,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,2.15570228604765,0.564876481884934,NA,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100820,KPB25L,GSE124821,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,1.86647639055375,nan,NA,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100822,KPB25L,GSE124821,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,2.61039061007158,nan,NA,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100861,KPB25L,GSE124821,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,1.50820906219962,nan,NA,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100863,KPB25L,GSE124821,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,2.01358088644726,nan,NA,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)
SRX5100854,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,4.58455007144281,0.999910030472736,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100853,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,4.26169643735673,0.999910030472736,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100855,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Responders,0,antiPD1; antiCTLA4;,2.51855402230154,0.999910030472736,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100586,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,2.79171073507981,nan,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100587,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.53876051024873,nan,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100592,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.19566492483015,nan,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100593,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.7083469501885,nan,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100597,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.57876811488227,nan,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100599,KPB25L,GSE124821,KPB25L_GSE124821_end_antiCTLA4&antiPD1,end,Baseline,1,no_treatment,3.66266125547509,nan,NA,KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)
SRX5100689,KPB25L,GSE124821,KPB25L_GSE124821_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,3.12422605078964,0.999861192789984,NA,KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100680,KPB25L,GSE124821,KPB25L_GSE124821_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,2.99124318912032,0.999861192789984,NA,KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100690,KPB25L,GSE124821,KPB25L_GSE124821_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,2.82198913631959,0.999861192789984,NA,KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100691,KPB25L,GSE124821,KPB25L_GSE124821_day7_antiCTLA4&antiPD1,day7,Responders,0,antiPD1; antiCTLA4;,2.03301520084466,0.999861192789984,NA,KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100686,KPB25L,GSE124821,KPB25L_GSE124821_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,2.34517010264045,nan,NA,KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100687,KPB25L,GSE124821,KPB25L_GSE124821_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,2.87226575243368,nan,NA,KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100692,KPB25L,GSE124821,KPB25L_GSE124821_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,3.01064111140654,nan,NA,KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100693,KPB25L,GSE124821,KPB25L_GSE124821_day7_antiCTLA4&antiPD1,day7,Baseline,1,no_treatment,3.74280066043126,nan,NA,KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)
SRX5100609,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,3.49086518531675,0.740090616556492,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100594,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,3.25480081853449,0.740090616556492,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100588,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,3.08136689931215,0.740090616556492,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100589,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,3.06087608981456,0.740090616556492,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100595,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Responders,0,antiPD1; antiCTLA4;,2.56724047329162,0.740090616556492,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100591,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,3.55819439521592,nan,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100596,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,3.89003152979845,nan,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100598,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,2.07744127040789,nan,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100617,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,2.47948409723773,nan,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX5100618,KPB25L,GSE124821,KPB25L_GSE124821_day3_antiCTLA4&antiPD1,day3,Baseline,1,no_treatment,3.14075395637055,nan,NA,KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)
SRX3453192,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),4.55035831980152,0.0223871957549608,*,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453197,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.926239357722892,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453198,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.710597855893394,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453201,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.398144871929222,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453193,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.347407596874906,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453196,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.267285685024112,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453199,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.109713299160593,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453195,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.0615145514371984,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453200,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.0494132719860252,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453194,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Responders,0,M7824 (anti_PDL1_TGFb_Trap),0.0136675771644414,0.0223871957549608,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453172,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.163123730836015,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453173,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.0364798694349683,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453174,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.0543623180102043,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453175,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.0428388988790643,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453176,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.0473646293989709,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453177,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.0,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453178,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.112086572128089,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453179,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.0905791323558026,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453180,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.180937089401729,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453181,EMT6,GSE107801,EMT6_GSE107801_antiTGFb_trap_antiPDL1,unspecified,Baseline,1,anti_PDL1(mut)_TGFb_Trap_control,0.239812249717937,nan,NA,EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)
SRX3453182,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.526542853505189,0.0223871957549608,*,EMT6_GSE107801_antiPDL1(n=20)
SRX3453184,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.390944575328941,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453183,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.276312137886272,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453187,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.208506075976743,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453189,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.167208596522478,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453185,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.133562714279131,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453191,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.118564612925006,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453190,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.0875042689346473,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453186,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.0220236785948589,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453188,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Responders,0,antiPDL1;,0.0,0.0223871957549608,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453162,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.753903805925992,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453163,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.135231346403797,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453164,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.108633697087453,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453165,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.161598682284733,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453166,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.0355570166423558,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453167,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.0928110311113982,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453168,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.110239943704061,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453169,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.0541565030262714,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453170,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.029307764995172,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX3453171,EMT6,GSE107801,EMT6_GSE107801_antiPDL1,unspecified,Baseline,1,isotype,0.0,nan,NA,EMT6_GSE107801_antiPDL1(n=20)
SRX10815545,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Non-responders,0,antiPD1; high.fat.diet;,1.375192148378,0.458870947942633,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815541,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Non-responders,0,antiPD1; high.fat.diet;,1.34822739564591,0.458870947942633,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815546,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Non-responders,0,antiPD1; high.fat.diet;,0.683639349916221,0.458870947942633,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815535,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Non-responders,0,antiPD1; high.fat.diet;,0.536080261438423,0.458870947942633,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815547,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Non-responders,0,antiPD1; high.fat.diet;,0.319929399635082,0.458870947942633,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815537,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Non-responders,0,antiPD1; high.fat.diet;,0.243390394205053,0.458870947942633,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815536,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Non-responders,0,antiPD1; high.fat.diet;,0.235722158954861,0.458870947942633,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815540,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Non-responders,0,antiPD1; high.fat.diet;,0.129945426510876,0.458870947942633,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815534,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Baseline,1,isotype; high.fat.diet;,0.111046725714964,nan,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815538,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Baseline,1,isotype; high.fat.diet;,0.138404724841954,nan,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815539,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Baseline,1,isotype; high.fat.diet;,0.0824533159510342,nan,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815542,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Baseline,1,isotype; high.fat.diet;,0.212780358420134,nan,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815543,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Baseline,1,isotype; high.fat.diet;,0.193839855915311,nan,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815544,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Baseline,1,isotype; high.fat.diet;,0.31520021545094,nan,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815548,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Baseline,1,isotype; high.fat.diet;,3.29692605323493,nan,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX10815549,E0771,GSE174053,E0771_GSE174053_high.fat.diet_antiPD1,unspecified,Baseline,1,isotype; high.fat.diet;,0.442950924879926,nan,NA,E0771_GSE174053_high.fat.diet_antiPD1(n=16)
SRX6884999,4T1,GSE137818,4T1_GSE137818_Brca2_KO_antiPD1,unspecified,Responders,0,antiPD1,4.25409640102182,0.990658392275117,NA,4T1_GSE137818_Brca2_KO_antiPD1(n=8)
SRX6885000,4T1,GSE137818,4T1_GSE137818_Brca2_KO_antiPD1,unspecified,Responders,0,antiPD1,4.25409640102182,0.990658392275117,NA,4T1_GSE137818_Brca2_KO_antiPD1(n=8)
SRX6884998,4T1,GSE137818,4T1_GSE137818_Brca2_KO_antiPD1,unspecified,Responders,0,antiPD1,4.15095279525802,0.990658392275117,NA,4T1_GSE137818_Brca2_KO_antiPD1(n=8)
SRX6884966,4T1,GSE137818,4T1_GSE137818_Brca2_KO_antiPD1,unspecified,Baseline,1,no_treatment,3.92360076832232,nan,NA,4T1_GSE137818_Brca2_KO_antiPD1(n=8)
SRX6884967,4T1,GSE137818,4T1_GSE137818_Brca2_KO_antiPD1,unspecified,Baseline,1,no_treatment,4.46403547687553,nan,NA,4T1_GSE137818_Brca2_KO_antiPD1(n=8)
SRX6884968,4T1,GSE137818,4T1_GSE137818_Brca2_KO_antiPD1,unspecified,Baseline,1,no_treatment,4.65844137800402,nan,NA,4T1_GSE137818_Brca2_KO_antiPD1(n=8)
SRX6884969,4T1,GSE137818,4T1_GSE137818_Brca2_KO_antiPD1,unspecified,Baseline,1,no_treatment,3.87695717332294,nan,NA,4T1_GSE137818_Brca2_KO_antiPD1(n=8)
SRX6884970,4T1,GSE137818,4T1_GSE137818_Brca2_KO_antiPD1,unspecified,Baseline,1,no_treatment,3.88567964075514,nan,NA,4T1_GSE137818_Brca2_KO_antiPD1(n=8)
SRX6885002,4T1,GSE137818,4T1_GSE137818_Brca1_KO_antiPD1,unspecified,Non-responders,0,antiPD1,4.37047078694336,0.843155009346725,NA,4T1_GSE137818_Brca1_KO_antiPD1(n=10)
SRX6885004,4T1,GSE137818,4T1_GSE137818_Brca1_KO_antiPD1,unspecified,Non-responders,0,antiPD1,4.27140029847425,0.843155009346725,NA,4T1_GSE137818_Brca1_KO_antiPD1(n=10)
SRX6885005,4T1,GSE137818,4T1_GSE137818_Brca1_KO_antiPD1,unspecified,Non-responders,0,antiPD1,4.13036998337883,0.843155009346725,NA,4T1_GSE137818_Brca1_KO_antiPD1(n=10)
SRX6885001,4T1,GSE137818,4T1_GSE137818_Brca1_KO_antiPD1,unspecified,Non-responders,0,antiPD1,3.65591731625919,0.843155009346725,NA,4T1_GSE137818_Brca1_KO_antiPD1(n=10)
SRX6885003,4T1,GSE137818,4T1_GSE137818_Brca1_KO_antiPD1,unspecified,Non-responders,0,antiPD1,3.59622551726699,0.843155009346725,NA,4T1_GSE137818_Brca1_KO_antiPD1(n=10)
SRX6884971,4T1,GSE137818,4T1_GSE137818_Brca1_KO_antiPD1,unspecified,Baseline,1,no_treatment,4.09483873935877,nan,NA,4T1_GSE137818_Brca1_KO_antiPD1(n=10)
SRX6884972,4T1,GSE137818,4T1_GSE137818_Brca1_KO_antiPD1,unspecified,Baseline,1,no_treatment,4.19278703509791,nan,NA,4T1_GSE137818_Brca1_KO_antiPD1(n=10)
