	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-AD-6899-01	2085.38	177.161	64.7456	12102.5	30657.4
TCGA-AD-6901-01	204.961	188.101	41.6245	16585.5	31460.8
TCGA-AD-6963-01	199.719	356.616	24.219	20111.6	26745.2
TCGA-AD-6964-01	188.94	513.701	88.7546	9754.93	16934.6
TCGA-AD-6965-01	426.653	87.8099	3.6157	13972.1	41208.7
TCGA-AD-A5EJ-01	115.01	60.9162	44.347	13322.1	25840.6
TCGA-AD-A5EK-01	19.9234	29.1188	8.046	19915.3	32318.4
TCGA-AF-2687-01	248.616	247.765	50.6599	7373.35	19206.5
TCGA-AF-2690-01	221.682	439.662	84.23	10379.3	18068.3
TCGA-AF-2691-01	257.6466	243.6783	21.6583	19465.2623	26342.6378
TCGA-AF-2692-01	200.658	78.4843	23.4454	21402.4236	23939.4951
TCGA-AF-2693-01	100.4	99.9675	45.007	23103.3	30054.3
TCGA-AF-3400-01	6223.6081	90.2119	118.4481	12962.5043	14740.0222
TCGA-AF-3911-01	3571.18	78.8734	16.57	20756.0	25779.7
TCGA-AF-4110-01	136.539	307.212	51.202	15905.5	26079.7
TCGA-AF-5654-01	79.9782	9.2492	64.7443	18294.9	36996.2
TCGA-AF-6136-01	52.7638	61.5578	8.794	13689.7	18422.1
TCGA-AF-6655-01	187.323	22.6372	36.2196	18725.0	20877.8
TCGA-AF-6672-01	3312.51	46.5051	9.5251	16546.3	24624.7
TCGA-AF-A56K-01	137.511	94.6799	15.78	31284.0	19812.0
TCGA-AF-A56L-01	179.623	51.3208	13.9623	16714.0	19640.8
TCGA-AF-A56N-01	62.6769	26.2839	12.9397	23389.0	25703.2
TCGA-AG-3574-01	175.916	85.1522	13.0306	10659.8493	35789.9107
TCGA-AG-3575-01	12730.7806	149.0943	136.0438	13778.5456	15204.6568
TCGA-AG-3578-01	6272.1775	55.3827	16.4062	14602.4697	15226.3598
TCGA-AG-3580-01	133.3197	131.45	47.7617	11505.5978	17469.4951
TCGA-AG-3581-01	282.9688	69.1886	14.8646	19852.5956	27096.6195
TCGA-AG-3582-01	217.0914	39.6011	26.2268	15410.0439	20661.1475
TCGA-AG-3583-01	196.4471	50.0102	21.8407	17623.2044	21634.1011
TCGA-AG-3584-01	1687.0468	92.7006	12.616	30930.9275	22477.7584
TCGA-AG-3586-01	860.049	64.8588	27.8979	12355.1825	32975.716
TCGA-AG-3587-01	1132.2424	89.4995	24.617	20966.7478	17809.5513
TCGA-AG-3591-01	9433.22	63.2618	14.4011	11611.4	31641.2
TCGA-AG-3592-01	43.8962	75.9372	33.9635	19104.8	21540.5
TCGA-AG-3593-01	46.1636	83.8616	37.162	9798.7687	23778.9697
TCGA-AG-3594-01	4480.5426	567.3657	126.2726	10706.449	25574.3743
TCGA-AG-3598-01	611.9268	208.0397	29.1165	10286.0253	24922.6934
TCGA-AG-3599-01	424.2605	171.1528	21.8968	17059.7022	24147.2888
TCGA-AG-3600-01	574.5632	109.6144	10.8635	11887.1448	13727.8246
TCGA-AG-3601-01	127.6565	41.7598	5.0579	13931.0327	24451.5928
TCGA-AG-3602-01	349.7628	95.1163	4.4947	17405.2896	25521.3473
TCGA-AG-3605-01	218.8927	91.8893	8.1077	19386.7375	20577.2078
TCGA-AG-3608-01	67.1445	156.5632	13.0176	25942.8622	22324.967
TCGA-AG-3609-01	194.3341	165.9174	9.294	16786.1708	27740.55
TCGA-AG-3725-01	159.206	74.3243	89.9493	23232.3	39327.7
TCGA-AG-3726-01	235.5143	53.184	5.7668	41323.1154	11563.6452
TCGA-AG-3727-01	363.1447	23.3431	7.6486	45936.9893	5697.5658
TCGA-AG-3728-01	438.3882	284.6004	8.3847	71083.6986	9557.4506
TCGA-AG-3731-01	71.49	318.838	66.9024	15008.7	16087.2
TCGA-AG-3732-01	4350.11	226.304	19.5011	14327.9	27242.6
TCGA-AG-3742-01	383.789	37.5977	11.2305	11547.4	27757.8
TCGA-AG-3878-01	80.6631	340.1943	21.5169	50483.494	9096.2327
TCGA-AG-3881-01	1047.1319	128.341	12.125	46283.8893	7882.4735
TCGA-AG-3882-01	363.0643	470.9459	11.5143	56494.0782	9831.3969
TCGA-AG-3883-01	783.1064	41.9821	26.028	38458.5454	11152.1609
TCGA-AG-3885-01	380.4712	107.2715	14.9256	49526.9519	11904.7887
TCGA-AG-3887-01	988.9057	195.3399	21.4935	14159.434	14688.794
TCGA-AG-3890-01	1036.8993	227.108	6.5595	38449.1818	19241.4013
TCGA-AG-3892-01	420.8128	316.5803	60.6892	17582.5522	19992.504
TCGA-AG-3893-01	437.1392	100.4166	10.9301	26666.4158	25822.5435
TCGA-AG-3894-01	653.0053	46.7925	7.0549	12612.0945	16634.7921
TCGA-AG-3896-01	150.329	44.3317	7.5317	15406.871	17631.6198
TCGA-AG-3898-01	332.7689	103.4879	21.7101	15384.3947	25596.2822
TCGA-AG-3901-01	480.6431	89.265	46.5859	10546.3669	20889.2184
TCGA-AG-3902-01	5884.68	480.594	84.201	19103.0	16915.7
TCGA-AG-3909-01	201.8995	73.1583	4.5593	41808.9856	27027.9887
TCGA-AG-3999-01	2686.5276	17.3101	4.1449	33254.0773	13419.8811
TCGA-AG-4001-01	129.5383	57.1283	23.036	14263.7309	31574.1486
TCGA-AG-4005-01	879.2168	39.1765	7.7085	16262.2953	17385.347
TCGA-AG-4007-01	3043.9549	208.4063	12.737	46906.3171	29992.3444
TCGA-AG-4008-01	4115.2587	67.4127	16.1901	9112.0341	24839.1063
TCGA-AG-4015-01	187.2479	78.9842	8.7471	23694.2624	22853.7014
TCGA-AG-4021-01	11640.8	13.016	16.7348	10831.2	37014.5
