	CLDN4	CD274	TACSTD2	lineage	LINEAGE
JHH1_LIVER	71.9277	0.1142	0.242		liver
JHH2_LIVER	39.929	1.934	0.2407		
JHH4_LIVER	5.2863	2.8366	0.1806		liver
JHH5_LIVER	75.5825	0.0722	0.0956		liver
JHH6_LIVER	1.2198	12.0852	0.2048		liver
JHH7_LIVER	5.4137	0.1639	0.0814		liver
JHOC5_OVARY	14.7318	0.5574	18.7013		ovary
JHOM1_OVARY	5.716	0.9588	0.7204		ovary
JHOM2B_OVARY	190.3643	0.7646	56.3247		ovary
JHOS2_OVARY	68.7329	0.8642	517.3493		ovary
JHOS4_OVARY	78.3499	0.1151	335.0142		ovary
JHUEM1_ENDOMETRIUM	257.4437	0.0885	464.7596		uterus
JHUEM2_ENDOMETRIUM	0.2178	0.2463	0.1148		
JHUEM3_ENDOMETRIUM	186.177	7.1866	359.6861		uterus
JHUEM7_ENDOMETRIUM	17.8861	2.4865	134.4124		
JIMT1_BREAST	75.5287	13.386	494.7132		
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2994	0.062	0.2462		
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0265	0.5588	0.0601		
JL1_PLEURA	0.9379	0.6133	0.0758		
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0963	0.0666	0.1323		blood
JMSU1_URINARY_TRACT	0.3093	15.2492	5.6693		urinary_tract
JMURTK2_SOFT_TISSUE	0.1547	0.1635	0.0361		
JOPACA1_PANCREAS	270.8319	3.3672	908.2412		
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4699	0.9771	0.1493		
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4917	0.1818	0.1024		
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1779	60.1052	0.1128		
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1092	27.6532	0.1586		
K029AX_SKIN	0.1444	0.1388	0.0676		
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1337	0.0775	0.163		
KALS1_CENTRAL_NERVOUS_SYSTEM	0.5908	9.0902	0.1804		central_nervous_system
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3435	74.3058	0.2146		lymphocyte
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.144	0.5326	0.1163		
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2359	0.2246	0.2467		
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0855	0.014	0.3695		blood
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1139	0.3748	0.1662		
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1055	0.182	14.8048		
KATOIII_STOMACH	128.0431	0.3599	66.9491		
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1067	0.1904	0.0757		
KD_SOFT_TISSUE	5.661	0.1248	2.4136		
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4623	0.1996	0.251		
KE39_STOMACH	197.2512	0.6748	48.7298		gastric
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5575	10.983	1.0276		plasma_cell
KELLY_AUTONOMIC_GANGLIA	0.154	0.0212	0.1808		
KG1C_CENTRAL_NERVOUS_SYSTEM	2.3428	3.3115	0.2458		central_nervous_system
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1322	0.3255	0.1448		blood
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.157	0.0516	0.108		plasma_cell
KHYG_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4575	0.0657	0.0		
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1181	42.4632	0.0987		lymphocyte
KKU100_BILIARY_TRACT	0.102	1.2656	0.0499		
KLE_ENDOMETRIUM	7.7551	0.0963	0.0669		uterus
KM12_LARGE_INTESTINE	19.9463	0.3334	0.6476		
KMBC2_URINARY_TRACT	227.272	1.8214	553.6718		urinary_tract
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1642	3.2843	0.1942		
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3044	0.0946	0.1727		plasma_cell
KMRC1_KIDNEY	0.1648	7.6492	0.1142		
KMRC20_KIDNEY	73.798	1.0461	0.3038		kidney
KMRC2_KIDNEY	9.7526	4.4789	0.1569		
KMRC3_KIDNEY	2.96	29.2878	0.0845		kidney
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.369	0.1497	0.1214		plasma_cell
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.064	0.1362	0.1653		
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2127	0.3707	0.0957		plasma_cell
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.343	0.1538	0.2595		plasma_cell
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2181	0.083	0.1466		plasma_cell
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.7319	0.051	0.1334		plasma_cell
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.121	0.1864	0.1341		plasma_cell
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2788	0.2029	0.1125		plasma_cell
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3671	0.5824	0.1904		plasma_cell
KNS42_CENTRAL_NERVOUS_SYSTEM	1.0485	0.1895	0.1496		central_nervous_system
KNS60_CENTRAL_NERVOUS_SYSTEM	0.394	24.9537	0.2448		central_nervous_system
KNS62_LUNG	51.2582	0.331	130.1284		lung
KNS81_CENTRAL_NERVOUS_SYSTEM	1.0607	6.7359	0.2425		central_nervous_system
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1548	0.5105	0.5971		blood
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1388	0.0793	0.0716		
KP2_PANCREAS	132.5775	1.866	444.9407		
KP3_PANCREAS	67.1459	0.1051	0.448		pancreas
KP4_PANCREAS	1.7204	0.2358	0.211		pancreas
KPL1_BREAST	74.7378	0.0233	97.5336		breast
KPMRTRY_SOFT_TISSUE	0.5382	0.0267	0.0		
KPNRTBM1_AUTONOMIC_GANGLIA	0.3056	0.0527	0.1243		peripheral_nervous_system
KPNSI9S_AUTONOMIC_GANGLIA	1.1353	5.5735	0.2387		peripheral_nervous_system
KPNYN_AUTONOMIC_GANGLIA	0.2963	0.048	0.1064		peripheral_nervous_system
KS1_CENTRAL_NERVOUS_SYSTEM	0.2674	9.1299	0.1337		
KU1919_URINARY_TRACT	19.7829	8.2793	14.9366		
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1697	0.1123	0.0811		
KURAMOCHI_OVARY	96.4353	0.2784	0.4424		ovary
KYM1_SOFT_TISSUE	54.1637	0.3498	0.1088		soft_tissue
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4281	0.1603	0.3291		
KYSE140_OESOPHAGUS	18.3418	0.1295	28.9759		esophagus
KYSE150_OESOPHAGUS	115.757	8.7527	435.5038		
KYSE180_OESOPHAGUS	16.8436	0.5531	56.9393		esophagus
KYSE270_OESOPHAGUS	2.0852	0.4359	159.4187		esophagus
KYSE30_OESOPHAGUS	636.019	1.2814	892.8873		
KYSE410_OESOPHAGUS	116.2495	2.5082	110.8946		esophagus
KYSE450_OESOPHAGUS	1.9793	0.2881	54.9776		esophagus
KYSE510_OESOPHAGUS	114.3139	0.3486	280.6751		
KYSE520_OESOPHAGUS	6.6463	0.2644	98.9112		esophagus
KYSE70_OESOPHAGUS	2.969	3.9314	0.1756		
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3345	31.1561	0.1759		lymphocyte
L33_PANCREAS	36.3504	0.6294	46.4802		
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.213	0.6764	0.2078		
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0848	1.2919	0.0891		
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1805	8.3844	0.1506		
L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.365	18.6235	0.3151		
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2399	1.7363	0.3837		
LAN2_AUTONOMIC_GANGLIA	0.032	0.1779	0.2271		
LC1F_LUNG	88.6027	1.0015	0.3608		lung
LCLC103H_LUNG	59.5987	33.0218	13.0106		
LCLC97TM1_LUNG	169.1477	14.6631	152.2161		
LI7_LIVER	18.0621	1.0732	0.1561		liver
LK2_LUNG	1.1351	0.5736	22.7938		
LMSU_STOMACH	0.7392	3.3228	0.3145		gastric
LN18_CENTRAL_NERVOUS_SYSTEM	1.5475	2.4521	0.0903		
LN215_CENTRAL_NERVOUS_SYSTEM	3.6475	1.7804	0.1499		
LN229_CENTRAL_NERVOUS_SYSTEM	0.4503	1.0847	0.2216		central_nervous_system
LN235_CENTRAL_NERVOUS_SYSTEM	0.3734	2.2341	0.0699		
LN319_CENTRAL_NERVOUS_SYSTEM	0.9803	2.1181	0.0522		
LN340_CENTRAL_NERVOUS_SYSTEM	0.8354	0.4621	0.3217		
LN382_CENTRAL_NERVOUS_SYSTEM	1.3133	1.2499	0.1115		
LN428_CENTRAL_NERVOUS_SYSTEM	1.3488	0.874	0.1082		
LN443_CENTRAL_NERVOUS_SYSTEM	0.426	1.3127	0.0854		
LN464_CENTRAL_NERVOUS_SYSTEM	0.2626	0.2639	0.0754		
LNCAPCLONEFGC_PROSTATE	94.1688	2.1824	2.9152		
LNZ308_CENTRAL_NERVOUS_SYSTEM	0.1017	1.2469	0.0866		
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1968	0.3532	0.0638		blood
LOUNH91_LUNG	44.6354	2.6273	0.2237		
LOVO_LARGE_INTESTINE	64.684	0.8692	0.3392		
LOXIMVI_SKIN	0.281	12.5516	0.1953		
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3044	0.2156	0.3039		
LS1034_LARGE_INTESTINE	96.7984	0.2073	3.4633		
LS123_LARGE_INTESTINE	129.2316	6.144	209.4223		colorectal
LS180_LARGE_INTESTINE	68.0986	0.3038	0.4731		
LS411N_LARGE_INTESTINE	36.9764	0.3736	38.6024		
LS513_LARGE_INTESTINE	167.4661	0.108	8.0841		colorectal
LU65_LUNG	46.8501	1.1302	7.7781		lung
LU99_LUNG	0.5826	3.1001	7.3147		lung
LUDLU1_LUNG	130.0235	0.1065	149.4666		lung
LXF289_LUNG	11.067	15.0108	7.8586		
M059K_CENTRAL_NERVOUS_SYSTEM	0.3517	14.1759	0.1174		central_nervous_system
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2042	0.3536	0.0829		
MAC2A_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0045	78.6049	0.0		
MALME3M_SKIN	0.2633	0.8605	0.167		
MB1_THYROID	0.1478	5.1771	1.0838		
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1851	2.2481	0.08		lymphocyte
MCAS_OVARY	207.9256	6.7531	116.9609		
MCC13_SKIN	0.4204	13.0294	6.3122		
MCC26_SKIN	0.3365	1.3625	2.0327		
MCF7_BREAST	61.2157	0.0599	59.2883		breast
MDAMB134VI_BREAST	27.213	0.4824	0.3357		
MDAMB157_BREAST	0.4276	0.1599	0.1001		
MDAMB175VII_BREAST	359.6919	0.0478	217.065		breast
MDAMB231_BREAST	27.8542	11.1155	22.6489		breast
MDAMB361_BREAST	55.8914	3.1809	29.3505		breast
MDAMB415_BREAST	60.1195	0.5044	187.1172		
MDAMB435S_SKIN	0.9879	0.3112	0.0995		skin
MDAMB436_BREAST	0.6508	1.054	0.1486		breast
MDAMB453_BREAST	48.7121	0.0234	50.0018		
MDAMB468_BREAST	34.7518	0.7638	313.1664		
MDAPCA2B_PROSTATE	73.7041	0.0538	94.315		
MDST8_LARGE_INTESTINE	0.309	3.0012	0.1579		colorectal
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0904	0.2243	0.1452		
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1662	5.0324	1.5722		
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1357	0.0716	0.1848		blood
MEL202_EYE	0.1518	0.1808	0.0147		
MELHO_SKIN	0.1743	0.7045	0.1187		
MELJUSO_SKIN	0.6701	0.1149	0.0594		
MERO14_LUNG	0.4126	2.9907	0.0905		
MERO25_LUNG	0.0146	57.8342	0.022		
MERO41_LUNG	0.1175	2.1927	0.0135		
MERO48A_LUNG	0.3051	47.3546	0.0313		
MERO82_LUNG	0.1056	7.7124	0.0111		
MERO83_LUNG	0.0873	10.3817	0.0206		
MERO84_LUNG	0.1908	39.9484	0.008		
MERO95_LUNG	0.2866	1.3927	0.0103		
MESSA_SOFT_TISSUE	0.3901	0.0271	0.1017		soft_tissue
MEWO_SKIN	0.121	0.0515	0.0745		skin
MFE280_ENDOMETRIUM	50.2391	0.3578	0.2753		uterus
MFE296_ENDOMETRIUM	0.7522	0.3875	0.3386		uterus
MFE319_ENDOMETRIUM	50.1185	0.0462	378.5384		uterus
MG63_BONE	0.2619	0.1187	0.1817		bone
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1645	0.5129	0.2233		
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1563	0.1471	0.2671		
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1623	0.3496	0.2684		
MHHES1_BONE	0.625	0.2886	0.2308		
MHHNB11_AUTONOMIC_GANGLIA	0.7665	0.0457	0.386		
MIAPACA2_PANCREAS	14.4275	0.5888	0.3275		
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1542	0.2873	0.2853		
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1568	0.9122	0.201		lymphocyte
MKN1_STOMACH	3.108	0.0681	0.782		gastric
MKN45_STOMACH	40.3443	0.0977	0.0815		
MKN74_STOMACH	159.1421	7.7873	250.0734		gastric
MKN7_STOMACH	25.0905	16.109	393.4225		
ML1_THYROID	13.4014	1.173	0.2944		
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1161	0.4147	0.1338		
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0998	0.013	0.139		
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2148	0.1797	0.2059		
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1723	0.0887	0.1938		
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3106	1.4635	0.3962		
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	63.7982	0.1966	0.2076		
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5138	0.2523	0.3271		
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2046	0.3123	0.2958		
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2991	0.2145	0.361		
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1072	0.0213	0.2115		
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.106	0.034	0.1434		
MON_SOFT_TISSUE	146.5196	0.0	0.0		
MORCPR_LUNG	68.498	0.0512	81.8403		lung
MPP89_PLEURA	0.4563	5.9137	0.5194		lung
MS751_CERVIX	30.3377	0.714	357.2264		
MSTO211H_PLEURA	0.2949	3.507	0.0932		lung
MTA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2245	0.477	0.0051		
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2782	0.0424	0.463		
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1508	0.3373	0.2233		
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1525	0.0271	0.1461		
MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2807	1.4958	0.1046		
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.242	0.0393	0.208		
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1707	0.3661	0.2925		
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3329	1.2028	0.1822		
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3816	0.0357	0.2271		lymphocyte
NB1643_AUTONOMIC_GANGLIA	0.6562	0.0904	0.037		
NB1_AUTONOMIC_GANGLIA	0.5158	0.0468	0.1449		
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2254	0.1078	0.3016		
NCCSTCK140_STOMACH	114.526	9.5989	190.4322		gastric
NCIH1048_LUNG	1.5944	0.4656	0.0767		lung
NCIH1092_LUNG	11.7602	0.3262	0.161		lung
NCIH1105_LUNG	11.3535	1.0968	0.1477		lung
NCIH1155_LUNG	7.0111	0.8914	0.228		
NCIH1184_LUNG	0.3723	0.2566	0.0991		lung
NCIH1299_LUNG	0.9603	0.5685	0.0711		
NCIH1339_LUNG	0.2168	4.3564	0.9347		lung
NCIH1341_LUNG	5.471	0.0294	0.1754		lung
NCIH1355_LUNG	0.5125	0.345	13.8758		lung
NCIH1373_LUNG	72.022	19.159	130.1106		lung
NCIH1385_LUNG	63.1008	0.3548	0.3524		
NCIH1395_LUNG	2.6071	5.6099	0.2732		
NCIH1435_LUNG	148.0352	0.9609	281.2567		
NCIH1436_LUNG	16.6526	0.8058	0.1519		lung
NCIH1437_LUNG	44.2341	0.5247	54.3706		lung
NCIH146_LUNG	1.5922	0.0475	0.6337		
NCIH1563_LUNG	0.1888	0.3951	19.1051		lung
NCIH1568_LUNG	74.8761	1.4301	56.2439		lung
NCIH1573_LUNG	111.817	0.2985	144.9336		lung
NCIH1581_LUNG	0.5959	0.0449	0.0939		
NCIH1618_LUNG	49.1698	0.2282	0.144		lung
NCIH1623_LUNG	104.8101	0.7381	58.8393		lung
NCIH1648_LUNG	91.9495	0.8347	383.2824		lung
NCIH1650_LUNG	61.3366	1.7865	604.4911		lung
NCIH1651_LUNG	19.4444	0.2056	0.123		lung
NCIH1666_LUNG	35.5136	1.0145	309.8448		lung
NCIH1693_LUNG	24.9366	3.692	45.5061		lung
NCIH1694_LUNG	0.6866	0.1372	0.1635		lung
NCIH1703_LUNG	0.2846	0.1246	0.1866		
NCIH1734_LUNG	53.061	7.2205	1.064		lung
NCIH1755_LUNG	51.4325	1.2431	12.0161		lung
NCIH1781_LUNG	187.1046	2.4094	262.58		
NCIH1792_LUNG	30.4912	1.3071	13.4807		lung
NCIH1793_LUNG	47.2741	0.8731	320.1342		lung
NCIH1819_LUNG	79.5807	0.191	125.5738		
NCIH1836_LUNG	26.8618	0.5482	0.8104		lung
NCIH1838_LUNG	122.662	5.8399	100.5649		lung
NCIH1869_LUNG	104.105	10.943	453.2794		
NCIH1876_LUNG	13.7332	0.5713	0.657		lung
NCIH1915_LUNG	0.7228	25.3828	2.0348		lung
NCIH1930_LUNG	1.0523	0.6739	0.1553		lung
NCIH1944_LUNG	9.4553	0.3118	0.448		
NCIH1963_LUNG	4.0658	0.2674	0.2656		lung
NCIH196_LUNG	0.6668	0.1478	0.1493		
NCIH1975_LUNG	41.7855	5.7105	26.101		
NCIH2004RT_SOFT_TISSUE	7.263	0.1302	0.0975		
NCIH2009_LUNG	40.882	10.3479	171.9371		
NCIH2023_LUNG	0.6943	0.2974	1.5795		lung
NCIH2029_LUNG	101.0804	0.5057	0.6369		lung
NCIH2030_LUNG	0.347	1.3345	0.2699		
NCIH2052_PLEURA	0.5289	12.4593	0.2762		lung
NCIH2066_LUNG	10.0634	0.0863	0.1851		lung
NCIH2073_LUNG	29.7438	0.5562	69.1522		
NCIH2077_LUNG	0.6505	0.081	0.115		
NCIH2081_LUNG	20.5795	1.3126	0.1877		lung
NCIH2085_LUNG	99.3318	14.4032	161.6194		lung
NCIH2087_LUNG	80.5929	7.2395	184.4016		lung
NCIH209_LUNG	34.3382	0.396	0.3349		
NCIH2106_LUNG	17.8897	0.0213	0.3386		
NCIH2110_LUNG	127.3849	4.387	305.7984		lung
NCIH211_LUNG	0.5256	0.0721	0.5848		
NCIH2122_LUNG	119.7914	1.3259	122.7894		
NCIH2126_LUNG	49.1918	0.8751	278.6611		
NCIH2170_LUNG	136.9928	0.1318	120.0798		
NCIH2171_LUNG	32.4085	0.0277	0.0489		
NCIH2172_LUNG	1.7928	0.2217	58.4314		lung
NCIH2196_LUNG	40.7689	6.0447	23.7902		
NCIH2227_LUNG	1.2804	0.0815	0.1472		lung
NCIH2228_LUNG	18.0452	5.5056	20.5551		lung
NCIH226_LUNG	0.4646	8.6118	0.2147		lung
NCIH2286_LUNG	0.3002	3.9747	0.6849		lung
NCIH2291_LUNG	216.0086	18.2618	250.6045		lung
NCIH2342_LUNG	134.8859	0.6417	164.7502		lung
NCIH2347_LUNG	99.835	16.101	378.207		lung
NCIH23_LUNG	0.483	0.1565	0.2033		lung
NCIH2405_LUNG	33.0757	0.2145	1.0051		
NCIH2444_LUNG	187.845	27.3498	110.5		
NCIH2452_PLEURA	1.1856	1.6853	72.0871		lung
NCIH2882_LUNG	5.2938	4.9724	0.1066		
NCIH2887_LUNG	170.6038	0.1218	0.2103		
NCIH28_PLEURA	17.1366	0.1158	0.414		lung
NCIH292_LUNG	88.065	22.1966	589.6212		lung
NCIH3122_LUNG	73.1261	1.8154	178.4099		
NCIH322_LUNG	61.3264	6.4729	167.9027		lung
NCIH3255_LUNG	451.2371	7.3099	455.9558		lung
NCIH358_LUNG	63.4578	7.0481	123.8315		lung
NCIH441_LUNG	63.8503	16.5957	349.8654		
NCIH446_LUNG	0.2336	0.0319	0.2017		
NCIH460_LUNG	6.9008	1.871	0.1561		lung
NCIH508_LARGE_INTESTINE	118.0971	0.1214	29.4083		colorectal
NCIH510_LUNG	59.868	0.8429	2.8581		lung
NCIH520_LUNG	1.7556	0.2167	0.8501		lung
NCIH522_LUNG	0.6802	0.0345	0.1072		
NCIH524_LUNG	5.7491	0.1481	0.1826		
NCIH526_LUNG	18.899	0.077	0.1853		
NCIH596_LUNG	48.6861	2.3455	478.9856		lung
NCIH647_LUNG	25.2775	14.9901	46.8292		
NCIH650_LUNG	0.4745	5.6714	14.969		lung
NCIH660_PROSTATE	133.3627	1.3224	63.1692		prostate
NCIH661_LUNG	0.8066	0.0612	0.4544		
NCIH684_LIVER	192.447	0.2416	5.7583		colorectal
NCIH69_LUNG	7.0471	0.0269	0.1693		lung
NCIH716_LARGE_INTESTINE	17.036	0.0431	0.3517		colorectal
NCIH727_LUNG	123.3167	0.1837	1.5373		
NCIH747_LARGE_INTESTINE	108.8798	5.071	100.3553		
NCIH810_LUNG	27.0304	0.0857	0.233		lung
NCIH82_LUNG	0.2637	0.2335	0.1646		lung
NCIH838_LUNG	0.1447	0.6832	6.481		lung
NCIH841_LUNG	0.4846	0.0306	0.1198		
NCIH854_LUNG	115.0404	0.0625	6.4482		lung
NCIH889_LUNG	16.8836	0.464	0.2038		
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3344	0.0514	0.2298		plasma_cell
NCIN87_STOMACH	86.281	1.0256	265.1061		gastric
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1783	0.0502	0.2446		blood
NH6_AUTONOMIC_GANGLIA	0.3012	1.4919	0.2968		peripheral_nervous_system
NHAHTDD_CENTRAL_NERVOUS_SYSTEM	0.1489	26.3302	0.1048		
NIHOVCAR3_OVARY	39.4746	0.1524	27.4539		ovary
NKL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0866	0.6018	0.0		
NMB_AUTONOMIC_GANGLIA	0.257	0.0403	0.0229		
NMCG1_CENTRAL_NERVOUS_SYSTEM	0.642	14.4518	0.11		central_nervous_system
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.139	0.0232	0.1423		
NP5_CENTRAL_NERVOUS_SYSTEM	0.1714	0.1894	0.0127		
NP8_CENTRAL_NERVOUS_SYSTEM	0.3364	13.6432	0.0252		
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3071	0.0494	0.7775		
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.242	0.1417	0.2677		
NUGC2_STOMACH	126.3037	0.4638	402.6502		gastric
NUGC3_STOMACH	45.5256	23.4029	87.4448		
NUGC4_STOMACH	68.9186	0.2488	3.7018		gastric
OACM51_OESOPHAGUS	0.4536	0.0565	1.8343		
OAW28_OVARY	48.7252	0.0867	244.0097		ovary
OAW42_OVARY	0.4054	0.0301	0.1459		ovary
OC314_OVARY	2.8266	0.8276	0.1926		
OC316_OVARY	0.6052	0.9121	0.0078		ovary
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0969	0.0532	0.2112		
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1792	0.0111	0.2652		
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2328	0.022	0.2446		
OCIC5X_OVARY	64.9377	7.8315	384.0311		
OCILY12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1309	0.2697	0.0		
OCILY132_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1228	0.6884	0.0354		
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1504	0.2405	0.2389		
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2237	2.536	0.3547		lymphocyte
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4501	10.152	0.1819		
OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.6069	0.1624	0.1177		
OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1013	0.3402	0.0939		
OCUM1_STOMACH	125.1541	0.1056	12.7475		gastric
OE19_OESOPHAGUS	110.1775	0.0326	64.513		
OE21_OESOPHAGUS	21.3753	0.6055	81.5369		
OE33_OESOPHAGUS	202.8687	14.9872	241.1717		esophagus
OELE_OVARY	1.7466	8.0027	0.533		
ONCODG1_OVARY	61.1151	0.156	0.2676		
ONDA9_CENTRAL_NERVOUS_SYSTEM	0.5318	6.8506	0.041		
ONS76_CENTRAL_NERVOUS_SYSTEM	3.801	6.5897	0.5		central_nervous_system
OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0748	0.1836	0.0933		
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1851	0.627	0.2372		
OSRC2_KIDNEY	22.3825	4.3714	0.3424		kidney
OUMS23_LARGE_INTESTINE	116.939	0.1213	197.3321		colorectal
OV17R_OVARY	0.3626	0.3923	0.3215		
OV56_OVARY	3.5028	0.8787	47.5755		ovary
OV7_OVARY	1.9752	0.5065	1.1104		ovary
OV90_OVARY	0.6532	0.0676	0.4262		ovary
OVCAR4_OVARY	41.6612	1.2008	209.691		ovary
OVCAR8_OVARY	0.2537	0.543	0.476		ovary
OVISE_OVARY	102.4749	0.3867	0.1509		
OVK18_OVARY	0.5729	0.148	0.8395		ovary
OVKATE_OVARY	101.4279	0.1088	1449.7042		
