gene,cut,metric,radius,sample,patient,threshold,usable,n_high,n_low,high_mean,low_mean,delta,ratio,q1
tac,detected,imm_n,20,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.2849648870462814,0.4921900963775341,-0.20722520933125266,0.578973224255409,
tac,detected,imm_n,50,LUAD-5 R1,Lung5,0.0,True,11819,6018,4.5767831457822155,5.300930541708209,-0.7241473959259936,0.8633924005930025,
tac,detected,imm_n,100,LUAD-5 R1,Lung5,0.0,True,11819,6018,28.90938319654793,28.601030242605518,0.30835295394241413,1.0107811834513247,
tac,detected,cd8_n,10,LUAD-5 R1,Lung5,0.0,True,11819,6018,8.460952703274389e-05,0.00033233632436025255,-0.0002477267973275087,0.2545900668415264,
tac,detected,cd8_n,20,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.0026228953380150605,0.004985044865403789,-0.002362149527388728,0.5261528048058212,
tac,detected,cd8_n,50,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.06548777392334376,0.07095380525091392,-0.005466031327570162,0.9229635210086248,
tac,detected,cd8_n,100,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.4829511803029021,0.48836822864739116,-0.005417048344489028,0.9889078608584093,
tac,detected,cd8_frac,10,LUAD-5 R1,Lung5,0.0,True,9325,5005,2.680965147453083e-05,0.00011655011655011654,-8.97404650755857e-05,0.23002680965147454,
tac,detected,cd8_frac,20,LUAD-5 R1,Lung5,0.0,True,11805,5981,0.00035634867274003234,0.0007660399568107308,-0.0004096912840706985,0.4651828792634078,
tac,detected,cd8_frac,50,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.001487185186994016,0.0016454419326455722,-0.0001582567456515562,0.9038211300491729,
tac,detected,cd8_frac,100,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.002854647447961698,0.0029466107245177207,-9.196327655602247e-05,0.9687901507345955,
tac,detected,cd8nk_n,10,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.000761485743294695,0.003489531405782652,-0.002728045662487957,0.21822005729273689,
tac,detected,cd8nk_n,20,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.012268381419747863,0.021269524759056163,-0.0090011433393083,0.5768056201878332,
tac,detected,cd8nk_n,50,LUAD-5 R1,Lung5,0.0,True,11819,6018,0.18614095947203654,0.2238285144566301,-0.03768755498459356,0.8316230839663815,
tac,detected,cd8nk_n,100,LUAD-5 R1,Lung5,0.0,True,11819,6018,1.292664354006261,1.3100697906281156,-0.017405436621854564,0.9867141149682496,
tac,detected,imm_frac,10,LUAD-5 R2,Lung5,0.0,True,9291,5658,0.016648728159867975,0.036597148580181454,-0.01994842042031348,0.4549187247031536,
tac,detected,imm_frac,20,LUAD-5 R2,Lung5,0.0,True,11346,6538,0.047574803111140714,0.07167512866244714,-0.02410032555130643,0.6637560894406409,
tac,detected,imm_frac,50,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.11731503102164313,0.127961232974434,-0.010646201952790882,0.9168013490857975,
tac,detected,imm_frac,100,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.18894923420279847,0.18132636226420323,0.007622871938595233,1.0420395128618323,
tac,detected,imm_n,10,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.02255109231853418,0.054404145077720206,-0.031853052759186026,0.4145105540454378,
tac,detected,imm_n,20,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.3321881606765328,0.4885705577567815,-0.1563823970802487,0.6799184998001897,
tac,detected,imm_n,50,LUAD-5 R2,Lung5,0.0,True,11352,6562,5.105708245243129,5.608808290155441,-0.503100044912312,0.9103017933782206,
tac,detected,imm_n,100,LUAD-5 R2,Lung5,0.0,True,11352,6562,32.14675828047921,30.971045412983845,1.175712867495367,1.0379616784586314,
tac,detected,cd8_n,10,LUAD-5 R2,Lung5,0.0,True,11352,6562,8.809020436927414e-05,0.00015239256324291374,-6.43023588736396e-05,0.578047921071177,
tac,detected,cd8_n,20,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.003171247357293869,0.0032002438281011885,-2.8996470807319662e-05,0.9909392932648747,
tac,detected,cd8_n,50,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.07302677942212826,0.06354769887229503,0.009479080549833235,1.1491648119136828,
tac,detected,cd8_n,100,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.5180584918957012,0.4390429747028345,0.0790155171928667,1.1799721707114166,
tac,detected,cd8_frac,10,LUAD-5 R2,Lung5,0.0,True,9291,5658,5.381552039608223e-05,0.00017674089784376105,-0.00012292537744767882,0.30448821440103324,
tac,detected,cd8_frac,20,LUAD-5 R2,Lung5,0.0,True,11346,6538,0.0004307180470586076,0.00045407924728817976,-2.3361200229572135e-05,0.9485525921541488,
tac,detected,cd8_frac,50,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.001681894979012,0.0014432923719358455,0.0002386026070761544,1.1653182762658987,
tac,detected,cd8_frac,100,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.0030277169472427813,0.002524885967991996,0.0005028309792507852,1.1991499757316482,
tac,detected,cd8nk_n,10,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.0009689922480620155,0.0024382810118866198,-0.0014692887638246043,0.3974079457364341,
tac,detected,cd8nk_n,20,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.011363636363636364,0.01828710758914965,-0.006923471225513286,0.6214015151515152,
tac,detected,cd8nk_n,50,LUAD-5 R2,Lung5,0.0,True,11352,6562,0.19696969696969696,0.20481560499847606,-0.007845908028779103,0.9616928210678211,
tac,detected,cd8nk_n,100,LUAD-5 R2,Lung5,0.0,True,11352,6562,1.3381782945736433,1.2558671136848523,0.08231118088879108,1.0655413140386176,
tac,detected,imm_frac,10,LUAD-5 R3,Lung5,0.0,True,7182,5196,0.016525109068968716,0.03963625866050808,-0.023111149591539364,0.416918993553588,
tac,detected,imm_frac,20,LUAD-5 R3,Lung5,0.0,True,9374,6455,0.051361036582126825,0.07198016114644812,-0.020619124564321294,0.7135443400526653,
