cohort	axis	a	b	n	spearman_r	p
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	xcell:CD8+ T-cells	1017	0.6824236863172689	2.595207778145858e-140
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	tide:CD8	1017	0.959641526717453	0.0
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	tide:CTL	1017	0.8491555663117557	1.1536852402213578e-283
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:CD8_Teffector_Mariathasan	1017	0.7115683568429492	9.232581114155608e-158
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:CYT	1017	0.703417854716018	1.1482776286417059e-152
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	ssgsea:IFNG_Ayers6	1017	0.6594021685201681	6.563172183029224e-128
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	quantiseq_style:T.cells.CD8	1017	0.2001985987842601	1.1799262117629137e-10
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	tip:Step4_CD8_T_cell	1017	0.5928290045852702	1.539839941034342e-97
TCGA_NSCLC	CD8_cytotoxic	mcp:CD8 T cells	tip:Step7_killing_of_cancer_cells	1017	0.5051557906434736	5.7449316420764485e-67
TCGA_NSCLC	CD8_cytotoxic	xcell:CD8+ T-cells	tide:CD8	1017	0.7419698024458296	1.900107000387943e-178
TCGA_NSCLC	CD8_cytotoxic	xcell:CD8+ T-cells	tide:CTL	1017	0.6966025495965428	1.5421428601011676e-148
TCGA_NSCLC	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:CD8_Teffector_Mariathasan	1017	0.6522569705170358	2.796660473966912e-124
TCGA_NSCLC	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:CYT	1017	0.6410525668221506	8.788584831230808e-119
TCGA_NSCLC	CD8_cytotoxic	xcell:CD8+ T-cells	ssgsea:IFNG_Ayers6	1017	0.5703581782530848	8.175149777459756e-89
TCGA_NSCLC	CD8_cytotoxic	xcell:CD8+ T-cells	quantiseq_style:T.cells.CD8	1017	0.13155941503110496	2.5692074024890757e-05
TCGA_NSCLC	CD8_cytotoxic	xcell:CD8+ T-cells	tip:Step4_CD8_T_cell	1017	0.5124078230984727	3.618741009401809e-69
TCGA_NSCLC	CD8_cytotoxic	xcell:CD8+ T-cells	tip:Step7_killing_of_cancer_cells	1017	0.5894579404733334	3.4693461805625872e-96
TCGA_NSCLC	CD8_cytotoxic	tide:CD8	tide:CTL	1017	0.9375778177733077	0.0
TCGA_NSCLC	CD8_cytotoxic	tide:CD8	ssgsea:CD8_Teffector_Mariathasan	1017	0.8289345120802869	2.373381681917635e-258
TCGA_NSCLC	CD8_cytotoxic	tide:CD8	ssgsea:CYT	1017	0.817508572568353	1.7813784064124428e-245
TCGA_NSCLC	CD8_cytotoxic	tide:CD8	ssgsea:IFNG_Ayers6	1017	0.7568265764450991	1.179299604612511e-189
TCGA_NSCLC	CD8_cytotoxic	tide:CD8	quantiseq_style:T.cells.CD8	1017	0.17821902566967604	1.0505217148341094e-08
TCGA_NSCLC	CD8_cytotoxic	tide:CD8	tip:Step4_CD8_T_cell	1017	0.7024266373742503	4.653282925021734e-152
TCGA_NSCLC	CD8_cytotoxic	tide:CD8	tip:Step7_killing_of_cancer_cells	1017	0.6153549868578737	5.281758740516005e-107
TCGA_NSCLC	CD8_cytotoxic	tide:CTL	ssgsea:CD8_Teffector_Mariathasan	1017	0.9191768796690805	0.0
TCGA_NSCLC	CD8_cytotoxic	tide:CTL	ssgsea:CYT	1017	0.9473903969336007	0.0
TCGA_NSCLC	CD8_cytotoxic	tide:CTL	ssgsea:IFNG_Ayers6	1017	0.8371844485371139	2.9429591116236884e-268
TCGA_NSCLC	CD8_cytotoxic	tide:CTL	quantiseq_style:T.cells.CD8	1017	0.14083024979571346	6.541072527904794e-06
TCGA_NSCLC	CD8_cytotoxic	tide:CTL	tip:Step4_CD8_T_cell	1017	0.7838778762065872	2.7023384037828864e-212
TCGA_NSCLC	CD8_cytotoxic	tide:CTL	tip:Step7_killing_of_cancer_cells	1017	0.7690133675872708	1.8040031981392117e-199
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	ssgsea:CYT	1017	0.885907701086775	0.0
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	ssgsea:IFNG_Ayers6	1017	0.9414899107542185	0.0
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	quantiseq_style:T.cells.CD8	1017	0.12158598436621987	0.00010145262501211908
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	tip:Step4_CD8_T_cell	1017	0.8767142541036709	0.0
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CD8_Teffector_Mariathasan	tip:Step7_killing_of_cancer_cells	1017	0.7583110655815691	8.078288058939635e-191
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CYT	ssgsea:IFNG_Ayers6	1017	0.8062491680894411	1.2097021653227377e-233
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CYT	quantiseq_style:T.cells.CD8	1017	0.09392959840506318	0.002713982078087421
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CYT	tip:Step4_CD8_T_cell	1017	0.7759190788139407	2.6377843391869152e-205
TCGA_NSCLC	CD8_cytotoxic	ssgsea:CYT	tip:Step7_killing_of_cancer_cells	1017	0.8002158268682575	1.2797462619092736e-227
TCGA_NSCLC	CD8_cytotoxic	ssgsea:IFNG_Ayers6	quantiseq_style:T.cells.CD8	1017	0.1127607688512837	0.0003144870423997714
TCGA_NSCLC	CD8_cytotoxic	ssgsea:IFNG_Ayers6	tip:Step4_CD8_T_cell	1017	0.8964990585688757	0.0
TCGA_NSCLC	CD8_cytotoxic	ssgsea:IFNG_Ayers6	tip:Step7_killing_of_cancer_cells	1017	0.6193486353481159	9.201631721867237e-109
TCGA_NSCLC	CD8_cytotoxic	quantiseq_style:T.cells.CD8	tip:Step4_CD8_T_cell	1017	0.06674881687247024	0.03330350537848902
TCGA_NSCLC	CD8_cytotoxic	quantiseq_style:T.cells.CD8	tip:Step7_killing_of_cancer_cells	1017	0.08417494021858903	0.007234723541070698
TCGA_NSCLC	CD8_cytotoxic	tip:Step4_CD8_T_cell	tip:Step7_killing_of_cancer_cells	1017	0.5562246642861767	1.1598326205528686e-83
TCGA_NSCLC	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:TcellInflamed_GEP18	1017	0.9052747134853705	0.0
TCGA_NSCLC	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:ExpandedImmune_Ayers18	1017	0.8901108525394545	0.0
TCGA_NSCLC	IFN_inflamed	ssgsea:IFNG_Ayers6	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	1017	0.7797138442739079	1.3338643152470774e-208
TCGA_NSCLC	IFN_inflamed	ssgsea:IFNG_Ayers6	tide:IFNG	1017	0.9821526690477039	0.0
TCGA_NSCLC	IFN_inflamed	ssgsea:IFNG_Ayers6	estimate:ImmuneScore	1017	0.6799160188951553	6.615177693302032e-139
TCGA_NSCLC	IFN_inflamed	ssgsea:TcellInflamed_GEP18	ssgsea:ExpandedImmune_Ayers18	1017	0.9705040531894323	0.0
TCGA_NSCLC	IFN_inflamed	ssgsea:TcellInflamed_GEP18	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	1017	0.8609054508909998	3.788464844460667e-300
TCGA_NSCLC	IFN_inflamed	ssgsea:TcellInflamed_GEP18	tide:IFNG	1017	0.94051613725797	0.0
TCGA_NSCLC	IFN_inflamed	ssgsea:TcellInflamed_GEP18	estimate:ImmuneScore	1017	0.8651522268185278	1.7562273154024572e-306
TCGA_NSCLC	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	1017	0.862165845113372	5.257487329220944e-302
TCGA_NSCLC	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	tide:IFNG	1017	0.9243584243060945	0.0
TCGA_NSCLC	IFN_inflamed	ssgsea:ExpandedImmune_Ayers18	estimate:ImmuneScore	1017	0.8701937010338194	0.0
TCGA_NSCLC	IFN_inflamed	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	tide:IFNG	1017	0.8291402560110379	1.3639813446840898e-258
TCGA_NSCLC	IFN_inflamed	ssgsea:HALLMARK_INTERFERON_GAMMA_RESPONSE	estimate:ImmuneScore	1017	0.8691775687270274	0.0
TCGA_NSCLC	IFN_inflamed	tide:IFNG	estimate:ImmuneScore	1017	0.7564660558875277	2.254853529842437e-189
TCGA_NSCLC	exclusion_stroma	tide:Exclusion	tide:CAF	1017	0.5146774590481681	7.224870676432964e-70
TCGA_NSCLC	exclusion_stroma	tide:Exclusion	tide:MDSC	1017	0.8053327791664652	1.0264020400178949e-232
TCGA_NSCLC	exclusion_stroma	tide:Exclusion	mcp:Fibroblasts	1017	0.311376501855414	2.6537555085210542e-24
TCGA_NSCLC	exclusion_stroma	tide:Exclusion	xcell:Fibroblasts	1017	-0.08022661746884191	0.010484035953266028
TCGA_NSCLC	exclusion_stroma	tide:Exclusion	estimate:StromalScore	1017	-0.16987887456484962	5.022487734685938e-08
TCGA_NSCLC	exclusion_stroma	tide:Exclusion	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1017	0.31705205768902645	3.49887867986588e-25
TCGA_NSCLC	exclusion_stroma	tide:Exclusion	ssgsea:HALLMARK_TGF_BETA_SIGNALING	1017	0.04069447321223345	0.19473246291648752
TCGA_NSCLC	exclusion_stroma	tide:CAF	tide:MDSC	1017	0.0140093466375364	0.655426304713869
TCGA_NSCLC	exclusion_stroma	tide:CAF	mcp:Fibroblasts	1017	0.8521413753423214	1.0226602994444807e-287
TCGA_NSCLC	exclusion_stroma	tide:CAF	xcell:Fibroblasts	1017	0.6339458145821728	2.057315777995246e-115
TCGA_NSCLC	exclusion_stroma	tide:CAF	estimate:StromalScore	1017	0.6652066509880885	6.229075521586819e-131
TCGA_NSCLC	exclusion_stroma	tide:CAF	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1017	0.8979974515807878	0.0
TCGA_NSCLC	exclusion_stroma	tide:CAF	ssgsea:HALLMARK_TGF_BETA_SIGNALING	1017	0.6547093893545657	1.6294196994613105e-125
TCGA_NSCLC	exclusion_stroma	tide:MDSC	mcp:Fibroblasts	1017	-0.09397529713570475	0.0027009606148815546
TCGA_NSCLC	exclusion_stroma	tide:MDSC	xcell:Fibroblasts	1017	-0.5215106892737909	5.247223394553819e-72
TCGA_NSCLC	exclusion_stroma	tide:MDSC	estimate:StromalScore	1017	-0.5721304033494239	1.7730825883703946e-89
TCGA_NSCLC	exclusion_stroma	tide:MDSC	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1017	-0.09762833099624042	0.0018268297933474729
TCGA_NSCLC	exclusion_stroma	tide:MDSC	ssgsea:HALLMARK_TGF_BETA_SIGNALING	1017	-0.30889357737301626	6.350897331056963e-24
TCGA_NSCLC	exclusion_stroma	mcp:Fibroblasts	xcell:Fibroblasts	1017	0.6557146381964349	5.042250027378934e-126
TCGA_NSCLC	exclusion_stroma	mcp:Fibroblasts	estimate:StromalScore	1017	0.7842942200769855	1.1427248123730567e-212
TCGA_NSCLC	exclusion_stroma	mcp:Fibroblasts	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1017	0.9385026506142632	0.0
TCGA_NSCLC	exclusion_stroma	mcp:Fibroblasts	ssgsea:HALLMARK_TGF_BETA_SIGNALING	1017	0.5722963248523989	1.5359522681151128e-89
TCGA_NSCLC	exclusion_stroma	xcell:Fibroblasts	estimate:StromalScore	1017	0.8003210006107061	1.0089826115768496e-227
TCGA_NSCLC	exclusion_stroma	xcell:Fibroblasts	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1017	0.6523441066858836	2.5291247329556832e-124
TCGA_NSCLC	exclusion_stroma	xcell:Fibroblasts	ssgsea:HALLMARK_TGF_BETA_SIGNALING	1017	0.5322326248676814	1.8361207525604549e-75
TCGA_NSCLC	exclusion_stroma	estimate:StromalScore	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1017	0.8058509302076934	3.0679611203755063e-233
TCGA_NSCLC	exclusion_stroma	estimate:StromalScore	ssgsea:HALLMARK_TGF_BETA_SIGNALING	1017	0.6319808814255851	1.695785645825016e-114
TCGA_NSCLC	exclusion_stroma	ssgsea:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	ssgsea:HALLMARK_TGF_BETA_SIGNALING	1017	0.6867220176419825	9.339763562292829e-143
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:TLS_Cabrita9	1017	0.6552255895860436	8.926746489834587e-126
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:TLS_Cabrita9_noY	1017	0.6933138494213076	1.376447579027973e-146
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	ssgsea:Bcell_follicular	1017	0.7490996613713704	9.976937509113197e-184
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	xcell:B-cells	1017	0.6533154844508597	8.22566044344498e-125
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_12chemokine_Coppola	mcp:B lineage	1017	0.5682492396091459	4.9788630510226764e-88
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_Cabrita9	ssgsea:TLS_Cabrita9_noY	1017	0.9285682375225637	0.0
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_Cabrita9	ssgsea:Bcell_follicular	1017	0.7934070912824267	4.591522352026466e-221
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_Cabrita9	xcell:B-cells	1017	0.7293511579390631	1.611164487541962e-169
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_Cabrita9	mcp:B lineage	1017	0.7452793341126458	7.079003678055004e-181
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	ssgsea:Bcell_follicular	1017	0.8486746267005756	5.088644693127338e-283
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	xcell:B-cells	1017	0.7926690121103986	2.2785187720044773e-220
TCGA_NSCLC	TLS_Bcell	ssgsea:TLS_Cabrita9_noY	mcp:B lineage	1017	0.8032667153851938	1.2216424939610855e-230
TCGA_NSCLC	TLS_Bcell	ssgsea:Bcell_follicular	xcell:B-cells	1017	0.8519795608072418	1.704640306649292e-287
TCGA_NSCLC	TLS_Bcell	ssgsea:Bcell_follicular	mcp:B lineage	1017	0.9103906596962142	0.0
TCGA_NSCLC	TLS_Bcell	xcell:B-cells	mcp:B lineage	1017	0.8808216541527544	0.0
