	TACSTD2	CLDN4	TACSTD2_CLDN4_mean
TCGA-78-7166-01	14.2586	12.6705	13.46455
TCGA-91-8496-01	14.1392	13.2592	13.699200000000001
TCGA-55-7283-01	12.4981	14.1729	13.3355
TCGA-55-A4DG-01	12.7888	13.1414	12.9651
TCGA-44-8119-01	11.4041	12.0346	11.719349999999999
TCGA-71-8520-01	12.3248	13.7887	13.056750000000001
TCGA-44-A47B-01	11.8509	12.1678	12.00935
TCGA-73-4670-01	13.1045	13.3303	13.2174
TCGA-MP-A4T7-01	12.729	13.4278	13.078399999999998
TCGA-55-8203-01	12.2377	13.3033	12.7705
TCGA-64-5774-01	10.7484	13.3238	12.036100000000001
TCGA-50-5933-01	12.5679	12.5462	12.55705
TCGA-50-5946-01	13.4889	13.5318	13.510349999999999
TCGA-50-8460-01	13.0472	13.2652	13.1562
TCGA-05-4250-01	12.5866	14.8158	13.7012
TCGA-L9-A50W-01	13.6248	13.5969	13.61085
TCGA-44-7662-01	13.1898	13.66	13.424900000000001
TCGA-97-A4M6-01	12.7254	12.3803	12.55285
TCGA-44-7669-01	10.1087	11.8764	10.992550000000001
TCGA-78-8640-01	15.2657	14.0946	14.680150000000001
TCGA-50-5931-01	12.6065	13.0229	12.8147
TCGA-44-3918-01	9.5339	13.4274	11.48065
TCGA-93-7347-01	12.9182	13.2093	13.06375
TCGA-38-7271-01	12.7628	13.6993	13.23105
TCGA-55-7724-01	12.8846	10.7851	11.83485
TCGA-73-A9RS-01	12.5357	12.1329	12.334299999999999
TCGA-49-4494-01	12.6963	14.4296	13.56295
TCGA-49-4512-01	12.242	13.6541	12.94805
TCGA-62-8395-01	11.7416	13.0498	12.3957
TCGA-55-A57B-01	13.9708	14.5326	14.2517
TCGA-97-A4M5-01	11.4288	12.0125	11.72065
TCGA-67-3774-01	12.2719	11.7095	11.9907
TCGA-J2-8192-01	13.0322	13.3771	13.20465
TCGA-78-7535-01	13.6261	13.239	13.432549999999999
TCGA-95-A4VK-01	13.3084	13.7725	13.54045
TCGA-38-4629-01	13.5799	13.2428	13.41135
TCGA-35-5375-01	13.8649	13.1634	13.51415
TCGA-38-4625-01	8.2507	12.4624	10.35655
TCGA-91-6836-01	12.366	13.8929	13.129449999999999
TCGA-73-4675-01	11.876	12.6741	12.27505
TCGA-62-8394-01	12.469	14.3344	13.4017
TCGA-86-7711-01	12.7475	11.1622	11.95485
TCGA-78-7160-01	13.1854	13.0426	13.114
TCGA-55-6982-01	12.2599	14.8829	13.5714
TCGA-55-6712-01	14.1244	13.9914	14.0579
TCGA-55-7995-01	13.0846	13.7061	13.39535
TCGA-69-A59K-01	13.8621	12.3452	13.10365
TCGA-50-5936-01	13.6587	14.0301	13.8444
TCGA-73-4676-01	13.6673	13.5947	13.631
TCGA-86-6562-01	12.9459	14.4829	13.714400000000001
TCGA-35-4122-01	13.2624	13.5875	13.424949999999999
