nhood	n_cells	n_TNK	n_epithelial	n_malignant_like	frac_TNK	frac_epithelial	mean_TACSTD2_log1p_all	mean_TACSTD2_log1p_epi	mean_TACSTD2_log1p_tnk	index_lineage	index_cell	kth_distance	embedding	n_cells_da	n_samples_nonzero	testable	logFC	logCPM	F	PValue	FDR_BH	SpatialFDR	dispersion	ql_dispersion	ref_level	alt_level	n_samples	n_ref	n_alt	is_interface	tacstd2_high_epi_nhood	tnk_depleted_nhood	kept_composition	kept_da_enriched	tnk_rich_depleted_in_alt	keep_reason	contrast	epi_tacstd2_threshold	tnk_depleted_threshold
4992	101	0	100	61	0.0	0.9900990099009901	2.677970642846979	2.697818877469849		epithelial	BD_immune07_576809	6.637767791748047	harmony	101.0	5	True	4.073075256958521	4.729644221608938	5.342135283850493	0.049587887261514474	0.42728557935689576	0.45826518004320316	0.5321883526524871	3.758539256992797	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4993	66	0	66	48	0.0	1.0	2.0984347600530278	2.0984347600530278		epithelial	BD_immune07_153812	7.386148452758789	harmony	66.0	6	True	2.0055100127575276	5.600988272701342	1.6935685953273343	0.2293561319900416	0.631317095175412	0.6534109823064862	0.492185669175036	3.843661045276173	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4994	62	0	62	33	0.0	1.0	2.736513936398243	2.736513936398243		epithelial	BD_immune07_379686	6.920317649841309	harmony	62.0	5	True	3.208371344757857	4.97399270544942	4.594388479399332	0.06442903571842648	0.4424014677733839	0.4718926578008306	0.3066195291297143	3.970674610077701	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4995	50	0	49	34	0.0	0.98	2.5354515688544996	2.564774819470548		epithelial	BD_immune07_230921	7.41235876083374	harmony	50.0	4	True	4.588165950722475	3.896527977272348	8.541070937891416	0.01921723070794659	0.4212658799829842	0.4519194453252452	0.3536686380897038	2.7261687610333722	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4996	76	0	76	48	0.0	1.0	3.4600667307807025	3.4600667307807025		epithelial	BD_immune07_466668	8.421404838562012	harmony	76.0	3	True	20.823985520006993	3.0567997885259546	8.794895242040788	0.017991118335953384	0.4212658799829842	0.4519194453252452	0.20890515153808872	5.712092684039569	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4997	89	0	89	57	0.0	1.0	2.0065190733491844	2.0065190733491844		epithelial	BD_immune07_669459	6.434508800506592	harmony	89.0	4	True	2.058768734888038	3.9460031316809037	1.2409772428801273	0.2976295943175509	0.6951670828249665	0.7175950959052204	0.5825823835445179	5.194498580235943	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4998	54	0	52	34	0.0	0.9629629629629629	2.904082540264926	3.0024482691105012		epithelial	BD_immune07_734272	9.215073585510254	harmony	54.0	5	True	4.533872672555956	4.529881028757494	6.279918116787168	0.03659963368899041	0.4212658799829842	0.4519194453252452	0.23257367841965715	4.429401766315985	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4999	54	1	53	35	0.018518518518518517	0.9814814814814815	3.159611049098967	3.1532545111297683	3.4965075614664802	epithelial	BD_immune07_880557	8.955941200256348	harmony	54.0	3	True	4.480438386848175	2.816824027956568	4.991568781058576	0.05593087356790948	0.4321868201609724	0.4633921574174932	0.5762014564787403	3.4146742861799564	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5000	48	0	48	29	0.0	1.0	2.0639587428243837	2.0639587428243837		epithelial	BD_immune07_298188	6.7813568115234375	harmony	48.0	5	True	3.0245382456288787	4.605846380489046	3.917676665515937	0.08313716756149553	0.45155068923855435	0.4786558433386721	0.3476877944534804	3.52137397565232	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5001	74	0	74	44	0.0	1.0	3.3687785969479176	3.3687785969479176		epithelial	BD_immune07_38585	9.036905288696289	harmony	73.0	3	True	20.76311278511748	2.9530658250503268	8.304616830494817	0.020455782909889853	0.4212658799829842	0.4519194453252452	0.20890515153808872	5.892240291598413	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
