n_set	n_measured	n_missing	mean_log2FC	median_log2FC	n_pos	n_neg	sign_p	mw_p	ora_up_p	ora_down_p	direction	mapped_genes	missing_genes	source	contrast	set	family	set_source	nes	gsea_p	gsea_fdr
15	9	6	-0.167178	-0.102798	4	5	1	0.425435	0.487569	0.613797	down	DTX4,IRF3,RPS27A,TBK1,TRIM21,TRIM32,TRIM56,UBB,UBC	DDX41,NLRP4,STING1,TREX1,UBA52,ZBP1	cufflinks_group_mean_FPKM	T47D	reactome_cytosolic_DNA	sting_ifn	Enrichr Reactome_2022	-1.19268	0.147852	0.256277
72	38	34	-0.293835	-0.0570619	18	20	0.871415	0.120905	0.973661	0.10323	down	ABCE1,ADAR,BST2,GBP2,HLA-C,HOXC13,IFI35,IFI6,IFIT1,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IP6K2,IRF1,IRF2,IRF3,IRF5,IRF6,ISG15,ISG20,JAK1,KPNA1,KPNB1,OAS1,OAS3,PTPN1,PTPN11,PTPN6,RNASEL,SAMHD1,SOCS3,STAT1,STAT2,TYK2,USP18	EGR1,HLA-A,HLA-B,HLA-E,HLA-F,HLA-G,IFI27,IFIT2,IFIT3,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IRF4,IRF7,IRF8,IRF9,MX1,MX2,OAS2,OASL,PSMB8,RSAD2,SOCS1,XAF1	cufflinks_group_mean_FPKM	T47D	reactome_IFNab	sting_ifn	Enrichr Reactome_2022	-1.82223	0.000999001	0.00519481
89	47	42	-0.0956922	-0.0990199	20	27	0.381693	0.189031	0.447231	0.0682745	sign_down_below_bar	BCL11B,CAMK2B,CAMK2D,CAMK2G,CD44,FCGR1A,GBP2,HLA-C,HLA-DRB1,HLA-DRB5,ICAM1,IFI30,IFNGR1,IRF1,IRF2,IRF3,IRF5,IRF6,JAK1,JAK2,MT2A,NCAM1,OAS1,OAS3,PIAS1,PML,PRKCD,PTPN1,PTPN11,PTPN2,PTPN6,SMAD7,SOCS3,STAT1,SUMO1,TRIM14,TRIM2,TRIM21,TRIM25,TRIM35,TRIM38,TRIM45,TRIM5,TRIM6-TRIM34,TRIM62,TRIM68,TRIM8	B2M,CAMK2A,CIITA,GBP1,GBP4,GBP5,GBP6,GBP7,HLA-A,HLA-B,HLA-DPA1,HLA-DQA1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB3,HLA-DRB4,HLA-E,HLA-F,HLA-G,IFNG,IFNGR2,IRF4,IRF7,IRF8,IRF9,MID1,OAS2,OASL,PTAFR,SOCS1,SP100,TRIM10,TRIM17,TRIM22,TRIM26,TRIM29,TRIM3,TRIM31,TRIM46	cufflinks_group_mean_FPKM	T47D	reactome_IFNg	sting_ifn	Enrichr Reactome_2022	-1.00014	0.304695	0.440115
200	131	69	-0.0610952	0.0324665	68	63	0.726876	0.689138	0.629498	0.5718	mixed_or_flat	AAAS,ABCE1,ADAR,ARIH1,BCL11B,BST2,CAMK2B,CAMK2D,CAMK2G,CD44,EIF2AK2,EIF4A2,EIF4A3,EIF4E,EIF4E2,EIF4E3,EIF4G1,EIF4G2,EIF4G3,FCGR1A,FLNA,FLNB,GBP2,GNL3,HERC5,HLA-C,HLA-DRB1,HLA-DRB5,HOXC13,ICAM1,IFI30,IFI35,IFI6,IFIT1,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IFNGR1,IP6K2,IRF1,IRF2,IRF3,IRF5,IRF6,ISG15,ISG20,JAK1,JAK2,KPNA1,KPNA2,KPNA3,KPNA4,KPNA5,KPNA6,KPNB1,MAPK3,MT2A,NCAM1,NDC1,NEDD4,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUPL2,NUP43,NUP50,NUP54,NUPL1,NUP62,NUP85,NUP88,NUP93,NUP98,OAS1,OAS3,PDE12,PDZD2,PIAS1,PLCG1,PML,POM121,POM121C,PPM1B,PRKCD,PTPN1,PTPN11,PTPN2,PTPN6,RANBP2,DDX58,RNASEL,RPS27A,SAMHD1,SEC13,SEH1L,SMAD7,SOCS3,STAT1,STAT2,SUMO1,TPR,TRIM14,TRIM2,TRIM21,TRIM25,TRIM35,TRIM38,TRIM45,TRIM5,TRIM6-TRIM34,TRIM62,TRIM68,TRIM8,TYK2,UBB,UBC,UBE2E1,UBE2L6,UBE2N,USP18	B2M,CAMK2A,CIITA,EGR1,EIF4A1,GBP1,GBP4,GBP5,GBP6,GBP7,HLA-A,HLA-B,HLA-DPA1,HLA-DQA1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB3,HLA-DRB4,HLA-E,HLA-F,HLA-G,IFI27,IFIT2,IFIT3,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNG,IFNGR2	cufflinks_group_mean_FPKM	T47D	reactome_IFN_signaling	sting_ifn	Enrichr Reactome_2022	-1.12009	0.182817	0.297078
61	50	11	0.0713045	0.0458633	31	19	0.11892	0.107547	0.38148	0.939358	sign_up_below_bar	ABL1,FAM175A,ARTN,ATM,BABAM1,BRE,BARD1,BAZ1B,BRCA1,DEPDC1B,CHEK2,CNKSR3,EYA2,EYA3,EYA4,H2AFX,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BN,HIST2H2BE,HIST3H2BB,HIST1H2BB,HIST1H2BC,HIST1H2BD,HERC2,KAT5,KDM4A,KDM4B,KPNA2,MAPK8,MRE11A,WHSC1,PIAS4,PPP5C,RAD50,RNF168,RNF8,RPS27A,SMARCA5,SUMO1,TP53,TP53BP1,UBB,UBC,UBE2I,UBE2N,UBE2V2,UBXN1,UIMC1	APBB1,EYA1,H2BC1,H2BC12L,H2BC14,H2BC17,H2BC9,H3-4,H4C15,MDC1,UBA52	cufflinks_group_mean_FPKM	T47D	reactome_DSB_response	damage	Enrichr Reactome_2022	1.12553	0.0939061	0.174397
13	6	7	-0.0605751	0.00438696	4	2	0.6875	0.963435	0.686568	0.769797	mixed_or_flat	MB21D1,DTX4,IRF3,MRE11A,TBK1,TRIM21	DDX41,IFI16,NLRC3,NLRP4,STAT6,STING1,TREX1	cufflinks_group_mean_FPKM	T47D	reactome_STING_drop_NHEJ_genes	sting_ifn	Reactome STING minus PRKDC/XRCC5/XRCC6			
76	68	7	0.00642407	0.0279895	38	30	0.396125	0.787745	0.928937	0.945354	sign_up_below_bar	ACTR2,ASTE1,ATM,AUNIP,C7orf49,DCLRE1A,DCLRE1B,DCLRE1C,ERCC1,ERCC4,ERCC6,ERCC6L2,ERCC8,XRCC6,HELQ,HMCES,HMGB1,HMGB2,HSF1,IFFO1,KDM2A,KDM4D,SUV420H1,SUV420H2,LIG3,LIG4,LMNA,MAD2L2,MRE11A,C5orf45,NBN,NHEJ1,NSMCE2,NUDT16L1,PARP3,C9orf142,PLK1,PNKP,POLA1,POLB,POLL,POLM,POLQ,POT1,PRKDC,PRPF19,PSMD14,RHNO1,RIF1,RNF168,RNF8,SETMAR,C20orf196,FAM35A,SMARCAL1,SMC5,SMCHD1,TFIP11,TOP2B,TOPBP1,TP53BP1,USP51,UVRAG,WRAP53,XRCC1,XRCC4,XRCC5,ZBTB7A	APLF,ATP23,DKFZP781A0112,DNTT,HMGA2,SHLD3,WAS	cufflinks_group_mean_FPKM	T47D	GO_NHEJ_0006303	nhej	QuickGO GO:0006303	0.490397	0.328671	0.449761
83	50	33	-0.0558616	0.0105453	27	23	0.671811	0.960944	0.799908	0.787519	mixed_or_flat	ADAR,AZI2,CACTIN,CDC37,CNOT7,EIF4E2,FADD,GIGYF2,HDAC4,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IRAK1,IRF3,ISG15,JAK1,MAVS,METTL3,MUL1,MYD88,OAS1,OAS3,PTPN1,PTPN11,PTPN2,PTPN6,RBM47,RNF185,RNF220,SAMHD1,SIN3A,LINC00998,STAT1,STAT2,TANK,TBK1,TBKBP1,TRAF3,TRIM41,TRIM56,TRIM65,TTLL12,TYK2,UBE2K,USP18,USP27X,YTHDF2,YTHDF3	CR2,DCST1,IFI27,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNAR2-IL10RB,IFNB1,IFNE,IFNK,IFNW1,IKBKE,IRF7,MMP12,NLRC5,OAS2,OASL,SP100,STAT4,STING1,TRIM6,USP29,WNT5A,ZBP1	cufflinks_group_mean_FPKM	T47D	GO_type1_IFN_0060337	sting_ifn	QuickGO GO:0060337	-0.891282	0.42957	0.507674
34	21	13	-0.161659	0.104113	14	7	0.189247	0.392489	0.149335	0.491927	mixed_or_flat	BST2,CALM1,CAPN2,CDC34,HTRA2,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IRF1,MAVS,NDUFA13,OAS1,PLSCR1,PNPT1,C19orf66,STAT1,TRAF3IP3,UBE2G2,UBE2K	ACOD1,AIM2,CAMK2A,HCN1,IFI16,IFNB1,IKBKE,IRGM,MNDA,PYDC5,PYHIN1,TRIM6,XAF1	cufflinks_group_mean_FPKM	T47D	GO_response_IFNB_0035456	sting_ifn	QuickGO GO:0035456	-1.31264	0.0789211	0.163836
7	7	0	0.0880332	0.155465	5	2	0.453125	0.411492	1	1	sign_up_below_bar	PRKDC,XRCC4,LIG4,RIF1,TP53BP1,XRCC5,XRCC6		cufflinks_group_mean_FPKM	MCF7	user_cNHEJ_7	nhej	user panel			
5	5	0	0.0439749	0.107637	3	2	1	0.785956	1	1	sign_up_below_bar	PRKDC,XRCC4,LIG4,XRCC5,XRCC6		cufflinks_group_mean_FPKM	MCF7	enzymatic_cNHEJ_5	nhej	user panel without RIF1/TP53BP1			
2	2	0	0.13804	0.13804	2	0	0.5				too_few	XRCC5,XRCC6		cufflinks_group_mean_FPKM	MCF7	ku_XRCC5_XRCC6	nhej	Ku heterodimer			
3	3	0	0.0269857	-0.0455555	1	2	1	0.966097	1	1	mixed_or_flat	XRCC4,LIG4,NHEJ1		cufflinks_group_mean_FPKM	MCF7	ligase_XRCC4_LIG4_NHEJ1	nhej	ligase complex			
5	4	1	0.0801679	0.0885277	3	1	0.625	0.597567	1	1	sign_up_below_bar	MB21D1,TBK1,IRF3,STAT1	STING1	cufflinks_group_mean_FPKM	MCF7	STING_core_5	sting_ifn	user STING core			
4	3	1	0.124612	0.115525	3	0	0.25	0.404181	1	1	up	MB21D1,TBK1,IRF3	STING1	cufflinks_group_mean_FPKM	MCF7	STING_core_no_STAT1	sting_ifn	STING core without STAT1			
21	9	12	0.0880176	-0.0477293	4	5	1	0.99938	0.329789	0.851235	mixed_or_flat	HLA-C,SEC14L2,TAPBPL,PSMB10,ERAP1,CALR,CANX,PDIA3,IRF1	HLA-A,HLA-B,HLA-E,HLA-F,HLA-G,B2M,TAP2,TAPBP,NLRC5,PSMB8,PSMB9,ERAP2	cufflinks_group_mean_FPKM	MCF7	APM_21_repo	apm	repo MHC-I/APM list	0.861584	0.361638	0.566434
97	63	34	0.0128131	0.0457943	35	28	0.449963	0.912113	0.237233	0.0438217	sign_up_below_bar	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	MCF7	hallmark_IFNa_repo_a8	sting_ifn	a8 Hallmark 2020 IFN-α	-1.02223	0.187812	0.371058
200	118	82	-0.0345839	0.0205696	61	57	0.782556	0.717063	0.0424517	0.0117748	mixed_or_flat	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,DDX58,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,METTL7B,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	MCF7	hallmark_IFNg_repo_a8	sting_ifn	a8 Hallmark 2020 IFN-γ	-1.19957	0.0559441	0.217532
97	63	34	0.0128131	0.0457943	35	28	0.449963	0.912113	0.237233	0.0438217	sign_up_below_bar	ISG15,OAS1,IFI44,IFI35,IFI44L,IFITM1,EIF2AK2,SEC14L2,SP110,UBE2L6,USP18,IFIH1,BST2,LGALS3BP,ADAR,ISG20,GBP2,IRF1,PLSCR1,HERC6,IFITM3,STAT2,IFITM2,HELZ2,TRIM21,PARP14,PARP12,NMI,RNF31,HLA-C,TRIM14,TDRD7,PARP9,PNPT1,TRIM25,PSME1,WARS,PSME2,TRIM5,LAP3,NCOA7,TMEM140,GMPR,PSMA3,PROCR,IL7,IFI30,IRF2,CNP,FAM46A,IL4R,CMTR1,CD47,MOV10,CASP8,TXNIP,SLC25A28,TRAFD1,RIPK2,NUB1,OGFR,MVB12A,ELF1	MX1,IFIT3,IRF7,RSAD2,IFI27,IRF9,OASL,IFIT2,CXCL10,DDX60,PSMB8,PSMB9,SAMD9,CMPK2,RTP4,SAMD9L,LY6E,CXCL11,TRIM26,CASP1,DHX58,EPSTI1,UBA7,B2M,C1S,LAMP3,GBP4,CD74,CSF1,IL15,LPAR6,SELL,BATF2,CCRL2	cufflinks_group_mean_FPKM	MCF7	hallmark_IFNa_2023.1	sting_ifn	MSigDB 2023.1	-1.03122	0.184815	0.371058
200	118	82	-0.0345839	0.0205696	61	57	0.782556	0.717063	0.0424517	0.0117748	mixed_or_flat	STAT1,ISG15,IFIT1,IFI35,SEC14L2,EIF2AK2,IRF1,OAS3,TNFSF10,IFI44,BST2,SP110,IFI44L,IFITM3,LGALS3BP,PML,IFIH1,UBE2L6,ADAR,STAT2,TRIM21,USP18,DDX58,NMI,PSMB10,ITGB7,SAMHD1,HERC6,PTPN2,PARP14,TNFAIP2,IFITM2,PLSCR1,ICAM1,WARS,PSME1,ISG20,IRF2,TRIM14,FCGR1A,SOCS3,JAK2,PARP12,CD274,NAMPT,SEPP1,HELZ2,PSME2,RNF31,SOD2,TRIM25,LAP3,PSMA3,RNF213,PELI1,TXNIP,GCH1,PNP,PTPN6,SPPL2A,IL4R,PNPT1,BTG1,CASP8,IFI30,CASP7,IL15RA,TRAFD1,HLA-DRB1,MT2A,RIPK1,TDRD7,HIF1A,EIF4E3,VAMP8,PFKP,BANK1,TOR1B,RBCK1,IL7,BPGM,CMTR1,AUTS2,RIPK2,MYD88,PSMA2,PIM1,NOD1,SLC25A28,PTPN1,TNFAIP3,SSPN,NUP93,MTHFD2,CDKN1A,NFKB1,LATS2,IRF5,ISOC1,STAT3,NCOA3,IFNAR2,RAPGEF6,CASP4,FAS,OGFR,ARL4A,SRI,LYSMD2,ST3GAL5,CASP3,NFKBIA,METTL7B,ST8SIA4,VAMP5,IL18BP,ZNFX1,ARID5B	MX1,IFIT3,IRF7,IFIT2,OAS2,RSAD2,MX2,IRF9,CXCL10,XAF1,OASL,PSMB8,DDX60,GBP4,IRF8,PSMB9,IFI27,LY6E,CXCL9,IL10RA,PLA2G4A,PTGS2,EPSTI1,C1S,IL15,NLRC5,IDO1,CXCL11,CMPK2,SAMD9L,RTP4,SOCS1,CASP1,MARCHF1,HLA-DMA,TNFAIP6,TRIM26,VCAM1,CIITA,GPR18	cufflinks_group_mean_FPKM	MCF7	hallmark_IFNg_2023.1	sting_ifn	MSigDB 2023.1	-1.20684	0.0609391	0.217532
150	135	15	0.038413	0.0491947	82	53	0.0156442	0.32173	0.997581	0.999964	sign_up_below_bar	POLR2H,POLR2A,POLR2G,POLR2E,POLR2J,POLR2F,POLR2C,POLR2K,GTF2H3,POLR2D,ERCC3,DDB2,POLR1C,XPC,PCNA,POLR2I,SUPT4H1,POLD3,POLR3GL,GTF2B,POLR1D,NCBP2,GTF2F1,LIG1,ERCC1,ERCC4,POLD4,NELFB,RFC2,ELL,TAF10,RRM2B,SUPT5H,RPA3,SNAPC5,SSRP1,RFC3,RPA2,TCEB3,TAF12,NELFCD,TAF13,TAF6,GTF2A2,VPS37D,RNMT,ERCC2,POLE4,VPS37B,NT5C3A,SNAPC4,AAAS,RFC4,ITPA,POM121,BRF2,RFC5,SAC3D1,CLP1,NME4,PRIM1,VPS28,TSG101,USP11,TAF1C,TARBP2,POLH,CETN2,POLD1,CANT1,DGCR8,RAD51,SURF1,PNP,ADA,NME3,GTF3C5,NT5C,GTF2H1,APRT,ERCC8,IMPDH2,POLB,SDCBP,SF3A3,DAD1,UPF3B,GUK1,TP53,ADRM1,SEC61A1,POLA2,FEN1,NUDT9,TYMS,BCAP31,DDB1,NFX1,RAD52,ADCY6,ARL6IP1,DGUOK,POLL,SMAD5,MPG,DUT,POLA1,AGO4,RALA,ZWINT,BCAM,TK2,CSTF3,GTF2H5,HPRT1,GPX4,MPC2,ALYREF,MRPL40,NPRL2,REV3L,EDF1,TMED2,STX3,RAE1,UMPS,EIF1B,AK3,NUDT21,RBX1,SRSF6,GMPR2,DCTN4,COX17,CCNO	POLR3C,NELFE,ERCC5,TAF9,NME1,POLR1H,PDE4B,AK1,HCLS1,ZNF707,PDE6G,BOLA2,CDA,GSDME,CMPK2	cufflinks_group_mean_FPKM	MCF7	hallmark_DNA_REPAIR_2023.1	damage	MSigDB 2023.1	0.64983	0.566434	0.566434
97	63	34	0.0128131	0.0457943	35	28	0.449963	0.912113	0.237233	0.0438217	sign_up_below_bar	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	MCF7	hallmark_IFNa_2023.2	sting_ifn	MSigDB 2023.2	-1.0136	0.1998	0.371058
200	118	82	-0.0345839	0.0205696	61	57	0.782556	0.717063	0.0424517	0.0117748	mixed_or_flat	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,METTL7B,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,DDX58,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	MCF7	hallmark_IFNg_2023.2	sting_ifn	MSigDB 2023.2	-1.21295	0.045954	0.217532
150	135	15	0.038413	0.0491947	82	53	0.0156442	0.32173	0.997581	0.999964	sign_up_below_bar	AAAS,ADA,ADCY6,ADRM1,AGO4,AK3,ALYREF,APRT,ARL6IP1,BCAM,BCAP31,BRF2,CANT1,CCNO,CETN2,CLP1,COX17,CSTF3,DAD1,DCTN4,DDB1,DDB2,DGCR8,DGUOK,DUT,EDF1,EIF1B,ELL,TCEB3,ERCC1,ERCC2,ERCC3,ERCC4,ERCC8,FEN1,GMPR2,GPX4,GTF2A2,GTF2B,GTF2F1,GTF2H1,GTF2H3,GTF2H5,GTF3C5,GUK1,HPRT1,IMPDH2,ITPA,LIG1,MPC2,MPG,MRPL40,NCBP2,NELFB,NELFCD,NFX1,NME3,NME4,NPRL2,NT5C,NT5C3A,NUDT21,NUDT9,PCNA,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLD4,POLE4,POLH,POLL,POLR1C,POLR1D,POLR2A,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR3GL,POM121,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,REV3L,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,RRM2B,SAC3D1,SDCBP,SEC61A1,SF3A3,SMAD5,SNAPC4,SNAPC5,SRSF6,SSRP1,STX3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF1C,TAF6,TARBP2,TK2,TMED2,TP53,TSG101,TYMS,UMPS,UPF3B,USP11,VPS28,VPS37B,VPS37D,XPC,ZWINT	AK1,BOLA2,CDA,CMPK2,ERCC5,GSDME,HCLS1,NELFE,NME1,PDE4B,PDE6G,POLR1H,POLR3C,TAF9,ZNF707	cufflinks_group_mean_FPKM	MCF7	hallmark_DNA_REPAIR_2023.2	damage	MSigDB 2023.2	0.657129	0.556444	0.566434
97	63	34	0.0128131	0.0457943	35	28	0.449963	0.912113	0.237233	0.0438217	sign_up_below_bar	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	MCF7	hallmark_IFNa_2024.1	sting_ifn	MSigDB 2024.1	-1.02525	0.177822	0.371058
