gene	T47D	MCF7
AL359955.1	overlap	both_KO_above_both_WT
AL359955.2	overlap	overlap
AL359976.1	both_KO_above_both_WT	both_KO_above_both_WT
AL359999.1	overlap	overlap
AL360013.1	overlap	overlap
AL360081.1	both_KO_below_both_WT	overlap
AL360085.1	overlap	overlap
AL360181.3	overlap	overlap
AL360181.5	overlap	overlap
AL360182.1	overlap	overlap
AL360221.1	overlap	overlap
AL360271.1	overlap	overlap
AL360271.2	overlap	overlap
AL360272.1	overlap	overlap
AL365203.2	overlap	overlap
AL365204.3	overlap	overlap
AL365205.1	both_KO_above_both_WT	both_KO_above_both_WT
AL365214.1	overlap	overlap
AL365214.3	both_KO_below_both_WT	overlap
AL365217.1	overlap	overlap
AL365220.1	overlap	overlap
AL365222.1	overlap	overlap
AL365223.1	overlap	overlap
AL365232.1	overlap	overlap
AL365258.2	overlap	overlap
AL365265.1	overlap	overlap
AL365273.2	overlap	overlap
AL365338.1	overlap	both_KO_above_both_WT
AL365356.2	overlap	overlap
AL365357.1	overlap	overlap
AL365366.1	both_KO_above_both_WT	overlap
AL365396.1	overlap	overlap
AL365400.1	overlap	overlap
AL365400.2	overlap	overlap
AL365436.1	overlap	both_KO_below_both_WT
AL365440.1	both_KO_above_both_WT	overlap
AL365475.1	overlap	overlap
AL365496.1	overlap	overlap
AL365503.1	overlap	both_KO_below_both_WT
AL389895.1	overlap	overlap
AL389915.1	overlap	overlap
AL389915.2	overlap	overlap
AL389925.1	overlap	overlap
AL390023.1	overlap	overlap
AL390026.1	overlap	overlap
AL390039.1	overlap	overlap
AL390058.1	overlap	overlap
AL390119.1	overlap	overlap
AL390123.1	overlap	overlap
AL390198.2	both_KO_below_both_WT	overlap
AL390205.1	overlap	overlap
AL390237.1	overlap	overlap
AL390240.1	overlap	overlap
AL390316.1	overlap	overlap
AL390334.1	both_KO_below_both_WT	both_KO_below_both_WT
AL390719.1	both_KO_above_both_WT	overlap
AL390726.1	overlap	overlap
AL390726.2	overlap	overlap
AL390726.5	overlap	both_KO_below_both_WT
AL390726.6	both_KO_above_both_WT	both_KO_below_both_WT
AL390728.1	both_KO_below_both_WT	overlap
AL390728.2	both_KO_below_both_WT	overlap
AL390728.3	overlap	overlap
AL390728.4	overlap	overlap
AL390729.2	overlap	overlap
AL390754.1	overlap	overlap
AL390774.1	overlap	overlap
AL390816.3	overlap	overlap
AL390838.2	overlap	overlap
AL390840.1	overlap	overlap
AL390877.1	overlap	overlap
AL390879.1	overlap	overlap
AL390879.2	both_KO_above_both_WT	overlap
AL390882.1	overlap	overlap
AL390955.1	overlap	overlap
AL390961.1	overlap	overlap
AL391058.1	overlap	overlap
AL391094.1	both_KO_above_both_WT	both_KO_below_both_WT
AL391099.1	overlap	overlap
AL391156.1	overlap	overlap
AL391219.1	both_KO_above_both_WT	both_KO_below_both_WT
AL391256.1	overlap	overlap
AL391261.1	overlap	overlap
AL391261.3	overlap	overlap
AL391262.1	both_KO_above_both_WT	overlap
AL391280.1	overlap	overlap
AL391358.1	overlap	overlap
AL391361.1	overlap	overlap
AL391380.1	overlap	overlap
AL391416.1	both_KO_above_both_WT	both_KO_above_both_WT
AL391417.1	overlap	overlap
AL391419.1	overlap	overlap
AL391422.1	overlap	overlap
AL391516.1	overlap	overlap
AL391646.1	overlap	overlap
AL391647.1	overlap	overlap
AL391650.1	both_KO_below_both_WT	both_KO_below_both_WT
AL391666.1	overlap	both_KO_below_both_WT
AL391669.1	overlap	overlap
AL391730.1	overlap	overlap
AL391813.1	overlap	overlap
AL391822.1	overlap	both_KO_above_both_WT
AL391825.1	overlap	overlap
AL391840.1	overlap	overlap
AL391903.1	overlap	overlap
AL391903.2	overlap	overlap
AL391903.3	overlap	overlap
AL391987.1	overlap	overlap
AL391987.5	overlap	overlap
AL391987.6	overlap	overlap
AL391994.1	overlap	both_KO_below_both_WT
AL392003.1	overlap	overlap
AL392003.2	overlap	overlap
AL392088.1	overlap	overlap
AL392088.2	overlap	overlap
AL392088.3	overlap	overlap
AL392103.1	overlap	overlap
AL392112.1	overlap	overlap
AL441963.1	both_KO_above_both_WT	both_KO_below_both_WT
AL441964.1	overlap	overlap
AL441985.1	overlap	overlap
AL442128.1	overlap	overlap
AL442163.2	overlap	overlap
AL442163.3	overlap	overlap
AL442644.1	overlap	overlap
AL442647.2	overlap	overlap
AL442663.1	overlap	overlap
AL442663.2	both_KO_above_both_WT	both_KO_below_both_WT
AL442663.4	both_KO_below_both_WT	both_KO_below_both_WT
AL445183.3	overlap	overlap
AL445187.1	overlap	overlap
AL445189.1	overlap	both_KO_above_both_WT
AL445189.2	overlap	overlap
AL445193.1	overlap	overlap
AL445213.1	overlap	overlap
AL445220.1	overlap	overlap
AL445238.1	overlap	overlap
AL445264.1	overlap	overlap
AL445305.1	overlap	overlap
AL445383.1	both_KO_above_both_WT	overlap
AL445433.1	overlap	overlap
AL445435.1	overlap	overlap
AL445466.1	overlap	overlap
AL445487.1	both_KO_above_both_WT	overlap
AL445493.1	overlap	overlap
AL445523.1	overlap	overlap
AL445528.1	overlap	overlap
AL445528.2	overlap	overlap
AL445529.1	overlap	both_KO_below_both_WT
AL445567.1	overlap	overlap
AL445567.2	overlap	overlap
AL445584.1	overlap	overlap
AL445584.3	overlap	overlap
AL445646.1	overlap	overlap
AL445647.2	overlap	overlap
AL445665.1	both_KO_above_both_WT	both_KO_above_both_WT
AL445669.1	both_KO_below_both_WT	overlap
AL445669.2	overlap	overlap
AL445670.1	overlap	overlap
AL445675.1	overlap	overlap
AL445675.2	overlap	overlap
AL445685.2	overlap	overlap
AL445686.1	overlap	overlap
AL445687.1	overlap	overlap
AL445687.2	overlap	overlap
AL445928.1	overlap	overlap
AL445933.1	overlap	both_KO_above_both_WT
AL445984.1	overlap	overlap
AL445991.1	overlap	overlap
AL449212.1	both_KO_above_both_WT	overlap
AL449266.1	overlap	overlap
AL449283.1	overlap	overlap
AL449363.1	overlap	overlap
AL450023.1	overlap	overlap
AL450023.2	overlap	overlap
AL450023.3	overlap	overlap
AL450063.1	both_KO_above_both_WT	overlap
AL450124.1	overlap	both_KO_above_both_WT
AL450263.2	both_KO_above_both_WT	overlap
AL450304.1	overlap	overlap
AL450309.1	overlap	overlap
AL450326.2	overlap	overlap
AL450336.1	overlap	both_KO_above_both_WT
AL450338.1	overlap	overlap
AL450346.1	overlap	both_KO_above_both_WT
AL450346.2	overlap	overlap
AL450405.1	both_KO_above_both_WT	overlap
AL450471.1	overlap	overlap
AL450472.1	overlap	overlap
AL450472.2	overlap	overlap
AL450472.3	overlap	overlap
AL450487.1	overlap	overlap
AL450487.2	overlap	overlap
AL450489.1	overlap	both_KO_above_both_WT
AL450992.3	overlap	both_KO_below_both_WT
AL450996.1	overlap	overlap
AL450998.1	overlap	overlap
AL451000.1	overlap	overlap
AL451007.1	overlap	overlap
AL451007.3	overlap	overlap
AL451044.1	overlap	overlap
AL451046.1	overlap	overlap
AL451046.2	overlap	overlap
AL451050.1	overlap	overlap
AL451054.1	overlap	overlap
AL451054.2	overlap	overlap
AL451054.3	overlap	overlap
AL451061.1	overlap	overlap
AL451062.2	both_KO_above_both_WT	overlap
AL451063.1	overlap	overlap
AL451074.1	both_KO_above_both_WT	overlap
AL451074.3	overlap	overlap
AL451074.4	overlap	overlap
AL451074.5	overlap	overlap
AL451081.2	both_KO_below_both_WT	overlap
AL451086.1	overlap	overlap
AL451105.1	overlap	overlap
AL451124.1	overlap	overlap
AL451136.1	overlap	overlap
AL451139.1	overlap	overlap
AL451142.1	overlap	overlap
AL451142.2	overlap	overlap
AL451142.3	overlap	overlap
AL451165.1	overlap	overlap
AL499605.1	both_KO_below_both_WT	both_KO_below_both_WT
AL500522.2	overlap	overlap
AL500527.1	overlap	overlap
AL500527.2	overlap	overlap
AL512286.1	overlap	overlap
AL512288.2	overlap	overlap
AL512306.1	overlap	overlap
AL512310.1	overlap	overlap
AL512310.3	overlap	overlap
AL512310.4	overlap	overlap
AL512310.5	overlap	overlap
AL512310.6	overlap	overlap
AL512310.7	overlap	overlap
AL512310.8	overlap	overlap
AL512310.9	overlap	overlap
AL512324.1	overlap	overlap
AL512324.3	overlap	overlap
AL512324.4	overlap	overlap
AL512326.1	overlap	overlap
AL512326.2	overlap	overlap
AL512326.3	overlap	overlap
AL512329.1	overlap	overlap
AL512343.1	overlap	overlap
AL512353.2	overlap	overlap
AL512353.3	overlap	overlap
AL512356.2	overlap	overlap
AL512360.1	overlap	overlap
AL512361.1	overlap	overlap
AL512378.1	overlap	overlap
AL512384.1	overlap	both_KO_above_both_WT
AL512422.1	both_KO_below_both_WT	overlap
AL512427.1	overlap	overlap
AL512428.1	overlap	overlap
AL512430.1	overlap	overlap
AL512430.2	overlap	overlap
AL512430.3	both_KO_above_both_WT	overlap
AL512430.4	overlap	overlap
AL512504.1	overlap	overlap
AL512504.2	overlap	overlap
AL512506.3	both_KO_below_both_WT	both_KO_below_both_WT
AL512590.1	overlap	overlap
AL512590.2	both_KO_below_both_WT	both_KO_above_both_WT
AL512593.1	both_KO_above_both_WT	both_KO_above_both_WT
AL512594.1	overlap	overlap
AL512599.1	overlap	overlap
AL512604.1	overlap	overlap
AL512605.1	both_KO_below_both_WT	both_KO_below_both_WT
AL512605.2	overlap	overlap
AL512624.1	overlap	overlap
AL512625.2	overlap	both_KO_above_both_WT
AL512633.1	overlap	both_KO_below_both_WT
AL512635.1	overlap	overlap
AL512637.1	both_KO_below_both_WT	overlap
AL512637.2	overlap	overlap
AL512638.1	overlap	overlap
AL512638.3	overlap	overlap
AL512646.1	overlap	overlap
AL512649.1	overlap	overlap
AL512661.1	overlap	overlap
AL512782.1	overlap	overlap
AL512785.2	overlap	overlap
AL512844.1	both_KO_below_both_WT	overlap
AL512844.2	overlap	overlap
AL512882.1	overlap	overlap
AL513043.1	overlap	overlap
AL513043.2	overlap	overlap
AL513122.1	overlap	overlap
AL513124.1	overlap	overlap
AL513165.2	overlap	overlap
AL513174.1	overlap	overlap
AL513175.1	overlap	overlap
AL513175.2	overlap	overlap
AL513185.2	overlap	overlap
AL513185.3	overlap	overlap
AL513302.1	overlap	overlap
AL513318.1	overlap	overlap
AL513321.1	overlap	overlap
AL513325.1	overlap	overlap
AL513328.1	overlap	overlap
AL513331.1	overlap	overlap
AL513343.1	overlap	both_KO_below_both_WT
AL513365.1	overlap	overlap
AL513366.1	overlap	overlap
AL513423.1	overlap	overlap
AL513475.1	overlap	overlap
AL513475.2	overlap	both_KO_below_both_WT
AL513477.1	overlap	overlap
AL513478.1	overlap	overlap
AL513478.3	overlap	overlap
AL513478.4	overlap	overlap
AL513479.1	overlap	overlap
AL513480.1	overlap	overlap
AL513485.1	overlap	overlap
AL513523.1	overlap	overlap
AL513523.10	both_KO_above_both_WT	overlap
AL513523.2	overlap	overlap
AL513523.5	overlap	overlap
AL513523.6	overlap	overlap
AL513523.9	both_KO_above_both_WT	overlap
AL513533.1	overlap	overlap
AL513534.2	overlap	overlap
AL513548.2	overlap	overlap
AL583805.1	both_KO_below_both_WT	overlap
AL583832.1	overlap	overlap
AL583834.1	overlap	overlap
AL583835.1	overlap	overlap
AL583835.2	overlap	overlap
AL583836.1	overlap	overlap
AL583843.1	overlap	overlap
AL583844.1	overlap	overlap
AL583856.1	overlap	overlap
AL589182.2	overlap	overlap
AL589647.1	overlap	overlap
AL589655.1	both_KO_above_both_WT	overlap
AL589666.1	overlap	overlap
AL589674.2	overlap	overlap
AL589743.2	overlap	overlap
AL589743.3	overlap	overlap
AL589743.5	both_KO_below_both_WT	overlap
AL589743.6	overlap	overlap
AL589743.7	overlap	overlap
AL589763.1	overlap	overlap
AL589765.3	overlap	overlap
AL589794.1	overlap	overlap
AL589823.1	overlap	overlap
AL589826.1	overlap	overlap
AL589843.2	overlap	overlap
AL589872.1	overlap	overlap
AL589880.1	overlap	overlap
AL589935.2	overlap	overlap
AL589987.1	overlap	overlap
AL589993.1	overlap	overlap
AL589994.1	overlap	overlap
AL589994.2	overlap	overlap
AL590002.1	overlap	overlap
AL590004.1	overlap	overlap
AL590004.2	overlap	overlap
AL590032.1	overlap	overlap
AL590065.1	overlap	overlap
AL590084.1	overlap	overlap
AL590084.2	overlap	overlap
AL590084.3	overlap	overlap
AL590095.2	overlap	overlap
AL590099.1	overlap	overlap
AL590103.1	overlap	overlap
AL590128.1	overlap	both_KO_below_both_WT
AL590132.1	both_KO_below_both_WT	overlap
AL590135.1	overlap	overlap
AL590139.1	overlap	overlap
AL590143.1	overlap	overlap
AL590229.1	overlap	overlap
AL590233.1	both_KO_below_both_WT	overlap
AL590240.1	overlap	overlap
AL590240.2	overlap	overlap
AL590240.3	overlap	overlap
AL590240.4	overlap	overlap
AL590282.1	both_KO_below_both_WT	both_KO_below_both_WT
AL590286.1	overlap	overlap
AL590290.1	overlap	overlap
AL590326.1	overlap	overlap
AL590365.1	overlap	overlap
AL590383.1	overlap	overlap
AL590392.1	overlap	overlap
AL590396.1	both_KO_above_both_WT	overlap
AL590396.2	overlap	overlap
AL590396.3	overlap	overlap
AL590396.4	overlap	overlap
AL590399.2	overlap	overlap
AL590399.4	both_KO_above_both_WT	both_KO_above_both_WT
AL590399.6	overlap	overlap
AL590410.1	overlap	overlap
AL590426.1	both_KO_above_both_WT	overlap
AL590491.1	overlap	both_KO_below_both_WT
AL590491.3	overlap	overlap
AL590556.1	overlap	overlap
AL590556.2	overlap	both_KO_below_both_WT
AL590559.1	overlap	overlap
AL590560.1	overlap	both_KO_below_both_WT
AL590609.1	overlap	overlap
AL590609.2	overlap	overlap
AL590617.1	both_KO_below_both_WT	both_KO_below_both_WT
AL590623.1	overlap	overlap
AL590627.1	overlap	overlap
AL590632.1	overlap	both_KO_above_both_WT
AL590635.1	overlap	overlap
AL590639.1	overlap	overlap
AL590640.2	overlap	overlap
AL590648.1	overlap	overlap
AL590664.1	overlap	overlap
AL590682.1	both_KO_below_both_WT	overlap
AL590704.1	overlap	overlap
AL590705.4	overlap	overlap
AL590762.1	overlap	overlap
AL590762.2	overlap	overlap
AL590762.3	both_KO_below_both_WT	both_KO_above_both_WT
AL590762.4	overlap	overlap
AL590763.1	overlap	overlap
AL590806.1	overlap	both_KO_above_both_WT
AL590808.1	overlap	overlap
AL590824.1	overlap	overlap
AL590867.2	both_KO_below_both_WT	overlap
AL591034.1	overlap	overlap
AL591034.2	overlap	overlap
AL591034.3	overlap	overlap
AL591043.1	overlap	overlap
AL591122.1	overlap	both_KO_above_both_WT
AL591135.1	both_KO_below_both_WT	overlap
AL591212.2	overlap	overlap
AL591222.2	overlap	overlap
AL591222.3	overlap	overlap
AL591363.1	overlap	overlap
AL591379.1	overlap	both_KO_below_both_WT
AL591379.2	overlap	overlap
AL591416.1	both_KO_below_both_WT	both_KO_below_both_WT
AL591419.1	overlap	overlap
AL591424.1	overlap	overlap
AL591424.2	overlap	overlap
AL591424.3	overlap	overlap
AL591438.1	overlap	overlap
AL591438.2	both_KO_above_both_WT	overlap
AL591471.1	overlap	overlap
AL591473.1	overlap	overlap
AL591479.1	both_KO_above_both_WT	overlap
AL591499.1	overlap	overlap
AL591503.2	overlap	overlap
AL591503.3	overlap	overlap
AL591516.1	overlap	overlap
AL591623.2	overlap	overlap
AL591644.1	overlap	overlap
AL591684.3	overlap	overlap
AL591704.1	overlap	overlap
AL591704.2	overlap	overlap
AL591719.1	overlap	overlap
AL591742.1	overlap	overlap
AL591767.2	overlap	overlap
AL591767.3	both_KO_below_both_WT	both_KO_above_both_WT
AL591806.2	overlap	overlap
AL591806.3	overlap	overlap
AL591846.1	overlap	overlap
AL591848.1	overlap	overlap
AL591866.1	overlap	both_KO_above_both_WT
AL591926.1	overlap	overlap
AL591926.3	overlap	overlap
AL591926.4	overlap	overlap
AL591926.5	overlap	overlap
AL591926.6	overlap	overlap
AL591926.7	overlap	overlap
AL591926.8	overlap	overlap
AL592043.2	overlap	overlap
AL592045.1	overlap	overlap
AL592049.1	overlap	overlap
AL592076.1	overlap	overlap
AL592114.1	overlap	overlap
AL592114.2	overlap	overlap
AL592148.1	both_KO_above_both_WT	overlap
AL592148.2	overlap	overlap
AL592156.1	overlap	overlap
AL592183.1	both_KO_above_both_WT	overlap
AL592221.1	overlap	overlap
AL592227.1	overlap	overlap
AL592291.1	overlap	overlap
AL592293.1	both_KO_below_both_WT	overlap
AL592293.2	both_KO_below_both_WT	overlap
AL592295.1	both_KO_below_both_WT	overlap
AL592295.2	overlap	overlap
AL592309.1	overlap	overlap
AL592310.1	both_KO_below_both_WT	overlap
AL592429.1	overlap	overlap
AL592436.1	overlap	overlap
AL592437.1	both_KO_below_both_WT	both_KO_above_both_WT
AL592437.2	overlap	both_KO_above_both_WT
AL592447.1	overlap	overlap
AL592490.1	overlap	overlap
AL592494.2	both_KO_below_both_WT	both_KO_above_both_WT
AL592504.1	overlap	overlap
AL593848.1	overlap	overlap
AL593848.2	overlap	overlap
AL593851.1	overlap	overlap
AL593856.1	overlap	overlap
AL596028.1	overlap	overlap
AL596087.1	overlap	both_KO_below_both_WT
AL596092.1	overlap	overlap
AL596245.1	overlap	overlap
AL596266.1	overlap	overlap
AL596268.1	overlap	overlap
AL596275.1	overlap	overlap
AL596276.1	overlap	overlap
AL596276.2	overlap	overlap
AL596327.1	overlap	overlap
AL596448.1	overlap	both_KO_above_both_WT
AL603650.1	overlap	overlap
AL603755.1	overlap	overlap
AL603758.1	overlap	overlap
AL603764.1	overlap	overlap
AL603764.2	overlap	overlap
AL603766.1	overlap	overlap
AL603825.1	overlap	overlap
AL603832.3	overlap	overlap
AL603841.1	overlap	overlap
AL603865.1	overlap	overlap
AL603865.2	overlap	overlap
AL603882.1	both_KO_below_both_WT	both_KO_above_both_WT
AL603908.1	overlap	overlap
AL603910.2	overlap	overlap
AL603914.1	overlap	overlap
AL604028.2	overlap	both_KO_below_both_WT
AL606462.1	overlap	overlap
AL606489.2	overlap	overlap
AL606490.1	overlap	overlap
AL606490.2	overlap	overlap
AL606490.4	overlap	overlap
AL606490.5	overlap	overlap
AL606490.6	overlap	overlap
AL606490.7	overlap	overlap
AL606490.8	overlap	overlap
AL606490.9	overlap	overlap
AL606495.1	both_KO_below_both_WT	overlap
AL606495.2	overlap	overlap
AL606517.1	overlap	overlap
AL606517.2	overlap	overlap
AL606530.1	overlap	overlap
AL606534.2	overlap	overlap
AL606534.5	both_KO_below_both_WT	overlap
AL606534.6	overlap	overlap
AL606662.1	overlap	overlap
AL606752.1	overlap	overlap
AL606753.1	overlap	overlap
AL606760.4	overlap	overlap
AL606834.1	overlap	overlap
AL606845.1	overlap	overlap
AL606923.1	overlap	overlap
AL607023.1	overlap	overlap
AL607077.1	overlap	overlap
AL627082.1	overlap	overlap
AL627082.2	overlap	overlap
AL627095.1	overlap	overlap
AL627223.1	overlap	overlap
AL627224.1	overlap	overlap
AL627230.1	overlap	overlap
AL627230.2	both_KO_above_both_WT	overlap
AL627230.3	overlap	overlap
AL627230.4	both_KO_above_both_WT	overlap
AL627230.5	overlap	overlap
AL627230.6	overlap	overlap
AL627230.7	overlap	overlap
AL627230.8	overlap	overlap
AL627231.1	overlap	overlap
AL627308.1	overlap	overlap
AL627308.2	overlap	overlap
AL627309.6	overlap	overlap
AL627309.7	overlap	overlap
AL627309.8	overlap	both_KO_above_both_WT
AL627311.1	overlap	overlap
AL627313.1	overlap	overlap
AL627313.2	overlap	overlap
AL627389.1	both_KO_below_both_WT	both_KO_above_both_WT
AL627390.1	overlap	overlap
AL627402.1	both_KO_above_both_WT	both_KO_above_both_WT
AL627422.1	overlap	overlap
AL645474.1	overlap	overlap
AL645568.2	overlap	overlap
AL645568.3	overlap	overlap
AL645608.4	overlap	overlap
AL645638.1	overlap	overlap
AL645728.2	overlap	both_KO_below_both_WT
AL645733.1	overlap	overlap
AL645922.1	overlap	overlap
AL645924.2	both_KO_below_both_WT	overlap
AL645927.1	both_KO_below_both_WT	overlap
AL645927.2	overlap	overlap
AL645929.1	overlap	overlap
AL645931.1	overlap	overlap
AL645933.1	overlap	overlap
AL645935.1	overlap	overlap
AL645935.2	both_KO_below_both_WT	overlap
AL645936.1	both_KO_above_both_WT	overlap
AL645936.2	overlap	overlap
AL645937.1	overlap	overlap
AL645937.2	overlap	overlap
AL645937.3	overlap	overlap
AL645937.5	overlap	overlap
AL645939.1	overlap	overlap
AL645939.2	overlap	overlap
AL645939.3	overlap	overlap
AL645939.4	overlap	overlap
AL645941.2	both_KO_above_both_WT	overlap
AL645944.1	overlap	overlap
AL645949.1	overlap	overlap
AL645949.2	both_KO_below_both_WT	both_KO_below_both_WT
AL645998.1	overlap	overlap
AL662791.1	overlap	overlap
AL662791.2	overlap	both_KO_above_both_WT
AL662791.3	overlap	overlap
AL662795.1	overlap	overlap
AL662814.1	overlap	overlap
AL662824.1	overlap	overlap
AL662826.1	overlap	overlap
AL662826.2	both_KO_above_both_WT	overlap
AL662828.1	overlap	both_KO_below_both_WT
AL662831.1	overlap	overlap
AL662833.1	overlap	overlap
AL662842.1	overlap	both_KO_below_both_WT
AL662844.1	overlap	overlap
AL662844.2	overlap	overlap
AL662847.1	overlap	overlap
AL662852.1	overlap	overlap
AL662852.2	overlap	overlap
AL662852.3	overlap	overlap
AL662852.4	overlap	overlap
AL662852.6	overlap	overlap
AL662857.1	overlap	overlap
AL662857.2	overlap	overlap
AL662857.3	overlap	overlap
AL662857.5	overlap	overlap
AL662857.6	overlap	overlap
AL662865.1	overlap	overlap
AL662869.1	both_KO_below_both_WT	overlap
AL662874.1	overlap	overlap
AL662890.1	both_KO_below_both_WT	both_KO_above_both_WT
AL662899.1	overlap	overlap
AL662899.2	overlap	overlap
AL662899.3	overlap	overlap
AL663058.1	overlap	overlap
AL663061.1	overlap	overlap
AL663061.2	overlap	overlap
AL663070.1	overlap	overlap
AL663074.2	overlap	overlap
AL663109.1	overlap	overlap
AL669813.1	overlap	overlap
AL669813.2	overlap	overlap
AL669818.1	both_KO_below_both_WT	overlap
AL669830.1	overlap	overlap
AL669831.1	both_KO_below_both_WT	overlap
AL669831.3	overlap	both_KO_below_both_WT
AL669831.4	both_KO_above_both_WT	both_KO_below_both_WT
AL669831.6	overlap	overlap
AL669854.1	overlap	overlap
AL669918.1	both_KO_below_both_WT	overlap
AL669942.2	overlap	overlap
AL669978.1	both_KO_below_both_WT	both_KO_above_both_WT
AL669983.1	overlap	overlap
AL670379.1	overlap	overlap
AL670379.10	overlap	overlap
AL670379.11	overlap	overlap
AL670379.12	overlap	overlap
AL670379.2	overlap	overlap
AL670379.3	overlap	overlap
AL670379.4	overlap	overlap
AL670379.5	overlap	overlap
AL670379.6	overlap	overlap
AL670379.7	overlap	overlap
AL670379.8	overlap	overlap
AL670379.9	overlap	overlap
AL671277.1	overlap	overlap
AL671277.2	both_KO_below_both_WT	overlap
AL671309.1	overlap	overlap
AL671561.1	overlap	overlap
AL671561.2	overlap	overlap
AL671855.1	overlap	overlap
AL671862.1	overlap	overlap
AL671883.1	overlap	overlap
AL671883.3	overlap	overlap
AL671986.1	overlap	both_KO_below_both_WT
AL672043.1	overlap	overlap
AL672138.1	overlap	overlap
AL672142.1	overlap	both_KO_below_both_WT
AL672167.1	overlap	overlap
AL672167.2	overlap	overlap
AL672167.3	overlap	overlap
AL672207.1	overlap	overlap
AL672212.1	overlap	overlap
AL672296.1	overlap	overlap
AL683813.2	overlap	overlap
AL683842.1	overlap	overlap
AL691432.1	both_KO_above_both_WT	overlap
AL691432.3	overlap	overlap
AL691442.1	overlap	overlap
AL691447.1	overlap	overlap
AL691447.3	overlap	overlap
AL691449.1	overlap	overlap
AL691477.1	overlap	overlap
AL691482.1	overlap	overlap
AL691482.2	overlap	overlap
AL691517.1	overlap	overlap
AL713866.2	overlap	overlap
AL713922.1	overlap	overlap
AL713922.2	overlap	both_KO_below_both_WT
AL713998.2	overlap	overlap
AL713999.1	overlap	overlap
AL714022.1	overlap	overlap
AL731534.1	overlap	overlap
AL731547.1	overlap	overlap
AL731556.1	both_KO_below_both_WT	overlap
AL731556.2	overlap	both_KO_below_both_WT
AL731563.1	overlap	overlap
AL731768.1	overlap	overlap
AL731892.1	overlap	overlap
AL732292.1	overlap	overlap
AL732372.2	both_KO_below_both_WT	both_KO_above_both_WT
AL732372.3	overlap	overlap
AL732414.1	overlap	overlap
AL772155.2	overlap	overlap
AL772155.3	overlap	overlap
AL772161.1	overlap	overlap
AL772161.2	overlap	overlap
AL772284.1	overlap	overlap
AL772284.2	overlap	overlap
AL772337.4	overlap	overlap
AL773524.1	overlap	overlap
AL773535.1	overlap	overlap
AL773545.2	overlap	overlap
AL773545.3	both_KO_above_both_WT	overlap
AL773545.4	overlap	overlap
AL773604.1	overlap	overlap
AL805913.1	overlap	overlap
AL807752.1	overlap	overlap
AL807752.6	overlap	overlap
AL807752.7	overlap	overlap
AL807761.1	overlap	overlap
AL807761.2	overlap	overlap
AL831737.1	overlap	overlap
AL844220.1	overlap	overlap
AL844539.2	both_KO_below_both_WT	both_KO_above_both_WT
AL844851.1	overlap	overlap
AL844851.2	overlap	overlap
AL844851.3	overlap	overlap
AL844853.2	both_KO_below_both_WT	overlap
AL845321.1	overlap	overlap
AL845331.1	overlap	overlap
AL845331.2	both_KO_below_both_WT	overlap
AL845331.3	both_KO_above_both_WT	overlap
AL845443.1	overlap	overlap
AL845443.2	overlap	overlap
AL845450.1	both_KO_above_both_WT	overlap
AL845454.1	overlap	overlap
AL845454.2	overlap	overlap
AL845454.3	overlap	overlap
AL845464.1	overlap	both_KO_above_both_WT
AL845552.1	both_KO_below_both_WT	both_KO_below_both_WT
AL928654.1	overlap	overlap
AL928654.4	overlap	overlap
AL928711.1	overlap	overlap
AL929288.2	overlap	overlap
AL929302.1	overlap	overlap
AL929325.1	overlap	overlap
AL929410.1	overlap	overlap
AL929410.2	overlap	overlap
AL929472.1	overlap	overlap
AL929472.4	overlap	overlap
AL929554.1	overlap	overlap
AL929561.2	overlap	both_KO_above_both_WT
AL929561.3	overlap	overlap
AL929561.4	overlap	overlap
AL929561.5	overlap	overlap
AL929561.7	overlap	overlap
AL929601.4	overlap	overlap
AL935156.1	overlap	overlap
AL935156.2	overlap	overlap
AL935156.3	overlap	overlap
AL935212.3	overlap	overlap
AL935212.4	overlap	overlap
AL953862.1	overlap	overlap
AL953862.2	overlap	overlap
AL954705.1	overlap	both_KO_below_both_WT
AL954722.1	overlap	overlap
ALAD	both_KO_above_both_WT	both_KO_below_both_WT
ALAS1	overlap	both_KO_above_both_WT
ALAS2	overlap	both_KO_above_both_WT
ALB	overlap	overlap
ALCAM	both_KO_below_both_WT	both_KO_above_both_WT
ALDH16A1	both_KO_below_both_WT	both_KO_below_both_WT
ALDH18A1	both_KO_below_both_WT	both_KO_above_both_WT
ALDH1A1	overlap	overlap
ALDH1A2	overlap	overlap
ALDH1A3	overlap	overlap
ALDH1B1	overlap	both_KO_above_both_WT
ALDH1L1	overlap	both_KO_above_both_WT
ALDH1L2	both_KO_above_both_WT	both_KO_above_both_WT
ALDH2	overlap	overlap
ALDH3A1	overlap	overlap
ALDH3A2	overlap	overlap
ALDH3B1	both_KO_below_both_WT	overlap
ALDH3B2	both_KO_above_both_WT	both_KO_below_both_WT
ALDH4A1	both_KO_below_both_WT	both_KO_below_both_WT
ALDH5A1	overlap	both_KO_below_both_WT
ALDH6A1	both_KO_below_both_WT	both_KO_above_both_WT
ALDH7A1	both_KO_below_both_WT	overlap
ALDH7A1P1	both_KO_below_both_WT	overlap
ALDH7A1P2	overlap	overlap
ALDH7A1P3	overlap	overlap
ALDH7A1P4	overlap	overlap
ALDH8A1	overlap	both_KO_above_both_WT
ALDH9A1	overlap	both_KO_below_both_WT
ALDOA	both_KO_below_both_WT	both_KO_above_both_WT
