sample,Tacstd2,Cldn4,Actb,Epcam,Krt8,Cldn3,Cldn7,Cd8a,Ifng,Gzmb,Cd274
SRX3591529,0.025117105588216507,0.0,13.470968288146201,0.20513930562632926,0.4238751276400934,0.0,0.0,0.05057810266234601,0.04401017815749708,0.16698490189267587,1.3715509162067654
SRX3591530,0.03201151811101884,0.0,13.470968288146201,0.0,0.5090695369124832,0.19954707589386853,0.0,0.02671599662228467,0.0,0.12844396851553921,1.4074600087870153
SRX3591531,0.0,0.0,13.470968288146201,0.0,0.2896490341439589,0.038725367304695835,0.11944476064959356,0.6080057441613272,1.5224161685921345,2.376189488608814,3.3207484568689614
SRX3591532,0.0,0.0,13.470968288146201,0.001831163143574927,0.2218196828656588,0.014011421584199081,0.0,0.23025618808282527,0.6824782622194029,1.7972771314271323,2.76674958154892
SRX3591533,0.0,0.0,13.470968288146201,0.08987060850157086,0.6144447592496062,0.28282260889116745,0.3439603062622511,0.05097640228819491,0.09353885219683702,0.3196640085464376,1.3235279634992512
SRX3591534,0.012365020089902607,0.0,13.470968288146201,0.07434884312948034,0.20548108112872931,0.08638332582668365,0.016807345518056255,0.25346630432460276,0.14161975677495786,0.8583113889430685,2.91915189502252
SRX3591535,0.015112577105561475,0.0012221147461425707,13.470968288146201,0.1260149488543483,0.13284139475514284,0.0020249550516885984,0.0,1.0921343017679344,1.6432457594287266,2.286598444495455,3.7614260826401553
SRX3591536,0.007752818842474545,0.0,13.470968288146201,0.11899796093727164,0.0834951273045604,0.02574247094142383,0.0,2.363300080361349,3.7021449261053108,4.780749375337782,5.72778971023394
SRX3591537,0.0,0.0005535795256006131,13.843581139314974,0.04213622819591572,0.05746244828886134,0.003907601365856013,0.0,2.1684059983345683,2.5964226888298616,4.127498026129946,5.0385631979331835
SRX3744255,4.1138145489830995,0.8873043898952586,13.46525571229768,4.763097964364689,5.424881566414805,6.326956961451158,5.507750418341709,0.8045995014764923,0.0,1.2371119641292092,2.154830197267277
SRX3744256,2.4748890533223173,3.4959889355425373,13.46525571229768,7.7021733099415215,6.8858666447696955,7.2668769103545525,6.965119526651833,2.8483997905119516,0.944953950931629,2.716546587004633,2.2110510257640748
SRX3744257,2.1703878018814384,2.586085719920875,14.204161923609169,7.714819711084692,6.80295581571411,7.092807100636916,6.670451286895394,1.434058759414544,0.7525587703401798,0.901092406114557,1.5459103914861545
SRX3756779,2.59268298128466,6.393381911128759,12.145431067149937,8.35700453049509,8.868091886150488,5.684883308872817,4.475079468840258,0.1346027381005647,0.0001483006350323699,1.879379619509888,2.2432551626482247
SRX3756780,2.272299202443143,6.311654326275821,11.852364092792241,8.18197232361653,8.793420034327177,6.116533522653749,4.445986688071691,0.1871738070486702,0.0001294324757530449,0.0001294324757530449,2.3389730052606112
SRX3923604,8.137503321383251,7.23454082140483,10.540286751982011,6.5426721653180255,2.003277233916962,2.657659667795467,3.626153781949271,2.832711058260158,2.5456702883877895,4.488038364636819,4.023304860911619
SRX3923605,8.281686238407273,7.629013471053905,11.152111651774993,6.874229069559137,3.015701700654563,4.166237995372086,3.8804037657540698,3.327334802015865,2.3494618126314784,3.642705990007838,2.9978132015154904
SRX3923606,0.4969926208691906,0.0,11.128508826150021,0.0,8.952757399166181,5.928317340314418,0.0,2.3258847376974763,3.5288306899972475,4.488082064794923,5.286359781156562
SRX3923607,0.31188684340065426,0.0,11.158971843541329,0.0,9.336236543594964,5.34111588424456,3.493798108477056,3.773119289146667,2.383408535593888,5.836717067032831,5.025033590912854
SRX3923608,0.0,0.0,10.845990109593846,0.11019450700043437,9.247010619907977,5.8307746279133665,1.8531202364383517,3.626756874271244,2.915215024628569,4.794052170379947,4.943818487510748
SRX3923609,0.15295519237454291,0.0,10.654174555662951,0.0,8.78732139610793,5.836717067032831,2.414983002698617,2.7751335283107097,2.3011127666901428,4.087334743338418,4.868515843783607
SRX3923610,8.441385460921838,7.894524685353231,10.619056638005707,7.582503211550072,4.365335414431119,1.9547620616688768,4.538365700360448,0.4466389565556154,0.0,0.14566881530115777,3.0088232894457327
SRX3923611,8.473231719037251,7.759636889455183,9.672473242497064,7.299444714310761,5.476568610917337,2.7800578678623937,5.058589762348795,0.0,0.0,0.5447029858066388,4.09807128792883
SRX3923612,8.224039573998644,7.433703860376959,10.206663094239175,7.092317033313647,5.904492067023348,3.493513403930509,5.2230409634026564,1.7247196220100178,0.5644598742545183,2.1675484491812633,2.920575546271562
SRX3923613,8.218089101895437,7.545460592067093,10.378956572866805,7.274535523646292,4.860000162938168,1.334852196081571,4.630438869241302,0.0,0.0,0.28139840540153416,2.831278180568159
SRX3972566,1.142522575340996,1.7284072955977294,11.557850026958821,7.125056702265743,5.879984893907995,4.386947003025658,4.850632125596339,0.11495864182792136,0.10515373191234699,0.8740005594091549,0.373599215938874
