Samples,geneID,value,group,Responder,Baseline,GSE_ID,Mouse_treatment
SRX8918418,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Cldn3,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918391,Cldn7,0.766771294410365,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Cldn7,0.633186109360753,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Cldn7,0.203105119063904,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Cldn7,0.200612552268686,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Cldn7,0.0917661902662854,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918393,Cldn7,0.0070869843347112,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918387,Cldn7,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Cldn7,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Cldn7,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Cldn7,0.202327575014722,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Cldn7,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Cldn7,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Cldn7,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Cldn7,0.526201983883608,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Cldn7,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Cldn7,1.53334950228341,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Cldn7,0.423634527079409,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918407,Cldn7,0.0647159915910448,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Cldn7,0.60889687432743,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Cldn7,0.468369627321189,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Cldn7,0.105975760245958,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Cldn7,0.642346622491673,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Cldn7,0.0942703130436669,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Cldn7,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918392,Cd8a,5.88674994817348,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918387,Cd8a,5.67464425474837,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918393,Cd8a,5.15711292228793,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Cd8a,4.48791043204627,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Cd8a,4.16457947045374,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Cd8a,3.59284147169434,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Cd8a,2.49747172772699,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Cd8a,2.11732354324119,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Cd8a,3.59071016644546,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Cd8a,3.51895139589776,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Cd8a,2.68446401653864,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Cd8a,1.82764711587342,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Cd8a,2.51510580250964,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Cd8a,2.71747450132564,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Cd8a,3.87211761343061,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Cd8a,3.56629644161274,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Cd8a,3.88611916764792,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918407,Cd8a,5.39214770696308,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Cd8a,4.83125218957487,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Cd8a,4.17682054287083,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Cd8a,3.91116516104188,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Cd8a,3.38922583375119,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Cd8a,3.24446929911945,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Cd8a,0.849511449076795,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Cd8a,2.0139577426288,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Cd8a,2.21291579657306,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Cd8a,1.89483659796234,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Cd8a,1.43424318070065,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Cd8a,1.29708504765677,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Cd8a,0.486295868962971,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Cd8a,2.42945105918012,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Cd8a,3.98551471299719,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Cd8a,1.65817061433027,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918388,Ifng,4.89506762553487,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Ifng,4.34578206129144,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918387,Ifng,4.13299708423465,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Ifng,3.6581061804787,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Ifng,2.61813338670965,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Ifng,2.41176544085219,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918393,Ifng,1.25576861273526,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Ifng,1.4099238416844,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Ifng,3.36886038845745,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Ifng,2.52315845036363,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Ifng,2.08960789472869,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Ifng,1.39036130061684,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Ifng,2.11452125832538,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Ifng,2.54299655755305,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Ifng,2.78229481766697,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Ifng,3.02328814579075,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Ifng,4.50306042179602,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918408,Ifng,4.68123240764331,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918407,Ifng,3.89934795858978,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Ifng,3.76033116922565,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Ifng,3.7033858251793,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Ifng,3.20770043329027,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Ifng,2.16123112435424,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Ifng,0.977545842550259,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Ifng,2.85341103953765,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Ifng,1.27823135228934,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Ifng,1.15019979085399,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Ifng,0.429452379400385,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Ifng,1.71421865367962,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Ifng,0.738081828512656,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Ifng,2.24300644649247,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Ifng,3.98169488445609,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Ifng,1.22871056640757,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918387,Gzmb,8.4387919818159,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918393,Gzmb,7.10050017680235,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Gzmb,7.03003237787265,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Gzmb,6.63325745850726,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Gzmb,6.24660603125745,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Gzmb,5.72474732322514,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Gzmb,5.32729242538153,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Gzmb,3.68670524633356,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Gzmb,6.22489721025473,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Gzmb,5.37403469455995,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Gzmb,5.21511796067213,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Gzmb,3.78827110374946,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Gzmb,5.39431336856481,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Gzmb,4.94549385828116,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Gzmb,6.0733596576028,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Gzmb,5.99441007226508,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Gzmb,5.71455055958547,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918407,Gzmb,6.95711784304833,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Gzmb,6.40197136493419,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Gzmb,5.69605232224145,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Gzmb,5.67206534524505,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Gzmb,5.54775121997207,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Gzmb,5.53676646847419,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Gzmb,2.78465104073328,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Gzmb,5.65856686946224,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Gzmb,4.79387239756143,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Gzmb,4.14933354107409,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Gzmb,3.86739946835281,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Gzmb,4.10507914242305,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Gzmb,2.76315355470731,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Gzmb,5.10218290686425,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Gzmb,6.11171751673265,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Gzmb,4.23442654590191,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918387,Cd274,6.94790120358499,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Cd274,6.44254056051392,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Cd274,6.18621523132235,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Cd274,5.90947665422329,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Cd274,5.59462302132654,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Cd274,4.95493057129825,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918393,Cd274,4.62922650360335,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Cd274,4.12193078859265,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Cd274,4.52752752477797,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Cd274,5.13492047769398,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Cd274,4.27833908997151,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Cd274,4.63992651266561,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Cd274,4.68738203665916,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Cd274,4.53085206313476,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Cd274,4.75902467456238,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Cd274,4.32297514903008,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Cd274,4.56620387208873,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918407,Cd274,6.19311552074929,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Cd274,5.76076170728744,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Cd274,5.48085576441424,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Cd274,5.16051239831444,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Cd274,4.68553128666016,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918404,Cd274,4.50517148221664,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Cd274,2.44707748778978,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Cd274,4.89814071892915,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Cd274,3.82752387156704,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Cd274,3.77269708300803,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Cd274,3.30840753021463,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Cd274,3.68226546772799,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Cd274,2.87801832905929,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Cd274,4.44921132922799,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Cd274,4.0597057441053,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Cd274,4.16021720299211,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
